context: Open your mind. Open your mind. response:	Far beyond the deep blue Earth, you and I shall meet...
context: Open your mind. Just as I've always dreamed.\Let the wind carry off your hopes, faraway.\I have wings nobody can see. Look, you have them, too.\They'll take us to where we can be free. Anyone can be free.\The sky is so blue...\Skuld Laboratory S...s...\Sticking out!\Sculpted! response:	Sticking out!
context: Let the wind carry off your hopes, faraway.\I have wings nobody can see. Look, you have them, too.\They'll take us to where we can be free. Anyone can be free.\The sky is so blue...\Skuld Laboratory S...s...\Sticking out!\Sculpted!\Sticking out! response:	All right!
context: I have wings nobody can see. Look, you have them, too.\They'll take us to where we can be free. Anyone can be free.\The sky is so blue...\Skuld Laboratory S...s...\Sticking out!\Sculpted!\Sticking out!\All right! response:	I'm an adult now!
context: They'll take us to where we can be free. Anyone can be free.\The sky is so blue...\Skuld Laboratory S...s...\Sticking out!\Sculpted!\Sticking out!\All right!\I'm an adult now! response:	What's all this yelling so early in the morning...whoa!
context: The sky is so blue...\Skuld Laboratory S...s...\Sticking out!\Sculpted!\Sticking out!\All right!\I'm an adult now!\What's all this yelling so early in the morning...whoa! response:	What are you staring at?
context: Skuld Laboratory S...s...\Sticking out!\Sculpted!\Sticking out!\All right!\I'm an adult now!\What's all this yelling so early in the morning...whoa!\What are you staring at? response:	Um...
context: Sticking out!\Sculpted!\Sticking out!\All right!\I'm an adult now!\What's all this yelling so early in the morning...whoa!\What are you staring at?\Um... response:	And who would you be?
context: Sculpted!\Sticking out!\All right!\I'm an adult now!\What's all this yelling so early in the morning...whoa!\What are you staring at?\Um...\And who would you be? response:	Ah! Is My Heart Pounding Because I'm a Grownup?
context: Sticking out!\All right!\I'm an adult now!\What's all this yelling so early in the morning...whoa!\What are you staring at?\Um...\And who would you be?\Ah! Is My Heart Pounding Because I'm a Grownup? response:	Oh, man. Look how carried away she is...
context: All right!\I'm an adult now!\What's all this yelling so early in the morning...whoa!\What are you staring at?\Um...\And who would you be?\Ah! Is My Heart Pounding Because I'm a Grownup?\Oh, man. Look how carried away she is... response:	Is this another one of those Yggdrasil side-effects?
context: I'm an adult now!\What's all this yelling so early in the morning...whoa!\What are you staring at?\Um...\And who would you be?\Ah! Is My Heart Pounding Because I'm a Grownup?\Oh, man. Look how carried away she is...\Is this another one of those Yggdrasil side-effects? response:	Most likely.
context: What's all this yelling so early in the morning...whoa!\What are you staring at?\Um...\And who would you be?\Ah! Is My Heart Pounding Because I'm a Grownup?\Oh, man. Look how carried away she is...\Is this another one of those Yggdrasil side-effects?\Most likely. response:	But why did she turn into an adult?
context: What are you staring at?\Um...\And who would you be?\Ah! Is My Heart Pounding Because I'm a Grownup?\Oh, man. Look how carried away she is...\Is this another one of those Yggdrasil side-effects?\Most likely.\But why did she turn into an adult? response:	Oh, that's easy. The three of us control different time domains.
context: Um...\And who would you be?\Ah! Is My Heart Pounding Because I'm a Grownup?\Oh, man. Look how carried away she is...\Is this another one of those Yggdrasil side-effects?\Most likely.\But why did she turn into an adult?\Oh, that's easy. The three of us control different time domains. response:	I govern the past...
context: And who would you be?\Ah! Is My Heart Pounding Because I'm a Grownup?\Oh, man. Look how carried away she is...\Is this another one of those Yggdrasil side-effects?\Most likely.\But why did she turn into an adult?\Oh, that's easy. The three of us control different time domains.\I govern the past... response:	Belldandy, the present...
context: Ah! Is My Heart Pounding Because I'm a Grownup?\Oh, man. Look how carried away she is...\Is this another one of those Yggdrasil side-effects?\Most likely.\But why did she turn into an adult?\Oh, that's easy. The three of us control different time domains.\I govern the past...\Belldandy, the present... response:	And Skuld, the future.
context: Oh, man. Look how carried away she is...\Is this another one of those Yggdrasil side-effects?\Most likely.\But why did she turn into an adult?\Oh, that's easy. The three of us control different time domains.\I govern the past...\Belldandy, the present...\And Skuld, the future. response:	So if there's a shortfall in our energy supply from Heaven...
context: Is this another one of those Yggdrasil side-effects?\Most likely.\But why did she turn into an adult?\Oh, that's easy. The three of us control different time domains.\I govern the past...\Belldandy, the present...\And Skuld, the future.\So if there's a shortfall in our energy supply from Heaven... response:	I see.
context: Most likely.\But why did she turn into an adult?\Oh, that's easy. The three of us control different time domains.\I govern the past...\Belldandy, the present...\And Skuld, the future.\So if there's a shortfall in our energy supply from Heaven...\I see. response:	Hey! Hey! Hey!
context: But why did she turn into an adult?\Oh, that's easy. The three of us control different time domains.\I govern the past...\Belldandy, the present...\And Skuld, the future.\So if there's a shortfall in our energy supply from Heaven...\I see.\Hey! Hey! Hey! response:	Look at me, look at me!
context: Oh, that's easy. The three of us control different time domains.\I govern the past...\Belldandy, the present...\And Skuld, the future.\So if there's a shortfall in our energy supply from Heaven...\I see.\Hey! Hey! Hey!\Look at me, look at me! response:	Well? Am I sexy?
context: I govern the past...\Belldandy, the present...\And Skuld, the future.\So if there's a shortfall in our energy supply from Heaven...\I see.\Hey! Hey! Hey!\Look at me, look at me!\Well? Am I sexy? response:	My, don't you look lovely!
context: Belldandy, the present...\And Skuld, the future.\So if there's a shortfall in our energy supply from Heaven...\I see.\Hey! Hey! Hey!\Look at me, look at me!\Well? Am I sexy?\My, don't you look lovely! response:	You do.
context: And Skuld, the future.\So if there's a shortfall in our energy supply from Heaven...\I see.\Hey! Hey! Hey!\Look at me, look at me!\Well? Am I sexy?\My, don't you look lovely!\You do. response:	You need to stick out and be tight where you're supposed to.
context: So if there's a shortfall in our energy supply from Heaven...\I see.\Hey! Hey! Hey!\Look at me, look at me!\Well? Am I sexy?\My, don't you look lovely!\You do.\You need to stick out and be tight where you're supposed to. response:	That is'sexy'!
context: I see.\Hey! Hey! Hey!\Look at me, look at me!\Well? Am I sexy?\My, don't you look lovely!\You do.\You need to stick out and be tight where you're supposed to.\That is'sexy'! response:	Take a good look! See how big they...
context: Hey! Hey! Hey!\Look at me, look at me!\Well? Am I sexy?\My, don't you look lovely!\You do.\You need to stick out and be tight where you're supposed to.\That is'sexy'!\Take a good look! See how big they... response:	Whose? And what? Are big?
context: Look at me, look at me!\Well? Am I sexy?\My, don't you look lovely!\You do.\You need to stick out and be tight where you're supposed to.\That is'sexy'!\Take a good look! See how big they...\Whose? And what? Are big? response:	Just give me a little time, and they'll be bigger than yours for sure!
context: Well? Am I sexy?\My, don't you look lovely!\You do.\You need to stick out and be tight where you're supposed to.\That is'sexy'!\Take a good look! See how big they...\Whose? And what? Are big?\Just give me a little time, and they'll be bigger than yours for sure! response:	Little idiot, give you a little more time, and you'll be middle-aged.
context: My, don't you look lovely!\You do.\You need to stick out and be tight where you're supposed to.\That is'sexy'!\Take a good look! See how big they...\Whose? And what? Are big?\Just give me a little time, and they'll be bigger than yours for sure!\Little idiot, give you a little more time, and you'll be middle-aged. response:	What's that supposed to mean?
context: You do.\You need to stick out and be tight where you're supposed to.\That is'sexy'!\Take a good look! See how big they...\Whose? And what? Are big?\Just give me a little time, and they'll be bigger than yours for sure!\Little idiot, give you a little more time, and you'll be middle-aged.\What's that supposed to mean? response:	Think about it! You're going to keep growing at this pace.
context: You need to stick out and be tight where you're supposed to.\That is'sexy'!\Take a good look! See how big they...\Whose? And what? Are big?\Just give me a little time, and they'll be bigger than yours for sure!\Little idiot, give you a little more time, and you'll be middle-aged.\What's that supposed to mean?\Think about it! You're going to keep growing at this pace. response:	If we don't do anything about it...
context: That is'sexy'!\Take a good look! See how big they...\Whose? And what? Are big?\Just give me a little time, and they'll be bigger than yours for sure!\Little idiot, give you a little more time, and you'll be middle-aged.\What's that supposed to mean?\Think about it! You're going to keep growing at this pace.\If we don't do anything about it... response:	No way!
context: Take a good look! See how big they...\Whose? And what? Are big?\Just give me a little time, and they'll be bigger than yours for sure!\Little idiot, give you a little more time, and you'll be middle-aged.\What's that supposed to mean?\Think about it! You're going to keep growing at this pace.\If we don't do anything about it...\No way! response:	And that means that 2 weeks from now, she'll be...
context: Whose? And what? Are big?\Just give me a little time, and they'll be bigger than yours for sure!\Little idiot, give you a little more time, and you'll be middle-aged.\What's that supposed to mean?\Think about it! You're going to keep growing at this pace.\If we don't do anything about it...\No way!\And that means that 2 weeks from now, she'll be... response:	No way! Tell me you're joking!
context: Just give me a little time, and they'll be bigger than yours for sure!\Little idiot, give you a little more time, and you'll be middle-aged.\What's that supposed to mean?\Think about it! You're going to keep growing at this pace.\If we don't do anything about it...\No way!\And that means that 2 weeks from now, she'll be...\No way! Tell me you're joking! response:	When that happens, I'll call you'Big Sister'!
context: Little idiot, give you a little more time, and you'll be middle-aged.\What's that supposed to mean?\Think about it! You're going to keep growing at this pace.\If we don't do anything about it...\No way!\And that means that 2 weeks from now, she'll be...\No way! Tell me you're joking!\When that happens, I'll call you'Big Sister'! response:	I'd rather die than let that happen!
context: What's that supposed to mean?\Think about it! You're going to keep growing at this pace.\If we don't do anything about it...\No way!\And that means that 2 weeks from now, she'll be...\No way! Tell me you're joking!\When that happens, I'll call you'Big Sister'!\I'd rather die than let that happen! response:	You don't have to worry, Skuld.
context: Think about it! You're going to keep growing at this pace.\If we don't do anything about it...\No way!\And that means that 2 weeks from now, she'll be...\No way! Tell me you're joking!\When that happens, I'll call you'Big Sister'!\I'd rather die than let that happen!\You don't have to worry, Skuld. response:	Big Sister?
context: If we don't do anything about it...\No way!\And that means that 2 weeks from now, she'll be...\No way! Tell me you're joking!\When that happens, I'll call you'Big Sister'!\I'd rather die than let that happen!\You don't have to worry, Skuld.\Big Sister? response:	Uh-oh.
context: No way!\And that means that 2 weeks from now, she'll be...\No way! Tell me you're joking!\When that happens, I'll call you'Big Sister'!\I'd rather die than let that happen!\You don't have to worry, Skuld.\Big Sister?\Uh-oh. response:	I asked Heaven about it just now, and they told me...
context: And that means that 2 weeks from now, she'll be...\No way! Tell me you're joking!\When that happens, I'll call you'Big Sister'!\I'd rather die than let that happen!\You don't have to worry, Skuld.\Big Sister?\Uh-oh.\I asked Heaven about it just now, and they told me... response:	You'll be able to go back to the way you were before!
context: No way! Tell me you're joking!\When that happens, I'll call you'Big Sister'!\I'd rather die than let that happen!\You don't have to worry, Skuld.\Big Sister?\Uh-oh.\I asked Heaven about it just now, and they told me...\You'll be able to go back to the way you were before! response:	Oh, great.
context: When that happens, I'll call you'Big Sister'!\I'd rather die than let that happen!\You don't have to worry, Skuld.\Big Sister?\Uh-oh.\I asked Heaven about it just now, and they told me...\You'll be able to go back to the way you were before!\Oh, great. response:	Thank goodness!
context: I'd rather die than let that happen!\You don't have to worry, Skuld.\Big Sister?\Uh-oh.\I asked Heaven about it just now, and they told me...\You'll be able to go back to the way you were before!\Oh, great.\Thank goodness! response:	I did tell Urd about that, you know...
context: You don't have to worry, Skuld.\Big Sister?\Uh-oh.\I asked Heaven about it just now, and they told me...\You'll be able to go back to the way you were before!\Oh, great.\Thank goodness!\I did tell Urd about that, you know... response:	Wait, but that means...
context: Big Sister?\Uh-oh.\I asked Heaven about it just now, and they told me...\You'll be able to go back to the way you were before!\Oh, great.\Thank goodness!\I did tell Urd about that, you know...\Wait, but that means... response:	I can only be a grownup until tonight?
context: Uh-oh.\I asked Heaven about it just now, and they told me...\You'll be able to go back to the way you were before!\Oh, great.\Thank goodness!\I did tell Urd about that, you know...\Wait, but that means...\I can only be a grownup until tonight? response:	I suppose so.
context: I asked Heaven about it just now, and they told me...\You'll be able to go back to the way you were before!\Oh, great.\Thank goodness!\I did tell Urd about that, you know...\Wait, but that means...\I can only be a grownup until tonight?\I suppose so. response:	Is that right?
context: You'll be able to go back to the way you were before!\Oh, great.\Thank goodness!\I did tell Urd about that, you know...\Wait, but that means...\I can only be a grownup until tonight?\I suppose so.\Is that right? response:	Thank goodness, right?
context: Oh, great.\Thank goodness!\I did tell Urd about that, you know...\Wait, but that means...\I can only be a grownup until tonight?\I suppose so.\Is that right?\Thank goodness, right? response:	That's right...there's no time to lose, then.
context: Thank goodness!\I did tell Urd about that, you know...\Wait, but that means...\I can only be a grownup until tonight?\I suppose so.\Is that right?\Thank goodness, right?\That's right...there's no time to lose, then. response:	Keiichi, help me out, will you?
context: I did tell Urd about that, you know...\Wait, but that means...\I can only be a grownup until tonight?\I suppose so.\Is that right?\Thank goodness, right?\That's right...there's no time to lose, then.\Keiichi, help me out, will you? response:	Huh? Uh, sure.
context: Wait, but that means...\I can only be a grownup until tonight?\I suppose so.\Is that right?\Thank goodness, right?\That's right...there's no time to lose, then.\Keiichi, help me out, will you?\Huh? Uh, sure. response:	All right, you're set.
context: I can only be a grownup until tonight?\I suppose so.\Is that right?\Thank goodness, right?\That's right...there's no time to lose, then.\Keiichi, help me out, will you?\Huh? Uh, sure.\All right, you're set. response:	Now let me just slip on this ring, and...
context: I suppose so.\Is that right?\Thank goodness, right?\That's right...there's no time to lose, then.\Keiichi, help me out, will you?\Huh? Uh, sure.\All right, you're set.\Now let me just slip on this ring, and... response:	Listen...did you really want to become a grownup that badly?
context: Is that right?\Thank goodness, right?\That's right...there's no time to lose, then.\Keiichi, help me out, will you?\Huh? Uh, sure.\All right, you're set.\Now let me just slip on this ring, and...\Listen...did you really want to become a grownup that badly? response:	What do you think?
context: Thank goodness, right?\That's right...there's no time to lose, then.\Keiichi, help me out, will you?\Huh? Uh, sure.\All right, you're set.\Now let me just slip on this ring, and...\Listen...did you really want to become a grownup that badly?\What do you think? response:	No matter what, people have always treated me like a child.
context: That's right...there's no time to lose, then.\Keiichi, help me out, will you?\Huh? Uh, sure.\All right, you're set.\Now let me just slip on this ring, and...\Listen...did you really want to become a grownup that badly?\What do you think?\No matter what, people have always treated me like a child. response:	Really?
context: Keiichi, help me out, will you?\Huh? Uh, sure.\All right, you're set.\Now let me just slip on this ring, and...\Listen...did you really want to become a grownup that badly?\What do you think?\No matter what, people have always treated me like a child.\Really? response:	Whenever we go shopping, it's always either Big Sister or Urd...
context: Huh? Uh, sure.\All right, you're set.\Now let me just slip on this ring, and...\Listen...did you really want to become a grownup that badly?\What do you think?\No matter what, people have always treated me like a child.\Really?\Whenever we go shopping, it's always either Big Sister or Urd... response:	And even if I'm walking with you, people only think we're brother and sister.
context: All right, you're set.\Now let me just slip on this ring, and...\Listen...did you really want to become a grownup that badly?\What do you think?\No matter what, people have always treated me like a child.\Really?\Whenever we go shopping, it's always either Big Sister or Urd...\And even if I'm walking with you, people only think we're brother and sister. response:	Everyone at college, too! They all treat me like a kid, giving me ice cream.
context: Now let me just slip on this ring, and...\Listen...did you really want to become a grownup that badly?\What do you think?\No matter what, people have always treated me like a child.\Really?\Whenever we go shopping, it's always either Big Sister or Urd...\And even if I'm walking with you, people only think we're brother and sister.\Everyone at college, too! They all treat me like a kid, giving me ice cream. response:	When I'm just as much a lady as anyone else!
context: Listen...did you really want to become a grownup that badly?\What do you think?\No matter what, people have always treated me like a child.\Really?\Whenever we go shopping, it's always either Big Sister or Urd...\And even if I'm walking with you, people only think we're brother and sister.\Everyone at college, too! They all treat me like a kid, giving me ice cream.\When I'm just as much a lady as anyone else! response:	Hey, look! Look at all the ice cream I got!
context: What do you think?\No matter what, people have always treated me like a child.\Really?\Whenever we go shopping, it's always either Big Sister or Urd...\And even if I'm walking with you, people only think we're brother and sister.\Everyone at college, too! They all treat me like a kid, giving me ice cream.\When I'm just as much a lady as anyone else!\Hey, look! Look at all the ice cream I got! response:	That's because you always lap it up so eagerly.
context: No matter what, people have always treated me like a child.\Really?\Whenever we go shopping, it's always either Big Sister or Urd...\And even if I'm walking with you, people only think we're brother and sister.\Everyone at college, too! They all treat me like a kid, giving me ice cream.\When I'm just as much a lady as anyone else!\Hey, look! Look at all the ice cream I got!\That's because you always lap it up so eagerly. response:	Anyway! Now that I'm all grown up...
context: Really?\Whenever we go shopping, it's always either Big Sister or Urd...\And even if I'm walking with you, people only think we're brother and sister.\Everyone at college, too! They all treat me like a kid, giving me ice cream.\When I'm just as much a lady as anyone else!\Hey, look! Look at all the ice cream I got!\That's because you always lap it up so eagerly.\Anyway! Now that I'm all grown up... response:	I've got to enjoy what it feels like, at least just for this one day.
context: Whenever we go shopping, it's always either Big Sister or Urd...\And even if I'm walking with you, people only think we're brother and sister.\Everyone at college, too! They all treat me like a kid, giving me ice cream.\When I'm just as much a lady as anyone else!\Hey, look! Look at all the ice cream I got!\That's because you always lap it up so eagerly.\Anyway! Now that I'm all grown up...\I've got to enjoy what it feels like, at least just for this one day. response:	Where are you going?
context: And even if I'm walking with you, people only think we're brother and sister.\Everyone at college, too! They all treat me like a kid, giving me ice cream.\When I'm just as much a lady as anyone else!\Hey, look! Look at all the ice cream I got!\That's because you always lap it up so eagerly.\Anyway! Now that I'm all grown up...\I've got to enjoy what it feels like, at least just for this one day.\Where are you going? response:	I'm going out, what did you think?
context: Everyone at college, too! They all treat me like a kid, giving me ice cream.\When I'm just as much a lady as anyone else!\Hey, look! Look at all the ice cream I got!\That's because you always lap it up so eagerly.\Anyway! Now that I'm all grown up...\I've got to enjoy what it feels like, at least just for this one day.\Where are you going?\I'm going out, what did you think? response:	So I'll see you later, all right? Oh...
context: When I'm just as much a lady as anyone else!\Hey, look! Look at all the ice cream I got!\That's because you always lap it up so eagerly.\Anyway! Now that I'm all grown up...\I've got to enjoy what it feels like, at least just for this one day.\Where are you going?\I'm going out, what did you think?\So I'll see you later, all right? Oh... response:	What's the matter?
context: Hey, look! Look at all the ice cream I got!\That's because you always lap it up so eagerly.\Anyway! Now that I'm all grown up...\I've got to enjoy what it feels like, at least just for this one day.\Where are you going?\I'm going out, what did you think?\So I'll see you later, all right? Oh...\What's the matter? response:	I'm so hungry...
context: That's because you always lap it up so eagerly.\Anyway! Now that I'm all grown up...\I've got to enjoy what it feels like, at least just for this one day.\Where are you going?\I'm going out, what did you think?\So I'll see you later, all right? Oh...\What's the matter?\I'm so hungry... response:	Urd drinks sake... Belldandy goes to sleep...
context: Anyway! Now that I'm all grown up...\I've got to enjoy what it feels like, at least just for this one day.\Where are you going?\I'm going out, what did you think?\So I'll see you later, all right? Oh...\What's the matter?\I'm so hungry...\Urd drinks sake... Belldandy goes to sleep... response:	Skuld recharges by eating ice cream, huh?
context: I've got to enjoy what it feels like, at least just for this one day.\Where are you going?\I'm going out, what did you think?\So I'll see you later, all right? Oh...\What's the matter?\I'm so hungry...\Urd drinks sake... Belldandy goes to sleep...\Skuld recharges by eating ice cream, huh? response:	That's right. Each goddess has her own alternate source of energy.
context: Where are you going?\I'm going out, what did you think?\So I'll see you later, all right? Oh...\What's the matter?\I'm so hungry...\Urd drinks sake... Belldandy goes to sleep...\Skuld recharges by eating ice cream, huh?\That's right. Each goddess has her own alternate source of energy. response:	Ah! Now I'm revitalized!
context: I'm going out, what did you think?\So I'll see you later, all right? Oh...\What's the matter?\I'm so hungry...\Urd drinks sake... Belldandy goes to sleep...\Skuld recharges by eating ice cream, huh?\That's right. Each goddess has her own alternate source of energy.\Ah! Now I'm revitalized! response:	Okay, let's go!
context: So I'll see you later, all right? Oh...\What's the matter?\I'm so hungry...\Urd drinks sake... Belldandy goes to sleep...\Skuld recharges by eating ice cream, huh?\That's right. Each goddess has her own alternate source of energy.\Ah! Now I'm revitalized!\Okay, let's go! response:	You should just go home and stay out of trouble.
context: What's the matter?\I'm so hungry...\Urd drinks sake... Belldandy goes to sleep...\Skuld recharges by eating ice cream, huh?\That's right. Each goddess has her own alternate source of energy.\Ah! Now I'm revitalized!\Okay, let's go!\You should just go home and stay out of trouble. response:	I'll be fine!
context: I'm so hungry...\Urd drinks sake... Belldandy goes to sleep...\Skuld recharges by eating ice cream, huh?\That's right. Each goddess has her own alternate source of energy.\Ah! Now I'm revitalized!\Okay, let's go!\You should just go home and stay out of trouble.\I'll be fine! response:	Hey, that girl over there... don't you think she's really hot?
context: Urd drinks sake... Belldandy goes to sleep...\Skuld recharges by eating ice cream, huh?\That's right. Each goddess has her own alternate source of energy.\Ah! Now I'm revitalized!\Okay, let's go!\You should just go home and stay out of trouble.\I'll be fine!\Hey, that girl over there... don't you think she's really hot? response:	She's with her boyfriend... that's one lucky dog.
context: Skuld recharges by eating ice cream, huh?\That's right. Each goddess has her own alternate source of energy.\Ah! Now I'm revitalized!\Okay, let's go!\You should just go home and stay out of trouble.\I'll be fine!\Hey, that girl over there... don't you think she's really hot?\She's with her boyfriend... that's one lucky dog. response:	Wait a minute...those guys think I'm your girlfriend?
context: That's right. Each goddess has her own alternate source of energy.\Ah! Now I'm revitalized!\Okay, let's go!\You should just go home and stay out of trouble.\I'll be fine!\Hey, that girl over there... don't you think she's really hot?\She's with her boyfriend... that's one lucky dog.\Wait a minute...those guys think I'm your girlfriend? response:	Uh, yeah.
context: Ah! Now I'm revitalized!\Okay, let's go!\You should just go home and stay out of trouble.\I'll be fine!\Hey, that girl over there... don't you think she's really hot?\She's with her boyfriend... that's one lucky dog.\Wait a minute...those guys think I'm your girlfriend?\Uh, yeah. response:	For real? Then that means they see me as a grownup! Right?
context: Okay, let's go!\You should just go home and stay out of trouble.\I'll be fine!\Hey, that girl over there... don't you think she's really hot?\She's with her boyfriend... that's one lucky dog.\Wait a minute...those guys think I'm your girlfriend?\Uh, yeah.\For real? Then that means they see me as a grownup! Right? response:	Uh, probably.
context: You should just go home and stay out of trouble.\I'll be fine!\Hey, that girl over there... don't you think she's really hot?\She's with her boyfriend... that's one lucky dog.\Wait a minute...those guys think I'm your girlfriend?\Uh, yeah.\For real? Then that means they see me as a grownup! Right?\Uh, probably. response:	Grownup...I love the way that sounds!
context: I'll be fine!\Hey, that girl over there... don't you think she's really hot?\She's with her boyfriend... that's one lucky dog.\Wait a minute...those guys think I'm your girlfriend?\Uh, yeah.\For real? Then that means they see me as a grownup! Right?\Uh, probably.\Grownup...I love the way that sounds! response:	Now then, shall we be off, Keiichi dear? Come on...
context: Hey, that girl over there... don't you think she's really hot?\She's with her boyfriend... that's one lucky dog.\Wait a minute...those guys think I'm your girlfriend?\Uh, yeah.\For real? Then that means they see me as a grownup! Right?\Uh, probably.\Grownup...I love the way that sounds!\Now then, shall we be off, Keiichi dear? Come on... response:	Hey! Hold on!
context: She's with her boyfriend... that's one lucky dog.\Wait a minute...those guys think I'm your girlfriend?\Uh, yeah.\For real? Then that means they see me as a grownup! Right?\Uh, probably.\Grownup...I love the way that sounds!\Now then, shall we be off, Keiichi dear? Come on...\Hey! Hold on! response:	Belldandy's...
context: Wait a minute...those guys think I'm your girlfriend?\Uh, yeah.\For real? Then that means they see me as a grownup! Right?\Uh, probably.\Grownup...I love the way that sounds!\Now then, shall we be off, Keiichi dear? Come on...\Hey! Hold on!\Belldandy's... response:	Uh, that's right.
context: Uh, yeah.\For real? Then that means they see me as a grownup! Right?\Uh, probably.\Grownup...I love the way that sounds!\Now then, shall we be off, Keiichi dear? Come on...\Hey! Hold on!\Belldandy's...\Uh, that's right. response:	Well, now that you mention it, I think I see the resemblance...
context: For real? Then that means they see me as a grownup! Right?\Uh, probably.\Grownup...I love the way that sounds!\Now then, shall we be off, Keiichi dear? Come on...\Hey! Hold on!\Belldandy's...\Uh, that's right.\Well, now that you mention it, I think I see the resemblance... response:	To Big Sister?
context: Uh, probably.\Grownup...I love the way that sounds!\Now then, shall we be off, Keiichi dear? Come on...\Hey! Hold on!\Belldandy's...\Uh, that's right.\Well, now that you mention it, I think I see the resemblance...\To Big Sister? response:	Big Sister?
context: Grownup...I love the way that sounds!\Now then, shall we be off, Keiichi dear? Come on...\Hey! Hold on!\Belldandy's...\Uh, that's right.\Well, now that you mention it, I think I see the resemblance...\To Big Sister?\Big Sister? response:	Cool! I've always wanted someone to tell me that!
context: Now then, shall we be off, Keiichi dear? Come on...\Hey! Hold on!\Belldandy's...\Uh, that's right.\Well, now that you mention it, I think I see the resemblance...\To Big Sister?\Big Sister?\Cool! I've always wanted someone to tell me that! response:	You're a wonderful person!
context: Hey! Hold on!\Belldandy's...\Uh, that's right.\Well, now that you mention it, I think I see the resemblance...\To Big Sister?\Big Sister?\Cool! I've always wanted someone to tell me that!\You're a wonderful person! response:	But you're linking arms...
context: Belldandy's...\Uh, that's right.\Well, now that you mention it, I think I see the resemblance...\To Big Sister?\Big Sister?\Cool! I've always wanted someone to tell me that!\You're a wonderful person!\But you're linking arms... response:	You'd better not have been two-timing Belldandy behind her back!
