context: It looks like the power consumption in this tower is mostly concentrated... response:	in two areas.
context: so the large power consumption there is to be expected.\However, it seems details on the facilities below are unavailable, even from this terminal.\The map here only covers down to the fourth level of the basement.\However, as you might recall, the early blueprints showed the basement as having twenty floors.\Something's definitely up.\Hm?\What's the matter?\A vehicle from the Bureau is already on its way here. response:	Kougami Shinya, of course.
context: However, it seems details on the facilities below are unavailable, even from this terminal.\The map here only covers down to the fourth level of the basement.\However, as you might recall, the early blueprints showed the basement as having twenty floors.\Something's definitely up.\Hm?\What's the matter?\A vehicle from the Bureau is already on its way here.\Kougami Shinya, of course. response:	That doesn't surprise me.
context: The map here only covers down to the fourth level of the basement.\However, as you might recall, the early blueprints showed the basement as having twenty floors.\Something's definitely up.\Hm?\What's the matter?\A vehicle from the Bureau is already on its way here.\Kougami Shinya, of course.\That doesn't surprise me. response:	Let's split up.
context: However, as you might recall, the early blueprints showed the basement as having twenty floors.\Something's definitely up.\Hm?\What's the matter?\A vehicle from the Bureau is already on its way here.\Kougami Shinya, of course.\That doesn't surprise me.\Let's split up. response:	I'll go upstairs. You go downstairs.
context: Something's definitely up.\Hm?\What's the matter?\A vehicle from the Bureau is already on its way here.\Kougami Shinya, of course.\That doesn't surprise me.\Let's split up.\I'll go upstairs. You go downstairs. response:	Are you sure? From what we know, it's bound to be in the basement.
context: Hm?\What's the matter?\A vehicle from the Bureau is already on its way here.\Kougami Shinya, of course.\That doesn't surprise me.\Let's split up.\I'll go upstairs. You go downstairs.\Are you sure? From what we know, it's bound to be in the basement. response:	Kougami will come after me.
context: What's the matter?\A vehicle from the Bureau is already on its way here.\Kougami Shinya, of course.\That doesn't surprise me.\Let's split up.\I'll go upstairs. You go downstairs.\Are you sure? From what we know, it's bound to be in the basement.\Kougami will come after me. response:	Therefore, it makes more sense if I draw him away.
context: A vehicle from the Bureau is already on its way here.\Kougami Shinya, of course.\That doesn't surprise me.\Let's split up.\I'll go upstairs. You go downstairs.\Are you sure? From what we know, it's bound to be in the basement.\Kougami will come after me.\Therefore, it makes more sense if I draw him away. response:	Choe Gu-Sung, I have high expectations for you.
context: Kougami Shinya, of course.\That doesn't surprise me.\Let's split up.\I'll go upstairs. You go downstairs.\Are you sure? From what we know, it's bound to be in the basement.\Kougami will come after me.\Therefore, it makes more sense if I draw him away.\Choe Gu-Sung, I have high expectations for you. response:	Understood. Please leave it to me.
context: That doesn't surprise me.\Let's split up.\I'll go upstairs. You go downstairs.\Are you sure? From what we know, it's bound to be in the basement.\Kougami will come after me.\Therefore, it makes more sense if I draw him away.\Choe Gu-Sung, I have high expectations for you.\Understood. Please leave it to me. response:	Well, then. It would seem that this party is finally approaching its conclusion.
context: Let's split up.\I'll go upstairs. You go downstairs.\Are you sure? From what we know, it's bound to be in the basement.\Kougami will come after me.\Therefore, it makes more sense if I draw him away.\Choe Gu-Sung, I have high expectations for you.\Understood. Please leave it to me.\Well, then. It would seem that this party is finally approaching its conclusion. response:	I would like to show
context: I'll go upstairs. You go downstairs.\Are you sure? From what we know, it's bound to be in the basement.\Kougami will come after me.\Therefore, it makes more sense if I draw him away.\Choe Gu-Sung, I have high expectations for you.\Understood. Please leave it to me.\Well, then. It would seem that this party is finally approaching its conclusion.\I would like to show response:	Cut open my skull
context: Are you sure? From what we know, it's bound to be in the basement.\Kougami will come after me.\Therefore, it makes more sense if I draw him away.\Choe Gu-Sung, I have high expectations for you.\Understood. Please leave it to me.\Well, then. It would seem that this party is finally approaching its conclusion.\I would like to show\Cut open my skull response:	Look into my head
context: Kougami will come after me.\Therefore, it makes more sense if I draw him away.\Choe Gu-Sung, I have high expectations for you.\Understood. Please leave it to me.\Well, then. It would seem that this party is finally approaching its conclusion.\I would like to show\Cut open my skull\Look into my head response:	I don't know why I'm so harsh
context: Therefore, it makes more sense if I draw him away.\Choe Gu-Sung, I have high expectations for you.\Understood. Please leave it to me.\Well, then. It would seem that this party is finally approaching its conclusion.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh response:	I can't be so brash
context: Choe Gu-Sung, I have high expectations for you.\Understood. Please leave it to me.\Well, then. It would seem that this party is finally approaching its conclusion.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash response:	I'm going to crash
context: Understood. Please leave it to me.\Well, then. It would seem that this party is finally approaching its conclusion.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash response:	'Cause I feel
context: Well, then. It would seem that this party is finally approaching its conclusion.\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel response:	I can always show my everything to you
context: I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	Again
context: I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again response:	'Cause I feel
context: I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel response:	I can always show my everything to you
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	So it goes
context: Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes response:	Again
context: Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again response:	16: The Gate to Judgment
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\16: The Gate to Judgment response:	Bingo. Makishima Shougo!
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\16: The Gate to Judgment\Bingo. Makishima Shougo! response:	What are you after in the Ministry of Welfare's Nona Tower?
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\16: The Gate to Judgment\Bingo. Makishima Shougo!\What are you after in the Ministry of Welfare's Nona Tower? response:	The communications terminal has been cut off!
context: I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\16: The Gate to Judgment\Bingo. Makishima Shougo!\What are you after in the Ministry of Welfare's Nona Tower?\The communications terminal has been cut off! response:	Hey, Shion.
context: Voices inside, one link to join it all\So it goes\Again\16: The Gate to Judgment\Bingo. Makishima Shougo!\What are you after in the Ministry of Welfare's Nona Tower?\The communications terminal has been cut off!\Hey, Shion. response:	How's it going over there?
context: So it goes\Again\16: The Gate to Judgment\Bingo. Makishima Shougo!\What are you after in the Ministry of Welfare's Nona Tower?\The communications terminal has been cut off!\Hey, Shion.\How's it going over there? response:	This place is about to become a war zone.
context: Again\16: The Gate to Judgment\Bingo. Makishima Shougo!\What are you after in the Ministry of Welfare's Nona Tower?\The communications terminal has been cut off!\Hey, Shion.\How's it going over there?\This place is about to become a war zone. response:	Is it possible to check the Nona Tower's security cameras from the Public Safety Bureau?
context: 16: The Gate to Judgment\Bingo. Makishima Shougo!\What are you after in the Ministry of Welfare's Nona Tower?\The communications terminal has been cut off!\Hey, Shion.\How's it going over there?\This place is about to become a war zone.\Is it possible to check the Nona Tower's security cameras from the Public Safety Bureau? response:	The Ministry of Welfare is a high-ranking organization, you know.
context: Bingo. Makishima Shougo!\What are you after in the Ministry of Welfare's Nona Tower?\The communications terminal has been cut off!\Hey, Shion.\How's it going over there?\This place is about to become a war zone.\Is it possible to check the Nona Tower's security cameras from the Public Safety Bureau?\The Ministry of Welfare is a high-ranking organization, you know. response:	So you can't do it?
context: What are you after in the Ministry of Welfare's Nona Tower?\The communications terminal has been cut off!\Hey, Shion.\How's it going over there?\This place is about to become a war zone.\Is it possible to check the Nona Tower's security cameras from the Public Safety Bureau?\The Ministry of Welfare is a high-ranking organization, you know.\So you can't do it? response:	If it's okay to use the back door, I can do it,
context: The communications terminal has been cut off!\Hey, Shion.\How's it going over there?\This place is about to become a war zone.\Is it possible to check the Nona Tower's security cameras from the Public Safety Bureau?\The Ministry of Welfare is a high-ranking organization, you know.\So you can't do it?\If it's okay to use the back door, I can do it, response:	but I don't want to be held responsible for this later.
context: Hey, Shion.\How's it going over there?\This place is about to become a war zone.\Is it possible to check the Nona Tower's security cameras from the Public Safety Bureau?\The Ministry of Welfare is a high-ranking organization, you know.\So you can't do it?\If it's okay to use the back door, I can do it,\but I don't want to be held responsible for this later. response:	Understood.
context: How's it going over there?\This place is about to become a war zone.\Is it possible to check the Nona Tower's security cameras from the Public Safety Bureau?\The Ministry of Welfare is a high-ranking organization, you know.\So you can't do it?\If it's okay to use the back door, I can do it,\but I don't want to be held responsible for this later.\Understood. response:	I'll take full responsibility.
context: This place is about to become a war zone.\Is it possible to check the Nona Tower's security cameras from the Public Safety Bureau?\The Ministry of Welfare is a high-ranking organization, you know.\So you can't do it?\If it's okay to use the back door, I can do it,\but I don't want to be held responsible for this later.\Understood.\I'll take full responsibility. response:	Got that on tape.
context: Is it possible to check the Nona Tower's security cameras from the Public Safety Bureau?\The Ministry of Welfare is a high-ranking organization, you know.\So you can't do it?\If it's okay to use the back door, I can do it,\but I don't want to be held responsible for this later.\Understood.\I'll take full responsibility.\Got that on tape. response:	Okay. I'll use the key to the back door.
context: The Ministry of Welfare is a high-ranking organization, you know.\So you can't do it?\If it's okay to use the back door, I can do it,\but I don't want to be held responsible for this later.\Understood.\I'll take full responsibility.\Got that on tape.\Okay. I'll use the key to the back door. response:	The next thing we have to do is call Gino, Inspector.
context: So you can't do it?\If it's okay to use the back door, I can do it,\but I don't want to be held responsible for this later.\Understood.\I'll take full responsibility.\Got that on tape.\Okay. I'll use the key to the back door.\The next thing we have to do is call Gino, Inspector. response:	So you're absolutely sure?
context: If it's okay to use the back door, I can do it,\but I don't want to be held responsible for this later.\Understood.\I'll take full responsibility.\Got that on tape.\Okay. I'll use the key to the back door.\The next thing we have to do is call Gino, Inspector.\So you're absolutely sure? response:	Shion's currently tracking them to confirm whether it's Makishima.
context: but I don't want to be held responsible for this later.\Understood.\I'll take full responsibility.\Got that on tape.\Okay. I'll use the key to the back door.\The next thing we have to do is call Gino, Inspector.\So you're absolutely sure?\Shion's currently tracking them to confirm whether it's Makishima. response:	But we know for sure that an armed group has broken into the Nona Tower.
context: Understood.\I'll take full responsibility.\Got that on tape.\Okay. I'll use the key to the back door.\The next thing we have to do is call Gino, Inspector.\So you're absolutely sure?\Shion's currently tracking them to confirm whether it's Makishima.\But we know for sure that an armed group has broken into the Nona Tower. response:	The Tower has been compromised and its electronics and communications systems have been isolated.
context: I'll take full responsibility.\Got that on tape.\Okay. I'll use the key to the back door.\The next thing we have to do is call Gino, Inspector.\So you're absolutely sure?\Shion's currently tracking them to confirm whether it's Makishima.\But we know for sure that an armed group has broken into the Nona Tower.\The Tower has been compromised and its electronics and communications systems have been isolated. response:	Considering that they broke straight in through the front entrance,
context: Got that on tape.\Okay. I'll use the key to the back door.\The next thing we have to do is call Gino, Inspector.\So you're absolutely sure?\Shion's currently tracking them to confirm whether it's Makishima.\But we know for sure that an armed group has broken into the Nona Tower.\The Tower has been compromised and its electronics and communications systems have been isolated.\Considering that they broke straight in through the front entrance, response:	it's clear that the security system can't handle this kind of intrusion.
context: Okay. I'll use the key to the back door.\The next thing we have to do is call Gino, Inspector.\So you're absolutely sure?\Shion's currently tracking them to confirm whether it's Makishima.\But we know for sure that an armed group has broken into the Nona Tower.\The Tower has been compromised and its electronics and communications systems have been isolated.\Considering that they broke straight in through the front entrance,\it's clear that the security system can't handle this kind of intrusion. response:	Understood, Inspector Tsunemori.
context: The next thing we have to do is call Gino, Inspector.\So you're absolutely sure?\Shion's currently tracking them to confirm whether it's Makishima.\But we know for sure that an armed group has broken into the Nona Tower.\The Tower has been compromised and its electronics and communications systems have been isolated.\Considering that they broke straight in through the front entrance,\it's clear that the security system can't handle this kind of intrusion.\Understood, Inspector Tsunemori. response:	Also, can you hear me, Kougami, Kagari?
context: So you're absolutely sure?\Shion's currently tracking them to confirm whether it's Makishima.\But we know for sure that an armed group has broken into the Nona Tower.\The Tower has been compromised and its electronics and communications systems have been isolated.\Considering that they broke straight in through the front entrance,\it's clear that the security system can't handle this kind of intrusion.\Understood, Inspector Tsunemori.\Also, can you hear me, Kougami, Kagari? response:	Yep.
context: Shion's currently tracking them to confirm whether it's Makishima.\But we know for sure that an armed group has broken into the Nona Tower.\The Tower has been compromised and its electronics and communications systems have been isolated.\Considering that they broke straight in through the front entrance,\it's clear that the security system can't handle this kind of intrusion.\Understood, Inspector Tsunemori.\Also, can you hear me, Kougami, Kagari?\Yep. response:	The riots are still in full force, so we of Division 1 will deal with the incident at the Tower.
context: But we know for sure that an armed group has broken into the Nona Tower.\The Tower has been compromised and its electronics and communications systems have been isolated.\Considering that they broke straight in through the front entrance,\it's clear that the security system can't handle this kind of intrusion.\Understood, Inspector Tsunemori.\Also, can you hear me, Kougami, Kagari?\Yep.\The riots are still in full force, so we of Division 1 will deal with the incident at the Tower. response:	Now, listen.
context: The Tower has been compromised and its electronics and communications systems have been isolated.\Considering that they broke straight in through the front entrance,\it's clear that the security system can't handle this kind of intrusion.\Understood, Inspector Tsunemori.\Also, can you hear me, Kougami, Kagari?\Yep.\The riots are still in full force, so we of Division 1 will deal with the incident at the Tower.\Now, listen. response:	If Makishima is really there...
context: Considering that they broke straight in through the front entrance,\it's clear that the security system can't handle this kind of intrusion.\Understood, Inspector Tsunemori.\Also, can you hear me, Kougami, Kagari?\Yep.\The riots are still in full force, so we of Division 1 will deal with the incident at the Tower.\Now, listen.\If Makishima is really there... response:	Capture Makishima Shougo.
context: it's clear that the security system can't handle this kind of intrusion.\Understood, Inspector Tsunemori.\Also, can you hear me, Kougami, Kagari?\Yep.\The riots are still in full force, so we of Division 1 will deal with the incident at the Tower.\Now, listen.\If Makishima is really there...\Capture Makishima Shougo. response:	Apprehend him.
context: Understood, Inspector Tsunemori.\Also, can you hear me, Kougami, Kagari?\Yep.\The riots are still in full force, so we of Division 1 will deal with the incident at the Tower.\Now, listen.\If Makishima is really there...\Capture Makishima Shougo.\Apprehend him. response:	We need to interrogate him.
context: Also, can you hear me, Kougami, Kagari?\Yep.\The riots are still in full force, so we of Division 1 will deal with the incident at the Tower.\Now, listen.\If Makishima is really there...\Capture Makishima Shougo.\Apprehend him.\We need to interrogate him. response:	Make sure you capture him alive.
context: Yep.\The riots are still in full force, so we of Division 1 will deal with the incident at the Tower.\Now, listen.\If Makishima is really there...\Capture Makishima Shougo.\Apprehend him.\We need to interrogate him.\Make sure you capture him alive. response:	I'll try.
context: The riots are still in full force, so we of Division 1 will deal with the incident at the Tower.\Now, listen.\If Makishima is really there...\Capture Makishima Shougo.\Apprehend him.\We need to interrogate him.\Make sure you capture him alive.\I'll try. response:	Trying's not good enough!
context: Now, listen.\If Makishima is really there...\Capture Makishima Shougo.\Apprehend him.\We need to interrogate him.\Make sure you capture him alive.\I'll try.\Trying's not good enough! response:	I need you to do it!
context: If Makishima is really there...\Capture Makishima Shougo.\Apprehend him.\We need to interrogate him.\Make sure you capture him alive.\I'll try.\Trying's not good enough!\I need you to do it! response:	What's the matter?
context: Capture Makishima Shougo.\Apprehend him.\We need to interrogate him.\Make sure you capture him alive.\I'll try.\Trying's not good enough!\I need you to do it!\What's the matter? response:	Well... Nothing, really.
context: Apprehend him.\We need to interrogate him.\Make sure you capture him alive.\I'll try.\Trying's not good enough!\I need you to do it!\What's the matter?\Well... Nothing, really. response:	Should we wait for Gino and the others to arrive?
context: We need to interrogate him.\Make sure you capture him alive.\I'll try.\Trying's not good enough!\I need you to do it!\What's the matter?\Well... Nothing, really.\Should we wait for Gino and the others to arrive? response:	That's not funny.
context: Make sure you capture him alive.\I'll try.\Trying's not good enough!\I need you to do it!\What's the matter?\Well... Nothing, really.\Should we wait for Gino and the others to arrive?\That's not funny. response:	Yeah, I guess not.
context: I'll try.\Trying's not good enough!\I need you to do it!\What's the matter?\Well... Nothing, really.\Should we wait for Gino and the others to arrive?\That's not funny.\Yeah, I guess not. response:	But this tower is too big for the three of us to investigate alone.
context: Trying's not good enough!\I need you to do it!\What's the matter?\Well... Nothing, really.\Should we wait for Gino and the others to arrive?\That's not funny.\Yeah, I guess not.\But this tower is too big for the three of us to investigate alone. response:	It'll be fine.
context: I need you to do it!\What's the matter?\Well... Nothing, really.\Should we wait for Gino and the others to arrive?\That's not funny.\Yeah, I guess not.\But this tower is too big for the three of us to investigate alone.\It'll be fine. response:	We've got an expert at information analysis.
context: What's the matter?\Well... Nothing, really.\Should we wait for Gino and the others to arrive?\That's not funny.\Yeah, I guess not.\But this tower is too big for the three of us to investigate alone.\It'll be fine.\We've got an expert at information analysis. response:	Yeah, the very best there is.
context: Well... Nothing, really.\Should we wait for Gino and the others to arrive?\That's not funny.\Yeah, I guess not.\But this tower is too big for the three of us to investigate alone.\It'll be fine.\We've got an expert at information analysis.\Yeah, the very best there is. response:	Hey, are you boys talking about me?
context: Should we wait for Gino and the others to arrive?\That's not funny.\Yeah, I guess not.\But this tower is too big for the three of us to investigate alone.\It'll be fine.\We've got an expert at information analysis.\Yeah, the very best there is.\Hey, are you boys talking about me? response:	We might be. How's it going?
context: That's not funny.\Yeah, I guess not.\But this tower is too big for the three of us to investigate alone.\It'll be fine.\We've got an expert at information analysis.\Yeah, the very best there is.\Hey, are you boys talking about me?\We might be. How's it going? response:	I'm accessing all of Nona Tower's security cameras from the lab here at the Bureau.
context: Yeah, I guess not.\But this tower is too big for the three of us to investigate alone.\It'll be fine.\We've got an expert at information analysis.\Yeah, the very best there is.\Hey, are you boys talking about me?\We might be. How's it going?\I'm accessing all of Nona Tower's security cameras from the lab here at the Bureau. response:	The enemy has split into two groups.
context: But this tower is too big for the three of us to investigate alone.\It'll be fine.\We've got an expert at information analysis.\Yeah, the very best there is.\Hey, are you boys talking about me?\We might be. How's it going?\I'm accessing all of Nona Tower's security cameras from the lab here at the Bureau.\The enemy has split into two groups. response:	Four men upstairs, four downstairs.
context: It'll be fine.\We've got an expert at information analysis.\Yeah, the very best there is.\Hey, are you boys talking about me?\We might be. How's it going?\I'm accessing all of Nona Tower's security cameras from the lab here at the Bureau.\The enemy has split into two groups.\Four men upstairs, four downstairs. response:	Where's Makishima?
context: We've got an expert at information analysis.\Yeah, the very best there is.\Hey, are you boys talking about me?\We might be. How's it going?\I'm accessing all of Nona Tower's security cameras from the lab here at the Bureau.\The enemy has split into two groups.\Four men upstairs, four downstairs.\Where's Makishima? response:	He's upstairs.
context: Yeah, the very best there is.\Hey, are you boys talking about me?\We might be. How's it going?\I'm accessing all of Nona Tower's security cameras from the lab here at the Bureau.\The enemy has split into two groups.\Four men upstairs, four downstairs.\Where's Makishima?\He's upstairs. response:	He just got off the elevator at the top floor.
context: Hey, are you boys talking about me?\We might be. How's it going?\I'm accessing all of Nona Tower's security cameras from the lab here at the Bureau.\The enemy has split into two groups.\Four men upstairs, four downstairs.\Where's Makishima?\He's upstairs.\He just got off the elevator at the top floor. response:	Makishima Shougo Shibata Yukimori
context: We might be. How's it going?\I'm accessing all of Nona Tower's security cameras from the lab here at the Bureau.\The enemy has split into two groups.\Four men upstairs, four downstairs.\Where's Makishima?\He's upstairs.\He just got off the elevator at the top floor.\Makishima Shougo Shibata Yukimori response:	The top floor?
context: I'm accessing all of Nona Tower's security cameras from the lab here at the Bureau.\The enemy has split into two groups.\Four men upstairs, four downstairs.\Where's Makishima?\He's upstairs.\He just got off the elevator at the top floor.\Makishima Shougo Shibata Yukimori\The top floor? response:	Not the government office floor?
context: The enemy has split into two groups.\Four men upstairs, four downstairs.\Where's Makishima?\He's upstairs.\He just got off the elevator at the top floor.\Makishima Shougo Shibata Yukimori\The top floor?\Not the government office floor? response:	Right. They went straight to the antenna block.
context: Four men upstairs, four downstairs.\Where's Makishima?\He's upstairs.\He just got off the elevator at the top floor.\Makishima Shougo Shibata Yukimori\The top floor?\Not the government office floor?\Right. They went straight to the antenna block. response:	I wonder if they're trying to hijack the radio signal or something.
context: Where's Makishima?\He's upstairs.\He just got off the elevator at the top floor.\Makishima Shougo Shibata Yukimori\The top floor?\Not the government office floor?\Right. They went straight to the antenna block.\I wonder if they're trying to hijack the radio signal or something. response:	Their target isn't the Ministry of Welfare?
context: He's upstairs.\He just got off the elevator at the top floor.\Makishima Shougo Shibata Yukimori\The top floor?\Not the government office floor?\Right. They went straight to the antenna block.\I wonder if they're trying to hijack the radio signal or something.\Their target isn't the Ministry of Welfare? response:	So who headed downstairs?
context: He just got off the elevator at the top floor.\Makishima Shougo Shibata Yukimori\The top floor?\Not the government office floor?\Right. They went straight to the antenna block.\I wonder if they're trying to hijack the radio signal or something.\Their target isn't the Ministry of Welfare?\So who headed downstairs? response:	I'm not sure. They went down to the fourth level of the basement, then disappeared.
context: Makishima Shougo Shibata Yukimori\The top floor?\Not the government office floor?\Right. They went straight to the antenna block.\I wonder if they're trying to hijack the radio signal or something.\Their target isn't the Ministry of Welfare?\So who headed downstairs?\I'm not sure. They went down to the fourth level of the basement, then disappeared. response:	I wonder if they went through the maintenance hatch and entered a utility tunnel or something.
context: The top floor?\Not the government office floor?\Right. They went straight to the antenna block.\I wonder if they're trying to hijack the radio signal or something.\Their target isn't the Ministry of Welfare?\So who headed downstairs?\I'm not sure. They went down to the fourth level of the basement, then disappeared.\I wonder if they went through the maintenance hatch and entered a utility tunnel or something. response:	What the heck? That seems fishy.
context: Not the government office floor?\Right. They went straight to the antenna block.\I wonder if they're trying to hijack the radio signal or something.\Their target isn't the Ministry of Welfare?\So who headed downstairs?\I'm not sure. They went down to the fourth level of the basement, then disappeared.\I wonder if they went through the maintenance hatch and entered a utility tunnel or something.\What the heck? That seems fishy. response:	Let's go, Inspector.
context: Right. They went straight to the antenna block.\I wonder if they're trying to hijack the radio signal or something.\Their target isn't the Ministry of Welfare?\So who headed downstairs?\I'm not sure. They went down to the fourth level of the basement, then disappeared.\I wonder if they went through the maintenance hatch and entered a utility tunnel or something.\What the heck? That seems fishy.\Let's go, Inspector. response:	We'll follow Makishima.
context: I wonder if they're trying to hijack the radio signal or something.\Their target isn't the Ministry of Welfare?\So who headed downstairs?\I'm not sure. They went down to the fourth level of the basement, then disappeared.\I wonder if they went through the maintenance hatch and entered a utility tunnel or something.\What the heck? That seems fishy.\Let's go, Inspector.\We'll follow Makishima. response:	But what about downstairs?
context: Their target isn't the Ministry of Welfare?\So who headed downstairs?\I'm not sure. They went down to the fourth level of the basement, then disappeared.\I wonder if they went through the maintenance hatch and entered a utility tunnel or something.\What the heck? That seems fishy.\Let's go, Inspector.\We'll follow Makishima.\But what about downstairs? response:	I'll go.
context: So who headed downstairs?\I'm not sure. They went down to the fourth level of the basement, then disappeared.\I wonder if they went through the maintenance hatch and entered a utility tunnel or something.\What the heck? That seems fishy.\Let's go, Inspector.\We'll follow Makishima.\But what about downstairs?\I'll go. response:	But then it'll be one versus four.
context: I'm not sure. They went down to the fourth level of the basement, then disappeared.\I wonder if they went through the maintenance hatch and entered a utility tunnel or something.\What the heck? That seems fishy.\Let's go, Inspector.\We'll follow Makishima.\But what about downstairs?\I'll go.\But then it'll be one versus four. response:	It'll still be two versus four for you guys, right?
context: I wonder if they went through the maintenance hatch and entered a utility tunnel or something.\What the heck? That seems fishy.\Let's go, Inspector.\We'll follow Makishima.\But what about downstairs?\I'll go.\But then it'll be one versus four.\It'll still be two versus four for you guys, right? response:	And since Makishima's there, wouldn't upstairs be more dangerous?
context: What the heck? That seems fishy.\Let's go, Inspector.\We'll follow Makishima.\But what about downstairs?\I'll go.\But then it'll be one versus four.\It'll still be two versus four for you guys, right?\And since Makishima's there, wouldn't upstairs be more dangerous? response:	Okay!
context: Let's go, Inspector.\We'll follow Makishima.\But what about downstairs?\I'll go.\But then it'll be one versus four.\It'll still be two versus four for you guys, right?\And since Makishima's there, wouldn't upstairs be more dangerous?\Okay! response:	Kagari!
