context: Are you alone? response:	I always keep my promises
context: I'll talk... I'll talk, so don't kill me!\2220 Pier Drive... it's there!\That's a good attitude.\Your remuneration is anything but impressive, as always.\Shall we get going?\You're Havoc, correct?\You'll be accompanying us for the next several months.\From your right: April, response:	July,
context: 2220 Pier Drive... it's there!\That's a good attitude.\Your remuneration is anything but impressive, as always.\Shall we get going?\You're Havoc, correct?\You'll be accompanying us for the next several months.\From your right: April,\July, response:	and myself, November 11.
context: That's a good attitude.\Your remuneration is anything but impressive, as always.\Shall we get going?\You're Havoc, correct?\You'll be accompanying us for the next several months.\From your right: April,\July,\and myself, November 11. response:	We're from MI6.
context: Your remuneration is anything but impressive, as always.\Shall we get going?\You're Havoc, correct?\You'll be accompanying us for the next several months.\From your right: April,\July,\and myself, November 11.\We're from MI6. response:	Tokyo International Airport
context: Shall we get going?\You're Havoc, correct?\You'll be accompanying us for the next several months.\From your right: April,\July,\and myself, November 11.\We're from MI6.\Tokyo International Airport response:	She goes by the alias of Havoc.
context: You're Havoc, correct?\You'll be accompanying us for the next several months.\From your right: April,\July,\and myself, November 11.\We're from MI6.\Tokyo International Airport\She goes by the alias of Havoc. response:	She was feared by people as the most diabolical contractor in history.
context: You'll be accompanying us for the next several months.\From your right: April,\July,\and myself, November 11.\We're from MI6.\Tokyo International Airport\She goes by the alias of Havoc.\She was feared by people as the most diabolical contractor in history. response:	It was said that the number of lives she claimed during the Third South American War, also known as Heaven's War,
context: From your right: April,\July,\and myself, November 11.\We're from MI6.\Tokyo International Airport\She goes by the alias of Havoc.\She was feared by people as the most diabolical contractor in history.\It was said that the number of lives she claimed during the Third South American War, also known as Heaven's War, response:	was anywhere between several hundred and several thousand.
context: July,\and myself, November 11.\We're from MI6.\Tokyo International Airport\She goes by the alias of Havoc.\She was feared by people as the most diabolical contractor in history.\It was said that the number of lives she claimed during the Third South American War, also known as Heaven's War,\was anywhere between several hundred and several thousand. response:	She has the ability to create a vacuum at any location,
context: and myself, November 11.\We're from MI6.\Tokyo International Airport\She goes by the alias of Havoc.\She was feared by people as the most diabolical contractor in history.\It was said that the number of lives she claimed during the Third South American War, also known as Heaven's War,\was anywhere between several hundred and several thousand.\She has the ability to create a vacuum at any location, response:	but the details are unknown.
context: We're from MI6.\Tokyo International Airport\She goes by the alias of Havoc.\She was feared by people as the most diabolical contractor in history.\It was said that the number of lives she claimed during the Third South American War, also known as Heaven's War,\was anywhere between several hundred and several thousand.\She has the ability to create a vacuum at any location,\but the details are unknown. response:	Her ability has not been confirmed as of five years ago.
context: Tokyo International Airport\She goes by the alias of Havoc.\She was feared by people as the most diabolical contractor in history.\It was said that the number of lives she claimed during the Third South American War, also known as Heaven's War,\was anywhere between several hundred and several thousand.\She has the ability to create a vacuum at any location,\but the details are unknown.\Her ability has not been confirmed as of five years ago. response:	She is currently considered a regressor, as indicated by a spectrum analysis of her star.
context: She goes by the alias of Havoc.\She was feared by people as the most diabolical contractor in history.\It was said that the number of lives she claimed during the Third South American War, also known as Heaven's War,\was anywhere between several hundred and several thousand.\She has the ability to create a vacuum at any location,\but the details are unknown.\Her ability has not been confirmed as of five years ago.\She is currently considered a regressor, as indicated by a spectrum analysis of her star. response:	Regressor, huh?
context: She was feared by people as the most diabolical contractor in history.\It was said that the number of lives she claimed during the Third South American War, also known as Heaven's War,\was anywhere between several hundred and several thousand.\She has the ability to create a vacuum at any location,\but the details are unknown.\Her ability has not been confirmed as of five years ago.\She is currently considered a regressor, as indicated by a spectrum analysis of her star.\Regressor, huh? response:	You don't hear much about them.
context: It was said that the number of lives she claimed during the Third South American War, also known as Heaven's War,\was anywhere between several hundred and several thousand.\She has the ability to create a vacuum at any location,\but the details are unknown.\Her ability has not been confirmed as of five years ago.\She is currently considered a regressor, as indicated by a spectrum analysis of her star.\Regressor, huh?\You don't hear much about them. response:	Cases like that aren't only rare.
context: was anywhere between several hundred and several thousand.\She has the ability to create a vacuum at any location,\but the details are unknown.\Her ability has not been confirmed as of five years ago.\She is currently considered a regressor, as indicated by a spectrum analysis of her star.\Regressor, huh?\You don't hear much about them.\Cases like that aren't only rare. response:	Once their activities become untraceable, the subject is usually removed from further investigation.
context: She has the ability to create a vacuum at any location,\but the details are unknown.\Her ability has not been confirmed as of five years ago.\She is currently considered a regressor, as indicated by a spectrum analysis of her star.\Regressor, huh?\You don't hear much about them.\Cases like that aren't only rare.\Once their activities become untraceable, the subject is usually removed from further investigation. response:	And moved into research, right?
context: but the details are unknown.\Her ability has not been confirmed as of five years ago.\She is currently considered a regressor, as indicated by a spectrum analysis of her star.\Regressor, huh?\You don't hear much about them.\Cases like that aren't only rare.\Once their activities become untraceable, the subject is usually removed from further investigation.\And moved into research, right? response:	Exactly.
context: Her ability has not been confirmed as of five years ago.\She is currently considered a regressor, as indicated by a spectrum analysis of her star.\Regressor, huh?\You don't hear much about them.\Cases like that aren't only rare.\Once their activities become untraceable, the subject is usually removed from further investigation.\And moved into research, right?\Exactly. response:	What else?
context: She is currently considered a regressor, as indicated by a spectrum analysis of her star.\Regressor, huh?\You don't hear much about them.\Cases like that aren't only rare.\Once their activities become untraceable, the subject is usually removed from further investigation.\And moved into research, right?\Exactly.\What else? response:	It was reported that the subject admitted to being partially involved with the CIA during the MI6 interrogation.
context: Regressor, huh?\You don't hear much about them.\Cases like that aren't only rare.\Once their activities become untraceable, the subject is usually removed from further investigation.\And moved into research, right?\Exactly.\What else?\It was reported that the subject admitted to being partially involved with the CIA during the MI6 interrogation. response:	The CIA has bluntly denied those allegations, of course.
context: You don't hear much about them.\Cases like that aren't only rare.\Once their activities become untraceable, the subject is usually removed from further investigation.\And moved into research, right?\Exactly.\What else?\It was reported that the subject admitted to being partially involved with the CIA during the MI6 interrogation.\The CIA has bluntly denied those allegations, of course. response:	I am Eric Nishijima from Pandora.
context: Cases like that aren't only rare.\Once their activities become untraceable, the subject is usually removed from further investigation.\And moved into research, right?\Exactly.\What else?\It was reported that the subject admitted to being partially involved with the CIA during the MI6 interrogation.\The CIA has bluntly denied those allegations, of course.\I am Eric Nishijima from Pandora. response:	I'm here to ask you several questions.
context: Once their activities become untraceable, the subject is usually removed from further investigation.\And moved into research, right?\Exactly.\What else?\It was reported that the subject admitted to being partially involved with the CIA during the MI6 interrogation.\The CIA has bluntly denied those allegations, of course.\I am Eric Nishijima from Pandora.\I'm here to ask you several questions. response:	When you disembarked from the airplane, did you experience any physical abnormalities?
context: And moved into research, right?\Exactly.\What else?\It was reported that the subject admitted to being partially involved with the CIA during the MI6 interrogation.\The CIA has bluntly denied those allegations, of course.\I am Eric Nishijima from Pandora.\I'm here to ask you several questions.\When you disembarked from the airplane, did you experience any physical abnormalities? response:	No, I didn't.
context: Exactly.\What else?\It was reported that the subject admitted to being partially involved with the CIA during the MI6 interrogation.\The CIA has bluntly denied those allegations, of course.\I am Eric Nishijima from Pandora.\I'm here to ask you several questions.\When you disembarked from the airplane, did you experience any physical abnormalities?\No, I didn't. response:	How about mentally?
context: What else?\It was reported that the subject admitted to being partially involved with the CIA during the MI6 interrogation.\The CIA has bluntly denied those allegations, of course.\I am Eric Nishijima from Pandora.\I'm here to ask you several questions.\When you disembarked from the airplane, did you experience any physical abnormalities?\No, I didn't.\How about mentally? response:	Nothing.
context: It was reported that the subject admitted to being partially involved with the CIA during the MI6 interrogation.\The CIA has bluntly denied those allegations, of course.\I am Eric Nishijima from Pandora.\I'm here to ask you several questions.\When you disembarked from the airplane, did you experience any physical abnormalities?\No, I didn't.\How about mentally?\Nothing. response:	From this point forward, you will cooperate with Pandora, the U.N.-led research institute,
context: The CIA has bluntly denied those allegations, of course.\I am Eric Nishijima from Pandora.\I'm here to ask you several questions.\When you disembarked from the airplane, did you experience any physical abnormalities?\No, I didn't.\How about mentally?\Nothing.\From this point forward, you will cooperate with Pandora, the U.N.-led research institute, response:	in conducting various experiments within Hell's Gate.
context: I am Eric Nishijima from Pandora.\I'm here to ask you several questions.\When you disembarked from the airplane, did you experience any physical abnormalities?\No, I didn't.\How about mentally?\Nothing.\From this point forward, you will cooperate with Pandora, the U.N.-led research institute,\in conducting various experiments within Hell's Gate. response:	Do you have any problems regarding this arrangement?
context: I'm here to ask you several questions.\When you disembarked from the airplane, did you experience any physical abnormalities?\No, I didn't.\How about mentally?\Nothing.\From this point forward, you will cooperate with Pandora, the U.N.-led research institute,\in conducting various experiments within Hell's Gate.\Do you have any problems regarding this arrangement? response:	You're the ones who have a problem with it.
context: When you disembarked from the airplane, did you experience any physical abnormalities?\No, I didn't.\How about mentally?\Nothing.\From this point forward, you will cooperate with Pandora, the U.N.-led research institute,\in conducting various experiments within Hell's Gate.\Do you have any problems regarding this arrangement?\You're the ones who have a problem with it. response:	The downfall of a contractor, perhaps?
context: No, I didn't.\How about mentally?\Nothing.\From this point forward, you will cooperate with Pandora, the U.N.-led research institute,\in conducting various experiments within Hell's Gate.\Do you have any problems regarding this arrangement?\You're the ones who have a problem with it.\The downfall of a contractor, perhaps? response:	Five years ago, after the disappearance of Heaven's Gate in South America,
context: How about mentally?\Nothing.\From this point forward, you will cooperate with Pandora, the U.N.-led research institute,\in conducting various experiments within Hell's Gate.\Do you have any problems regarding this arrangement?\You're the ones who have a problem with it.\The downfall of a contractor, perhaps?\Five years ago, after the disappearance of Heaven's Gate in South America, response:	how did she wander about and arrive in Romania?
context: Nothing.\From this point forward, you will cooperate with Pandora, the U.N.-led research institute,\in conducting various experiments within Hell's Gate.\Do you have any problems regarding this arrangement?\You're the ones who have a problem with it.\The downfall of a contractor, perhaps?\Five years ago, after the disappearance of Heaven's Gate in South America,\how did she wander about and arrive in Romania? response:	Um, excuse me, but...
context: From this point forward, you will cooperate with Pandora, the U.N.-led research institute,\in conducting various experiments within Hell's Gate.\Do you have any problems regarding this arrangement?\You're the ones who have a problem with it.\The downfall of a contractor, perhaps?\Five years ago, after the disappearance of Heaven's Gate in South America,\how did she wander about and arrive in Romania?\Um, excuse me, but... response:	Oh, pardon me.
context: in conducting various experiments within Hell's Gate.\Do you have any problems regarding this arrangement?\You're the ones who have a problem with it.\The downfall of a contractor, perhaps?\Five years ago, after the disappearance of Heaven's Gate in South America,\how did she wander about and arrive in Romania?\Um, excuse me, but...\Oh, pardon me. response:	I am Jack Simon of the British Foreign Ministry.
context: Do you have any problems regarding this arrangement?\You're the ones who have a problem with it.\The downfall of a contractor, perhaps?\Five years ago, after the disappearance of Heaven's Gate in South America,\how did she wander about and arrive in Romania?\Um, excuse me, but...\Oh, pardon me.\I am Jack Simon of the British Foreign Ministry. response:	I've been informed about you,
context: You're the ones who have a problem with it.\The downfall of a contractor, perhaps?\Five years ago, after the disappearance of Heaven's Gate in South America,\how did she wander about and arrive in Romania?\Um, excuse me, but...\Oh, pardon me.\I am Jack Simon of the British Foreign Ministry.\I've been informed about you, response:	Mister...
context: The downfall of a contractor, perhaps?\Five years ago, after the disappearance of Heaven's Gate in South America,\how did she wander about and arrive in Romania?\Um, excuse me, but...\Oh, pardon me.\I am Jack Simon of the British Foreign Ministry.\I've been informed about you,\Mister... response:	Please call me Jack, Misaki.
context: Five years ago, after the disappearance of Heaven's Gate in South America,\how did she wander about and arrive in Romania?\Um, excuse me, but...\Oh, pardon me.\I am Jack Simon of the British Foreign Ministry.\I've been informed about you,\Mister...\Please call me Jack, Misaki. response:	My name is Kirihara.
context: how did she wander about and arrive in Romania?\Um, excuse me, but...\Oh, pardon me.\I am Jack Simon of the British Foreign Ministry.\I've been informed about you,\Mister...\Please call me Jack, Misaki.\My name is Kirihara. response:	Episode Five Red Giant over Eastern Europe... (Part One)
context: Um, excuse me, but...\Oh, pardon me.\I am Jack Simon of the British Foreign Ministry.\I've been informed about you,\Mister...\Please call me Jack, Misaki.\My name is Kirihara.\Episode Five Red Giant over Eastern Europe... (Part One) response:	Is this your first time in Tokyo?
context: Oh, pardon me.\I am Jack Simon of the British Foreign Ministry.\I've been informed about you,\Mister...\Please call me Jack, Misaki.\My name is Kirihara.\Episode Five Red Giant over Eastern Europe... (Part One)\Is this your first time in Tokyo? response:	No, I've been here twice before on assassination missions.
context: I am Jack Simon of the British Foreign Ministry.\I've been informed about you,\Mister...\Please call me Jack, Misaki.\My name is Kirihara.\Episode Five Red Giant over Eastern Europe... (Part One)\Is this your first time in Tokyo?\No, I've been here twice before on assassination missions. response:	I'm kidding.
context: I've been informed about you,\Mister...\Please call me Jack, Misaki.\My name is Kirihara.\Episode Five Red Giant over Eastern Europe... (Part One)\Is this your first time in Tokyo?\No, I've been here twice before on assassination missions.\I'm kidding. response:	Mr. Simon, I also have something I'd like to ask you.
context: Mister...\Please call me Jack, Misaki.\My name is Kirihara.\Episode Five Red Giant over Eastern Europe... (Part One)\Is this your first time in Tokyo?\No, I've been here twice before on assassination missions.\I'm kidding.\Mr. Simon, I also have something I'd like to ask you. response:	Ask away.
context: Please call me Jack, Misaki.\My name is Kirihara.\Episode Five Red Giant over Eastern Europe... (Part One)\Is this your first time in Tokyo?\No, I've been here twice before on assassination missions.\I'm kidding.\Mr. Simon, I also have something I'd like to ask you.\Ask away. response:	Upon capturing a valuable subject such as Havoc, why didn't the MI6
context: My name is Kirihara.\Episode Five Red Giant over Eastern Europe... (Part One)\Is this your first time in Tokyo?\No, I've been here twice before on assassination missions.\I'm kidding.\Mr. Simon, I also have something I'd like to ask you.\Ask away.\Upon capturing a valuable subject such as Havoc, why didn't the MI6 response:	conduct research of their own, instead of deferring her to the U.N.-led Pandora?
context: Episode Five Red Giant over Eastern Europe... (Part One)\Is this your first time in Tokyo?\No, I've been here twice before on assassination missions.\I'm kidding.\Mr. Simon, I also have something I'd like to ask you.\Ask away.\Upon capturing a valuable subject such as Havoc, why didn't the MI6\conduct research of their own, instead of deferring her to the U.N.-led Pandora? response:	Isn't it the same in Japan?
context: Is this your first time in Tokyo?\No, I've been here twice before on assassination missions.\I'm kidding.\Mr. Simon, I also have something I'd like to ask you.\Ask away.\Upon capturing a valuable subject such as Havoc, why didn't the MI6\conduct research of their own, instead of deferring her to the U.N.-led Pandora?\Isn't it the same in Japan? response:	Although new international laws were established after the war,
context: No, I've been here twice before on assassination missions.\I'm kidding.\Mr. Simon, I also have something I'd like to ask you.\Ask away.\Upon capturing a valuable subject such as Havoc, why didn't the MI6\conduct research of their own, instead of deferring her to the U.N.-led Pandora?\Isn't it the same in Japan?\Although new international laws were established after the war, response:	I can't believe nations have given up on researching supernatural beings and the gate.
context: I'm kidding.\Mr. Simon, I also have something I'd like to ask you.\Ask away.\Upon capturing a valuable subject such as Havoc, why didn't the MI6\conduct research of their own, instead of deferring her to the U.N.-led Pandora?\Isn't it the same in Japan?\Although new international laws were established after the war,\I can't believe nations have given up on researching supernatural beings and the gate. response:	Japan included.
context: Mr. Simon, I also have something I'd like to ask you.\Ask away.\Upon capturing a valuable subject such as Havoc, why didn't the MI6\conduct research of their own, instead of deferring her to the U.N.-led Pandora?\Isn't it the same in Japan?\Although new international laws were established after the war,\I can't believe nations have given up on researching supernatural beings and the gate.\Japan included. response:	Yes.
context: Ask away.\Upon capturing a valuable subject such as Havoc, why didn't the MI6\conduct research of their own, instead of deferring her to the U.N.-led Pandora?\Isn't it the same in Japan?\Although new international laws were established after the war,\I can't believe nations have given up on researching supernatural beings and the gate.\Japan included.\Yes. response:	In the U.K., there is very little public support for research on supernatural beings,
context: Upon capturing a valuable subject such as Havoc, why didn't the MI6\conduct research of their own, instead of deferring her to the U.N.-led Pandora?\Isn't it the same in Japan?\Although new international laws were established after the war,\I can't believe nations have given up on researching supernatural beings and the gate.\Japan included.\Yes.\In the U.K., there is very little public support for research on supernatural beings, response:	especially after the impasse that occurred in South America.
context: conduct research of their own, instead of deferring her to the U.N.-led Pandora?\Isn't it the same in Japan?\Although new international laws were established after the war,\I can't believe nations have given up on researching supernatural beings and the gate.\Japan included.\Yes.\In the U.K., there is very little public support for research on supernatural beings,\especially after the impasse that occurred in South America. response:	In order to avoid risk and efficiently obtain information,
