context: There you are. response:	They threw my gym clothes in the garbage.
context: You should probably hold off on dying.\Wait a little longer and you'll make a friend. An annoying one, but still.\You'll also meet a tall guy who's kind and a girl who's friendly,\and a kinda-cowardly student council president and his little posse.\Lots of people will want to be friends with you.\Not only that,\but you'll meet someone who cries for you, laughs for you,\gets sad for you, gets mad for you, and scolds you when you need scolding. response:	She's waiting for you, I promise.
context: Wait a little longer and you'll make a friend. An annoying one, but still.\You'll also meet a tall guy who's kind and a girl who's friendly,\and a kinda-cowardly student council president and his little posse.\Lots of people will want to be friends with you.\Not only that,\but you'll meet someone who cries for you, laughs for you,\gets sad for you, gets mad for you, and scolds you when you need scolding.\She's waiting for you, I promise. response:	If that's true, then...
context: You'll also meet a tall guy who's kind and a girl who's friendly,\and a kinda-cowardly student council president and his little posse.\Lots of people will want to be friends with you.\Not only that,\but you'll meet someone who cries for you, laughs for you,\gets sad for you, gets mad for you, and scolds you when you need scolding.\She's waiting for you, I promise.\If that's true, then... response:	Then...
context: and a kinda-cowardly student council president and his little posse.\Lots of people will want to be friends with you.\Not only that,\but you'll meet someone who cries for you, laughs for you,\gets sad for you, gets mad for you, and scolds you when you need scolding.\She's waiting for you, I promise.\If that's true, then...\Then... response:	Huh? What was I just dreaming about?
context: Lots of people will want to be friends with you.\Not only that,\but you'll meet someone who cries for you, laughs for you,\gets sad for you, gets mad for you, and scolds you when you need scolding.\She's waiting for you, I promise.\If that's true, then...\Then...\Huh? What was I just dreaming about? response:	I wanna see Hori-san.
context: Not only that,\but you'll meet someone who cries for you, laughs for you,\gets sad for you, gets mad for you, and scolds you when you need scolding.\She's waiting for you, I promise.\If that's true, then...\Then...\Huh? What was I just dreaming about?\I wanna see Hori-san. response:	Horimiya
context: but you'll meet someone who cries for you, laughs for you,\gets sad for you, gets mad for you, and scolds you when you need scolding.\She's waiting for you, I promise.\If that's true, then...\Then...\Huh? What was I just dreaming about?\I wanna see Hori-san.\Horimiya response:	The boy I love is really weak.
context: gets sad for you, gets mad for you, and scolds you when you need scolding.\She's waiting for you, I promise.\If that's true, then...\Then...\Huh? What was I just dreaming about?\I wanna see Hori-san.\Horimiya\The boy I love is really weak. response:	Really, really weak.
context: She's waiting for you, I promise.\If that's true, then...\Then...\Huh? What was I just dreaming about?\I wanna see Hori-san.\Horimiya\The boy I love is really weak.\Really, really weak. response:	He doesn't actually like yelling at people.
context: If that's true, then...\Then...\Huh? What was I just dreaming about?\I wanna see Hori-san.\Horimiya\The boy I love is really weak.\Really, really weak.\He doesn't actually like yelling at people. response:	He'll laugh about being unathletic,
context: Then...\Huh? What was I just dreaming about?\I wanna see Hori-san.\Horimiya\The boy I love is really weak.\Really, really weak.\He doesn't actually like yelling at people.\He'll laugh about being unathletic, response:	when really, he wishes he wasn't.
context: Huh? What was I just dreaming about?\I wanna see Hori-san.\Horimiya\The boy I love is really weak.\Really, really weak.\He doesn't actually like yelling at people.\He'll laugh about being unathletic,\when really, he wishes he wasn't. response:	Boys and girls alike all fawn over him,
context: I wanna see Hori-san.\Horimiya\The boy I love is really weak.\Really, really weak.\He doesn't actually like yelling at people.\He'll laugh about being unathletic,\when really, he wishes he wasn't.\Boys and girls alike all fawn over him, response:	which makes him happy,
context: Horimiya\The boy I love is really weak.\Really, really weak.\He doesn't actually like yelling at people.\He'll laugh about being unathletic,\when really, he wishes he wasn't.\Boys and girls alike all fawn over him,\which makes him happy, response:	but every now and then, it makes him feel anxious.
context: The boy I love is really weak.\Really, really weak.\He doesn't actually like yelling at people.\He'll laugh about being unathletic,\when really, he wishes he wasn't.\Boys and girls alike all fawn over him,\which makes him happy,\but every now and then, it makes him feel anxious. response:	The Truth Deception Reveals
context: Really, really weak.\He doesn't actually like yelling at people.\He'll laugh about being unathletic,\when really, he wishes he wasn't.\Boys and girls alike all fawn over him,\which makes him happy,\but every now and then, it makes him feel anxious.\The Truth Deception Reveals response:	The Truth Deception Reveals
context: He doesn't actually like yelling at people.\He'll laugh about being unathletic,\when really, he wishes he wasn't.\Boys and girls alike all fawn over him,\which makes him happy,\but every now and then, it makes him feel anxious.\The Truth Deception Reveals\The Truth Deception Reveals response:	There's so much he struggles with, and I love him so much.
context: He'll laugh about being unathletic,\when really, he wishes he wasn't.\Boys and girls alike all fawn over him,\which makes him happy,\but every now and then, it makes him feel anxious.\The Truth Deception Reveals\The Truth Deception Reveals\There's so much he struggles with, and I love him so much. response:	There's so much he struggles with, and I love him so much.
context: when really, he wishes he wasn't.\Boys and girls alike all fawn over him,\which makes him happy,\but every now and then, it makes him feel anxious.\The Truth Deception Reveals\The Truth Deception Reveals\There's so much he struggles with, and I love him so much.\There's so much he struggles with, and I love him so much. response:	O-Oh, no! Sengoku-kun, get it, I'm scared!
context: Boys and girls alike all fawn over him,\which makes him happy,\but every now and then, it makes him feel anxious.\The Truth Deception Reveals\The Truth Deception Reveals\There's so much he struggles with, and I love him so much.\There's so much he struggles with, and I love him so much.\O-Oh, no! Sengoku-kun, get it, I'm scared! response:	His expression screams I'm scared, too!
context: which makes him happy,\but every now and then, it makes him feel anxious.\The Truth Deception Reveals\The Truth Deception Reveals\There's so much he struggles with, and I love him so much.\There's so much he struggles with, and I love him so much.\O-Oh, no! Sengoku-kun, get it, I'm scared!\His expression screams I'm scared, too! response:	But...
context: but every now and then, it makes him feel anxious.\The Truth Deception Reveals\The Truth Deception Reveals\There's so much he struggles with, and I love him so much.\There's so much he struggles with, and I love him so much.\O-Oh, no! Sengoku-kun, get it, I'm scared!\His expression screams I'm scared, too!\But... response:	That really freaked him out. Good job.
context: The Truth Deception Reveals\The Truth Deception Reveals\There's so much he struggles with, and I love him so much.\There's so much he struggles with, and I love him so much.\O-Oh, no! Sengoku-kun, get it, I'm scared!\His expression screams I'm scared, too!\But...\That really freaked him out. Good job. response:	The boy I love is weak, but he tries really hard.
context: The Truth Deception Reveals\There's so much he struggles with, and I love him so much.\There's so much he struggles with, and I love him so much.\O-Oh, no! Sengoku-kun, get it, I'm scared!\His expression screams I'm scared, too!\But...\That really freaked him out. Good job.\The boy I love is weak, but he tries really hard. response:	But you know,
context: There's so much he struggles with, and I love him so much.\There's so much he struggles with, and I love him so much.\O-Oh, no! Sengoku-kun, get it, I'm scared!\His expression screams I'm scared, too!\But...\That really freaked him out. Good job.\The boy I love is weak, but he tries really hard.\But you know, response:	back when we met, he was a totally different person.
context: There's so much he struggles with, and I love him so much.\O-Oh, no! Sengoku-kun, get it, I'm scared!\His expression screams I'm scared, too!\But...\That really freaked him out. Good job.\The boy I love is weak, but he tries really hard.\But you know,\back when we met, he was a totally different person. response:	Man, I have such a crush on Ayasaki.
context: O-Oh, no! Sengoku-kun, get it, I'm scared!\His expression screams I'm scared, too!\But...\That really freaked him out. Good job.\The boy I love is weak, but he tries really hard.\But you know,\back when we met, he was a totally different person.\Man, I have such a crush on Ayasaki. response:	Her face is so tiny and cute, you know?
context: His expression screams I'm scared, too!\But...\That really freaked him out. Good job.\The boy I love is weak, but he tries really hard.\But you know,\back when we met, he was a totally different person.\Man, I have such a crush on Ayasaki.\Her face is so tiny and cute, you know? response:	Yeah, totally!
context: But...\That really freaked him out. Good job.\The boy I love is weak, but he tries really hard.\But you know,\back when we met, he was a totally different person.\Man, I have such a crush on Ayasaki.\Her face is so tiny and cute, you know?\Yeah, totally! response:	She's so hard to approach, though. Like, she thinks she's too good for us.
context: That really freaked him out. Good job.\The boy I love is weak, but he tries really hard.\But you know,\back when we met, he was a totally different person.\Man, I have such a crush on Ayasaki.\Her face is so tiny and cute, you know?\Yeah, totally!\She's so hard to approach, though. Like, she thinks she's too good for us. response:	Probably'cause she knows all the guys have the hots for her.
context: The boy I love is weak, but he tries really hard.\But you know,\back when we met, he was a totally different person.\Man, I have such a crush on Ayasaki.\Her face is so tiny and cute, you know?\Yeah, totally!\She's so hard to approach, though. Like, she thinks she's too good for us.\Probably'cause she knows all the guys have the hots for her. response:	Out of all the girls, Ayasaki and Kono really stick out.
context: But you know,\back when we met, he was a totally different person.\Man, I have such a crush on Ayasaki.\Her face is so tiny and cute, you know?\Yeah, totally!\She's so hard to approach, though. Like, she thinks she's too good for us.\Probably'cause she knows all the guys have the hots for her.\Out of all the girls, Ayasaki and Kono really stick out. response:	They're like Beauty and the Beast.
context: back when we met, he was a totally different person.\Man, I have such a crush on Ayasaki.\Her face is so tiny and cute, you know?\Yeah, totally!\She's so hard to approach, though. Like, she thinks she's too good for us.\Probably'cause she knows all the guys have the hots for her.\Out of all the girls, Ayasaki and Kono really stick out.\They're like Beauty and the Beast. response:	You think so? They're both pretty normal.
context: Man, I have such a crush on Ayasaki.\Her face is so tiny and cute, you know?\Yeah, totally!\She's so hard to approach, though. Like, she thinks she's too good for us.\Probably'cause she knows all the guys have the hots for her.\Out of all the girls, Ayasaki and Kono really stick out.\They're like Beauty and the Beast.\You think so? They're both pretty normal. response:	C'mon, dude, Ayasaki's super hot.
context: Her face is so tiny and cute, you know?\Yeah, totally!\She's so hard to approach, though. Like, she thinks she's too good for us.\Probably'cause she knows all the guys have the hots for her.\Out of all the girls, Ayasaki and Kono really stick out.\They're like Beauty and the Beast.\You think so? They're both pretty normal.\C'mon, dude, Ayasaki's super hot. response:	Not really. They both look normal.
context: Yeah, totally!\She's so hard to approach, though. Like, she thinks she's too good for us.\Probably'cause she knows all the guys have the hots for her.\Out of all the girls, Ayasaki and Kono really stick out.\They're like Beauty and the Beast.\You think so? They're both pretty normal.\C'mon, dude, Ayasaki's super hot.\Not really. They both look normal. response:	What were you reading in class just now?
context: She's so hard to approach, though. Like, she thinks she's too good for us.\Probably'cause she knows all the guys have the hots for her.\Out of all the girls, Ayasaki and Kono really stick out.\They're like Beauty and the Beast.\You think so? They're both pretty normal.\C'mon, dude, Ayasaki's super hot.\Not really. They both look normal.\What were you reading in class just now? response:	Some manga?
context: Probably'cause she knows all the guys have the hots for her.\Out of all the girls, Ayasaki and Kono really stick out.\They're like Beauty and the Beast.\You think so? They're both pretty normal.\C'mon, dude, Ayasaki's super hot.\Not really. They both look normal.\What were you reading in class just now?\Some manga? response:	Goethe.
context: Out of all the girls, Ayasaki and Kono really stick out.\They're like Beauty and the Beast.\You think so? They're both pretty normal.\C'mon, dude, Ayasaki's super hot.\Not really. They both look normal.\What were you reading in class just now?\Some manga?\Goethe. response:	Gerta? What's that?
context: They're like Beauty and the Beast.\You think so? They're both pretty normal.\C'mon, dude, Ayasaki's super hot.\Not really. They both look normal.\What were you reading in class just now?\Some manga?\Goethe.\Gerta? What's that? response:	Goethe. He's an author.
context: You think so? They're both pretty normal.\C'mon, dude, Ayasaki's super hot.\Not really. They both look normal.\What were you reading in class just now?\Some manga?\Goethe.\Gerta? What's that?\Goethe. He's an author. response:	Oh, that's not the name of the book. Is it good?
context: C'mon, dude, Ayasaki's super hot.\Not really. They both look normal.\What were you reading in class just now?\Some manga?\Goethe.\Gerta? What's that?\Goethe. He's an author.\Oh, that's not the name of the book. Is it good? response:	Do you like to read, too, Ayasaki-san?
context: Not really. They both look normal.\What were you reading in class just now?\Some manga?\Goethe.\Gerta? What's that?\Goethe. He's an author.\Oh, that's not the name of the book. Is it good?\Do you like to read, too, Ayasaki-san? response:	Not during class, but yeah, I like reading.
context: What were you reading in class just now?\Some manga?\Goethe.\Gerta? What's that?\Goethe. He's an author.\Oh, that's not the name of the book. Is it good?\Do you like to read, too, Ayasaki-san?\Not during class, but yeah, I like reading. response:	Like Grimm's Fairy Tales.
context: Some manga?\Goethe.\Gerta? What's that?\Goethe. He's an author.\Oh, that's not the name of the book. Is it good?\Do you like to read, too, Ayasaki-san?\Not during class, but yeah, I like reading.\Like Grimm's Fairy Tales. response:	You mean like, Snow White?
context: Goethe.\Gerta? What's that?\Goethe. He's an author.\Oh, that's not the name of the book. Is it good?\Do you like to read, too, Ayasaki-san?\Not during class, but yeah, I like reading.\Like Grimm's Fairy Tales.\You mean like, Snow White? response:	Yeah, like Snow White.
context: Gerta? What's that?\Goethe. He's an author.\Oh, that's not the name of the book. Is it good?\Do you like to read, too, Ayasaki-san?\Not during class, but yeah, I like reading.\Like Grimm's Fairy Tales.\You mean like, Snow White?\Yeah, like Snow White. response:	Snow White
context: Goethe. He's an author.\Oh, that's not the name of the book. Is it good?\Do you like to read, too, Ayasaki-san?\Not during class, but yeah, I like reading.\Like Grimm's Fairy Tales.\You mean like, Snow White?\Yeah, like Snow White.\Snow White response:	Snow White
context: Oh, that's not the name of the book. Is it good?\Do you like to read, too, Ayasaki-san?\Not during class, but yeah, I like reading.\Like Grimm's Fairy Tales.\You mean like, Snow White?\Yeah, like Snow White.\Snow White\Snow White response:	I brought these for you to borrow.
context: Do you like to read, too, Ayasaki-san?\Not during class, but yeah, I like reading.\Like Grimm's Fairy Tales.\You mean like, Snow White?\Yeah, like Snow White.\Snow White\Snow White\I brought these for you to borrow. response:	I brought these for you to borrow.
context: Not during class, but yeah, I like reading.\Like Grimm's Fairy Tales.\You mean like, Snow White?\Yeah, like Snow White.\Snow White\Snow White\I brought these for you to borrow.\I brought these for you to borrow. response:	Really?
context: Like Grimm's Fairy Tales.\You mean like, Snow White?\Yeah, like Snow White.\Snow White\Snow White\I brought these for you to borrow.\I brought these for you to borrow.\Really? response:	There are a bunch of stories in there, so hopefully you'll find one you like.
context: You mean like, Snow White?\Yeah, like Snow White.\Snow White\Snow White\I brought these for you to borrow.\I brought these for you to borrow.\Really?\There are a bunch of stories in there, so hopefully you'll find one you like. response:	Wow, thanks!
context: Yeah, like Snow White.\Snow White\Snow White\I brought these for you to borrow.\I brought these for you to borrow.\Really?\There are a bunch of stories in there, so hopefully you'll find one you like.\Wow, thanks! response:	That'll be a fun read, Remi.
context: Snow White\Snow White\I brought these for you to borrow.\I brought these for you to borrow.\Really?\There are a bunch of stories in there, so hopefully you'll find one you like.\Wow, thanks!\That'll be a fun read, Remi. response:	Yeah!
context: Snow White\I brought these for you to borrow.\I brought these for you to borrow.\Really?\There are a bunch of stories in there, so hopefully you'll find one you like.\Wow, thanks!\That'll be a fun read, Remi.\Yeah! response:	Oh, do you like books like these, too, Kono-san?
context: I brought these for you to borrow.\I brought these for you to borrow.\Really?\There are a bunch of stories in there, so hopefully you'll find one you like.\Wow, thanks!\That'll be a fun read, Remi.\Yeah!\Oh, do you like books like these, too, Kono-san? response:	Wait, me? Yeah.
context: I brought these for you to borrow.\Really?\There are a bunch of stories in there, so hopefully you'll find one you like.\Wow, thanks!\That'll be a fun read, Remi.\Yeah!\Oh, do you like books like these, too, Kono-san?\Wait, me? Yeah. response:	Then you can borrow them after Ayasaki-san.
context: Really?\There are a bunch of stories in there, so hopefully you'll find one you like.\Wow, thanks!\That'll be a fun read, Remi.\Yeah!\Oh, do you like books like these, too, Kono-san?\Wait, me? Yeah.\Then you can borrow them after Ayasaki-san. response:	I really like the third story in the collection. It's really captivating.
context: There are a bunch of stories in there, so hopefully you'll find one you like.\Wow, thanks!\That'll be a fun read, Remi.\Yeah!\Oh, do you like books like these, too, Kono-san?\Wait, me? Yeah.\Then you can borrow them after Ayasaki-san.\I really like the third story in the collection. It's really captivating. response:	Wait, are you sure?
context: Wow, thanks!\That'll be a fun read, Remi.\Yeah!\Oh, do you like books like these, too, Kono-san?\Wait, me? Yeah.\Then you can borrow them after Ayasaki-san.\I really like the third story in the collection. It's really captivating.\Wait, are you sure? response:	Yeah.
context: That'll be a fun read, Remi.\Yeah!\Oh, do you like books like these, too, Kono-san?\Wait, me? Yeah.\Then you can borrow them after Ayasaki-san.\I really like the third story in the collection. It's really captivating.\Wait, are you sure?\Yeah. response:	Th-Thanks.
context: Yeah!\Oh, do you like books like these, too, Kono-san?\Wait, me? Yeah.\Then you can borrow them after Ayasaki-san.\I really like the third story in the collection. It's really captivating.\Wait, are you sure?\Yeah.\Th-Thanks. response:	I really liked these. Thanks!
context: Oh, do you like books like these, too, Kono-san?\Wait, me? Yeah.\Then you can borrow them after Ayasaki-san.\I really like the third story in the collection. It's really captivating.\Wait, are you sure?\Yeah.\Th-Thanks.\I really liked these. Thanks! response:	Then here, read these next.
context: Wait, me? Yeah.\Then you can borrow them after Ayasaki-san.\I really like the third story in the collection. It's really captivating.\Wait, are you sure?\Yeah.\Th-Thanks.\I really liked these. Thanks!\Then here, read these next. response:	Whoa, more books?! Sweet!
context: Then you can borrow them after Ayasaki-san.\I really like the third story in the collection. It's really captivating.\Wait, are you sure?\Yeah.\Th-Thanks.\I really liked these. Thanks!\Then here, read these next.\Whoa, more books?! Sweet! response:	How many books do you own?
context: I really like the third story in the collection. It's really captivating.\Wait, are you sure?\Yeah.\Th-Thanks.\I really liked these. Thanks!\Then here, read these next.\Whoa, more books?! Sweet!\How many books do you own? response:	They're mostly my parents'. We have a whole room full of them at my house.
context: Wait, are you sure?\Yeah.\Th-Thanks.\I really liked these. Thanks!\Then here, read these next.\Whoa, more books?! Sweet!\How many books do you own?\They're mostly my parents'. We have a whole room full of them at my house. response:	Really? I wish I could see.
context: Yeah.\Th-Thanks.\I really liked these. Thanks!\Then here, read these next.\Whoa, more books?! Sweet!\How many books do you own?\They're mostly my parents'. We have a whole room full of them at my house.\Really? I wish I could see. response:	You want to? You can.
context: Th-Thanks.\I really liked these. Thanks!\Then here, read these next.\Whoa, more books?! Sweet!\How many books do you own?\They're mostly my parents'. We have a whole room full of them at my house.\Really? I wish I could see.\You want to? You can. response:	Oh, don't worry; I won't be weird about it or anything!
context: I really liked these. Thanks!\Then here, read these next.\Whoa, more books?! Sweet!\How many books do you own?\They're mostly my parents'. We have a whole room full of them at my house.\Really? I wish I could see.\You want to? You can.\Oh, don't worry; I won't be weird about it or anything! response:	Oh, uh, sure, got it.
context: Then here, read these next.\Whoa, more books?! Sweet!\How many books do you own?\They're mostly my parents'. We have a whole room full of them at my house.\Really? I wish I could see.\You want to? You can.\Oh, don't worry; I won't be weird about it or anything!\Oh, uh, sure, got it. response:	Sengoku
context: Whoa, more books?! Sweet!\How many books do you own?\They're mostly my parents'. We have a whole room full of them at my house.\Really? I wish I could see.\You want to? You can.\Oh, don't worry; I won't be weird about it or anything!\Oh, uh, sure, got it.\Sengoku response:	Sengoku
context: How many books do you own?\They're mostly my parents'. We have a whole room full of them at my house.\Really? I wish I could see.\You want to? You can.\Oh, don't worry; I won't be weird about it or anything!\Oh, uh, sure, got it.\Sengoku\Sengoku response:	Wow, you really do have a whole roomful!
context: They're mostly my parents'. We have a whole room full of them at my house.\Really? I wish I could see.\You want to? You can.\Oh, don't worry; I won't be weird about it or anything!\Oh, uh, sure, got it.\Sengoku\Sengoku\Wow, you really do have a whole roomful! response:	Wow, you really do have a whole roomful!
context: Really? I wish I could see.\You want to? You can.\Oh, don't worry; I won't be weird about it or anything!\Oh, uh, sure, got it.\Sengoku\Sengoku\Wow, you really do have a whole roomful!\Wow, you really do have a whole roomful! response:	We haven't cleaned in here much, so watch out for the dust.
context: You want to? You can.\Oh, don't worry; I won't be weird about it or anything!\Oh, uh, sure, got it.\Sengoku\Sengoku\Wow, you really do have a whole roomful!\Wow, you really do have a whole roomful!\We haven't cleaned in here much, so watch out for the dust. response:	Are you okay?!
context: Oh, don't worry; I won't be weird about it or anything!\Oh, uh, sure, got it.\Sengoku\Sengoku\Wow, you really do have a whole roomful!\Wow, you really do have a whole roomful!\We haven't cleaned in here much, so watch out for the dust.\Are you okay?! response:	I'm fine! I shouldn't have touched without asking.
context: Oh, uh, sure, got it.\Sengoku\Sengoku\Wow, you really do have a whole roomful!\Wow, you really do have a whole roomful!\We haven't cleaned in here much, so watch out for the dust.\Are you okay?!\I'm fine! I shouldn't have touched without asking. response:	I just wanted to see this one book.
context: Sengoku\Sengoku\Wow, you really do have a whole roomful!\Wow, you really do have a whole roomful!\We haven't cleaned in here much, so watch out for the dust.\Are you okay?!\I'm fine! I shouldn't have touched without asking.\I just wanted to see this one book. response:	Oh, that one's really old.
context: Sengoku\Wow, you really do have a whole roomful!\Wow, you really do have a whole roomful!\We haven't cleaned in here much, so watch out for the dust.\Are you okay?!\I'm fine! I shouldn't have touched without asking.\I just wanted to see this one book.\Oh, that one's really old. response:	What's it about?
context: Wow, you really do have a whole roomful!\Wow, you really do have a whole roomful!\We haven't cleaned in here much, so watch out for the dust.\Are you okay?!\I'm fine! I shouldn't have touched without asking.\I just wanted to see this one book.\Oh, that one's really old.\What's it about? response:	The day before the world ends, I think?
context: Wow, you really do have a whole roomful!\We haven't cleaned in here much, so watch out for the dust.\Are you okay?!\I'm fine! I shouldn't have touched without asking.\I just wanted to see this one book.\Oh, that one's really old.\What's it about?\The day before the world ends, I think? response:	Is it the whole world, or just Japan that gets destroyed?
context: We haven't cleaned in here much, so watch out for the dust.\Are you okay?!\I'm fine! I shouldn't have touched without asking.\I just wanted to see this one book.\Oh, that one's really old.\What's it about?\The day before the world ends, I think?\Is it the whole world, or just Japan that gets destroyed? response:	Think it's the whole world. Everyone goes into a panic.
context: Are you okay?!\I'm fine! I shouldn't have touched without asking.\I just wanted to see this one book.\Oh, that one's really old.\What's it about?\The day before the world ends, I think?\Is it the whole world, or just Japan that gets destroyed?\Think it's the whole world. Everyone goes into a panic. response:	If you knew the world was going to end tomorrow,
context: I'm fine! I shouldn't have touched without asking.\I just wanted to see this one book.\Oh, that one's really old.\What's it about?\The day before the world ends, I think?\Is it the whole world, or just Japan that gets destroyed?\Think it's the whole world. Everyone goes into a panic.\If you knew the world was going to end tomorrow, response:	you probably wouldn't feel like doing much of anything, huh?
context: I just wanted to see this one book.\Oh, that one's really old.\What's it about?\The day before the world ends, I think?\Is it the whole world, or just Japan that gets destroyed?\Think it's the whole world. Everyone goes into a panic.\If you knew the world was going to end tomorrow,\you probably wouldn't feel like doing much of anything, huh? response:	You think so? I'd wanna blow through all my money.
context: Oh, that one's really old.\What's it about?\The day before the world ends, I think?\Is it the whole world, or just Japan that gets destroyed?\Think it's the whole world. Everyone goes into a panic.\If you knew the world was going to end tomorrow,\you probably wouldn't feel like doing much of anything, huh?\You think so? I'd wanna blow through all my money. response:	And I'd load up on desserts, too.
context: What's it about?\The day before the world ends, I think?\Is it the whole world, or just Japan that gets destroyed?\Think it's the whole world. Everyone goes into a panic.\If you knew the world was going to end tomorrow,\you probably wouldn't feel like doing much of anything, huh?\You think so? I'd wanna blow through all my money.\And I'd load up on desserts, too. response:	Huh? You're spending your last day on Earth eating dessert?!
