context: Doctor! Big news! response:	What?! Yamamoto Yumi-san?!
context: From the Suihoku society?!\Yes!\Yamamoto Yumi-san!\Doctor, what should I do?!\Yamamoto Yumi-san...\You've got bad luck, Chihaya-chan.\Okay, let's try this.\Yamamoto... response:	Excuse me, who is Yamamoto-san?
context: Yes!\Yamamoto Yumi-san!\Doctor, what should I do?!\Yamamoto Yumi-san...\You've got bad luck, Chihaya-chan.\Okay, let's try this.\Yamamoto...\Excuse me, who is Yamamoto-san? response:	Ayase Chihaya
context: Yamamoto Yumi-san!\Doctor, what should I do?!\Yamamoto Yumi-san...\You've got bad luck, Chihaya-chan.\Okay, let's try this.\Yamamoto...\Excuse me, who is Yamamoto-san?\Ayase Chihaya response:	Yamamoto Yumi.
context: Doctor, what should I do?!\Yamamoto Yumi-san...\You've got bad luck, Chihaya-chan.\Okay, let's try this.\Yamamoto...\Excuse me, who is Yamamoto-san?\Ayase Chihaya\Yamamoto Yumi. response:	Yamamoto Yumi
context: Yamamoto Yumi-san...\You've got bad luck, Chihaya-chan.\Okay, let's try this.\Yamamoto...\Excuse me, who is Yamamoto-san?\Ayase Chihaya\Yamamoto Yumi.\Yamamoto Yumi response:	The previous Queen.
context: You've got bad luck, Chihaya-chan.\Okay, let's try this.\Yamamoto...\Excuse me, who is Yamamoto-san?\Ayase Chihaya\Yamamoto Yumi.\Yamamoto Yumi\The previous Queen. response:	Chihaya Furu
context: Okay, let's try this.\Yamamoto...\Excuse me, who is Yamamoto-san?\Ayase Chihaya\Yamamoto Yumi.\Yamamoto Yumi\The previous Queen.\Chihaya Furu response:	Verse 22
context: Yamamoto...\Excuse me, who is Yamamoto-san?\Ayase Chihaya\Yamamoto Yumi.\Yamamoto Yumi\The previous Queen.\Chihaya Furu\Verse 22 response:	Just As My Beauty Has Faded
context: Excuse me, who is Yamamoto-san?\Ayase Chihaya\Yamamoto Yumi.\Yamamoto Yumi\The previous Queen.\Chihaya Furu\Verse 22\Just As My Beauty Has Faded response:	G-Good luck!
context: Ayase Chihaya\Yamamoto Yumi.\Yamamoto Yumi\The previous Queen.\Chihaya Furu\Verse 22\Just As My Beauty Has Faded\G-Good luck! response:	Ayase Chihaya-san...
context: Yamamoto Yumi.\Yamamoto Yumi\The previous Queen.\Chihaya Furu\Verse 22\Just As My Beauty Has Faded\G-Good luck!\Ayase Chihaya-san... response:	She's just as pretty as everyone said.
context: Yamamoto Yumi\The previous Queen.\Chihaya Furu\Verse 22\Just As My Beauty Has Faded\G-Good luck!\Ayase Chihaya-san...\She's just as pretty as everyone said. response:	She's nothing like me, with my plain looks and name.
context: The previous Queen.\Chihaya Furu\Verse 22\Just As My Beauty Has Faded\G-Good luck!\Ayase Chihaya-san...\She's just as pretty as everyone said.\She's nothing like me, with my plain looks and name. response:	I'm already sick of her.
context: Chihaya Furu\Verse 22\Just As My Beauty Has Faded\G-Good luck!\Ayase Chihaya-san...\She's just as pretty as everyone said.\She's nothing like me, with my plain looks and name.\I'm already sick of her. response:	Why are her eyes shining?
context: Verse 22\Just As My Beauty Has Faded\G-Good luck!\Ayase Chihaya-san...\She's just as pretty as everyone said.\She's nothing like me, with my plain looks and name.\I'm already sick of her.\Why are her eyes shining? response:	That just makes it harder.
context: Just As My Beauty Has Faded\G-Good luck!\Ayase Chihaya-san...\She's just as pretty as everyone said.\She's nothing like me, with my plain looks and name.\I'm already sick of her.\Why are her eyes shining?\That just makes it harder. response:	We will now proceed with fifteen minutes
context: G-Good luck!\Ayase Chihaya-san...\She's just as pretty as everyone said.\She's nothing like me, with my plain looks and name.\I'm already sick of her.\Why are her eyes shining?\That just makes it harder.\We will now proceed with fifteen minutes response:	of memorization time for the second round.
context: Ayase Chihaya-san...\She's just as pretty as everyone said.\She's nothing like me, with my plain looks and name.\I'm already sick of her.\Why are her eyes shining?\That just makes it harder.\We will now proceed with fifteen minutes\of memorization time for the second round. response:	You have until 11:17 by that clock.
context: She's just as pretty as everyone said.\She's nothing like me, with my plain looks and name.\I'm already sick of her.\Why are her eyes shining?\That just makes it harder.\We will now proceed with fifteen minutes\of memorization time for the second round.\You have until 11:17 by that clock. response:	Why did I enter this tournament again?
context: She's nothing like me, with my plain looks and name.\I'm already sick of her.\Why are her eyes shining?\That just makes it harder.\We will now proceed with fifteen minutes\of memorization time for the second round.\You have until 11:17 by that clock.\Why did I enter this tournament again? response:	I'm playing the previous Queen, Yamamoto Yumi-san.
context: I'm already sick of her.\Why are her eyes shining?\That just makes it harder.\We will now proceed with fifteen minutes\of memorization time for the second round.\You have until 11:17 by that clock.\Why did I enter this tournament again?\I'm playing the previous Queen, Yamamoto Yumi-san. response:	Th-This is...
context: Why are her eyes shining?\That just makes it harder.\We will now proceed with fifteen minutes\of memorization time for the second round.\You have until 11:17 by that clock.\Why did I enter this tournament again?\I'm playing the previous Queen, Yamamoto Yumi-san.\Th-This is... response:	Five one-syllable cards on her side?!
context: That just makes it harder.\We will now proceed with fifteen minutes\of memorization time for the second round.\You have until 11:17 by that clock.\Why did I enter this tournament again?\I'm playing the previous Queen, Yamamoto Yumi-san.\Th-This is...\Five one-syllable cards on her side?! response:	Seven three-syllable cards!
context: We will now proceed with fifteen minutes\of memorization time for the second round.\You have until 11:17 by that clock.\Why did I enter this tournament again?\I'm playing the previous Queen, Yamamoto Yumi-san.\Th-This is...\Five one-syllable cards on her side?!\Seven three-syllable cards! response:	Everything else is a two-syllable card!
context: of memorization time for the second round.\You have until 11:17 by that clock.\Why did I enter this tournament again?\I'm playing the previous Queen, Yamamoto Yumi-san.\Th-This is...\Five one-syllable cards on her side?!\Seven three-syllable cards!\Everything else is a two-syllable card! response:	I can attack like crazy!
context: You have until 11:17 by that clock.\Why did I enter this tournament again?\I'm playing the previous Queen, Yamamoto Yumi-san.\Th-This is...\Five one-syllable cards on her side?!\Seven three-syllable cards!\Everything else is a two-syllable card!\I can attack like crazy! response:	Luck is on my side!
context: Why did I enter this tournament again?\I'm playing the previous Queen, Yamamoto Yumi-san.\Th-This is...\Five one-syllable cards on her side?!\Seven three-syllable cards!\Everything else is a two-syllable card!\I can attack like crazy!\Luck is on my side! response:	I missed the Queen match this year,
context: I'm playing the previous Queen, Yamamoto Yumi-san.\Th-This is...\Five one-syllable cards on her side?!\Seven three-syllable cards!\Everything else is a two-syllable card!\I can attack like crazy!\Luck is on my side!\I missed the Queen match this year, response:	but I saw last year's at Dr. Harada's house.
context: Th-This is...\Five one-syllable cards on her side?!\Seven three-syllable cards!\Everything else is a two-syllable card!\I can attack like crazy!\Luck is on my side!\I missed the Queen match this year,\but I saw last year's at Dr. Harada's house. response:	Miss Yamamoto, congratulations on your first Queen title.
context: Five one-syllable cards on her side?!\Seven three-syllable cards!\Everything else is a two-syllable card!\I can attack like crazy!\Luck is on my side!\I missed the Queen match this year,\but I saw last year's at Dr. Harada's house.\Miss Yamamoto, congratulations on your first Queen title. response:	Your moment of glory comes in your last year of college.
context: Seven three-syllable cards!\Everything else is a two-syllable card!\I can attack like crazy!\Luck is on my side!\I missed the Queen match this year,\but I saw last year's at Dr. Harada's house.\Miss Yamamoto, congratulations on your first Queen title.\Your moment of glory comes in your last year of college. response:	How do you feel right now?
context: Everything else is a two-syllable card!\I can attack like crazy!\Luck is on my side!\I missed the Queen match this year,\but I saw last year's at Dr. Harada's house.\Miss Yamamoto, congratulations on your first Queen title.\Your moment of glory comes in your last year of college.\How do you feel right now? response:	Coach Kitano...
context: I can attack like crazy!\Luck is on my side!\I missed the Queen match this year,\but I saw last year's at Dr. Harada's house.\Miss Yamamoto, congratulations on your first Queen title.\Your moment of glory comes in your last year of college.\How do you feel right now?\Coach Kitano... response:	I really hate Kitano, but he has a model student here!
context: Luck is on my side!\I missed the Queen match this year,\but I saw last year's at Dr. Harada's house.\Miss Yamamoto, congratulations on your first Queen title.\Your moment of glory comes in your last year of college.\How do you feel right now?\Coach Kitano...\I really hate Kitano, but he has a model student here! response:	When you kids become Master or Queen,
context: I missed the Queen match this year,\but I saw last year's at Dr. Harada's house.\Miss Yamamoto, congratulations on your first Queen title.\Your moment of glory comes in your last year of college.\How do you feel right now?\Coach Kitano...\I really hate Kitano, but he has a model student here!\When you kids become Master or Queen, response:	make sure you call my name!
context: but I saw last year's at Dr. Harada's house.\Miss Yamamoto, congratulations on your first Queen title.\Your moment of glory comes in your last year of college.\How do you feel right now?\Coach Kitano...\I really hate Kitano, but he has a model student here!\When you kids become Master or Queen,\make sure you call my name! response:	I don't really remember how the match went.
context: Miss Yamamoto, congratulations on your first Queen title.\Your moment of glory comes in your last year of college.\How do you feel right now?\Coach Kitano...\I really hate Kitano, but he has a model student here!\When you kids become Master or Queen,\make sure you call my name!\I don't really remember how the match went. response:	Just that she absolutely refused to give up.
context: Your moment of glory comes in your last year of college.\How do you feel right now?\Coach Kitano...\I really hate Kitano, but he has a model student here!\When you kids become Master or Queen,\make sure you call my name!\I don't really remember how the match went.\Just that she absolutely refused to give up. response:	That she called her teacher's name.
context: How do you feel right now?\Coach Kitano...\I really hate Kitano, but he has a model student here!\When you kids become Master or Queen,\make sure you call my name!\I don't really remember how the match went.\Just that she absolutely refused to give up.\That she called her teacher's name. response:	Her tears.
context: Coach Kitano...\I really hate Kitano, but he has a model student here!\When you kids become Master or Queen,\make sure you call my name!\I don't really remember how the match went.\Just that she absolutely refused to give up.\That she called her teacher's name.\Her tears. response:	A posture that took years to perfect.
context: I really hate Kitano, but he has a model student here!\When you kids become Master or Queen,\make sure you call my name!\I don't really remember how the match went.\Just that she absolutely refused to give up.\That she called her teacher's name.\Her tears.\A posture that took years to perfect. response:	And the calluses to show for it.
context: When you kids become Master or Queen,\make sure you call my name!\I don't really remember how the match went.\Just that she absolutely refused to give up.\That she called her teacher's name.\Her tears.\A posture that took years to perfect.\And the calluses to show for it. response:	She worked hard to make her dream come true.
context: make sure you call my name!\I don't really remember how the match went.\Just that she absolutely refused to give up.\That she called her teacher's name.\Her tears.\A posture that took years to perfect.\And the calluses to show for it.\She worked hard to make her dream come true. response:	The previous Queen is strong,
context: I don't really remember how the match went.\Just that she absolutely refused to give up.\That she called her teacher's name.\Her tears.\A posture that took years to perfect.\And the calluses to show for it.\She worked hard to make her dream come true.\The previous Queen is strong, response:	but you've learned when to give yourself the go sign.
context: Just that she absolutely refused to give up.\That she called her teacher's name.\Her tears.\A posture that took years to perfect.\And the calluses to show for it.\She worked hard to make her dream come true.\The previous Queen is strong,\but you've learned when to give yourself the go sign. response:	You can control a match against the previous queen.
context: That she called her teacher's name.\Her tears.\A posture that took years to perfect.\And the calluses to show for it.\She worked hard to make her dream come true.\The previous Queen is strong,\but you've learned when to give yourself the go sign.\You can control a match against the previous queen. response:	Is that Ayase's opponent?
context: Her tears.\A posture that took years to perfect.\And the calluses to show for it.\She worked hard to make her dream come true.\The previous Queen is strong,\but you've learned when to give yourself the go sign.\You can control a match against the previous queen.\Is that Ayase's opponent? response:	I've seen her before at the Suihoku society,
context: A posture that took years to perfect.\And the calluses to show for it.\She worked hard to make her dream come true.\The previous Queen is strong,\but you've learned when to give yourself the go sign.\You can control a match against the previous queen.\Is that Ayase's opponent?\I've seen her before at the Suihoku society, response:	but I've never seen her practice.
context: And the calluses to show for it.\She worked hard to make her dream come true.\The previous Queen is strong,\but you've learned when to give yourself the go sign.\You can control a match against the previous queen.\Is that Ayase's opponent?\I've seen her before at the Suihoku society,\but I've never seen her practice. response:	She has an office job, so we're on different schedules.
context: She worked hard to make her dream come true.\The previous Queen is strong,\but you've learned when to give yourself the go sign.\You can control a match against the previous queen.\Is that Ayase's opponent?\I've seen her before at the Suihoku society,\but I've never seen her practice.\She has an office job, so we're on different schedules. response:	Nishida, you've been in the Suihoku society
context: The previous Queen is strong,\but you've learned when to give yourself the go sign.\You can control a match against the previous queen.\Is that Ayase's opponent?\I've seen her before at the Suihoku society,\but I've never seen her practice.\She has an office job, so we're on different schedules.\Nishida, you've been in the Suihoku society response:	since you were little, so you should know.
context: but you've learned when to give yourself the go sign.\You can control a match against the previous queen.\Is that Ayase's opponent?\I've seen her before at the Suihoku society,\but I've never seen her practice.\She has an office job, so we're on different schedules.\Nishida, you've been in the Suihoku society\since you were little, so you should know. response:	What's Yamamoto Yuri-san like?
context: You can control a match against the previous queen.\Is that Ayase's opponent?\I've seen her before at the Suihoku society,\but I've never seen her practice.\She has an office job, so we're on different schedules.\Nishida, you've been in the Suihoku society\since you were little, so you should know.\What's Yamamoto Yuri-san like? response:	Wait, what?!
context: Is that Ayase's opponent?\I've seen her before at the Suihoku society,\but I've never seen her practice.\She has an office job, so we're on different schedules.\Nishida, you've been in the Suihoku society\since you were little, so you should know.\What's Yamamoto Yuri-san like?\Wait, what?! response:	102, 103, 104...
context: I've seen her before at the Suihoku society,\but I've never seen her practice.\She has an office job, so we're on different schedules.\Nishida, you've been in the Suihoku society\since you were little, so you should know.\What's Yamamoto Yuri-san like?\Wait, what?!\102, 103, 104... response:	I was burned...
context: but I've never seen her practice.\She has an office job, so we're on different schedules.\Nishida, you've been in the Suihoku society\since you were little, so you should know.\What's Yamamoto Yuri-san like?\Wait, what?!\102, 103, 104...\I was burned... response:	Lost by 20 cards...
context: She has an office job, so we're on different schedules.\Nishida, you've been in the Suihoku society\since you were little, so you should know.\What's Yamamoto Yuri-san like?\Wait, what?!\102, 103, 104...\I was burned...\Lost by 20 cards... response:	He hasn't recovered from the shock
context: Nishida, you've been in the Suihoku society\since you were little, so you should know.\What's Yamamoto Yuri-san like?\Wait, what?!\102, 103, 104...\I was burned...\Lost by 20 cards...\He hasn't recovered from the shock response:	of losing to Sudo-san from Hokuo.
context: since you were little, so you should know.\What's Yamamoto Yuri-san like?\Wait, what?!\102, 103, 104...\I was burned...\Lost by 20 cards...\He hasn't recovered from the shock\of losing to Sudo-san from Hokuo. response:	Hey, Nishida. You okay?
context: What's Yamamoto Yuri-san like?\Wait, what?!\102, 103, 104...\I was burned...\Lost by 20 cards...\He hasn't recovered from the shock\of losing to Sudo-san from Hokuo.\Hey, Nishida. You okay? response:	This was the first time I ever met a real sadist.
context: Wait, what?!\102, 103, 104...\I was burned...\Lost by 20 cards...\He hasn't recovered from the shock\of losing to Sudo-san from Hokuo.\Hey, Nishida. You okay?\This was the first time I ever met a real sadist. response:	It's too bad I don't get to eat you
context: 102, 103, 104...\I was burned...\Lost by 20 cards...\He hasn't recovered from the shock\of losing to Sudo-san from Hokuo.\Hey, Nishida. You okay?\This was the first time I ever met a real sadist.\It's too bad I don't get to eat you response:	after roasting you in a karuta match,
context: I was burned...\Lost by 20 cards...\He hasn't recovered from the shock\of losing to Sudo-san from Hokuo.\Hey, Nishida. You okay?\This was the first time I ever met a real sadist.\It's too bad I don't get to eat you\after roasting you in a karuta match, response:	since it'd be bad for my health.
context: Lost by 20 cards...\He hasn't recovered from the shock\of losing to Sudo-san from Hokuo.\Hey, Nishida. You okay?\This was the first time I ever met a real sadist.\It's too bad I don't get to eat you\after roasting you in a karuta match,\since it'd be bad for my health. response:	I can't believe Ayase actually beat him.
context: He hasn't recovered from the shock\of losing to Sudo-san from Hokuo.\Hey, Nishida. You okay?\This was the first time I ever met a real sadist.\It's too bad I don't get to eat you\after roasting you in a karuta match,\since it'd be bad for my health.\I can't believe Ayase actually beat him. response:	I'm scared. Class A is scary.
context: of losing to Sudo-san from Hokuo.\Hey, Nishida. You okay?\This was the first time I ever met a real sadist.\It's too bad I don't get to eat you\after roasting you in a karuta match,\since it'd be bad for my health.\I can't believe Ayase actually beat him.\I'm scared. Class A is scary. response:	There are all these monsters that I can't beat!
context: Hey, Nishida. You okay?\This was the first time I ever met a real sadist.\It's too bad I don't get to eat you\after roasting you in a karuta match,\since it'd be bad for my health.\I can't believe Ayase actually beat him.\I'm scared. Class A is scary.\There are all these monsters that I can't beat! response:	There, there.
context: This was the first time I ever met a real sadist.\It's too bad I don't get to eat you\after roasting you in a karuta match,\since it'd be bad for my health.\I can't believe Ayase actually beat him.\I'm scared. Class A is scary.\There are all these monsters that I can't beat!\There, there. response:	By the way, what's Yamamoto Yuri-san's karuta like?
context: It's too bad I don't get to eat you\after roasting you in a karuta match,\since it'd be bad for my health.\I can't believe Ayase actually beat him.\I'm scared. Class A is scary.\There are all these monsters that I can't beat!\There, there.\By the way, what's Yamamoto Yuri-san's karuta like? response:	Yamamoto Yumi! Yumin!
context: after roasting you in a karuta match,\since it'd be bad for my health.\I can't believe Ayase actually beat him.\I'm scared. Class A is scary.\There are all these monsters that I can't beat!\There, there.\By the way, what's Yamamoto Yuri-san's karuta like?\Yamamoto Yumi! Yumin! response:	Huh? Sorry.
context: since it'd be bad for my health.\I can't believe Ayase actually beat him.\I'm scared. Class A is scary.\There are all these monsters that I can't beat!\There, there.\By the way, what's Yamamoto Yuri-san's karuta like?\Yamamoto Yumi! Yumin!\Huh? Sorry. response:	Wait, Yumin?
context: I can't believe Ayase actually beat him.\I'm scared. Class A is scary.\There are all these monsters that I can't beat!\There, there.\By the way, what's Yamamoto Yuri-san's karuta like?\Yamamoto Yumi! Yumin!\Huh? Sorry.\Wait, Yumin? response:	Yumin's playing style is persistent and stubborn.
context: I'm scared. Class A is scary.\There are all these monsters that I can't beat!\There, there.\By the way, what's Yamamoto Yuri-san's karuta like?\Yamamoto Yumi! Yumin!\Huh? Sorry.\Wait, Yumin?\Yumin's playing style is persistent and stubborn. response:	After she became Queen, she settled down a bit,
context: There are all these monsters that I can't beat!\There, there.\By the way, what's Yamamoto Yuri-san's karuta like?\Yamamoto Yumi! Yumin!\Huh? Sorry.\Wait, Yumin?\Yumin's playing style is persistent and stubborn.\After she became Queen, she settled down a bit, response:	but the real Yumin is...
context: There, there.\By the way, what's Yamamoto Yuri-san's karuta like?\Yamamoto Yumi! Yumin!\Huh? Sorry.\Wait, Yumin?\Yumin's playing style is persistent and stubborn.\After she became Queen, she settled down a bit,\but the real Yumin is... response:	Idiot!
context: By the way, what's Yamamoto Yuri-san's karuta like?\Yamamoto Yumi! Yumin!\Huh? Sorry.\Wait, Yumin?\Yumin's playing style is persistent and stubborn.\After she became Queen, she settled down a bit,\but the real Yumin is...\Idiot! response:	Stop talking with that Shiranami boy and come over here!
context: Yamamoto Yumi! Yumin!\Huh? Sorry.\Wait, Yumin?\Yumin's playing style is persistent and stubborn.\After she became Queen, she settled down a bit,\but the real Yumin is...\Idiot!\Stop talking with that Shiranami boy and come over here! response:	Kana-chan and Komano-kun, too!
context: Huh? Sorry.\Wait, Yumin?\Yumin's playing style is persistent and stubborn.\After she became Queen, she settled down a bit,\but the real Yumin is...\Idiot!\Stop talking with that Shiranami boy and come over here!\Kana-chan and Komano-kun, too! response:	You're with us now!
context: Wait, Yumin?\Yumin's playing style is persistent and stubborn.\After she became Queen, she settled down a bit,\but the real Yumin is...\Idiot!\Stop talking with that Shiranami boy and come over here!\Kana-chan and Komano-kun, too!\You're with us now! response:	Huh?
context: Yumin's playing style is persistent and stubborn.\After she became Queen, she settled down a bit,\but the real Yumin is...\Idiot!\Stop talking with that Shiranami boy and come over here!\Kana-chan and Komano-kun, too!\You're with us now!\Huh? response:	Cheer for Yumin!
context: After she became Queen, she settled down a bit,\but the real Yumin is...\Idiot!\Stop talking with that Shiranami boy and come over here!\Kana-chan and Komano-kun, too!\You're with us now!\Huh?\Cheer for Yumin! response:	Watch her reclaim the title of Queen!
context: but the real Yumin is...\Idiot!\Stop talking with that Shiranami boy and come over here!\Kana-chan and Komano-kun, too!\You're with us now!\Huh?\Cheer for Yumin!\Watch her reclaim the title of Queen! response:	Cheer her on!
context: Idiot!\Stop talking with that Shiranami boy and come over here!\Kana-chan and Komano-kun, too!\You're with us now!\Huh?\Cheer for Yumin!\Watch her reclaim the title of Queen!\Cheer her on! response:	Coach...
context: Stop talking with that Shiranami boy and come over here!\Kana-chan and Komano-kun, too!\You're with us now!\Huh?\Cheer for Yumin!\Watch her reclaim the title of Queen!\Cheer her on!\Coach... response:	Naniwa Bay, now the flower blooms, but for winter
context: Kana-chan and Komano-kun, too!\You're with us now!\Huh?\Cheer for Yumin!\Watch her reclaim the title of Queen!\Cheer her on!\Coach...\Naniwa Bay, now the flower blooms, but for winter response:	Here comes spring, now the flower blooms
context: You're with us now!\Huh?\Cheer for Yumin!\Watch her reclaim the title of Queen!\Cheer her on!\Coach...\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms response:	It's starting to get warm now that the sun is out.
context: Huh?\Cheer for Yumin!\Watch her reclaim the title of Queen!\Cheer her on!\Coach...\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\It's starting to get warm now that the sun is out. response:	We'll need to take a break to air out the room.
context: Cheer for Yumin!\Watch her reclaim the title of Queen!\Cheer her on!\Coach...\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\It's starting to get warm now that the sun is out.\We'll need to take a break to air out the room. response:	The players won't last much longer.
context: Watch her reclaim the title of Queen!\Cheer her on!\Coach...\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\It's starting to get warm now that the sun is out.\We'll need to take a break to air out the room.\The players won't last much longer. response:	Here comes spring, now the flower blooms
context: Cheer her on!\Coach...\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\It's starting to get warm now that the sun is out.\We'll need to take a break to air out the room.\The players won't last much longer.\Here comes spring, now the flower blooms response:	May the scarlet kadsuras of Mount Afusaka live up to their name
context: Coach...\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\It's starting to get warm now that the sun is out.\We'll need to take a break to air out the room.\The players won't last much longer.\Here comes spring, now the flower blooms\May the scarlet kadsuras of Mount Afusaka live up to their name response:	Her swing is compact and measured.
context: Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\It's starting to get warm now that the sun is out.\We'll need to take a break to air out the room.\The players won't last much longer.\Here comes spring, now the flower blooms\May the scarlet kadsuras of Mount Afusaka live up to their name\Her swing is compact and measured. response:	Her body knows how far away each card is.
context: Here comes spring, now the flower blooms\It's starting to get warm now that the sun is out.\We'll need to take a break to air out the room.\The players won't last much longer.\Here comes spring, now the flower blooms\May the scarlet kadsuras of Mount Afusaka live up to their name\Her swing is compact and measured.\Her body knows how far away each card is. response:	I'm impressed.
context: It's starting to get warm now that the sun is out.\We'll need to take a break to air out the room.\The players won't last much longer.\Here comes spring, now the flower blooms\May the scarlet kadsuras of Mount Afusaka live up to their name\Her swing is compact and measured.\Her body knows how far away each card is.\I'm impressed. response:	Even the air feels too warm.
context: We'll need to take a break to air out the room.\The players won't last much longer.\Here comes spring, now the flower blooms\May the scarlet kadsuras of Mount Afusaka live up to their name\Her swing is compact and measured.\Her body knows how far away each card is.\I'm impressed.\Even the air feels too warm. response:	The heat works against us in this tournament.
context: The players won't last much longer.\Here comes spring, now the flower blooms\May the scarlet kadsuras of Mount Afusaka live up to their name\Her swing is compact and measured.\Her body knows how far away each card is.\I'm impressed.\Even the air feels too warm.\The heat works against us in this tournament. response:	You're absolutely right, Doctor!
context: Here comes spring, now the flower blooms\May the scarlet kadsuras of Mount Afusaka live up to their name\Her swing is compact and measured.\Her body knows how far away each card is.\I'm impressed.\Even the air feels too warm.\The heat works against us in this tournament.\You're absolutely right, Doctor! response:	But... I like it.
context: May the scarlet kadsuras of Mount Afusaka live up to their name\Her swing is compact and measured.\Her body knows how far away each card is.\I'm impressed.\Even the air feels too warm.\The heat works against us in this tournament.\You're absolutely right, Doctor!\But... I like it. response:	Normal people can never join us here.
context: Her swing is compact and measured.\Her body knows how far away each card is.\I'm impressed.\Even the air feels too warm.\The heat works against us in this tournament.\You're absolutely right, Doctor!\But... I like it.\Normal people can never join us here. response:	The players are all in Class A.
context: Her body knows how far away each card is.\I'm impressed.\Even the air feels too warm.\The heat works against us in this tournament.\You're absolutely right, Doctor!\But... I like it.\Normal people can never join us here.\The players are all in Class A. response:	Every little sound matters.
context: I'm impressed.\Even the air feels too warm.\The heat works against us in this tournament.\You're absolutely right, Doctor!\But... I like it.\Normal people can never join us here.\The players are all in Class A.\Every little sound matters. response:	We all understand how important sound is.
context: Even the air feels too warm.\The heat works against us in this tournament.\You're absolutely right, Doctor!\But... I like it.\Normal people can never join us here.\The players are all in Class A.\Every little sound matters.\We all understand how important sound is. response:	and allow us this secret rendezvous
context: The heat works against us in this tournament.\You're absolutely right, Doctor!\But... I like it.\Normal people can never join us here.\The players are all in Class A.\Every little sound matters.\We all understand how important sound is.\and allow us this secret rendezvous response:	Top-class readers are used for the Master and Queen qualifiers,
context: You're absolutely right, Doctor!\But... I like it.\Normal people can never join us here.\The players are all in Class A.\Every little sound matters.\We all understand how important sound is.\and allow us this secret rendezvous\Top-class readers are used for the Master and Queen qualifiers, response:	The hazy early morning light comes not from the moon
context: But... I like it.\Normal people can never join us here.\The players are all in Class A.\Every little sound matters.\We all understand how important sound is.\and allow us this secret rendezvous\Top-class readers are used for the Master and Queen qualifiers,\The hazy early morning light comes not from the moon response:	and I'm playing against the previous Queen!
context: Normal people can never join us here.\The players are all in Class A.\Every little sound matters.\We all understand how important sound is.\and allow us this secret rendezvous\Top-class readers are used for the Master and Queen qualifiers,\The hazy early morning light comes not from the moon\and I'm playing against the previous Queen! response:	This is fun!
context: The players are all in Class A.\Every little sound matters.\We all understand how important sound is.\and allow us this secret rendezvous\Top-class readers are used for the Master and Queen qualifiers,\The hazy early morning light comes not from the moon\and I'm playing against the previous Queen!\This is fun! response:	She got it!
