context: Ladies and gentlemen, good evening. response:	When he visits his fiancee,
context: Is what Maximilien said still bothering you?\He was right. As much as I hate to admit it.\That's how marriages work, you know?\I'm not getting married because I want to, either.\Baron Franz d'Epinay! I'd like a word.\Why aren't you with your fiancee?\How is that any of your business?\Don't you love her?! response:	I like her.
context: He was right. As much as I hate to admit it.\That's how marriages work, you know?\I'm not getting married because I want to, either.\Baron Franz d'Epinay! I'd like a word.\Why aren't you with your fiancee?\How is that any of your business?\Don't you love her?!\I like her. response:	I like her as just another girl.
context: That's how marriages work, you know?\I'm not getting married because I want to, either.\Baron Franz d'Epinay! I'd like a word.\Why aren't you with your fiancee?\How is that any of your business?\Don't you love her?!\I like her.\I like her as just another girl. response:	How can you talk like that?!
context: I'm not getting married because I want to, either.\Baron Franz d'Epinay! I'd like a word.\Why aren't you with your fiancee?\How is that any of your business?\Don't you love her?!\I like her.\I like her as just another girl.\How can you talk like that?! response:	Wait a minute, Maximilien! Let me handle this. Okay?
context: Baron Franz d'Epinay! I'd like a word.\Why aren't you with your fiancee?\How is that any of your business?\Don't you love her?!\I like her.\I like her as just another girl.\How can you talk like that?!\Wait a minute, Maximilien! Let me handle this. Okay? response:	If she's your fiancee, you should love her with all your heart!
context: Why aren't you with your fiancee?\How is that any of your business?\Don't you love her?!\I like her.\I like her as just another girl.\How can you talk like that?!\Wait a minute, Maximilien! Let me handle this. Okay?\If she's your fiancee, you should love her with all your heart! response:	You didn't have to say it like that.
context: How is that any of your business?\Don't you love her?!\I like her.\I like her as just another girl.\How can you talk like that?!\Wait a minute, Maximilien! Let me handle this. Okay?\If she's your fiancee, you should love her with all your heart!\You didn't have to say it like that. response:	I said what was on my mind, that's all.
context: Don't you love her?!\I like her.\I like her as just another girl.\How can you talk like that?!\Wait a minute, Maximilien! Let me handle this. Okay?\If she's your fiancee, you should love her with all your heart!\You didn't have to say it like that.\I said what was on my mind, that's all. response:	You're too irresponsible.
context: I like her.\I like her as just another girl.\How can you talk like that?!\Wait a minute, Maximilien! Let me handle this. Okay?\If she's your fiancee, you should love her with all your heart!\You didn't have to say it like that.\I said what was on my mind, that's all.\You're too irresponsible. response:	You're always like that.
context: I like her as just another girl.\How can you talk like that?!\Wait a minute, Maximilien! Let me handle this. Okay?\If she's your fiancee, you should love her with all your heart!\You didn't have to say it like that.\I said what was on my mind, that's all.\You're too irresponsible.\You're always like that. response:	I guess I'm no different.
context: How can you talk like that?!\Wait a minute, Maximilien! Let me handle this. Okay?\If she's your fiancee, you should love her with all your heart!\You didn't have to say it like that.\I said what was on my mind, that's all.\You're too irresponsible.\You're always like that.\I guess I'm no different. response:	I've never been in love with someone, not like he is.
context: Wait a minute, Maximilien! Let me handle this. Okay?\If she's your fiancee, you should love her with all your heart!\You didn't have to say it like that.\I said what was on my mind, that's all.\You're too irresponsible.\You're always like that.\I guess I'm no different.\I've never been in love with someone, not like he is. response:	Albert, what do you think it means to be in love with someone?
context: If she's your fiancee, you should love her with all your heart!\You didn't have to say it like that.\I said what was on my mind, that's all.\You're too irresponsible.\You're always like that.\I guess I'm no different.\I've never been in love with someone, not like he is.\Albert, what do you think it means to be in love with someone? response:	It's nothing but trouble.
context: You didn't have to say it like that.\I said what was on my mind, that's all.\You're too irresponsible.\You're always like that.\I guess I'm no different.\I've never been in love with someone, not like he is.\Albert, what do you think it means to be in love with someone?\It's nothing but trouble. response:	I'll let you do what you can to straighten this out.
context: I said what was on my mind, that's all.\You're too irresponsible.\You're always like that.\I guess I'm no different.\I've never been in love with someone, not like he is.\Albert, what do you think it means to be in love with someone?\It's nothing but trouble.\I'll let you do what you can to straighten this out. response:	What? Hey! Wait!
context: You're too irresponsible.\You're always like that.\I guess I'm no different.\I've never been in love with someone, not like he is.\Albert, what do you think it means to be in love with someone?\It's nothing but trouble.\I'll let you do what you can to straighten this out.\What? Hey! Wait! response:	Let's do it.
context: You're always like that.\I guess I'm no different.\I've never been in love with someone, not like he is.\Albert, what do you think it means to be in love with someone?\It's nothing but trouble.\I'll let you do what you can to straighten this out.\What? Hey! Wait!\Let's do it. response:	I can't go through with it...
context: I guess I'm no different.\I've never been in love with someone, not like he is.\Albert, what do you think it means to be in love with someone?\It's nothing but trouble.\I'll let you do what you can to straighten this out.\What? Hey! Wait!\Let's do it.\I can't go through with it... response:	What are you talking about?
context: I've never been in love with someone, not like he is.\Albert, what do you think it means to be in love with someone?\It's nothing but trouble.\I'll let you do what you can to straighten this out.\What? Hey! Wait!\Let's do it.\I can't go through with it...\What are you talking about? response:	Just do it like we planned, and you'll do fine!
context: Albert, what do you think it means to be in love with someone?\It's nothing but trouble.\I'll let you do what you can to straighten this out.\What? Hey! Wait!\Let's do it.\I can't go through with it...\What are you talking about?\Just do it like we planned, and you'll do fine! response:	First off, you compliment her!
context: It's nothing but trouble.\I'll let you do what you can to straighten this out.\What? Hey! Wait!\Let's do it.\I can't go through with it...\What are you talking about?\Just do it like we planned, and you'll do fine!\First off, you compliment her! response:	Compliment her? On what?
context: I'll let you do what you can to straighten this out.\What? Hey! Wait!\Let's do it.\I can't go through with it...\What are you talking about?\Just do it like we planned, and you'll do fine!\First off, you compliment her!\Compliment her? On what? response:	On anything! Her dress! Her makeup!
context: What? Hey! Wait!\Let's do it.\I can't go through with it...\What are you talking about?\Just do it like we planned, and you'll do fine!\First off, you compliment her!\Compliment her? On what?\On anything! Her dress! Her makeup! response:	That's Crown Prosecutor Villefort. He's Valentine's father.
context: Let's do it.\I can't go through with it...\What are you talking about?\Just do it like we planned, and you'll do fine!\First off, you compliment her!\Compliment her? On what?\On anything! Her dress! Her makeup!\That's Crown Prosecutor Villefort. He's Valentine's father. response:	Isn't he scary?
context: I can't go through with it...\What are you talking about?\Just do it like we planned, and you'll do fine!\First off, you compliment her!\Compliment her? On what?\On anything! Her dress! Her makeup!\That's Crown Prosecutor Villefort. He's Valentine's father.\Isn't he scary? response:	Even small-time crooks get the death penalty when he gets his hands on them.
context: What are you talking about?\Just do it like we planned, and you'll do fine!\First off, you compliment her!\Compliment her? On what?\On anything! Her dress! Her makeup!\That's Crown Prosecutor Villefort. He's Valentine's father.\Isn't he scary?\Even small-time crooks get the death penalty when he gets his hands on them. response:	That's Valentine's mother. They're not related by blood, though.
context: Just do it like we planned, and you'll do fine!\First off, you compliment her!\Compliment her? On what?\On anything! Her dress! Her makeup!\That's Crown Prosecutor Villefort. He's Valentine's father.\Isn't he scary?\Even small-time crooks get the death penalty when he gets his hands on them.\That's Valentine's mother. They're not related by blood, though. response:	Edouard! Come here this instant!
context: First off, you compliment her!\Compliment her? On what?\On anything! Her dress! Her makeup!\That's Crown Prosecutor Villefort. He's Valentine's father.\Isn't he scary?\Even small-time crooks get the death penalty when he gets his hands on them.\That's Valentine's mother. They're not related by blood, though.\Edouard! Come here this instant! response:	Edouard, her younger brother. He and Valentine have different mothers.
context: Compliment her? On what?\On anything! Her dress! Her makeup!\That's Crown Prosecutor Villefort. He's Valentine's father.\Isn't he scary?\Even small-time crooks get the death penalty when he gets his hands on them.\That's Valentine's mother. They're not related by blood, though.\Edouard! Come here this instant!\Edouard, her younger brother. He and Valentine have different mothers. response:	I don't wanna!
context: On anything! Her dress! Her makeup!\That's Crown Prosecutor Villefort. He's Valentine's father.\Isn't he scary?\Even small-time crooks get the death penalty when he gets his hands on them.\That's Valentine's mother. They're not related by blood, though.\Edouard! Come here this instant!\Edouard, her younger brother. He and Valentine have different mothers.\I don't wanna! response:	Take a look. Aren't these beautiful horses?
context: That's Crown Prosecutor Villefort. He's Valentine's father.\Isn't he scary?\Even small-time crooks get the death penalty when he gets his hands on them.\That's Valentine's mother. They're not related by blood, though.\Edouard! Come here this instant!\Edouard, her younger brother. He and Valentine have different mothers.\I don't wanna!\Take a look. Aren't these beautiful horses? response:	I hate horses!
context: Isn't he scary?\Even small-time crooks get the death penalty when he gets his hands on them.\That's Valentine's mother. They're not related by blood, though.\Edouard! Come here this instant!\Edouard, her younger brother. He and Valentine have different mothers.\I don't wanna!\Take a look. Aren't these beautiful horses?\I hate horses! response:	I'm sorry, he can be such a handful. I'm so embarrassed.
context: Even small-time crooks get the death penalty when he gets his hands on them.\That's Valentine's mother. They're not related by blood, though.\Edouard! Come here this instant!\Edouard, her younger brother. He and Valentine have different mothers.\I don't wanna!\Take a look. Aren't these beautiful horses?\I hate horses!\I'm sorry, he can be such a handful. I'm so embarrassed. response:	Is Valentine coming?
context: That's Valentine's mother. They're not related by blood, though.\Edouard! Come here this instant!\Edouard, her younger brother. He and Valentine have different mothers.\I don't wanna!\Take a look. Aren't these beautiful horses?\I hate horses!\I'm sorry, he can be such a handful. I'm so embarrassed.\Is Valentine coming? response:	That girl seems to prefer staying at home.
context: Edouard! Come here this instant!\Edouard, her younger brother. He and Valentine have different mothers.\I don't wanna!\Take a look. Aren't these beautiful horses?\I hate horses!\I'm sorry, he can be such a handful. I'm so embarrassed.\Is Valentine coming?\That girl seems to prefer staying at home. response:	I hate Valentine, too!
context: Edouard, her younger brother. He and Valentine have different mothers.\I don't wanna!\Take a look. Aren't these beautiful horses?\I hate horses!\I'm sorry, he can be such a handful. I'm so embarrassed.\Is Valentine coming?\That girl seems to prefer staying at home.\I hate Valentine, too! response:	They'll be coming soon.
context: I don't wanna!\Take a look. Aren't these beautiful horses?\I hate horses!\I'm sorry, he can be such a handful. I'm so embarrassed.\Is Valentine coming?\That girl seems to prefer staying at home.\I hate Valentine, too!\They'll be coming soon. response:	It's nothing, Grandfather.
context: Take a look. Aren't these beautiful horses?\I hate horses!\I'm sorry, he can be such a handful. I'm so embarrassed.\Is Valentine coming?\That girl seems to prefer staying at home.\I hate Valentine, too!\They'll be coming soon.\It's nothing, Grandfather. response:	Mademoiselle, the Viscount Albert de Morcerf is here to see you.
context: I hate horses!\I'm sorry, he can be such a handful. I'm so embarrassed.\Is Valentine coming?\That girl seems to prefer staying at home.\I hate Valentine, too!\They'll be coming soon.\It's nothing, Grandfather.\Mademoiselle, the Viscount Albert de Morcerf is here to see you. response:	Hi.
context: I'm sorry, he can be such a handful. I'm so embarrassed.\Is Valentine coming?\That girl seems to prefer staying at home.\I hate Valentine, too!\They'll be coming soon.\It's nothing, Grandfather.\Mademoiselle, the Viscount Albert de Morcerf is here to see you.\Hi. response:	About last night...
context: Is Valentine coming?\That girl seems to prefer staying at home.\I hate Valentine, too!\They'll be coming soon.\It's nothing, Grandfather.\Mademoiselle, the Viscount Albert de Morcerf is here to see you.\Hi.\About last night... response:	I think he has something that he wants to say to you.
context: That girl seems to prefer staying at home.\I hate Valentine, too!\They'll be coming soon.\It's nothing, Grandfather.\Mademoiselle, the Viscount Albert de Morcerf is here to see you.\Hi.\About last night...\I think he has something that he wants to say to you. response:	Go on.
context: I hate Valentine, too!\They'll be coming soon.\It's nothing, Grandfather.\Mademoiselle, the Viscount Albert de Morcerf is here to see you.\Hi.\About last night...\I think he has something that he wants to say to you.\Go on. response:	Um...
context: They'll be coming soon.\It's nothing, Grandfather.\Mademoiselle, the Viscount Albert de Morcerf is here to see you.\Hi.\About last night...\I think he has something that he wants to say to you.\Go on.\Um... response:	I'm sorry, I have to prepare my grandfather's dinner...
context: It's nothing, Grandfather.\Mademoiselle, the Viscount Albert de Morcerf is here to see you.\Hi.\About last night...\I think he has something that he wants to say to you.\Go on.\Um...\I'm sorry, I have to prepare my grandfather's dinner... response:	Hey! Wait!
context: Mademoiselle, the Viscount Albert de Morcerf is here to see you.\Hi.\About last night...\I think he has something that he wants to say to you.\Go on.\Um...\I'm sorry, I have to prepare my grandfather's dinner...\Hey! Wait! response:	I'm in...
context: Hi.\About last night...\I think he has something that he wants to say to you.\Go on.\Um...\I'm sorry, I have to prepare my grandfather's dinner...\Hey! Wait!\I'm in... response:	I've fallen in love with you!
context: About last night...\I think he has something that he wants to say to you.\Go on.\Um...\I'm sorry, I have to prepare my grandfather's dinner...\Hey! Wait!\I'm in...\I've fallen in love with you! response:	I love you!
context: I think he has something that he wants to say to you.\Go on.\Um...\I'm sorry, I have to prepare my grandfather's dinner...\Hey! Wait!\I'm in...\I've fallen in love with you!\I love you! response:	Geez, our plans have gone out the window!
context: Go on.\Um...\I'm sorry, I have to prepare my grandfather's dinner...\Hey! Wait!\I'm in...\I've fallen in love with you!\I love you!\Geez, our plans have gone out the window! response:	That's enough from you! I'll talk to her first, so you go wait over there!
context: Um...\I'm sorry, I have to prepare my grandfather's dinner...\Hey! Wait!\I'm in...\I've fallen in love with you!\I love you!\Geez, our plans have gone out the window!\That's enough from you! I'll talk to her first, so you go wait over there! response:	I love you!
context: I'm sorry, I have to prepare my grandfather's dinner...\Hey! Wait!\I'm in...\I've fallen in love with you!\I love you!\Geez, our plans have gone out the window!\That's enough from you! I'll talk to her first, so you go wait over there!\I love you! response:	I think she knows that!
context: Hey! Wait!\I'm in...\I've fallen in love with you!\I love you!\Geez, our plans have gone out the window!\That's enough from you! I'll talk to her first, so you go wait over there!\I love you!\I think she knows that! response:	I'm sorry if we startled you. This wasn't what we had in mind.
context: I'm in...\I've fallen in love with you!\I love you!\Geez, our plans have gone out the window!\That's enough from you! I'll talk to her first, so you go wait over there!\I love you!\I think she knows that!\I'm sorry if we startled you. This wasn't what we had in mind. response:	He must have been making fun of me.
context: I've fallen in love with you!\I love you!\Geez, our plans have gone out the window!\That's enough from you! I'll talk to her first, so you go wait over there!\I love you!\I think she knows that!\I'm sorry if we startled you. This wasn't what we had in mind.\He must have been making fun of me. response:	No! He meant it!
context: I love you!\Geez, our plans have gone out the window!\That's enough from you! I'll talk to her first, so you go wait over there!\I love you!\I think she knows that!\I'm sorry if we startled you. This wasn't what we had in mind.\He must have been making fun of me.\No! He meant it! response:	What's this all about? Why now?
context: Geez, our plans have gone out the window!\That's enough from you! I'll talk to her first, so you go wait over there!\I love you!\I think she knows that!\I'm sorry if we startled you. This wasn't what we had in mind.\He must have been making fun of me.\No! He meant it!\What's this all about? Why now? response:	Maximilien meant what he said.
context: That's enough from you! I'll talk to her first, so you go wait over there!\I love you!\I think she knows that!\I'm sorry if we startled you. This wasn't what we had in mind.\He must have been making fun of me.\No! He meant it!\What's this all about? Why now?\Maximilien meant what he said. response:	He's just a little... clumsy at expressing himself.
context: I love you!\I think she knows that!\I'm sorry if we startled you. This wasn't what we had in mind.\He must have been making fun of me.\No! He meant it!\What's this all about? Why now?\Maximilien meant what he said.\He's just a little... clumsy at expressing himself. response:	I don't want to hear what he has to say. I'm already...
context: I think she knows that!\I'm sorry if we startled you. This wasn't what we had in mind.\He must have been making fun of me.\No! He meant it!\What's this all about? Why now?\Maximilien meant what he said.\He's just a little... clumsy at expressing himself.\I don't want to hear what he has to say. I'm already... response:	Franz has told me how he feels.
context: I'm sorry if we startled you. This wasn't what we had in mind.\He must have been making fun of me.\No! He meant it!\What's this all about? Why now?\Maximilien meant what he said.\He's just a little... clumsy at expressing himself.\I don't want to hear what he has to say. I'm already...\Franz has told me how he feels. response:	He says that he only thinks of you as the fiancee chosen for him by his parents.
context: He must have been making fun of me.\No! He meant it!\What's this all about? Why now?\Maximilien meant what he said.\He's just a little... clumsy at expressing himself.\I don't want to hear what he has to say. I'm already...\Franz has told me how he feels.\He says that he only thinks of you as the fiancee chosen for him by his parents. response:	But you feel the same way, don't you?
context: No! He meant it!\What's this all about? Why now?\Maximilien meant what he said.\He's just a little... clumsy at expressing himself.\I don't want to hear what he has to say. I'm already...\Franz has told me how he feels.\He says that he only thinks of you as the fiancee chosen for him by his parents.\But you feel the same way, don't you? response:	That's why he says you should do what you want.
context: What's this all about? Why now?\Maximilien meant what he said.\He's just a little... clumsy at expressing himself.\I don't want to hear what he has to say. I'm already...\Franz has told me how he feels.\He says that he only thinks of you as the fiancee chosen for him by his parents.\But you feel the same way, don't you?\That's why he says you should do what you want. response:	He might not have a title, but Maximilien is a fine soldier and an honest man.
context: Maximilien meant what he said.\He's just a little... clumsy at expressing himself.\I don't want to hear what he has to say. I'm already...\Franz has told me how he feels.\He says that he only thinks of you as the fiancee chosen for him by his parents.\But you feel the same way, don't you?\That's why he says you should do what you want.\He might not have a title, but Maximilien is a fine soldier and an honest man. response:	And most important of all, he's deeply in love with you.
context: He's just a little... clumsy at expressing himself.\I don't want to hear what he has to say. I'm already...\Franz has told me how he feels.\He says that he only thinks of you as the fiancee chosen for him by his parents.\But you feel the same way, don't you?\That's why he says you should do what you want.\He might not have a title, but Maximilien is a fine soldier and an honest man.\And most important of all, he's deeply in love with you. response:	I'm sure that he'll make you...
context: I don't want to hear what he has to say. I'm already...\Franz has told me how he feels.\He says that he only thinks of you as the fiancee chosen for him by his parents.\But you feel the same way, don't you?\That's why he says you should do what you want.\He might not have a title, but Maximilien is a fine soldier and an honest man.\And most important of all, he's deeply in love with you.\I'm sure that he'll make you... response:	Please leave.
context: Franz has told me how he feels.\He says that he only thinks of you as the fiancee chosen for him by his parents.\But you feel the same way, don't you?\That's why he says you should do what you want.\He might not have a title, but Maximilien is a fine soldier and an honest man.\And most important of all, he's deeply in love with you.\I'm sure that he'll make you...\Please leave. response:	No one... No one considers what I want.
context: He says that he only thinks of you as the fiancee chosen for him by his parents.\But you feel the same way, don't you?\That's why he says you should do what you want.\He might not have a title, but Maximilien is a fine soldier and an honest man.\And most important of all, he's deeply in love with you.\I'm sure that he'll make you...\Please leave.\No one... No one considers what I want. response:	Valentine...
context: But you feel the same way, don't you?\That's why he says you should do what you want.\He might not have a title, but Maximilien is a fine soldier and an honest man.\And most important of all, he's deeply in love with you.\I'm sure that he'll make you...\Please leave.\No one... No one considers what I want.\Valentine... response:	Get out.
context: That's why he says you should do what you want.\He might not have a title, but Maximilien is a fine soldier and an honest man.\And most important of all, he's deeply in love with you.\I'm sure that he'll make you...\Please leave.\No one... No one considers what I want.\Valentine...\Get out. response:	I will now pass judgment.
context: He might not have a title, but Maximilien is a fine soldier and an honest man.\And most important of all, he's deeply in love with you.\I'm sure that he'll make you...\Please leave.\No one... No one considers what I want.\Valentine...\Get out.\I will now pass judgment. response:	The defendant is found guilty of the crimes of larceny and insulting the aristocracy,
context: And most important of all, he's deeply in love with you.\I'm sure that he'll make you...\Please leave.\No one... No one considers what I want.\Valentine...\Get out.\I will now pass judgment.\The defendant is found guilty of the crimes of larceny and insulting the aristocracy, response:	There were extenuating circumstances!
context: I'm sure that he'll make you...\Please leave.\No one... No one considers what I want.\Valentine...\Get out.\I will now pass judgment.\The defendant is found guilty of the crimes of larceny and insulting the aristocracy,\There were extenuating circumstances! response:	You'll get no sympathy from me!
context: Please leave.\No one... No one considers what I want.\Valentine...\Get out.\I will now pass judgment.\The defendant is found guilty of the crimes of larceny and insulting the aristocracy,\There were extenuating circumstances!\You'll get no sympathy from me! response:	Trash like you disturb the public order of the kingdom...
context: No one... No one considers what I want.\Valentine...\Get out.\I will now pass judgment.\The defendant is found guilty of the crimes of larceny and insulting the aristocracy,\There were extenuating circumstances!\You'll get no sympathy from me!\Trash like you disturb the public order of the kingdom... response:	You have a visitor.
context: Valentine...\Get out.\I will now pass judgment.\The defendant is found guilty of the crimes of larceny and insulting the aristocracy,\There were extenuating circumstances!\You'll get no sympathy from me!\Trash like you disturb the public order of the kingdom...\You have a visitor. response:	Hey. Do you miss the outside world?
