context: Lily, you saved my life. response:	I am glad I was able to protect your homeland...
context: Traitor.\In the end, you are one of the Fallen. Just an Exceed.\You've forgotten the debt you owe our king for saving you, and instead turn your blade against him.\It's the other Erza!\Her name is Knightwalker.\Lily!\How dare you!\Dragon Sense! response:	S-Someone save Lily!
context: In the end, you are one of the Fallen. Just an Exceed.\You've forgotten the debt you owe our king for saving you, and instead turn your blade against him.\It's the other Erza!\Her name is Knightwalker.\Lily!\How dare you!\Dragon Sense!\S-Someone save Lily! response:	You mustn't, Chagot!
context: You've forgotten the debt you owe our king for saving you, and instead turn your blade against him.\It's the other Erza!\Her name is Knightwalker.\Lily!\How dare you!\Dragon Sense!\S-Someone save Lily!\You mustn't, Chagot! response:	Queen, leave him to me!
context: It's the other Erza!\Her name is Knightwalker.\Lily!\How dare you!\Dragon Sense!\S-Someone save Lily!\You mustn't, Chagot!\Queen, leave him to me! response:	Scarlet!
context: Her name is Knightwalker.\Lily!\How dare you!\Dragon Sense!\S-Someone save Lily!\You mustn't, Chagot!\Queen, leave him to me!\Scarlet! response:	So heavy...
context: Lily!\How dare you!\Dragon Sense!\S-Someone save Lily!\You mustn't, Chagot!\Queen, leave him to me!\Scarlet!\So heavy... response:	Knightwalker...
context: How dare you!\Dragon Sense!\S-Someone save Lily!\You mustn't, Chagot!\Queen, leave him to me!\Scarlet!\So heavy...\Knightwalker... response:	Wait, Erza.
context: Dragon Sense!\S-Someone save Lily!\You mustn't, Chagot!\Queen, leave him to me!\Scarlet!\So heavy...\Knightwalker...\Wait, Erza. response:	You intend to aim your spear at me, the Prince of Edolas, Erza Knightwalker?
context: S-Someone save Lily!\You mustn't, Chagot!\Queen, leave him to me!\Scarlet!\So heavy...\Knightwalker...\Wait, Erza.\You intend to aim your spear at me, the Prince of Edolas, Erza Knightwalker? response:	Prince?
context: You mustn't, Chagot!\Queen, leave him to me!\Scarlet!\So heavy...\Knightwalker...\Wait, Erza.\You intend to aim your spear at me, the Prince of Edolas, Erza Knightwalker?\Prince? response:	Prince, you say? Don't make me laugh!
context: Queen, leave him to me!\Scarlet!\So heavy...\Knightwalker...\Wait, Erza.\You intend to aim your spear at me, the Prince of Edolas, Erza Knightwalker?\Prince?\Prince, you say? Don't make me laugh! response:	I don't think of you as my son!
context: Scarlet!\So heavy...\Knightwalker...\Wait, Erza.\You intend to aim your spear at me, the Prince of Edolas, Erza Knightwalker?\Prince?\Prince, you say? Don't make me laugh!\I don't think of you as my son! response:	That's the voice of the King!
context: So heavy...\Knightwalker...\Wait, Erza.\You intend to aim your spear at me, the Prince of Edolas, Erza Knightwalker?\Prince?\Prince, you say? Don't make me laugh!\I don't think of you as my son!\That's the voice of the King! response:	Where is he?
context: Knightwalker...\Wait, Erza.\You intend to aim your spear at me, the Prince of Edolas, Erza Knightwalker?\Prince?\Prince, you say? Don't make me laugh!\I don't think of you as my son!\That's the voice of the King!\Where is he? response:	After 7 years of hiding in faraway lands, you have some nerve skulking back here!
context: Wait, Erza.\You intend to aim your spear at me, the Prince of Edolas, Erza Knightwalker?\Prince?\Prince, you say? Don't make me laugh!\I don't think of you as my son!\That's the voice of the King!\Where is he?\After 7 years of hiding in faraway lands, you have some nerve skulking back here! response:	I know that you've been going around Earthland sealing off Anima!
context: You intend to aim your spear at me, the Prince of Edolas, Erza Knightwalker?\Prince?\Prince, you say? Don't make me laugh!\I don't think of you as my son!\That's the voice of the King!\Where is he?\After 7 years of hiding in faraway lands, you have some nerve skulking back here!\I know that you've been going around Earthland sealing off Anima! response:	You've betrayed your country!
context: Prince?\Prince, you say? Don't make me laugh!\I don't think of you as my son!\That's the voice of the King!\Where is he?\After 7 years of hiding in faraway lands, you have some nerve skulking back here!\I know that you've been going around Earthland sealing off Anima!\You've betrayed your country! response:	You sold out your own kingdom!
context: Prince, you say? Don't make me laugh!\I don't think of you as my son!\That's the voice of the King!\Where is he?\After 7 years of hiding in faraway lands, you have some nerve skulking back here!\I know that you've been going around Earthland sealing off Anima!\You've betrayed your country!\You sold out your own kingdom! response:	Where is that voice coming from?
context: I don't think of you as my son!\That's the voice of the King!\Where is he?\After 7 years of hiding in faraway lands, you have some nerve skulking back here!\I know that you've been going around Earthland sealing off Anima!\You've betrayed your country!\You sold out your own kingdom!\Where is that voice coming from? response:	It's like it's coming from deep inside the ground...
context: That's the voice of the King!\Where is he?\After 7 years of hiding in faraway lands, you have some nerve skulking back here!\I know that you've been going around Earthland sealing off Anima!\You've betrayed your country!\You sold out your own kingdom!\Where is that voice coming from?\It's like it's coming from deep inside the ground... response:	Hey! Show yourself!
context: Where is he?\After 7 years of hiding in faraway lands, you have some nerve skulking back here!\I know that you've been going around Earthland sealing off Anima!\You've betrayed your country!\You sold out your own kingdom!\Where is that voice coming from?\It's like it's coming from deep inside the ground...\Hey! Show yourself! response:	Yeah!
context: After 7 years of hiding in faraway lands, you have some nerve skulking back here!\I know that you've been going around Earthland sealing off Anima!\You've betrayed your country!\You sold out your own kingdom!\Where is that voice coming from?\It's like it's coming from deep inside the ground...\Hey! Show yourself!\Yeah! response:	Your Anima plan was a failure.
context: I know that you've been going around Earthland sealing off Anima!\You've betrayed your country!\You sold out your own kingdom!\Where is that voice coming from?\It's like it's coming from deep inside the ground...\Hey! Show yourself!\Yeah!\Your Anima plan was a failure. response:	Continuing to fight would be meaningless, yes?
context: You've betrayed your country!\You sold out your own kingdom!\Where is that voice coming from?\It's like it's coming from deep inside the ground...\Hey! Show yourself!\Yeah!\Your Anima plan was a failure.\Continuing to fight would be meaningless, yes? response:	Meaning? The meaning of fighting?
context: You sold out your own kingdom!\Where is that voice coming from?\It's like it's coming from deep inside the ground...\Hey! Show yourself!\Yeah!\Your Anima plan was a failure.\Continuing to fight would be meaningless, yes?\Meaning? The meaning of fighting? response:	What's that noise? Or wait, what is...
context: Where is that voice coming from?\It's like it's coming from deep inside the ground...\Hey! Show yourself!\Yeah!\Your Anima plan was a failure.\Continuing to fight would be meaningless, yes?\Meaning? The meaning of fighting?\What's that noise? Or wait, what is... response:	The air is trembling from magic power!
context: It's like it's coming from deep inside the ground...\Hey! Show yourself!\Yeah!\Your Anima plan was a failure.\Continuing to fight would be meaningless, yes?\Meaning? The meaning of fighting?\What's that noise? Or wait, what is...\The air is trembling from magic power! response:	This is not a fight.
context: Hey! Show yourself!\Yeah!\Your Anima plan was a failure.\Continuing to fight would be meaningless, yes?\Meaning? The meaning of fighting?\What's that noise? Or wait, what is...\The air is trembling from magic power!\This is not a fight. response:	It is retaliation against those who defy the King!
context: Yeah!\Your Anima plan was a failure.\Continuing to fight would be meaningless, yes?\Meaning? The meaning of fighting?\What's that noise? Or wait, what is...\The air is trembling from magic power!\This is not a fight.\It is retaliation against those who defy the King! response:	A one-sided extermination!
context: Your Anima plan was a failure.\Continuing to fight would be meaningless, yes?\Meaning? The meaning of fighting?\What's that noise? Or wait, what is...\The air is trembling from magic power!\This is not a fight.\It is retaliation against those who defy the King!\A one-sided extermination! response:	What is that?
context: Continuing to fight would be meaningless, yes?\Meaning? The meaning of fighting?\What's that noise? Or wait, what is...\The air is trembling from magic power!\This is not a fight.\It is retaliation against those who defy the King!\A one-sided extermination!\What is that? response:	Some magical weapon?
context: Meaning? The meaning of fighting?\What's that noise? Or wait, what is...\The air is trembling from magic power!\This is not a fight.\It is retaliation against those who defy the King!\A one-sided extermination!\What is that?\Some magical weapon? response:	No matter who stands in my way, I will eliminate them. Even you!
context: What's that noise? Or wait, what is...\The air is trembling from magic power!\This is not a fight.\It is retaliation against those who defy the King!\A one-sided extermination!\What is that?\Some magical weapon?\No matter who stands in my way, I will eliminate them. Even you! response:	There won't be any trace left!
context: The air is trembling from magic power!\This is not a fight.\It is retaliation against those who defy the King!\A one-sided extermination!\What is that?\Some magical weapon?\No matter who stands in my way, I will eliminate them. Even you!\There won't be any trace left! response:	Father...
context: This is not a fight.\It is retaliation against those who defy the King!\A one-sided extermination!\What is that?\Some magical weapon?\No matter who stands in my way, I will eliminate them. Even you!\There won't be any trace left!\Father... response:	I am no father.
context: It is retaliation against those who defy the King!\A one-sided extermination!\What is that?\Some magical weapon?\No matter who stands in my way, I will eliminate them. Even you!\There won't be any trace left!\Father...\I am no father. response:	I am the King of Edolas!
context: A one-sided extermination!\What is that?\Some magical weapon?\No matter who stands in my way, I will eliminate them. Even you!\There won't be any trace left!\Father...\I am no father.\I am the King of Edolas! response:	Yes... I'll wipe you out here,
context: What is that?\Some magical weapon?\No matter who stands in my way, I will eliminate them. Even you!\There won't be any trace left!\Father...\I am no father.\I am the King of Edolas!\Yes... I'll wipe you out here, response:	and then no one will be left to stop the Anima in Earthland!
context: Some magical weapon?\No matter who stands in my way, I will eliminate them. Even you!\There won't be any trace left!\Father...\I am no father.\I am the King of Edolas!\Yes... I'll wipe you out here,\and then no one will be left to stop the Anima in Earthland! response:	I'll suck up another giant lacrima,
context: No matter who stands in my way, I will eliminate them. Even you!\There won't be any trace left!\Father...\I am no father.\I am the King of Edolas!\Yes... I'll wipe you out here,\and then no one will be left to stop the Anima in Earthland!\I'll suck up another giant lacrima, response:	and then fuse it with the Exceed!
context: There won't be any trace left!\Father...\I am no father.\I am the King of Edolas!\Yes... I'll wipe you out here,\and then no one will be left to stop the Anima in Earthland!\I'll suck up another giant lacrima,\and then fuse it with the Exceed! response:	I can do it as many times as I want!
context: Father...\I am no father.\I am the King of Edolas!\Yes... I'll wipe you out here,\and then no one will be left to stop the Anima in Earthland!\I'll suck up another giant lacrima,\and then fuse it with the Exceed!\I can do it as many times as I want! response:	That's...
context: I am no father.\I am the King of Edolas!\Yes... I'll wipe you out here,\and then no one will be left to stop the Anima in Earthland!\I'll suck up another giant lacrima,\and then fuse it with the Exceed!\I can do it as many times as I want!\That's... response:	Nothing is impossible for the King!
context: I am the King of Edolas!\Yes... I'll wipe you out here,\and then no one will be left to stop the Anima in Earthland!\I'll suck up another giant lacrima,\and then fuse it with the Exceed!\I can do it as many times as I want!\That's...\Nothing is impossible for the King! response:	The King's power is absolute!
context: Yes... I'll wipe you out here,\and then no one will be left to stop the Anima in Earthland!\I'll suck up another giant lacrima,\and then fuse it with the Exceed!\I can do it as many times as I want!\That's...\Nothing is impossible for the King!\The King's power is absolute! response:	That shape... That magic power...
context: and then no one will be left to stop the Anima in Earthland!\I'll suck up another giant lacrima,\and then fuse it with the Exceed!\I can do it as many times as I want!\That's...\Nothing is impossible for the King!\The King's power is absolute!\That shape... That magic power... response:	It can be none other!
context: I'll suck up another giant lacrima,\and then fuse it with the Exceed!\I can do it as many times as I want!\That's...\Nothing is impossible for the King!\The King's power is absolute!\That shape... That magic power...\It can be none other! response:	M-My word...
context: and then fuse it with the Exceed!\I can do it as many times as I want!\That's...\Nothing is impossible for the King!\The King's power is absolute!\That shape... That magic power...\It can be none other!\M-My word... response:	That's... That's...!
context: I can do it as many times as I want!\That's...\Nothing is impossible for the King!\The King's power is absolute!\That shape... That magic power...\It can be none other!\M-My word...\That's... That's...! response:	Droma Anim!
context: That's...\Nothing is impossible for the King!\The King's power is absolute!\That shape... That magic power...\It can be none other!\M-My word...\That's... That's...!\Droma Anim! response:	Droma Anim?
context: Nothing is impossible for the King!\The King's power is absolute!\That shape... That magic power...\It can be none other!\M-My word...\That's... That's...!\Droma Anim!\Droma Anim? response:	It means Dragon Knight in our native tongue.
context: The King's power is absolute!\That shape... That magic power...\It can be none other!\M-My word...\That's... That's...!\Droma Anim!\Droma Anim?\It means Dragon Knight in our native tongue. response:	It's a hardened armored dragon?
context: That shape... That magic power...\It can be none other!\M-My word...\That's... That's...!\Droma Anim!\Droma Anim?\It means Dragon Knight in our native tongue.\It's a hardened armored dragon? response:	A dragon?
context: It can be none other!\M-My word...\That's... That's...!\Droma Anim!\Droma Anim?\It means Dragon Knight in our native tongue.\It's a hardened armored dragon?\A dragon? response:	Or rather, it's in the shape of one.
context: M-My word...\That's... That's...!\Droma Anim!\Droma Anim?\It means Dragon Knight in our native tongue.\It's a hardened armored dragon?\A dragon?\Or rather, it's in the shape of one. response:	Hardened armor?
context: That's... That's...!\Droma Anim!\Droma Anim?\It means Dragon Knight in our native tongue.\It's a hardened armored dragon?\A dragon?\Or rather, it's in the shape of one.\Hardened armor? response:	What does that mean?
context: Droma Anim!\Droma Anim?\It means Dragon Knight in our native tongue.\It's a hardened armored dragon?\A dragon?\Or rather, it's in the shape of one.\Hardened armor?\What does that mean? response:	Special anti-wizard lacrima...
context: Droma Anim?\It means Dragon Knight in our native tongue.\It's a hardened armored dragon?\A dragon?\Or rather, it's in the shape of one.\Hardened armor?\What does that mean?\Special anti-wizard lacrima... response:	Wizard cancelers nullify all external magic!
context: It means Dragon Knight in our native tongue.\It's a hardened armored dragon?\A dragon?\Or rather, it's in the shape of one.\Hardened armor?\What does that mean?\Special anti-wizard lacrima...\Wizard cancelers nullify all external magic! response:	It's a suit of armor you can pilot!
context: It's a hardened armored dragon?\A dragon?\Or rather, it's in the shape of one.\Hardened armor?\What does that mean?\Special anti-wizard lacrima...\Wizard cancelers nullify all external magic!\It's a suit of armor you can pilot! response:	The King's inside of it, controlling Droma Anim!
context: A dragon?\Or rather, it's in the shape of one.\Hardened armor?\What does that mean?\Special anti-wizard lacrima...\Wizard cancelers nullify all external magic!\It's a suit of armor you can pilot!\The King's inside of it, controlling Droma Anim! response:	My soldiers... Capture the Exceeds!
context: Or rather, it's in the shape of one.\Hardened armor?\What does that mean?\Special anti-wizard lacrima...\Wizard cancelers nullify all external magic!\It's a suit of armor you can pilot!\The King's inside of it, controlling Droma Anim!\My soldiers... Capture the Exceeds! response:	Yes, sire!
context: Hardened armor?\What does that mean?\Special anti-wizard lacrima...\Wizard cancelers nullify all external magic!\It's a suit of armor you can pilot!\The King's inside of it, controlling Droma Anim!\My soldiers... Capture the Exceeds!\Yes, sire! response:	Crap... Run for it!
context: What does that mean?\Special anti-wizard lacrima...\Wizard cancelers nullify all external magic!\It's a suit of armor you can pilot!\The King's inside of it, controlling Droma Anim!\My soldiers... Capture the Exceeds!\Yes, sire!\Crap... Run for it! response:	Don't run!
context: Special anti-wizard lacrima...\Wizard cancelers nullify all external magic!\It's a suit of armor you can pilot!\The King's inside of it, controlling Droma Anim!\My soldiers... Capture the Exceeds!\Yes, sire!\Crap... Run for it!\Don't run! response:	Magicalize Cannon is fully charged!
context: Wizard cancelers nullify all external magic!\It's a suit of armor you can pilot!\The King's inside of it, controlling Droma Anim!\My soldiers... Capture the Exceeds!\Yes, sire!\Crap... Run for it!\Don't run!\Magicalize Cannon is fully charged! response:	Irradiate them!
context: It's a suit of armor you can pilot!\The King's inside of it, controlling Droma Anim!\My soldiers... Capture the Exceeds!\Yes, sire!\Crap... Run for it!\Don't run!\Magicalize Cannon is fully charged!\Irradiate them! response:	Everyone, run!
context: The King's inside of it, controlling Droma Anim!\My soldiers... Capture the Exceeds!\Yes, sire!\Crap... Run for it!\Don't run!\Magicalize Cannon is fully charged!\Irradiate them!\Everyone, run! response:	Chagot... We should get farther away...
context: My soldiers... Capture the Exceeds!\Yes, sire!\Crap... Run for it!\Don't run!\Magicalize Cannon is fully charged!\Irradiate them!\Everyone, run!\Chagot... We should get farther away... response:	Everyone...
context: Yes, sire!\Crap... Run for it!\Don't run!\Magicalize Cannon is fully charged!\Irradiate them!\Everyone, run!\Chagot... We should get farther away...\Everyone... response:	Survive!
context: Crap... Run for it!\Don't run!\Magicalize Cannon is fully charged!\Irradiate them!\Everyone, run!\Chagot... We should get farther away...\Everyone...\Survive! response:	After them!
context: Don't run!\Magicalize Cannon is fully charged!\Irradiate them!\Everyone, run!\Chagot... We should get farther away...\Everyone...\Survive!\After them! response:	We'll protect the Exceeds from the Royal Army!
context: Magicalize Cannon is fully charged!\Irradiate them!\Everyone, run!\Chagot... We should get farther away...\Everyone...\Survive!\After them!\We'll protect the Exceeds from the Royal Army! response:	Attack Knightwalker's forces!
context: Irradiate them!\Everyone, run!\Chagot... We should get farther away...\Everyone...\Survive!\After them!\We'll protect the Exceeds from the Royal Army!\Attack Knightwalker's forces! response:	Right!
context: Everyone, run!\Chagot... We should get farther away...\Everyone...\Survive!\After them!\We'll protect the Exceeds from the Royal Army!\Attack Knightwalker's forces!\Right! response:	Oh yeah... You don't get queasy when riding this Legion...
context: Chagot... We should get farther away...\Everyone...\Survive!\After them!\We'll protect the Exceeds from the Royal Army!\Attack Knightwalker's forces!\Right!\Oh yeah... You don't get queasy when riding this Legion... response:	Did you have Troia cast on you to help your motion sickness?
context: Everyone...\Survive!\After them!\We'll protect the Exceeds from the Royal Army!\Attack Knightwalker's forces!\Right!\Oh yeah... You don't get queasy when riding this Legion...\Did you have Troia cast on you to help your motion sickness? response:	What?!
context: Survive!\After them!\We'll protect the Exceeds from the Royal Army!\Attack Knightwalker's forces!\Right!\Oh yeah... You don't get queasy when riding this Legion...\Did you have Troia cast on you to help your motion sickness?\What?! response:	T-This guy's like one of our buddies, right?
context: After them!\We'll protect the Exceeds from the Royal Army!\Attack Knightwalker's forces!\Right!\Oh yeah... You don't get queasy when riding this Legion...\Did you have Troia cast on you to help your motion sickness?\What?!\T-This guy's like one of our buddies, right? response:	Stop treating it like transportation!
context: We'll protect the Exceeds from the Royal Army!\Attack Knightwalker's forces!\Right!\Oh yeah... You don't get queasy when riding this Legion...\Did you have Troia cast on you to help your motion sickness?\What?!\T-This guy's like one of our buddies, right?\Stop treating it like transportation! response:	That's cold.
context: Attack Knightwalker's forces!\Right!\Oh yeah... You don't get queasy when riding this Legion...\Did you have Troia cast on you to help your motion sickness?\What?!\T-This guy's like one of our buddies, right?\Stop treating it like transportation!\That's cold. response:	Yeah... Sorry about that.
context: Right!\Oh yeah... You don't get queasy when riding this Legion...\Did you have Troia cast on you to help your motion sickness?\What?!\T-This guy's like one of our buddies, right?\Stop treating it like transportation!\That's cold.\Yeah... Sorry about that. response:	Man, it's been a long time since we did this bit.
context: Oh yeah... You don't get queasy when riding this Legion...\Did you have Troia cast on you to help your motion sickness?\What?!\T-This guy's like one of our buddies, right?\Stop treating it like transportation!\That's cold.\Yeah... Sorry about that.\Man, it's been a long time since we did this bit. response:	Enough pointless banter for now. What'll we do about that giant thing?
context: Did you have Troia cast on you to help your motion sickness?\What?!\T-This guy's like one of our buddies, right?\Stop treating it like transportation!\That's cold.\Yeah... Sorry about that.\Man, it's been a long time since we did this bit.\Enough pointless banter for now. What'll we do about that giant thing? response:	Don't call it pointless!
context: What?!\T-This guy's like one of our buddies, right?\Stop treating it like transportation!\That's cold.\Yeah... Sorry about that.\Man, it's been a long time since we did this bit.\Enough pointless banter for now. What'll we do about that giant thing?\Don't call it pointless! response:	It's pointless to even try and face it!
context: T-This guy's like one of our buddies, right?\Stop treating it like transportation!\That's cold.\Yeah... Sorry about that.\Man, it's been a long time since we did this bit.\Enough pointless banter for now. What'll we do about that giant thing?\Don't call it pointless!\It's pointless to even try and face it! response:	Magic won't work on it!
context: Stop treating it like transportation!\That's cold.\Yeah... Sorry about that.\Man, it's been a long time since we did this bit.\Enough pointless banter for now. What'll we do about that giant thing?\Don't call it pointless!\It's pointless to even try and face it!\Magic won't work on it! response:	We just have to dodge it!
context: That's cold.\Yeah... Sorry about that.\Man, it's been a long time since we did this bit.\Enough pointless banter for now. What'll we do about that giant thing?\Don't call it pointless!\It's pointless to even try and face it!\Magic won't work on it!\We just have to dodge it! response:	The Exceeds are defenseless now!
context: Yeah... Sorry about that.\Man, it's been a long time since we did this bit.\Enough pointless banter for now. What'll we do about that giant thing?\Don't call it pointless!\It's pointless to even try and face it!\Magic won't work on it!\We just have to dodge it!\The Exceeds are defenseless now! response:	If we don't protect them, then...
context: Man, it's been a long time since we did this bit.\Enough pointless banter for now. What'll we do about that giant thing?\Don't call it pointless!\It's pointless to even try and face it!\Magic won't work on it!\We just have to dodge it!\The Exceeds are defenseless now!\If we don't protect them, then... response:	Right! Let's go!
context: Enough pointless banter for now. What'll we do about that giant thing?\Don't call it pointless!\It's pointless to even try and face it!\Magic won't work on it!\We just have to dodge it!\The Exceeds are defenseless now!\If we don't protect them, then...\Right! Let's go! response:	Protect them while dodging me?
context: Don't call it pointless!\It's pointless to even try and face it!\Magic won't work on it!\We just have to dodge it!\The Exceeds are defenseless now!\If we don't protect them, then...\Right! Let's go!\Protect them while dodging me? response:	I won't let a single human escape!
context: It's pointless to even try and face it!\Magic won't work on it!\We just have to dodge it!\The Exceeds are defenseless now!\If we don't protect them, then...\Right! Let's go!\Protect them while dodging me?\I won't let a single human escape! response:	I'll blast every last one of you to bits!
context: Magic won't work on it!\We just have to dodge it!\The Exceeds are defenseless now!\If we don't protect them, then...\Right! Let's go!\Protect them while dodging me?\I won't let a single human escape!\I'll blast every last one of you to bits! response:	Begone!!
context: We just have to dodge it!\The Exceeds are defenseless now!\If we don't protect them, then...\Right! Let's go!\Protect them while dodging me?\I won't let a single human escape!\I'll blast every last one of you to bits!\Begone!! response:	Mystogan...
context: The Exceeds are defenseless now!\If we don't protect them, then...\Right! Let's go!\Protect them while dodging me?\I won't let a single human escape!\I'll blast every last one of you to bits!\Begone!!\Mystogan... response:	Mystogan? Is that your name on Earthland, Jellal?
context: If we don't protect them, then...\Right! Let's go!\Protect them while dodging me?\I won't let a single human escape!\I'll blast every last one of you to bits!\Begone!!\Mystogan...\Mystogan? Is that your name on Earthland, Jellal? response:	Erza, take this chance and go!
context: Right! Let's go!\Protect them while dodging me?\I won't let a single human escape!\I'll blast every last one of you to bits!\Begone!!\Mystogan...\Mystogan? Is that your name on Earthland, Jellal?\Erza, take this chance and go! response:	But...
context: Protect them while dodging me?\I won't let a single human escape!\I'll blast every last one of you to bits!\Begone!!\Mystogan...\Mystogan? Is that your name on Earthland, Jellal?\Erza, take this chance and go!\But... response:	Go!
context: I won't let a single human escape!\I'll blast every last one of you to bits!\Begone!!\Mystogan...\Mystogan? Is that your name on Earthland, Jellal?\Erza, take this chance and go!\But...\Go! response:	Prince...
context: I'll blast every last one of you to bits!\Begone!!\Mystogan...\Mystogan? Is that your name on Earthland, Jellal?\Erza, take this chance and go!\But...\Go!\Prince... response:	You...
context: Begone!!\Mystogan...\Mystogan? Is that your name on Earthland, Jellal?\Erza, take this chance and go!\But...\Go!\Prince...\You... response:	Three Layered Magic Circle...
context: Mystogan...\Mystogan? Is that your name on Earthland, Jellal?\Erza, take this chance and go!\But...\Go!\Prince...\You...\Three Layered Magic Circle... response:	Mirror Water!
context: Mystogan? Is that your name on Earthland, Jellal?\Erza, take this chance and go!\But...\Go!\Prince...\You...\Three Layered Magic Circle...\Mirror Water! response:	What? It's reflecting back?
context: Erza, take this chance and go!\But...\Go!\Prince...\You...\Three Layered Magic Circle...\Mirror Water!\What? It's reflecting back? response:	Did that do it?
context: But...\Go!\Prince...\You...\Three Layered Magic Circle...\Mirror Water!\What? It's reflecting back?\Did that do it? response:	Wow! So that's Mystogan...
context: Go!\Prince...\You...\Three Layered Magic Circle...\Mirror Water!\What? It's reflecting back?\Did that do it?\Wow! So that's Mystogan... response:	That tickles!
context: Prince...\You...\Three Layered Magic Circle...\Mirror Water!\What? It's reflecting back?\Did that do it?\Wow! So that's Mystogan...\That tickles! response:	It didn't even scratch him!
context: You...\Three Layered Magic Circle...\Mirror Water!\What? It's reflecting back?\Did that do it?\Wow! So that's Mystogan...\That tickles!\It didn't even scratch him! response:	Impossible!
context: Three Layered Magic Circle...\Mirror Water!\What? It's reflecting back?\Did that do it?\Wow! So that's Mystogan...\That tickles!\It didn't even scratch him!\Impossible! response:	That's...
context: Mirror Water!\What? It's reflecting back?\Did that do it?\Wow! So that's Mystogan...\That tickles!\It didn't even scratch him!\Impossible!\That's... response:	Exactly! This is the power of Wizard Canceler!
context: What? It's reflecting back?\Did that do it?\Wow! So that's Mystogan...\That tickles!\It didn't even scratch him!\Impossible!\That's...\Exactly! This is the power of Wizard Canceler! response:	No matter what wizard faces it, no magic will work on Droma Anim!
context: Did that do it?\Wow! So that's Mystogan...\That tickles!\It didn't even scratch him!\Impossible!\That's...\Exactly! This is the power of Wizard Canceler!\No matter what wizard faces it, no magic will work on Droma Anim! response:	Mystogan!
context: Wow! So that's Mystogan...\That tickles!\It didn't even scratch him!\Impossible!\That's...\Exactly! This is the power of Wizard Canceler!\No matter what wizard faces it, no magic will work on Droma Anim!\Mystogan! response:	You're much more suited to crawling along the ground!
context: That tickles!\It didn't even scratch him!\Impossible!\That's...\Exactly! This is the power of Wizard Canceler!\No matter what wizard faces it, no magic will work on Droma Anim!\Mystogan!\You're much more suited to crawling along the ground! response:	You should wander along the ground until you give up and die!
context: It didn't even scratch him!\Impossible!\That's...\Exactly! This is the power of Wizard Canceler!\No matter what wizard faces it, no magic will work on Droma Anim!\Mystogan!\You're much more suited to crawling along the ground!\You should wander along the ground until you give up and die! response:	Damn it... Ice Make...
context: Impossible!\That's...\Exactly! This is the power of Wizard Canceler!\No matter what wizard faces it, no magic will work on Droma Anim!\Mystogan!\You're much more suited to crawling along the ground!\You should wander along the ground until you give up and die!\Damn it... Ice Make... response:	This is pretty tough.
context: That's...\Exactly! This is the power of Wizard Canceler!\No matter what wizard faces it, no magic will work on Droma Anim!\Mystogan!\You're much more suited to crawling along the ground!\You should wander along the ground until you give up and die!\Damn it... Ice Make...\This is pretty tough. response:	I think I'm gonna be sick, and I'm not even Natsu!
context: Exactly! This is the power of Wizard Canceler!\No matter what wizard faces it, no magic will work on Droma Anim!\Mystogan!\You're much more suited to crawling along the ground!\You should wander along the ground until you give up and die!\Damn it... Ice Make...\This is pretty tough.\I think I'm gonna be sick, and I'm not even Natsu! response:	Help me!
