context: Hey, little boy! That thing I asked you to do yesterday response:	Right, right!
context: Please give me my next task!\Oh, my, you took care of that quicker than I thought.\What on earth has gotten into you?\Your work has been stellar the last few days.\Well, not that you haven't been a godsend.\It looks like I'll have to add a generous tip to your paycheck!\I'm getting paid?\Of course you are. response:	Those who work must be compensated.
context: Oh, my, you took care of that quicker than I thought.\What on earth has gotten into you?\Your work has been stellar the last few days.\Well, not that you haven't been a godsend.\It looks like I'll have to add a generous tip to your paycheck!\I'm getting paid?\Of course you are.\Those who work must be compensated. response:	It's a rule of society.
context: What on earth has gotten into you?\Your work has been stellar the last few days.\Well, not that you haven't been a godsend.\It looks like I'll have to add a generous tip to your paycheck!\I'm getting paid?\Of course you are.\Those who work must be compensated.\It's a rule of society. response:	Also...
context: Your work has been stellar the last few days.\Well, not that you haven't been a godsend.\It looks like I'll have to add a generous tip to your paycheck!\I'm getting paid?\Of course you are.\Those who work must be compensated.\It's a rule of society.\Also... response:	I've already made that hotel reservation for you.
context: Well, not that you haven't been a godsend.\It looks like I'll have to add a generous tip to your paycheck!\I'm getting paid?\Of course you are.\Those who work must be compensated.\It's a rule of society.\Also...\I've already made that hotel reservation for you. response:	You've passed.
context: It looks like I'll have to add a generous tip to your paycheck!\I'm getting paid?\Of course you are.\Those who work must be compensated.\It's a rule of society.\Also...\I've already made that hotel reservation for you.\You've passed. response:	I'm sure it will be fine, entrusting her to you.
context: I'm getting paid?\Of course you are.\Those who work must be compensated.\It's a rule of society.\Also...\I've already made that hotel reservation for you.\You've passed.\I'm sure it will be fine, entrusting her to you. response:	As a mother, I don't know if it's appropriate to say this,
context: Of course you are.\Those who work must be compensated.\It's a rule of society.\Also...\I've already made that hotel reservation for you.\You've passed.\I'm sure it will be fine, entrusting her to you.\As a mother, I don't know if it's appropriate to say this, response:	but go on and have as much fun as high school kids should!
context: Those who work must be compensated.\It's a rule of society.\Also...\I've already made that hotel reservation for you.\You've passed.\I'm sure it will be fine, entrusting her to you.\As a mother, I don't know if it's appropriate to say this,\but go on and have as much fun as high school kids should! response:	I don't want a paycheck.
context: It's a rule of society.\Also...\I've already made that hotel reservation for you.\You've passed.\I'm sure it will be fine, entrusting her to you.\As a mother, I don't know if it's appropriate to say this,\but go on and have as much fun as high school kids should!\I don't want a paycheck. response:	Or the hotel room, needless to say.
context: Also...\I've already made that hotel reservation for you.\You've passed.\I'm sure it will be fine, entrusting her to you.\As a mother, I don't know if it's appropriate to say this,\but go on and have as much fun as high school kids should!\I don't want a paycheck.\Or the hotel room, needless to say. response:	But...
context: I've already made that hotel reservation for you.\You've passed.\I'm sure it will be fine, entrusting her to you.\As a mother, I don't know if it's appropriate to say this,\but go on and have as much fun as high school kids should!\I don't want a paycheck.\Or the hotel room, needless to say.\But... response:	I do have one favor to ask of you.
context: You've passed.\I'm sure it will be fine, entrusting her to you.\As a mother, I don't know if it's appropriate to say this,\but go on and have as much fun as high school kids should!\I don't want a paycheck.\Or the hotel room, needless to say.\But...\I do have one favor to ask of you. response:	If I work extra hard,
context: I'm sure it will be fine, entrusting her to you.\As a mother, I don't know if it's appropriate to say this,\but go on and have as much fun as high school kids should!\I don't want a paycheck.\Or the hotel room, needless to say.\But...\I do have one favor to ask of you.\If I work extra hard, response:	and that gives you some extra time tomorrow on Christmas Eve,
context: As a mother, I don't know if it's appropriate to say this,\but go on and have as much fun as high school kids should!\I don't want a paycheck.\Or the hotel room, needless to say.\But...\I do have one favor to ask of you.\If I work extra hard,\and that gives you some extra time tomorrow on Christmas Eve, response:	do you think you can go see Chitoge?
context: but go on and have as much fun as high school kids should!\I don't want a paycheck.\Or the hotel room, needless to say.\But...\I do have one favor to ask of you.\If I work extra hard,\and that gives you some extra time tomorrow on Christmas Eve,\do you think you can go see Chitoge? response:	What are you talking about...?
context: I don't want a paycheck.\Or the hotel room, needless to say.\But...\I do have one favor to ask of you.\If I work extra hard,\and that gives you some extra time tomorrow on Christmas Eve,\do you think you can go see Chitoge?\What are you talking about...? response:	I know you can do it!
context: Or the hotel room, needless to say.\But...\I do have one favor to ask of you.\If I work extra hard,\and that gives you some extra time tomorrow on Christmas Eve,\do you think you can go see Chitoge?\What are you talking about...?\I know you can do it! response:	If I keep up this pace and work to death, I can open up some time for you!
context: But...\I do have one favor to ask of you.\If I work extra hard,\and that gives you some extra time tomorrow on Christmas Eve,\do you think you can go see Chitoge?\What are you talking about...?\I know you can do it!\If I keep up this pace and work to death, I can open up some time for you! response:	Isn't that right?
context: I do have one favor to ask of you.\If I work extra hard,\and that gives you some extra time tomorrow on Christmas Eve,\do you think you can go see Chitoge?\What are you talking about...?\I know you can do it!\If I keep up this pace and work to death, I can open up some time for you!\Isn't that right? response:	Well, I suppose...
context: If I work extra hard,\and that gives you some extra time tomorrow on Christmas Eve,\do you think you can go see Chitoge?\What are you talking about...?\I know you can do it!\If I keep up this pace and work to death, I can open up some time for you!\Isn't that right?\Well, I suppose... response:	Can you go or can't you? Which is it?
context: and that gives you some extra time tomorrow on Christmas Eve,\do you think you can go see Chitoge?\What are you talking about...?\I know you can do it!\If I keep up this pace and work to death, I can open up some time for you!\Isn't that right?\Well, I suppose...\Can you go or can't you? Which is it? response:	Well, of course it's a possibility, but...
context: do you think you can go see Chitoge?\What are you talking about...?\I know you can do it!\If I keep up this pace and work to death, I can open up some time for you!\Isn't that right?\Well, I suppose...\Can you go or can't you? Which is it?\Well, of course it's a possibility, but... response:	That's all I need to hear.
context: What are you talking about...?\I know you can do it!\If I keep up this pace and work to death, I can open up some time for you!\Isn't that right?\Well, I suppose...\Can you go or can't you? Which is it?\Well, of course it's a possibility, but...\That's all I need to hear. response:	I'm getting back to work.
context: I know you can do it!\If I keep up this pace and work to death, I can open up some time for you!\Isn't that right?\Well, I suppose...\Can you go or can't you? Which is it?\Well, of course it's a possibility, but...\That's all I need to hear.\I'm getting back to work. response:	Oh, hey - wait!
context: If I keep up this pace and work to death, I can open up some time for you!\Isn't that right?\Well, I suppose...\Can you go or can't you? Which is it?\Well, of course it's a possibility, but...\That's all I need to hear.\I'm getting back to work.\Oh, hey - wait! response:	It could be that I'm only butting in needlessly.
context: Isn't that right?\Well, I suppose...\Can you go or can't you? Which is it?\Well, of course it's a possibility, but...\That's all I need to hear.\I'm getting back to work.\Oh, hey - wait!\It could be that I'm only butting in needlessly. response:	Same as the other day - it's like I will end up hurting her.
context: Well, I suppose...\Can you go or can't you? Which is it?\Well, of course it's a possibility, but...\That's all I need to hear.\I'm getting back to work.\Oh, hey - wait!\It could be that I'm only butting in needlessly.\Same as the other day - it's like I will end up hurting her. response:	But...
context: Can you go or can't you? Which is it?\Well, of course it's a possibility, but...\That's all I need to hear.\I'm getting back to work.\Oh, hey - wait!\It could be that I'm only butting in needlessly.\Same as the other day - it's like I will end up hurting her.\But... response:	I can't leave things like this... that would be too cruel to poor Chitoge!
context: Well, of course it's a possibility, but...\That's all I need to hear.\I'm getting back to work.\Oh, hey - wait!\It could be that I'm only butting in needlessly.\Same as the other day - it's like I will end up hurting her.\But...\I can't leave things like this... that would be too cruel to poor Chitoge! response:	I don't know if it'll fix things between them if they meet up,
context: That's all I need to hear.\I'm getting back to work.\Oh, hey - wait!\It could be that I'm only butting in needlessly.\Same as the other day - it's like I will end up hurting her.\But...\I can't leave things like this... that would be too cruel to poor Chitoge!\I don't know if it'll fix things between them if they meet up, response:	but I want to do whatever I can for her, at least!
context: I'm getting back to work.\Oh, hey - wait!\It could be that I'm only butting in needlessly.\Same as the other day - it's like I will end up hurting her.\But...\I can't leave things like this... that would be too cruel to poor Chitoge!\I don't know if it'll fix things between them if they meet up,\but I want to do whatever I can for her, at least! response:	All the work I was supposed to do this month... It's all right here.
context: Oh, hey - wait!\It could be that I'm only butting in needlessly.\Same as the other day - it's like I will end up hurting her.\But...\I can't leave things like this... that would be too cruel to poor Chitoge!\I don't know if it'll fix things between them if they meet up,\but I want to do whatever I can for her, at least!\All the work I was supposed to do this month... It's all right here. response:	And judging by your recent tendencies,
context: It could be that I'm only butting in needlessly.\Same as the other day - it's like I will end up hurting her.\But...\I can't leave things like this... that would be too cruel to poor Chitoge!\I don't know if it'll fix things between them if they meet up,\but I want to do whatever I can for her, at least!\All the work I was supposed to do this month... It's all right here.\And judging by your recent tendencies, response:	everything you might need as gifts for your clients...
context: Same as the other day - it's like I will end up hurting her.\But...\I can't leave things like this... that would be too cruel to poor Chitoge!\I don't know if it'll fix things between them if they meet up,\but I want to do whatever I can for her, at least!\All the work I was supposed to do this month... It's all right here.\And judging by your recent tendencies,\everything you might need as gifts for your clients... response:	I've gone out and purchased them all.
context: But...\I can't leave things like this... that would be too cruel to poor Chitoge!\I don't know if it'll fix things between them if they meet up,\but I want to do whatever I can for her, at least!\All the work I was supposed to do this month... It's all right here.\And judging by your recent tendencies,\everything you might need as gifts for your clients...\I've gone out and purchased them all. response:	My, you do amaze me.
context: I can't leave things like this... that would be too cruel to poor Chitoge!\I don't know if it'll fix things between them if they meet up,\but I want to do whatever I can for her, at least!\All the work I was supposed to do this month... It's all right here.\And judging by your recent tendencies,\everything you might need as gifts for your clients...\I've gone out and purchased them all.\My, you do amaze me. response:	I've done everything that I possibly could. Ms. Hana...
context: I don't know if it'll fix things between them if they meet up,\but I want to do whatever I can for her, at least!\All the work I was supposed to do this month... It's all right here.\And judging by your recent tendencies,\everything you might need as gifts for your clients...\I've gone out and purchased them all.\My, you do amaze me.\I've done everything that I possibly could. Ms. Hana... response:	I'm asking you now! Please go see her!
context: but I want to do whatever I can for her, at least!\All the work I was supposed to do this month... It's all right here.\And judging by your recent tendencies,\everything you might need as gifts for your clients...\I've gone out and purchased them all.\My, you do amaze me.\I've done everything that I possibly could. Ms. Hana...\I'm asking you now! Please go see her! response:	Oh, I won't be going. Not me.
context: All the work I was supposed to do this month... It's all right here.\And judging by your recent tendencies,\everything you might need as gifts for your clients...\I've gone out and purchased them all.\My, you do amaze me.\I've done everything that I possibly could. Ms. Hana...\I'm asking you now! Please go see her!\Oh, I won't be going. Not me. response:	Why not?!
context: And judging by your recent tendencies,\everything you might need as gifts for your clients...\I've gone out and purchased them all.\My, you do amaze me.\I've done everything that I possibly could. Ms. Hana...\I'm asking you now! Please go see her!\Oh, I won't be going. Not me.\Why not?! response:	If it's a matter of time, you've got that!
context: everything you might need as gifts for your clients...\I've gone out and purchased them all.\My, you do amaze me.\I've done everything that I possibly could. Ms. Hana...\I'm asking you now! Please go see her!\Oh, I won't be going. Not me.\Why not?!\If it's a matter of time, you've got that! response:	Well, then, at least just a second!
context: I've gone out and purchased them all.\My, you do amaze me.\I've done everything that I possibly could. Ms. Hana...\I'm asking you now! Please go see her!\Oh, I won't be going. Not me.\Why not?!\If it's a matter of time, you've got that!\Well, then, at least just a second! response:	Just give her this!
context: My, you do amaze me.\I've done everything that I possibly could. Ms. Hana...\I'm asking you now! Please go see her!\Oh, I won't be going. Not me.\Why not?!\If it's a matter of time, you've got that!\Well, then, at least just a second!\Just give her this! response:	What is that?
context: I've done everything that I possibly could. Ms. Hana...\I'm asking you now! Please go see her!\Oh, I won't be going. Not me.\Why not?!\If it's a matter of time, you've got that!\Well, then, at least just a second!\Just give her this!\What is that? response:	It's a present.
context: I'm asking you now! Please go see her!\Oh, I won't be going. Not me.\Why not?!\If it's a matter of time, you've got that!\Well, then, at least just a second!\Just give her this!\What is that?\It's a present. response:	I went out and bought it.
context: Oh, I won't be going. Not me.\Why not?!\If it's a matter of time, you've got that!\Well, then, at least just a second!\Just give her this!\What is that?\It's a present.\I went out and bought it. response:	There's a scarf inside.
context: Why not?!\If it's a matter of time, you've got that!\Well, then, at least just a second!\Just give her this!\What is that?\It's a present.\I went out and bought it.\There's a scarf inside. response:	Please give it to her!
context: If it's a matter of time, you've got that!\Well, then, at least just a second!\Just give her this!\What is that?\It's a present.\I went out and bought it.\There's a scarf inside.\Please give it to her! response:	Not another one. Didn't I tell you there was no need?
context: Well, then, at least just a second!\Just give her this!\What is that?\It's a present.\I went out and bought it.\There's a scarf inside.\Please give it to her!\Not another one. Didn't I tell you there was no need? response:	But that's not really up to you, is it, Ms. Hana?
context: Just give her this!\What is that?\It's a present.\I went out and bought it.\There's a scarf inside.\Please give it to her!\Not another one. Didn't I tell you there was no need?\But that's not really up to you, is it, Ms. Hana? response:	I'm telling you, you're overstepping!
context: What is that?\It's a present.\I went out and bought it.\There's a scarf inside.\Please give it to her!\Not another one. Didn't I tell you there was no need?\But that's not really up to you, is it, Ms. Hana?\I'm telling you, you're overstepping! response:	You're sticking your nose into other families' business way too much.
context: It's a present.\I went out and bought it.\There's a scarf inside.\Please give it to her!\Not another one. Didn't I tell you there was no need?\But that's not really up to you, is it, Ms. Hana?\I'm telling you, you're overstepping!\You're sticking your nose into other families' business way too much. response:	Ms. Hana, don't you want to see her?
context: I went out and bought it.\There's a scarf inside.\Please give it to her!\Not another one. Didn't I tell you there was no need?\But that's not really up to you, is it, Ms. Hana?\I'm telling you, you're overstepping!\You're sticking your nose into other families' business way too much.\Ms. Hana, don't you want to see her? response:	Well, it's not really as if I don't...
context: There's a scarf inside.\Please give it to her!\Not another one. Didn't I tell you there was no need?\But that's not really up to you, is it, Ms. Hana?\I'm telling you, you're overstepping!\You're sticking your nose into other families' business way too much.\Ms. Hana, don't you want to see her?\Well, it's not really as if I don't... response:	I see... Is that it, then?
context: Please give it to her!\Not another one. Didn't I tell you there was no need?\But that's not really up to you, is it, Ms. Hana?\I'm telling you, you're overstepping!\You're sticking your nose into other families' business way too much.\Ms. Hana, don't you want to see her?\Well, it's not really as if I don't...\I see... Is that it, then? response:	So you never had the slightest interest in Chitoge from the start, huh?
context: Not another one. Didn't I tell you there was no need?\But that's not really up to you, is it, Ms. Hana?\I'm telling you, you're overstepping!\You're sticking your nose into other families' business way too much.\Ms. Hana, don't you want to see her?\Well, it's not really as if I don't...\I see... Is that it, then?\So you never had the slightest interest in Chitoge from the start, huh? response:	If you've opened up my schedule, then that's convenient for me.
context: But that's not really up to you, is it, Ms. Hana?\I'm telling you, you're overstepping!\You're sticking your nose into other families' business way too much.\Ms. Hana, don't you want to see her?\Well, it's not really as if I don't...\I see... Is that it, then?\So you never had the slightest interest in Chitoge from the start, huh?\If you've opened up my schedule, then that's convenient for me. response:	All I have to do is book another appointment.
context: I'm telling you, you're overstepping!\You're sticking your nose into other families' business way too much.\Ms. Hana, don't you want to see her?\Well, it's not really as if I don't...\I see... Is that it, then?\So you never had the slightest interest in Chitoge from the start, huh?\If you've opened up my schedule, then that's convenient for me.\All I have to do is book another appointment. response:	Why, you...
context: You're sticking your nose into other families' business way too much.\Ms. Hana, don't you want to see her?\Well, it's not really as if I don't...\I see... Is that it, then?\So you never had the slightest interest in Chitoge from the start, huh?\If you've opened up my schedule, then that's convenient for me.\All I have to do is book another appointment.\Why, you... response:	Enough is enough!
context: Ms. Hana, don't you want to see her?\Well, it's not really as if I don't...\I see... Is that it, then?\So you never had the slightest interest in Chitoge from the start, huh?\If you've opened up my schedule, then that's convenient for me.\All I have to do is book another appointment.\Why, you...\Enough is enough! response:	I did get her something,
context: Well, it's not really as if I don't...\I see... Is that it, then?\So you never had the slightest interest in Chitoge from the start, huh?\If you've opened up my schedule, then that's convenient for me.\All I have to do is book another appointment.\Why, you...\Enough is enough!\I did get her something, response:	but it seems I won't get a chance to give it to her this year, either.
context: I see... Is that it, then?\So you never had the slightest interest in Chitoge from the start, huh?\If you've opened up my schedule, then that's convenient for me.\All I have to do is book another appointment.\Why, you...\Enough is enough!\I did get her something,\but it seems I won't get a chance to give it to her this year, either. response:	Uh, Ms. Hana... is that...
context: So you never had the slightest interest in Chitoge from the start, huh?\If you've opened up my schedule, then that's convenient for me.\All I have to do is book another appointment.\Why, you...\Enough is enough!\I did get her something,\but it seems I won't get a chance to give it to her this year, either.\Uh, Ms. Hana... is that... response:	It's a present. For Christmas.
context: If you've opened up my schedule, then that's convenient for me.\All I have to do is book another appointment.\Why, you...\Enough is enough!\I did get her something,\but it seems I won't get a chance to give it to her this year, either.\Uh, Ms. Hana... is that...\It's a present. For Christmas. response:	They've just been piling up for the last ten years.
context: All I have to do is book another appointment.\Why, you...\Enough is enough!\I did get her something,\but it seems I won't get a chance to give it to her this year, either.\Uh, Ms. Hana... is that...\It's a present. For Christmas.\They've just been piling up for the last ten years. response:	Every single year, I get her one,
context: Why, you...\Enough is enough!\I did get her something,\but it seems I won't get a chance to give it to her this year, either.\Uh, Ms. Hana... is that...\It's a present. For Christmas.\They've just been piling up for the last ten years.\Every single year, I get her one, response:	and then end up not being able to give it to her, see.
context: Enough is enough!\I did get her something,\but it seems I won't get a chance to give it to her this year, either.\Uh, Ms. Hana... is that...\It's a present. For Christmas.\They've just been piling up for the last ten years.\Every single year, I get her one,\and then end up not being able to give it to her, see. response:	Ms. Hana, did you just eat...
context: I did get her something,\but it seems I won't get a chance to give it to her this year, either.\Uh, Ms. Hana... is that...\It's a present. For Christmas.\They've just been piling up for the last ten years.\Every single year, I get her one,\and then end up not being able to give it to her, see.\Ms. Hana, did you just eat... response:	Oh, this?
context: but it seems I won't get a chance to give it to her this year, either.\Uh, Ms. Hana... is that...\It's a present. For Christmas.\They've just been piling up for the last ten years.\Every single year, I get her one,\and then end up not being able to give it to her, see.\Ms. Hana, did you just eat...\Oh, this? response:	This is just a chocolate cigarette.
context: Uh, Ms. Hana... is that...\It's a present. For Christmas.\They've just been piling up for the last ten years.\Every single year, I get her one,\and then end up not being able to give it to her, see.\Ms. Hana, did you just eat...\Oh, this?\This is just a chocolate cigarette. response:	Didn't you used to eat these as a child?
context: It's a present. For Christmas.\They've just been piling up for the last ten years.\Every single year, I get her one,\and then end up not being able to give it to her, see.\Ms. Hana, did you just eat...\Oh, this?\This is just a chocolate cigarette.\Didn't you used to eat these as a child? response:	As for real cigarettes,
context: They've just been piling up for the last ten years.\Every single year, I get her one,\and then end up not being able to give it to her, see.\Ms. Hana, did you just eat...\Oh, this?\This is just a chocolate cigarette.\Didn't you used to eat these as a child?\As for real cigarettes, response:	once I became pregnant with Chitoge, I quit cold turkey.
context: Every single year, I get her one,\and then end up not being able to give it to her, see.\Ms. Hana, did you just eat...\Oh, this?\This is just a chocolate cigarette.\Didn't you used to eat these as a child?\As for real cigarettes,\once I became pregnant with Chitoge, I quit cold turkey. response:	Wh-What the...?
context: and then end up not being able to give it to her, see.\Ms. Hana, did you just eat...\Oh, this?\This is just a chocolate cigarette.\Didn't you used to eat these as a child?\As for real cigarettes,\once I became pregnant with Chitoge, I quit cold turkey.\Wh-What the...? response:	Uh... But I thought you didn't have any interest in Chitoge?
context: Ms. Hana, did you just eat...\Oh, this?\This is just a chocolate cigarette.\Didn't you used to eat these as a child?\As for real cigarettes,\once I became pregnant with Chitoge, I quit cold turkey.\Wh-What the...?\Uh... But I thought you didn't have any interest in Chitoge? response:	Why would you think that?
context: Oh, this?\This is just a chocolate cigarette.\Didn't you used to eat these as a child?\As for real cigarettes,\once I became pregnant with Chitoge, I quit cold turkey.\Wh-What the...?\Uh... But I thought you didn't have any interest in Chitoge?\Why would you think that? response:	Well, because...
context: This is just a chocolate cigarette.\Didn't you used to eat these as a child?\As for real cigarettes,\once I became pregnant with Chitoge, I quit cold turkey.\Wh-What the...?\Uh... But I thought you didn't have any interest in Chitoge?\Why would you think that?\Well, because... response:	You forgot all about Chitoge's ribbon,
context: Didn't you used to eat these as a child?\As for real cigarettes,\once I became pregnant with Chitoge, I quit cold turkey.\Wh-What the...?\Uh... But I thought you didn't have any interest in Chitoge?\Why would you think that?\Well, because...\You forgot all about Chitoge's ribbon, response:	and you always forget how old she is.
context: As for real cigarettes,\once I became pregnant with Chitoge, I quit cold turkey.\Wh-What the...?\Uh... But I thought you didn't have any interest in Chitoge?\Why would you think that?\Well, because...\You forgot all about Chitoge's ribbon,\and you always forget how old she is. response:	Of course I'd never forget!
