context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: Izuku Midoriya.\I want you to tell the world I am here!\I am here...\But how...?\You know the sports festival system, right?\Yes, of course!\The support, business, general studies, and hero courses come together\First-Year Stage response:	and fight through preliminary games of different types by class year.
context: I want you to tell the world I am here!\I am here...\But how...?\You know the sports festival system, right?\Yes, of course!\The support, business, general studies, and hero courses come together\First-Year Stage\and fight through preliminary games of different types by class year. response:	The students who make it through face off in the finals.
context: I am here...\But how...?\You know the sports festival system, right?\Yes, of course!\The support, business, general studies, and hero courses come together\First-Year Stage\and fight through preliminary games of different types by class year.\The students who make it through face off in the finals. response:	It's a round-robin tournament divided by grade.
context: But how...?\You know the sports festival system, right?\Yes, of course!\The support, business, general studies, and hero courses come together\First-Year Stage\and fight through preliminary games of different types by class year.\The students who make it through face off in the finals.\It's a round-robin tournament divided by grade. response:	That's right! In other words, you can sell yourself with everything you've got!
context: You know the sports festival system, right?\Yes, of course!\The support, business, general studies, and hero courses come together\First-Year Stage\and fight through preliminary games of different types by class year.\The students who make it through face off in the finals.\It's a round-robin tournament divided by grade.\That's right! In other words, you can sell yourself with everything you've got! response:	Right...
context: Yes, of course!\The support, business, general studies, and hero courses come together\First-Year Stage\and fight through preliminary games of different types by class year.\The students who make it through face off in the finals.\It's a round-robin tournament divided by grade.\That's right! In other words, you can sell yourself with everything you've got!\Right... response:	I mean, what you say is absolutely correct!
context: The support, business, general studies, and hero courses come together\First-Year Stage\and fight through preliminary games of different types by class year.\The students who make it through face off in the finals.\It's a round-robin tournament divided by grade.\That's right! In other words, you can sell yourself with everything you've got!\Right...\I mean, what you say is absolutely correct! response:	mutter mutter mutter
context: First-Year Stage\and fight through preliminary games of different types by class year.\The students who make it through face off in the finals.\It's a round-robin tournament divided by grade.\That's right! In other words, you can sell yourself with everything you've got!\Right...\I mean, what you say is absolutely correct!\mutter mutter mutter response:	But honestly, it's kind of hard to get completely into it right after what just happened...
context: and fight through preliminary games of different types by class year.\The students who make it through face off in the finals.\It's a round-robin tournament divided by grade.\That's right! In other words, you can sell yourself with everything you've got!\Right...\I mean, what you say is absolutely correct!\mutter mutter mutter\But honestly, it's kind of hard to get completely into it right after what just happened... response:	mutter mutter mutter
context: The students who make it through face off in the finals.\It's a round-robin tournament divided by grade.\That's right! In other words, you can sell yourself with everything you've got!\Right...\I mean, what you say is absolutely correct!\mutter mutter mutter\But honestly, it's kind of hard to get completely into it right after what just happened...\mutter mutter mutter response:	Besides, All Might is already teaching me,
context: It's a round-robin tournament divided by grade.\That's right! In other words, you can sell yourself with everything you've got!\Right...\I mean, what you say is absolutely correct!\mutter mutter mutter\But honestly, it's kind of hard to get completely into it right after what just happened...\mutter mutter mutter\Besides, All Might is already teaching me, response:	so I'm not as motivated to stand out at the sports festival...
context: That's right! In other words, you can sell yourself with everything you've got!\Right...\I mean, what you say is absolutely correct!\mutter mutter mutter\But honestly, it's kind of hard to get completely into it right after what just happened...\mutter mutter mutter\Besides, All Might is already teaching me,\so I'm not as motivated to stand out at the sports festival... response:	mutter mutter mutter
context: Right...\I mean, what you say is absolutely correct!\mutter mutter mutter\But honestly, it's kind of hard to get completely into it right after what just happened...\mutter mutter mutter\Besides, All Might is already teaching me,\so I'm not as motivated to stand out at the sports festival...\mutter mutter mutter response:	In the first place, I don't think I can stand out in my current state,
context: I mean, what you say is absolutely correct!\mutter mutter mutter\But honestly, it's kind of hard to get completely into it right after what just happened...\mutter mutter mutter\Besides, All Might is already teaching me,\so I'm not as motivated to stand out at the sports festival...\mutter mutter mutter\In the first place, I don't think I can stand out in my current state, response:	and I did terribly in the fitness tests...
context: mutter mutter mutter\But honestly, it's kind of hard to get completely into it right after what just happened...\mutter mutter mutter\Besides, All Might is already teaching me,\so I'm not as motivated to stand out at the sports festival...\mutter mutter mutter\In the first place, I don't think I can stand out in my current state,\and I did terribly in the fitness tests... response:	No one's better at spouting nonsense than you!
context: But honestly, it's kind of hard to get completely into it right after what just happened...\mutter mutter mutter\Besides, All Might is already teaching me,\so I'm not as motivated to stand out at the sports festival...\mutter mutter mutter\In the first place, I don't think I can stand out in my current state,\and I did terribly in the fitness tests...\No one's better at spouting nonsense than you! response:	Nonsense?
context: mutter mutter mutter\Besides, All Might is already teaching me,\so I'm not as motivated to stand out at the sports festival...\mutter mutter mutter\In the first place, I don't think I can stand out in my current state,\and I did terribly in the fitness tests...\No one's better at spouting nonsense than you!\Nonsense? response:	Those who are always aiming for the top, and those who aren't.
context: Besides, All Might is already teaching me,\so I'm not as motivated to stand out at the sports festival...\mutter mutter mutter\In the first place, I don't think I can stand out in my current state,\and I did terribly in the fitness tests...\No one's better at spouting nonsense than you!\Nonsense?\Those who are always aiming for the top, and those who aren't. response:	That slight difference in attitudes will have a big impact once you go out into society.
context: so I'm not as motivated to stand out at the sports festival...\mutter mutter mutter\In the first place, I don't think I can stand out in my current state,\and I did terribly in the fitness tests...\No one's better at spouting nonsense than you!\Nonsense?\Those who are always aiming for the top, and those who aren't.\That slight difference in attitudes will have a big impact once you go out into society. response:	I understand how you feel, and this is more for me than for you.
context: mutter mutter mutter\In the first place, I don't think I can stand out in my current state,\and I did terribly in the fitness tests...\No one's better at spouting nonsense than you!\Nonsense?\Those who are always aiming for the top, and those who aren't.\That slight difference in attitudes will have a big impact once you go out into society.\I understand how you feel, and this is more for me than for you. response:	I won't force you.
context: In the first place, I don't think I can stand out in my current state,\and I did terribly in the fitness tests...\No one's better at spouting nonsense than you!\Nonsense?\Those who are always aiming for the top, and those who aren't.\That slight difference in attitudes will have a big impact once you go out into society.\I understand how you feel, and this is more for me than for you.\I won't force you. response:	However, I hope you won't forget how you felt back at the beach park.
context: and I did terribly in the fitness tests...\No one's better at spouting nonsense than you!\Nonsense?\Those who are always aiming for the top, and those who aren't.\That slight difference in attitudes will have a big impact once you go out into society.\I understand how you feel, and this is more for me than for you.\I won't force you.\However, I hope you won't forget how you felt back at the beach park. response:	Wh...
context: No one's better at spouting nonsense than you!\Nonsense?\Those who are always aiming for the top, and those who aren't.\That slight difference in attitudes will have a big impact once you go out into society.\I understand how you feel, and this is more for me than for you.\I won't force you.\However, I hope you won't forget how you felt back at the beach park.\Wh... response:	Wh-What's going on?
context: Nonsense?\Those who are always aiming for the top, and those who aren't.\That slight difference in attitudes will have a big impact once you go out into society.\I understand how you feel, and this is more for me than for you.\I won't force you.\However, I hope you won't forget how you felt back at the beach park.\Wh...\Wh-What's going on? response:	What business do you have with Class A?
context: Those who are always aiming for the top, and those who aren't.\That slight difference in attitudes will have a big impact once you go out into society.\I understand how you feel, and this is more for me than for you.\I won't force you.\However, I hope you won't forget how you felt back at the beach park.\Wh...\Wh-What's going on?\What business do you have with Class A? response:	We can't get out!
context: That slight difference in attitudes will have a big impact once you go out into society.\I understand how you feel, and this is more for me than for you.\I won't force you.\However, I hope you won't forget how you felt back at the beach park.\Wh...\Wh-What's going on?\What business do you have with Class A?\We can't get out! response:	What'd you come here for, anyway?
context: I understand how you feel, and this is more for me than for you.\I won't force you.\However, I hope you won't forget how you felt back at the beach park.\Wh...\Wh-What's going on?\What business do you have with Class A?\We can't get out!\What'd you come here for, anyway? response:	Scouting out the enemy, small fry.
context: I won't force you.\However, I hope you won't forget how you felt back at the beach park.\Wh...\Wh-What's going on?\What business do you have with Class A?\We can't get out!\What'd you come here for, anyway?\Scouting out the enemy, small fry. response:	We're the ones who made it out of the villains' attack.
context: However, I hope you won't forget how you felt back at the beach park.\Wh...\Wh-What's going on?\What business do you have with Class A?\We can't get out!\What'd you come here for, anyway?\Scouting out the enemy, small fry.\We're the ones who made it out of the villains' attack. response:	-That's Kacchan in neutral.
context: Wh...\Wh-What's going on?\What business do you have with Class A?\We can't get out!\What'd you come here for, anyway?\Scouting out the enemy, small fry.\We're the ones who made it out of the villains' attack.\-That's Kacchan in neutral. response:	-They probably wanna check us out before the sports festival.
context: Wh-What's going on?\What business do you have with Class A?\We can't get out!\What'd you come here for, anyway?\Scouting out the enemy, small fry.\We're the ones who made it out of the villains' attack.\-That's Kacchan in neutral.\-They probably wanna check us out before the sports festival. response:	There's no point in doing stuff like that.
context: What business do you have with Class A?\We can't get out!\What'd you come here for, anyway?\Scouting out the enemy, small fry.\We're the ones who made it out of the villains' attack.\-That's Kacchan in neutral.\-They probably wanna check us out before the sports festival.\There's no point in doing stuff like that. response:	Out of my way, extras!
context: We can't get out!\What'd you come here for, anyway?\Scouting out the enemy, small fry.\We're the ones who made it out of the villains' attack.\-That's Kacchan in neutral.\-They probably wanna check us out before the sports festival.\There's no point in doing stuff like that.\Out of my way, extras! response:	Stop calling people extras just because you don't know them!
context: What'd you come here for, anyway?\Scouting out the enemy, small fry.\We're the ones who made it out of the villains' attack.\-That's Kacchan in neutral.\-They probably wanna check us out before the sports festival.\There's no point in doing stuff like that.\Out of my way, extras!\Stop calling people extras just because you don't know them! response:	I came to see what the famous Class A was like,
context: Scouting out the enemy, small fry.\We're the ones who made it out of the villains' attack.\-That's Kacchan in neutral.\-They probably wanna check us out before the sports festival.\There's no point in doing stuff like that.\Out of my way, extras!\Stop calling people extras just because you don't know them!\I came to see what the famous Class A was like, response:	but you seem pretty arrogant.
context: We're the ones who made it out of the villains' attack.\-That's Kacchan in neutral.\-They probably wanna check us out before the sports festival.\There's no point in doing stuff like that.\Out of my way, extras!\Stop calling people extras just because you don't know them!\I came to see what the famous Class A was like,\but you seem pretty arrogant. response:	Are all the students in the hero course like this?
context: -That's Kacchan in neutral.\-They probably wanna check us out before the sports festival.\There's no point in doing stuff like that.\Out of my way, extras!\Stop calling people extras just because you don't know them!\I came to see what the famous Class A was like,\but you seem pretty arrogant.\Are all the students in the hero course like this? response:	Seeing something like this makes me disillusioned.
context: -They probably wanna check us out before the sports festival.\There's no point in doing stuff like that.\Out of my way, extras!\Stop calling people extras just because you don't know them!\I came to see what the famous Class A was like,\but you seem pretty arrogant.\Are all the students in the hero course like this?\Seeing something like this makes me disillusioned. response:	There are quite a few people who enrolled in
context: There's no point in doing stuff like that.\Out of my way, extras!\Stop calling people extras just because you don't know them!\I came to see what the famous Class A was like,\but you seem pretty arrogant.\Are all the students in the hero course like this?\Seeing something like this makes me disillusioned.\There are quite a few people who enrolled in response:	general studies or other courses because they didn't make it into the hero course.
context: Out of my way, extras!\Stop calling people extras just because you don't know them!\I came to see what the famous Class A was like,\but you seem pretty arrogant.\Are all the students in the hero course like this?\Seeing something like this makes me disillusioned.\There are quite a few people who enrolled in\general studies or other courses because they didn't make it into the hero course. response:	Did you know that?
context: Stop calling people extras just because you don't know them!\I came to see what the famous Class A was like,\but you seem pretty arrogant.\Are all the students in the hero course like this?\Seeing something like this makes me disillusioned.\There are quite a few people who enrolled in\general studies or other courses because they didn't make it into the hero course.\Did you know that? response:	The school has left those of us a chance.
context: I came to see what the famous Class A was like,\but you seem pretty arrogant.\Are all the students in the hero course like this?\Seeing something like this makes me disillusioned.\There are quite a few people who enrolled in\general studies or other courses because they didn't make it into the hero course.\Did you know that?\The school has left those of us a chance. response:	Depending on the results of the sports festival,
context: but you seem pretty arrogant.\Are all the students in the hero course like this?\Seeing something like this makes me disillusioned.\There are quite a few people who enrolled in\general studies or other courses because they didn't make it into the hero course.\Did you know that?\The school has left those of us a chance.\Depending on the results of the sports festival, response:	they'll consider our transfer into the hero course.
context: Are all the students in the hero course like this?\Seeing something like this makes me disillusioned.\There are quite a few people who enrolled in\general studies or other courses because they didn't make it into the hero course.\Did you know that?\The school has left those of us a chance.\Depending on the results of the sports festival,\they'll consider our transfer into the hero course. response:	And it seems they may also transfer people out.
context: Seeing something like this makes me disillusioned.\There are quite a few people who enrolled in\general studies or other courses because they didn't make it into the hero course.\Did you know that?\The school has left those of us a chance.\Depending on the results of the sports festival,\they'll consider our transfer into the hero course.\And it seems they may also transfer people out. response:	Scouting out the enemy?
context: There are quite a few people who enrolled in\general studies or other courses because they didn't make it into the hero course.\Did you know that?\The school has left those of us a chance.\Depending on the results of the sports festival,\they'll consider our transfer into the hero course.\And it seems they may also transfer people out.\Scouting out the enemy? response:	I, at least, came to say that even if you're in the hero course,
context: general studies or other courses because they didn't make it into the hero course.\Did you know that?\The school has left those of us a chance.\Depending on the results of the sports festival,\they'll consider our transfer into the hero course.\And it seems they may also transfer people out.\Scouting out the enemy?\I, at least, came to say that even if you're in the hero course, response:	if you get too carried away, I'll sweep your feet out from under you.
context: Did you know that?\The school has left those of us a chance.\Depending on the results of the sports festival,\they'll consider our transfer into the hero course.\And it seems they may also transfer people out.\Scouting out the enemy?\I, at least, came to say that even if you're in the hero course,\if you get too carried away, I'll sweep your feet out from under you. response:	I came with a declaration of war.
context: The school has left those of us a chance.\Depending on the results of the sports festival,\they'll consider our transfer into the hero course.\And it seems they may also transfer people out.\Scouting out the enemy?\I, at least, came to say that even if you're in the hero course,\if you get too carried away, I'll sweep your feet out from under you.\I came with a declaration of war. response:	This person's bold, too!
context: Depending on the results of the sports festival,\they'll consider our transfer into the hero course.\And it seems they may also transfer people out.\Scouting out the enemy?\I, at least, came to say that even if you're in the hero course,\if you get too carried away, I'll sweep your feet out from under you.\I came with a declaration of war.\This person's bold, too! response:	Hey, hey!
context: they'll consider our transfer into the hero course.\And it seems they may also transfer people out.\Scouting out the enemy?\I, at least, came to say that even if you're in the hero course,\if you get too carried away, I'll sweep your feet out from under you.\I came with a declaration of war.\This person's bold, too!\Hey, hey! response:	Hey Hey Hey Hey
context: And it seems they may also transfer people out.\Scouting out the enemy?\I, at least, came to say that even if you're in the hero course,\if you get too carried away, I'll sweep your feet out from under you.\I came with a declaration of war.\This person's bold, too!\Hey, hey!\Hey Hey Hey Hey response:	I'm from Class B next door!
context: Scouting out the enemy?\I, at least, came to say that even if you're in the hero course,\if you get too carried away, I'll sweep your feet out from under you.\I came with a declaration of war.\This person's bold, too!\Hey, hey!\Hey Hey Hey Hey\I'm from Class B next door! response:	I heard you fought against villains, so I came to hear'bout it!
context: I, at least, came to say that even if you're in the hero course,\if you get too carried away, I'll sweep your feet out from under you.\I came with a declaration of war.\This person's bold, too!\Hey, hey!\Hey Hey Hey Hey\I'm from Class B next door!\I heard you fought against villains, so I came to hear'bout it! response:	Don't get so full of yourself!
context: if you get too carried away, I'll sweep your feet out from under you.\I came with a declaration of war.\This person's bold, too!\Hey, hey!\Hey Hey Hey Hey\I'm from Class B next door!\I heard you fought against villains, so I came to hear'bout it!\Don't get so full of yourself! response:	Another bold person!
context: I came with a declaration of war.\This person's bold, too!\Hey, hey!\Hey Hey Hey Hey\I'm from Class B next door!\I heard you fought against villains, so I came to hear'bout it!\Don't get so full of yourself!\Another bold person! response:	If you bark too much, it'll be embarrassing for you durin' the real fight!
context: This person's bold, too!\Hey, hey!\Hey Hey Hey Hey\I'm from Class B next door!\I heard you fought against villains, so I came to hear'bout it!\Don't get so full of yourself!\Another bold person!\If you bark too much, it'll be embarrassing for you durin' the real fight! response:	You ignorin' me, bastard?!
context: Hey, hey!\Hey Hey Hey Hey\I'm from Class B next door!\I heard you fought against villains, so I came to hear'bout it!\Don't get so full of yourself!\Another bold person!\If you bark too much, it'll be embarrassing for you durin' the real fight!\You ignorin' me, bastard?! response:	Wait a minute, Bakugo! What're you gonna do about all this?
context: Hey Hey Hey Hey\I'm from Class B next door!\I heard you fought against villains, so I came to hear'bout it!\Don't get so full of yourself!\Another bold person!\If you bark too much, it'll be embarrassing for you durin' the real fight!\You ignorin' me, bastard?!\Wait a minute, Bakugo! What're you gonna do about all this? response:	It's your fault that everyone's hating on us!
context: I'm from Class B next door!\I heard you fought against villains, so I came to hear'bout it!\Don't get so full of yourself!\Another bold person!\If you bark too much, it'll be embarrassing for you durin' the real fight!\You ignorin' me, bastard?!\Wait a minute, Bakugo! What're you gonna do about all this?\It's your fault that everyone's hating on us! response:	It doesn't matter.
context: I heard you fought against villains, so I came to hear'bout it!\Don't get so full of yourself!\Another bold person!\If you bark too much, it'll be embarrassing for you durin' the real fight!\You ignorin' me, bastard?!\Wait a minute, Bakugo! What're you gonna do about all this?\It's your fault that everyone's hating on us!\It doesn't matter. response:	Huh?!
context: Don't get so full of yourself!\Another bold person!\If you bark too much, it'll be embarrassing for you durin' the real fight!\You ignorin' me, bastard?!\Wait a minute, Bakugo! What're you gonna do about all this?\It's your fault that everyone's hating on us!\It doesn't matter.\Huh?! response:	It doesn't matter as long as you rise to the top.
context: Another bold person!\If you bark too much, it'll be embarrassing for you durin' the real fight!\You ignorin' me, bastard?!\Wait a minute, Bakugo! What're you gonna do about all this?\It's your fault that everyone's hating on us!\It doesn't matter.\Huh?!\It doesn't matter as long as you rise to the top. response:	Damnit, you bastard!
context: If you bark too much, it'll be embarrassing for you durin' the real fight!\You ignorin' me, bastard?!\Wait a minute, Bakugo! What're you gonna do about all this?\It's your fault that everyone's hating on us!\It doesn't matter.\Huh?!\It doesn't matter as long as you rise to the top.\Damnit, you bastard! response:	That's so simple and manly!
context: You ignorin' me, bastard?!\Wait a minute, Bakugo! What're you gonna do about all this?\It's your fault that everyone's hating on us!\It doesn't matter.\Huh?!\It doesn't matter as long as you rise to the top.\Damnit, you bastard!\That's so simple and manly! response:	Huh?
context: Wait a minute, Bakugo! What're you gonna do about all this?\It's your fault that everyone's hating on us!\It doesn't matter.\Huh?!\It doesn't matter as long as you rise to the top.\Damnit, you bastard!\That's so simple and manly!\Huh? response:	You said it.
context: It's your fault that everyone's hating on us!\It doesn't matter.\Huh?!\It doesn't matter as long as you rise to the top.\Damnit, you bastard!\That's so simple and manly!\Huh?\You said it. response:	Huh?
context: It doesn't matter.\Huh?!\It doesn't matter as long as you rise to the top.\Damnit, you bastard!\That's so simple and manly!\Huh?\You said it.\Huh? response:	The top, huh? There is truth in that.
context: Huh?!\It doesn't matter as long as you rise to the top.\Damnit, you bastard!\That's so simple and manly!\Huh?\You said it.\Huh?\The top, huh? There is truth in that. response:	Hang on, don't be tricked!
context: It doesn't matter as long as you rise to the top.\Damnit, you bastard!\That's so simple and manly!\Huh?\You said it.\Huh?\The top, huh? There is truth in that.\Hang on, don't be tricked! response:	He just made more pointless enemies!
context: Damnit, you bastard!\That's so simple and manly!\Huh?\You said it.\Huh?\The top, huh? There is truth in that.\Hang on, don't be tricked!\He just made more pointless enemies! response:	That's right!
context: That's so simple and manly!\Huh?\You said it.\Huh?\The top, huh? There is truth in that.\Hang on, don't be tricked!\He just made more pointless enemies!\That's right! response:	We'll just be at a disadvantage at the sports festival!
context: Huh?\You said it.\Huh?\The top, huh? There is truth in that.\Hang on, don't be tricked!\He just made more pointless enemies!\That's right!\We'll just be at a disadvantage at the sports festival! response:	I'm just...
context: You said it.\Huh?\The top, huh? There is truth in that.\Hang on, don't be tricked!\He just made more pointless enemies!\That's right!\We'll just be at a disadvantage at the sports festival!\I'm just... response:	I'm just getting started!
context: Huh?\The top, huh? There is truth in that.\Hang on, don't be tricked!\He just made more pointless enemies!\That's right!\We'll just be at a disadvantage at the sports festival!\I'm just...\I'm just getting started! response:	You hear?
context: The top, huh? There is truth in that.\Hang on, don't be tricked!\He just made more pointless enemies!\That's right!\We'll just be at a disadvantage at the sports festival!\I'm just...\I'm just getting started!\You hear? response:	Here, I will become number one!
context: Hang on, don't be tricked!\He just made more pointless enemies!\That's right!\We'll just be at a disadvantage at the sports festival!\I'm just...\I'm just getting started!\You hear?\Here, I will become number one! response:	Kacchan...
context: He just made more pointless enemies!\That's right!\We'll just be at a disadvantage at the sports festival!\I'm just...\I'm just getting started!\You hear?\Here, I will become number one!\Kacchan... response:	Am I... an idiot...?!
context: That's right!\We'll just be at a disadvantage at the sports festival!\I'm just...\I'm just getting started!\You hear?\Here, I will become number one!\Kacchan...\Am I... an idiot...?! response:	I'll definitely become a hero and make money
context: We'll just be at a disadvantage at the sports festival!\I'm just...\I'm just getting started!\You hear?\Here, I will become number one!\Kacchan...\Am I... an idiot...?!\I'll definitely become a hero and make money response:	-and let my parents take it easy.
context: I'm just...\I'm just getting started!\You hear?\Here, I will become number one!\Kacchan...\Am I... an idiot...?!\I'll definitely become a hero and make money\-and let my parents take it easy. response:	-I set my sights on being a hero because I want to be like my brother.
context: I'm just getting started!\You hear?\Here, I will become number one!\Kacchan...\Am I... an idiot...?!\I'll definitely become a hero and make money\-and let my parents take it easy.\-I set my sights on being a hero because I want to be like my brother. response:	Time is limited.
context: You hear?\Here, I will become number one!\Kacchan...\Am I... an idiot...?!\I'll definitely become a hero and make money\-and let my parents take it easy.\-I set my sights on being a hero because I want to be like my brother.\Time is limited. response:	If you expect to go pro,
context: Here, I will become number one!\Kacchan...\Am I... an idiot...?!\I'll definitely become a hero and make money\-and let my parents take it easy.\-I set my sights on being a hero because I want to be like my brother.\Time is limited.\If you expect to go pro, response:	-then the path to your future will open up at this...
context: Kacchan...\Am I... an idiot...?!\I'll definitely become a hero and make money\-and let my parents take it easy.\-I set my sights on being a hero because I want to be like my brother.\Time is limited.\If you expect to go pro,\-then the path to your future will open up at this... response:	-That slight difference in attitudes will have a big impact once you go out into society.
context: Am I... an idiot...?!\I'll definitely become a hero and make money\-and let my parents take it easy.\-I set my sights on being a hero because I want to be like my brother.\Time is limited.\If you expect to go pro,\-then the path to your future will open up at this...\-That slight difference in attitudes will have a big impact once you go out into society. response:	I hope you won't forget how you felt back at the beach park.
context: I'll definitely become a hero and make money\-and let my parents take it easy.\-I set my sights on being a hero because I want to be like my brother.\Time is limited.\If you expect to go pro,\-then the path to your future will open up at this...\-That slight difference in attitudes will have a big impact once you go out into society.\I hope you won't forget how you felt back at the beach park. response:	Dagoba Municipal Beach Park
