context: Be careful out there, Jintan! response:	Yadomi?
context: Hey... are you okay?\Do I look okay?\Take a good look at me!\Hey, Yukiatsu!\Please. Let them work this out.\But...\This is the perfect chance. If he doesn't take advantage of it, there may not be another.\Tsuruko... response:	Hey, I look like Menma, right? I do, right?!
context: Do I look okay?\Take a good look at me!\Hey, Yukiatsu!\Please. Let them work this out.\But...\This is the perfect chance. If he doesn't take advantage of it, there may not be another.\Tsuruko...\Hey, I look like Menma, right? I do, right?! response:	Don't I look like her?
context: Take a good look at me!\Hey, Yukiatsu!\Please. Let them work this out.\But...\This is the perfect chance. If he doesn't take advantage of it, there may not be another.\Tsuruko...\Hey, I look like Menma, right? I do, right?!\Don't I look like her? response:	Yukiats
context: Hey, Yukiatsu!\Please. Let them work this out.\But...\This is the perfect chance. If he doesn't take advantage of it, there may not be another.\Tsuruko...\Hey, I look like Menma, right? I do, right?!\Don't I look like her?\Yukiats response:	Can't you see her?!
context: Please. Let them work this out.\But...\This is the perfect chance. If he doesn't take advantage of it, there may not be another.\Tsuruko...\Hey, I look like Menma, right? I do, right?!\Don't I look like her?\Yukiats\Can't you see her?! response:	It's my fault.
context: But...\This is the perfect chance. If he doesn't take advantage of it, there may not be another.\Tsuruko...\Hey, I look like Menma, right? I do, right?!\Don't I look like her?\Yukiats\Can't you see her?!\It's my fault. response:	It's my fault Menma died that day.
context: This is the perfect chance. If he doesn't take advantage of it, there may not be another.\Tsuruko...\Hey, I look like Menma, right? I do, right?!\Don't I look like her?\Yukiats\Can't you see her?!\It's my fault.\It's my fault Menma died that day. response:	What are you talking about? It couldn't possibly be your fault.
context: Tsuruko...\Hey, I look like Menma, right? I do, right?!\Don't I look like her?\Yukiats\Can't you see her?!\It's my fault.\It's my fault Menma died that day.\What are you talking about? It couldn't possibly be your fault. response:	If anything, it was my
context: Hey, I look like Menma, right? I do, right?!\Don't I look like her?\Yukiats\Can't you see her?!\It's my fault.\It's my fault Menma died that day.\What are you talking about? It couldn't possibly be your fault.\If anything, it was my response:	I'm telling you that it's my fault!
context: Don't I look like her?\Yukiats\Can't you see her?!\It's my fault.\It's my fault Menma died that day.\What are you talking about? It couldn't possibly be your fault.\If anything, it was my\I'm telling you that it's my fault! response:	If I hadn't that to Menma, she wouldn't have died.
context: Yukiats\Can't you see her?!\It's my fault.\It's my fault Menma died that day.\What are you talking about? It couldn't possibly be your fault.\If anything, it was my\I'm telling you that it's my fault!\If I hadn't that to Menma, she wouldn't have died. response:	I made her die!
context: Can't you see her?!\It's my fault.\It's my fault Menma died that day.\What are you talking about? It couldn't possibly be your fault.\If anything, it was my\I'm telling you that it's my fault!\If I hadn't that to Menma, she wouldn't have died.\I made her die! response:	If Menma were to reappear to anyone, it should be me.
context: It's my fault.\It's my fault Menma died that day.\What are you talking about? It couldn't possibly be your fault.\If anything, it was my\I'm telling you that it's my fault!\If I hadn't that to Menma, she wouldn't have died.\I made her die!\If Menma were to reappear to anyone, it should be me. response:	To haunt or to curse me.
context: It's my fault Menma died that day.\What are you talking about? It couldn't possibly be your fault.\If anything, it was my\I'm telling you that it's my fault!\If I hadn't that to Menma, she wouldn't have died.\I made her die!\If Menma were to reappear to anyone, it should be me.\To haunt or to curse me. response:	Either way, it should be me!
context: What are you talking about? It couldn't possibly be your fault.\If anything, it was my\I'm telling you that it's my fault!\If I hadn't that to Menma, she wouldn't have died.\I made her die!\If Menma were to reappear to anyone, it should be me.\To haunt or to curse me.\Either way, it should be me! response:	But she never showed herself.
context: If anything, it was my\I'm telling you that it's my fault!\If I hadn't that to Menma, she wouldn't have died.\I made her die!\If Menma were to reappear to anyone, it should be me.\To haunt or to curse me.\Either way, it should be me!\But she never showed herself. response:	Not to me.
context: I'm telling you that it's my fault!\If I hadn't that to Menma, she wouldn't have died.\I made her die!\If Menma were to reappear to anyone, it should be me.\To haunt or to curse me.\Either way, it should be me!\But she never showed herself.\Not to me. response:	Yukiatsu...
context: If I hadn't that to Menma, she wouldn't have died.\I made her die!\If Menma were to reappear to anyone, it should be me.\To haunt or to curse me.\Either way, it should be me!\But she never showed herself.\Not to me.\Yukiatsu... response:	That's how I know she doesn't exist anymore.
context: I made her die!\If Menma were to reappear to anyone, it should be me.\To haunt or to curse me.\Either way, it should be me!\But she never showed herself.\Not to me.\Yukiatsu...\That's how I know she doesn't exist anymore. response:	She doesn't exist anywhere!
context: If Menma were to reappear to anyone, it should be me.\To haunt or to curse me.\Either way, it should be me!\But she never showed herself.\Not to me.\Yukiatsu...\That's how I know she doesn't exist anymore.\She doesn't exist anywhere! response:	I'm right here.
context: To haunt or to curse me.\Either way, it should be me!\But she never showed herself.\Not to me.\Yukiatsu...\That's how I know she doesn't exist anymore.\She doesn't exist anywhere!\I'm right here. response:	Menma says she's right here.
context: Either way, it should be me!\But she never showed herself.\Not to me.\Yukiatsu...\That's how I know she doesn't exist anymore.\She doesn't exist anywhere!\I'm right here.\Menma says she's right here. response:	You're still saying that...?
context: But she never showed herself.\Not to me.\Yukiatsu...\That's how I know she doesn't exist anymore.\She doesn't exist anywhere!\I'm right here.\Menma says she's right here.\You're still saying that...? response:	She says thank you for the hairpin.
context: Not to me.\Yukiatsu...\That's how I know she doesn't exist anymore.\She doesn't exist anywhere!\I'm right here.\Menma says she's right here.\You're still saying that...?\She says thank you for the hairpin. response:	And that she's sorry.
context: Yukiatsu...\That's how I know she doesn't exist anymore.\She doesn't exist anywhere!\I'm right here.\Menma says she's right here.\You're still saying that...?\She says thank you for the hairpin.\And that she's sorry. response:	Look, I don't really understand it myself, but...
context: That's how I know she doesn't exist anymore.\She doesn't exist anywhere!\I'm right here.\Menma says she's right here.\You're still saying that...?\She says thank you for the hairpin.\And that she's sorry.\Look, I don't really understand it myself, but... response:	Yukiatsu...
context: She doesn't exist anywhere!\I'm right here.\Menma says she's right here.\You're still saying that...?\She says thank you for the hairpin.\And that she's sorry.\Look, I don't really understand it myself, but...\Yukiatsu... response:	Are you satisfied?
context: I'm right here.\Menma says she's right here.\You're still saying that...?\She says thank you for the hairpin.\And that she's sorry.\Look, I don't really understand it myself, but...\Yukiatsu...\Are you satisfied? response:	Hey!
context: Menma says she's right here.\You're still saying that...?\She says thank you for the hairpin.\And that she's sorry.\Look, I don't really understand it myself, but...\Yukiatsu...\Are you satisfied?\Hey! response:	Are you sure we should let him go?
context: You're still saying that...?\She says thank you for the hairpin.\And that she's sorry.\Look, I don't really understand it myself, but...\Yukiatsu...\Are you satisfied?\Hey!\Are you sure we should let him go? response:	It itches...
context: She says thank you for the hairpin.\And that she's sorry.\Look, I don't really understand it myself, but...\Yukiatsu...\Are you satisfied?\Hey!\Are you sure we should let him go?\It itches... response:	Well, I'm done for today.
context: And that she's sorry.\Look, I don't really understand it myself, but...\Yukiatsu...\Are you satisfied?\Hey!\Are you sure we should let him go?\It itches...\Well, I'm done for today. response:	Did you already know about this?
context: Look, I don't really understand it myself, but...\Yukiatsu...\Are you satisfied?\Hey!\Are you sure we should let him go?\It itches...\Well, I'm done for today.\Did you already know about this? response:	You could say I caught on.
context: Yukiatsu...\Are you satisfied?\Hey!\Are you sure we should let him go?\It itches...\Well, I'm done for today.\Did you already know about this?\You could say I caught on. response:	He'd been asking me to hang out with him after school for a while.
context: Are you satisfied?\Hey!\Are you sure we should let him go?\It itches...\Well, I'm done for today.\Did you already know about this?\You could say I caught on.\He'd been asking me to hang out with him after school for a while. response:	He'd pretend he was buying presents for his inexistent girlfriend.
context: Hey!\Are you sure we should let him go?\It itches...\Well, I'm done for today.\Did you already know about this?\You could say I caught on.\He'd been asking me to hang out with him after school for a while.\He'd pretend he was buying presents for his inexistent girlfriend. response:	It was women's clothing. A white one-piece dress with a ribbon.
context: Are you sure we should let him go?\It itches...\Well, I'm done for today.\Did you already know about this?\You could say I caught on.\He'd been asking me to hang out with him after school for a while.\He'd pretend he was buying presents for his inexistent girlfriend.\It was women's clothing. A white one-piece dress with a ribbon. response:	Should we really have done that?
context: It itches...\Well, I'm done for today.\Did you already know about this?\You could say I caught on.\He'd been asking me to hang out with him after school for a while.\He'd pretend he was buying presents for his inexistent girlfriend.\It was women's clothing. A white one-piece dress with a ribbon.\Should we really have done that? response:	Yeah. I figure you should squeeze all the pus out of a wound.
context: Well, I'm done for today.\Did you already know about this?\You could say I caught on.\He'd been asking me to hang out with him after school for a while.\He'd pretend he was buying presents for his inexistent girlfriend.\It was women's clothing. A white one-piece dress with a ribbon.\Should we really have done that?\Yeah. I figure you should squeeze all the pus out of a wound. response:	But because he's rotten to the core, if you squeeze it all out, then there might not be anything left.
context: Did you already know about this?\You could say I caught on.\He'd been asking me to hang out with him after school for a while.\He'd pretend he was buying presents for his inexistent girlfriend.\It was women's clothing. A white one-piece dress with a ribbon.\Should we really have done that?\Yeah. I figure you should squeeze all the pus out of a wound.\But because he's rotten to the core, if you squeeze it all out, then there might not be anything left. response:	Thank you.
context: You could say I caught on.\He'd been asking me to hang out with him after school for a while.\He'd pretend he was buying presents for his inexistent girlfriend.\It was women's clothing. A white one-piece dress with a ribbon.\Should we really have done that?\Yeah. I figure you should squeeze all the pus out of a wound.\But because he's rotten to the core, if you squeeze it all out, then there might not be anything left.\Thank you. response:	Thanks for the hairpin... And, I'm sorry.
context: He'd been asking me to hang out with him after school for a while.\He'd pretend he was buying presents for his inexistent girlfriend.\It was women's clothing. A white one-piece dress with a ribbon.\Should we really have done that?\Yeah. I figure you should squeeze all the pus out of a wound.\But because he's rotten to the core, if you squeeze it all out, then there might not be anything left.\Thank you.\Thanks for the hairpin... And, I'm sorry. response:	Menma...
context: He'd pretend he was buying presents for his inexistent girlfriend.\It was women's clothing. A white one-piece dress with a ribbon.\Should we really have done that?\Yeah. I figure you should squeeze all the pus out of a wound.\But because he's rotten to the core, if you squeeze it all out, then there might not be anything left.\Thank you.\Thanks for the hairpin... And, I'm sorry.\Menma... response:	Wait up, Jintan!
context: It was women's clothing. A white one-piece dress with a ribbon.\Should we really have done that?\Yeah. I figure you should squeeze all the pus out of a wound.\But because he's rotten to the core, if you squeeze it all out, then there might not be anything left.\Thank you.\Thanks for the hairpin... And, I'm sorry.\Menma...\Wait up, Jintan! response:	Jintan!
context: Should we really have done that?\Yeah. I figure you should squeeze all the pus out of a wound.\But because he's rotten to the core, if you squeeze it all out, then there might not be anything left.\Thank you.\Thanks for the hairpin... And, I'm sorry.\Menma...\Wait up, Jintan!\Jintan! response:	Wait!
context: Yeah. I figure you should squeeze all the pus out of a wound.\But because he's rotten to the core, if you squeeze it all out, then there might not be anything left.\Thank you.\Thanks for the hairpin... And, I'm sorry.\Menma...\Wait up, Jintan!\Jintan!\Wait! response:	Hold on, Menma!
context: But because he's rotten to the core, if you squeeze it all out, then there might not be anything left.\Thank you.\Thanks for the hairpin... And, I'm sorry.\Menma...\Wait up, Jintan!\Jintan!\Wait!\Hold on, Menma! response:	Why? I can't! Jintan's gonna
context: Thank you.\Thanks for the hairpin... And, I'm sorry.\Menma...\Wait up, Jintan!\Jintan!\Wait!\Hold on, Menma!\Why? I can't! Jintan's gonna response:	Just let him go.
context: Thanks for the hairpin... And, I'm sorry.\Menma...\Wait up, Jintan!\Jintan!\Wait!\Hold on, Menma!\Why? I can't! Jintan's gonna\Just let him go. response:	You're not ugly at all, you're...
context: Menma...\Wait up, Jintan!\Jintan!\Wait!\Hold on, Menma!\Why? I can't! Jintan's gonna\Just let him go.\You're not ugly at all, you're... response:	Here.
context: Wait up, Jintan!\Jintan!\Wait!\Hold on, Menma!\Why? I can't! Jintan's gonna\Just let him go.\You're not ugly at all, you're...\Here. response:	I thought it would suit you...
context: Jintan!\Wait!\Hold on, Menma!\Why? I can't! Jintan's gonna\Just let him go.\You're not ugly at all, you're...\Here.\I thought it would suit you... response:	I thought so because I like you!
context: Wait!\Hold on, Menma!\Why? I can't! Jintan's gonna\Just let him go.\You're not ugly at all, you're...\Here.\I thought it would suit you...\I thought so because I like you! response:	I'm sorry! Jintan is gonna get away, so...
context: Hold on, Menma!\Why? I can't! Jintan's gonna\Just let him go.\You're not ugly at all, you're...\Here.\I thought it would suit you...\I thought so because I like you!\I'm sorry! Jintan is gonna get away, so... response:	So I have to go chase him!
context: Why? I can't! Jintan's gonna\Just let him go.\You're not ugly at all, you're...\Here.\I thought it would suit you...\I thought so because I like you!\I'm sorry! Jintan is gonna get away, so...\So I have to go chase him! response:	We'll talk about this later!
context: Just let him go.\You're not ugly at all, you're...\Here.\I thought it would suit you...\I thought so because I like you!\I'm sorry! Jintan is gonna get away, so...\So I have to go chase him!\We'll talk about this later! response:	Maybe it doesn't go well with my glasses.
context: You're not ugly at all, you're...\Here.\I thought it would suit you...\I thought so because I like you!\I'm sorry! Jintan is gonna get away, so...\So I have to go chase him!\We'll talk about this later!\Maybe it doesn't go well with my glasses. response:	Now I can't see.
context: Here.\I thought it would suit you...\I thought so because I like you!\I'm sorry! Jintan is gonna get away, so...\So I have to go chase him!\We'll talk about this later!\Maybe it doesn't go well with my glasses.\Now I can't see. response:	Hey, Me
context: I thought it would suit you...\I thought so because I like you!\I'm sorry! Jintan is gonna get away, so...\So I have to go chase him!\We'll talk about this later!\Maybe it doesn't go well with my glasses.\Now I can't see.\Hey, Me response:	Menma...
context: I thought so because I like you!\I'm sorry! Jintan is gonna get away, so...\So I have to go chase him!\We'll talk about this later!\Maybe it doesn't go well with my glasses.\Now I can't see.\Hey, Me\Menma... response:	Do you want something to eat?
context: I'm sorry! Jintan is gonna get away, so...\So I have to go chase him!\We'll talk about this later!\Maybe it doesn't go well with my glasses.\Now I can't see.\Hey, Me\Menma...\Do you want something to eat? response:	Uh...
context: So I have to go chase him!\We'll talk about this later!\Maybe it doesn't go well with my glasses.\Now I can't see.\Hey, Me\Menma...\Do you want something to eat?\Uh... response:	I want Ken-chan Ramen!
context: We'll talk about this later!\Maybe it doesn't go well with my glasses.\Now I can't see.\Hey, Me\Menma...\Do you want something to eat?\Uh...\I want Ken-chan Ramen! response:	We don't have any.
context: Maybe it doesn't go well with my glasses.\Now I can't see.\Hey, Me\Menma...\Do you want something to eat?\Uh...\I want Ken-chan Ramen!\We don't have any. response:	And you can't find it anywhere nowadays.
context: Now I can't see.\Hey, Me\Menma...\Do you want something to eat?\Uh...\I want Ken-chan Ramen!\We don't have any.\And you can't find it anywhere nowadays. response:	What should I do now?
context: Hey, Me\Menma...\Do you want something to eat?\Uh...\I want Ken-chan Ramen!\We don't have any.\And you can't find it anywhere nowadays.\What should I do now? response:	Let me think...
context: Menma...\Do you want something to eat?\Uh...\I want Ken-chan Ramen!\We don't have any.\And you can't find it anywhere nowadays.\What should I do now?\Let me think... response:	I'll go buy some.
context: Do you want something to eat?\Uh...\I want Ken-chan Ramen!\We don't have any.\And you can't find it anywhere nowadays.\What should I do now?\Let me think...\I'll go buy some. response:	You don't have to; anything else you have is fine.
context: Uh...\I want Ken-chan Ramen!\We don't have any.\And you can't find it anywhere nowadays.\What should I do now?\Let me think...\I'll go buy some.\You don't have to; anything else you have is fine. response:	Jintan?
context: I want Ken-chan Ramen!\We don't have any.\And you can't find it anywhere nowadays.\What should I do now?\Let me think...\I'll go buy some.\You don't have to; anything else you have is fine.\Jintan? response:	Menma died,
context: We don't have any.\And you can't find it anywhere nowadays.\What should I do now?\Let me think...\I'll go buy some.\You don't have to; anything else you have is fine.\Jintan?\Menma died, response:	but now, she's here.
context: And you can't find it anywhere nowadays.\What should I do now?\Let me think...\I'll go buy some.\You don't have to; anything else you have is fine.\Jintan?\Menma died,\but now, she's here. response:	She came to me, not Yukiatsu.
context: What should I do now?\Let me think...\I'll go buy some.\You don't have to; anything else you have is fine.\Jintan?\Menma died,\but now, she's here.\She came to me, not Yukiatsu. response:	I didn't care whether she was a ghost or a hallucination,
context: Let me think...\I'll go buy some.\You don't have to; anything else you have is fine.\Jintan?\Menma died,\but now, she's here.\She came to me, not Yukiatsu.\I didn't care whether she was a ghost or a hallucination, response:	but I avoided thinking about it.
context: I'll go buy some.\You don't have to; anything else you have is fine.\Jintan?\Menma died,\but now, she's here.\She came to me, not Yukiatsu.\I didn't care whether she was a ghost or a hallucination,\but I avoided thinking about it. response:	It's fun when we're all together.
context: You don't have to; anything else you have is fine.\Jintan?\Menma died,\but now, she's here.\She came to me, not Yukiatsu.\I didn't care whether she was a ghost or a hallucination,\but I avoided thinking about it.\It's fun when we're all together. response:	It's fun being with Jintan.
context: Jintan?\Menma died,\but now, she's here.\She came to me, not Yukiatsu.\I didn't care whether she was a ghost or a hallucination,\but I avoided thinking about it.\It's fun when we're all together.\It's fun being with Jintan. response:	That's why I felt that it's okay not to think about it.
context: Menma died,\but now, she's here.\She came to me, not Yukiatsu.\I didn't care whether she was a ghost or a hallucination,\but I avoided thinking about it.\It's fun when we're all together.\It's fun being with Jintan.\That's why I felt that it's okay not to think about it. response:	Why is Menma here?
context: but now, she's here.\She came to me, not Yukiatsu.\I didn't care whether she was a ghost or a hallucination,\but I avoided thinking about it.\It's fun when we're all together.\It's fun being with Jintan.\That's why I felt that it's okay not to think about it.\Why is Menma here? response:	You're way too popular.
context: She came to me, not Yukiatsu.\I didn't care whether she was a ghost or a hallucination,\but I avoided thinking about it.\It's fun when we're all together.\It's fun being with Jintan.\That's why I felt that it's okay not to think about it.\Why is Menma here?\You're way too popular. response:	They didn't have Ken-chan Ramen. So, instead, I got this.
context: I didn't care whether she was a ghost or a hallucination,\but I avoided thinking about it.\It's fun when we're all together.\It's fun being with Jintan.\That's why I felt that it's okay not to think about it.\Why is Menma here?\You're way too popular.\They didn't have Ken-chan Ramen. So, instead, I got this. response:	You got all of this instead?
context: but I avoided thinking about it.\It's fun when we're all together.\It's fun being with Jintan.\That's why I felt that it's okay not to think about it.\Why is Menma here?\You're way too popular.\They didn't have Ken-chan Ramen. So, instead, I got this.\You got all of this instead? response:	Yeah.
context: It's fun when we're all together.\It's fun being with Jintan.\That's why I felt that it's okay not to think about it.\Why is Menma here?\You're way too popular.\They didn't have Ken-chan Ramen. So, instead, I got this.\You got all of this instead?\Yeah. response:	Just hurry up and sit down...
context: It's fun being with Jintan.\That's why I felt that it's okay not to think about it.\Why is Menma here?\You're way too popular.\They didn't have Ken-chan Ramen. So, instead, I got this.\You got all of this instead?\Yeah.\Just hurry up and sit down... response:	Jintan, I need to talk to you.
context: That's why I felt that it's okay not to think about it.\Why is Menma here?\You're way too popular.\They didn't have Ken-chan Ramen. So, instead, I got this.\You got all of this instead?\Yeah.\Just hurry up and sit down...\Jintan, I need to talk to you. response:	About what? Anyway, the popsicle is going to melt.
context: Why is Menma here?\You're way too popular.\They didn't have Ken-chan Ramen. So, instead, I got this.\You got all of this instead?\Yeah.\Just hurry up and sit down...\Jintan, I need to talk to you.\About what? Anyway, the popsicle is going to melt. response:	I want you to grant my wish.
context: You're way too popular.\They didn't have Ken-chan Ramen. So, instead, I got this.\You got all of this instead?\Yeah.\Just hurry up and sit down...\Jintan, I need to talk to you.\About what? Anyway, the popsicle is going to melt.\I want you to grant my wish. response:	Why bring that up all of a sudden?
context: They didn't have Ken-chan Ramen. So, instead, I got this.\You got all of this instead?\Yeah.\Just hurry up and sit down...\Jintan, I need to talk to you.\About what? Anyway, the popsicle is going to melt.\I want you to grant my wish.\Why bring that up all of a sudden? response:	I'm doing the best I can, you know...
context: You got all of this instead?\Yeah.\Just hurry up and sit down...\Jintan, I need to talk to you.\About what? Anyway, the popsicle is going to melt.\I want you to grant my wish.\Why bring that up all of a sudden?\I'm doing the best I can, you know... response:	In a lot of ways...
context: Yeah.\Just hurry up and sit down...\Jintan, I need to talk to you.\About what? Anyway, the popsicle is going to melt.\I want you to grant my wish.\Why bring that up all of a sudden?\I'm doing the best I can, you know...\In a lot of ways... response:	Yeah.
context: Just hurry up and sit down...\Jintan, I need to talk to you.\About what? Anyway, the popsicle is going to melt.\I want you to grant my wish.\Why bring that up all of a sudden?\I'm doing the best I can, you know...\In a lot of ways...\Yeah. response:	And, of course, I haven't been as obsessed as Yukiatsu,
context: Jintan, I need to talk to you.\About what? Anyway, the popsicle is going to melt.\I want you to grant my wish.\Why bring that up all of a sudden?\I'm doing the best I can, you know...\In a lot of ways...\Yeah.\And, of course, I haven't been as obsessed as Yukiatsu, response:	but in my own way...
context: About what? Anyway, the popsicle is going to melt.\I want you to grant my wish.\Why bring that up all of a sudden?\I'm doing the best I can, you know...\In a lot of ways...\Yeah.\And, of course, I haven't been as obsessed as Yukiatsu,\but in my own way... response:	Yeah.
context: I want you to grant my wish.\Why bring that up all of a sudden?\I'm doing the best I can, you know...\In a lot of ways...\Yeah.\And, of course, I haven't been as obsessed as Yukiatsu,\but in my own way...\Yeah. response:	I have a lot of things going on, too, you know!
context: Why bring that up all of a sudden?\I'm doing the best I can, you know...\In a lot of ways...\Yeah.\And, of course, I haven't been as obsessed as Yukiatsu,\but in my own way...\Yeah.\I have a lot of things going on, too, you know! response:	I don't have the time to babysit you.
context: I'm doing the best I can, you know...\In a lot of ways...\Yeah.\And, of course, I haven't been as obsessed as Yukiatsu,\but in my own way...\Yeah.\I have a lot of things going on, too, you know!\I don't have the time to babysit you. response:	Jintan...
context: In a lot of ways...\Yeah.\And, of course, I haven't been as obsessed as Yukiatsu,\but in my own way...\Yeah.\I have a lot of things going on, too, you know!\I don't have the time to babysit you.\Jintan... response:	I'm home!
context: Yeah.\And, of course, I haven't been as obsessed as Yukiatsu,\but in my own way...\Yeah.\I have a lot of things going on, too, you know!\I don't have the time to babysit you.\Jintan...\I'm home! response:	Oh, man, I'm exhausted.
context: And, of course, I haven't been as obsessed as Yukiatsu,\but in my own way...\Yeah.\I have a lot of things going on, too, you know!\I don't have the time to babysit you.\Jintan...\I'm home!\Oh, man, I'm exhausted. response:	What's all this? Are you having a party?
context: but in my own way...\Yeah.\I have a lot of things going on, too, you know!\I don't have the time to babysit you.\Jintan...\I'm home!\Oh, man, I'm exhausted.\What's all this? Are you having a party? response:	Is that a popsicle? How cute!
context: Yeah.\I have a lot of things going on, too, you know!\I don't have the time to babysit you.\Jintan...\I'm home!\Oh, man, I'm exhausted.\What's all this? Are you having a party?\Is that a popsicle? How cute! response:	Mind if I have it?
context: I have a lot of things going on, too, you know!\I don't have the time to babysit you.\Jintan...\I'm home!\Oh, man, I'm exhausted.\What's all this? Are you having a party?\Is that a popsicle? How cute!\Mind if I have it? response:	That's not cute.
context: I don't have the time to babysit you.\Jintan...\I'm home!\Oh, man, I'm exhausted.\What's all this? Are you having a party?\Is that a popsicle? How cute!\Mind if I have it?\That's not cute. response:	What's with me?
context: Jintan...\I'm home!\Oh, man, I'm exhausted.\What's all this? Are you having a party?\Is that a popsicle? How cute!\Mind if I have it?\That's not cute.\What's with me? response:	What did I mean by that?
context: I'm home!\Oh, man, I'm exhausted.\What's all this? Are you having a party?\Is that a popsicle? How cute!\Mind if I have it?\That's not cute.\What's with me?\What did I mean by that? response:	What do I have going on?
context: Oh, man, I'm exhausted.\What's all this? Are you having a party?\Is that a popsicle? How cute!\Mind if I have it?\That's not cute.\What's with me?\What did I mean by that?\What do I have going on? response:	I eat, browse the web,
context: What's all this? Are you having a party?\Is that a popsicle? How cute!\Mind if I have it?\That's not cute.\What's with me?\What did I mean by that?\What do I have going on?\I eat, browse the web, response:	sleep, play videogames,
context: Is that a popsicle? How cute!\Mind if I have it?\That's not cute.\What's with me?\What did I mean by that?\What do I have going on?\I eat, browse the web,\sleep, play videogames, response:	sleep, and then eat.
context: Mind if I have it?\That's not cute.\What's with me?\What did I mean by that?\What do I have going on?\I eat, browse the web,\sleep, play videogames,\sleep, and then eat. response:	I just repeat that cycle.
context: That's not cute.\What's with me?\What did I mean by that?\What do I have going on?\I eat, browse the web,\sleep, play videogames,\sleep, and then eat.\I just repeat that cycle. response:	And yet...
context: What's with me?\What did I mean by that?\What do I have going on?\I eat, browse the web,\sleep, play videogames,\sleep, and then eat.\I just repeat that cycle.\And yet... response:	And yet...
context: What did I mean by that?\What do I have going on?\I eat, browse the web,\sleep, play videogames,\sleep, and then eat.\I just repeat that cycle.\And yet...\And yet... response:	So, I'll take the train on the way home.
context: What do I have going on?\I eat, browse the web,\sleep, play videogames,\sleep, and then eat.\I just repeat that cycle.\And yet...\And yet...\So, I'll take the train on the way home. response:	I'll be done with work at around 7, so after that...
context: I eat, browse the web,\sleep, play videogames,\sleep, and then eat.\I just repeat that cycle.\And yet...\And yet...\So, I'll take the train on the way home.\I'll be done with work at around 7, so after that... response:	Gee, it's great that you decided to tag along, Naruko.
context: sleep, play videogames,\sleep, and then eat.\I just repeat that cycle.\And yet...\And yet...\So, I'll take the train on the way home.\I'll be done with work at around 7, so after that...\Gee, it's great that you decided to tag along, Naruko. response:	Huh?
context: sleep, and then eat.\I just repeat that cycle.\And yet...\And yet...\So, I'll take the train on the way home.\I'll be done with work at around 7, so after that...\Gee, it's great that you decided to tag along, Naruko.\Huh? response:	I was counting on you being there when I made plans,
context: I just repeat that cycle.\And yet...\And yet...\So, I'll take the train on the way home.\I'll be done with work at around 7, so after that...\Gee, it's great that you decided to tag along, Naruko.\Huh?\I was counting on you being there when I made plans, response:	so I was pretty worried when you told me you wouldn't come.
context: And yet...\And yet...\So, I'll take the train on the way home.\I'll be done with work at around 7, so after that...\Gee, it's great that you decided to tag along, Naruko.\Huh?\I was counting on you being there when I made plans,\so I was pretty worried when you told me you wouldn't come. response:	That's right. Ryou would be pissed at you, otherwise.
context: And yet...\So, I'll take the train on the way home.\I'll be done with work at around 7, so after that...\Gee, it's great that you decided to tag along, Naruko.\Huh?\I was counting on you being there when I made plans,\so I was pretty worried when you told me you wouldn't come.\That's right. Ryou would be pissed at you, otherwise. response:	Ryou has nothing to do with it.
