context: I want to see how you live in this country, response:	and the place where I'll be able to do that is where I've decided to go.
context: Here!\I can't believe you knew I was here.\Oh, I saw you walk by from below.\But I thought you'd already gone.\You called out my name, didn't you?\I heard you.\Did something happen?\Yeah, kind of. response:	I see...
context: I can't believe you knew I was here.\Oh, I saw you walk by from below.\But I thought you'd already gone.\You called out my name, didn't you?\I heard you.\Did something happen?\Yeah, kind of.\I see... response:	I look forward and repeat my desires in my heart...
context: Oh, I saw you walk by from below.\But I thought you'd already gone.\You called out my name, didn't you?\I heard you.\Did something happen?\Yeah, kind of.\I see...\I look forward and repeat my desires in my heart... response:	How do I want to be in the places where my voice can reach...?
context: But I thought you'd already gone.\You called out my name, didn't you?\I heard you.\Did something happen?\Yeah, kind of.\I see...\I look forward and repeat my desires in my heart...\How do I want to be in the places where my voice can reach...? response:	Episode 7: Let Me Hear the Melody of Your Smile
context: You called out my name, didn't you?\I heard you.\Did something happen?\Yeah, kind of.\I see...\I look forward and repeat my desires in my heart...\How do I want to be in the places where my voice can reach...?\Episode 7: Let Me Hear the Melody of Your Smile response:	Shirayuki, what happened?
context: I heard you.\Did something happen?\Yeah, kind of.\I see...\I look forward and repeat my desires in my heart...\How do I want to be in the places where my voice can reach...?\Episode 7: Let Me Hear the Melody of Your Smile\Shirayuki, what happened? response:	Is it about my brother?
context: Did something happen?\Yeah, kind of.\I see...\I look forward and repeat my desires in my heart...\How do I want to be in the places where my voice can reach...?\Episode 7: Let Me Hear the Melody of Your Smile\Shirayuki, what happened?\Is it about my brother? response:	Please tell me what my brother did when he summoned you.
context: Yeah, kind of.\I see...\I look forward and repeat my desires in my heart...\How do I want to be in the places where my voice can reach...?\Episode 7: Let Me Hear the Melody of Your Smile\Shirayuki, what happened?\Is it about my brother?\Please tell me what my brother did when he summoned you. response:	I think he was giving me a warning.
context: I see...\I look forward and repeat my desires in my heart...\How do I want to be in the places where my voice can reach...?\Episode 7: Let Me Hear the Melody of Your Smile\Shirayuki, what happened?\Is it about my brother?\Please tell me what my brother did when he summoned you.\I think he was giving me a warning. response:	Like he was telling me to think about whether I was in a position to be with you.
context: I look forward and repeat my desires in my heart...\How do I want to be in the places where my voice can reach...?\Episode 7: Let Me Hear the Melody of Your Smile\Shirayuki, what happened?\Is it about my brother?\Please tell me what my brother did when he summoned you.\I think he was giving me a warning.\Like he was telling me to think about whether I was in a position to be with you. response:	I see. That's why he acted that way at the tea party...
context: How do I want to be in the places where my voice can reach...?\Episode 7: Let Me Hear the Melody of Your Smile\Shirayuki, what happened?\Is it about my brother?\Please tell me what my brother did when he summoned you.\I think he was giving me a warning.\Like he was telling me to think about whether I was in a position to be with you.\I see. That's why he acted that way at the tea party... response:	Sorry.
context: Episode 7: Let Me Hear the Melody of Your Smile\Shirayuki, what happened?\Is it about my brother?\Please tell me what my brother did when he summoned you.\I think he was giving me a warning.\Like he was telling me to think about whether I was in a position to be with you.\I see. That's why he acted that way at the tea party...\Sorry. response:	Why?
context: Shirayuki, what happened?\Is it about my brother?\Please tell me what my brother did when he summoned you.\I think he was giving me a warning.\Like he was telling me to think about whether I was in a position to be with you.\I see. That's why he acted that way at the tea party...\Sorry.\Why? response:	You know, the only thing I can't feel toward my brother is hostility.
context: Is it about my brother?\Please tell me what my brother did when he summoned you.\I think he was giving me a warning.\Like he was telling me to think about whether I was in a position to be with you.\I see. That's why he acted that way at the tea party...\Sorry.\Why?\You know, the only thing I can't feel toward my brother is hostility. response:	Okay.
context: Please tell me what my brother did when he summoned you.\I think he was giving me a warning.\Like he was telling me to think about whether I was in a position to be with you.\I see. That's why he acted that way at the tea party...\Sorry.\Why?\You know, the only thing I can't feel toward my brother is hostility.\Okay. response:	Th-That's it?
context: I think he was giving me a warning.\Like he was telling me to think about whether I was in a position to be with you.\I see. That's why he acted that way at the tea party...\Sorry.\Why?\You know, the only thing I can't feel toward my brother is hostility.\Okay.\Th-That's it? response:	He said something terrible to you after he made me leave the room, didn't he?
context: Like he was telling me to think about whether I was in a position to be with you.\I see. That's why he acted that way at the tea party...\Sorry.\Why?\You know, the only thing I can't feel toward my brother is hostility.\Okay.\Th-That's it?\He said something terrible to you after he made me leave the room, didn't he? response:	That man has no mercy.
context: I see. That's why he acted that way at the tea party...\Sorry.\Why?\You know, the only thing I can't feel toward my brother is hostility.\Okay.\Th-That's it?\He said something terrible to you after he made me leave the room, didn't he?\That man has no mercy. response:	Even if he did, that doesn't mean I'd want you to go beat him up.
context: Sorry.\Why?\You know, the only thing I can't feel toward my brother is hostility.\Okay.\Th-That's it?\He said something terrible to you after he made me leave the room, didn't he?\That man has no mercy.\Even if he did, that doesn't mean I'd want you to go beat him up. response:	Oh, shoot...
context: Why?\You know, the only thing I can't feel toward my brother is hostility.\Okay.\Th-That's it?\He said something terrible to you after he made me leave the room, didn't he?\That man has no mercy.\Even if he did, that doesn't mean I'd want you to go beat him up.\Oh, shoot... response:	Huh?
context: You know, the only thing I can't feel toward my brother is hostility.\Okay.\Th-That's it?\He said something terrible to you after he made me leave the room, didn't he?\That man has no mercy.\Even if he did, that doesn't mean I'd want you to go beat him up.\Oh, shoot...\Huh? response:	I let go without thinking, but I wanted to stay in that position a little longer...
context: Okay.\Th-That's it?\He said something terrible to you after he made me leave the room, didn't he?\That man has no mercy.\Even if he did, that doesn't mean I'd want you to go beat him up.\Oh, shoot...\Huh?\I let go without thinking, but I wanted to stay in that position a little longer... response:	Shirayuki, will you hear me out?
context: Th-That's it?\He said something terrible to you after he made me leave the room, didn't he?\That man has no mercy.\Even if he did, that doesn't mean I'd want you to go beat him up.\Oh, shoot...\Huh?\I let go without thinking, but I wanted to stay in that position a little longer...\Shirayuki, will you hear me out? response:	About me...
context: He said something terrible to you after he made me leave the room, didn't he?\That man has no mercy.\Even if he did, that doesn't mean I'd want you to go beat him up.\Oh, shoot...\Huh?\I let go without thinking, but I wanted to stay in that position a little longer...\Shirayuki, will you hear me out?\About me... response:	Zen...
context: That man has no mercy.\Even if he did, that doesn't mean I'd want you to go beat him up.\Oh, shoot...\Huh?\I let go without thinking, but I wanted to stay in that position a little longer...\Shirayuki, will you hear me out?\About me...\Zen... response:	My brother was always in front of me.
context: Even if he did, that doesn't mean I'd want you to go beat him up.\Oh, shoot...\Huh?\I let go without thinking, but I wanted to stay in that position a little longer...\Shirayuki, will you hear me out?\About me...\Zen...\My brother was always in front of me. response:	That's right. Lord Brother was always in front of me.
context: Oh, shoot...\Huh?\I let go without thinking, but I wanted to stay in that position a little longer...\Shirayuki, will you hear me out?\About me...\Zen...\My brother was always in front of me.\That's right. Lord Brother was always in front of me. response:	When my brother turned 17...
context: Huh?\I let go without thinking, but I wanted to stay in that position a little longer...\Shirayuki, will you hear me out?\About me...\Zen...\My brother was always in front of me.\That's right. Lord Brother was always in front of me.\When my brother turned 17... response:	A birthday present...?
context: I let go without thinking, but I wanted to stay in that position a little longer...\Shirayuki, will you hear me out?\About me...\Zen...\My brother was always in front of me.\That's right. Lord Brother was always in front of me.\When my brother turned 17...\A birthday present...? response:	A castle would be nice.
context: Shirayuki, will you hear me out?\About me...\Zen...\My brother was always in front of me.\That's right. Lord Brother was always in front of me.\When my brother turned 17...\A birthday present...?\A castle would be nice. response:	At the border of Lido and Sui territories.
context: About me...\Zen...\My brother was always in front of me.\That's right. Lord Brother was always in front of me.\When my brother turned 17...\A birthday present...?\A castle would be nice.\At the border of Lido and Sui territories. response:	Lido and Sui? Aren't they famous for having the two feuding lords?
context: Zen...\My brother was always in front of me.\That's right. Lord Brother was always in front of me.\When my brother turned 17...\A birthday present...?\A castle would be nice.\At the border of Lido and Sui territories.\Lido and Sui? Aren't they famous for having the two feuding lords? response:	Are you thinking of mediating between them, your highness?
context: My brother was always in front of me.\That's right. Lord Brother was always in front of me.\When my brother turned 17...\A birthday present...?\A castle would be nice.\At the border of Lido and Sui territories.\Lido and Sui? Aren't they famous for having the two feuding lords?\Are you thinking of mediating between them, your highness? response:	Who cares about that?
context: That's right. Lord Brother was always in front of me.\When my brother turned 17...\A birthday present...?\A castle would be nice.\At the border of Lido and Sui territories.\Lido and Sui? Aren't they famous for having the two feuding lords?\Are you thinking of mediating between them, your highness?\Who cares about that? response:	Th-Then why would you want a castle there?
context: When my brother turned 17...\A birthday present...?\A castle would be nice.\At the border of Lido and Sui territories.\Lido and Sui? Aren't they famous for having the two feuding lords?\Are you thinking of mediating between them, your highness?\Who cares about that?\Th-Then why would you want a castle there? response:	It just looks like a nice place to build a castle.
context: A birthday present...?\A castle would be nice.\At the border of Lido and Sui territories.\Lido and Sui? Aren't they famous for having the two feuding lords?\Are you thinking of mediating between them, your highness?\Who cares about that?\Th-Then why would you want a castle there?\It just looks like a nice place to build a castle. response:	It took a while before the young me realized the meaning behind those words.
context: A castle would be nice.\At the border of Lido and Sui territories.\Lido and Sui? Aren't they famous for having the two feuding lords?\Are you thinking of mediating between them, your highness?\Who cares about that?\Th-Then why would you want a castle there?\It just looks like a nice place to build a castle.\It took a while before the young me realized the meaning behind those words. response:	In order to ingratiate themselves with my brother,
context: At the border of Lido and Sui territories.\Lido and Sui? Aren't they famous for having the two feuding lords?\Are you thinking of mediating between them, your highness?\Who cares about that?\Th-Then why would you want a castle there?\It just looks like a nice place to build a castle.\It took a while before the young me realized the meaning behind those words.\In order to ingratiate themselves with my brother, response:	The lords of Lido and Sui started sending him money and goods...
context: Lido and Sui? Aren't they famous for having the two feuding lords?\Are you thinking of mediating between them, your highness?\Who cares about that?\Th-Then why would you want a castle there?\It just looks like a nice place to build a castle.\It took a while before the young me realized the meaning behind those words.\In order to ingratiate themselves with my brother,\The lords of Lido and Sui started sending him money and goods... response:	I thank you for your kindness.
context: Are you thinking of mediating between them, your highness?\Who cares about that?\Th-Then why would you want a castle there?\It just looks like a nice place to build a castle.\It took a while before the young me realized the meaning behind those words.\In order to ingratiate themselves with my brother,\The lords of Lido and Sui started sending him money and goods...\I thank you for your kindness. response:	Before long, retainers from both men had come to talk with him in secret.
context: Who cares about that?\Th-Then why would you want a castle there?\It just looks like a nice place to build a castle.\It took a while before the young me realized the meaning behind those words.\In order to ingratiate themselves with my brother,\The lords of Lido and Sui started sending him money and goods...\I thank you for your kindness.\Before long, retainers from both men had come to talk with him in secret. response:	In order to send you funds for your castle,
context: Th-Then why would you want a castle there?\It just looks like a nice place to build a castle.\It took a while before the young me realized the meaning behind those words.\In order to ingratiate themselves with my brother,\The lords of Lido and Sui started sending him money and goods...\I thank you for your kindness.\Before long, retainers from both men had come to talk with him in secret.\In order to send you funds for your castle, response:	the lord of Lido has been trying to take more from the people.
context: It just looks like a nice place to build a castle.\It took a while before the young me realized the meaning behind those words.\In order to ingratiate themselves with my brother,\The lords of Lido and Sui started sending him money and goods...\I thank you for your kindness.\Before long, retainers from both men had come to talk with him in secret.\In order to send you funds for your castle,\the lord of Lido has been trying to take more from the people. response:	It is the same in Sui...
context: It took a while before the young me realized the meaning behind those words.\In order to ingratiate themselves with my brother,\The lords of Lido and Sui started sending him money and goods...\I thank you for your kindness.\Before long, retainers from both men had come to talk with him in secret.\In order to send you funds for your castle,\the lord of Lido has been trying to take more from the people.\It is the same in Sui... response:	Please, stop doing this!
context: In order to ingratiate themselves with my brother,\The lords of Lido and Sui started sending him money and goods...\I thank you for your kindness.\Before long, retainers from both men had come to talk with him in secret.\In order to send you funds for your castle,\the lord of Lido has been trying to take more from the people.\It is the same in Sui...\Please, stop doing this! response:	Ask your masters.
context: The lords of Lido and Sui started sending him money and goods...\I thank you for your kindness.\Before long, retainers from both men had come to talk with him in secret.\In order to send you funds for your castle,\the lord of Lido has been trying to take more from the people.\It is the same in Sui...\Please, stop doing this!\Ask your masters. response:	Your highness!
context: I thank you for your kindness.\Before long, retainers from both men had come to talk with him in secret.\In order to send you funds for your castle,\the lord of Lido has been trying to take more from the people.\It is the same in Sui...\Please, stop doing this!\Ask your masters.\Your highness! response:	Soon, rumors had spread around the castle about my brother-
context: Before long, retainers from both men had come to talk with him in secret.\In order to send you funds for your castle,\the lord of Lido has been trying to take more from the people.\It is the same in Sui...\Please, stop doing this!\Ask your masters.\Your highness!\Soon, rumors had spread around the castle about my brother- response:	That he had thought of a new game.
context: In order to send you funds for your castle,\the lord of Lido has been trying to take more from the people.\It is the same in Sui...\Please, stop doing this!\Ask your masters.\Your highness!\Soon, rumors had spread around the castle about my brother-\That he had thought of a new game. response:	You look dissatisfied, Zen.
context: the lord of Lido has been trying to take more from the people.\It is the same in Sui...\Please, stop doing this!\Ask your masters.\Your highness!\Soon, rumors had spread around the castle about my brother-\That he had thought of a new game.\You look dissatisfied, Zen. response:	I heard that the lord of Sui banished that retainer.
context: It is the same in Sui...\Please, stop doing this!\Ask your masters.\Your highness!\Soon, rumors had spread around the castle about my brother-\That he had thought of a new game.\You look dissatisfied, Zen.\I heard that the lord of Sui banished that retainer. response:	Sounds like it. The one from Lido hasn't been coming around lately, either.
context: Please, stop doing this!\Ask your masters.\Your highness!\Soon, rumors had spread around the castle about my brother-\That he had thought of a new game.\You look dissatisfied, Zen.\I heard that the lord of Sui banished that retainer.\Sounds like it. The one from Lido hasn't been coming around lately, either. response:	I wonder what happened.
context: Ask your masters.\Your highness!\Soon, rumors had spread around the castle about my brother-\That he had thought of a new game.\You look dissatisfied, Zen.\I heard that the lord of Sui banished that retainer.\Sounds like it. The one from Lido hasn't been coming around lately, either.\I wonder what happened. response:	What do you mean, I wonder?!
context: Your highness!\Soon, rumors had spread around the castle about my brother-\That he had thought of a new game.\You look dissatisfied, Zen.\I heard that the lord of Sui banished that retainer.\Sounds like it. The one from Lido hasn't been coming around lately, either.\I wonder what happened.\What do you mean, I wonder?! response:	More importantly, Zen, why don't we go see how my castle is going?
context: Soon, rumors had spread around the castle about my brother-\That he had thought of a new game.\You look dissatisfied, Zen.\I heard that the lord of Sui banished that retainer.\Sounds like it. The one from Lido hasn't been coming around lately, either.\I wonder what happened.\What do you mean, I wonder?!\More importantly, Zen, why don't we go see how my castle is going? response:	Huh?
context: That he had thought of a new game.\You look dissatisfied, Zen.\I heard that the lord of Sui banished that retainer.\Sounds like it. The one from Lido hasn't been coming around lately, either.\I wonder what happened.\What do you mean, I wonder?!\More importantly, Zen, why don't we go see how my castle is going?\Huh? response:	Let's make some stops on the way.
context: You look dissatisfied, Zen.\I heard that the lord of Sui banished that retainer.\Sounds like it. The one from Lido hasn't been coming around lately, either.\I wonder what happened.\What do you mean, I wonder?!\More importantly, Zen, why don't we go see how my castle is going?\Huh?\Let's make some stops on the way. response:	Saying that, he went to visit the two lords, and let me hear him telling them the same thing.
context: I heard that the lord of Sui banished that retainer.\Sounds like it. The one from Lido hasn't been coming around lately, either.\I wonder what happened.\What do you mean, I wonder?!\More importantly, Zen, why don't we go see how my castle is going?\Huh?\Let's make some stops on the way.\Saying that, he went to visit the two lords, and let me hear him telling them the same thing. response:	Did you know that the other lord is using his people's money
context: Sounds like it. The one from Lido hasn't been coming around lately, either.\I wonder what happened.\What do you mean, I wonder?!\More importantly, Zen, why don't we go see how my castle is going?\Huh?\Let's make some stops on the way.\Saying that, he went to visit the two lords, and let me hear him telling them the same thing.\Did you know that the other lord is using his people's money response:	to try to ingratiate himself with me?
context: I wonder what happened.\What do you mean, I wonder?!\More importantly, Zen, why don't we go see how my castle is going?\Huh?\Let's make some stops on the way.\Saying that, he went to visit the two lords, and let me hear him telling them the same thing.\Did you know that the other lord is using his people's money\to try to ingratiate himself with me? response:	Don't you think that's foolish?
context: What do you mean, I wonder?!\More importantly, Zen, why don't we go see how my castle is going?\Huh?\Let's make some stops on the way.\Saying that, he went to visit the two lords, and let me hear him telling them the same thing.\Did you know that the other lord is using his people's money\to try to ingratiate himself with me?\Don't you think that's foolish? response:	What good will he be to me if his people are weakened?
context: More importantly, Zen, why don't we go see how my castle is going?\Huh?\Let's make some stops on the way.\Saying that, he went to visit the two lords, and let me hear him telling them the same thing.\Did you know that the other lord is using his people's money\to try to ingratiate himself with me?\Don't you think that's foolish?\What good will he be to me if his people are weakened? response:	Oh my, that's...
context: Huh?\Let's make some stops on the way.\Saying that, he went to visit the two lords, and let me hear him telling them the same thing.\Did you know that the other lord is using his people's money\to try to ingratiate himself with me?\Don't you think that's foolish?\What good will he be to me if his people are weakened?\Oh my, that's... response:	Thinking this was a good chance because the prince thought less of his rival,
context: Let's make some stops on the way.\Saying that, he went to visit the two lords, and let me hear him telling them the same thing.\Did you know that the other lord is using his people's money\to try to ingratiate himself with me?\Don't you think that's foolish?\What good will he be to me if his people are weakened?\Oh my, that's...\Thinking this was a good chance because the prince thought less of his rival, response:	the two lords stopped overtly extorting money and turned to more unlawful means.
context: Saying that, he went to visit the two lords, and let me hear him telling them the same thing.\Did you know that the other lord is using his people's money\to try to ingratiate himself with me?\Don't you think that's foolish?\What good will he be to me if his people are weakened?\Oh my, that's...\Thinking this was a good chance because the prince thought less of his rival,\the two lords stopped overtly extorting money and turned to more unlawful means. response:	That was what my brother was waiting for.
context: Did you know that the other lord is using his people's money\to try to ingratiate himself with me?\Don't you think that's foolish?\What good will he be to me if his people are weakened?\Oh my, that's...\Thinking this was a good chance because the prince thought less of his rival,\the two lords stopped overtly extorting money and turned to more unlawful means.\That was what my brother was waiting for. response:	He investigated the crimes of the two lords and the people they were dealing with secretly
context: to try to ingratiate himself with me?\Don't you think that's foolish?\What good will he be to me if his people are weakened?\Oh my, that's...\Thinking this was a good chance because the prince thought less of his rival,\the two lords stopped overtly extorting money and turned to more unlawful means.\That was what my brother was waiting for.\He investigated the crimes of the two lords and the people they were dealing with secretly response:	and got rid of all of them.
context: Don't you think that's foolish?\What good will he be to me if his people are weakened?\Oh my, that's...\Thinking this was a good chance because the prince thought less of his rival,\the two lords stopped overtly extorting money and turned to more unlawful means.\That was what my brother was waiting for.\He investigated the crimes of the two lords and the people they were dealing with secretly\and got rid of all of them. response:	Lords who let their people rot should just be attacked and killed in the shadows.
context: What good will he be to me if his people are weakened?\Oh my, that's...\Thinking this was a good chance because the prince thought less of his rival,\the two lords stopped overtly extorting money and turned to more unlawful means.\That was what my brother was waiting for.\He investigated the crimes of the two lords and the people they were dealing with secretly\and got rid of all of them.\Lords who let their people rot should just be attacked and killed in the shadows. response:	Both lords lost their positions.
context: Oh my, that's...\Thinking this was a good chance because the prince thought less of his rival,\the two lords stopped overtly extorting money and turned to more unlawful means.\That was what my brother was waiting for.\He investigated the crimes of the two lords and the people they were dealing with secretly\and got rid of all of them.\Lords who let their people rot should just be attacked and killed in the shadows.\Both lords lost their positions. response:	After that, my brother appointed the two former retainers as their successors.
context: Thinking this was a good chance because the prince thought less of his rival,\the two lords stopped overtly extorting money and turned to more unlawful means.\That was what my brother was waiting for.\He investigated the crimes of the two lords and the people they were dealing with secretly\and got rid of all of them.\Lords who let their people rot should just be attacked and killed in the shadows.\Both lords lost their positions.\After that, my brother appointed the two former retainers as their successors. response:	I've been taking care of them at the castle for you.
context: the two lords stopped overtly extorting money and turned to more unlawful means.\That was what my brother was waiting for.\He investigated the crimes of the two lords and the people they were dealing with secretly\and got rid of all of them.\Lords who let their people rot should just be attacked and killed in the shadows.\Both lords lost their positions.\After that, my brother appointed the two former retainers as their successors.\I've been taking care of them at the castle for you. response:	And he returned the vast amounts of tribute he had received from the two lords
context: That was what my brother was waiting for.\He investigated the crimes of the two lords and the people they were dealing with secretly\and got rid of all of them.\Lords who let their people rot should just be attacked and killed in the shadows.\Both lords lost their positions.\After that, my brother appointed the two former retainers as their successors.\I've been taking care of them at the castle for you.\And he returned the vast amounts of tribute he had received from the two lords response:	to be used as funds for the two lands.
context: He investigated the crimes of the two lords and the people they were dealing with secretly\and got rid of all of them.\Lords who let their people rot should just be attacked and killed in the shadows.\Both lords lost their positions.\After that, my brother appointed the two former retainers as their successors.\I've been taking care of them at the castle for you.\And he returned the vast amounts of tribute he had received from the two lords\to be used as funds for the two lands. response:	My brother had not touched any of it.
context: and got rid of all of them.\Lords who let their people rot should just be attacked and killed in the shadows.\Both lords lost their positions.\After that, my brother appointed the two former retainers as their successors.\I've been taking care of them at the castle for you.\And he returned the vast amounts of tribute he had received from the two lords\to be used as funds for the two lands.\My brother had not touched any of it. response:	I apologize, Lord Brother.
context: Lords who let their people rot should just be attacked and killed in the shadows.\Both lords lost their positions.\After that, my brother appointed the two former retainers as their successors.\I've been taking care of them at the castle for you.\And he returned the vast amounts of tribute he had received from the two lords\to be used as funds for the two lands.\My brother had not touched any of it.\I apologize, Lord Brother. response:	I thought you were using the lords as a means of amusement.
context: Both lords lost their positions.\After that, my brother appointed the two former retainers as their successors.\I've been taking care of them at the castle for you.\And he returned the vast amounts of tribute he had received from the two lords\to be used as funds for the two lands.\My brother had not touched any of it.\I apologize, Lord Brother.\I thought you were using the lords as a means of amusement. response:	I wasn't?
context: After that, my brother appointed the two former retainers as their successors.\I've been taking care of them at the castle for you.\And he returned the vast amounts of tribute he had received from the two lords\to be used as funds for the two lands.\My brother had not touched any of it.\I apologize, Lord Brother.\I thought you were using the lords as a means of amusement.\I wasn't? response:	I was having fun, though.
context: I've been taking care of them at the castle for you.\And he returned the vast amounts of tribute he had received from the two lords\to be used as funds for the two lands.\My brother had not touched any of it.\I apologize, Lord Brother.\I thought you were using the lords as a means of amusement.\I wasn't?\I was having fun, though. response:	I wonder if they will hold a grudge against you?
context: And he returned the vast amounts of tribute he had received from the two lords\to be used as funds for the two lands.\My brother had not touched any of it.\I apologize, Lord Brother.\I thought you were using the lords as a means of amusement.\I wasn't?\I was having fun, though.\I wonder if they will hold a grudge against you? response:	I wonder. They might come and attack me someday.
context: to be used as funds for the two lands.\My brother had not touched any of it.\I apologize, Lord Brother.\I thought you were using the lords as a means of amusement.\I wasn't?\I was having fun, though.\I wonder if they will hold a grudge against you?\I wonder. They might come and attack me someday. response:	Lord Brother!
context: My brother had not touched any of it.\I apologize, Lord Brother.\I thought you were using the lords as a means of amusement.\I wasn't?\I was having fun, though.\I wonder if they will hold a grudge against you?\I wonder. They might come and attack me someday.\Lord Brother! response:	If I don't have anyone to be my shield when that time comes,
context: I apologize, Lord Brother.\I thought you were using the lords as a means of amusement.\I wasn't?\I was having fun, though.\I wonder if they will hold a grudge against you?\I wonder. They might come and attack me someday.\Lord Brother!\If I don't have anyone to be my shield when that time comes, response:	then that was all I was as a man.
context: I thought you were using the lords as a means of amusement.\I wasn't?\I was having fun, though.\I wonder if they will hold a grudge against you?\I wonder. They might come and attack me someday.\Lord Brother!\If I don't have anyone to be my shield when that time comes,\then that was all I was as a man. response:	Zen.
context: I wasn't?\I was having fun, though.\I wonder if they will hold a grudge against you?\I wonder. They might come and attack me someday.\Lord Brother!\If I don't have anyone to be my shield when that time comes,\then that was all I was as a man.\Zen. response:	If you do not make those around you recognize you as the king's son,
context: I was having fun, though.\I wonder if they will hold a grudge against you?\I wonder. They might come and attack me someday.\Lord Brother!\If I don't have anyone to be my shield when that time comes,\then that was all I was as a man.\Zen.\If you do not make those around you recognize you as the king's son, response:	you will not become aware of it yourself.
context: I wonder if they will hold a grudge against you?\I wonder. They might come and attack me someday.\Lord Brother!\If I don't have anyone to be my shield when that time comes,\then that was all I was as a man.\Zen.\If you do not make those around you recognize you as the king's son,\you will not become aware of it yourself. response:	This person... This man was going to become the king of Clarines.
context: I wonder. They might come and attack me someday.\Lord Brother!\If I don't have anyone to be my shield when that time comes,\then that was all I was as a man.\Zen.\If you do not make those around you recognize you as the king's son,\you will not become aware of it yourself.\This person... This man was going to become the king of Clarines. response:	I wanted to become someone who could stand next to this person.
context: Lord Brother!\If I don't have anyone to be my shield when that time comes,\then that was all I was as a man.\Zen.\If you do not make those around you recognize you as the king's son,\you will not become aware of it yourself.\This person... This man was going to become the king of Clarines.\I wanted to become someone who could stand next to this person. response:	I wanted that with everything I had.
context: If I don't have anyone to be my shield when that time comes,\then that was all I was as a man.\Zen.\If you do not make those around you recognize you as the king's son,\you will not become aware of it yourself.\This person... This man was going to become the king of Clarines.\I wanted to become someone who could stand next to this person.\I wanted that with everything I had. response:	Sorry, it's gotten pretty late.
context: then that was all I was as a man.\Zen.\If you do not make those around you recognize you as the king's son,\you will not become aware of it yourself.\This person... This man was going to become the king of Clarines.\I wanted to become someone who could stand next to this person.\I wanted that with everything I had.\Sorry, it's gotten pretty late. response:	It's okay.
context: Zen.\If you do not make those around you recognize you as the king's son,\you will not become aware of it yourself.\This person... This man was going to become the king of Clarines.\I wanted to become someone who could stand next to this person.\I wanted that with everything I had.\Sorry, it's gotten pretty late.\It's okay. response:	Oh right, Shirayuki. There's one more thing I needed to talk to you about.
context: If you do not make those around you recognize you as the king's son,\you will not become aware of it yourself.\This person... This man was going to become the king of Clarines.\I wanted to become someone who could stand next to this person.\I wanted that with everything I had.\Sorry, it's gotten pretty late.\It's okay.\Oh right, Shirayuki. There's one more thing I needed to talk to you about. response:	To me?
context: you will not become aware of it yourself.\This person... This man was going to become the king of Clarines.\I wanted to become someone who could stand next to this person.\I wanted that with everything I had.\Sorry, it's gotten pretty late.\It's okay.\Oh right, Shirayuki. There's one more thing I needed to talk to you about.\To me? response:	Raj said something outrageous at the tea party.
context: This person... This man was going to become the king of Clarines.\I wanted to become someone who could stand next to this person.\I wanted that with everything I had.\Sorry, it's gotten pretty late.\It's okay.\Oh right, Shirayuki. There's one more thing I needed to talk to you about.\To me?\Raj said something outrageous at the tea party. response:	Wh-What?
