context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: Call me Tsu!\Kacchan!\Don't get carried away!\Damn it!\Tokoyami!\I'll be taking that now.\Cavalry Battle Finale\It was a good plan, so I joined the team even though it was you. response:	When did you lose your headband?
context: Kacchan!\Don't get carried away!\Damn it!\Tokoyami!\I'll be taking that now.\Cavalry Battle Finale\It was a good plan, so I joined the team even though it was you.\When did you lose your headband? response:	I don't know!
context: Don't get carried away!\Damn it!\Tokoyami!\I'll be taking that now.\Cavalry Battle Finale\It was a good plan, so I joined the team even though it was you.\When did you lose your headband?\I don't know! response:	But now, there's nothing left to lose!
context: Damn it!\Tokoyami!\I'll be taking that now.\Cavalry Battle Finale\It was a good plan, so I joined the team even though it was you.\When did you lose your headband?\I don't know!\But now, there's nothing left to lose! response:	Shoji, full attack mode!
context: Tokoyami!\I'll be taking that now.\Cavalry Battle Finale\It was a good plan, so I joined the team even though it was you.\When did you lose your headband?\I don't know!\But now, there's nothing left to lose!\Shoji, full attack mode! response:	We're gonna steal the points from those two teams with everything we've got!
context: I'll be taking that now.\Cavalry Battle Finale\It was a good plan, so I joined the team even though it was you.\When did you lose your headband?\I don't know!\But now, there's nothing left to lose!\Shoji, full attack mode!\We're gonna steal the points from those two teams with everything we've got! response:	I thought we would not have a confrontation until later in this contest.
context: Cavalry Battle Finale\It was a good plan, so I joined the team even though it was you.\When did you lose your headband?\I don't know!\But now, there's nothing left to lose!\Shoji, full attack mode!\We're gonna steal the points from those two teams with everything we've got!\I thought we would not have a confrontation until later in this contest. response:	He seems to think highly of you, Midoriya.
context: It was a good plan, so I joined the team even though it was you.\When did you lose your headband?\I don't know!\But now, there's nothing left to lose!\Shoji, full attack mode!\We're gonna steal the points from those two teams with everything we've got!\I thought we would not have a confrontation until later in this contest.\He seems to think highly of you, Midoriya. response:	Only half the time is left!
context: When did you lose your headband?\I don't know!\But now, there's nothing left to lose!\Shoji, full attack mode!\We're gonna steal the points from those two teams with everything we've got!\I thought we would not have a confrontation until later in this contest.\He seems to think highly of you, Midoriya.\Only half the time is left! response:	Don't stop moving.
context: I don't know!\But now, there's nothing left to lose!\Shoji, full attack mode!\We're gonna steal the points from those two teams with everything we've got!\I thought we would not have a confrontation until later in this contest.\He seems to think highly of you, Midoriya.\Only half the time is left!\Don't stop moving. response:	Iida, forward!
context: But now, there's nothing left to lose!\Shoji, full attack mode!\We're gonna steal the points from those two teams with everything we've got!\I thought we would not have a confrontation until later in this contest.\He seems to think highly of you, Midoriya.\Only half the time is left!\Don't stop moving.\Iida, forward! response:	Right!
context: Shoji, full attack mode!\We're gonna steal the points from those two teams with everything we've got!\I thought we would not have a confrontation until later in this contest.\He seems to think highly of you, Midoriya.\Only half the time is left!\Don't stop moving.\Iida, forward!\Right! response:	Yaoyorozu, prepare to guard us and conduct electricity.
context: We're gonna steal the points from those two teams with everything we've got!\I thought we would not have a confrontation until later in this contest.\He seems to think highly of you, Midoriya.\Only half the time is left!\Don't stop moving.\Iida, forward!\Right!\Yaoyorozu, prepare to guard us and conduct electricity. response:	Right.
context: I thought we would not have a confrontation until later in this contest.\He seems to think highly of you, Midoriya.\Only half the time is left!\Don't stop moving.\Iida, forward!\Right!\Yaoyorozu, prepare to guard us and conduct electricity.\Right. response:	Kaminari, you-
context: He seems to think highly of you, Midoriya.\Only half the time is left!\Don't stop moving.\Iida, forward!\Right!\Yaoyorozu, prepare to guard us and conduct electricity.\Right.\Kaminari, you- response:	I know what I have to do!
context: Only half the time is left!\Don't stop moving.\Iida, forward!\Right!\Yaoyorozu, prepare to guard us and conduct electricity.\Right.\Kaminari, you-\I know what I have to do! response:	Watch our surroundings.
context: Don't stop moving.\Iida, forward!\Right!\Yaoyorozu, prepare to guard us and conduct electricity.\Right.\Kaminari, you-\I know what I have to do!\Watch our surroundings. response:	It's not just one group coming for us!
context: Iida, forward!\Right!\Yaoyorozu, prepare to guard us and conduct electricity.\Right.\Kaminari, you-\I know what I have to do!\Watch our surroundings.\It's not just one group coming for us! response:	Make sure you guard well...
context: Right!\Yaoyorozu, prepare to guard us and conduct electricity.\Right.\Kaminari, you-\I know what I have to do!\Watch our surroundings.\It's not just one group coming for us!\Make sure you guard well... response:	Indiscriminate Shock...
context: Yaoyorozu, prepare to guard us and conduct electricity.\Right.\Kaminari, you-\I know what I have to do!\Watch our surroundings.\It's not just one group coming for us!\Make sure you guard well...\Indiscriminate Shock... response:	Kaminari...!
context: Right.\Kaminari, you-\I know what I have to do!\Watch our surroundings.\It's not just one group coming for us!\Make sure you guard well...\Indiscriminate Shock...\Kaminari...! response:	Less than six minutes left.
context: Kaminari, you-\I know what I have to do!\Watch our surroundings.\It's not just one group coming for us!\Make sure you guard well...\Indiscriminate Shock...\Kaminari...!\Less than six minutes left. response:	We can't back down now.
context: I know what I have to do!\Watch our surroundings.\It's not just one group coming for us!\Make sure you guard well...\Indiscriminate Shock...\Kaminari...!\Less than six minutes left.\We can't back down now. response:	Sorry, but you'll just have to bear it.
context: Watch our surroundings.\It's not just one group coming for us!\Make sure you guard well...\Indiscriminate Shock...\Kaminari...!\Less than six minutes left.\We can't back down now.\Sorry, but you'll just have to bear it. response:	What? What'd he do?
context: It's not just one group coming for us!\Make sure you guard well...\Indiscriminate Shock...\Kaminari...!\Less than six minutes left.\We can't back down now.\Sorry, but you'll just have to bear it.\What? What'd he do? response:	Todoroki took care of that crowd of teams in an instant!
context: Make sure you guard well...\Indiscriminate Shock...\Kaminari...!\Less than six minutes left.\We can't back down now.\Sorry, but you'll just have to bear it.\What? What'd he do?\Todoroki took care of that crowd of teams in an instant! response:	He froze them after Kaminari's shock stopped them...
context: Indiscriminate Shock...\Kaminari...!\Less than six minutes left.\We can't back down now.\Sorry, but you'll just have to bear it.\What? What'd he do?\Todoroki took care of that crowd of teams in an instant!\He froze them after Kaminari's shock stopped them... response:	I guess it should be expected,
context: Kaminari...!\Less than six minutes left.\We can't back down now.\Sorry, but you'll just have to bear it.\What? What'd he do?\Todoroki took care of that crowd of teams in an instant!\He froze them after Kaminari's shock stopped them...\I guess it should be expected, response:	but he took into account how a lot of people avoided it in the obstacle course.
context: Less than six minutes left.\We can't back down now.\Sorry, but you'll just have to bear it.\What? What'd he do?\Todoroki took care of that crowd of teams in an instant!\He froze them after Kaminari's shock stopped them...\I guess it should be expected,\but he took into account how a lot of people avoided it in the obstacle course. response:	Nice commentary!
context: We can't back down now.\Sorry, but you'll just have to bear it.\What? What'd he do?\Todoroki took care of that crowd of teams in an instant!\He froze them after Kaminari's shock stopped them...\I guess it should be expected,\but he took into account how a lot of people avoided it in the obstacle course.\Nice commentary! response:	I might as well take these.
context: Sorry, but you'll just have to bear it.\What? What'd he do?\Todoroki took care of that crowd of teams in an instant!\He froze them after Kaminari's shock stopped them...\I guess it should be expected,\but he took into account how a lot of people avoided it in the obstacle course.\Nice commentary!\I might as well take these. response:	-Damn it! -What? Mine, too?
context: What? What'd he do?\Todoroki took care of that crowd of teams in an instant!\He froze them after Kaminari's shock stopped them...\I guess it should be expected,\but he took into account how a lot of people avoided it in the obstacle course.\Nice commentary!\I might as well take these.\-Damn it! -What? Mine, too? response:	The backpack's acting up?
context: Todoroki took care of that crowd of teams in an instant!\He froze them after Kaminari's shock stopped them...\I guess it should be expected,\but he took into account how a lot of people avoided it in the obstacle course.\Nice commentary!\I might as well take these.\-Damn it! -What? Mine, too?\The backpack's acting up? response:	Baby! There's room for improvement!
context: He froze them after Kaminari's shock stopped them...\I guess it should be expected,\but he took into account how a lot of people avoided it in the obstacle course.\Nice commentary!\I might as well take these.\-Damn it! -What? Mine, too?\The backpack's acting up?\Baby! There's room for improvement! response:	Oh no, it's too strong!
context: I guess it should be expected,\but he took into account how a lot of people avoided it in the obstacle course.\Nice commentary!\I might as well take these.\-Damn it! -What? Mine, too?\The backpack's acting up?\Baby! There's room for improvement!\Oh no, it's too strong! response:	We can't get away!
context: but he took into account how a lot of people avoided it in the obstacle course.\Nice commentary!\I might as well take these.\-Damn it! -What? Mine, too?\The backpack's acting up?\Baby! There's room for improvement!\Oh no, it's too strong!\We can't get away! response:	I'll restrain them!
context: Nice commentary!\I might as well take these.\-Damn it! -What? Mine, too?\The backpack's acting up?\Baby! There's room for improvement!\Oh no, it's too strong!\We can't get away!\I'll restrain them! response:	Yaoyorozu!
context: I might as well take these.\-Damn it! -What? Mine, too?\The backpack's acting up?\Baby! There's room for improvement!\Oh no, it's too strong!\We can't get away!\I'll restrain them!\Yaoyorozu! response:	Yaoyoruzu's Creation is too hard to deal with!
context: -Damn it! -What? Mine, too?\The backpack's acting up?\Baby! There's room for improvement!\Oh no, it's too strong!\We can't get away!\I'll restrain them!\Yaoyorozu!\Yaoyoruzu's Creation is too hard to deal with! response:	No...
context: The backpack's acting up?\Baby! There's room for improvement!\Oh no, it's too strong!\We can't get away!\I'll restrain them!\Yaoyorozu!\Yaoyoruzu's Creation is too hard to deal with!\No... response:	Kaminari is worse.
context: Baby! There's room for improvement!\Oh no, it's too strong!\We can't get away!\I'll restrain them!\Yaoyorozu!\Yaoyoruzu's Creation is too hard to deal with!\No...\Kaminari is worse. response:	With that level of armor,
context: Oh no, it's too strong!\We can't get away!\I'll restrain them!\Yaoyorozu!\Yaoyoruzu's Creation is too hard to deal with!\No...\Kaminari is worse.\With that level of armor, response:	if it had been sunlight, Dark Shadow would've been ripped apart.
context: We can't get away!\I'll restrain them!\Yaoyorozu!\Yaoyoruzu's Creation is too hard to deal with!\No...\Kaminari is worse.\With that level of armor,\if it had been sunlight, Dark Shadow would've been ripped apart. response:	Right!
context: I'll restrain them!\Yaoyorozu!\Yaoyoruzu's Creation is too hard to deal with!\No...\Kaminari is worse.\With that level of armor,\if it had been sunlight, Dark Shadow would've been ripped apart.\Right! response:	In any case, I want you to devote yourself to defense.
context: Yaoyorozu!\Yaoyoruzu's Creation is too hard to deal with!\No...\Kaminari is worse.\With that level of armor,\if it had been sunlight, Dark Shadow would've been ripped apart.\Right!\In any case, I want you to devote yourself to defense. response:	You don't have to attack.
context: Yaoyoruzu's Creation is too hard to deal with!\No...\Kaminari is worse.\With that level of armor,\if it had been sunlight, Dark Shadow would've been ripped apart.\Right!\In any case, I want you to devote yourself to defense.\You don't have to attack. response:	So...
context: No...\Kaminari is worse.\With that level of armor,\if it had been sunlight, Dark Shadow would've been ripped apart.\Right!\In any case, I want you to devote yourself to defense.\You don't have to attack.\So... response:	Interesting.
context: Kaminari is worse.\With that level of armor,\if it had been sunlight, Dark Shadow would've been ripped apart.\Right!\In any case, I want you to devote yourself to defense.\You don't have to attack.\So...\Interesting. response:	My Quirk's offensive ability increases the darker it is,
context: With that level of armor,\if it had been sunlight, Dark Shadow would've been ripped apart.\Right!\In any case, I want you to devote yourself to defense.\You don't have to attack.\So...\Interesting.\My Quirk's offensive ability increases the darker it is, response:	but it becomes fierce and difficult to control.
context: if it had been sunlight, Dark Shadow would've been ripped apart.\Right!\In any case, I want you to devote yourself to defense.\You don't have to attack.\So...\Interesting.\My Quirk's offensive ability increases the darker it is,\but it becomes fierce and difficult to control. response:	On the other hand, under sunlight, it becomes possible to control,
context: Right!\In any case, I want you to devote yourself to defense.\You don't have to attack.\So...\Interesting.\My Quirk's offensive ability increases the darker it is,\but it becomes fierce and difficult to control.\On the other hand, under sunlight, it becomes possible to control, response:	but its offense becomes below average.
context: In any case, I want you to devote yourself to defense.\You don't have to attack.\So...\Interesting.\My Quirk's offensive ability increases the darker it is,\but it becomes fierce and difficult to control.\On the other hand, under sunlight, it becomes possible to control,\but its offense becomes below average. response:	To tell me I didn't have to attack with my Quirk without knowing that...
context: You don't have to attack.\So...\Interesting.\My Quirk's offensive ability increases the darker it is,\but it becomes fierce and difficult to control.\On the other hand, under sunlight, it becomes possible to control,\but its offense becomes below average.\To tell me I didn't have to attack with my Quirk without knowing that... response:	It's a very unique choice, under the circumstances.
context: So...\Interesting.\My Quirk's offensive ability increases the darker it is,\but it becomes fierce and difficult to control.\On the other hand, under sunlight, it becomes possible to control,\but its offense becomes below average.\To tell me I didn't have to attack with my Quirk without knowing that...\It's a very unique choice, under the circumstances. response:	Very well. Try using me.
context: Interesting.\My Quirk's offensive ability increases the darker it is,\but it becomes fierce and difficult to control.\On the other hand, under sunlight, it becomes possible to control,\but its offense becomes below average.\To tell me I didn't have to attack with my Quirk without knowing that...\It's a very unique choice, under the circumstances.\Very well. Try using me. response:	I leave it to you, Midoriya.
context: My Quirk's offensive ability increases the darker it is,\but it becomes fierce and difficult to control.\On the other hand, under sunlight, it becomes possible to control,\but its offense becomes below average.\To tell me I didn't have to attack with my Quirk without knowing that...\It's a very unique choice, under the circumstances.\Very well. Try using me.\I leave it to you, Midoriya. response:	I see... Kaminari's lightning...
context: but it becomes fierce and difficult to control.\On the other hand, under sunlight, it becomes possible to control,\but its offense becomes below average.\To tell me I didn't have to attack with my Quirk without knowing that...\It's a very unique choice, under the circumstances.\Very well. Try using me.\I leave it to you, Midoriya.\I see... Kaminari's lightning... response:	As long as he keeps discharging electricity,
context: On the other hand, under sunlight, it becomes possible to control,\but its offense becomes below average.\To tell me I didn't have to attack with my Quirk without knowing that...\It's a very unique choice, under the circumstances.\Very well. Try using me.\I leave it to you, Midoriya.\I see... Kaminari's lightning...\As long as he keeps discharging electricity, response:	attacking will be difficult.
context: but its offense becomes below average.\To tell me I didn't have to attack with my Quirk without knowing that...\It's a very unique choice, under the circumstances.\Very well. Try using me.\I leave it to you, Midoriya.\I see... Kaminari's lightning...\As long as he keeps discharging electricity,\attacking will be difficult. response:	Dark Shadow will become timid.
context: To tell me I didn't have to attack with my Quirk without knowing that...\It's a very unique choice, under the circumstances.\Very well. Try using me.\I leave it to you, Midoriya.\I see... Kaminari's lightning...\As long as he keeps discharging electricity,\attacking will be difficult.\Dark Shadow will become timid. response:	I'm against violence...
context: It's a very unique choice, under the circumstances.\Very well. Try using me.\I leave it to you, Midoriya.\I see... Kaminari's lightning...\As long as he keeps discharging electricity,\attacking will be difficult.\Dark Shadow will become timid.\I'm against violence... response:	Team Midoriya has nowhere left to go!
context: Very well. Try using me.\I leave it to you, Midoriya.\I see... Kaminari's lightning...\As long as he keeps discharging electricity,\attacking will be difficult.\Dark Shadow will become timid.\I'm against violence...\Team Midoriya has nowhere left to go! response:	Decreased offense...
context: I leave it to you, Midoriya.\I see... Kaminari's lightning...\As long as he keeps discharging electricity,\attacking will be difficult.\Dark Shadow will become timid.\I'm against violence...\Team Midoriya has nowhere left to go!\Decreased offense... response:	They don't know that, do they?
context: I see... Kaminari's lightning...\As long as he keeps discharging electricity,\attacking will be difficult.\Dark Shadow will become timid.\I'm against violence...\Team Midoriya has nowhere left to go!\Decreased offense...\They don't know that, do they? response:	I don't believe so.
context: As long as he keeps discharging electricity,\attacking will be difficult.\Dark Shadow will become timid.\I'm against violence...\Team Midoriya has nowhere left to go!\Decreased offense...\They don't know that, do they?\I don't believe so. response:	The only person I've told about this weakness is Koda, at USJ,
context: attacking will be difficult.\Dark Shadow will become timid.\I'm against violence...\Team Midoriya has nowhere left to go!\Decreased offense...\They don't know that, do they?\I don't believe so.\The only person I've told about this weakness is Koda, at USJ, response:	and he is a man of few words.
context: Dark Shadow will become timid.\I'm against violence...\Team Midoriya has nowhere left to go!\Decreased offense...\They don't know that, do they?\I don't believe so.\The only person I've told about this weakness is Koda, at USJ,\and he is a man of few words. response:	If they don't know about it, then we can use it to hold them back.
context: I'm against violence...\Team Midoriya has nowhere left to go!\Decreased offense...\They don't know that, do they?\I don't believe so.\The only person I've told about this weakness is Koda, at USJ,\and he is a man of few words.\If they don't know about it, then we can use it to hold them back. response:	It's fine.
context: Team Midoriya has nowhere left to go!\Decreased offense...\They don't know that, do they?\I don't believe so.\The only person I've told about this weakness is Koda, at USJ,\and he is a man of few words.\If they don't know about it, then we can use it to hold them back.\It's fine. response:	No matter what, we will hang on to the ten million!
context: Decreased offense...\They don't know that, do they?\I don't believe so.\The only person I've told about this weakness is Koda, at USJ,\and he is a man of few words.\If they don't know about it, then we can use it to hold them back.\It's fine.\No matter what, we will hang on to the ten million! response:	Class A is too simple-minded.
context: They don't know that, do they?\I don't believe so.\The only person I've told about this weakness is Koda, at USJ,\and he is a man of few words.\If they don't know about it, then we can use it to hold them back.\It's fine.\No matter what, we will hang on to the ten million!\Class A is too simple-minded. response:	He got us!
context: I don't believe so.\The only person I've told about this weakness is Koda, at USJ,\and he is a man of few words.\If they don't know about it, then we can use it to hold them back.\It's fine.\No matter what, we will hang on to the ten million!\Class A is too simple-minded.\He got us! response:	What'd you say, bastard?
context: The only person I've told about this weakness is Koda, at USJ,\and he is a man of few words.\If they don't know about it, then we can use it to hold them back.\It's fine.\No matter what, we will hang on to the ten million!\Class A is too simple-minded.\He got us!\What'd you say, bastard? response:	Give that back! I'll kill you!
context: and he is a man of few words.\If they don't know about it, then we can use it to hold them back.\It's fine.\No matter what, we will hang on to the ten million!\Class A is too simple-minded.\He got us!\What'd you say, bastard?\Give that back! I'll kill you! response:	You're famous, aren't you?
context: If they don't know about it, then we can use it to hold them back.\It's fine.\No matter what, we will hang on to the ten million!\Class A is too simple-minded.\He got us!\What'd you say, bastard?\Give that back! I'll kill you!\You're famous, aren't you? response:	As the victim of the sludge incident!
context: It's fine.\No matter what, we will hang on to the ten million!\Class A is too simple-minded.\He got us!\What'd you say, bastard?\Give that back! I'll kill you!\You're famous, aren't you?\As the victim of the sludge incident! response:	Tell me about it sometime-
context: No matter what, we will hang on to the ten million!\Class A is too simple-minded.\He got us!\What'd you say, bastard?\Give that back! I'll kill you!\You're famous, aren't you?\As the victim of the sludge incident!\Tell me about it sometime- response:	About how it feels to be attacked by villains once a year.
context: Class A is too simple-minded.\He got us!\What'd you say, bastard?\Give that back! I'll kill you!\You're famous, aren't you?\As the victim of the sludge incident!\Tell me about it sometime-\About how it feels to be attacked by villains once a year. response:	Kirishima... change of plan...
context: He got us!\What'd you say, bastard?\Give that back! I'll kill you!\You're famous, aren't you?\As the victim of the sludge incident!\Tell me about it sometime-\About how it feels to be attacked by villains once a year.\Kirishima... change of plan... response:	Monoma, don't provoke him!
context: What'd you say, bastard?\Give that back! I'll kill you!\You're famous, aren't you?\As the victim of the sludge incident!\Tell me about it sometime-\About how it feels to be attacked by villains once a year.\Kirishima... change of plan...\Monoma, don't provoke him! response:	You'll be the same as him.
context: Give that back! I'll kill you!\You're famous, aren't you?\As the victim of the sludge incident!\Tell me about it sometime-\About how it feels to be attacked by villains once a year.\Kirishima... change of plan...\Monoma, don't provoke him!\You'll be the same as him. response:	That's right. It wouldn't become a hero.
context: You're famous, aren't you?\As the victim of the sludge incident!\Tell me about it sometime-\About how it feels to be attacked by villains once a year.\Kirishima... change of plan...\Monoma, don't provoke him!\You'll be the same as him.\That's right. It wouldn't become a hero. response:	Besides, don't you often hear
context: As the victim of the sludge incident!\Tell me about it sometime-\About how it feels to be attacked by villains once a year.\Kirishima... change of plan...\Monoma, don't provoke him!\You'll be the same as him.\That's right. It wouldn't become a hero.\Besides, don't you often hear response:	about heroes who get done in by villains who want revenge?
context: Tell me about it sometime-\About how it feels to be attacked by villains once a year.\Kirishima... change of plan...\Monoma, don't provoke him!\You'll be the same as him.\That's right. It wouldn't become a hero.\Besides, don't you often hear\about heroes who get done in by villains who want revenge? response:	Bakugo, calm down!
context: About how it feels to be attacked by villains once a year.\Kirishima... change of plan...\Monoma, don't provoke him!\You'll be the same as him.\That's right. It wouldn't become a hero.\Besides, don't you often hear\about heroes who get done in by villains who want revenge?\Bakugo, calm down! response:	If you don't calm down, we won't be able to get the points back!
context: Kirishima... change of plan...\Monoma, don't provoke him!\You'll be the same as him.\That's right. It wouldn't become a hero.\Besides, don't you often hear\about heroes who get done in by villains who want revenge?\Bakugo, calm down!\If you don't calm down, we won't be able to get the points back! response:	Forward, Kirishima!
context: Monoma, don't provoke him!\You'll be the same as him.\That's right. It wouldn't become a hero.\Besides, don't you often hear\about heroes who get done in by villains who want revenge?\Bakugo, calm down!\If you don't calm down, we won't be able to get the points back!\Forward, Kirishima! response:	Right now,
context: You'll be the same as him.\That's right. It wouldn't become a hero.\Besides, don't you often hear\about heroes who get done in by villains who want revenge?\Bakugo, calm down!\If you don't calm down, we won't be able to get the points back!\Forward, Kirishima!\Right now, response:	I'm totally calm!
context: That's right. It wouldn't become a hero.\Besides, don't you often hear\about heroes who get done in by villains who want revenge?\Bakugo, calm down!\If you don't calm down, we won't be able to get the points back!\Forward, Kirishima!\Right now,\I'm totally calm! response:	We're seriously counting on you!
context: Besides, don't you often hear\about heroes who get done in by villains who want revenge?\Bakugo, calm down!\If you don't calm down, we won't be able to get the points back!\Forward, Kirishima!\Right now,\I'm totally calm!\We're seriously counting on you! response:	Go...!
context: about heroes who get done in by villains who want revenge?\Bakugo, calm down!\If you don't calm down, we won't be able to get the points back!\Forward, Kirishima!\Right now,\I'm totally calm!\We're seriously counting on you!\Go...! response:	Die...!
context: Bakugo, calm down!\If you don't calm down, we won't be able to get the points back!\Forward, Kirishima!\Right now,\I'm totally calm!\We're seriously counting on you!\Go...!\Die...! response:	Wow, what a nice Quirk!
context: If you don't calm down, we won't be able to get the points back!\Forward, Kirishima!\Right now,\I'm totally calm!\We're seriously counting on you!\Go...!\Die...!\Wow, what a nice Quirk! response:	That's my-
context: Forward, Kirishima!\Right now,\I'm totally calm!\We're seriously counting on you!\Go...!\Die...!\Wow, what a nice Quirk!\That's my- response:	Bakugo, someone has the same Quirk as you, too?
