context: The illustrations done by a mysterious beauty, Yumemi Yumeno, response:	are said to make romantic wishes come true.
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	I'm Usagi Tsukino.
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. response:	As you know, I'm a sailor warrior of love and justice, Sailor Moon.
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon. response:	But it's not easy, you know.
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know. response:	I have to get a hold of the legendary Silver Crystal
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal response:	before the bad guys get it,
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it, response:	but to do that, I have to find the seven rainbow crystals!
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals! response:	Oh, man. But anyhow, we've got four sailor warriors now,
context: Shinjite iru no miracle romance\I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now, response:	so it'll work out somehow.
context: I'm Usagi Tsukino.\As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow. response:	Illustrations Of Love, Are Usagi and Mamoru Getting Closer?
context: As you know, I'm a sailor warrior of love and justice, Sailor Moon.\But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Illustrations Of Love, Are Usagi and Mamoru Getting Closer? response:	Of the seven rainbow crystals,
context: But it's not easy, you know.\I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Illustrations Of Love, Are Usagi and Mamoru Getting Closer?\Of the seven rainbow crystals, response:	two have been taken by meddlesome outsiders
context: I have to get a hold of the legendary Silver Crystal\before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Illustrations Of Love, Are Usagi and Mamoru Getting Closer?\Of the seven rainbow crystals,\two have been taken by meddlesome outsiders response:	and only one is in my hands.
context: before the bad guys get it,\but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Illustrations Of Love, Are Usagi and Mamoru Getting Closer?\Of the seven rainbow crystals,\two have been taken by meddlesome outsiders\and only one is in my hands. response:	And three of the great Seven Monsters have already been defeated.
context: but to do that, I have to find the seven rainbow crystals!\Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Illustrations Of Love, Are Usagi and Mamoru Getting Closer?\Of the seven rainbow crystals,\two have been taken by meddlesome outsiders\and only one is in my hands.\And three of the great Seven Monsters have already been defeated. response:	Zoisite, how do you intend to take responsibility for this?
context: Oh, man. But anyhow, we've got four sailor warriors now,\so it'll work out somehow.\Illustrations Of Love, Are Usagi and Mamoru Getting Closer?\Of the seven rainbow crystals,\two have been taken by meddlesome outsiders\and only one is in my hands.\And three of the great Seven Monsters have already been defeated.\Zoisite, how do you intend to take responsibility for this? response:	Queen Beryl, please grant me a short period of grace.
context: so it'll work out somehow.\Illustrations Of Love, Are Usagi and Mamoru Getting Closer?\Of the seven rainbow crystals,\two have been taken by meddlesome outsiders\and only one is in my hands.\And three of the great Seven Monsters have already been defeated.\Zoisite, how do you intend to take responsibility for this?\Queen Beryl, please grant me a short period of grace. response:	The next target is this girl.
context: Illustrations Of Love, Are Usagi and Mamoru Getting Closer?\Of the seven rainbow crystals,\two have been taken by meddlesome outsiders\and only one is in my hands.\And three of the great Seven Monsters have already been defeated.\Zoisite, how do you intend to take responsibility for this?\Queen Beryl, please grant me a short period of grace.\The next target is this girl. response:	I shall obtain the rainbow crystal, even at the cost of my life.
context: Of the seven rainbow crystals,\two have been taken by meddlesome outsiders\and only one is in my hands.\And three of the great Seven Monsters have already been defeated.\Zoisite, how do you intend to take responsibility for this?\Queen Beryl, please grant me a short period of grace.\The next target is this girl.\I shall obtain the rainbow crystal, even at the cost of my life. response:	I assume you know what will happen if you fail?
context: two have been taken by meddlesome outsiders\and only one is in my hands.\And three of the great Seven Monsters have already been defeated.\Zoisite, how do you intend to take responsibility for this?\Queen Beryl, please grant me a short period of grace.\The next target is this girl.\I shall obtain the rainbow crystal, even at the cost of my life.\I assume you know what will happen if you fail? response:	Yes, my lady.
context: and only one is in my hands.\And three of the great Seven Monsters have already been defeated.\Zoisite, how do you intend to take responsibility for this?\Queen Beryl, please grant me a short period of grace.\The next target is this girl.\I shall obtain the rainbow crystal, even at the cost of my life.\I assume you know what will happen if you fail?\Yes, my lady. response:	That's why...
context: And three of the great Seven Monsters have already been defeated.\Zoisite, how do you intend to take responsibility for this?\Queen Beryl, please grant me a short period of grace.\The next target is this girl.\I shall obtain the rainbow crystal, even at the cost of my life.\I assume you know what will happen if you fail?\Yes, my lady.\That's why... response:	It's definitely autumn.
context: Zoisite, how do you intend to take responsibility for this?\Queen Beryl, please grant me a short period of grace.\The next target is this girl.\I shall obtain the rainbow crystal, even at the cost of my life.\I assume you know what will happen if you fail?\Yes, my lady.\That's why...\It's definitely autumn. response:	There are couples everywhere.
context: Queen Beryl, please grant me a short period of grace.\The next target is this girl.\I shall obtain the rainbow crystal, even at the cost of my life.\I assume you know what will happen if you fail?\Yes, my lady.\That's why...\It's definitely autumn.\There are couples everywhere. response:	Oh, Tuxedo Mask, are you my enemy or my ally?
context: The next target is this girl.\I shall obtain the rainbow crystal, even at the cost of my life.\I assume you know what will happen if you fail?\Yes, my lady.\That's why...\It's definitely autumn.\There are couples everywhere.\Oh, Tuxedo Mask, are you my enemy or my ally? response:	At any rate, he's got his eye on our precious Silver Crystal,
context: I shall obtain the rainbow crystal, even at the cost of my life.\I assume you know what will happen if you fail?\Yes, my lady.\That's why...\It's definitely autumn.\There are couples everywhere.\Oh, Tuxedo Mask, are you my enemy or my ally?\At any rate, he's got his eye on our precious Silver Crystal, response:	so we should consider him our enemy for now.
context: I assume you know what will happen if you fail?\Yes, my lady.\That's why...\It's definitely autumn.\There are couples everywhere.\Oh, Tuxedo Mask, are you my enemy or my ally?\At any rate, he's got his eye on our precious Silver Crystal,\so we should consider him our enemy for now. response:	No! No way!
context: Yes, my lady.\That's why...\It's definitely autumn.\There are couples everywhere.\Oh, Tuxedo Mask, are you my enemy or my ally?\At any rate, he's got his eye on our precious Silver Crystal,\so we should consider him our enemy for now.\No! No way! response:	Oh, I have no idea who the man I adore is
context: That's why...\It's definitely autumn.\There are couples everywhere.\Oh, Tuxedo Mask, are you my enemy or my ally?\At any rate, he's got his eye on our precious Silver Crystal,\so we should consider him our enemy for now.\No! No way!\Oh, I have no idea who the man I adore is response:	and these scary monsters just keep showing up!
context: It's definitely autumn.\There are couples everywhere.\Oh, Tuxedo Mask, are you my enemy or my ally?\At any rate, he's got his eye on our precious Silver Crystal,\so we should consider him our enemy for now.\No! No way!\Oh, I have no idea who the man I adore is\and these scary monsters just keep showing up! response:	Why am I the only one who has to suffer like this?!
context: There are couples everywhere.\Oh, Tuxedo Mask, are you my enemy or my ally?\At any rate, he's got his eye on our precious Silver Crystal,\so we should consider him our enemy for now.\No! No way!\Oh, I have no idea who the man I adore is\and these scary monsters just keep showing up!\Why am I the only one who has to suffer like this?! response:	Usagi, sorry for making you wait!
context: Oh, Tuxedo Mask, are you my enemy or my ally?\At any rate, he's got his eye on our precious Silver Crystal,\so we should consider him our enemy for now.\No! No way!\Oh, I have no idea who the man I adore is\and these scary monsters just keep showing up!\Why am I the only one who has to suffer like this?!\Usagi, sorry for making you wait! response:	Naru! So what is it? What do you want to show me?!
context: At any rate, he's got his eye on our precious Silver Crystal,\so we should consider him our enemy for now.\No! No way!\Oh, I have no idea who the man I adore is\and these scary monsters just keep showing up!\Why am I the only one who has to suffer like this?!\Usagi, sorry for making you wait!\Naru! So what is it? What do you want to show me?! response:	You'll just have to wait until you see it. Let's go!
context: so we should consider him our enemy for now.\No! No way!\Oh, I have no idea who the man I adore is\and these scary monsters just keep showing up!\Why am I the only one who has to suffer like this?!\Usagi, sorry for making you wait!\Naru! So what is it? What do you want to show me?!\You'll just have to wait until you see it. Let's go! response:	Okay! Let's have something to eat later!
context: No! No way!\Oh, I have no idea who the man I adore is\and these scary monsters just keep showing up!\Why am I the only one who has to suffer like this?!\Usagi, sorry for making you wait!\Naru! So what is it? What do you want to show me?!\You'll just have to wait until you see it. Let's go!\Okay! Let's have something to eat later! response:	Wait, wait, wait, wait, wait!
context: Oh, I have no idea who the man I adore is\and these scary monsters just keep showing up!\Why am I the only one who has to suffer like this?!\Usagi, sorry for making you wait!\Naru! So what is it? What do you want to show me?!\You'll just have to wait until you see it. Let's go!\Okay! Let's have something to eat later!\Wait, wait, wait, wait, wait! response:	The Crescent Moon Wand is so important,
context: and these scary monsters just keep showing up!\Why am I the only one who has to suffer like this?!\Usagi, sorry for making you wait!\Naru! So what is it? What do you want to show me?!\You'll just have to wait until you see it. Let's go!\Okay! Let's have something to eat later!\Wait, wait, wait, wait, wait!\The Crescent Moon Wand is so important, response:	and she's so careless with it, I can't believe it!
context: Why am I the only one who has to suffer like this?!\Usagi, sorry for making you wait!\Naru! So what is it? What do you want to show me?!\You'll just have to wait until you see it. Let's go!\Okay! Let's have something to eat later!\Wait, wait, wait, wait, wait!\The Crescent Moon Wand is so important,\and she's so careless with it, I can't believe it! response:	Yumemi Yumeno's Exhibition
context: Usagi, sorry for making you wait!\Naru! So what is it? What do you want to show me?!\You'll just have to wait until you see it. Let's go!\Okay! Let's have something to eat later!\Wait, wait, wait, wait, wait!\The Crescent Moon Wand is so important,\and she's so careless with it, I can't believe it!\Yumemi Yumeno's Exhibition response:	Wow! They're so beautiful!
context: Naru! So what is it? What do you want to show me?!\You'll just have to wait until you see it. Let's go!\Okay! Let's have something to eat later!\Wait, wait, wait, wait, wait!\The Crescent Moon Wand is so important,\and she's so careless with it, I can't believe it!\Yumemi Yumeno's Exhibition\Wow! They're so beautiful! response:	Aren't they?!
context: You'll just have to wait until you see it. Let's go!\Okay! Let's have something to eat later!\Wait, wait, wait, wait, wait!\The Crescent Moon Wand is so important,\and she's so careless with it, I can't believe it!\Yumemi Yumeno's Exhibition\Wow! They're so beautiful!\Aren't they?! response:	Yumemi Yumeno's illustrations are really popular right now.
context: Okay! Let's have something to eat later!\Wait, wait, wait, wait, wait!\The Crescent Moon Wand is so important,\and she's so careless with it, I can't believe it!\Yumemi Yumeno's Exhibition\Wow! They're so beautiful!\Aren't they?!\Yumemi Yumeno's illustrations are really popular right now. response:	But there are only couples here.
context: Wait, wait, wait, wait, wait!\The Crescent Moon Wand is so important,\and she's so careless with it, I can't believe it!\Yumemi Yumeno's Exhibition\Wow! They're so beautiful!\Aren't they?!\Yumemi Yumeno's illustrations are really popular right now.\But there are only couples here. response:	That is because Yumemi's illustrations are illustrations of love.
context: The Crescent Moon Wand is so important,\and she's so careless with it, I can't believe it!\Yumemi Yumeno's Exhibition\Wow! They're so beautiful!\Aren't they?!\Yumemi Yumeno's illustrations are really popular right now.\But there are only couples here.\That is because Yumemi's illustrations are illustrations of love. response:	Umino!
context: and she's so careless with it, I can't believe it!\Yumemi Yumeno's Exhibition\Wow! They're so beautiful!\Aren't they?!\Yumemi Yumeno's illustrations are really popular right now.\But there are only couples here.\That is because Yumemi's illustrations are illustrations of love.\Umino! response:	Yes!
context: Yumemi Yumeno's Exhibition\Wow! They're so beautiful!\Aren't they?!\Yumemi Yumeno's illustrations are really popular right now.\But there are only couples here.\That is because Yumemi's illustrations are illustrations of love.\Umino!\Yes! response:	It's true. Yes!
context: Wow! They're so beautiful!\Aren't they?!\Yumemi Yumeno's illustrations are really popular right now.\But there are only couples here.\That is because Yumemi's illustrations are illustrations of love.\Umino!\Yes!\It's true. Yes! response:	They say having one of her illustrations
context: Aren't they?!\Yumemi Yumeno's illustrations are really popular right now.\But there are only couples here.\That is because Yumemi's illustrations are illustrations of love.\Umino!\Yes!\It's true. Yes!\They say having one of her illustrations response:	makes your romantic wishes come true!
context: Yumemi Yumeno's illustrations are really popular right now.\But there are only couples here.\That is because Yumemi's illustrations are illustrations of love.\Umino!\Yes!\It's true. Yes!\They say having one of her illustrations\makes your romantic wishes come true! response:	Yup, yup, yup, yup. Makes your romantic wishes come true!
context: But there are only couples here.\That is because Yumemi's illustrations are illustrations of love.\Umino!\Yes!\It's true. Yes!\They say having one of her illustrations\makes your romantic wishes come true!\Yup, yup, yup, yup. Makes your romantic wishes come true! response:	Yup, yup, yup, yup.
context: That is because Yumemi's illustrations are illustrations of love.\Umino!\Yes!\It's true. Yes!\They say having one of her illustrations\makes your romantic wishes come true!\Yup, yup, yup, yup. Makes your romantic wishes come true!\Yup, yup, yup, yup. response:	I'm gonna buy a poster on the way home!
context: Umino!\Yes!\It's true. Yes!\They say having one of her illustrations\makes your romantic wishes come true!\Yup, yup, yup, yup. Makes your romantic wishes come true!\Yup, yup, yup, yup.\I'm gonna buy a poster on the way home! response:	Here, look. This is supposed to be Yumemi's self-portrait.
context: Yes!\It's true. Yes!\They say having one of her illustrations\makes your romantic wishes come true!\Yup, yup, yup, yup. Makes your romantic wishes come true!\Yup, yup, yup, yup.\I'm gonna buy a poster on the way home!\Here, look. This is supposed to be Yumemi's self-portrait. response:	Wow! She's so beautiful.
context: It's true. Yes!\They say having one of her illustrations\makes your romantic wishes come true!\Yup, yup, yup, yup. Makes your romantic wishes come true!\Yup, yup, yup, yup.\I'm gonna buy a poster on the way home!\Here, look. This is supposed to be Yumemi's self-portrait.\Wow! She's so beautiful. response:	She totally fits the image of someone who draws illustrations like these.
context: They say having one of her illustrations\makes your romantic wishes come true!\Yup, yup, yup, yup. Makes your romantic wishes come true!\Yup, yup, yup, yup.\I'm gonna buy a poster on the way home!\Here, look. This is supposed to be Yumemi's self-portrait.\Wow! She's so beautiful.\She totally fits the image of someone who draws illustrations like these. response:	But the artist herself is a mysterious beauty,
context: makes your romantic wishes come true!\Yup, yup, yup, yup. Makes your romantic wishes come true!\Yup, yup, yup, yup.\I'm gonna buy a poster on the way home!\Here, look. This is supposed to be Yumemi's self-portrait.\Wow! She's so beautiful.\She totally fits the image of someone who draws illustrations like these.\But the artist herself is a mysterious beauty, response:	who never appears in public.
context: Yup, yup, yup, yup. Makes your romantic wishes come true!\Yup, yup, yup, yup.\I'm gonna buy a poster on the way home!\Here, look. This is supposed to be Yumemi's self-portrait.\Wow! She's so beautiful.\She totally fits the image of someone who draws illustrations like these.\But the artist herself is a mysterious beauty,\who never appears in public. response:	Wow, then she could actually turn out to be ugly.
context: Yup, yup, yup, yup.\I'm gonna buy a poster on the way home!\Here, look. This is supposed to be Yumemi's self-portrait.\Wow! She's so beautiful.\She totally fits the image of someone who draws illustrations like these.\But the artist herself is a mysterious beauty,\who never appears in public.\Wow, then she could actually turn out to be ugly. response:	Oh, Usagi!
context: I'm gonna buy a poster on the way home!\Here, look. This is supposed to be Yumemi's self-portrait.\Wow! She's so beautiful.\She totally fits the image of someone who draws illustrations like these.\But the artist herself is a mysterious beauty,\who never appears in public.\Wow, then she could actually turn out to be ugly.\Oh, Usagi! response:	What?
context: Here, look. This is supposed to be Yumemi's self-portrait.\Wow! She's so beautiful.\She totally fits the image of someone who draws illustrations like these.\But the artist herself is a mysterious beauty,\who never appears in public.\Wow, then she could actually turn out to be ugly.\Oh, Usagi!\What? response:	It's no good. No good. I'm not inspired at all.
context: Wow! She's so beautiful.\She totally fits the image of someone who draws illustrations like these.\But the artist herself is a mysterious beauty,\who never appears in public.\Wow, then she could actually turn out to be ugly.\Oh, Usagi!\What?\It's no good. No good. I'm not inspired at all. response:	But Yumemi hasn't put out anything new lately.
context: She totally fits the image of someone who draws illustrations like these.\But the artist herself is a mysterious beauty,\who never appears in public.\Wow, then she could actually turn out to be ugly.\Oh, Usagi!\What?\It's no good. No good. I'm not inspired at all.\But Yumemi hasn't put out anything new lately. response:	Some rumors say she's in a slump
context: But the artist herself is a mysterious beauty,\who never appears in public.\Wow, then she could actually turn out to be ugly.\Oh, Usagi!\What?\It's no good. No good. I'm not inspired at all.\But Yumemi hasn't put out anything new lately.\Some rumors say she's in a slump response:	and no one knows where she is.
context: who never appears in public.\Wow, then she could actually turn out to be ugly.\Oh, Usagi!\What?\It's no good. No good. I'm not inspired at all.\But Yumemi hasn't put out anything new lately.\Some rumors say she's in a slump\and no one knows where she is. response:	I'm right here.
context: Wow, then she could actually turn out to be ugly.\Oh, Usagi!\What?\It's no good. No good. I'm not inspired at all.\But Yumemi hasn't put out anything new lately.\Some rumors say she's in a slump\and no one knows where she is.\I'm right here. response:	Slump!
context: Oh, Usagi!\What?\It's no good. No good. I'm not inspired at all.\But Yumemi hasn't put out anything new lately.\Some rumors say she's in a slump\and no one knows where she is.\I'm right here.\Slump! response:	That's possible. Poor thing.
context: What?\It's no good. No good. I'm not inspired at all.\But Yumemi hasn't put out anything new lately.\Some rumors say she's in a slump\and no one knows where she is.\I'm right here.\Slump!\That's possible. Poor thing. response:	What's wrong, Usagi?
context: It's no good. No good. I'm not inspired at all.\But Yumemi hasn't put out anything new lately.\Some rumors say she's in a slump\and no one knows where she is.\I'm right here.\Slump!\That's possible. Poor thing.\What's wrong, Usagi? response:	I don't know, this picture just feels very nostalgic.
context: But Yumemi hasn't put out anything new lately.\Some rumors say she's in a slump\and no one knows where she is.\I'm right here.\Slump!\That's possible. Poor thing.\What's wrong, Usagi?\I don't know, this picture just feels very nostalgic. response:	Yumemi Yumeno's Exhibition
context: Some rumors say she's in a slump\and no one knows where she is.\I'm right here.\Slump!\That's possible. Poor thing.\What's wrong, Usagi?\I don't know, this picture just feels very nostalgic.\Yumemi Yumeno's Exhibition response:	Yumemi Yumeno's Exhibition This is...
context: and no one knows where she is.\I'm right here.\Slump!\That's possible. Poor thing.\What's wrong, Usagi?\I don't know, this picture just feels very nostalgic.\Yumemi Yumeno's Exhibition\Yumemi Yumeno's Exhibition This is... response:	This is...
context: I'm right here.\Slump!\That's possible. Poor thing.\What's wrong, Usagi?\I don't know, this picture just feels very nostalgic.\Yumemi Yumeno's Exhibition\Yumemi Yumeno's Exhibition This is...\This is... response:	Please find the Silver Crystal!
context: Slump!\That's possible. Poor thing.\What's wrong, Usagi?\I don't know, this picture just feels very nostalgic.\Yumemi Yumeno's Exhibition\Yumemi Yumeno's Exhibition This is...\This is...\Please find the Silver Crystal! response:	It's similar to the dream that I see all the time.
context: That's possible. Poor thing.\What's wrong, Usagi?\I don't know, this picture just feels very nostalgic.\Yumemi Yumeno's Exhibition\Yumemi Yumeno's Exhibition This is...\This is...\Please find the Silver Crystal!\It's similar to the dream that I see all the time. response:	Now, then...
context: What's wrong, Usagi?\I don't know, this picture just feels very nostalgic.\Yumemi Yumeno's Exhibition\Yumemi Yumeno's Exhibition This is...\This is...\Please find the Silver Crystal!\It's similar to the dream that I see all the time.\Now, then... response:	Come on, let's go this way next! Now, then...
context: I don't know, this picture just feels very nostalgic.\Yumemi Yumeno's Exhibition\Yumemi Yumeno's Exhibition This is...\This is...\Please find the Silver Crystal!\It's similar to the dream that I see all the time.\Now, then...\Come on, let's go this way next! Now, then... response:	Come on, let's go this way next! Hey, hey, don't pull me!
context: Yumemi Yumeno's Exhibition\Yumemi Yumeno's Exhibition This is...\This is...\Please find the Silver Crystal!\It's similar to the dream that I see all the time.\Now, then...\Come on, let's go this way next! Now, then...\Come on, let's go this way next! Hey, hey, don't pull me! response:	Hurry! Hey, hey, don't pull me!
context: Yumemi Yumeno's Exhibition This is...\This is...\Please find the Silver Crystal!\It's similar to the dream that I see all the time.\Now, then...\Come on, let's go this way next! Now, then...\Come on, let's go this way next! Hey, hey, don't pull me!\Hurry! Hey, hey, don't pull me! response:	Hurry!
context: This is...\Please find the Silver Crystal!\It's similar to the dream that I see all the time.\Now, then...\Come on, let's go this way next! Now, then...\Come on, let's go this way next! Hey, hey, don't pull me!\Hurry! Hey, hey, don't pull me!\Hurry! response:	Oh, excuse me.
context: Please find the Silver Crystal!\It's similar to the dream that I see all the time.\Now, then...\Come on, let's go this way next! Now, then...\Come on, let's go this way next! Hey, hey, don't pull me!\Hurry! Hey, hey, don't pull me!\Hurry!\Oh, excuse me. response:	My glasses... My glasses...
context: It's similar to the dream that I see all the time.\Now, then...\Come on, let's go this way next! Now, then...\Come on, let's go this way next! Hey, hey, don't pull me!\Hurry! Hey, hey, don't pull me!\Hurry!\Oh, excuse me.\My glasses... My glasses... response:	Are you all right?
context: Now, then...\Come on, let's go this way next! Now, then...\Come on, let's go this way next! Hey, hey, don't pull me!\Hurry! Hey, hey, don't pull me!\Hurry!\Oh, excuse me.\My glasses... My glasses...\Are you all right? response:	This is it! You're him!
context: Come on, let's go this way next! Now, then...\Come on, let's go this way next! Hey, hey, don't pull me!\Hurry! Hey, hey, don't pull me!\Hurry!\Oh, excuse me.\My glasses... My glasses...\Are you all right?\This is it! You're him! response:	Oh? Isn't that Motoki's friend?
context: Come on, let's go this way next! Hey, hey, don't pull me!\Hurry! Hey, hey, don't pull me!\Hurry!\Oh, excuse me.\My glasses... My glasses...\Are you all right?\This is it! You're him!\Oh? Isn't that Motoki's friend? response:	Oh! That jerk! He's with someone other than Rei!
context: Hurry! Hey, hey, don't pull me!\Hurry!\Oh, excuse me.\My glasses... My glasses...\Are you all right?\This is it! You're him!\Oh? Isn't that Motoki's friend?\Oh! That jerk! He's with someone other than Rei! response:	I can't just ignore this! Sorry, Naru, can you go home by yourself?
