context: True Calendar year 61. response:	Hurry up and catch him!
context: It's Thunder!\Another enemy attack is coming?\Tokishima Haruto.\You haven't given me an answer regarding our pact yet.\Make a pact with me, and I will save you.\Both you and this country.\I wasn't strong enough, that's why...\You're lying... It can't be... response:	Why? Why...?!
context: Another enemy attack is coming?\Tokishima Haruto.\You haven't given me an answer regarding our pact yet.\Make a pact with me, and I will save you.\Both you and this country.\I wasn't strong enough, that's why...\You're lying... It can't be...\Why? Why...?! response:	Couldn't you have protected her?
context: Tokishima Haruto.\You haven't given me an answer regarding our pact yet.\Make a pact with me, and I will save you.\Both you and this country.\I wasn't strong enough, that's why...\You're lying... It can't be...\Why? Why...?!\Couldn't you have protected her? response:	You were there, weren't you?!
context: You haven't given me an answer regarding our pact yet.\Make a pact with me, and I will save you.\Both you and this country.\I wasn't strong enough, that's why...\You're lying... It can't be...\Why? Why...?!\Couldn't you have protected her?\You were there, weren't you?! response:	Why couldn't you keep her safe?!
context: Make a pact with me, and I will save you.\Both you and this country.\I wasn't strong enough, that's why...\You're lying... It can't be...\Why? Why...?!\Couldn't you have protected her?\You were there, weren't you?!\Why couldn't you keep her safe?! response:	Senpai, please stop!
context: Both you and this country.\I wasn't strong enough, that's why...\You're lying... It can't be...\Why? Why...?!\Couldn't you have protected her?\You were there, weren't you?!\Why couldn't you keep her safe?!\Senpai, please stop! response:	But
context: I wasn't strong enough, that's why...\You're lying... It can't be...\Why? Why...?!\Couldn't you have protected her?\You were there, weren't you?!\Why couldn't you keep her safe?!\Senpai, please stop!\But response:	Aina-chan wouldn't like to see you this way, Senpai.
context: You're lying... It can't be...\Why? Why...?!\Couldn't you have protected her?\You were there, weren't you?!\Why couldn't you keep her safe?!\Senpai, please stop!\But\Aina-chan wouldn't like to see you this way, Senpai. response:	God damn it!
context: Why? Why...?!\Couldn't you have protected her?\You were there, weren't you?!\Why couldn't you keep her safe?!\Senpai, please stop!\But\Aina-chan wouldn't like to see you this way, Senpai.\God damn it! response:	Sakurai, that first-year? Seriously?
context: Couldn't you have protected her?\You were there, weren't you?!\Why couldn't you keep her safe?!\Senpai, please stop!\But\Aina-chan wouldn't like to see you this way, Senpai.\God damn it!\Sakurai, that first-year? Seriously? response:	That's what I hear.
context: You were there, weren't you?!\Why couldn't you keep her safe?!\Senpai, please stop!\But\Aina-chan wouldn't like to see you this way, Senpai.\God damn it!\Sakurai, that first-year? Seriously?\That's what I hear. response:	What's gonna happen to the rest of us?
context: Why couldn't you keep her safe?!\Senpai, please stop!\But\Aina-chan wouldn't like to see you this way, Senpai.\God damn it!\Sakurai, that first-year? Seriously?\That's what I hear.\What's gonna happen to the rest of us? response:	Hey, stop it.
context: Senpai, please stop!\But\Aina-chan wouldn't like to see you this way, Senpai.\God damn it!\Sakurai, that first-year? Seriously?\That's what I hear.\What's gonna happen to the rest of us?\Hey, stop it. response:	But, you know...
context: But\Aina-chan wouldn't like to see you this way, Senpai.\God damn it!\Sakurai, that first-year? Seriously?\That's what I hear.\What's gonna happen to the rest of us?\Hey, stop it.\But, you know... response:	It can't be helped. I mean, she did die.
context: Aina-chan wouldn't like to see you this way, Senpai.\God damn it!\Sakurai, that first-year? Seriously?\That's what I hear.\What's gonna happen to the rest of us?\Hey, stop it.\But, you know...\It can't be helped. I mean, she did die. response:	Eri...
context: God damn it!\Sakurai, that first-year? Seriously?\That's what I hear.\What's gonna happen to the rest of us?\Hey, stop it.\But, you know...\It can't be helped. I mean, she did die.\Eri... response:	You people piss me off, every last one of you.
context: Sakurai, that first-year? Seriously?\That's what I hear.\What's gonna happen to the rest of us?\Hey, stop it.\But, you know...\It can't be helped. I mean, she did die.\Eri...\You people piss me off, every last one of you. response:	Miss Sakurai...
context: That's what I hear.\What's gonna happen to the rest of us?\Hey, stop it.\But, you know...\It can't be helped. I mean, she did die.\Eri...\You people piss me off, every last one of you.\Miss Sakurai... response:	Look, you should ask someone else to do that.
context: What's gonna happen to the rest of us?\Hey, stop it.\But, you know...\It can't be helped. I mean, she did die.\Eri...\You people piss me off, every last one of you.\Miss Sakurai...\Look, you should ask someone else to do that. response:	No. I can't make the students do this.
context: Hey, stop it.\But, you know...\It can't be helped. I mean, she did die.\Eri...\You people piss me off, every last one of you.\Miss Sakurai...\Look, you should ask someone else to do that.\No. I can't make the students do this. response:	I'll help.
context: But, you know...\It can't be helped. I mean, she did die.\Eri...\You people piss me off, every last one of you.\Miss Sakurai...\Look, you should ask someone else to do that.\No. I can't make the students do this.\I'll help. response:	It was just as you indicated, Captain.
context: It can't be helped. I mean, she did die.\Eri...\You people piss me off, every last one of you.\Miss Sakurai...\Look, you should ask someone else to do that.\No. I can't make the students do this.\I'll help.\It was just as you indicated, Captain. response:	I located five completed Valvraves in the lowest level of the Module.
context: Eri...\You people piss me off, every last one of you.\Miss Sakurai...\Look, you should ask someone else to do that.\No. I can't make the students do this.\I'll help.\It was just as you indicated, Captain.\I located five completed Valvraves in the lowest level of the Module. response:	I also found several dismantled units that were either incomplete or had been abandoned.
context: You people piss me off, every last one of you.\Miss Sakurai...\Look, you should ask someone else to do that.\No. I can't make the students do this.\I'll help.\It was just as you indicated, Captain.\I located five completed Valvraves in the lowest level of the Module.\I also found several dismantled units that were either incomplete or had been abandoned. response:	A-drei. These are excellent pictures. Fine, indeed.
context: Miss Sakurai...\Look, you should ask someone else to do that.\No. I can't make the students do this.\I'll help.\It was just as you indicated, Captain.\I located five completed Valvraves in the lowest level of the Module.\I also found several dismantled units that were either incomplete or had been abandoned.\A-drei. These are excellent pictures. Fine, indeed. response:	Incidentally, about L-elf...
context: Look, you should ask someone else to do that.\No. I can't make the students do this.\I'll help.\It was just as you indicated, Captain.\I located five completed Valvraves in the lowest level of the Module.\I also found several dismantled units that were either incomplete or had been abandoned.\A-drei. These are excellent pictures. Fine, indeed.\Incidentally, about L-elf... response:	I've given him just about as much leeway as I can.
context: No. I can't make the students do this.\I'll help.\It was just as you indicated, Captain.\I located five completed Valvraves in the lowest level of the Module.\I also found several dismantled units that were either incomplete or had been abandoned.\A-drei. These are excellent pictures. Fine, indeed.\Incidentally, about L-elf...\I've given him just about as much leeway as I can. response:	I can only hold back the pre-Reformation old guard for so long.
context: I'll help.\It was just as you indicated, Captain.\I located five completed Valvraves in the lowest level of the Module.\I also found several dismantled units that were either incomplete or had been abandoned.\A-drei. These are excellent pictures. Fine, indeed.\Incidentally, about L-elf...\I've given him just about as much leeway as I can.\I can only hold back the pre-Reformation old guard for so long. response:	That's why...
context: It was just as you indicated, Captain.\I located five completed Valvraves in the lowest level of the Module.\I also found several dismantled units that were either incomplete or had been abandoned.\A-drei. These are excellent pictures. Fine, indeed.\Incidentally, about L-elf...\I've given him just about as much leeway as I can.\I can only hold back the pre-Reformation old guard for so long.\That's why... response:	this will be your final chance.
context: I located five completed Valvraves in the lowest level of the Module.\I also found several dismantled units that were either incomplete or had been abandoned.\A-drei. These are excellent pictures. Fine, indeed.\Incidentally, about L-elf...\I've given him just about as much leeway as I can.\I can only hold back the pre-Reformation old guard for so long.\That's why...\this will be your final chance. response:	Yes, sir! If I can strike a blow at the students who are holding him prisoner, L-elf will return.
context: I also found several dismantled units that were either incomplete or had been abandoned.\A-drei. These are excellent pictures. Fine, indeed.\Incidentally, about L-elf...\I've given him just about as much leeway as I can.\I can only hold back the pre-Reformation old guard for so long.\That's why...\this will be your final chance.\Yes, sir! If I can strike a blow at the students who are holding him prisoner, L-elf will return. response:	I'll leave this next operation to you.
context: A-drei. These are excellent pictures. Fine, indeed.\Incidentally, about L-elf...\I've given him just about as much leeway as I can.\I can only hold back the pre-Reformation old guard for so long.\That's why...\this will be your final chance.\Yes, sir! If I can strike a blow at the students who are holding him prisoner, L-elf will return.\I'll leave this next operation to you. response:	Someone familiar with Module 77 is the best choice.
context: Incidentally, about L-elf...\I've given him just about as much leeway as I can.\I can only hold back the pre-Reformation old guard for so long.\That's why...\this will be your final chance.\Yes, sir! If I can strike a blow at the students who are holding him prisoner, L-elf will return.\I'll leave this next operation to you.\Someone familiar with Module 77 is the best choice. response:	Sir! Thank you, sir!
context: I've given him just about as much leeway as I can.\I can only hold back the pre-Reformation old guard for so long.\That's why...\this will be your final chance.\Yes, sir! If I can strike a blow at the students who are holding him prisoner, L-elf will return.\I'll leave this next operation to you.\Someone familiar with Module 77 is the best choice.\Sir! Thank you, sir! response:	Blitzendegen.
context: I can only hold back the pre-Reformation old guard for so long.\That's why...\this will be your final chance.\Yes, sir! If I can strike a blow at the students who are holding him prisoner, L-elf will return.\I'll leave this next operation to you.\Someone familiar with Module 77 is the best choice.\Sir! Thank you, sir!\Blitzendegen. response:	Blitzendegen!
context: That's why...\this will be your final chance.\Yes, sir! If I can strike a blow at the students who are holding him prisoner, L-elf will return.\I'll leave this next operation to you.\Someone familiar with Module 77 is the best choice.\Sir! Thank you, sir!\Blitzendegen.\Blitzendegen! response:	Have that finished in 40 minutes. I know you can do it.
context: this will be your final chance.\Yes, sir! If I can strike a blow at the students who are holding him prisoner, L-elf will return.\I'll leave this next operation to you.\Someone familiar with Module 77 is the best choice.\Sir! Thank you, sir!\Blitzendegen.\Blitzendegen!\Have that finished in 40 minutes. I know you can do it. response:	You're as lovely as ever, Kriemhild my dear!
context: Yes, sir! If I can strike a blow at the students who are holding him prisoner, L-elf will return.\I'll leave this next operation to you.\Someone familiar with Module 77 is the best choice.\Sir! Thank you, sir!\Blitzendegen.\Blitzendegen!\Have that finished in 40 minutes. I know you can do it.\You're as lovely as ever, Kriemhild my dear! response:	She's our superior officer.
context: I'll leave this next operation to you.\Someone familiar with Module 77 is the best choice.\Sir! Thank you, sir!\Blitzendegen.\Blitzendegen!\Have that finished in 40 minutes. I know you can do it.\You're as lovely as ever, Kriemhild my dear!\She's our superior officer. response:	I'm a man, she's a woman.
context: Someone familiar with Module 77 is the best choice.\Sir! Thank you, sir!\Blitzendegen.\Blitzendegen!\Have that finished in 40 minutes. I know you can do it.\You're as lovely as ever, Kriemhild my dear!\She's our superior officer.\I'm a man, she's a woman. response:	No, I'm an adult, and you're a horny child.
context: Sir! Thank you, sir!\Blitzendegen.\Blitzendegen!\Have that finished in 40 minutes. I know you can do it.\You're as lovely as ever, Kriemhild my dear!\She's our superior officer.\I'm a man, she's a woman.\No, I'm an adult, and you're a horny child. response:	In that case, please make a man out of me!
context: Blitzendegen.\Blitzendegen!\Have that finished in 40 minutes. I know you can do it.\You're as lovely as ever, Kriemhild my dear!\She's our superior officer.\I'm a man, she's a woman.\No, I'm an adult, and you're a horny child.\In that case, please make a man out of me! response:	By all means!
context: Blitzendegen!\Have that finished in 40 minutes. I know you can do it.\You're as lovely as ever, Kriemhild my dear!\She's our superior officer.\I'm a man, she's a woman.\No, I'm an adult, and you're a horny child.\In that case, please make a man out of me!\By all means! response:	Drop it.
context: Have that finished in 40 minutes. I know you can do it.\You're as lovely as ever, Kriemhild my dear!\She's our superior officer.\I'm a man, she's a woman.\No, I'm an adult, and you're a horny child.\In that case, please make a man out of me!\By all means!\Drop it. response:	Why hasn't Captain Cain reported L-elf's actions?
context: You're as lovely as ever, Kriemhild my dear!\She's our superior officer.\I'm a man, she's a woman.\No, I'm an adult, and you're a horny child.\In that case, please make a man out of me!\By all means!\Drop it.\Why hasn't Captain Cain reported L-elf's actions? response:	Because it's a hassle?
context: She's our superior officer.\I'm a man, she's a woman.\No, I'm an adult, and you're a horny child.\In that case, please make a man out of me!\By all means!\Drop it.\Why hasn't Captain Cain reported L-elf's actions?\Because it's a hassle? response:	I expect it's because there isn't enough accurate information to make a proper report.
context: I'm a man, she's a woman.\No, I'm an adult, and you're a horny child.\In that case, please make a man out of me!\By all means!\Drop it.\Why hasn't Captain Cain reported L-elf's actions?\Because it's a hassle?\I expect it's because there isn't enough accurate information to make a proper report. response:	Yes... That must be it.
context: No, I'm an adult, and you're a horny child.\In that case, please make a man out of me!\By all means!\Drop it.\Why hasn't Captain Cain reported L-elf's actions?\Because it's a hassle?\I expect it's because there isn't enough accurate information to make a proper report.\Yes... That must be it. response:	I'm so sorry.
context: In that case, please make a man out of me!\By all means!\Drop it.\Why hasn't Captain Cain reported L-elf's actions?\Because it's a hassle?\I expect it's because there isn't enough accurate information to make a proper report.\Yes... That must be it.\I'm so sorry. response:	I should have realized it sooner.
context: By all means!\Drop it.\Why hasn't Captain Cain reported L-elf's actions?\Because it's a hassle?\I expect it's because there isn't enough accurate information to make a proper report.\Yes... That must be it.\I'm so sorry.\I should have realized it sooner. response:	Too much happened.
context: Drop it.\Why hasn't Captain Cain reported L-elf's actions?\Because it's a hassle?\I expect it's because there isn't enough accurate information to make a proper report.\Yes... That must be it.\I'm so sorry.\I should have realized it sooner.\Too much happened. response:	Like cooking...
context: Why hasn't Captain Cain reported L-elf's actions?\Because it's a hassle?\I expect it's because there isn't enough accurate information to make a proper report.\Yes... That must be it.\I'm so sorry.\I should have realized it sooner.\Too much happened.\Like cooking... response:	and a coup d'etat...
context: Because it's a hassle?\I expect it's because there isn't enough accurate information to make a proper report.\Yes... That must be it.\I'm so sorry.\I should have realized it sooner.\Too much happened.\Like cooking...\and a coup d'etat... response:	and the enemy attack...
context: I expect it's because there isn't enough accurate information to make a proper report.\Yes... That must be it.\I'm so sorry.\I should have realized it sooner.\Too much happened.\Like cooking...\and a coup d'etat...\and the enemy attack... response:	T-Tha... Thank...
context: Yes... That must be it.\I'm so sorry.\I should have realized it sooner.\Too much happened.\Like cooking...\and a coup d'etat...\and the enemy attack...\T-Tha... Thank... response:	I'm sorry, I told myself I wouldn't cry...
context: I'm so sorry.\I should have realized it sooner.\Too much happened.\Like cooking...\and a coup d'etat...\and the enemy attack...\T-Tha... Thank...\I'm sorry, I told myself I wouldn't cry... response:	I told, but...
context: I should have realized it sooner.\Too much happened.\Like cooking...\and a coup d'etat...\and the enemy attack...\T-Tha... Thank...\I'm sorry, I told myself I wouldn't cry...\I told, but... response:	Akira!
context: Too much happened.\Like cooking...\and a coup d'etat...\and the enemy attack...\T-Tha... Thank...\I'm sorry, I told myself I wouldn't cry...\I told, but...\Akira! response:	Sorry I'm late. It's been hectic for me, too.
context: Like cooking...\and a coup d'etat...\and the enemy attack...\T-Tha... Thank...\I'm sorry, I told myself I wouldn't cry...\I told, but...\Akira!\Sorry I'm late. It's been hectic for me, too. response:	Sashinami?
context: and a coup d'etat...\and the enemy attack...\T-Tha... Thank...\I'm sorry, I told myself I wouldn't cry...\I told, but...\Akira!\Sorry I'm late. It's been hectic for me, too.\Sashinami? response:	Don't look! Get out!
context: and the enemy attack...\T-Tha... Thank...\I'm sorry, I told myself I wouldn't cry...\I told, but...\Akira!\Sorry I'm late. It's been hectic for me, too.\Sashinami?\Don't look! Get out! response:	Why?!
context: T-Tha... Thank...\I'm sorry, I told myself I wouldn't cry...\I told, but...\Akira!\Sorry I'm late. It's been hectic for me, too.\Sashinami?\Don't look! Get out!\Why?! response:	Akira's talking to someone besides me?
context: I'm sorry, I told myself I wouldn't cry...\I told, but...\Akira!\Sorry I'm late. It's been hectic for me, too.\Sashinami?\Don't look! Get out!\Why?!\Akira's talking to someone besides me? response:	Kamitsuki?
context: I told, but...\Akira!\Sorry I'm late. It's been hectic for me, too.\Sashinami?\Don't look! Get out!\Why?!\Akira's talking to someone besides me?\Kamitsuki? response:	That's the name Aina-chan gave us.
context: Akira!\Sorry I'm late. It's been hectic for me, too.\Sashinami?\Don't look! Get out!\Why?!\Akira's talking to someone besides me?\Kamitsuki?\That's the name Aina-chan gave us. response:	She said we weren't monsters, we've been touched by God.
context: Sorry I'm late. It's been hectic for me, too.\Sashinami?\Don't look! Get out!\Why?!\Akira's talking to someone besides me?\Kamitsuki?\That's the name Aina-chan gave us.\She said we weren't monsters, we've been touched by God. response:	That's a really sweet name...
context: Sashinami?\Don't look! Get out!\Why?!\Akira's talking to someone besides me?\Kamitsuki?\That's the name Aina-chan gave us.\She said we weren't monsters, we've been touched by God.\That's a really sweet name... response:	That's so like her.
context: Don't look! Get out!\Why?!\Akira's talking to someone besides me?\Kamitsuki?\That's the name Aina-chan gave us.\She said we weren't monsters, we've been touched by God.\That's a really sweet name...\That's so like her. response:	Professor Kibukawa! Please, let me pilot a Valvrave!
context: Why?!\Akira's talking to someone besides me?\Kamitsuki?\That's the name Aina-chan gave us.\She said we weren't monsters, we've been touched by God.\That's a really sweet name...\That's so like her.\Professor Kibukawa! Please, let me pilot a Valvrave! response:	After I've made certain they're safe.
context: Akira's talking to someone besides me?\Kamitsuki?\That's the name Aina-chan gave us.\She said we weren't monsters, we've been touched by God.\That's a really sweet name...\That's so like her.\Professor Kibukawa! Please, let me pilot a Valvrave!\After I've made certain they're safe. response:	Please! I can't leave things like this!
context: Kamitsuki?\That's the name Aina-chan gave us.\She said we weren't monsters, we've been touched by God.\That's a really sweet name...\That's so like her.\Professor Kibukawa! Please, let me pilot a Valvrave!\After I've made certain they're safe.\Please! I can't leave things like this! response:	I want to avenge her!
context: That's the name Aina-chan gave us.\She said we weren't monsters, we've been touched by God.\That's a really sweet name...\That's so like her.\Professor Kibukawa! Please, let me pilot a Valvrave!\After I've made certain they're safe.\Please! I can't leave things like this!\I want to avenge her! response:	In that case, stay alive.
context: She said we weren't monsters, we've been touched by God.\That's a really sweet name...\That's so like her.\Professor Kibukawa! Please, let me pilot a Valvrave!\After I've made certain they're safe.\Please! I can't leave things like this!\I want to avenge her!\In that case, stay alive. response:	Live for her, too.
context: That's a really sweet name...\That's so like her.\Professor Kibukawa! Please, let me pilot a Valvrave!\After I've made certain they're safe.\Please! I can't leave things like this!\I want to avenge her!\In that case, stay alive.\Live for her, too. response:	Sashinami again, huh?
context: That's so like her.\Professor Kibukawa! Please, let me pilot a Valvrave!\After I've made certain they're safe.\Please! I can't leave things like this!\I want to avenge her!\In that case, stay alive.\Live for her, too.\Sashinami again, huh? response:	Just hand it over, damn it!
context: Professor Kibukawa! Please, let me pilot a Valvrave!\After I've made certain they're safe.\Please! I can't leave things like this!\I want to avenge her!\In that case, stay alive.\Live for her, too.\Sashinami again, huh?\Just hand it over, damn it! response:	We can't! Not without the Presidents permission!
context: After I've made certain they're safe.\Please! I can't leave things like this!\I want to avenge her!\In that case, stay alive.\Live for her, too.\Sashinami again, huh?\Just hand it over, damn it!\We can't! Not without the Presidents permission! response:	You're whining about permission?
context: Please! I can't leave things like this!\I want to avenge her!\In that case, stay alive.\Live for her, too.\Sashinami again, huh?\Just hand it over, damn it!\We can't! Not without the Presidents permission!\You're whining about permission? response:	We've got bigger problems!
context: I want to avenge her!\In that case, stay alive.\Live for her, too.\Sashinami again, huh?\Just hand it over, damn it!\We can't! Not without the Presidents permission!\You're whining about permission?\We've got bigger problems! response:	Please, calm down!
context: In that case, stay alive.\Live for her, too.\Sashinami again, huh?\Just hand it over, damn it!\We can't! Not without the Presidents permission!\You're whining about permission?\We've got bigger problems!\Please, calm down! response:	You expect me to be calm at a time like this?!
context: Live for her, too.\Sashinami again, huh?\Just hand it over, damn it!\We can't! Not without the Presidents permission!\You're whining about permission?\We've got bigger problems!\Please, calm down!\You expect me to be calm at a time like this?! response:	Taking out equipment without permission is prohibited!
context: Sashinami again, huh?\Just hand it over, damn it!\We can't! Not without the Presidents permission!\You're whining about permission?\We've got bigger problems!\Please, calm down!\You expect me to be calm at a time like this?!\Taking out equipment without permission is prohibited! response:	What's going on here?
context: Just hand it over, damn it!\We can't! Not without the Presidents permission!\You're whining about permission?\We've got bigger problems!\Please, calm down!\You expect me to be calm at a time like this?!\Taking out equipment without permission is prohibited!\What's going on here? response:	President, he's trying to
context: We can't! Not without the Presidents permission!\You're whining about permission?\We've got bigger problems!\Please, calm down!\You expect me to be calm at a time like this?!\Taking out equipment without permission is prohibited!\What's going on here?\President, he's trying to response:	The ARUS fleet got taken out!
context: You're whining about permission?\We've got bigger problems!\Please, calm down!\You expect me to be calm at a time like this?!\Taking out equipment without permission is prohibited!\What's going on here?\President, he's trying to\The ARUS fleet got taken out! response:	So we have no choice but to fight, right?
context: We've got bigger problems!\Please, calm down!\You expect me to be calm at a time like this?!\Taking out equipment without permission is prohibited!\What's going on here?\President, he's trying to\The ARUS fleet got taken out!\So we have no choice but to fight, right? response:	Do you want even more of our buddies to die?!
context: Please, calm down!\You expect me to be calm at a time like this?!\Taking out equipment without permission is prohibited!\What's going on here?\President, he's trying to\The ARUS fleet got taken out!\So we have no choice but to fight, right?\Do you want even more of our buddies to die?! response:	We're students. We can't fight a war.
context: You expect me to be calm at a time like this?!\Taking out equipment without permission is prohibited!\What's going on here?\President, he's trying to\The ARUS fleet got taken out!\So we have no choice but to fight, right?\Do you want even more of our buddies to die?!\We're students. We can't fight a war. response:	Besides, JIOR law prohibits its citizens from carrying guns.
context: Taking out equipment without permission is prohibited!\What's going on here?\President, he's trying to\The ARUS fleet got taken out!\So we have no choice but to fight, right?\Do you want even more of our buddies to die?!\We're students. We can't fight a war.\Besides, JIOR law prohibits its citizens from carrying guns. response:	Are you some kind of moron?
context: What's going on here?\President, he's trying to\The ARUS fleet got taken out!\So we have no choice but to fight, right?\Do you want even more of our buddies to die?!\We're students. We can't fight a war.\Besides, JIOR law prohibits its citizens from carrying guns.\Are you some kind of moron? response:	We're under enemy attack!
context: President, he's trying to\The ARUS fleet got taken out!\So we have no choice but to fight, right?\Do you want even more of our buddies to die?!\We're students. We can't fight a war.\Besides, JIOR law prohibits its citizens from carrying guns.\Are you some kind of moron?\We're under enemy attack! response:	Our buddies are dying!
context: The ARUS fleet got taken out!\So we have no choice but to fight, right?\Do you want even more of our buddies to die?!\We're students. We can't fight a war.\Besides, JIOR law prohibits its citizens from carrying guns.\Are you some kind of moron?\We're under enemy attack!\Our buddies are dying! response:	If we fight, even more will die.
context: So we have no choice but to fight, right?\Do you want even more of our buddies to die?!\We're students. We can't fight a war.\Besides, JIOR law prohibits its citizens from carrying guns.\Are you some kind of moron?\We're under enemy attack!\Our buddies are dying!\If we fight, even more will die. response:	Everyone, it's the Dorssians!
context: Do you want even more of our buddies to die?!\We're students. We can't fight a war.\Besides, JIOR law prohibits its citizens from carrying guns.\Are you some kind of moron?\We're under enemy attack!\Our buddies are dying!\If we fight, even more will die.\Everyone, it's the Dorssians! response:	Return to the school building and take up the stations we decided on earlier.
context: We're students. We can't fight a war.\Besides, JIOR law prohibits its citizens from carrying guns.\Are you some kind of moron?\We're under enemy attack!\Our buddies are dying!\If we fight, even more will die.\Everyone, it's the Dorssians!\Return to the school building and take up the stations we decided on earlier. response:	I repeat, return to the school and take up the positions we decided on earlier!
context: Besides, JIOR law prohibits its citizens from carrying guns.\Are you some kind of moron?\We're under enemy attack!\Our buddies are dying!\If we fight, even more will die.\Everyone, it's the Dorssians!\Return to the school building and take up the stations we decided on earlier.\I repeat, return to the school and take up the positions we decided on earlier! response:	We're all counting on you, Haruto!
context: Are you some kind of moron?\We're under enemy attack!\Our buddies are dying!\If we fight, even more will die.\Everyone, it's the Dorssians!\Return to the school building and take up the stations we decided on earlier.\I repeat, return to the school and take up the positions we decided on earlier!\We're all counting on you, Haruto! response:	Tokishima Haruto. Valvrave, box out!
