context: Hey, Natsu... Our guild's gained a lot of members. response:	There's Lucy... And then Gajeel and Juvia, right?
context: Already searching for your next job?\You've pretty much gotten used to the work here, Wendy.\You say that, but she's only taken simple jobs located here in the city!\Hey, Carla!\I think that doing a bunch of small jobs to gain experience is important.\But shouldn't you try doin' a big job pretty soon?\Yeah. Like a request from a distant town.\I want to be able to do big jobs soon, and be of help to everyone! response:	Wendy's First Big Job!
context: You've pretty much gotten used to the work here, Wendy.\You say that, but she's only taken simple jobs located here in the city!\Hey, Carla!\I think that doing a bunch of small jobs to gain experience is important.\But shouldn't you try doin' a big job pretty soon?\Yeah. Like a request from a distant town.\I want to be able to do big jobs soon, and be of help to everyone!\Wendy's First Big Job! response:	Be of help to everyone, eh?
context: You say that, but she's only taken simple jobs located here in the city!\Hey, Carla!\I think that doing a bunch of small jobs to gain experience is important.\But shouldn't you try doin' a big job pretty soon?\Yeah. Like a request from a distant town.\I want to be able to do big jobs soon, and be of help to everyone!\Wendy's First Big Job!\Be of help to everyone, eh? response:	Good luck!
context: Hey, Carla!\I think that doing a bunch of small jobs to gain experience is important.\But shouldn't you try doin' a big job pretty soon?\Yeah. Like a request from a distant town.\I want to be able to do big jobs soon, and be of help to everyone!\Wendy's First Big Job!\Be of help to everyone, eh?\Good luck! response:	Seeing her so honest and brave hearted... Can't help but cheer her on.
context: I think that doing a bunch of small jobs to gain experience is important.\But shouldn't you try doin' a big job pretty soon?\Yeah. Like a request from a distant town.\I want to be able to do big jobs soon, and be of help to everyone!\Wendy's First Big Job!\Be of help to everyone, eh?\Good luck!\Seeing her so honest and brave hearted... Can't help but cheer her on. response:	I will do my best!
context: But shouldn't you try doin' a big job pretty soon?\Yeah. Like a request from a distant town.\I want to be able to do big jobs soon, and be of help to everyone!\Wendy's First Big Job!\Be of help to everyone, eh?\Good luck!\Seeing her so honest and brave hearted... Can't help but cheer her on.\I will do my best! response:	You should learn from her example, Lucy.
context: Yeah. Like a request from a distant town.\I want to be able to do big jobs soon, and be of help to everyone!\Wendy's First Big Job!\Be of help to everyone, eh?\Good luck!\Seeing her so honest and brave hearted... Can't help but cheer her on.\I will do my best!\You should learn from her example, Lucy. response:	I'm honest and brave hearted too, you know!
context: I want to be able to do big jobs soon, and be of help to everyone!\Wendy's First Big Job!\Be of help to everyone, eh?\Good luck!\Seeing her so honest and brave hearted... Can't help but cheer her on.\I will do my best!\You should learn from her example, Lucy.\I'm honest and brave hearted too, you know! response:	Huh? Like, how?
context: Wendy's First Big Job!\Be of help to everyone, eh?\Good luck!\Seeing her so honest and brave hearted... Can't help but cheer her on.\I will do my best!\You should learn from her example, Lucy.\I'm honest and brave hearted too, you know!\Huh? Like, how? response:	I'm totally honest and brave!
context: Be of help to everyone, eh?\Good luck!\Seeing her so honest and brave hearted... Can't help but cheer her on.\I will do my best!\You should learn from her example, Lucy.\I'm honest and brave hearted too, you know!\Huh? Like, how?\I'm totally honest and brave! response:	My entire body is concentrated honesty and bravery!
context: Good luck!\Seeing her so honest and brave hearted... Can't help but cheer her on.\I will do my best!\You should learn from her example, Lucy.\I'm honest and brave hearted too, you know!\Huh? Like, how?\I'm totally honest and brave!\My entire body is concentrated honesty and bravery! response:	Honest?
context: Seeing her so honest and brave hearted... Can't help but cheer her on.\I will do my best!\You should learn from her example, Lucy.\I'm honest and brave hearted too, you know!\Huh? Like, how?\I'm totally honest and brave!\My entire body is concentrated honesty and bravery!\Honest? response:	Brave?
context: I will do my best!\You should learn from her example, Lucy.\I'm honest and brave hearted too, you know!\Huh? Like, how?\I'm totally honest and brave!\My entire body is concentrated honesty and bravery!\Honest?\Brave? response:	Why, you...
context: You should learn from her example, Lucy.\I'm honest and brave hearted too, you know!\Huh? Like, how?\I'm totally honest and brave!\My entire body is concentrated honesty and bravery!\Honest?\Brave?\Why, you... response:	But I bet that the ones out aways will be surprised
context: I'm honest and brave hearted too, you know!\Huh? Like, how?\I'm totally honest and brave!\My entire body is concentrated honesty and bravery!\Honest?\Brave?\Why, you...\But I bet that the ones out aways will be surprised response:	there's such a little girl here when they get back.
context: Huh? Like, how?\I'm totally honest and brave!\My entire body is concentrated honesty and bravery!\Honest?\Brave?\Why, you...\But I bet that the ones out aways will be surprised\there's such a little girl here when they get back. response:	No kidding... Like Gildarts.
context: I'm totally honest and brave!\My entire body is concentrated honesty and bravery!\Honest?\Brave?\Why, you...\But I bet that the ones out aways will be surprised\there's such a little girl here when they get back.\No kidding... Like Gildarts. response:	Gildarts, huh?
context: My entire body is concentrated honesty and bravery!\Honest?\Brave?\Why, you...\But I bet that the ones out aways will be surprised\there's such a little girl here when they get back.\No kidding... Like Gildarts.\Gildarts, huh? response:	Haven't heard a peep about him, as usual.
context: Honest?\Brave?\Why, you...\But I bet that the ones out aways will be surprised\there's such a little girl here when they get back.\No kidding... Like Gildarts.\Gildarts, huh?\Haven't heard a peep about him, as usual. response:	How many years has it been since he went on that job?
context: Brave?\Why, you...\But I bet that the ones out aways will be surprised\there's such a little girl here when they get back.\No kidding... Like Gildarts.\Gildarts, huh?\Haven't heard a peep about him, as usual.\How many years has it been since he went on that job? response:	Three years... I think?
context: Why, you...\But I bet that the ones out aways will be surprised\there's such a little girl here when they get back.\No kidding... Like Gildarts.\Gildarts, huh?\Haven't heard a peep about him, as usual.\How many years has it been since he went on that job?\Three years... I think? response:	There's no need to worry.
context: But I bet that the ones out aways will be surprised\there's such a little girl here when they get back.\No kidding... Like Gildarts.\Gildarts, huh?\Haven't heard a peep about him, as usual.\How many years has it been since he went on that job?\Three years... I think?\There's no need to worry. response:	This isn't someone like us we're talking about... It's Gildarts, you know?
context: there's such a little girl here when they get back.\No kidding... Like Gildarts.\Gildarts, huh?\Haven't heard a peep about him, as usual.\How many years has it been since he went on that job?\Three years... I think?\There's no need to worry.\This isn't someone like us we're talking about... It's Gildarts, you know? response:	Yeah, definitely. He's in a league of his own.
context: No kidding... Like Gildarts.\Gildarts, huh?\Haven't heard a peep about him, as usual.\How many years has it been since he went on that job?\Three years... I think?\There's no need to worry.\This isn't someone like us we're talking about... It's Gildarts, you know?\Yeah, definitely. He's in a league of his own. response:	Now that you mention it, I have a perfect job for you.
context: Gildarts, huh?\Haven't heard a peep about him, as usual.\How many years has it been since he went on that job?\Three years... I think?\There's no need to worry.\This isn't someone like us we're talking about... It's Gildarts, you know?\Yeah, definitely. He's in a league of his own.\Now that you mention it, I have a perfect job for you. response:	It says they're searching for a wizard that can heal the spirit...
context: Haven't heard a peep about him, as usual.\How many years has it been since he went on that job?\Three years... I think?\There's no need to worry.\This isn't someone like us we're talking about... It's Gildarts, you know?\Yeah, definitely. He's in a league of his own.\Now that you mention it, I have a perfect job for you.\It says they're searching for a wizard that can heal the spirit... response:	The reward is only so-so, but don't you think it's perfect?
context: How many years has it been since he went on that job?\Three years... I think?\There's no need to worry.\This isn't someone like us we're talking about... It's Gildarts, you know?\Yeah, definitely. He's in a league of his own.\Now that you mention it, I have a perfect job for you.\It says they're searching for a wizard that can heal the spirit...\The reward is only so-so, but don't you think it's perfect? response:	Let's see here... The town of Onibus?
context: Three years... I think?\There's no need to worry.\This isn't someone like us we're talking about... It's Gildarts, you know?\Yeah, definitely. He's in a league of his own.\Now that you mention it, I have a perfect job for you.\It says they're searching for a wizard that can heal the spirit...\The reward is only so-so, but don't you think it's perfect?\Let's see here... The town of Onibus? response:	What kind of request is it?
context: There's no need to worry.\This isn't someone like us we're talking about... It's Gildarts, you know?\Yeah, definitely. He's in a league of his own.\Now that you mention it, I have a perfect job for you.\It says they're searching for a wizard that can heal the spirit...\The reward is only so-so, but don't you think it's perfect?\Let's see here... The town of Onibus?\What kind of request is it? response:	Um...
context: This isn't someone like us we're talking about... It's Gildarts, you know?\Yeah, definitely. He's in a league of his own.\Now that you mention it, I have a perfect job for you.\It says they're searching for a wizard that can heal the spirit...\The reward is only so-so, but don't you think it's perfect?\Let's see here... The town of Onibus?\What kind of request is it?\Um... response:	Thank you very much?
context: Yeah, definitely. He's in a league of his own.\Now that you mention it, I have a perfect job for you.\It says they're searching for a wizard that can heal the spirit...\The reward is only so-so, but don't you think it's perfect?\Let's see here... The town of Onibus?\What kind of request is it?\Um...\Thank you very much? response:	So that's where this is going?
context: Now that you mention it, I have a perfect job for you.\It says they're searching for a wizard that can heal the spirit...\The reward is only so-so, but don't you think it's perfect?\Let's see here... The town of Onibus?\What kind of request is it?\Um...\Thank you very much?\So that's where this is going? response:	I remember! It's all coming back to me now!
context: It says they're searching for a wizard that can heal the spirit...\The reward is only so-so, but don't you think it's perfect?\Let's see here... The town of Onibus?\What kind of request is it?\Um...\Thank you very much?\So that's where this is going?\I remember! It's all coming back to me now! response:	The play's actors have all run away, and the performances have been a series of failures...
context: The reward is only so-so, but don't you think it's perfect?\Let's see here... The town of Onibus?\What kind of request is it?\Um...\Thank you very much?\So that's where this is going?\I remember! It's all coming back to me now!\The play's actors have all run away, and the performances have been a series of failures... response:	My spirit and body are completely worn out. Please make me feel better!
context: Let's see here... The town of Onibus?\What kind of request is it?\Um...\Thank you very much?\So that's where this is going?\I remember! It's all coming back to me now!\The play's actors have all run away, and the performances have been a series of failures...\My spirit and body are completely worn out. Please make me feel better! response:	Thank you very much.
context: What kind of request is it?\Um...\Thank you very much?\So that's where this is going?\I remember! It's all coming back to me now!\The play's actors have all run away, and the performances have been a series of failures...\My spirit and body are completely worn out. Please make me feel better!\Thank you very much. response:	Rabian.
context: Um...\Thank you very much?\So that's where this is going?\I remember! It's all coming back to me now!\The play's actors have all run away, and the performances have been a series of failures...\My spirit and body are completely worn out. Please make me feel better!\Thank you very much.\Rabian. response:	Rabian? Who's that again?
context: Thank you very much?\So that's where this is going?\I remember! It's all coming back to me now!\The play's actors have all run away, and the performances have been a series of failures...\My spirit and body are completely worn out. Please make me feel better!\Thank you very much.\Rabian.\Rabian? Who's that again? response:	He's the head of that Scheherazade drama troupe!
context: So that's where this is going?\I remember! It's all coming back to me now!\The play's actors have all run away, and the performances have been a series of failures...\My spirit and body are completely worn out. Please make me feel better!\Thank you very much.\Rabian.\Rabian? Who's that again?\He's the head of that Scheherazade drama troupe! response:	Remember the play we put on before?
context: I remember! It's all coming back to me now!\The play's actors have all run away, and the performances have been a series of failures...\My spirit and body are completely worn out. Please make me feel better!\Thank you very much.\Rabian.\Rabian? Who's that again?\He's the head of that Scheherazade drama troupe!\Remember the play we put on before? response:	Frederick and Yanderica!
context: The play's actors have all run away, and the performances have been a series of failures...\My spirit and body are completely worn out. Please make me feel better!\Thank you very much.\Rabian.\Rabian? Who's that again?\He's the head of that Scheherazade drama troupe!\Remember the play we put on before?\Frederick and Yanderica! response:	Wendy... I don't mean this in a bad way, but don't do it.
context: My spirit and body are completely worn out. Please make me feel better!\Thank you very much.\Rabian.\Rabian? Who's that again?\He's the head of that Scheherazade drama troupe!\Remember the play we put on before?\Frederick and Yanderica!\Wendy... I don't mean this in a bad way, but don't do it. response:	He works you to the bone!
context: Thank you very much.\Rabian.\Rabian? Who's that again?\He's the head of that Scheherazade drama troupe!\Remember the play we put on before?\Frederick and Yanderica!\Wendy... I don't mean this in a bad way, but don't do it.\He works you to the bone! response:	It was low pay, and serious labor! Plus, we couldn't even go home!
context: Rabian.\Rabian? Who's that again?\He's the head of that Scheherazade drama troupe!\Remember the play we put on before?\Frederick and Yanderica!\Wendy... I don't mean this in a bad way, but don't do it.\He works you to the bone!\It was low pay, and serious labor! Plus, we couldn't even go home! response:	I'm also against it. You don't have to do that kind of job...
context: Rabian? Who's that again?\He's the head of that Scheherazade drama troupe!\Remember the play we put on before?\Frederick and Yanderica!\Wendy... I don't mean this in a bad way, but don't do it.\He works you to the bone!\It was low pay, and serious labor! Plus, we couldn't even go home!\I'm also against it. You don't have to do that kind of job... response:	Plus, I have a bad feeling about this.
context: He's the head of that Scheherazade drama troupe!\Remember the play we put on before?\Frederick and Yanderica!\Wendy... I don't mean this in a bad way, but don't do it.\He works you to the bone!\It was low pay, and serious labor! Plus, we couldn't even go home!\I'm also against it. You don't have to do that kind of job...\Plus, I have a bad feeling about this. response:	Your intuition is usually right, Carla, but if I can be of help...
context: Remember the play we put on before?\Frederick and Yanderica!\Wendy... I don't mean this in a bad way, but don't do it.\He works you to the bone!\It was low pay, and serious labor! Plus, we couldn't even go home!\I'm also against it. You don't have to do that kind of job...\Plus, I have a bad feeling about this.\Your intuition is usually right, Carla, but if I can be of help... response:	You're good-natured to a fault!
context: Frederick and Yanderica!\Wendy... I don't mean this in a bad way, but don't do it.\He works you to the bone!\It was low pay, and serious labor! Plus, we couldn't even go home!\I'm also against it. You don't have to do that kind of job...\Plus, I have a bad feeling about this.\Your intuition is usually right, Carla, but if I can be of help...\You're good-natured to a fault! response:	Anyway, you can't handle going to a town you've never been to and taking on a big job like this.
context: Wendy... I don't mean this in a bad way, but don't do it.\He works you to the bone!\It was low pay, and serious labor! Plus, we couldn't even go home!\I'm also against it. You don't have to do that kind of job...\Plus, I have a bad feeling about this.\Your intuition is usually right, Carla, but if I can be of help...\You're good-natured to a fault!\Anyway, you can't handle going to a town you've never been to and taking on a big job like this. response:	That's not true! I'm going to answer this request, you'll see!
context: He works you to the bone!\It was low pay, and serious labor! Plus, we couldn't even go home!\I'm also against it. You don't have to do that kind of job...\Plus, I have a bad feeling about this.\Your intuition is usually right, Carla, but if I can be of help...\You're good-natured to a fault!\Anyway, you can't handle going to a town you've never been to and taking on a big job like this.\That's not true! I'm going to answer this request, you'll see! response:	Fine then, suit yourself.
context: It was low pay, and serious labor! Plus, we couldn't even go home!\I'm also against it. You don't have to do that kind of job...\Plus, I have a bad feeling about this.\Your intuition is usually right, Carla, but if I can be of help...\You're good-natured to a fault!\Anyway, you can't handle going to a town you've never been to and taking on a big job like this.\That's not true! I'm going to answer this request, you'll see!\Fine then, suit yourself. response:	I'm not coming with you.
context: I'm also against it. You don't have to do that kind of job...\Plus, I have a bad feeling about this.\Your intuition is usually right, Carla, but if I can be of help...\You're good-natured to a fault!\Anyway, you can't handle going to a town you've never been to and taking on a big job like this.\That's not true! I'm going to answer this request, you'll see!\Fine then, suit yourself.\I'm not coming with you. response:	Hey, hold it. Why are you two fighting?
context: Plus, I have a bad feeling about this.\Your intuition is usually right, Carla, but if I can be of help...\You're good-natured to a fault!\Anyway, you can't handle going to a town you've never been to and taking on a big job like this.\That's not true! I'm going to answer this request, you'll see!\Fine then, suit yourself.\I'm not coming with you.\Hey, hold it. Why are you two fighting? response:	Do you really need to be so prickly all the time, Carla?
context: Your intuition is usually right, Carla, but if I can be of help...\You're good-natured to a fault!\Anyway, you can't handle going to a town you've never been to and taking on a big job like this.\That's not true! I'm going to answer this request, you'll see!\Fine then, suit yourself.\I'm not coming with you.\Hey, hold it. Why are you two fighting?\Do you really need to be so prickly all the time, Carla? response:	I will take on this job!
context: You're good-natured to a fault!\Anyway, you can't handle going to a town you've never been to and taking on a big job like this.\That's not true! I'm going to answer this request, you'll see!\Fine then, suit yourself.\I'm not coming with you.\Hey, hold it. Why are you two fighting?\Do you really need to be so prickly all the time, Carla?\I will take on this job! response:	Wait a minute. You're not planning on going alone, are you?
context: Anyway, you can't handle going to a town you've never been to and taking on a big job like this.\That's not true! I'm going to answer this request, you'll see!\Fine then, suit yourself.\I'm not coming with you.\Hey, hold it. Why are you two fighting?\Do you really need to be so prickly all the time, Carla?\I will take on this job!\Wait a minute. You're not planning on going alone, are you? response:	Yes! It'll be more good experience.
context: That's not true! I'm going to answer this request, you'll see!\Fine then, suit yourself.\I'm not coming with you.\Hey, hold it. Why are you two fighting?\Do you really need to be so prickly all the time, Carla?\I will take on this job!\Wait a minute. You're not planning on going alone, are you?\Yes! It'll be more good experience. response:	Hold up there!
context: Fine then, suit yourself.\I'm not coming with you.\Hey, hold it. Why are you two fighting?\Do you really need to be so prickly all the time, Carla?\I will take on this job!\Wait a minute. You're not planning on going alone, are you?\Yes! It'll be more good experience.\Hold up there! response:	Wendy, you've only just gotten used to how we do things here.
context: I'm not coming with you.\Hey, hold it. Why are you two fighting?\Do you really need to be so prickly all the time, Carla?\I will take on this job!\Wait a minute. You're not planning on going alone, are you?\Yes! It'll be more good experience.\Hold up there!\Wendy, you've only just gotten used to how we do things here. response:	I can't let you go on some far-off request alone!
context: Hey, hold it. Why are you two fighting?\Do you really need to be so prickly all the time, Carla?\I will take on this job!\Wait a minute. You're not planning on going alone, are you?\Yes! It'll be more good experience.\Hold up there!\Wendy, you've only just gotten used to how we do things here.\I can't let you go on some far-off request alone! response:	Who's been there before?
context: Do you really need to be so prickly all the time, Carla?\I will take on this job!\Wait a minute. You're not planning on going alone, are you?\Yes! It'll be more good experience.\Hold up there!\Wendy, you've only just gotten used to how we do things here.\I can't let you go on some far-off request alone!\Who's been there before? response:	Let me see... Happy!
context: I will take on this job!\Wait a minute. You're not planning on going alone, are you?\Yes! It'll be more good experience.\Hold up there!\Wendy, you've only just gotten used to how we do things here.\I can't let you go on some far-off request alone!\Who's been there before?\Let me see... Happy! response:	Me?
context: Wait a minute. You're not planning on going alone, are you?\Yes! It'll be more good experience.\Hold up there!\Wendy, you've only just gotten used to how we do things here.\I can't let you go on some far-off request alone!\Who's been there before?\Let me see... Happy!\Me? response:	And... Freed!
context: Yes! It'll be more good experience.\Hold up there!\Wendy, you've only just gotten used to how we do things here.\I can't let you go on some far-off request alone!\Who's been there before?\Let me see... Happy!\Me?\And... Freed! response:	You look like you're free. Go with her.
context: Hold up there!\Wendy, you've only just gotten used to how we do things here.\I can't let you go on some far-off request alone!\Who's been there before?\Let me see... Happy!\Me?\And... Freed!\You look like you're free. Go with her. response:	If that is your order, Master...
context: Wendy, you've only just gotten used to how we do things here.\I can't let you go on some far-off request alone!\Who's been there before?\Let me see... Happy!\Me?\And... Freed!\You look like you're free. Go with her.\If that is your order, Master... response:	Why Freed?!
context: I can't let you go on some far-off request alone!\Who's been there before?\Let me see... Happy!\Me?\And... Freed!\You look like you're free. Go with her.\If that is your order, Master...\Why Freed?! response:	Okay, I'm heading out now!
context: Who's been there before?\Let me see... Happy!\Me?\And... Freed!\You look like you're free. Go with her.\If that is your order, Master...\Why Freed?!\Okay, I'm heading out now! response:	Be careful, seriously.
context: Let me see... Happy!\Me?\And... Freed!\You look like you're free. Go with her.\If that is your order, Master...\Why Freed?!\Okay, I'm heading out now!\Be careful, seriously. response:	Freed, make sure to protect Wendy, got it?
context: Me?\And... Freed!\You look like you're free. Go with her.\If that is your order, Master...\Why Freed?!\Okay, I'm heading out now!\Be careful, seriously.\Freed, make sure to protect Wendy, got it? response:	You needn't worry. Leave everything to me.
context: And... Freed!\You look like you're free. Go with her.\If that is your order, Master...\Why Freed?!\Okay, I'm heading out now!\Be careful, seriously.\Freed, make sure to protect Wendy, got it?\You needn't worry. Leave everything to me. response:	Don't do anything unless needed.
context: You look like you're free. Go with her.\If that is your order, Master...\Why Freed?!\Okay, I'm heading out now!\Be careful, seriously.\Freed, make sure to protect Wendy, got it?\You needn't worry. Leave everything to me.\Don't do anything unless needed. response:	This is for Wendy's education, after all.
context: If that is your order, Master...\Why Freed?!\Okay, I'm heading out now!\Be careful, seriously.\Freed, make sure to protect Wendy, got it?\You needn't worry. Leave everything to me.\Don't do anything unless needed.\This is for Wendy's education, after all. response:	Aye, sir...
context: Why Freed?!\Okay, I'm heading out now!\Be careful, seriously.\Freed, make sure to protect Wendy, got it?\You needn't worry. Leave everything to me.\Don't do anything unless needed.\This is for Wendy's education, after all.\Aye, sir... response:	Will she really be okay?
context: Okay, I'm heading out now!\Be careful, seriously.\Freed, make sure to protect Wendy, got it?\You needn't worry. Leave everything to me.\Don't do anything unless needed.\This is for Wendy's education, after all.\Aye, sir...\Will she really be okay? response:	Since Freed's with her, there shouldn't be anything to worry about, but...
context: Be careful, seriously.\Freed, make sure to protect Wendy, got it?\You needn't worry. Leave everything to me.\Don't do anything unless needed.\This is for Wendy's education, after all.\Aye, sir...\Will she really be okay?\Since Freed's with her, there shouldn't be anything to worry about, but... response:	But he's oddly inflexible about things... He does things his own way, you know?
context: Freed, make sure to protect Wendy, got it?\You needn't worry. Leave everything to me.\Don't do anything unless needed.\This is for Wendy's education, after all.\Aye, sir...\Will she really be okay?\Since Freed's with her, there shouldn't be anything to worry about, but...\But he's oddly inflexible about things... He does things his own way, you know? response:	The train to Onibus is not running due to a breakdown!
context: You needn't worry. Leave everything to me.\Don't do anything unless needed.\This is for Wendy's education, after all.\Aye, sir...\Will she really be okay?\Since Freed's with her, there shouldn't be anything to worry about, but...\But he's oddly inflexible about things... He does things his own way, you know?\The train to Onibus is not running due to a breakdown! response:	Let me repeat: The train to Onibus is not running!
context: Don't do anything unless needed.\This is for Wendy's education, after all.\Aye, sir...\Will she really be okay?\Since Freed's with her, there shouldn't be anything to worry about, but...\But he's oddly inflexible about things... He does things his own way, you know?\The train to Onibus is not running due to a breakdown!\Let me repeat: The train to Onibus is not running! response:	Looks like you get a challenge right off the bat.
context: This is for Wendy's education, after all.\Aye, sir...\Will she really be okay?\Since Freed's with her, there shouldn't be anything to worry about, but...\But he's oddly inflexible about things... He does things his own way, you know?\The train to Onibus is not running due to a breakdown!\Let me repeat: The train to Onibus is not running!\Looks like you get a challenge right off the bat. response:	What'll you do, Wendy?
context: Aye, sir...\Will she really be okay?\Since Freed's with her, there shouldn't be anything to worry about, but...\But he's oddly inflexible about things... He does things his own way, you know?\The train to Onibus is not running due to a breakdown!\Let me repeat: The train to Onibus is not running!\Looks like you get a challenge right off the bat.\What'll you do, Wendy? response:	I can fly, see... How about I fly you there?
context: Will she really be okay?\Since Freed's with her, there shouldn't be anything to worry about, but...\But he's oddly inflexible about things... He does things his own way, you know?\The train to Onibus is not running due to a breakdown!\Let me repeat: The train to Onibus is not running!\Looks like you get a challenge right off the bat.\What'll you do, Wendy?\I can fly, see... How about I fly you there? response:	No... I want to do this job as much as I can myself.
context: Since Freed's with her, there shouldn't be anything to worry about, but...\But he's oddly inflexible about things... He does things his own way, you know?\The train to Onibus is not running due to a breakdown!\Let me repeat: The train to Onibus is not running!\Looks like you get a challenge right off the bat.\What'll you do, Wendy?\I can fly, see... How about I fly you there?\No... I want to do this job as much as I can myself. response:	So... I'm thinking about walking to Onibus!
context: But he's oddly inflexible about things... He does things his own way, you know?\The train to Onibus is not running due to a breakdown!\Let me repeat: The train to Onibus is not running!\Looks like you get a challenge right off the bat.\What'll you do, Wendy?\I can fly, see... How about I fly you there?\No... I want to do this job as much as I can myself.\So... I'm thinking about walking to Onibus! response:	That's gonna take a really long time!
context: The train to Onibus is not running due to a breakdown!\Let me repeat: The train to Onibus is not running!\Looks like you get a challenge right off the bat.\What'll you do, Wendy?\I can fly, see... How about I fly you there?\No... I want to do this job as much as I can myself.\So... I'm thinking about walking to Onibus!\That's gonna take a really long time! response:	Freed, stop her!
context: Let me repeat: The train to Onibus is not running!\Looks like you get a challenge right off the bat.\What'll you do, Wendy?\I can fly, see... How about I fly you there?\No... I want to do this job as much as I can myself.\So... I'm thinking about walking to Onibus!\That's gonna take a really long time!\Freed, stop her! response:	It is as you say.
context: Looks like you get a challenge right off the bat.\What'll you do, Wendy?\I can fly, see... How about I fly you there?\No... I want to do this job as much as I can myself.\So... I'm thinking about walking to Onibus!\That's gonna take a really long time!\Freed, stop her!\It is as you say. response:	See what Freed said?
context: What'll you do, Wendy?\I can fly, see... How about I fly you there?\No... I want to do this job as much as I can myself.\So... I'm thinking about walking to Onibus!\That's gonna take a really long time!\Freed, stop her!\It is as you say.\See what Freed said? response:	I will also walk.
context: I can fly, see... How about I fly you there?\No... I want to do this job as much as I can myself.\So... I'm thinking about walking to Onibus!\That's gonna take a really long time!\Freed, stop her!\It is as you say.\See what Freed said?\I will also walk. response:	I will respect Wendy's wishes for this job.
context: No... I want to do this job as much as I can myself.\So... I'm thinking about walking to Onibus!\That's gonna take a really long time!\Freed, stop her!\It is as you say.\See what Freed said?\I will also walk.\I will respect Wendy's wishes for this job. response:	It is what the Master said, and therefore a rule.
context: So... I'm thinking about walking to Onibus!\That's gonna take a really long time!\Freed, stop her!\It is as you say.\See what Freed said?\I will also walk.\I will respect Wendy's wishes for this job.\It is what the Master said, and therefore a rule. response:	I must obey the rules.
