context: Once upon a time, there was a princess who was held captive. response:	She was imprisoned in the demon king's castle.
context: One day, a hero came to fight the demon king, seeking to save the princess.\However, there was no way the hero could win against the demon king.\The hero did not know, you see,\that he himself was a puppet created by the demon king.\Fakir!\TUTU!\Marionette\Where am I? response:	Gears?
context: However, there was no way the hero could win against the demon king.\The hero did not know, you see,\that he himself was a puppet created by the demon king.\Fakir!\TUTU!\Marionette\Where am I?\Gears? response:	Why are they all stopped?
context: The hero did not know, you see,\that he himself was a puppet created by the demon king.\Fakir!\TUTU!\Marionette\Where am I?\Gears?\Why are they all stopped? response:	What am I doing in a place like this?
context: that he himself was a puppet created by the demon king.\Fakir!\TUTU!\Marionette\Where am I?\Gears?\Why are they all stopped?\What am I doing in a place like this? response:	What should I do?
context: Fakir!\TUTU!\Marionette\Where am I?\Gears?\Why are they all stopped?\What am I doing in a place like this?\What should I do? response:	Fakir!
context: TUTU!\Marionette\Where am I?\Gears?\Why are they all stopped?\What am I doing in a place like this?\What should I do?\Fakir! response:	Drosselmeyer... The man who toys with the fate of all...
context: Marionette\Where am I?\Gears?\Why are they all stopped?\What am I doing in a place like this?\What should I do?\Fakir!\Drosselmeyer... The man who toys with the fate of all... response:	Is he out there somewhere, laughing as he watches Mytho and her suffer?
context: Where am I?\Gears?\Why are they all stopped?\What am I doing in a place like this?\What should I do?\Fakir!\Drosselmeyer... The man who toys with the fate of all...\Is he out there somewhere, laughing as he watches Mytho and her suffer? response:	Where is she right now?
context: Gears?\Why are they all stopped?\What am I doing in a place like this?\What should I do?\Fakir!\Drosselmeyer... The man who toys with the fate of all...\Is he out there somewhere, laughing as he watches Mytho and her suffer?\Where is she right now? response:	Is she where Drosselmeyer is?
context: Why are they all stopped?\What am I doing in a place like this?\What should I do?\Fakir!\Drosselmeyer... The man who toys with the fate of all...\Is he out there somewhere, laughing as he watches Mytho and her suffer?\Where is she right now?\Is she where Drosselmeyer is? response:	Where is that?
context: What am I doing in a place like this?\What should I do?\Fakir!\Drosselmeyer... The man who toys with the fate of all...\Is he out there somewhere, laughing as he watches Mytho and her suffer?\Where is she right now?\Is she where Drosselmeyer is?\Where is that? response:	This story may have already progressed to the point where there is nothing we can do.
context: What should I do?\Fakir!\Drosselmeyer... The man who toys with the fate of all...\Is he out there somewhere, laughing as he watches Mytho and her suffer?\Where is she right now?\Is she where Drosselmeyer is?\Where is that?\This story may have already progressed to the point where there is nothing we can do. response:	In that case, the only one who can fight is the one who carries the same blood.
context: Fakir!\Drosselmeyer... The man who toys with the fate of all...\Is he out there somewhere, laughing as he watches Mytho and her suffer?\Where is she right now?\Is she where Drosselmeyer is?\Where is that?\This story may have already progressed to the point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood. response:	So you're telling me to write?
context: Drosselmeyer... The man who toys with the fate of all...\Is he out there somewhere, laughing as he watches Mytho and her suffer?\Where is she right now?\Is she where Drosselmeyer is?\Where is that?\This story may have already progressed to the point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So you're telling me to write? response:	There's no other way to save her.
context: Is he out there somewhere, laughing as he watches Mytho and her suffer?\Where is she right now?\Is she where Drosselmeyer is?\Where is that?\This story may have already progressed to the point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So you're telling me to write?\There's no other way to save her. response:	Where's the exit?
context: Where is she right now?\Is she where Drosselmeyer is?\Where is that?\This story may have already progressed to the point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So you're telling me to write?\There's no other way to save her.\Where's the exit? response:	I have to leave this place quick!
context: Is she where Drosselmeyer is?\Where is that?\This story may have already progressed to the point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So you're telling me to write?\There's no other way to save her.\Where's the exit?\I have to leave this place quick! response:	I can't stay here now that I've found out.
context: Where is that?\This story may have already progressed to the point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So you're telling me to write?\There's no other way to save her.\Where's the exit?\I have to leave this place quick!\I can't stay here now that I've found out. response:	The remaining heart shards are in the five town gates.
context: This story may have already progressed to the point where there is nothing we can do.\In that case, the only one who can fight is the one who carries the same blood.\So you're telling me to write?\There's no other way to save her.\Where's the exit?\I have to leave this place quick!\I can't stay here now that I've found out.\The remaining heart shards are in the five town gates. response:	I want to give them back to Mytho really soon.
context: In that case, the only one who can fight is the one who carries the same blood.\So you're telling me to write?\There's no other way to save her.\Where's the exit?\I have to leave this place quick!\I can't stay here now that I've found out.\The remaining heart shards are in the five town gates.\I want to give them back to Mytho really soon. response:	And then Mytho will return to the story,
context: So you're telling me to write?\There's no other way to save her.\Where's the exit?\I have to leave this place quick!\I can't stay here now that I've found out.\The remaining heart shards are in the five town gates.\I want to give them back to Mytho really soon.\And then Mytho will return to the story, response:	and I'll go back to being a duck.
context: There's no other way to save her.\Where's the exit?\I have to leave this place quick!\I can't stay here now that I've found out.\The remaining heart shards are in the five town gates.\I want to give them back to Mytho really soon.\And then Mytho will return to the story,\and I'll go back to being a duck. response:	What's this?
context: Where's the exit?\I have to leave this place quick!\I can't stay here now that I've found out.\The remaining heart shards are in the five town gates.\I want to give them back to Mytho really soon.\And then Mytho will return to the story,\and I'll go back to being a duck.\What's this? response:	A puppet?
context: I have to leave this place quick!\I can't stay here now that I've found out.\The remaining heart shards are in the five town gates.\I want to give them back to Mytho really soon.\And then Mytho will return to the story,\and I'll go back to being a duck.\What's this?\A puppet? response:	That's right! This is the puppet world.
context: I can't stay here now that I've found out.\The remaining heart shards are in the five town gates.\I want to give them back to Mytho really soon.\And then Mytho will return to the story,\and I'll go back to being a duck.\What's this?\A puppet?\That's right! This is the puppet world. response:	Who do we have here? If it isn't Princess Tutu!
context: The remaining heart shards are in the five town gates.\I want to give them back to Mytho really soon.\And then Mytho will return to the story,\and I'll go back to being a duck.\What's this?\A puppet?\That's right! This is the puppet world.\Who do we have here? If it isn't Princess Tutu! response:	It's Tutu! It's Tutu! It's Princess Tutu!
context: I want to give them back to Mytho really soon.\And then Mytho will return to the story,\and I'll go back to being a duck.\What's this?\A puppet?\That's right! This is the puppet world.\Who do we have here? If it isn't Princess Tutu!\It's Tutu! It's Tutu! It's Princess Tutu! response:	It's Tutu! It's Tutu!
context: And then Mytho will return to the story,\and I'll go back to being a duck.\What's this?\A puppet?\That's right! This is the puppet world.\Who do we have here? If it isn't Princess Tutu!\It's Tutu! It's Tutu! It's Princess Tutu!\It's Tutu! It's Tutu! response:	I wonder what Tutu is doing here?
context: and I'll go back to being a duck.\What's this?\A puppet?\That's right! This is the puppet world.\Who do we have here? If it isn't Princess Tutu!\It's Tutu! It's Tutu! It's Princess Tutu!\It's Tutu! It's Tutu!\I wonder what Tutu is doing here? response:	Do you know where this place is?
context: What's this?\A puppet?\That's right! This is the puppet world.\Who do we have here? If it isn't Princess Tutu!\It's Tutu! It's Tutu! It's Princess Tutu!\It's Tutu! It's Tutu!\I wonder what Tutu is doing here?\Do you know where this place is? response:	Tell me! Why was I brought here?
context: A puppet?\That's right! This is the puppet world.\Who do we have here? If it isn't Princess Tutu!\It's Tutu! It's Tutu! It's Princess Tutu!\It's Tutu! It's Tutu!\I wonder what Tutu is doing here?\Do you know where this place is?\Tell me! Why was I brought here? response:	Why is everything here stopped?
context: That's right! This is the puppet world.\Who do we have here? If it isn't Princess Tutu!\It's Tutu! It's Tutu! It's Princess Tutu!\It's Tutu! It's Tutu!\I wonder what Tutu is doing here?\Do you know where this place is?\Tell me! Why was I brought here?\Why is everything here stopped? response:	Well, listen to that! So Tutu doesn't know where this is?
context: Who do we have here? If it isn't Princess Tutu!\It's Tutu! It's Tutu! It's Princess Tutu!\It's Tutu! It's Tutu!\I wonder what Tutu is doing here?\Do you know where this place is?\Tell me! Why was I brought here?\Why is everything here stopped?\Well, listen to that! So Tutu doesn't know where this is? response:	Please tell me!
context: It's Tutu! It's Tutu! It's Princess Tutu!\It's Tutu! It's Tutu!\I wonder what Tutu is doing here?\Do you know where this place is?\Tell me! Why was I brought here?\Why is everything here stopped?\Well, listen to that! So Tutu doesn't know where this is?\Please tell me! response:	Tutu says she wants us to tell her.
context: It's Tutu! It's Tutu!\I wonder what Tutu is doing here?\Do you know where this place is?\Tell me! Why was I brought here?\Why is everything here stopped?\Well, listen to that! So Tutu doesn't know where this is?\Please tell me!\Tutu says she wants us to tell her. response:	Princess Tutu's in a pickle!
context: I wonder what Tutu is doing here?\Do you know where this place is?\Tell me! Why was I brought here?\Why is everything here stopped?\Well, listen to that! So Tutu doesn't know where this is?\Please tell me!\Tutu says she wants us to tell her.\Princess Tutu's in a pickle! response:	A pickle!
context: Do you know where this place is?\Tell me! Why was I brought here?\Why is everything here stopped?\Well, listen to that! So Tutu doesn't know where this is?\Please tell me!\Tutu says she wants us to tell her.\Princess Tutu's in a pickle!\A pickle! response:	Answer me!
context: Tell me! Why was I brought here?\Why is everything here stopped?\Well, listen to that! So Tutu doesn't know where this is?\Please tell me!\Tutu says she wants us to tell her.\Princess Tutu's in a pickle!\A pickle!\Answer me! response:	The one who stopped everything here is you, Princess Tutu.
context: Why is everything here stopped?\Well, listen to that! So Tutu doesn't know where this is?\Please tell me!\Tutu says she wants us to tell her.\Princess Tutu's in a pickle!\A pickle!\Answer me!\The one who stopped everything here is you, Princess Tutu. response:	This is the inside of the story.
context: Well, listen to that! So Tutu doesn't know where this is?\Please tell me!\Tutu says she wants us to tell her.\Princess Tutu's in a pickle!\A pickle!\Answer me!\The one who stopped everything here is you, Princess Tutu.\This is the inside of the story. response:	You're the one who stopped it, Princess Tutu.
context: Please tell me!\Tutu says she wants us to tell her.\Princess Tutu's in a pickle!\A pickle!\Answer me!\The one who stopped everything here is you, Princess Tutu.\This is the inside of the story.\You're the one who stopped it, Princess Tutu. response:	Stopped the story? I did?
context: Tutu says she wants us to tell her.\Princess Tutu's in a pickle!\A pickle!\Answer me!\The one who stopped everything here is you, Princess Tutu.\This is the inside of the story.\You're the one who stopped it, Princess Tutu.\Stopped the story? I did? response:	That's right! Tutu stopped the story!
context: Princess Tutu's in a pickle!\A pickle!\Answer me!\The one who stopped everything here is you, Princess Tutu.\This is the inside of the story.\You're the one who stopped it, Princess Tutu.\Stopped the story? I did?\That's right! Tutu stopped the story! response:	Tutu stopped the gears! She stopped them! She stopped them!
context: A pickle!\Answer me!\The one who stopped everything here is you, Princess Tutu.\This is the inside of the story.\You're the one who stopped it, Princess Tutu.\Stopped the story? I did?\That's right! Tutu stopped the story!\Tutu stopped the gears! She stopped them! She stopped them! response:	Tutu stopped them! Tutu stopped them!
context: Answer me!\The one who stopped everything here is you, Princess Tutu.\This is the inside of the story.\You're the one who stopped it, Princess Tutu.\Stopped the story? I did?\That's right! Tutu stopped the story!\Tutu stopped the gears! She stopped them! She stopped them!\Tutu stopped them! Tutu stopped them! response:	Stop it!
context: The one who stopped everything here is you, Princess Tutu.\This is the inside of the story.\You're the one who stopped it, Princess Tutu.\Stopped the story? I did?\That's right! Tutu stopped the story!\Tutu stopped the gears! She stopped them! She stopped them!\Tutu stopped them! Tutu stopped them!\Stop it! response:	What?! My body... won't move...
context: This is the inside of the story.\You're the one who stopped it, Princess Tutu.\Stopped the story? I did?\That's right! Tutu stopped the story!\Tutu stopped the gears! She stopped them! She stopped them!\Tutu stopped them! Tutu stopped them!\Stop it!\What?! My body... won't move... response:	Hear the voice which is voiceless and see the shape which is shapeless...
context: You're the one who stopped it, Princess Tutu.\Stopped the story? I did?\That's right! Tutu stopped the story!\Tutu stopped the gears! She stopped them! She stopped them!\Tutu stopped them! Tutu stopped them!\Stop it!\What?! My body... won't move...\Hear the voice which is voiceless and see the shape which is shapeless... response:	So what am I supposed to do with that?
context: Stopped the story? I did?\That's right! Tutu stopped the story!\Tutu stopped the gears! She stopped them! She stopped them!\Tutu stopped them! Tutu stopped them!\Stop it!\What?! My body... won't move...\Hear the voice which is voiceless and see the shape which is shapeless...\So what am I supposed to do with that? response:	What am I supposed to write?
context: That's right! Tutu stopped the story!\Tutu stopped the gears! She stopped them! She stopped them!\Tutu stopped them! Tutu stopped them!\Stop it!\What?! My body... won't move...\Hear the voice which is voiceless and see the shape which is shapeless...\So what am I supposed to do with that?\What am I supposed to write? response:	Damn it... I have to write...
context: Tutu stopped the gears! She stopped them! She stopped them!\Tutu stopped them! Tutu stopped them!\Stop it!\What?! My body... won't move...\Hear the voice which is voiceless and see the shape which is shapeless...\So what am I supposed to do with that?\What am I supposed to write?\Damn it... I have to write... response:	I have to write.
context: Tutu stopped them! Tutu stopped them!\Stop it!\What?! My body... won't move...\Hear the voice which is voiceless and see the shape which is shapeless...\So what am I supposed to do with that?\What am I supposed to write?\Damn it... I have to write...\I have to write. response:	Where is the heart?
context: Stop it!\What?! My body... won't move...\Hear the voice which is voiceless and see the shape which is shapeless...\So what am I supposed to do with that?\What am I supposed to write?\Damn it... I have to write...\I have to write.\Where is the heart? response:	Daughter, hurry up and bring me a heart!
context: What?! My body... won't move...\Hear the voice which is voiceless and see the shape which is shapeless...\So what am I supposed to do with that?\What am I supposed to write?\Damn it... I have to write...\I have to write.\Where is the heart?\Daughter, hurry up and bring me a heart! response:	Father... Now that I have dyed the prince's heart in your blood, he is certain to be mine, isn't he?
context: Hear the voice which is voiceless and see the shape which is shapeless...\So what am I supposed to do with that?\What am I supposed to write?\Damn it... I have to write...\I have to write.\Where is the heart?\Daughter, hurry up and bring me a heart!\Father... Now that I have dyed the prince's heart in your blood, he is certain to be mine, isn't he? response:	Are you saying you cannot trust my words?
context: So what am I supposed to do with that?\What am I supposed to write?\Damn it... I have to write...\I have to write.\Where is the heart?\Daughter, hurry up and bring me a heart!\Father... Now that I have dyed the prince's heart in your blood, he is certain to be mine, isn't he?\Are you saying you cannot trust my words? response:	No! That is not it!
context: What am I supposed to write?\Damn it... I have to write...\I have to write.\Where is the heart?\Daughter, hurry up and bring me a heart!\Father... Now that I have dyed the prince's heart in your blood, he is certain to be mine, isn't he?\Are you saying you cannot trust my words?\No! That is not it! response:	And to think that on top of that, you only think of yourself and not of me, your father!
context: Damn it... I have to write...\I have to write.\Where is the heart?\Daughter, hurry up and bring me a heart!\Father... Now that I have dyed the prince's heart in your blood, he is certain to be mine, isn't he?\Are you saying you cannot trust my words?\No! That is not it!\And to think that on top of that, you only think of yourself and not of me, your father! response:	Of course I love you, Father! But...
context: I have to write.\Where is the heart?\Daughter, hurry up and bring me a heart!\Father... Now that I have dyed the prince's heart in your blood, he is certain to be mine, isn't he?\Are you saying you cannot trust my words?\No! That is not it!\And to think that on top of that, you only think of yourself and not of me, your father!\Of course I love you, Father! But... response:	It is only natural for a daughter to love her father!
context: Where is the heart?\Daughter, hurry up and bring me a heart!\Father... Now that I have dyed the prince's heart in your blood, he is certain to be mine, isn't he?\Are you saying you cannot trust my words?\No! That is not it!\And to think that on top of that, you only think of yourself and not of me, your father!\Of course I love you, Father! But...\It is only natural for a daughter to love her father! response:	You are pathetic.
context: Daughter, hurry up and bring me a heart!\Father... Now that I have dyed the prince's heart in your blood, he is certain to be mine, isn't he?\Are you saying you cannot trust my words?\No! That is not it!\And to think that on top of that, you only think of yourself and not of me, your father!\Of course I love you, Father! But...\It is only natural for a daughter to love her father!\You are pathetic. response:	To think you cannot even win the love of the prince in the story...
context: Father... Now that I have dyed the prince's heart in your blood, he is certain to be mine, isn't he?\Are you saying you cannot trust my words?\No! That is not it!\And to think that on top of that, you only think of yourself and not of me, your father!\Of course I love you, Father! But...\It is only natural for a daughter to love her father!\You are pathetic.\To think you cannot even win the love of the prince in the story... response:	At this point you no longer have any value to me as a daughter.
context: Are you saying you cannot trust my words?\No! That is not it!\And to think that on top of that, you only think of yourself and not of me, your father!\Of course I love you, Father! But...\It is only natural for a daughter to love her father!\You are pathetic.\To think you cannot even win the love of the prince in the story...\At this point you no longer have any value to me as a daughter. response:	Father!
context: No! That is not it!\And to think that on top of that, you only think of yourself and not of me, your father!\Of course I love you, Father! But...\It is only natural for a daughter to love her father!\You are pathetic.\To think you cannot even win the love of the prince in the story...\At this point you no longer have any value to me as a daughter.\Father! response:	In that case, at least give me your heart so that I am restored.
context: And to think that on top of that, you only think of yourself and not of me, your father!\Of course I love you, Father! But...\It is only natural for a daughter to love her father!\You are pathetic.\To think you cannot even win the love of the prince in the story...\At this point you no longer have any value to me as a daughter.\Father!\In that case, at least give me your heart so that I am restored. response:	Forgive me! I'm sorry!
context: Of course I love you, Father! But...\It is only natural for a daughter to love her father!\You are pathetic.\To think you cannot even win the love of the prince in the story...\At this point you no longer have any value to me as a daughter.\Father!\In that case, at least give me your heart so that I am restored.\Forgive me! I'm sorry! response:	Stop, Kraehe!
context: It is only natural for a daughter to love her father!\You are pathetic.\To think you cannot even win the love of the prince in the story...\At this point you no longer have any value to me as a daughter.\Father!\In that case, at least give me your heart so that I am restored.\Forgive me! I'm sorry!\Stop, Kraehe! response:	Have I turned into a puppet?
context: You are pathetic.\To think you cannot even win the love of the prince in the story...\At this point you no longer have any value to me as a daughter.\Father!\In that case, at least give me your heart so that I am restored.\Forgive me! I'm sorry!\Stop, Kraehe!\Have I turned into a puppet? response:	Did I do something bad, is that why?
context: To think you cannot even win the love of the prince in the story...\At this point you no longer have any value to me as a daughter.\Father!\In that case, at least give me your heart so that I am restored.\Forgive me! I'm sorry!\Stop, Kraehe!\Have I turned into a puppet?\Did I do something bad, is that why? response:	Huh? This is...
context: At this point you no longer have any value to me as a daughter.\Father!\In that case, at least give me your heart so that I am restored.\Forgive me! I'm sorry!\Stop, Kraehe!\Have I turned into a puppet?\Did I do something bad, is that why?\Huh? This is... response:	Uzura-chan!
context: Father!\In that case, at least give me your heart so that I am restored.\Forgive me! I'm sorry!\Stop, Kraehe!\Have I turned into a puppet?\Did I do something bad, is that why?\Huh? This is...\Uzura-chan! response:	I found Tutu zura!
context: In that case, at least give me your heart so that I am restored.\Forgive me! I'm sorry!\Stop, Kraehe!\Have I turned into a puppet?\Did I do something bad, is that why?\Huh? This is...\Uzura-chan!\I found Tutu zura! response:	What are you doing here, Uzura-chan?
context: Forgive me! I'm sorry!\Stop, Kraehe!\Have I turned into a puppet?\Did I do something bad, is that why?\Huh? This is...\Uzura-chan!\I found Tutu zura!\What are you doing here, Uzura-chan? response:	I followed you zura. What are you doing zura?
context: Stop, Kraehe!\Have I turned into a puppet?\Did I do something bad, is that why?\Huh? This is...\Uzura-chan!\I found Tutu zura!\What are you doing here, Uzura-chan?\I followed you zura. What are you doing zura? response:	I think I've turned into a puppet.
context: Have I turned into a puppet?\Did I do something bad, is that why?\Huh? This is...\Uzura-chan!\I found Tutu zura!\What are you doing here, Uzura-chan?\I followed you zura. What are you doing zura?\I think I've turned into a puppet. response:	A puppet zura?
context: Did I do something bad, is that why?\Huh? This is...\Uzura-chan!\I found Tutu zura!\What are you doing here, Uzura-chan?\I followed you zura. What are you doing zura?\I think I've turned into a puppet.\A puppet zura? response:	Um, er, it's not that I don't LIKE being a puppet, it's just...
context: Huh? This is...\Uzura-chan!\I found Tutu zura!\What are you doing here, Uzura-chan?\I followed you zura. What are you doing zura?\I think I've turned into a puppet.\A puppet zura?\Um, er, it's not that I don't LIKE being a puppet, it's just... response:	Oh, Uzura-chan!
context: Uzura-chan!\I found Tutu zura!\What are you doing here, Uzura-chan?\I followed you zura. What are you doing zura?\I think I've turned into a puppet.\A puppet zura?\Um, er, it's not that I don't LIKE being a puppet, it's just...\Oh, Uzura-chan! response:	Puppets...
context: I found Tutu zura!\What are you doing here, Uzura-chan?\I followed you zura. What are you doing zura?\I think I've turned into a puppet.\A puppet zura?\Um, er, it's not that I don't LIKE being a puppet, it's just...\Oh, Uzura-chan!\Puppets... response:	UZURA-CHAN!
context: What are you doing here, Uzura-chan?\I followed you zura. What are you doing zura?\I think I've turned into a puppet.\A puppet zura?\Um, er, it's not that I don't LIKE being a puppet, it's just...\Oh, Uzura-chan!\Puppets...\UZURA-CHAN! response:	Jete entrelace.
context: I followed you zura. What are you doing zura?\I think I've turned into a puppet.\A puppet zura?\Um, er, it's not that I don't LIKE being a puppet, it's just...\Oh, Uzura-chan!\Puppets...\UZURA-CHAN!\Jete entrelace. response:	What? My feet are moving on their own!
context: I think I've turned into a puppet.\A puppet zura?\Um, er, it's not that I don't LIKE being a puppet, it's just...\Oh, Uzura-chan!\Puppets...\UZURA-CHAN!\Jete entrelace.\What? My feet are moving on their own! response:	Fouette rond de jambe en tournant.
context: A puppet zura?\Um, er, it's not that I don't LIKE being a puppet, it's just...\Oh, Uzura-chan!\Puppets...\UZURA-CHAN!\Jete entrelace.\What? My feet are moving on their own!\Fouette rond de jambe en tournant. response:	Drosselmeyer-san?
context: Um, er, it's not that I don't LIKE being a puppet, it's just...\Oh, Uzura-chan!\Puppets...\UZURA-CHAN!\Jete entrelace.\What? My feet are moving on their own!\Fouette rond de jambe en tournant.\Drosselmeyer-san? response:	Is this the world where Drosselmeyer-san is?
context: Oh, Uzura-chan!\Puppets...\UZURA-CHAN!\Jete entrelace.\What? My feet are moving on their own!\Fouette rond de jambe en tournant.\Drosselmeyer-san?\Is this the world where Drosselmeyer-san is? response:	How... Why?
context: Puppets...\UZURA-CHAN!\Jete entrelace.\What? My feet are moving on their own!\Fouette rond de jambe en tournant.\Drosselmeyer-san?\Is this the world where Drosselmeyer-san is?\How... Why? response:	I'm just a marionette, being made to dance exactly as I'm told...
context: UZURA-CHAN!\Jete entrelace.\What? My feet are moving on their own!\Fouette rond de jambe en tournant.\Drosselmeyer-san?\Is this the world where Drosselmeyer-san is?\How... Why?\I'm just a marionette, being made to dance exactly as I'm told... response:	I don't like this.
context: Jete entrelace.\What? My feet are moving on their own!\Fouette rond de jambe en tournant.\Drosselmeyer-san?\Is this the world where Drosselmeyer-san is?\How... Why?\I'm just a marionette, being made to dance exactly as I'm told...\I don't like this. response:	I want to dance more... more freely...
context: What? My feet are moving on their own!\Fouette rond de jambe en tournant.\Drosselmeyer-san?\Is this the world where Drosselmeyer-san is?\How... Why?\I'm just a marionette, being made to dance exactly as I'm told...\I don't like this.\I want to dance more... more freely... response:	That thinking is mistaken.
context: Fouette rond de jambe en tournant.\Drosselmeyer-san?\Is this the world where Drosselmeyer-san is?\How... Why?\I'm just a marionette, being made to dance exactly as I'm told...\I don't like this.\I want to dance more... more freely...\That thinking is mistaken. response:	Marionettes are at their most free when they're being manipulated by their strings.
context: Drosselmeyer-san?\Is this the world where Drosselmeyer-san is?\How... Why?\I'm just a marionette, being made to dance exactly as I'm told...\I don't like this.\I want to dance more... more freely...\That thinking is mistaken.\Marionettes are at their most free when they're being manipulated by their strings. response:	You won't be able to leave this place unless you acknowledge that.
context: Is this the world where Drosselmeyer-san is?\How... Why?\I'm just a marionette, being made to dance exactly as I'm told...\I don't like this.\I want to dance more... more freely...\That thinking is mistaken.\Marionettes are at their most free when they're being manipulated by their strings.\You won't be able to leave this place unless you acknowledge that. response:	What's a puppet zura?
context: How... Why?\I'm just a marionette, being made to dance exactly as I'm told...\I don't like this.\I want to dance more... more freely...\That thinking is mistaken.\Marionettes are at their most free when they're being manipulated by their strings.\You won't be able to leave this place unless you acknowledge that.\What's a puppet zura? response:	Her name is Uzura.
context: I'm just a marionette, being made to dance exactly as I'm told...\I don't like this.\I want to dance more... more freely...\That thinking is mistaken.\Marionettes are at their most free when they're being manipulated by their strings.\You won't be able to leave this place unless you acknowledge that.\What's a puppet zura?\Her name is Uzura. response:	Karon made her out of the bits of wood from Edel that didn't burn away.
context: I don't like this.\I want to dance more... more freely...\That thinking is mistaken.\Marionettes are at their most free when they're being manipulated by their strings.\You won't be able to leave this place unless you acknowledge that.\What's a puppet zura?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away. response:	Edel-san's?
context: I want to dance more... more freely...\That thinking is mistaken.\Marionettes are at their most free when they're being manipulated by their strings.\You won't be able to leave this place unless you acknowledge that.\What's a puppet zura?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's? response:	Am I not Uzura zura?
context: That thinking is mistaken.\Marionettes are at their most free when they're being manipulated by their strings.\You won't be able to leave this place unless you acknowledge that.\What's a puppet zura?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Am I not Uzura zura? response:	What's this zura?
context: Marionettes are at their most free when they're being manipulated by their strings.\You won't be able to leave this place unless you acknowledge that.\What's a puppet zura?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Am I not Uzura zura?\What's this zura? response:	It turns zura!
context: You won't be able to leave this place unless you acknowledge that.\What's a puppet zura?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Am I not Uzura zura?\What's this zura?\It turns zura! response:	Caw, caw...
context: What's a puppet zura?\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Am I not Uzura zura?\What's this zura?\It turns zura!\Caw, caw... response:	Hello, Kraehe. Come over here.
context: Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Edel-san's?\Am I not Uzura zura?\What's this zura?\It turns zura!\Caw, caw...\Hello, Kraehe. Come over here. response:	Prince...
