context: I didn't know you were in a relationship, Akane. response:	Miu messaged me on LINE.
context: I'll do my best\Want to go home together after school?\Sorry\Sorry, I have practice\Sorry\Dazai once said, There is such a thing as love in this world. I'm sure of it.\It's the expression the etiquette of love that is so hard to find.\What? Seriously? response:	Yeah, Azumi and Mizuno.
context: Want to go home together after school?\Sorry\Sorry, I have practice\Sorry\Dazai once said, There is such a thing as love in this world. I'm sure of it.\It's the expression the etiquette of love that is so hard to find.\What? Seriously?\Yeah, Azumi and Mizuno. response:	No way!
context: Sorry\Sorry, I have practice\Sorry\Dazai once said, There is such a thing as love in this world. I'm sure of it.\It's the expression the etiquette of love that is so hard to find.\What? Seriously?\Yeah, Azumi and Mizuno.\No way! response:	For real?
context: Sorry, I have practice\Sorry\Dazai once said, There is such a thing as love in this world. I'm sure of it.\It's the expression the etiquette of love that is so hard to find.\What? Seriously?\Yeah, Azumi and Mizuno.\No way!\For real? response:	I know!
context: Sorry\Dazai once said, There is such a thing as love in this world. I'm sure of it.\It's the expression the etiquette of love that is so hard to find.\What? Seriously?\Yeah, Azumi and Mizuno.\No way!\For real?\I know! response:	Dude, Kota! Holy crap!
context: Dazai once said, There is such a thing as love in this world. I'm sure of it.\It's the expression the etiquette of love that is so hard to find.\What? Seriously?\Yeah, Azumi and Mizuno.\No way!\For real?\I know!\Dude, Kota! Holy crap! response:	You're famous!
context: It's the expression the etiquette of love that is so hard to find.\What? Seriously?\Yeah, Azumi and Mizuno.\No way!\For real?\I know!\Dude, Kota! Holy crap!\You're famous! response:	Is it sexy? Is it sexy?
context: What? Seriously?\Yeah, Azumi and Mizuno.\No way!\For real?\I know!\Dude, Kota! Holy crap!\You're famous!\Is it sexy? Is it sexy? response:	You dating? You dating?!
context: Yeah, Azumi and Mizuno.\No way!\For real?\I know!\Dude, Kota! Holy crap!\You're famous!\Is it sexy? Is it sexy?\You dating? You dating?! response:	Morning.
context: No way!\For real?\I know!\Dude, Kota! Holy crap!\You're famous!\Is it sexy? Is it sexy?\You dating? You dating?!\Morning. response:	Morning!
context: For real?\I know!\Dude, Kota! Holy crap!\You're famous!\Is it sexy? Is it sexy?\You dating? You dating?!\Morning.\Morning! response:	Akanecchi!
context: I know!\Dude, Kota! Holy crap!\You're famous!\Is it sexy? Is it sexy?\You dating? You dating?!\Morning.\Morning!\Akanecchi! response:	Over here.
context: Dude, Kota! Holy crap!\You're famous!\Is it sexy? Is it sexy?\You dating? You dating?!\Morning.\Morning!\Akanecchi!\Over here. response:	B-But...
context: You're famous!\Is it sexy? Is it sexy?\You dating? You dating?!\Morning.\Morning!\Akanecchi!\Over here.\B-But... response:	Just come.
context: Is it sexy? Is it sexy?\You dating? You dating?!\Morning.\Morning!\Akanecchi!\Over here.\B-But...\Just come. response:	Hey, Akanecchi.
context: You dating? You dating?!\Morning.\Morning!\Akanecchi!\Over here.\B-But...\Just come.\Hey, Akanecchi. response:	Yeah?
context: Morning.\Morning!\Akanecchi!\Over here.\B-But...\Just come.\Hey, Akanecchi.\Yeah? response:	Why Azumi?
context: Morning!\Akanecchi!\Over here.\B-But...\Just come.\Hey, Akanecchi.\Yeah?\Why Azumi? response:	Miu, harsh!
context: Akanecchi!\Over here.\B-But...\Just come.\Hey, Akanecchi.\Yeah?\Why Azumi?\Miu, harsh! response:	But I had no idea.
context: Over here.\B-But...\Just come.\Hey, Akanecchi.\Yeah?\Why Azumi?\Miu, harsh!\But I had no idea. response:	Sorry.
context: B-But...\Just come.\Hey, Akanecchi.\Yeah?\Why Azumi?\Miu, harsh!\But I had no idea.\Sorry. response:	Hey, what do you like about him?
context: Just come.\Hey, Akanecchi.\Yeah?\Why Azumi?\Miu, harsh!\But I had no idea.\Sorry.\Hey, what do you like about him? response:	Well...
context: Hey, Akanecchi.\Yeah?\Why Azumi?\Miu, harsh!\But I had no idea.\Sorry.\Hey, what do you like about him?\Well... response:	What? Nothing?
context: Yeah?\Why Azumi?\Miu, harsh!\But I had no idea.\Sorry.\Hey, what do you like about him?\Well...\What? Nothing? response:	Nothing?
context: Why Azumi?\Miu, harsh!\But I had no idea.\Sorry.\Hey, what do you like about him?\Well...\What? Nothing?\Nothing? response:	There's obviously something.
context: Miu, harsh!\But I had no idea.\Sorry.\Hey, what do you like about him?\Well...\What? Nothing?\Nothing?\There's obviously something. response:	No, it's...
context: But I had no idea.\Sorry.\Hey, what do you like about him?\Well...\What? Nothing?\Nothing?\There's obviously something.\No, it's... response:	I don't know.
context: Sorry.\Hey, what do you like about him?\Well...\What? Nothing?\Nothing?\There's obviously something.\No, it's...\I don't know. response:	But you like him anyway?
context: Hey, what do you like about him?\Well...\What? Nothing?\Nothing?\There's obviously something.\No, it's...\I don't know.\But you like him anyway? response:	I totally thought it would be Hira.
context: Well...\What? Nothing?\Nothing?\There's obviously something.\No, it's...\I don't know.\But you like him anyway?\I totally thought it would be Hira. response:	I know.
context: What? Nothing?\Nothing?\There's obviously something.\No, it's...\I don't know.\But you like him anyway?\I totally thought it would be Hira.\I know. response:	Me, too.
context: Nothing?\There's obviously something.\No, it's...\I don't know.\But you like him anyway?\I totally thought it would be Hira.\I know.\Me, too. response:	No more secrets, okay?
context: There's obviously something.\No, it's...\I don't know.\But you like him anyway?\I totally thought it would be Hira.\I know.\Me, too.\No more secrets, okay? response:	Okay.
context: No, it's...\I don't know.\But you like him anyway?\I totally thought it would be Hira.\I know.\Me, too.\No more secrets, okay?\Okay. response:	Let me know if you guys kiss.
context: I don't know.\But you like him anyway?\I totally thought it would be Hira.\I know.\Me, too.\No more secrets, okay?\Okay.\Let me know if you guys kiss. response:	I don't think Azumi can do it.
context: But you like him anyway?\I totally thought it would be Hira.\I know.\Me, too.\No more secrets, okay?\Okay.\Let me know if you guys kiss.\I don't think Azumi can do it. response:	I don't think he has the guts.
context: I totally thought it would be Hira.\I know.\Me, too.\No more secrets, okay?\Okay.\Let me know if you guys kiss.\I don't think Azumi can do it.\I don't think he has the guts. response:	Please submit your summer break homework if you've finished it.
context: I know.\Me, too.\No more secrets, okay?\Okay.\Let me know if you guys kiss.\I don't think Azumi can do it.\I don't think he has the guts.\Please submit your summer break homework if you've finished it. response:	Summer School
context: Me, too.\No more secrets, okay?\Okay.\Let me know if you guys kiss.\I don't think Azumi can do it.\I don't think he has the guts.\Please submit your summer break homework if you've finished it.\Summer School response:	There's less than half of summer break left.
context: No more secrets, okay?\Okay.\Let me know if you guys kiss.\I don't think Azumi can do it.\I don't think he has the guts.\Please submit your summer break homework if you've finished it.\Summer School\There's less than half of summer break left. response:	Be sure to keep up the pace.
context: Okay.\Let me know if you guys kiss.\I don't think Azumi can do it.\I don't think he has the guts.\Please submit your summer break homework if you've finished it.\Summer School\There's less than half of summer break left.\Be sure to keep up the pace. response:	Aren't you going home together?
context: Let me know if you guys kiss.\I don't think Azumi can do it.\I don't think he has the guts.\Please submit your summer break homework if you've finished it.\Summer School\There's less than half of summer break left.\Be sure to keep up the pace.\Aren't you going home together? response:	She has practice.
context: I don't think Azumi can do it.\I don't think he has the guts.\Please submit your summer break homework if you've finished it.\Summer School\There's less than half of summer break left.\Be sure to keep up the pace.\Aren't you going home together?\She has practice. response:	So wait for her.
context: I don't think he has the guts.\Please submit your summer break homework if you've finished it.\Summer School\There's less than half of summer break left.\Be sure to keep up the pace.\Aren't you going home together?\She has practice.\So wait for her. response:	You're the literature club president, aren't you?
context: Please submit your summer break homework if you've finished it.\Summer School\There's less than half of summer break left.\Be sure to keep up the pace.\Aren't you going home together?\She has practice.\So wait for her.\You're the literature club president, aren't you? response:	Yeah.
context: Summer School\There's less than half of summer break left.\Be sure to keep up the pace.\Aren't you going home together?\She has practice.\So wait for her.\You're the literature club president, aren't you?\Yeah. response:	Mizuno-san!
context: There's less than half of summer break left.\Be sure to keep up the pace.\Aren't you going home together?\She has practice.\So wait for her.\You're the literature club president, aren't you?\Yeah.\Mizuno-san! response:	I have club, too.
context: Be sure to keep up the pace.\Aren't you going home together?\She has practice.\So wait for her.\You're the literature club president, aren't you?\Yeah.\Mizuno-san!\I have club, too. response:	Okay.
context: Aren't you going home together?\She has practice.\So wait for her.\You're the literature club president, aren't you?\Yeah.\Mizuno-san!\I have club, too.\Okay. response:	Here we go.
context: She has practice.\So wait for her.\You're the literature club president, aren't you?\Yeah.\Mizuno-san!\I have club, too.\Okay.\Here we go. response:	Ready... Go!
context: So wait for her.\You're the literature club president, aren't you?\Yeah.\Mizuno-san!\I have club, too.\Okay.\Here we go.\Ready... Go! response:	It's so hot.
context: You're the literature club president, aren't you?\Yeah.\Mizuno-san!\I have club, too.\Okay.\Here we go.\Ready... Go!\It's so hot. response:	I'm so hungry.
context: Yeah.\Mizuno-san!\I have club, too.\Okay.\Here we go.\Ready... Go!\It's so hot.\I'm so hungry. response:	Want to stop by the convenience store?
context: Mizuno-san!\I have club, too.\Okay.\Here we go.\Ready... Go!\It's so hot.\I'm so hungry.\Want to stop by the convenience store? response:	All-nighter?
context: I have club, too.\Okay.\Here we go.\Ready... Go!\It's so hot.\I'm so hungry.\Want to stop by the convenience store?\All-nighter? response:	Probably
context: Okay.\Here we go.\Ready... Go!\It's so hot.\I'm so hungry.\Want to stop by the convenience store?\All-nighter?\Probably response:	Take care of yourself
context: Here we go.\Ready... Go!\It's so hot.\I'm so hungry.\Want to stop by the convenience store?\All-nighter?\Probably\Take care of yourself response:	Yeah, thanks
context: Ready... Go!\It's so hot.\I'm so hungry.\Want to stop by the convenience store?\All-nighter?\Probably\Take care of yourself\Yeah, thanks response:	I'll be waiting in the library
context: It's so hot.\I'm so hungry.\Want to stop by the convenience store?\All-nighter?\Probably\Take care of yourself\Yeah, thanks\I'll be waiting in the library response:	Let's have lunch together
context: I'm so hungry.\Want to stop by the convenience store?\All-nighter?\Probably\Take care of yourself\Yeah, thanks\I'll be waiting in the library\Let's have lunch together response:	Yeah, let's go.
context: Want to stop by the convenience store?\All-nighter?\Probably\Take care of yourself\Yeah, thanks\I'll be waiting in the library\Let's have lunch together\Yeah, let's go. response:	What flavor ice cream should I have today?
context: All-nighter?\Probably\Take care of yourself\Yeah, thanks\I'll be waiting in the library\Let's have lunch together\Yeah, let's go.\What flavor ice cream should I have today? response:	What flavor...
context: Probably\Take care of yourself\Yeah, thanks\I'll be waiting in the library\Let's have lunch together\Yeah, let's go.\What flavor ice cream should I have today?\What flavor... response:	H-Hey, I...
context: Take care of yourself\Yeah, thanks\I'll be waiting in the library\Let's have lunch together\Yeah, let's go.\What flavor ice cream should I have today?\What flavor...\H-Hey, I... response:	Gotta go?
context: Yeah, thanks\I'll be waiting in the library\Let's have lunch together\Yeah, let's go.\What flavor ice cream should I have today?\What flavor...\H-Hey, I...\Gotta go? response:	Yeah.
context: I'll be waiting in the library\Let's have lunch together\Yeah, let's go.\What flavor ice cream should I have today?\What flavor...\H-Hey, I...\Gotta go?\Yeah. response:	Are you going home together?
context: Let's have lunch together\Yeah, let's go.\What flavor ice cream should I have today?\What flavor...\H-Hey, I...\Gotta go?\Yeah.\Are you going home together? response:	Yeah.
context: Yeah, let's go.\What flavor ice cream should I have today?\What flavor...\H-Hey, I...\Gotta go?\Yeah.\Are you going home together?\Yeah. response:	Okay.
context: What flavor ice cream should I have today?\What flavor...\H-Hey, I...\Gotta go?\Yeah.\Are you going home together?\Yeah.\Okay. response:	Later.
context: What flavor...\H-Hey, I...\Gotta go?\Yeah.\Are you going home together?\Yeah.\Okay.\Later. response:	Lucky Akane.
context: H-Hey, I...\Gotta go?\Yeah.\Are you going home together?\Yeah.\Okay.\Later.\Lucky Akane. response:	Boyfriends are just a hassle.
context: Gotta go?\Yeah.\Are you going home together?\Yeah.\Okay.\Later.\Lucky Akane.\Boyfriends are just a hassle. response:	I really don't get it.
context: Yeah.\Are you going home together?\Yeah.\Okay.\Later.\Lucky Akane.\Boyfriends are just a hassle.\I really don't get it. response:	Akane-chan.
context: Are you going home together?\Yeah.\Okay.\Later.\Lucky Akane.\Boyfriends are just a hassle.\I really don't get it.\Akane-chan. response:	Akane...
context: Yeah.\Okay.\Later.\Lucky Akane.\Boyfriends are just a hassle.\I really don't get it.\Akane-chan.\Akane... response:	Open
context: Okay.\Later.\Lucky Akane.\Boyfriends are just a hassle.\I really don't get it.\Akane-chan.\Akane...\Open response:	Let's eat.
context: Later.\Lucky Akane.\Boyfriends are just a hassle.\I really don't get it.\Akane-chan.\Akane...\Open\Let's eat. response:	That hits the spot.
context: Lucky Akane.\Boyfriends are just a hassle.\I really don't get it.\Akane-chan.\Akane...\Open\Let's eat.\That hits the spot. response:	You old fart.
context: Boyfriends are just a hassle.\I really don't get it.\Akane-chan.\Akane...\Open\Let's eat.\That hits the spot.\You old fart. response:	Well, it's so hot.
context: I really don't get it.\Akane-chan.\Akane...\Open\Let's eat.\That hits the spot.\You old fart.\Well, it's so hot. response:	Is your club keeping you busy?
context: Akane-chan.\Akane...\Open\Let's eat.\That hits the spot.\You old fart.\Well, it's so hot.\Is your club keeping you busy? response:	Very.
context: Akane...\Open\Let's eat.\That hits the spot.\You old fart.\Well, it's so hot.\Is your club keeping you busy?\Very. response:	It's every day.
context: Open\Let's eat.\That hits the spot.\You old fart.\Well, it's so hot.\Is your club keeping you busy?\Very.\It's every day. response:	Wow.
context: Let's eat.\That hits the spot.\You old fart.\Well, it's so hot.\Is your club keeping you busy?\Very.\It's every day.\Wow. response:	And the literature club?
context: That hits the spot.\You old fart.\Well, it's so hot.\Is your club keeping you busy?\Very.\It's every day.\Wow.\And the literature club? response:	We just do whatever.
context: You old fart.\Well, it's so hot.\Is your club keeping you busy?\Very.\It's every day.\Wow.\And the literature club?\We just do whatever. response:	Plus, I have summer lessons and festival prep.
context: Well, it's so hot.\Is your club keeping you busy?\Very.\It's every day.\Wow.\And the literature club?\We just do whatever.\Plus, I have summer lessons and festival prep. response:	Oh, right. Cram school.
context: Is your club keeping you busy?\Very.\It's every day.\Wow.\And the literature club?\We just do whatever.\Plus, I have summer lessons and festival prep.\Oh, right. Cram school. response:	Yeah.
context: Very.\It's every day.\Wow.\And the literature club?\We just do whatever.\Plus, I have summer lessons and festival prep.\Oh, right. Cram school.\Yeah. response:	I guess I'll start that after I retire from track.
context: It's every day.\Wow.\And the literature club?\We just do whatever.\Plus, I have summer lessons and festival prep.\Oh, right. Cram school.\Yeah.\I guess I'll start that after I retire from track. response:	In the fall?
context: Wow.\And the literature club?\We just do whatever.\Plus, I have summer lessons and festival prep.\Oh, right. Cram school.\Yeah.\I guess I'll start that after I retire from track.\In the fall? response:	Yeah.
context: And the literature club?\We just do whatever.\Plus, I have summer lessons and festival prep.\Oh, right. Cram school.\Yeah.\I guess I'll start that after I retire from track.\In the fall?\Yeah. response:	Sorry.
context: We just do whatever.\Plus, I have summer lessons and festival prep.\Oh, right. Cram school.\Yeah.\I guess I'll start that after I retire from track.\In the fall?\Yeah.\Sorry. response:	I found the book you were looking for
context: Plus, I have summer lessons and festival prep.\Oh, right. Cram school.\Yeah.\I guess I'll start that after I retire from track.\In the fall?\Yeah.\Sorry.\I found the book you were looking for response:	I'll be there after practice
context: Oh, right. Cram school.\Yeah.\I guess I'll start that after I retire from track.\In the fall?\Yeah.\Sorry.\I found the book you were looking for\I'll be there after practice response:	Got it
context: Yeah.\I guess I'll start that after I retire from track.\In the fall?\Yeah.\Sorry.\I found the book you were looking for\I'll be there after practice\Got it response:	Thank you
context: I guess I'll start that after I retire from track.\In the fall?\Yeah.\Sorry.\I found the book you were looking for\I'll be there after practice\Got it\Thank you response:	Can you make it to practice?
context: In the fall?\Yeah.\Sorry.\I found the book you were looking for\I'll be there after practice\Got it\Thank you\Can you make it to practice? response:	There's something I want to work on
context: Yeah.\Sorry.\I found the book you were looking for\I'll be there after practice\Got it\Thank you\Can you make it to practice?\There's something I want to work on response:	What's up?
context: Sorry.\I found the book you were looking for\I'll be there after practice\Got it\Thank you\Can you make it to practice?\There's something I want to work on\What's up? response:	He's asking if I can come to practice today.
context: I found the book you were looking for\I'll be there after practice\Got it\Thank you\Can you make it to practice?\There's something I want to work on\What's up?\He's asking if I can come to practice today. response:	For the hayashi?
context: I'll be there after practice\Got it\Thank you\Can you make it to practice?\There's something I want to work on\What's up?\He's asking if I can come to practice today.\For the hayashi? response:	Yeah.
context: Got it\Thank you\Can you make it to practice?\There's something I want to work on\What's up?\He's asking if I can come to practice today.\For the hayashi?\Yeah. response:	I want to see!
context: Thank you\Can you make it to practice?\There's something I want to work on\What's up?\He's asking if I can come to practice today.\For the hayashi?\Yeah.\I want to see! response:	Can I come with you?
context: Can you make it to practice?\There's something I want to work on\What's up?\He's asking if I can come to practice today.\For the hayashi?\Yeah.\I want to see!\Can I come with you? response:	Sure, I guess.
context: There's something I want to work on\What's up?\He's asking if I can come to practice today.\For the hayashi?\Yeah.\I want to see!\Can I come with you?\Sure, I guess. response:	Yay!
context: What's up?\He's asking if I can come to practice today.\For the hayashi?\Yeah.\I want to see!\Can I come with you?\Sure, I guess.\Yay! response:	Sorry, would I be bothering you?
context: He's asking if I can come to practice today.\For the hayashi?\Yeah.\I want to see!\Can I come with you?\Sure, I guess.\Yay!\Sorry, would I be bothering you? response:	No, not at all.
context: For the hayashi?\Yeah.\I want to see!\Can I come with you?\Sure, I guess.\Yay!\Sorry, would I be bothering you?\No, not at all. response:	Let's take it from the top.
context: Yeah.\I want to see!\Can I come with you?\Sure, I guess.\Yay!\Sorry, would I be bothering you?\No, not at all.\Let's take it from the top. response:	Okay.
context: I want to see!\Can I come with you?\Sure, I guess.\Yay!\Sorry, would I be bothering you?\No, not at all.\Let's take it from the top.\Okay. response:	Well, this is unusual.
context: Can I come with you?\Sure, I guess.\Yay!\Sorry, would I be bothering you?\No, not at all.\Let's take it from the top.\Okay.\Well, this is unusual. response:	Who might you be?
context: Sure, I guess.\Yay!\Sorry, would I be bothering you?\No, not at all.\Let's take it from the top.\Okay.\Well, this is unusual.\Who might you be? response:	Hello.
context: Yay!\Sorry, would I be bothering you?\No, not at all.\Let's take it from the top.\Okay.\Well, this is unusual.\Who might you be?\Hello. response:	Kotarou's girlfrie
context: Sorry, would I be bothering you?\No, not at all.\Let's take it from the top.\Okay.\Well, this is unusual.\Who might you be?\Hello.\Kotarou's girlfrie response:	Hey!
context: No, not at all.\Let's take it from the top.\Okay.\Well, this is unusual.\Who might you be?\Hello.\Kotarou's girlfrie\Hey! response:	His girlfriend!
context: Let's take it from the top.\Okay.\Well, this is unusual.\Who might you be?\Hello.\Kotarou's girlfrie\Hey!\His girlfriend! response:	Oh, so this is your girlfriend, huh?
context: Okay.\Well, this is unusual.\Who might you be?\Hello.\Kotarou's girlfrie\Hey!\His girlfriend!\Oh, so this is your girlfriend, huh? response:	Here.
context: Well, this is unusual.\Who might you be?\Hello.\Kotarou's girlfrie\Hey!\His girlfriend!\Oh, so this is your girlfriend, huh?\Here. response:	Man...
context: Who might you be?\Hello.\Kotarou's girlfrie\Hey!\His girlfriend!\Oh, so this is your girlfriend, huh?\Here.\Man... response:	If you want...
context: Hello.\Kotarou's girlfrie\Hey!\His girlfriend!\Oh, so this is your girlfriend, huh?\Here.\Man...\If you want... response:	Thanks.
context: Kotarou's girlfrie\Hey!\His girlfriend!\Oh, so this is your girlfriend, huh?\Here.\Man...\If you want...\Thanks. response:	What did you think?
context: Hey!\His girlfriend!\Oh, so this is your girlfriend, huh?\Here.\Man...\If you want...\Thanks.\What did you think? response:	It was so good.
context: His girlfriend!\Oh, so this is your girlfriend, huh?\Here.\Man...\If you want...\Thanks.\What did you think?\It was so good. response:	I've never seen it before. I loved it.
context: Oh, so this is your girlfriend, huh?\Here.\Man...\If you want...\Thanks.\What did you think?\It was so good.\I've never seen it before. I loved it. response:	Great.
context: Here.\Man...\If you want...\Thanks.\What did you think?\It was so good.\I've never seen it before. I loved it.\Great. response:	Sorry to call you out during your time together.
context: Man...\If you want...\Thanks.\What did you think?\It was so good.\I've never seen it before. I loved it.\Great.\Sorry to call you out during your time together. response:	It's fine.
context: If you want...\Thanks.\What did you think?\It was so good.\I've never seen it before. I loved it.\Great.\Sorry to call you out during your time together.\It's fine. response:	Oh, yeah, Hikawa Shrine...
context: Thanks.\What did you think?\It was so good.\I've never seen it before. I loved it.\Great.\Sorry to call you out during your time together.\It's fine.\Oh, yeah, Hikawa Shrine... response:	They have wind chimes right now.
context: What did you think?\It was so good.\I've never seen it before. I loved it.\Great.\Sorry to call you out during your time together.\It's fine.\Oh, yeah, Hikawa Shrine...\They have wind chimes right now. response:	I've never been there.
context: It was so good.\I've never seen it before. I loved it.\Great.\Sorry to call you out during your time together.\It's fine.\Oh, yeah, Hikawa Shrine...\They have wind chimes right now.\I've never been there. response:	It's awesome.
context: I've never seen it before. I loved it.\Great.\Sorry to call you out during your time together.\It's fine.\Oh, yeah, Hikawa Shrine...\They have wind chimes right now.\I've never been there.\It's awesome. response:	Good work today.
context: Great.\Sorry to call you out during your time together.\It's fine.\Oh, yeah, Hikawa Shrine...\They have wind chimes right now.\I've never been there.\It's awesome.\Good work today. response:	Hang on.
context: Sorry to call you out during your time together.\It's fine.\Oh, yeah, Hikawa Shrine...\They have wind chimes right now.\I've never been there.\It's awesome.\Good work today.\Hang on. response:	Here.
context: It's fine.\Oh, yeah, Hikawa Shrine...\They have wind chimes right now.\I've never been there.\It's awesome.\Good work today.\Hang on.\Here. response:	Just take it.
context: Oh, yeah, Hikawa Shrine...\They have wind chimes right now.\I've never been there.\It's awesome.\Good work today.\Hang on.\Here.\Just take it. response:	But...
context: They have wind chimes right now.\I've never been there.\It's awesome.\Good work today.\Hang on.\Here.\Just take it.\But... response:	I'll take care of locking up.
context: I've never been there.\It's awesome.\Good work today.\Hang on.\Here.\Just take it.\But...\I'll take care of locking up. response:	I'm here.
context: It's awesome.\Good work today.\Hang on.\Here.\Just take it.\But...\I'll take care of locking up.\I'm here. response:	I told my mom I was going to the festival, and she had me put it on.
context: Good work today.\Hang on.\Here.\Just take it.\But...\I'll take care of locking up.\I'm here.\I told my mom I was going to the festival, and she had me put it on. response:	What do you think?
context: Hang on.\Here.\Just take it.\But...\I'll take care of locking up.\I'm here.\I told my mom I was going to the festival, and she had me put it on.\What do you think? response:	Y-You look great.
context: Here.\Just take it.\But...\I'll take care of locking up.\I'm here.\I told my mom I was going to the festival, and she had me put it on.\What do you think?\Y-You look great. response:	Thanks.
context: Just take it.\But...\I'll take care of locking up.\I'm here.\I told my mom I was going to the festival, and she had me put it on.\What do you think?\Y-You look great.\Thanks. response:	So much potato stuff.
context: But...\I'll take care of locking up.\I'm here.\I told my mom I was going to the festival, and she had me put it on.\What do you think?\Y-You look great.\Thanks.\So much potato stuff. response:	Kawagoe's known for them.
context: I'll take care of locking up.\I'm here.\I told my mom I was going to the festival, and she had me put it on.\What do you think?\Y-You look great.\Thanks.\So much potato stuff.\Kawagoe's known for them. response:	Yeah.
context: I'm here.\I told my mom I was going to the festival, and she had me put it on.\What do you think?\Y-You look great.\Thanks.\So much potato stuff.\Kawagoe's known for them.\Yeah. response:	Yum.
context: I told my mom I was going to the festival, and she had me put it on.\What do you think?\Y-You look great.\Thanks.\So much potato stuff.\Kawagoe's known for them.\Yeah.\Yum. response:	We have them at my place all the time.
context: What do you think?\Y-You look great.\Thanks.\So much potato stuff.\Kawagoe's known for them.\Yeah.\Yum.\We have them at my place all the time. response:	Lucky.
context: Y-You look great.\Thanks.\So much potato stuff.\Kawagoe's known for them.\Yeah.\Yum.\We have them at my place all the time.\Lucky. response:	I used to hate them. They're so old-fashioned.
context: Thanks.\So much potato stuff.\Kawagoe's known for them.\Yeah.\Yum.\We have them at my place all the time.\Lucky.\I used to hate them. They're so old-fashioned. response:	I like them now, though.
context: So much potato stuff.\Kawagoe's known for them.\Yeah.\Yum.\We have them at my place all the time.\Lucky.\I used to hate them. They're so old-fashioned.\I like them now, though. response:	I have one of these.
context: Kawagoe's known for them.\Yeah.\Yum.\We have them at my place all the time.\Lucky.\I used to hate them. They're so old-fashioned.\I like them now, though.\I have one of these. response:	It feels really nice. Try it.
context: Yeah.\Yum.\We have them at my place all the time.\Lucky.\I used to hate them. They're so old-fashioned.\I like them now, though.\I have one of these.\It feels really nice. Try it. response:	You're right.
