context: Yuueisha response:	What are you doing?!
context: Thank you very much!\Even though we're going against your wishes,\thank you for giving us advice, Hattori-san.\I believe you're thoroughly unsuited to doing mainstream.\What I'm saying right now are...\just some honest facts to stop you from doing mainstream.\I told you tear-jerking scenes are strong ones, didn't I?\Yes. response:	The readers have a good eye for these things,
context: Even though we're going against your wishes,\thank you for giving us advice, Hattori-san.\I believe you're thoroughly unsuited to doing mainstream.\What I'm saying right now are...\just some honest facts to stop you from doing mainstream.\I told you tear-jerking scenes are strong ones, didn't I?\Yes.\The readers have a good eye for these things, response:	so if your plan is to make them cry, they'll see through it.
context: thank you for giving us advice, Hattori-san.\I believe you're thoroughly unsuited to doing mainstream.\What I'm saying right now are...\just some honest facts to stop you from doing mainstream.\I told you tear-jerking scenes are strong ones, didn't I?\Yes.\The readers have a good eye for these things,\so if your plan is to make them cry, they'll see through it. response:	So they're just be bored by it, instead?
context: I believe you're thoroughly unsuited to doing mainstream.\What I'm saying right now are...\just some honest facts to stop you from doing mainstream.\I told you tear-jerking scenes are strong ones, didn't I?\Yes.\The readers have a good eye for these things,\so if your plan is to make them cry, they'll see through it.\So they're just be bored by it, instead? response:	Yes.
context: What I'm saying right now are...\just some honest facts to stop you from doing mainstream.\I told you tear-jerking scenes are strong ones, didn't I?\Yes.\The readers have a good eye for these things,\so if your plan is to make them cry, they'll see through it.\So they're just be bored by it, instead?\Yes. response:	It's like, you can't create the story too much...
context: just some honest facts to stop you from doing mainstream.\I told you tear-jerking scenes are strong ones, didn't I?\Yes.\The readers have a good eye for these things,\so if your plan is to make them cry, they'll see through it.\So they're just be bored by it, instead?\Yes.\It's like, you can't create the story too much... response:	How should I put it...?
context: I told you tear-jerking scenes are strong ones, didn't I?\Yes.\The readers have a good eye for these things,\so if your plan is to make them cry, they'll see through it.\So they're just be bored by it, instead?\Yes.\It's like, you can't create the story too much...\How should I put it...? response:	Just draw it without thinking!
context: Yes.\The readers have a good eye for these things,\so if your plan is to make them cry, they'll see through it.\So they're just be bored by it, instead?\Yes.\It's like, you can't create the story too much...\How should I put it...?\Just draw it without thinking! response:	Niizuma-kun?!
context: The readers have a good eye for these things,\so if your plan is to make them cry, they'll see through it.\So they're just be bored by it, instead?\Yes.\It's like, you can't create the story too much...\How should I put it...?\Just draw it without thinking!\Niizuma-kun?! response:	Again?
context: so if your plan is to make them cry, they'll see through it.\So they're just be bored by it, instead?\Yes.\It's like, you can't create the story too much...\How should I put it...?\Just draw it without thinking!\Niizuma-kun?!\Again? response:	They decided to serialize CROW,
context: So they're just be bored by it, instead?\Yes.\It's like, you can't create the story too much...\How should I put it...?\Just draw it without thinking!\Niizuma-kun?!\Again?\They decided to serialize CROW, response:	so I said I wanted to say hi to Ashirogi-sensei before going home.
context: Yes.\It's like, you can't create the story too much...\How should I put it...?\Just draw it without thinking!\Niizuma-kun?!\Again?\They decided to serialize CROW,\so I said I wanted to say hi to Ashirogi-sensei before going home. response:	Why is he acting so buddy-buddy with us?
context: It's like, you can't create the story too much...\How should I put it...?\Just draw it without thinking!\Niizuma-kun?!\Again?\They decided to serialize CROW,\so I said I wanted to say hi to Ashirogi-sensei before going home.\Why is he acting so buddy-buddy with us? response:	Niizuma-san...
context: How should I put it...?\Just draw it without thinking!\Niizuma-kun?!\Again?\They decided to serialize CROW,\so I said I wanted to say hi to Ashirogi-sensei before going home.\Why is he acting so buddy-buddy with us?\Niizuma-san... response:	What do you mean by draw without thinking?
context: Just draw it without thinking!\Niizuma-kun?!\Again?\They decided to serialize CROW,\so I said I wanted to say hi to Ashirogi-sensei before going home.\Why is he acting so buddy-buddy with us?\Niizuma-san...\What do you mean by draw without thinking? response:	Hey!
context: Niizuma-kun?!\Again?\They decided to serialize CROW,\so I said I wanted to say hi to Ashirogi-sensei before going home.\Why is he acting so buddy-buddy with us?\Niizuma-san...\What do you mean by draw without thinking?\Hey! response:	I don't think when I'm drawing names.
context: Again?\They decided to serialize CROW,\so I said I wanted to say hi to Ashirogi-sensei before going home.\Why is he acting so buddy-buddy with us?\Niizuma-san...\What do you mean by draw without thinking?\Hey!\I don't think when I'm drawing names. response:	Well, it's more like, I don't want to draw names.
context: They decided to serialize CROW,\so I said I wanted to say hi to Ashirogi-sensei before going home.\Why is he acting so buddy-buddy with us?\Niizuma-san...\What do you mean by draw without thinking?\Hey!\I don't think when I'm drawing names.\Well, it's more like, I don't want to draw names. response:	I think everybody probably thinks the same way,
context: so I said I wanted to say hi to Ashirogi-sensei before going home.\Why is he acting so buddy-buddy with us?\Niizuma-san...\What do you mean by draw without thinking?\Hey!\I don't think when I'm drawing names.\Well, it's more like, I don't want to draw names.\I think everybody probably thinks the same way, response:	so I think it's kind of weird that editors are always going on about making names.
context: Why is he acting so buddy-buddy with us?\Niizuma-san...\What do you mean by draw without thinking?\Hey!\I don't think when I'm drawing names.\Well, it's more like, I don't want to draw names.\I think everybody probably thinks the same way,\so I think it's kind of weird that editors are always going on about making names. response:	They made me write a name for YELLOW HIT, too,
context: Niizuma-san...\What do you mean by draw without thinking?\Hey!\I don't think when I'm drawing names.\Well, it's more like, I don't want to draw names.\I think everybody probably thinks the same way,\so I think it's kind of weird that editors are always going on about making names.\They made me write a name for YELLOW HIT, too, response:	but that wasn't any fun.
context: What do you mean by draw without thinking?\Hey!\I don't think when I'm drawing names.\Well, it's more like, I don't want to draw names.\I think everybody probably thinks the same way,\so I think it's kind of weird that editors are always going on about making names.\They made me write a name for YELLOW HIT, too,\but that wasn't any fun. response:	You drew a name here a little while ago, though,
context: Hey!\I don't think when I'm drawing names.\Well, it's more like, I don't want to draw names.\I think everybody probably thinks the same way,\so I think it's kind of weird that editors are always going on about making names.\They made me write a name for YELLOW HIT, too,\but that wasn't any fun.\You drew a name here a little while ago, though, response:	and it was incredibly fast.
context: I don't think when I'm drawing names.\Well, it's more like, I don't want to draw names.\I think everybody probably thinks the same way,\so I think it's kind of weird that editors are always going on about making names.\They made me write a name for YELLOW HIT, too,\but that wasn't any fun.\You drew a name here a little while ago, though,\and it was incredibly fast. response:	You did a 25-page second chapter...
context: Well, it's more like, I don't want to draw names.\I think everybody probably thinks the same way,\so I think it's kind of weird that editors are always going on about making names.\They made me write a name for YELLOW HIT, too,\but that wasn't any fun.\You drew a name here a little while ago, though,\and it was incredibly fast.\You did a 25-page second chapter... response:	and a 23-page third chapter in just 30 minutes...
context: I think everybody probably thinks the same way,\so I think it's kind of weird that editors are always going on about making names.\They made me write a name for YELLOW HIT, too,\but that wasn't any fun.\You drew a name here a little while ago, though,\and it was incredibly fast.\You did a 25-page second chapter...\and a 23-page third chapter in just 30 minutes... response:	No matter how much of it you already had done in your head, that was fast!
context: so I think it's kind of weird that editors are always going on about making names.\They made me write a name for YELLOW HIT, too,\but that wasn't any fun.\You drew a name here a little while ago, though,\and it was incredibly fast.\You did a 25-page second chapter...\and a 23-page third chapter in just 30 minutes...\No matter how much of it you already had done in your head, that was fast! response:	That was a lie.
context: They made me write a name for YELLOW HIT, too,\but that wasn't any fun.\You drew a name here a little while ago, though,\and it was incredibly fast.\You did a 25-page second chapter...\and a 23-page third chapter in just 30 minutes...\No matter how much of it you already had done in your head, that was fast!\That was a lie. response:	I didn't have it in my head.
context: but that wasn't any fun.\You drew a name here a little while ago, though,\and it was incredibly fast.\You did a 25-page second chapter...\and a 23-page third chapter in just 30 minutes...\No matter how much of it you already had done in your head, that was fast!\That was a lie.\I didn't have it in my head. response:	You didn't?!
context: You drew a name here a little while ago, though,\and it was incredibly fast.\You did a 25-page second chapter...\and a 23-page third chapter in just 30 minutes...\No matter how much of it you already had done in your head, that was fast!\That was a lie.\I didn't have it in my head.\You didn't?! response:	If I had said I didn't have a name thought up already,
context: and it was incredibly fast.\You did a 25-page second chapter...\and a 23-page third chapter in just 30 minutes...\No matter how much of it you already had done in your head, that was fast!\That was a lie.\I didn't have it in my head.\You didn't?!\If I had said I didn't have a name thought up already, response:	I thought they might not let me serialize it,
context: You did a 25-page second chapter...\and a 23-page third chapter in just 30 minutes...\No matter how much of it you already had done in your head, that was fast!\That was a lie.\I didn't have it in my head.\You didn't?!\If I had said I didn't have a name thought up already,\I thought they might not let me serialize it, response:	so I told them that.
context: and a 23-page third chapter in just 30 minutes...\No matter how much of it you already had done in your head, that was fast!\That was a lie.\I didn't have it in my head.\You didn't?!\If I had said I didn't have a name thought up already,\I thought they might not let me serialize it,\so I told them that. response:	If you didn't have it in your head already...
context: No matter how much of it you already had done in your head, that was fast!\That was a lie.\I didn't have it in my head.\You didn't?!\If I had said I didn't have a name thought up already,\I thought they might not let me serialize it,\so I told them that.\If you didn't have it in your head already... response:	how were you able to draw it so smoothly?
context: That was a lie.\I didn't have it in my head.\You didn't?!\If I had said I didn't have a name thought up already,\I thought they might not let me serialize it,\so I told them that.\If you didn't have it in your head already...\how were you able to draw it so smoothly? response:	The characters I like just move by themselves!
context: I didn't have it in my head.\You didn't?!\If I had said I didn't have a name thought up already,\I thought they might not let me serialize it,\so I told them that.\If you didn't have it in your head already...\how were you able to draw it so smoothly?\The characters I like just move by themselves! response:	Move!
context: You didn't?!\If I had said I didn't have a name thought up already,\I thought they might not let me serialize it,\so I told them that.\If you didn't have it in your head already...\how were you able to draw it so smoothly?\The characters I like just move by themselves!\Move! response:	I want to see them move,
context: If I had said I didn't have a name thought up already,\I thought they might not let me serialize it,\so I told them that.\If you didn't have it in your head already...\how were you able to draw it so smoothly?\The characters I like just move by themselves!\Move!\I want to see them move, response:	and even I get excited to see how they'll move and I just can't stop.
context: I thought they might not let me serialize it,\so I told them that.\If you didn't have it in your head already...\how were you able to draw it so smoothly?\The characters I like just move by themselves!\Move!\I want to see them move,\and even I get excited to see how they'll move and I just can't stop. response:	Isn't that how it is for everyone?
context: so I told them that.\If you didn't have it in your head already...\how were you able to draw it so smoothly?\The characters I like just move by themselves!\Move!\I want to see them move,\and even I get excited to see how they'll move and I just can't stop.\Isn't that how it is for everyone? response:	Characters he though of himself...
context: If you didn't have it in your head already...\how were you able to draw it so smoothly?\The characters I like just move by themselves!\Move!\I want to see them move,\and even I get excited to see how they'll move and I just can't stop.\Isn't that how it is for everyone?\Characters he though of himself... response:	move freely, outside of his control?
context: how were you able to draw it so smoothly?\The characters I like just move by themselves!\Move!\I want to see them move,\and even I get excited to see how they'll move and I just can't stop.\Isn't that how it is for everyone?\Characters he though of himself...\move freely, outside of his control? response:	Is that how manga really works?
context: The characters I like just move by themselves!\Move!\I want to see them move,\and even I get excited to see how they'll move and I just can't stop.\Isn't that how it is for everyone?\Characters he though of himself...\move freely, outside of his control?\Is that how manga really works? response:	This is bad.
context: Move!\I want to see them move,\and even I get excited to see how they'll move and I just can't stop.\Isn't that how it is for everyone?\Characters he though of himself...\move freely, outside of his control?\Is that how manga really works?\This is bad. response:	He's a totally different type from these two.
context: I want to see them move,\and even I get excited to see how they'll move and I just can't stop.\Isn't that how it is for everyone?\Characters he though of himself...\move freely, outside of his control?\Is that how manga really works?\This is bad.\He's a totally different type from these two. response:	I can't let them hear anymore of this...
context: and even I get excited to see how they'll move and I just can't stop.\Isn't that how it is for everyone?\Characters he though of himself...\move freely, outside of his control?\Is that how manga really works?\This is bad.\He's a totally different type from these two.\I can't let them hear anymore of this... response:	Movement!
context: Isn't that how it is for everyone?\Characters he though of himself...\move freely, outside of his control?\Is that how manga really works?\This is bad.\He's a totally different type from these two.\I can't let them hear anymore of this...\Movement! response:	Niizuma-kun!
context: Characters he though of himself...\move freely, outside of his control?\Is that how manga really works?\This is bad.\He's a totally different type from these two.\I can't let them hear anymore of this...\Movement!\Niizuma-kun! response:	It's true that the best-case scenario is to have fun while drawing something interesting,
context: move freely, outside of his control?\Is that how manga really works?\This is bad.\He's a totally different type from these two.\I can't let them hear anymore of this...\Movement!\Niizuma-kun!\It's true that the best-case scenario is to have fun while drawing something interesting, response:	but normally you draw it after making a name...
context: Is that how manga really works?\This is bad.\He's a totally different type from these two.\I can't let them hear anymore of this...\Movement!\Niizuma-kun!\It's true that the best-case scenario is to have fun while drawing something interesting,\but normally you draw it after making a name... response:	and the hard thinking comes before the name is done.
context: This is bad.\He's a totally different type from these two.\I can't let them hear anymore of this...\Movement!\Niizuma-kun!\It's true that the best-case scenario is to have fun while drawing something interesting,\but normally you draw it after making a name...\and the hard thinking comes before the name is done. response:	Hmm...
context: He's a totally different type from these two.\I can't let them hear anymore of this...\Movement!\Niizuma-kun!\It's true that the best-case scenario is to have fun while drawing something interesting,\but normally you draw it after making a name...\and the hard thinking comes before the name is done.\Hmm... response:	I guess if I weren't thinking, I couldn't draw.
