context: This is your last chance to surrender, Garo! response:	You're thinking, This isn't how it was supposed to go down, huh?
context: so that we can hunt you!\Highly skilled heroes, eh?\Am I the only one who finds that line funny?\What about all the Class S heroes?\The Hero Association still doesn't understand how dangerous I am?\You all seem like a hodgepodge I'd find in some value pack.\It's not exciting me at all.\So you only pay attention to Class S heroes? response:	Those Class S heroes sure are popular.
context: Highly skilled heroes, eh?\Am I the only one who finds that line funny?\What about all the Class S heroes?\The Hero Association still doesn't understand how dangerous I am?\You all seem like a hodgepodge I'd find in some value pack.\It's not exciting me at all.\So you only pay attention to Class S heroes?\Those Class S heroes sure are popular. response:	The Hero Association treats them like they're all special, too.
context: Am I the only one who finds that line funny?\What about all the Class S heroes?\The Hero Association still doesn't understand how dangerous I am?\You all seem like a hodgepodge I'd find in some value pack.\It's not exciting me at all.\So you only pay attention to Class S heroes?\Those Class S heroes sure are popular.\The Hero Association treats them like they're all special, too. response:	Apparently there are even secret briefings that are only with the Class S heroes.
context: What about all the Class S heroes?\The Hero Association still doesn't understand how dangerous I am?\You all seem like a hodgepodge I'd find in some value pack.\It's not exciting me at all.\So you only pay attention to Class S heroes?\Those Class S heroes sure are popular.\The Hero Association treats them like they're all special, too.\Apparently there are even secret briefings that are only with the Class S heroes. response:	We're all heroes, so why are we treated so differently?
context: The Hero Association still doesn't understand how dangerous I am?\You all seem like a hodgepodge I'd find in some value pack.\It's not exciting me at all.\So you only pay attention to Class S heroes?\Those Class S heroes sure are popular.\The Hero Association treats them like they're all special, too.\Apparently there are even secret briefings that are only with the Class S heroes.\We're all heroes, so why are we treated so differently? response:	Because we have rankings, there's a hierarchy,
context: You all seem like a hodgepodge I'd find in some value pack.\It's not exciting me at all.\So you only pay attention to Class S heroes?\Those Class S heroes sure are popular.\The Hero Association treats them like they're all special, too.\Apparently there are even secret briefings that are only with the Class S heroes.\We're all heroes, so why are we treated so differently?\Because we have rankings, there's a hierarchy, response:	and there are plenty of talented heroes who go unnoticed.
context: It's not exciting me at all.\So you only pay attention to Class S heroes?\Those Class S heroes sure are popular.\The Hero Association treats them like they're all special, too.\Apparently there are even secret briefings that are only with the Class S heroes.\We're all heroes, so why are we treated so differently?\Because we have rankings, there's a hierarchy,\and there are plenty of talented heroes who go unnoticed. response:	There are valuable heroes who aren't Class S heroes.
context: So you only pay attention to Class S heroes?\Those Class S heroes sure are popular.\The Hero Association treats them like they're all special, too.\Apparently there are even secret briefings that are only with the Class S heroes.\We're all heroes, so why are we treated so differently?\Because we have rankings, there's a hierarchy,\and there are plenty of talented heroes who go unnoticed.\There are valuable heroes who aren't Class S heroes. response:	That's right. Since you made a name for yourself by defeating Class S heroes,
context: Those Class S heroes sure are popular.\The Hero Association treats them like they're all special, too.\Apparently there are even secret briefings that are only with the Class S heroes.\We're all heroes, so why are we treated so differently?\Because we have rankings, there's a hierarchy,\and there are plenty of talented heroes who go unnoticed.\There are valuable heroes who aren't Class S heroes.\That's right. Since you made a name for yourself by defeating Class S heroes, response:	you're the perfect target to let the world know just that!
context: The Hero Association treats them like they're all special, too.\Apparently there are even secret briefings that are only with the Class S heroes.\We're all heroes, so why are we treated so differently?\Because we have rankings, there's a hierarchy,\and there are plenty of talented heroes who go unnoticed.\There are valuable heroes who aren't Class S heroes.\That's right. Since you made a name for yourself by defeating Class S heroes,\you're the perfect target to let the world know just that! response:	So you didn't invite any Class S heroes
context: Apparently there are even secret briefings that are only with the Class S heroes.\We're all heroes, so why are we treated so differently?\Because we have rankings, there's a hierarchy,\and there are plenty of talented heroes who go unnoticed.\There are valuable heroes who aren't Class S heroes.\That's right. Since you made a name for yourself by defeating Class S heroes,\you're the perfect target to let the world know just that!\So you didn't invite any Class S heroes response:	because you wanted to make a name for yourselves?
context: We're all heroes, so why are we treated so differently?\Because we have rankings, there's a hierarchy,\and there are plenty of talented heroes who go unnoticed.\There are valuable heroes who aren't Class S heroes.\That's right. Since you made a name for yourself by defeating Class S heroes,\you're the perfect target to let the world know just that!\So you didn't invite any Class S heroes\because you wanted to make a name for yourselves? response:	I bet some kids would be disappointed to hear that.
context: Because we have rankings, there's a hierarchy,\and there are plenty of talented heroes who go unnoticed.\There are valuable heroes who aren't Class S heroes.\That's right. Since you made a name for yourself by defeating Class S heroes,\you're the perfect target to let the world know just that!\So you didn't invite any Class S heroes\because you wanted to make a name for yourselves?\I bet some kids would be disappointed to hear that. response:	It's hard to breathe... I'm getting dizzy, too.
context: and there are plenty of talented heroes who go unnoticed.\There are valuable heroes who aren't Class S heroes.\That's right. Since you made a name for yourself by defeating Class S heroes,\you're the perfect target to let the world know just that!\So you didn't invite any Class S heroes\because you wanted to make a name for yourselves?\I bet some kids would be disappointed to hear that.\It's hard to breathe... I'm getting dizzy, too. response:	Is it the poison?
context: There are valuable heroes who aren't Class S heroes.\That's right. Since you made a name for yourself by defeating Class S heroes,\you're the perfect target to let the world know just that!\So you didn't invite any Class S heroes\because you wanted to make a name for yourselves?\I bet some kids would be disappointed to hear that.\It's hard to breathe... I'm getting dizzy, too.\Is it the poison? response:	Looks like the Monster Association is causing a fuss right now.
context: That's right. Since you made a name for yourself by defeating Class S heroes,\you're the perfect target to let the world know just that!\So you didn't invite any Class S heroes\because you wanted to make a name for yourselves?\I bet some kids would be disappointed to hear that.\It's hard to breathe... I'm getting dizzy, too.\Is it the poison?\Looks like the Monster Association is causing a fuss right now. response:	You sure you have time to mess around with me?
context: you're the perfect target to let the world know just that!\So you didn't invite any Class S heroes\because you wanted to make a name for yourselves?\I bet some kids would be disappointed to hear that.\It's hard to breathe... I'm getting dizzy, too.\Is it the poison?\Looks like the Monster Association is causing a fuss right now.\You sure you have time to mess around with me? response:	Shouldn't you be concentrating on rescuing the hostage first?
context: So you didn't invite any Class S heroes\because you wanted to make a name for yourselves?\I bet some kids would be disappointed to hear that.\It's hard to breathe... I'm getting dizzy, too.\Is it the poison?\Looks like the Monster Association is causing a fuss right now.\You sure you have time to mess around with me?\Shouldn't you be concentrating on rescuing the hostage first? response:	Of course, we're going after the Monster Association right after we deal with you.
context: because you wanted to make a name for yourselves?\I bet some kids would be disappointed to hear that.\It's hard to breathe... I'm getting dizzy, too.\Is it the poison?\Looks like the Monster Association is causing a fuss right now.\You sure you have time to mess around with me?\Shouldn't you be concentrating on rescuing the hostage first?\Of course, we're going after the Monster Association right after we deal with you. response:	We'll teach all those monsters who are getting full of themselves a lesson.
context: I bet some kids would be disappointed to hear that.\It's hard to breathe... I'm getting dizzy, too.\Is it the poison?\Looks like the Monster Association is causing a fuss right now.\You sure you have time to mess around with me?\Shouldn't you be concentrating on rescuing the hostage first?\Of course, we're going after the Monster Association right after we deal with you.\We'll teach all those monsters who are getting full of themselves a lesson. response:	These guys are a staircase.
context: It's hard to breathe... I'm getting dizzy, too.\Is it the poison?\Looks like the Monster Association is causing a fuss right now.\You sure you have time to mess around with me?\Shouldn't you be concentrating on rescuing the hostage first?\Of course, we're going after the Monster Association right after we deal with you.\We'll teach all those monsters who are getting full of themselves a lesson.\These guys are a staircase. response:	They're a staircase I have to climb in order to become a real monster.
context: Is it the poison?\Looks like the Monster Association is causing a fuss right now.\You sure you have time to mess around with me?\Shouldn't you be concentrating on rescuing the hostage first?\Of course, we're going after the Monster Association right after we deal with you.\We'll teach all those monsters who are getting full of themselves a lesson.\These guys are a staircase.\They're a staircase I have to climb in order to become a real monster. response:	I won't go back down!
context: Looks like the Monster Association is causing a fuss right now.\You sure you have time to mess around with me?\Shouldn't you be concentrating on rescuing the hostage first?\Of course, we're going after the Monster Association right after we deal with you.\We'll teach all those monsters who are getting full of themselves a lesson.\These guys are a staircase.\They're a staircase I have to climb in order to become a real monster.\I won't go back down! response:	Looks like the poison's circulated.
context: You sure you have time to mess around with me?\Shouldn't you be concentrating on rescuing the hostage first?\Of course, we're going after the Monster Association right after we deal with you.\We'll teach all those monsters who are getting full of themselves a lesson.\These guys are a staircase.\They're a staircase I have to climb in order to become a real monster.\I won't go back down!\Looks like the poison's circulated. response:	You must be reaching your limit.
context: Shouldn't you be concentrating on rescuing the hostage first?\Of course, we're going after the Monster Association right after we deal with you.\We'll teach all those monsters who are getting full of themselves a lesson.\These guys are a staircase.\They're a staircase I have to climb in order to become a real monster.\I won't go back down!\Looks like the poison's circulated.\You must be reaching your limit. response:	I'll walk over them all, one by one,
context: Of course, we're going after the Monster Association right after we deal with you.\We'll teach all those monsters who are getting full of themselves a lesson.\These guys are a staircase.\They're a staircase I have to climb in order to become a real monster.\I won't go back down!\Looks like the poison's circulated.\You must be reaching your limit.\I'll walk over them all, one by one, response:	and make my way up!
context: We'll teach all those monsters who are getting full of themselves a lesson.\These guys are a staircase.\They're a staircase I have to climb in order to become a real monster.\I won't go back down!\Looks like the poison's circulated.\You must be reaching your limit.\I'll walk over them all, one by one,\and make my way up! response:	Did you see Justice Man yesterday?
context: These guys are a staircase.\They're a staircase I have to climb in order to become a real monster.\I won't go back down!\Looks like the poison's circulated.\You must be reaching your limit.\I'll walk over them all, one by one,\and make my way up!\Did you see Justice Man yesterday? response:	He finally used his new special move! Justice Fire Kick!
context: They're a staircase I have to climb in order to become a real monster.\I won't go back down!\Looks like the poison's circulated.\You must be reaching your limit.\I'll walk over them all, one by one,\and make my way up!\Did you see Justice Man yesterday?\He finally used his new special move! Justice Fire Kick! response:	It was so cool!
context: I won't go back down!\Looks like the poison's circulated.\You must be reaching your limit.\I'll walk over them all, one by one,\and make my way up!\Did you see Justice Man yesterday?\He finally used his new special move! Justice Fire Kick!\It was so cool! response:	Also, that one part was hilarious.
context: Looks like the poison's circulated.\You must be reaching your limit.\I'll walk over them all, one by one,\and make my way up!\Did you see Justice Man yesterday?\He finally used his new special move! Justice Fire Kick!\It was so cool!\Also, that one part was hilarious. response:	When Crab Demon died.
context: You must be reaching your limit.\I'll walk over them all, one by one,\and make my way up!\Did you see Justice Man yesterday?\He finally used his new special move! Justice Fire Kick!\It was so cool!\Also, that one part was hilarious.\When Crab Demon died. response:	Yeah, the way it reacted when Justice Man showed no mercy to the eggs it was hiding!
context: I'll walk over them all, one by one,\and make my way up!\Did you see Justice Man yesterday?\He finally used his new special move! Justice Fire Kick!\It was so cool!\Also, that one part was hilarious.\When Crab Demon died.\Yeah, the way it reacted when Justice Man showed no mercy to the eggs it was hiding! response:	Crab Demon put up a good fight, though!
context: and make my way up!\Did you see Justice Man yesterday?\He finally used his new special move! Justice Fire Kick!\It was so cool!\Also, that one part was hilarious.\When Crab Demon died.\Yeah, the way it reacted when Justice Man showed no mercy to the eggs it was hiding!\Crab Demon put up a good fight, though! response:	When Mach Woman and Little Justice joined the fight,
context: Did you see Justice Man yesterday?\He finally used his new special move! Justice Fire Kick!\It was so cool!\Also, that one part was hilarious.\When Crab Demon died.\Yeah, the way it reacted when Justice Man showed no mercy to the eggs it was hiding!\Crab Demon put up a good fight, though!\When Mach Woman and Little Justice joined the fight, response:	Crab Demon had to face all three of them alone, and it still held its own!
context: He finally used his new special move! Justice Fire Kick!\It was so cool!\Also, that one part was hilarious.\When Crab Demon died.\Yeah, the way it reacted when Justice Man showed no mercy to the eggs it was hiding!\Crab Demon put up a good fight, though!\When Mach Woman and Little Justice joined the fight,\Crab Demon had to face all three of them alone, and it still held its own! response:	What?
context: It was so cool!\Also, that one part was hilarious.\When Crab Demon died.\Yeah, the way it reacted when Justice Man showed no mercy to the eggs it was hiding!\Crab Demon put up a good fight, though!\When Mach Woman and Little Justice joined the fight,\Crab Demon had to face all three of them alone, and it still held its own!\What? response:	Why are you rooting for Crab Demon?
context: Also, that one part was hilarious.\When Crab Demon died.\Yeah, the way it reacted when Justice Man showed no mercy to the eggs it was hiding!\Crab Demon put up a good fight, though!\When Mach Woman and Little Justice joined the fight,\Crab Demon had to face all three of them alone, and it still held its own!\What?\Why are you rooting for Crab Demon? response:	Because Crab Demon just wanted to protect the beautiful ocean!
context: When Crab Demon died.\Yeah, the way it reacted when Justice Man showed no mercy to the eggs it was hiding!\Crab Demon put up a good fight, though!\When Mach Woman and Little Justice joined the fight,\Crab Demon had to face all three of them alone, and it still held its own!\What?\Why are you rooting for Crab Demon?\Because Crab Demon just wanted to protect the beautiful ocean! response:	It was fighting on its own just for that!
context: Yeah, the way it reacted when Justice Man showed no mercy to the eggs it was hiding!\Crab Demon put up a good fight, though!\When Mach Woman and Little Justice joined the fight,\Crab Demon had to face all three of them alone, and it still held its own!\What?\Why are you rooting for Crab Demon?\Because Crab Demon just wanted to protect the beautiful ocean!\It was fighting on its own just for that! response:	If it were just a little stronger, it would've won...
context: Crab Demon put up a good fight, though!\When Mach Woman and Little Justice joined the fight,\Crab Demon had to face all three of them alone, and it still held its own!\What?\Why are you rooting for Crab Demon?\Because Crab Demon just wanted to protect the beautiful ocean!\It was fighting on its own just for that!\If it were just a little stronger, it would've won... response:	It must've felt so disappointed...
context: When Mach Woman and Little Justice joined the fight,\Crab Demon had to face all three of them alone, and it still held its own!\What?\Why are you rooting for Crab Demon?\Because Crab Demon just wanted to protect the beautiful ocean!\It was fighting on its own just for that!\If it were just a little stronger, it would've won...\It must've felt so disappointed... response:	Everyone's Dignity
context: Crab Demon had to face all three of them alone, and it still held its own!\What?\Why are you rooting for Crab Demon?\Because Crab Demon just wanted to protect the beautiful ocean!\It was fighting on its own just for that!\If it were just a little stronger, it would've won...\It must've felt so disappointed...\Everyone's Dignity response:	Now!
context: What?\Why are you rooting for Crab Demon?\Because Crab Demon just wanted to protect the beautiful ocean!\It was fighting on its own just for that!\If it were just a little stronger, it would've won...\It must've felt so disappointed...\Everyone's Dignity\Now! response:	Ankle Noose!
context: Why are you rooting for Crab Demon?\Because Crab Demon just wanted to protect the beautiful ocean!\It was fighting on its own just for that!\If it were just a little stronger, it would've won...\It must've felt so disappointed...\Everyone's Dignity\Now!\Ankle Noose! response:	Earth Rotation of Doom!
context: Because Crab Demon just wanted to protect the beautiful ocean!\It was fighting on its own just for that!\If it were just a little stronger, it would've won...\It must've felt so disappointed...\Everyone's Dignity\Now!\Ankle Noose!\Earth Rotation of Doom! response:	What?
context: It was fighting on its own just for that!\If it were just a little stronger, it would've won...\It must've felt so disappointed...\Everyone's Dignity\Now!\Ankle Noose!\Earth Rotation of Doom!\What? response:	Chain Toad!
context: If it were just a little stronger, it would've won...\It must've felt so disappointed...\Everyone's Dignity\Now!\Ankle Noose!\Earth Rotation of Doom!\What?\Chain Toad! response:	He got me!
context: It must've felt so disappointed...\Everyone's Dignity\Now!\Ankle Noose!\Earth Rotation of Doom!\What?\Chain Toad!\He got me! response:	He's got a blade!
context: Everyone's Dignity\Now!\Ankle Noose!\Earth Rotation of Doom!\What?\Chain Toad!\He got me!\He's got a blade! response:	What? I'm not allowed to have one?
context: Now!\Ankle Noose!\Earth Rotation of Doom!\What?\Chain Toad!\He got me!\He's got a blade!\What? I'm not allowed to have one? response:	Talk about unfair.
context: Ankle Noose!\Earth Rotation of Doom!\What?\Chain Toad!\He got me!\He's got a blade!\What? I'm not allowed to have one?\Talk about unfair. response:	He's been shot in one leg, and the poison should be taking effect...
context: Earth Rotation of Doom!\What?\Chain Toad!\He got me!\He's got a blade!\What? I'm not allowed to have one?\Talk about unfair.\He's been shot in one leg, and the poison should be taking effect... response:	Be careful!
context: What?\Chain Toad!\He got me!\He's got a blade!\What? I'm not allowed to have one?\Talk about unfair.\He's been shot in one leg, and the poison should be taking effect...\Be careful! response:	Leave it to me!
context: Chain Toad!\He got me!\He's got a blade!\What? I'm not allowed to have one?\Talk about unfair.\He's been shot in one leg, and the poison should be taking effect...\Be careful!\Leave it to me! response:	Pile Bison!
context: He got me!\He's got a blade!\What? I'm not allowed to have one?\Talk about unfair.\He's been shot in one leg, and the poison should be taking effect...\Be careful!\Leave it to me!\Pile Bison! response:	Get back!
context: He's got a blade!\What? I'm not allowed to have one?\Talk about unfair.\He's been shot in one leg, and the poison should be taking effect...\Be careful!\Leave it to me!\Pile Bison!\Get back! response:	What? When did
context: What? I'm not allowed to have one?\Talk about unfair.\He's been shot in one leg, and the poison should be taking effect...\Be careful!\Leave it to me!\Pile Bison!\Get back!\What? When did response:	Damn it!
context: Talk about unfair.\He's been shot in one leg, and the poison should be taking effect...\Be careful!\Leave it to me!\Pile Bison!\Get back!\What? When did\Damn it! response:	He figured out the timing! But...
context: He's been shot in one leg, and the poison should be taking effect...\Be careful!\Leave it to me!\Pile Bison!\Get back!\What? When did\Damn it!\He figured out the timing! But... response:	He's wide open from the front!
context: Be careful!\Leave it to me!\Pile Bison!\Get back!\What? When did\Damn it!\He figured out the timing! But...\He's wide open from the front! response:	Shit!
context: Leave it to me!\Pile Bison!\Get back!\What? When did\Damn it!\He figured out the timing! But...\He's wide open from the front!\Shit! response:	Damn it! Put me down!
context: Pile Bison!\Get back!\What? When did\Damn it!\He figured out the timing! But...\He's wide open from the front!\Shit!\Damn it! Put me down! response:	Sing, Bamboo Shoot!
context: Get back!\What? When did\Damn it!\He figured out the timing! But...\He's wide open from the front!\Shit!\Damn it! Put me down!\Sing, Bamboo Shoot! response:	That's half of you.
context: What? When did\Damn it!\He figured out the timing! But...\He's wide open from the front!\Shit!\Damn it! Put me down!\Sing, Bamboo Shoot!\That's half of you. response:	Death Gatling, it won't be so funny if we all lose.
context: Damn it!\He figured out the timing! But...\He's wide open from the front!\Shit!\Damn it! Put me down!\Sing, Bamboo Shoot!\That's half of you.\Death Gatling, it won't be so funny if we all lose. response:	We shouldn't worry about taking him alive anymore.
context: He figured out the timing! But...\He's wide open from the front!\Shit!\Damn it! Put me down!\Sing, Bamboo Shoot!\That's half of you.\Death Gatling, it won't be so funny if we all lose.\We shouldn't worry about taking him alive anymore. response:	Yeah. He chose that for himself.
context: He's wide open from the front!\Shit!\Damn it! Put me down!\Sing, Bamboo Shoot!\That's half of you.\Death Gatling, it won't be so funny if we all lose.\We shouldn't worry about taking him alive anymore.\Yeah. He chose that for himself. response:	He can still move at that speed?
context: Shit!\Damn it! Put me down!\Sing, Bamboo Shoot!\That's half of you.\Death Gatling, it won't be so funny if we all lose.\We shouldn't worry about taking him alive anymore.\Yeah. He chose that for himself.\He can still move at that speed? response:	He should be pretty weakened by now,
context: Damn it! Put me down!\Sing, Bamboo Shoot!\That's half of you.\Death Gatling, it won't be so funny if we all lose.\We shouldn't worry about taking him alive anymore.\Yeah. He chose that for himself.\He can still move at that speed?\He should be pretty weakened by now, response:	yet somehow we're on the ropes.
context: Sing, Bamboo Shoot!\That's half of you.\Death Gatling, it won't be so funny if we all lose.\We shouldn't worry about taking him alive anymore.\Yeah. He chose that for himself.\He can still move at that speed?\He should be pretty weakened by now,\yet somehow we're on the ropes. response:	It definitely doesn't feel like we're fighting a human!
context: That's half of you.\Death Gatling, it won't be so funny if we all lose.\We shouldn't worry about taking him alive anymore.\Yeah. He chose that for himself.\He can still move at that speed?\He should be pretty weakened by now,\yet somehow we're on the ropes.\It definitely doesn't feel like we're fighting a human! response:	Stinger! Fight me one-on-one!
context: Death Gatling, it won't be so funny if we all lose.\We shouldn't worry about taking him alive anymore.\Yeah. He chose that for himself.\He can still move at that speed?\He should be pretty weakened by now,\yet somehow we're on the ropes.\It definitely doesn't feel like we're fighting a human!\Stinger! Fight me one-on-one! response:	Looks like he chose me! Everyone else, stay out of this!
context: We shouldn't worry about taking him alive anymore.\Yeah. He chose that for himself.\He can still move at that speed?\He should be pretty weakened by now,\yet somehow we're on the ropes.\It definitely doesn't feel like we're fighting a human!\Stinger! Fight me one-on-one!\Looks like he chose me! Everyone else, stay out of this! response:	No! We all need to
context: Yeah. He chose that for himself.\He can still move at that speed?\He should be pretty weakened by now,\yet somehow we're on the ropes.\It definitely doesn't feel like we're fighting a human!\Stinger! Fight me one-on-one!\Looks like he chose me! Everyone else, stay out of this!\No! We all need to response:	I'll fill you with holes!
context: He can still move at that speed?\He should be pretty weakened by now,\yet somehow we're on the ropes.\It definitely doesn't feel like we're fighting a human!\Stinger! Fight me one-on-one!\Looks like he chose me! Everyone else, stay out of this!\No! We all need to\I'll fill you with holes! response:	What?!
context: He should be pretty weakened by now,\yet somehow we're on the ropes.\It definitely doesn't feel like we're fighting a human!\Stinger! Fight me one-on-one!\Looks like he chose me! Everyone else, stay out of this!\No! We all need to\I'll fill you with holes!\What?! response:	Thank goodness Stinger is as stupid as I'd heard.
context: yet somehow we're on the ropes.\It definitely doesn't feel like we're fighting a human!\Stinger! Fight me one-on-one!\Looks like he chose me! Everyone else, stay out of this!\No! We all need to\I'll fill you with holes!\What?!\Thank goodness Stinger is as stupid as I'd heard. response:	How dare you?!
context: It definitely doesn't feel like we're fighting a human!\Stinger! Fight me one-on-one!\Looks like he chose me! Everyone else, stay out of this!\No! We all need to\I'll fill you with holes!\What?!\Thank goodness Stinger is as stupid as I'd heard.\How dare you?! response:	Out of the way!
context: Stinger! Fight me one-on-one!\Looks like he chose me! Everyone else, stay out of this!\No! We all need to\I'll fill you with holes!\What?!\Thank goodness Stinger is as stupid as I'd heard.\How dare you?!\Out of the way! response:	I'll take care of him!
context: Looks like he chose me! Everyone else, stay out of this!\No! We all need to\I'll fill you with holes!\What?!\Thank goodness Stinger is as stupid as I'd heard.\How dare you?!\Out of the way!\I'll take care of him! response:	Garo can't dodge my fire right now!
context: No! We all need to\I'll fill you with holes!\What?!\Thank goodness Stinger is as stupid as I'd heard.\How dare you?!\Out of the way!\I'll take care of him!\Garo can't dodge my fire right now! response:	Get away from Garo!
context: I'll fill you with holes!\What?!\Thank goodness Stinger is as stupid as I'd heard.\How dare you?!\Out of the way!\I'll take care of him!\Garo can't dodge my fire right now!\Get away from Garo! response:	Hey, what's wrong?
context: What?!\Thank goodness Stinger is as stupid as I'd heard.\How dare you?!\Out of the way!\I'll take care of him!\Garo can't dodge my fire right now!\Get away from Garo!\Hey, what's wrong? response:	You sure wanted to get up close and personal earlier. Don't run away now.
context: Thank goodness Stinger is as stupid as I'd heard.\How dare you?!\Out of the way!\I'll take care of him!\Garo can't dodge my fire right now!\Get away from Garo!\Hey, what's wrong?\You sure wanted to get up close and personal earlier. Don't run away now. response:	You're making me lonely here!
context: How dare you?!\Out of the way!\I'll take care of him!\Garo can't dodge my fire right now!\Get away from Garo!\Hey, what's wrong?\You sure wanted to get up close and personal earlier. Don't run away now.\You're making me lonely here! response:	I can't get away!
context: Out of the way!\I'll take care of him!\Garo can't dodge my fire right now!\Get away from Garo!\Hey, what's wrong?\You sure wanted to get up close and personal earlier. Don't run away now.\You're making me lonely here!\I can't get away! response:	He's...
context: I'll take care of him!\Garo can't dodge my fire right now!\Get away from Garo!\Hey, what's wrong?\You sure wanted to get up close and personal earlier. Don't run away now.\You're making me lonely here!\I can't get away!\He's... response:	At this rate...
context: Garo can't dodge my fire right now!\Get away from Garo!\Hey, what's wrong?\You sure wanted to get up close and personal earlier. Don't run away now.\You're making me lonely here!\I can't get away!\He's...\At this rate... response:	Now that our formation has been broken, am I just holding everyone back?
context: Get away from Garo!\Hey, what's wrong?\You sure wanted to get up close and personal earlier. Don't run away now.\You're making me lonely here!\I can't get away!\He's...\At this rate...\Now that our formation has been broken, am I just holding everyone back? response:	This newbie is holding us back.
context: Hey, what's wrong?\You sure wanted to get up close and personal earlier. Don't run away now.\You're making me lonely here!\I can't get away!\He's...\At this rate...\Now that our formation has been broken, am I just holding everyone back?\This newbie is holding us back. response:	We shouldn't have to split our earnings with him.
context: You sure wanted to get up close and personal earlier. Don't run away now.\You're making me lonely here!\I can't get away!\He's...\At this rate...\Now that our formation has been broken, am I just holding everyone back?\This newbie is holding us back.\We shouldn't have to split our earnings with him. response:	O-Oh, that's fine. You guys can have it...
context: You're making me lonely here!\I can't get away!\He's...\At this rate...\Now that our formation has been broken, am I just holding everyone back?\This newbie is holding us back.\We shouldn't have to split our earnings with him.\O-Oh, that's fine. You guys can have it... response:	It's all over...
context: I can't get away!\He's...\At this rate...\Now that our formation has been broken, am I just holding everyone back?\This newbie is holding us back.\We shouldn't have to split our earnings with him.\O-Oh, that's fine. You guys can have it...\It's all over... response:	I'm going to be killed!
context: He's...\At this rate...\Now that our formation has been broken, am I just holding everyone back?\This newbie is holding us back.\We shouldn't have to split our earnings with him.\O-Oh, that's fine. You guys can have it...\It's all over...\I'm going to be killed! response:	I'm not cut out to be a hero...
context: At this rate...\Now that our formation has been broken, am I just holding everyone back?\This newbie is holding us back.\We shouldn't have to split our earnings with him.\O-Oh, that's fine. You guys can have it...\It's all over...\I'm going to be killed!\I'm not cut out to be a hero... response:	I'm just a commoner... I'm at my limit!
context: Now that our formation has been broken, am I just holding everyone back?\This newbie is holding us back.\We shouldn't have to split our earnings with him.\O-Oh, that's fine. You guys can have it...\It's all over...\I'm going to be killed!\I'm not cut out to be a hero...\I'm just a commoner... I'm at my limit! response:	Who the heck decides what your limit is, anyway?
