context: The father who fed his son to the demons to fulfill his ambitions. response:	The son who crawled from the ashes to regain the body snatched away from him.
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	12 The story of Banmon, part 2
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\12 The story of Banmon, part 2 response:	What are you?
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\12 The story of Banmon, part 2\What are you? response:	You imbecile!
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\12 The story of Banmon, part 2\What are you?\You imbecile! response:	He is not one you are allowed to address!
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\12 The story of Banmon, part 2\What are you?\You imbecile!\He is not one you are allowed to address! response:	You do not know Lord Daigo Kagemitsu, the lord of our land?
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\12 The story of Banmon, part 2\What are you?\You imbecile!\He is not one you are allowed to address!\You do not know Lord Daigo Kagemitsu, the lord of our land? response:	Where is he?
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\12 The story of Banmon, part 2\What are you?\You imbecile!\He is not one you are allowed to address!\You do not know Lord Daigo Kagemitsu, the lord of our land?\Where is he? response:	What on earth are you?
context: Light it up, baby. I'm gonna burn it up, yeah\12 The story of Banmon, part 2\What are you?\You imbecile!\He is not one you are allowed to address!\You do not know Lord Daigo Kagemitsu, the lord of our land?\Where is he?\What on earth are you? response:	Why are you alive?
context: 12 The story of Banmon, part 2\What are you?\You imbecile!\He is not one you are allowed to address!\You do not know Lord Daigo Kagemitsu, the lord of our land?\Where is he?\What on earth are you?\Why are you alive? response:	You half-born demon child!
context: What are you?\You imbecile!\He is not one you are allowed to address!\You do not know Lord Daigo Kagemitsu, the lord of our land?\Where is he?\What on earth are you?\Why are you alive?\You half-born demon child! response:	Kill him.
context: You imbecile!\He is not one you are allowed to address!\You do not know Lord Daigo Kagemitsu, the lord of our land?\Where is he?\What on earth are you?\Why are you alive?\You half-born demon child!\Kill him. response:	-After him! -Go!
context: He is not one you are allowed to address!\You do not know Lord Daigo Kagemitsu, the lord of our land?\Where is he?\What on earth are you?\Why are you alive?\You half-born demon child!\Kill him.\-After him! -Go! response:	Lord, let us return for now.
context: You do not know Lord Daigo Kagemitsu, the lord of our land?\Where is he?\What on earth are you?\Why are you alive?\You half-born demon child!\Kill him.\-After him! -Go!\Lord, let us return for now. response:	Why are you alive?
context: Where is he?\What on earth are you?\Why are you alive?\You half-born demon child!\Kill him.\-After him! -Go!\Lord, let us return for now.\Why are you alive? response:	There he is!
context: What on earth are you?\Why are you alive?\You half-born demon child!\Kill him.\-After him! -Go!\Lord, let us return for now.\Why are you alive?\There he is! response:	This way, get him!
context: Why are you alive?\You half-born demon child!\Kill him.\-After him! -Go!\Lord, let us return for now.\Why are you alive?\There he is!\This way, get him! response:	Why are you alive?
context: You half-born demon child!\Kill him.\-After him! -Go!\Lord, let us return for now.\Why are you alive?\There he is!\This way, get him!\Why are you alive? response:	You half-born demon child!
context: Kill him.\-After him! -Go!\Lord, let us return for now.\Why are you alive?\There he is!\This way, get him!\Why are you alive?\You half-born demon child! response:	I was only half born? A demon child?
context: -After him! -Go!\Lord, let us return for now.\Why are you alive?\There he is!\This way, get him!\Why are you alive?\You half-born demon child!\I was only half born? A demon child? response:	You jerks, let go of me! Sukeroku!
context: Lord, let us return for now.\Why are you alive?\There he is!\This way, get him!\Why are you alive?\You half-born demon child!\I was only half born? A demon child?\You jerks, let go of me! Sukeroku! response:	Dororo...
context: Why are you alive?\There he is!\This way, get him!\Why are you alive?\You half-born demon child!\I was only half born? A demon child?\You jerks, let go of me! Sukeroku!\Dororo... response:	You've given us enough trouble.
context: There he is!\This way, get him!\Why are you alive?\You half-born demon child!\I was only half born? A demon child?\You jerks, let go of me! Sukeroku!\Dororo...\You've given us enough trouble. response:	Let Sukeroku go. He just came to find his mama.
context: This way, get him!\Why are you alive?\You half-born demon child!\I was only half born? A demon child?\You jerks, let go of me! Sukeroku!\Dororo...\You've given us enough trouble.\Let Sukeroku go. He just came to find his mama. response:	He just wants to go home.
context: Why are you alive?\You half-born demon child!\I was only half born? A demon child?\You jerks, let go of me! Sukeroku!\Dororo...\You've given us enough trouble.\Let Sukeroku go. He just came to find his mama.\He just wants to go home. response:	Shut up! All who come from behind Banmon are from the land of monsters.
context: You half-born demon child!\I was only half born? A demon child?\You jerks, let go of me! Sukeroku!\Dororo...\You've given us enough trouble.\Let Sukeroku go. He just came to find his mama.\He just wants to go home.\Shut up! All who come from behind Banmon are from the land of monsters. response:	Land of monsters?
context: I was only half born? A demon child?\You jerks, let go of me! Sukeroku!\Dororo...\You've given us enough trouble.\Let Sukeroku go. He just came to find his mama.\He just wants to go home.\Shut up! All who come from behind Banmon are from the land of monsters.\Land of monsters? response:	Sukeroku!
context: You jerks, let go of me! Sukeroku!\Dororo...\You've given us enough trouble.\Let Sukeroku go. He just came to find his mama.\He just wants to go home.\Shut up! All who come from behind Banmon are from the land of monsters.\Land of monsters?\Sukeroku! response:	You okay? Are you hurt?
context: Dororo...\You've given us enough trouble.\Let Sukeroku go. He just came to find his mama.\He just wants to go home.\Shut up! All who come from behind Banmon are from the land of monsters.\Land of monsters?\Sukeroku!\You okay? Are you hurt? response:	Couldn't make it home?
context: You've given us enough trouble.\Let Sukeroku go. He just came to find his mama.\He just wants to go home.\Shut up! All who come from behind Banmon are from the land of monsters.\Land of monsters?\Sukeroku!\You okay? Are you hurt?\Couldn't make it home? response:	It was gone.
context: Let Sukeroku go. He just came to find his mama.\He just wants to go home.\Shut up! All who come from behind Banmon are from the land of monsters.\Land of monsters?\Sukeroku!\You okay? Are you hurt?\Couldn't make it home?\It was gone. response:	The whole village...
context: He just wants to go home.\Shut up! All who come from behind Banmon are from the land of monsters.\Land of monsters?\Sukeroku!\You okay? Are you hurt?\Couldn't make it home?\It was gone.\The whole village... response:	They were all killed...
context: Shut up! All who come from behind Banmon are from the land of monsters.\Land of monsters?\Sukeroku!\You okay? Are you hurt?\Couldn't make it home?\It was gone.\The whole village...\They were all killed... response:	I bet Mama was too...
context: Land of monsters?\Sukeroku!\You okay? Are you hurt?\Couldn't make it home?\It was gone.\The whole village...\They were all killed...\I bet Mama was too... response:	Sukeroku, you'll be okay.
context: Sukeroku!\You okay? Are you hurt?\Couldn't make it home?\It was gone.\The whole village...\They were all killed...\I bet Mama was too...\Sukeroku, you'll be okay. response:	Look, you got me.
context: You okay? Are you hurt?\Couldn't make it home?\It was gone.\The whole village...\They were all killed...\I bet Mama was too...\Sukeroku, you'll be okay.\Look, you got me. response:	I know Hyakkimaru will come save us, too.
context: Couldn't make it home?\It was gone.\The whole village...\They were all killed...\I bet Mama was too...\Sukeroku, you'll be okay.\Look, you got me.\I know Hyakkimaru will come save us, too. response:	And we can travel together, how about it?
context: It was gone.\The whole village...\They were all killed...\I bet Mama was too...\Sukeroku, you'll be okay.\Look, you got me.\I know Hyakkimaru will come save us, too.\And we can travel together, how about it? response:	Don't cry.
context: The whole village...\They were all killed...\I bet Mama was too...\Sukeroku, you'll be okay.\Look, you got me.\I know Hyakkimaru will come save us, too.\And we can travel together, how about it?\Don't cry. response:	Yeah, don't cry.
context: They were all killed...\I bet Mama was too...\Sukeroku, you'll be okay.\Look, you got me.\I know Hyakkimaru will come save us, too.\And we can travel together, how about it?\Don't cry.\Yeah, don't cry. response:	Don't worry, Daigo's people are protected by the Goddess of Mercy.
context: I bet Mama was too...\Sukeroku, you'll be okay.\Look, you got me.\I know Hyakkimaru will come save us, too.\And we can travel together, how about it?\Don't cry.\Yeah, don't cry.\Don't worry, Daigo's people are protected by the Goddess of Mercy. response:	Goddess of Mercy?
context: Sukeroku, you'll be okay.\Look, you got me.\I know Hyakkimaru will come save us, too.\And we can travel together, how about it?\Don't cry.\Yeah, don't cry.\Don't worry, Daigo's people are protected by the Goddess of Mercy.\Goddess of Mercy? response:	Yeah, that's why the Asakura clan can't get past that single slab that is Banmon.
context: Look, you got me.\I know Hyakkimaru will come save us, too.\And we can travel together, how about it?\Don't cry.\Yeah, don't cry.\Don't worry, Daigo's people are protected by the Goddess of Mercy.\Goddess of Mercy?\Yeah, that's why the Asakura clan can't get past that single slab that is Banmon. response:	Banmon's protected by demons. The Asakura soldiers said so.
context: I know Hyakkimaru will come save us, too.\And we can travel together, how about it?\Don't cry.\Yeah, don't cry.\Don't worry, Daigo's people are protected by the Goddess of Mercy.\Goddess of Mercy?\Yeah, that's why the Asakura clan can't get past that single slab that is Banmon.\Banmon's protected by demons. The Asakura soldiers said so. response:	Those who try to attack Daigo's land are the real demons and monsters.
context: And we can travel together, how about it?\Don't cry.\Yeah, don't cry.\Don't worry, Daigo's people are protected by the Goddess of Mercy.\Goddess of Mercy?\Yeah, that's why the Asakura clan can't get past that single slab that is Banmon.\Banmon's protected by demons. The Asakura soldiers said so.\Those who try to attack Daigo's land are the real demons and monsters. response:	They will be punished by the heavens.
context: Don't cry.\Yeah, don't cry.\Don't worry, Daigo's people are protected by the Goddess of Mercy.\Goddess of Mercy?\Yeah, that's why the Asakura clan can't get past that single slab that is Banmon.\Banmon's protected by demons. The Asakura soldiers said so.\Those who try to attack Daigo's land are the real demons and monsters.\They will be punished by the heavens. response:	That family crest...
context: Yeah, don't cry.\Don't worry, Daigo's people are protected by the Goddess of Mercy.\Goddess of Mercy?\Yeah, that's why the Asakura clan can't get past that single slab that is Banmon.\Banmon's protected by demons. The Asakura soldiers said so.\Those who try to attack Daigo's land are the real demons and monsters.\They will be punished by the heavens.\That family crest... response:	It is the family crest of the Daigo clan!
context: Don't worry, Daigo's people are protected by the Goddess of Mercy.\Goddess of Mercy?\Yeah, that's why the Asakura clan can't get past that single slab that is Banmon.\Banmon's protected by demons. The Asakura soldiers said so.\Those who try to attack Daigo's land are the real demons and monsters.\They will be punished by the heavens.\That family crest...\It is the family crest of the Daigo clan! response:	There's a hole! It leads outside.
context: Goddess of Mercy?\Yeah, that's why the Asakura clan can't get past that single slab that is Banmon.\Banmon's protected by demons. The Asakura soldiers said so.\Those who try to attack Daigo's land are the real demons and monsters.\They will be punished by the heavens.\That family crest...\It is the family crest of the Daigo clan!\There's a hole! It leads outside. response:	It's too small to go through.
context: Yeah, that's why the Asakura clan can't get past that single slab that is Banmon.\Banmon's protected by demons. The Asakura soldiers said so.\Those who try to attack Daigo's land are the real demons and monsters.\They will be punished by the heavens.\That family crest...\It is the family crest of the Daigo clan!\There's a hole! It leads outside.\It's too small to go through. response:	We're small enough to fit.
context: Banmon's protected by demons. The Asakura soldiers said so.\Those who try to attack Daigo's land are the real demons and monsters.\They will be punished by the heavens.\That family crest...\It is the family crest of the Daigo clan!\There's a hole! It leads outside.\It's too small to go through.\We're small enough to fit. response:	Let's make a run for it, Sukeroku. We'll be killed if we stay.
context: Those who try to attack Daigo's land are the real demons and monsters.\They will be punished by the heavens.\That family crest...\It is the family crest of the Daigo clan!\There's a hole! It leads outside.\It's too small to go through.\We're small enough to fit.\Let's make a run for it, Sukeroku. We'll be killed if we stay. response:	I don't care. I can meet Mama then.
context: They will be punished by the heavens.\That family crest...\It is the family crest of the Daigo clan!\There's a hole! It leads outside.\It's too small to go through.\We're small enough to fit.\Let's make a run for it, Sukeroku. We'll be killed if we stay.\I don't care. I can meet Mama then. response:	You idiot, don't give up yet! Come on, get up.
context: That family crest...\It is the family crest of the Daigo clan!\There's a hole! It leads outside.\It's too small to go through.\We're small enough to fit.\Let's make a run for it, Sukeroku. We'll be killed if we stay.\I don't care. I can meet Mama then.\You idiot, don't give up yet! Come on, get up. response:	No, I'm scared.
context: It is the family crest of the Daigo clan!\There's a hole! It leads outside.\It's too small to go through.\We're small enough to fit.\Let's make a run for it, Sukeroku. We'll be killed if we stay.\I don't care. I can meet Mama then.\You idiot, don't give up yet! Come on, get up.\No, I'm scared. response:	It's too high. Give it up.
context: There's a hole! It leads outside.\It's too small to go through.\We're small enough to fit.\Let's make a run for it, Sukeroku. We'll be killed if we stay.\I don't care. I can meet Mama then.\You idiot, don't give up yet! Come on, get up.\No, I'm scared.\It's too high. Give it up. response:	I'll make it. I'm not dying here.
context: It's too small to go through.\We're small enough to fit.\Let's make a run for it, Sukeroku. We'll be killed if we stay.\I don't care. I can meet Mama then.\You idiot, don't give up yet! Come on, get up.\No, I'm scared.\It's too high. Give it up.\I'll make it. I'm not dying here. response:	I'm not going to lose to samurai and wars.
context: We're small enough to fit.\Let's make a run for it, Sukeroku. We'll be killed if we stay.\I don't care. I can meet Mama then.\You idiot, don't give up yet! Come on, get up.\No, I'm scared.\It's too high. Give it up.\I'll make it. I'm not dying here.\I'm not going to lose to samurai and wars. response:	Wait for me, Sukeroku.
context: Let's make a run for it, Sukeroku. We'll be killed if we stay.\I don't care. I can meet Mama then.\You idiot, don't give up yet! Come on, get up.\No, I'm scared.\It's too high. Give it up.\I'll make it. I'm not dying here.\I'm not going to lose to samurai and wars.\Wait for me, Sukeroku. response:	I'll come save you with Hyakkimaru.
context: I don't care. I can meet Mama then.\You idiot, don't give up yet! Come on, get up.\No, I'm scared.\It's too high. Give it up.\I'll make it. I'm not dying here.\I'm not going to lose to samurai and wars.\Wait for me, Sukeroku.\I'll come save you with Hyakkimaru. response:	Dororo...
context: You idiot, don't give up yet! Come on, get up.\No, I'm scared.\It's too high. Give it up.\I'll make it. I'm not dying here.\I'm not going to lose to samurai and wars.\Wait for me, Sukeroku.\I'll come save you with Hyakkimaru.\Dororo... response:	Young Master, please calm down!
context: No, I'm scared.\It's too high. Give it up.\I'll make it. I'm not dying here.\I'm not going to lose to samurai and wars.\Wait for me, Sukeroku.\I'll come save you with Hyakkimaru.\Dororo...\Young Master, please calm down! response:	Let go of me!
context: It's too high. Give it up.\I'll make it. I'm not dying here.\I'm not going to lose to samurai and wars.\Wait for me, Sukeroku.\I'll come save you with Hyakkimaru.\Dororo...\Young Master, please calm down!\Let go of me! response:	-Mother. -What is the matter, Tahomaru?
context: I'll make it. I'm not dying here.\I'm not going to lose to samurai and wars.\Wait for me, Sukeroku.\I'll come save you with Hyakkimaru.\Dororo...\Young Master, please calm down!\Let go of me!\-Mother. -What is the matter, Tahomaru? response:	Mother.
context: I'm not going to lose to samurai and wars.\Wait for me, Sukeroku.\I'll come save you with Hyakkimaru.\Dororo...\Young Master, please calm down!\Let go of me!\-Mother. -What is the matter, Tahomaru?\Mother. response:	Do you remember a baby whose limbs, eyes, nose, and ears were eaten by demons?
context: Wait for me, Sukeroku.\I'll come save you with Hyakkimaru.\Dororo...\Young Master, please calm down!\Let go of me!\-Mother. -What is the matter, Tahomaru?\Mother.\Do you remember a baby whose limbs, eyes, nose, and ears were eaten by demons? response:	Your child, who you and Father mercilessly fed to the demons 16 years ago?
context: I'll come save you with Hyakkimaru.\Dororo...\Young Master, please calm down!\Let go of me!\-Mother. -What is the matter, Tahomaru?\Mother.\Do you remember a baby whose limbs, eyes, nose, and ears were eaten by demons?\Your child, who you and Father mercilessly fed to the demons 16 years ago? response:	Mother!
context: Dororo...\Young Master, please calm down!\Let go of me!\-Mother. -What is the matter, Tahomaru?\Mother.\Do you remember a baby whose limbs, eyes, nose, and ears were eaten by demons?\Your child, who you and Father mercilessly fed to the demons 16 years ago?\Mother! response:	Not for a single second have I forgotten.
context: Young Master, please calm down!\Let go of me!\-Mother. -What is the matter, Tahomaru?\Mother.\Do you remember a baby whose limbs, eyes, nose, and ears were eaten by demons?\Your child, who you and Father mercilessly fed to the demons 16 years ago?\Mother!\Not for a single second have I forgotten. response:	That punk.
context: Let go of me!\-Mother. -What is the matter, Tahomaru?\Mother.\Do you remember a baby whose limbs, eyes, nose, and ears were eaten by demons?\Your child, who you and Father mercilessly fed to the demons 16 years ago?\Mother!\Not for a single second have I forgotten.\That punk. response:	-An escapee! -Hurry!
context: -Mother. -What is the matter, Tahomaru?\Mother.\Do you remember a baby whose limbs, eyes, nose, and ears were eaten by demons?\Your child, who you and Father mercilessly fed to the demons 16 years ago?\Mother!\Not for a single second have I forgotten.\That punk.\-An escapee! -Hurry! response:	Don't let him get away.
context: Mother.\Do you remember a baby whose limbs, eyes, nose, and ears were eaten by demons?\Your child, who you and Father mercilessly fed to the demons 16 years ago?\Mother!\Not for a single second have I forgotten.\That punk.\-An escapee! -Hurry!\Don't let him get away. response:	Get off of me...
context: Do you remember a baby whose limbs, eyes, nose, and ears were eaten by demons?\Your child, who you and Father mercilessly fed to the demons 16 years ago?\Mother!\Not for a single second have I forgotten.\That punk.\-An escapee! -Hurry!\Don't let him get away.\Get off of me... response:	Go, Dororo!
context: Your child, who you and Father mercilessly fed to the demons 16 years ago?\Mother!\Not for a single second have I forgotten.\That punk.\-An escapee! -Hurry!\Don't let him get away.\Get off of me...\Go, Dororo! response:	I won't give up, I'll be waiting for you!
context: Mother!\Not for a single second have I forgotten.\That punk.\-An escapee! -Hurry!\Don't let him get away.\Get off of me...\Go, Dororo!\I won't give up, I'll be waiting for you! response:	-Sukeroku... -Go!
context: Not for a single second have I forgotten.\That punk.\-An escapee! -Hurry!\Don't let him get away.\Get off of me...\Go, Dororo!\I won't give up, I'll be waiting for you!\-Sukeroku... -Go! response:	I won't lose, either!
context: That punk.\-An escapee! -Hurry!\Don't let him get away.\Get off of me...\Go, Dororo!\I won't give up, I'll be waiting for you!\-Sukeroku... -Go!\I won't lose, either! response:	Be careful!
context: -An escapee! -Hurry!\Don't let him get away.\Get off of me...\Go, Dororo!\I won't give up, I'll be waiting for you!\-Sukeroku... -Go!\I won't lose, either!\Be careful! response:	A baby, down the river?
context: Don't let him get away.\Get off of me...\Go, Dororo!\I won't give up, I'll be waiting for you!\-Sukeroku... -Go!\I won't lose, either!\Be careful!\A baby, down the river? response:	An innocent baby... For the domain?
context: Get off of me...\Go, Dororo!\I won't give up, I'll be waiting for you!\-Sukeroku... -Go!\I won't lose, either!\Be careful!\A baby, down the river?\An innocent baby... For the domain? response:	And you call yourselves parents?
context: Go, Dororo!\I won't give up, I'll be waiting for you!\-Sukeroku... -Go!\I won't lose, either!\Be careful!\A baby, down the river?\An innocent baby... For the domain?\And you call yourselves parents? response:	It was because we are parents.
context: I won't give up, I'll be waiting for you!\-Sukeroku... -Go!\I won't lose, either!\Be careful!\A baby, down the river?\An innocent baby... For the domain?\And you call yourselves parents?\It was because we are parents. response:	Father.
context: -Sukeroku... -Go!\I won't lose, either!\Be careful!\A baby, down the river?\An innocent baby... For the domain?\And you call yourselves parents?\It was because we are parents.\Father. response:	Tahomaru, you do not understand.
context: I won't lose, either!\Be careful!\A baby, down the river?\An innocent baby... For the domain?\And you call yourselves parents?\It was because we are parents.\Father.\Tahomaru, you do not understand. response:	The hellish days this land has seen.
context: Be careful!\A baby, down the river?\An innocent baby... For the domain?\And you call yourselves parents?\It was because we are parents.\Father.\Tahomaru, you do not understand.\The hellish days this land has seen. response:	Repeated famines, epidemics, disasters...
context: A baby, down the river?\An innocent baby... For the domain?\And you call yourselves parents?\It was because we are parents.\Father.\Tahomaru, you do not understand.\The hellish days this land has seen.\Repeated famines, epidemics, disasters... response:	And neighboring domains trying to take over.
context: An innocent baby... For the domain?\And you call yourselves parents?\It was because we are parents.\Father.\Tahomaru, you do not understand.\The hellish days this land has seen.\Repeated famines, epidemics, disasters...\And neighboring domains trying to take over. response:	This land was all but dead.
context: And you call yourselves parents?\It was because we are parents.\Father.\Tahomaru, you do not understand.\The hellish days this land has seen.\Repeated famines, epidemics, disasters...\And neighboring domains trying to take over.\This land was all but dead. response:	And my deal with the demons saved it.
context: It was because we are parents.\Father.\Tahomaru, you do not understand.\The hellish days this land has seen.\Repeated famines, epidemics, disasters...\And neighboring domains trying to take over.\This land was all but dead.\And my deal with the demons saved it. response:	All who live here enjoy its riches now.
context: Father.\Tahomaru, you do not understand.\The hellish days this land has seen.\Repeated famines, epidemics, disasters...\And neighboring domains trying to take over.\This land was all but dead.\And my deal with the demons saved it.\All who live here enjoy its riches now. response:	You didn't do it for the people.
context: Tahomaru, you do not understand.\The hellish days this land has seen.\Repeated famines, epidemics, disasters...\And neighboring domains trying to take over.\This land was all but dead.\And my deal with the demons saved it.\All who live here enjoy its riches now.\You didn't do it for the people. response:	You only did it to fulfill your own ambitions!
context: The hellish days this land has seen.\Repeated famines, epidemics, disasters...\And neighboring domains trying to take over.\This land was all but dead.\And my deal with the demons saved it.\All who live here enjoy its riches now.\You didn't do it for the people.\You only did it to fulfill your own ambitions! response:	A lord's ambitions are his people's ambitions!
context: Repeated famines, epidemics, disasters...\And neighboring domains trying to take over.\This land was all but dead.\And my deal with the demons saved it.\All who live here enjoy its riches now.\You didn't do it for the people.\You only did it to fulfill your own ambitions!\A lord's ambitions are his people's ambitions! response:	And for them, I sacrificed none other than my own child.
context: And neighboring domains trying to take over.\This land was all but dead.\And my deal with the demons saved it.\All who live here enjoy its riches now.\You didn't do it for the people.\You only did it to fulfill your own ambitions!\A lord's ambitions are his people's ambitions!\And for them, I sacrificed none other than my own child. response:	I am not ashamed as a samurai.
context: This land was all but dead.\And my deal with the demons saved it.\All who live here enjoy its riches now.\You didn't do it for the people.\You only did it to fulfill your own ambitions!\A lord's ambitions are his people's ambitions!\And for them, I sacrificed none other than my own child.\I am not ashamed as a samurai. response:	Yet...
context: And my deal with the demons saved it.\All who live here enjoy its riches now.\You didn't do it for the people.\You only did it to fulfill your own ambitions!\A lord's ambitions are his people's ambitions!\And for them, I sacrificed none other than my own child.\I am not ashamed as a samurai.\Yet... response:	Intruder!
