context: I'll sacrifice Passive Defense, Blinding Light, and Night Vision to create... response:	Sacrifice!
context: His pristine skin...\Such a beautiful face.\A face as sweet and calm as the moon.\What if I had taught him properly?\What if I had actually become his master and Bestowed skills upon him?\If I had chosen a different yesterday,\then a different tomorrow would have...\What awaited me after that was 200 years of being alone. response:	But then, one day...
context: Such a beautiful face.\A face as sweet and calm as the moon.\What if I had taught him properly?\What if I had actually become his master and Bestowed skills upon him?\If I had chosen a different yesterday,\then a different tomorrow would have...\What awaited me after that was 200 years of being alone.\But then, one day... response:	U-Um... You are alive, right?
context: A face as sweet and calm as the moon.\What if I had taught him properly?\What if I had actually become his master and Bestowed skills upon him?\If I had chosen a different yesterday,\then a different tomorrow would have...\What awaited me after that was 200 years of being alone.\But then, one day...\U-Um... You are alive, right? response:	Noir, you looked remarkably like that boy.
context: What if I had taught him properly?\What if I had actually become his master and Bestowed skills upon him?\If I had chosen a different yesterday,\then a different tomorrow would have...\What awaited me after that was 200 years of being alone.\But then, one day...\U-Um... You are alive, right?\Noir, you looked remarkably like that boy. response:	I may have given you those skills just to make myself feel better.
context: What if I had actually become his master and Bestowed skills upon him?\If I had chosen a different yesterday,\then a different tomorrow would have...\What awaited me after that was 200 years of being alone.\But then, one day...\U-Um... You are alive, right?\Noir, you looked remarkably like that boy.\I may have given you those skills just to make myself feel better. response:	It won't change the past, and the regrets remain.
context: If I had chosen a different yesterday,\then a different tomorrow would have...\What awaited me after that was 200 years of being alone.\But then, one day...\U-Um... You are alive, right?\Noir, you looked remarkably like that boy.\I may have given you those skills just to make myself feel better.\It won't change the past, and the regrets remain. response:	But...
context: then a different tomorrow would have...\What awaited me after that was 200 years of being alone.\But then, one day...\U-Um... You are alive, right?\Noir, you looked remarkably like that boy.\I may have given you those skills just to make myself feel better.\It won't change the past, and the regrets remain.\But... response:	Noir, please... Let me see your smiling face again.
context: What awaited me after that was 200 years of being alone.\But then, one day...\U-Um... You are alive, right?\Noir, you looked remarkably like that boy.\I may have given you those skills just to make myself feel better.\It won't change the past, and the regrets remain.\But...\Noir, please... Let me see your smiling face again. response:	Master...
context: But then, one day...\U-Um... You are alive, right?\Noir, you looked remarkably like that boy.\I may have given you those skills just to make myself feel better.\It won't change the past, and the regrets remain.\But...\Noir, please... Let me see your smiling face again.\Master... response:	Damn it. My body still won't move.
context: U-Um... You are alive, right?\Noir, you looked remarkably like that boy.\I may have given you those skills just to make myself feel better.\It won't change the past, and the regrets remain.\But...\Noir, please... Let me see your smiling face again.\Master...\Damn it. My body still won't move. response:	The effects of Sacrifice are gone now, too.
context: Noir, you looked remarkably like that boy.\I may have given you those skills just to make myself feel better.\It won't change the past, and the regrets remain.\But...\Noir, please... Let me see your smiling face again.\Master...\Damn it. My body still won't move.\The effects of Sacrifice are gone now, too. response:	Aw, aren't you going to plead for your life?
context: I may have given you those skills just to make myself feel better.\It won't change the past, and the regrets remain.\But...\Noir, please... Let me see your smiling face again.\Master...\Damn it. My body still won't move.\The effects of Sacrifice are gone now, too.\Aw, aren't you going to plead for your life? response:	L-Like I'd ever do that!
context: It won't change the past, and the regrets remain.\But...\Noir, please... Let me see your smiling face again.\Master...\Damn it. My body still won't move.\The effects of Sacrifice are gone now, too.\Aw, aren't you going to plead for your life?\L-Like I'd ever do that! response:	Oh, really? In that case...
context: But...\Noir, please... Let me see your smiling face again.\Master...\Damn it. My body still won't move.\The effects of Sacrifice are gone now, too.\Aw, aren't you going to plead for your life?\L-Like I'd ever do that!\Oh, really? In that case... response:	Bye-bye!
context: Noir, please... Let me see your smiling face again.\Master...\Damn it. My body still won't move.\The effects of Sacrifice are gone now, too.\Aw, aren't you going to plead for your life?\L-Like I'd ever do that!\Oh, really? In that case...\Bye-bye! response:	Run Like the Wind!
context: Master...\Damn it. My body still won't move.\The effects of Sacrifice are gone now, too.\Aw, aren't you going to plead for your life?\L-Like I'd ever do that!\Oh, really? In that case...\Bye-bye!\Run Like the Wind! response:	Ow! What's the big idea?
context: Damn it. My body still won't move.\The effects of Sacrifice are gone now, too.\Aw, aren't you going to plead for your life?\L-Like I'd ever do that!\Oh, really? In that case...\Bye-bye!\Run Like the Wind!\Ow! What's the big idea? response:	Leave Noir alone!
context: The effects of Sacrifice are gone now, too.\Aw, aren't you going to plead for your life?\L-Like I'd ever do that!\Oh, really? In that case...\Bye-bye!\Run Like the Wind!\Ow! What's the big idea?\Leave Noir alone! response:	Emma, what are you...
context: Aw, aren't you going to plead for your life?\L-Like I'd ever do that!\Oh, really? In that case...\Bye-bye!\Run Like the Wind!\Ow! What's the big idea?\Leave Noir alone!\Emma, what are you... response:	I was looking for you.
context: L-Like I'd ever do that!\Oh, really? In that case...\Bye-bye!\Run Like the Wind!\Ow! What's the big idea?\Leave Noir alone!\Emma, what are you...\I was looking for you. response:	I figured we could come up with a plan to face that fake together.
context: Oh, really? In that case...\Bye-bye!\Run Like the Wind!\Ow! What's the big idea?\Leave Noir alone!\Emma, what are you...\I was looking for you.\I figured we could come up with a plan to face that fake together. response:	And...
context: Bye-bye!\Run Like the Wind!\Ow! What's the big idea?\Leave Noir alone!\Emma, what are you...\I was looking for you.\I figured we could come up with a plan to face that fake together.\And... response:	You're one of my adventurers, Noir.
context: Run Like the Wind!\Ow! What's the big idea?\Leave Noir alone!\Emma, what are you...\I was looking for you.\I figured we could come up with a plan to face that fake together.\And...\You're one of my adventurers, Noir. response:	You're my precious partner.
context: Ow! What's the big idea?\Leave Noir alone!\Emma, what are you...\I was looking for you.\I figured we could come up with a plan to face that fake together.\And...\You're one of my adventurers, Noir.\You're my precious partner. response:	I want to use these powers for others.
context: Leave Noir alone!\Emma, what are you...\I was looking for you.\I figured we could come up with a plan to face that fake together.\And...\You're one of my adventurers, Noir.\You're my precious partner.\I want to use these powers for others. response:	Noir is my rival and friend. I can't let him do this alone!
context: Emma, what are you...\I was looking for you.\I figured we could come up with a plan to face that fake together.\And...\You're one of my adventurers, Noir.\You're my precious partner.\I want to use these powers for others.\Noir is my rival and friend. I can't let him do this alone! response:	All right, everyone!
context: I was looking for you.\I figured we could come up with a plan to face that fake together.\And...\You're one of my adventurers, Noir.\You're my precious partner.\I want to use these powers for others.\Noir is my rival and friend. I can't let him do this alone!\All right, everyone! response:	Let's do this together!
context: I figured we could come up with a plan to face that fake together.\And...\You're one of my adventurers, Noir.\You're my precious partner.\I want to use these powers for others.\Noir is my rival and friend. I can't let him do this alone!\All right, everyone!\Let's do this together! response:	Yeah!
context: And...\You're one of my adventurers, Noir.\You're my precious partner.\I want to use these powers for others.\Noir is my rival and friend. I can't let him do this alone!\All right, everyone!\Let's do this together!\Yeah! response:	Oh? Look at all your cute little friends.
context: You're one of my adventurers, Noir.\You're my precious partner.\I want to use these powers for others.\Noir is my rival and friend. I can't let him do this alone!\All right, everyone!\Let's do this together!\Yeah!\Oh? Look at all your cute little friends. response:	I appreciate the concern, but she's too powerful.
context: You're my precious partner.\I want to use these powers for others.\Noir is my rival and friend. I can't let him do this alone!\All right, everyone!\Let's do this together!\Yeah!\Oh? Look at all your cute little friends.\I appreciate the concern, but she's too powerful. response:	Everyone's grateful to you, Noir. You're always helping us out.
context: I want to use these powers for others.\Noir is my rival and friend. I can't let him do this alone!\All right, everyone!\Let's do this together!\Yeah!\Oh? Look at all your cute little friends.\I appreciate the concern, but she's too powerful.\Everyone's grateful to you, Noir. You're always helping us out. response:	I became the top receptionist because of you, Noir.
context: Noir is my rival and friend. I can't let him do this alone!\All right, everyone!\Let's do this together!\Yeah!\Oh? Look at all your cute little friends.\I appreciate the concern, but she's too powerful.\Everyone's grateful to you, Noir. You're always helping us out.\I became the top receptionist because of you, Noir. response:	I was all alone, and you let me join your party.
context: All right, everyone!\Let's do this together!\Yeah!\Oh? Look at all your cute little friends.\I appreciate the concern, but she's too powerful.\Everyone's grateful to you, Noir. You're always helping us out.\I became the top receptionist because of you, Noir.\I was all alone, and you let me join your party. response:	We captured those phantom thieves together!
context: Let's do this together!\Yeah!\Oh? Look at all your cute little friends.\I appreciate the concern, but she's too powerful.\Everyone's grateful to you, Noir. You're always helping us out.\I became the top receptionist because of you, Noir.\I was all alone, and you let me join your party.\We captured those phantom thieves together! response:	So... at least let us repay you a little.
context: Yeah!\Oh? Look at all your cute little friends.\I appreciate the concern, but she's too powerful.\Everyone's grateful to you, Noir. You're always helping us out.\I became the top receptionist because of you, Noir.\I was all alone, and you let me join your party.\We captured those phantom thieves together!\So... at least let us repay you a little. response:	You doofus.
context: Oh? Look at all your cute little friends.\I appreciate the concern, but she's too powerful.\Everyone's grateful to you, Noir. You're always helping us out.\I became the top receptionist because of you, Noir.\I was all alone, and you let me join your party.\We captured those phantom thieves together!\So... at least let us repay you a little.\You doofus. response:	Everyone...
context: I appreciate the concern, but she's too powerful.\Everyone's grateful to you, Noir. You're always helping us out.\I became the top receptionist because of you, Noir.\I was all alone, and you let me join your party.\We captured those phantom thieves together!\So... at least let us repay you a little.\You doofus.\Everyone... response:	Well, aren't you popular, Noir? I'm so jealous!
context: Everyone's grateful to you, Noir. You're always helping us out.\I became the top receptionist because of you, Noir.\I was all alone, and you let me join your party.\We captured those phantom thieves together!\So... at least let us repay you a little.\You doofus.\Everyone...\Well, aren't you popular, Noir? I'm so jealous! response:	She really...
context: I became the top receptionist because of you, Noir.\I was all alone, and you let me join your party.\We captured those phantom thieves together!\So... at least let us repay you a little.\You doofus.\Everyone...\Well, aren't you popular, Noir? I'm so jealous!\She really... response:	Let's knock down...
