context: You're invading the Empire of Misurugi? response:	Lizardia sent word that Aura
context: Of course not.\You are free, Ange.\You can live in this world, or return to that other Earth.\Of course, there would be nothing more encouraging than\to have you fight alongside us.\I wanted to know how you felt about this before we move out tomorrow.\Me?\We are indebted to you for saving our people. response:	I would like to help you in any way I can.
context: You are free, Ange.\You can live in this world, or return to that other Earth.\Of course, there would be nothing more encouraging than\to have you fight alongside us.\I wanted to know how you felt about this before we move out tomorrow.\Me?\We are indebted to you for saving our people.\I would like to help you in any way I can. response:	The Black Angel of Destruction
context: You can live in this world, or return to that other Earth.\Of course, there would be nothing more encouraging than\to have you fight alongside us.\I wanted to know how you felt about this before we move out tomorrow.\Me?\We are indebted to you for saving our people.\I would like to help you in any way I can.\The Black Angel of Destruction response:	I think fighting alongside the DRAGONs would be okay.
context: Of course, there would be nothing more encouraging than\to have you fight alongside us.\I wanted to know how you felt about this before we move out tomorrow.\Me?\We are indebted to you for saving our people.\I would like to help you in any way I can.\The Black Angel of Destruction\I think fighting alongside the DRAGONs would be okay. response:	I'm sure Embryo's world would be devastated if we rescued Aura.
context: to have you fight alongside us.\I wanted to know how you felt about this before we move out tomorrow.\Me?\We are indebted to you for saving our people.\I would like to help you in any way I can.\The Black Angel of Destruction\I think fighting alongside the DRAGONs would be okay.\I'm sure Embryo's world would be devastated if we rescued Aura. response:	But is it the right thing to do?
context: I wanted to know how you felt about this before we move out tomorrow.\Me?\We are indebted to you for saving our people.\I would like to help you in any way I can.\The Black Angel of Destruction\I think fighting alongside the DRAGONs would be okay.\I'm sure Embryo's world would be devastated if we rescued Aura.\But is it the right thing to do? response:	Huh?
context: Me?\We are indebted to you for saving our people.\I would like to help you in any way I can.\The Black Angel of Destruction\I think fighting alongside the DRAGONs would be okay.\I'm sure Embryo's world would be devastated if we rescued Aura.\But is it the right thing to do?\Huh? response:	I'm feeling doubtful.
context: We are indebted to you for saving our people.\I would like to help you in any way I can.\The Black Angel of Destruction\I think fighting alongside the DRAGONs would be okay.\I'm sure Embryo's world would be devastated if we rescued Aura.\But is it the right thing to do?\Huh?\I'm feeling doubtful. response:	About Salamandinay-san?
context: I would like to help you in any way I can.\The Black Angel of Destruction\I think fighting alongside the DRAGONs would be okay.\I'm sure Embryo's world would be devastated if we rescued Aura.\But is it the right thing to do?\Huh?\I'm feeling doubtful.\About Salamandinay-san? response:	About everything.
context: The Black Angel of Destruction\I think fighting alongside the DRAGONs would be okay.\I'm sure Embryo's world would be devastated if we rescued Aura.\But is it the right thing to do?\Huh?\I'm feeling doubtful.\About Salamandinay-san?\About everything. response:	It was a lie that the DRAGONs were our enemies and attacking us.
context: I think fighting alongside the DRAGONs would be okay.\I'm sure Embryo's world would be devastated if we rescued Aura.\But is it the right thing to do?\Huh?\I'm feeling doubtful.\About Salamandinay-san?\About everything.\It was a lie that the DRAGONs were our enemies and attacking us. response:	It was a lie that Norma were fighting to protect the world's peace.
context: I'm sure Embryo's world would be devastated if we rescued Aura.\But is it the right thing to do?\Huh?\I'm feeling doubtful.\About Salamandinay-san?\About everything.\It was a lie that the DRAGONs were our enemies and attacking us.\It was a lie that Norma were fighting to protect the world's peace. response:	It was all lies.
context: But is it the right thing to do?\Huh?\I'm feeling doubtful.\About Salamandinay-san?\About everything.\It was a lie that the DRAGONs were our enemies and attacking us.\It was a lie that Norma were fighting to protect the world's peace.\It was all lies. response:	And I'm sick of it.
context: Huh?\I'm feeling doubtful.\About Salamandinay-san?\About everything.\It was a lie that the DRAGONs were our enemies and attacking us.\It was a lie that Norma were fighting to protect the world's peace.\It was all lies.\And I'm sick of it. response:	What if we fight with the DRAGONs, and that's also a mistake?
context: I'm feeling doubtful.\About Salamandinay-san?\About everything.\It was a lie that the DRAGONs were our enemies and attacking us.\It was a lie that Norma were fighting to protect the world's peace.\It was all lies.\And I'm sick of it.\What if we fight with the DRAGONs, and that's also a mistake? response:	Besides, a former princess joining the DRAGONs to invade the Empire of Misurugi?
context: About Salamandinay-san?\About everything.\It was a lie that the DRAGONs were our enemies and attacking us.\It was a lie that Norma were fighting to protect the world's peace.\It was all lies.\And I'm sick of it.\What if we fight with the DRAGONs, and that's also a mistake?\Besides, a former princess joining the DRAGONs to invade the Empire of Misurugi? response:	That's like a bad joke.
context: About everything.\It was a lie that the DRAGONs were our enemies and attacking us.\It was a lie that Norma were fighting to protect the world's peace.\It was all lies.\And I'm sick of it.\What if we fight with the DRAGONs, and that's also a mistake?\Besides, a former princess joining the DRAGONs to invade the Empire of Misurugi?\That's like a bad joke. response:	I don't know what's right anymore.
context: It was a lie that the DRAGONs were our enemies and attacking us.\It was a lie that Norma were fighting to protect the world's peace.\It was all lies.\And I'm sick of it.\What if we fight with the DRAGONs, and that's also a mistake?\Besides, a former princess joining the DRAGONs to invade the Empire of Misurugi?\That's like a bad joke.\I don't know what's right anymore. response:	No one knows what's right.
context: It was a lie that Norma were fighting to protect the world's peace.\It was all lies.\And I'm sick of it.\What if we fight with the DRAGONs, and that's also a mistake?\Besides, a former princess joining the DRAGONs to invade the Empire of Misurugi?\That's like a bad joke.\I don't know what's right anymore.\No one knows what's right. response:	Huh?
context: It was all lies.\And I'm sick of it.\What if we fight with the DRAGONs, and that's also a mistake?\Besides, a former princess joining the DRAGONs to invade the Empire of Misurugi?\That's like a bad joke.\I don't know what's right anymore.\No one knows what's right.\Huh? response:	It's not what's right that's important.
context: And I'm sick of it.\What if we fight with the DRAGONs, and that's also a mistake?\Besides, a former princess joining the DRAGONs to invade the Empire of Misurugi?\That's like a bad joke.\I don't know what's right anymore.\No one knows what's right.\Huh?\It's not what's right that's important. response:	It's about doing what you want to do, I think.
context: What if we fight with the DRAGONs, and that's also a mistake?\Besides, a former princess joining the DRAGONs to invade the Empire of Misurugi?\That's like a bad joke.\I don't know what's right anymore.\No one knows what's right.\Huh?\It's not what's right that's important.\It's about doing what you want to do, I think. response:	Just do your best for what you think is right.
context: Besides, a former princess joining the DRAGONs to invade the Empire of Misurugi?\That's like a bad joke.\I don't know what's right anymore.\No one knows what's right.\Huh?\It's not what's right that's important.\It's about doing what you want to do, I think.\Just do your best for what you think is right. response:	And I'll support you completely.
context: That's like a bad joke.\I don't know what's right anymore.\No one knows what's right.\Huh?\It's not what's right that's important.\It's about doing what you want to do, I think.\Just do your best for what you think is right.\And I'll support you completely. response:	You're silly.
context: I don't know what's right anymore.\No one knows what's right.\Huh?\It's not what's right that's important.\It's about doing what you want to do, I think.\Just do your best for what you think is right.\And I'll support you completely.\You're silly. response:	What'll happen if I do things for such selfish reasons?
context: No one knows what's right.\Huh?\It's not what's right that's important.\It's about doing what you want to do, I think.\Just do your best for what you think is right.\And I'll support you completely.\You're silly.\What'll happen if I do things for such selfish reasons? response:	You think?
context: Huh?\It's not what's right that's important.\It's about doing what you want to do, I think.\Just do your best for what you think is right.\And I'll support you completely.\You're silly.\What'll happen if I do things for such selfish reasons?\You think? response:	You're a relief, though, the way you're so dense.
context: It's not what's right that's important.\It's about doing what you want to do, I think.\Just do your best for what you think is right.\And I'll support you completely.\You're silly.\What'll happen if I do things for such selfish reasons?\You think?\You're a relief, though, the way you're so dense. response:	Thanks for the compliment.
context: It's about doing what you want to do, I think.\Just do your best for what you think is right.\And I'll support you completely.\You're silly.\What'll happen if I do things for such selfish reasons?\You think?\You're a relief, though, the way you're so dense.\Thanks for the compliment. response:	Ange, Ange!
context: Just do your best for what you think is right.\And I'll support you completely.\You're silly.\What'll happen if I do things for such selfish reasons?\You think?\You're a relief, though, the way you're so dense.\Thanks for the compliment.\Ange, Ange! response:	Mom says she wants to thank you!
context: And I'll support you completely.\You're silly.\What'll happen if I do things for such selfish reasons?\You think?\You're a relief, though, the way you're so dense.\Thanks for the compliment.\Ange, Ange!\Mom says she wants to thank you! response:	Oh, my!
context: You're silly.\What'll happen if I do things for such selfish reasons?\You think?\You're a relief, though, the way you're so dense.\Thanks for the compliment.\Ange, Ange!\Mom says she wants to thank you!\Oh, my! response:	You perma-horny!
context: What'll happen if I do things for such selfish reasons?\You think?\You're a relief, though, the way you're so dense.\Thanks for the compliment.\Ange, Ange!\Mom says she wants to thank you!\Oh, my!\You perma-horny! response:	Thank you so much for protecting us and our town.
context: You think?\You're a relief, though, the way you're so dense.\Thanks for the compliment.\Ange, Ange!\Mom says she wants to thank you!\Oh, my!\You perma-horny!\Thank you so much for protecting us and our town. response:	I just helped Salako I mean, Salamandinay a little.
context: You're a relief, though, the way you're so dense.\Thanks for the compliment.\Ange, Ange!\Mom says she wants to thank you!\Oh, my!\You perma-horny!\Thank you so much for protecting us and our town.\I just helped Salako I mean, Salamandinay a little. response:	Besides...
context: Thanks for the compliment.\Ange, Ange!\Mom says she wants to thank you!\Oh, my!\You perma-horny!\Thank you so much for protecting us and our town.\I just helped Salako I mean, Salamandinay a little.\Besides... response:	There were a lot of people we couldn't save.
context: Ange, Ange!\Mom says she wants to thank you!\Oh, my!\You perma-horny!\Thank you so much for protecting us and our town.\I just helped Salako I mean, Salamandinay a little.\Besides...\There were a lot of people we couldn't save. response:	Say, Ahh!
context: Mom says she wants to thank you!\Oh, my!\You perma-horny!\Thank you so much for protecting us and our town.\I just helped Salako I mean, Salamandinay a little.\Besides...\There were a lot of people we couldn't save.\Say, Ahh! response:	He ate it!
context: Oh, my!\You perma-horny!\Thank you so much for protecting us and our town.\I just helped Salako I mean, Salamandinay a little.\Besides...\There were a lot of people we couldn't save.\Say, Ahh!\He ate it! response:	Men are so cute.
context: You perma-horny!\Thank you so much for protecting us and our town.\I just helped Salako I mean, Salamandinay a little.\Besides...\There were a lot of people we couldn't save.\Say, Ahh!\He ate it!\Men are so cute. response:	Y-You think so?
context: Thank you so much for protecting us and our town.\I just helped Salako I mean, Salamandinay a little.\Besides...\There were a lot of people we couldn't save.\Say, Ahh!\He ate it!\Men are so cute.\Y-You think so? response:	Looks like you're having fun.
context: I just helped Salako I mean, Salamandinay a little.\Besides...\There were a lot of people we couldn't save.\Say, Ahh!\He ate it!\Men are so cute.\Y-You think so?\Looks like you're having fun. response:	Ow...
context: Besides...\There were a lot of people we couldn't save.\Say, Ahh!\He ate it!\Men are so cute.\Y-You think so?\Looks like you're having fun.\Ow... response:	Here, say, Ahh.
context: There were a lot of people we couldn't save.\Say, Ahh!\He ate it!\Men are so cute.\Y-You think so?\Looks like you're having fun.\Ow...\Here, say, Ahh. response:	What, you don't want it?
context: Say, Ahh!\He ate it!\Men are so cute.\Y-You think so?\Looks like you're having fun.\Ow...\Here, say, Ahh.\What, you don't want it? response:	No, why?
context: He ate it!\Men are so cute.\Y-You think so?\Looks like you're having fun.\Ow...\Here, say, Ahh.\What, you don't want it?\No, why? response:	You can't use your hands, can you?
context: Men are so cute.\Y-You think so?\Looks like you're having fun.\Ow...\Here, say, Ahh.\What, you don't want it?\No, why?\You can't use your hands, can you? response:	I went too far.
context: Y-You think so?\Looks like you're having fun.\Ow...\Here, say, Ahh.\What, you don't want it?\No, why?\You can't use your hands, can you?\I went too far. response:	I'm fine. It's not a big deal.
context: Looks like you're having fun.\Ow...\Here, say, Ahh.\What, you don't want it?\No, why?\You can't use your hands, can you?\I went too far.\I'm fine. It's not a big deal. response:	Ange's knight is invincible!
context: Ow...\Here, say, Ahh.\What, you don't want it?\No, why?\You can't use your hands, can you?\I went too far.\I'm fine. It's not a big deal.\Ange's knight is invincible! response:	It's good.
context: Here, say, Ahh.\What, you don't want it?\No, why?\You can't use your hands, can you?\I went too far.\I'm fine. It's not a big deal.\Ange's knight is invincible!\It's good. response:	And it's even better when you feed me.
context: What, you don't want it?\No, why?\You can't use your hands, can you?\I went too far.\I'm fine. It's not a big deal.\Ange's knight is invincible!\It's good.\And it's even better when you feed me. response:	Idiot.
context: No, why?\You can't use your hands, can you?\I went too far.\I'm fine. It's not a big deal.\Ange's knight is invincible!\It's good.\And it's even better when you feed me.\Idiot. response:	This is a nice place.
context: You can't use your hands, can you?\I went too far.\I'm fine. It's not a big deal.\Ange's knight is invincible!\It's good.\And it's even better when you feed me.\Idiot.\This is a nice place. response:	Yes, you're popular, aren't you?
context: I went too far.\I'm fine. It's not a big deal.\Ange's knight is invincible!\It's good.\And it's even better when you feed me.\Idiot.\This is a nice place.\Yes, you're popular, aren't you? response:	That's not what I meant...
context: I'm fine. It's not a big deal.\Ange's knight is invincible!\It's good.\And it's even better when you feed me.\Idiot.\This is a nice place.\Yes, you're popular, aren't you?\That's not what I meant... response:	But it really is a nice place.
context: Ange's knight is invincible!\It's good.\And it's even better when you feed me.\Idiot.\This is a nice place.\Yes, you're popular, aren't you?\That's not what I meant...\But it really is a nice place. response:	Even though there's suffering, even though there's no Mana,
context: It's good.\And it's even better when you feed me.\Idiot.\This is a nice place.\Yes, you're popular, aren't you?\That's not what I meant...\But it really is a nice place.\Even though there's suffering, even though there's no Mana, response:	everyone lives life to the fullest.
context: And it's even better when you feed me.\Idiot.\This is a nice place.\Yes, you're popular, aren't you?\That's not what I meant...\But it really is a nice place.\Even though there's suffering, even though there's no Mana,\everyone lives life to the fullest. response:	I see.
context: Idiot.\This is a nice place.\Yes, you're popular, aren't you?\That's not what I meant...\But it really is a nice place.\Even though there's suffering, even though there's no Mana,\everyone lives life to the fullest.\I see. response:	It's like Arzenal...
context: This is a nice place.\Yes, you're popular, aren't you?\That's not what I meant...\But it really is a nice place.\Even though there's suffering, even though there's no Mana,\everyone lives life to the fullest.\I see.\It's like Arzenal... response:	I'm going back home.
context: Yes, you're popular, aren't you?\That's not what I meant...\But it really is a nice place.\Even though there's suffering, even though there's no Mana,\everyone lives life to the fullest.\I see.\It's like Arzenal...\I'm going back home. response:	Momoka's waiting.
context: That's not what I meant...\But it really is a nice place.\Even though there's suffering, even though there's no Mana,\everyone lives life to the fullest.\I see.\It's like Arzenal...\I'm going back home.\Momoka's waiting. response:	Ange...
context: But it really is a nice place.\Even though there's suffering, even though there's no Mana,\everyone lives life to the fullest.\I see.\It's like Arzenal...\I'm going back home.\Momoka's waiting.\Ange... response:	I see. So you have made your choice.
context: Even though there's suffering, even though there's no Mana,\everyone lives life to the fullest.\I see.\It's like Arzenal...\I'm going back home.\Momoka's waiting.\Ange...\I see. So you have made your choice. response:	I may be forced to fight you again.
context: everyone lives life to the fullest.\I see.\It's like Arzenal...\I'm going back home.\Momoka's waiting.\Ange...\I see. So you have made your choice.\I may be forced to fight you again. response:	Salako...
context: I see.\It's like Arzenal...\I'm going back home.\Momoka's waiting.\Ange...\I see. So you have made your choice.\I may be forced to fight you again.\Salako... response:	She's dangerous!
context: It's like Arzenal...\I'm going back home.\Momoka's waiting.\Ange...\I see. So you have made your choice.\I may be forced to fight you again.\Salako...\She's dangerous! response:	She knows too much about us.
context: I'm going back home.\Momoka's waiting.\Ange...\I see. So you have made your choice.\I may be forced to fight you again.\Salako...\She's dangerous!\She knows too much about us. response:	Who knows how she'd threaten us if she returned?
context: Momoka's waiting.\Ange...\I see. So you have made your choice.\I may be forced to fight you again.\Salako...\She's dangerous!\She knows too much about us.\Who knows how she'd threaten us if she returned? response:	But Ange saved the townspeople!
context: Ange...\I see. So you have made your choice.\I may be forced to fight you again.\Salako...\She's dangerous!\She knows too much about us.\Who knows how she'd threaten us if she returned?\But Ange saved the townspeople! response:	It's not that long ago we were trying to kill each other.
context: I see. So you have made your choice.\I may be forced to fight you again.\Salako...\She's dangerous!\She knows too much about us.\Who knows how she'd threaten us if she returned?\But Ange saved the townspeople!\It's not that long ago we were trying to kill each other. response:	We should at least take her into custody. And immediately.
context: I may be forced to fight you again.\Salako...\She's dangerous!\She knows too much about us.\Who knows how she'd threaten us if she returned?\But Ange saved the townspeople!\It's not that long ago we were trying to kill each other.\We should at least take her into custody. And immediately. response:	I don't intend to fight you any longer.
context: Salako...\She's dangerous!\She knows too much about us.\Who knows how she'd threaten us if she returned?\But Ange saved the townspeople!\It's not that long ago we were trying to kill each other.\We should at least take her into custody. And immediately.\I don't intend to fight you any longer. response:	See, she's going towhat?
context: She's dangerous!\She knows too much about us.\Who knows how she'd threaten us if she returned?\But Ange saved the townspeople!\It's not that long ago we were trying to kill each other.\We should at least take her into custody. And immediately.\I don't intend to fight you any longer.\See, she's going towhat? response:	I won't fight you again.
context: She knows too much about us.\Who knows how she'd threaten us if she returned?\But Ange saved the townspeople!\It's not that long ago we were trying to kill each other.\We should at least take her into custody. And immediately.\I don't intend to fight you any longer.\See, she's going towhat?\I won't fight you again. response:	Then feel free to return to the other side
context: Who knows how she'd threaten us if she returned?\But Ange saved the townspeople!\It's not that long ago we were trying to kill each other.\We should at least take her into custody. And immediately.\I don't intend to fight you any longer.\See, she's going towhat?\I won't fight you again.\Then feel free to return to the other side response:	when the singularity opens in the morning.
context: But Ange saved the townspeople!\It's not that long ago we were trying to kill each other.\We should at least take her into custody. And immediately.\I don't intend to fight you any longer.\See, she's going towhat?\I won't fight you again.\Then feel free to return to the other side\when the singularity opens in the morning. response:	I will have Kaname and Naga escort you, if you require it.
context: It's not that long ago we were trying to kill each other.\We should at least take her into custody. And immediately.\I don't intend to fight you any longer.\See, she's going towhat?\I won't fight you again.\Then feel free to return to the other side\when the singularity opens in the morning.\I will have Kaname and Naga escort you, if you require it. response:	S-Salamandinay-sama!
context: We should at least take her into custody. And immediately.\I don't intend to fight you any longer.\See, she's going towhat?\I won't fight you again.\Then feel free to return to the other side\when the singularity opens in the morning.\I will have Kaname and Naga escort you, if you require it.\S-Salamandinay-sama! response:	Why is it a surprise that I trust a friend?
context: I don't intend to fight you any longer.\See, she's going towhat?\I won't fight you again.\Then feel free to return to the other side\when the singularity opens in the morning.\I will have Kaname and Naga escort you, if you require it.\S-Salamandinay-sama!\Why is it a surprise that I trust a friend? response:	Salako...
context: See, she's going towhat?\I won't fight you again.\Then feel free to return to the other side\when the singularity opens in the morning.\I will have Kaname and Naga escort you, if you require it.\S-Salamandinay-sama!\Why is it a surprise that I trust a friend?\Salako... response:	Be well, Ange.
context: I won't fight you again.\Then feel free to return to the other side\when the singularity opens in the morning.\I will have Kaname and Naga escort you, if you require it.\S-Salamandinay-sama!\Why is it a surprise that I trust a friend?\Salako...\Be well, Ange. response:	Let us finish our competition when this battle is over.
context: Then feel free to return to the other side\when the singularity opens in the morning.\I will have Kaname and Naga escort you, if you require it.\S-Salamandinay-sama!\Why is it a surprise that I trust a friend?\Salako...\Be well, Ange.\Let us finish our competition when this battle is over. response:	Next time, it'll be a karaoke competition.
context: when the singularity opens in the morning.\I will have Kaname and Naga escort you, if you require it.\S-Salamandinay-sama!\Why is it a surprise that I trust a friend?\Salako...\Be well, Ange.\Let us finish our competition when this battle is over.\Next time, it'll be a karaoke competition. response:	So you're leaving tomorrow morning?
context: I will have Kaname and Naga escort you, if you require it.\S-Salamandinay-sama!\Why is it a surprise that I trust a friend?\Salako...\Be well, Ange.\Let us finish our competition when this battle is over.\Next time, it'll be a karaoke competition.\So you're leaving tomorrow morning? response:	I'd better get ready, then.
context: S-Salamandinay-sama!\Why is it a surprise that I trust a friend?\Salako...\Be well, Ange.\Let us finish our competition when this battle is over.\Next time, it'll be a karaoke competition.\So you're leaving tomorrow morning?\I'd better get ready, then. response:	I'm worried about the others, too.
context: Why is it a surprise that I trust a friend?\Salako...\Be well, Ange.\Let us finish our competition when this battle is over.\Next time, it'll be a karaoke competition.\So you're leaving tomorrow morning?\I'd better get ready, then.\I'm worried about the others, too. response:	But Vivian, you're...
context: Salako...\Be well, Ange.\Let us finish our competition when this battle is over.\Next time, it'll be a karaoke competition.\So you're leaving tomorrow morning?\I'd better get ready, then.\I'm worried about the others, too.\But Vivian, you're... response:	Oh.
context: Be well, Ange.\Let us finish our competition when this battle is over.\Next time, it'll be a karaoke competition.\So you're leaving tomorrow morning?\I'd better get ready, then.\I'm worried about the others, too.\But Vivian, you're...\Oh. response:	Mom...
context: Let us finish our competition when this battle is over.\Next time, it'll be a karaoke competition.\So you're leaving tomorrow morning?\I'd better get ready, then.\I'm worried about the others, too.\But Vivian, you're...\Oh.\Mom... response:	Vivian.
context: Next time, it'll be a karaoke competition.\So you're leaving tomorrow morning?\I'd better get ready, then.\I'm worried about the others, too.\But Vivian, you're...\Oh.\Mom...\Vivian. response:	Quiz time.
context: So you're leaving tomorrow morning?\I'd better get ready, then.\I'm worried about the others, too.\But Vivian, you're...\Oh.\Mom...\Vivian.\Quiz time. response:	What's this?
context: I'd better get ready, then.\I'm worried about the others, too.\But Vivian, you're...\Oh.\Mom...\Vivian.\Quiz time.\What's this? response:	Huh?
context: I'm worried about the others, too.\But Vivian, you're...\Oh.\Mom...\Vivian.\Quiz time.\What's this?\Huh? response:	The answer is... your baby clothes.
context: But Vivian, you're...\Oh.\Mom...\Vivian.\Quiz time.\What's this?\Huh?\The answer is... your baby clothes. response:	You've gotten so big since then.
context: Oh.\Mom...\Vivian.\Quiz time.\What's this?\Huh?\The answer is... your baby clothes.\You've gotten so big since then. response:	You wouldn't fit in this anymore.
context: Mom...\Vivian.\Quiz time.\What's this?\Huh?\The answer is... your baby clothes.\You've gotten so big since then.\You wouldn't fit in this anymore. response:	And you've met a lot of people and made a lot of memories.
context: Vivian.\Quiz time.\What's this?\Huh?\The answer is... your baby clothes.\You've gotten so big since then.\You wouldn't fit in this anymore.\And you've met a lot of people and made a lot of memories. response:	Yeah.
context: Quiz time.\What's this?\Huh?\The answer is... your baby clothes.\You've gotten so big since then.\You wouldn't fit in this anymore.\And you've met a lot of people and made a lot of memories.\Yeah. response:	So you have to go back, then.
context: What's this?\Huh?\The answer is... your baby clothes.\You've gotten so big since then.\You wouldn't fit in this anymore.\And you've met a lot of people and made a lot of memories.\Yeah.\So you have to go back, then. response:	Back to your friends.
context: Huh?\The answer is... your baby clothes.\You've gotten so big since then.\You wouldn't fit in this anymore.\And you've met a lot of people and made a lot of memories.\Yeah.\So you have to go back, then.\Back to your friends. response:	Huh?
context: The answer is... your baby clothes.\You've gotten so big since then.\You wouldn't fit in this anymore.\And you've met a lot of people and made a lot of memories.\Yeah.\So you have to go back, then.\Back to your friends.\Huh? response:	Don't worry about my injury.
context: You've gotten so big since then.\You wouldn't fit in this anymore.\And you've met a lot of people and made a lot of memories.\Yeah.\So you have to go back, then.\Back to your friends.\Huh?\Don't worry about my injury. response:	I'm strong.
context: You wouldn't fit in this anymore.\And you've met a lot of people and made a lot of memories.\Yeah.\So you have to go back, then.\Back to your friends.\Huh?\Don't worry about my injury.\I'm strong. response:	Mom...
context: And you've met a lot of people and made a lot of memories.\Yeah.\So you have to go back, then.\Back to your friends.\Huh?\Don't worry about my injury.\I'm strong.\Mom... response:	Thanks for coming back, Mii.
context: Yeah.\So you have to go back, then.\Back to your friends.\Huh?\Don't worry about my injury.\I'm strong.\Mom...\Thanks for coming back, Mii. response:	I'm so happy I got to meet you again.
context: So you have to go back, then.\Back to your friends.\Huh?\Don't worry about my injury.\I'm strong.\Mom...\Thanks for coming back, Mii.\I'm so happy I got to meet you again. response:	Yeah.
context: Back to your friends.\Huh?\Don't worry about my injury.\I'm strong.\Mom...\Thanks for coming back, Mii.\I'm so happy I got to meet you again.\Yeah. response:	I'll be back to say, I'm home, for sure.
context: Huh?\Don't worry about my injury.\I'm strong.\Mom...\Thanks for coming back, Mii.\I'm so happy I got to meet you again.\Yeah.\I'll be back to say, I'm home, for sure. response:	Viebel clan and Sylphis clan are standing by.
context: Don't worry about my injury.\I'm strong.\Mom...\Thanks for coming back, Mii.\I'm so happy I got to meet you again.\Yeah.\I'll be back to say, I'm home, for sure.\Viebel clan and Sylphis clan are standing by. response:	What about the Genomus clan?
context: I'm strong.\Mom...\Thanks for coming back, Mii.\I'm so happy I got to meet you again.\Yeah.\I'll be back to say, I'm home, for sure.\Viebel clan and Sylphis clan are standing by.\What about the Genomus clan? response:	They need more time to cross the river.
context: Mom...\Thanks for coming back, Mii.\I'm so happy I got to meet you again.\Yeah.\I'll be back to say, I'm home, for sure.\Viebel clan and Sylphis clan are standing by.\What about the Genomus clan?\They need more time to cross the river. response:	Whoa, it's a full course DRAGON menu!
context: Thanks for coming back, Mii.\I'm so happy I got to meet you again.\Yeah.\I'll be back to say, I'm home, for sure.\Viebel clan and Sylphis clan are standing by.\What about the Genomus clan?\They need more time to cross the river.\Whoa, it's a full course DRAGON menu! response:	It's a real spectacle.
