context: If you're Type B, you need to take care. response:	If you continue to let it be, it could become a serious,
context: as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy! response:	And those days will be happy, too!
context: Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too! response:	Just wanna make you happy!
context: I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy! response:	See you later!
context: I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\See you later! response:	If I don't decide on the next nursery school soon, I'll be up the creek!
context: As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\See you later!\If I don't decide on the next nursery school soon, I'll be up the creek! response:	I've heard that smart people enter huge companies
context: Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\See you later!\If I don't decide on the next nursery school soon, I'll be up the creek!\I've heard that smart people enter huge companies response:	that have a day-care center on the premises.
context: But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\See you later!\If I don't decide on the next nursery school soon, I'll be up the creek!\I've heard that smart people enter huge companies\that have a day-care center on the premises. response:	But what country are we talking about here?!
context: Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\See you later!\If I don't decide on the next nursery school soon, I'll be up the creek!\I've heard that smart people enter huge companies\that have a day-care center on the premises.\But what country are we talking about here?! response:	Kawachi-san!
context: And those days will be happy, too!\Just wanna make you happy!\See you later!\If I don't decide on the next nursery school soon, I'll be up the creek!\I've heard that smart people enter huge companies\that have a day-care center on the premises.\But what country are we talking about here?!\Kawachi-san! response:	Hey!
context: Just wanna make you happy!\See you later!\If I don't decide on the next nursery school soon, I'll be up the creek!\I've heard that smart people enter huge companies\that have a day-care center on the premises.\But what country are we talking about here?!\Kawachi-san!\Hey! response:	Kawachi-san, did you get a girlfriend?
context: See you later!\If I don't decide on the next nursery school soon, I'll be up the creek!\I've heard that smart people enter huge companies\that have a day-care center on the premises.\But what country are we talking about here?!\Kawachi-san!\Hey!\Kawachi-san, did you get a girlfriend? response:	What?!
context: If I don't decide on the next nursery school soon, I'll be up the creek!\I've heard that smart people enter huge companies\that have a day-care center on the premises.\But what country are we talking about here?!\Kawachi-san!\Hey!\Kawachi-san, did you get a girlfriend?\What?! response:	You're going home early all the time these days...
context: I've heard that smart people enter huge companies\that have a day-care center on the premises.\But what country are we talking about here?!\Kawachi-san!\Hey!\Kawachi-san, did you get a girlfriend?\What?!\You're going home early all the time these days... response:	Well, it's not that.
context: that have a day-care center on the premises.\But what country are we talking about here?!\Kawachi-san!\Hey!\Kawachi-san, did you get a girlfriend?\What?!\You're going home early all the time these days...\Well, it's not that. response:	You always used to take the last train, right?
context: But what country are we talking about here?!\Kawachi-san!\Hey!\Kawachi-san, did you get a girlfriend?\What?!\You're going home early all the time these days...\Well, it's not that.\You always used to take the last train, right? response:	And last year, sales went through the roof because of you,
context: Kawachi-san!\Hey!\Kawachi-san, did you get a girlfriend?\What?!\You're going home early all the time these days...\Well, it's not that.\You always used to take the last train, right?\And last year, sales went through the roof because of you, response:	but at this rate...
context: Hey!\Kawachi-san, did you get a girlfriend?\What?!\You're going home early all the time these days...\Well, it's not that.\You always used to take the last train, right?\And last year, sales went through the roof because of you,\but at this rate... response:	Those aren't figures that can be made through just enthusiasm or tenacity.
context: Kawachi-san, did you get a girlfriend?\What?!\You're going home early all the time these days...\Well, it's not that.\You always used to take the last train, right?\And last year, sales went through the roof because of you,\but at this rate...\Those aren't figures that can be made through just enthusiasm or tenacity. response:	I was lucky.
context: What?!\You're going home early all the time these days...\Well, it's not that.\You always used to take the last train, right?\And last year, sales went through the roof because of you,\but at this rate...\Those aren't figures that can be made through just enthusiasm or tenacity.\I was lucky. response:	After all, my name's Daikichi...
context: You're going home early all the time these days...\Well, it's not that.\You always used to take the last train, right?\And last year, sales went through the roof because of you,\but at this rate...\Those aren't figures that can be made through just enthusiasm or tenacity.\I was lucky.\After all, my name's Daikichi... response:	Kawachi-san!
context: Well, it's not that.\You always used to take the last train, right?\And last year, sales went through the roof because of you,\but at this rate...\Those aren't figures that can be made through just enthusiasm or tenacity.\I was lucky.\After all, my name's Daikichi...\Kawachi-san! response:	Wait!
context: You always used to take the last train, right?\And last year, sales went through the roof because of you,\but at this rate...\Those aren't figures that can be made through just enthusiasm or tenacity.\I was lucky.\After all, my name's Daikichi...\Kawachi-san!\Wait! response:	I'll take that.
context: And last year, sales went through the roof because of you,\but at this rate...\Those aren't figures that can be made through just enthusiasm or tenacity.\I was lucky.\After all, my name's Daikichi...\Kawachi-san!\Wait!\I'll take that. response:	Thanks!
context: but at this rate...\Those aren't figures that can be made through just enthusiasm or tenacity.\I was lucky.\After all, my name's Daikichi...\Kawachi-san!\Wait!\I'll take that.\Thanks! response:	You're going to the 4th floor, right?
context: Those aren't figures that can be made through just enthusiasm or tenacity.\I was lucky.\After all, my name's Daikichi...\Kawachi-san!\Wait!\I'll take that.\Thanks!\You're going to the 4th floor, right? response:	Yep. So you guys doing well, as always?
context: I was lucky.\After all, my name's Daikichi...\Kawachi-san!\Wait!\I'll take that.\Thanks!\You're going to the 4th floor, right?\Yep. So you guys doing well, as always? response:	Not this year.
context: After all, my name's Daikichi...\Kawachi-san!\Wait!\I'll take that.\Thanks!\You're going to the 4th floor, right?\Yep. So you guys doing well, as always?\Not this year. response:	In fact, this guy was just putting the pressure on me.
context: Kawachi-san!\Wait!\I'll take that.\Thanks!\You're going to the 4th floor, right?\Yep. So you guys doing well, as always?\Not this year.\In fact, this guy was just putting the pressure on me. response:	Look how my hairline's receding.
context: Wait!\I'll take that.\Thanks!\You're going to the 4th floor, right?\Yep. So you guys doing well, as always?\Not this year.\In fact, this guy was just putting the pressure on me.\Look how my hairline's receding. response:	After you've achieved results once, it's tough, huh?
context: I'll take that.\Thanks!\You're going to the 4th floor, right?\Yep. So you guys doing well, as always?\Not this year.\In fact, this guy was just putting the pressure on me.\Look how my hairline's receding.\After you've achieved results once, it's tough, huh? response:	Um, Gotou-san, you really have a child?
context: Thanks!\You're going to the 4th floor, right?\Yep. So you guys doing well, as always?\Not this year.\In fact, this guy was just putting the pressure on me.\Look how my hairline's receding.\After you've achieved results once, it's tough, huh?\Um, Gotou-san, you really have a child? response:	Just because I'm short, you have doubts?
context: You're going to the 4th floor, right?\Yep. So you guys doing well, as always?\Not this year.\In fact, this guy was just putting the pressure on me.\Look how my hairline's receding.\After you've achieved results once, it's tough, huh?\Um, Gotou-san, you really have a child?\Just because I'm short, you have doubts? response:	No, it's just you're so thin, I can't imagine where you stored the baby...
context: Yep. So you guys doing well, as always?\Not this year.\In fact, this guy was just putting the pressure on me.\Look how my hairline's receding.\After you've achieved results once, it's tough, huh?\Um, Gotou-san, you really have a child?\Just because I'm short, you have doubts?\No, it's just you're so thin, I can't imagine where you stored the baby... response:	I can't remember anymore, either.
context: Not this year.\In fact, this guy was just putting the pressure on me.\Look how my hairline's receding.\After you've achieved results once, it's tough, huh?\Um, Gotou-san, you really have a child?\Just because I'm short, you have doubts?\No, it's just you're so thin, I can't imagine where you stored the baby...\I can't remember anymore, either. response:	He's two already.
context: In fact, this guy was just putting the pressure on me.\Look how my hairline's receding.\After you've achieved results once, it's tough, huh?\Um, Gotou-san, you really have a child?\Just because I'm short, you have doubts?\No, it's just you're so thin, I can't imagine where you stored the baby...\I can't remember anymore, either.\He's two already. response:	Thanks. Just put'em down here.
context: Look how my hairline's receding.\After you've achieved results once, it's tough, huh?\Um, Gotou-san, you really have a child?\Just because I'm short, you have doubts?\No, it's just you're so thin, I can't imagine where you stored the baby...\I can't remember anymore, either.\He's two already.\Thanks. Just put'em down here. response:	I'll go with you.
context: After you've achieved results once, it's tough, huh?\Um, Gotou-san, you really have a child?\Just because I'm short, you have doubts?\No, it's just you're so thin, I can't imagine where you stored the baby...\I can't remember anymore, either.\He's two already.\Thanks. Just put'em down here.\I'll go with you. response:	Oh, I can manage.
context: Um, Gotou-san, you really have a child?\Just because I'm short, you have doubts?\No, it's just you're so thin, I can't imagine where you stored the baby...\I can't remember anymore, either.\He's two already.\Thanks. Just put'em down here.\I'll go with you.\Oh, I can manage. response:	All right...
context: Just because I'm short, you have doubts?\No, it's just you're so thin, I can't imagine where you stored the baby...\I can't remember anymore, either.\He's two already.\Thanks. Just put'em down here.\I'll go with you.\Oh, I can manage.\All right... response:	See you!
context: No, it's just you're so thin, I can't imagine where you stored the baby...\I can't remember anymore, either.\He's two already.\Thanks. Just put'em down here.\I'll go with you.\Oh, I can manage.\All right...\See you! response:	She's as powerful as ever, y'know?
context: I can't remember anymore, either.\He's two already.\Thanks. Just put'em down here.\I'll go with you.\Oh, I can manage.\All right...\See you!\She's as powerful as ever, y'know? response:	If only Gotou-san had stayed in sales...
context: He's two already.\Thanks. Just put'em down here.\I'll go with you.\Oh, I can manage.\All right...\See you!\She's as powerful as ever, y'know?\If only Gotou-san had stayed in sales... response:	She's worked here years longer than me,
context: Thanks. Just put'em down here.\I'll go with you.\Oh, I can manage.\All right...\See you!\She's as powerful as ever, y'know?\If only Gotou-san had stayed in sales...\She's worked here years longer than me, response:	but after getting pregnant, she requested a demotion,
context: I'll go with you.\Oh, I can manage.\All right...\See you!\She's as powerful as ever, y'know?\If only Gotou-san had stayed in sales...\She's worked here years longer than me,\but after getting pregnant, she requested a demotion, response:	so she could go home at a set time.
context: Oh, I can manage.\All right...\See you!\She's as powerful as ever, y'know?\If only Gotou-san had stayed in sales...\She's worked here years longer than me,\but after getting pregnant, she requested a demotion,\so she could go home at a set time. response:	Everyone in the company was talking about her...
context: All right...\See you!\She's as powerful as ever, y'know?\If only Gotou-san had stayed in sales...\She's worked here years longer than me,\but after getting pregnant, she requested a demotion,\so she could go home at a set time.\Everyone in the company was talking about her... response:	How long are you going to take care of her?!
context: See you!\She's as powerful as ever, y'know?\If only Gotou-san had stayed in sales...\She's worked here years longer than me,\but after getting pregnant, she requested a demotion,\so she could go home at a set time.\Everyone in the company was talking about her...\How long are you going to take care of her?! response:	No time frame has really been settled on...
context: She's as powerful as ever, y'know?\If only Gotou-san had stayed in sales...\She's worked here years longer than me,\but after getting pregnant, she requested a demotion,\so she could go home at a set time.\Everyone in the company was talking about her...\How long are you going to take care of her?!\No time frame has really been settled on... response:	Rin-chan, huh?
context: If only Gotou-san had stayed in sales...\She's worked here years longer than me,\but after getting pregnant, she requested a demotion,\so she could go home at a set time.\Everyone in the company was talking about her...\How long are you going to take care of her?!\No time frame has really been settled on...\Rin-chan, huh? response:	She's been wetting the bed these days.
context: She's worked here years longer than me,\but after getting pregnant, she requested a demotion,\so she could go home at a set time.\Everyone in the company was talking about her...\How long are you going to take care of her?!\No time frame has really been settled on...\Rin-chan, huh?\She's been wetting the bed these days. response:	And I can tell that it really embarrasses her.
context: but after getting pregnant, she requested a demotion,\so she could go home at a set time.\Everyone in the company was talking about her...\How long are you going to take care of her?!\No time frame has really been settled on...\Rin-chan, huh?\She's been wetting the bed these days.\And I can tell that it really embarrasses her. response:	Maybe it's an emotional thing.
context: so she could go home at a set time.\Everyone in the company was talking about her...\How long are you going to take care of her?!\No time frame has really been settled on...\Rin-chan, huh?\She's been wetting the bed these days.\And I can tell that it really embarrasses her.\Maybe it's an emotional thing. response:	But you'd be surprised how much kids sweat,
context: Everyone in the company was talking about her...\How long are you going to take care of her?!\No time frame has really been settled on...\Rin-chan, huh?\She's been wetting the bed these days.\And I can tell that it really embarrasses her.\Maybe it's an emotional thing.\But you'd be surprised how much kids sweat, response:	though not as much in the fall or winter.
context: How long are you going to take care of her?!\No time frame has really been settled on...\Rin-chan, huh?\She's been wetting the bed these days.\And I can tell that it really embarrasses her.\Maybe it's an emotional thing.\But you'd be surprised how much kids sweat,\though not as much in the fall or winter. response:	The number of times they pee increases then.
context: No time frame has really been settled on...\Rin-chan, huh?\She's been wetting the bed these days.\And I can tell that it really embarrasses her.\Maybe it's an emotional thing.\But you'd be surprised how much kids sweat,\though not as much in the fall or winter.\The number of times they pee increases then. response:	I always used to be told...
context: Rin-chan, huh?\She's been wetting the bed these days.\And I can tell that it really embarrasses her.\Maybe it's an emotional thing.\But you'd be surprised how much kids sweat,\though not as much in the fall or winter.\The number of times they pee increases then.\I always used to be told... response:	Pee before going to bed.
context: She's been wetting the bed these days.\And I can tell that it really embarrasses her.\Maybe it's an emotional thing.\But you'd be surprised how much kids sweat,\though not as much in the fall or winter.\The number of times they pee increases then.\I always used to be told...\Pee before going to bed. response:	Her mother must've had her reasons.
context: And I can tell that it really embarrasses her.\Maybe it's an emotional thing.\But you'd be surprised how much kids sweat,\though not as much in the fall or winter.\The number of times they pee increases then.\I always used to be told...\Pee before going to bed.\Her mother must've had her reasons. response:	I'd ask her if I could...
context: Maybe it's an emotional thing.\But you'd be surprised how much kids sweat,\though not as much in the fall or winter.\The number of times they pee increases then.\I always used to be told...\Pee before going to bed.\Her mother must've had her reasons.\I'd ask her if I could... response:	But mothers are important, aren't they?
context: But you'd be surprised how much kids sweat,\though not as much in the fall or winter.\The number of times they pee increases then.\I always used to be told...\Pee before going to bed.\Her mother must've had her reasons.\I'd ask her if I could...\But mothers are important, aren't they? response:	If you're any kind of man, never say die!
context: though not as much in the fall or winter.\The number of times they pee increases then.\I always used to be told...\Pee before going to bed.\Her mother must've had her reasons.\I'd ask her if I could...\But mothers are important, aren't they?\If you're any kind of man, never say die! response:	Hang in there!
context: The number of times they pee increases then.\I always used to be told...\Pee before going to bed.\Her mother must've had her reasons.\I'd ask her if I could...\But mothers are important, aren't they?\If you're any kind of man, never say die!\Hang in there! response:	What'd you play today?
context: I always used to be told...\Pee before going to bed.\Her mother must've had her reasons.\I'd ask her if I could...\But mothers are important, aren't they?\If you're any kind of man, never say die!\Hang in there!\What'd you play today? response:	I read picture books... and had a staring contest...
context: Pee before going to bed.\Her mother must've had her reasons.\I'd ask her if I could...\But mothers are important, aren't they?\If you're any kind of man, never say die!\Hang in there!\What'd you play today?\I read picture books... and had a staring contest... response:	Was it fun?
context: Her mother must've had her reasons.\I'd ask her if I could...\But mothers are important, aren't they?\If you're any kind of man, never say die!\Hang in there!\What'd you play today?\I read picture books... and had a staring contest...\Was it fun? response:	What's that for?
context: I'd ask her if I could...\But mothers are important, aren't they?\If you're any kind of man, never say die!\Hang in there!\What'd you play today?\I read picture books... and had a staring contest...\Was it fun?\What's that for? response:	Rin, I'm gonna make dinner right away.
context: But mothers are important, aren't they?\If you're any kind of man, never say die!\Hang in there!\What'd you play today?\I read picture books... and had a staring contest...\Was it fun?\What's that for?\Rin, I'm gonna make dinner right away. response:	The moon's deflated, huh?
context: If you're any kind of man, never say die!\Hang in there!\What'd you play today?\I read picture books... and had a staring contest...\Was it fun?\What's that for?\Rin, I'm gonna make dinner right away.\The moon's deflated, huh? response:	Mother-Child Health Record Book
context: Hang in there!\What'd you play today?\I read picture books... and had a staring contest...\Was it fun?\What's that for?\Rin, I'm gonna make dinner right away.\The moon's deflated, huh?\Mother-Child Health Record Book response:	Hello?
context: What'd you play today?\I read picture books... and had a staring contest...\Was it fun?\What's that for?\Rin, I'm gonna make dinner right away.\The moon's deflated, huh?\Mother-Child Health Record Book\Hello? response:	Well, how's it going?
context: I read picture books... and had a staring contest...\Was it fun?\What's that for?\Rin, I'm gonna make dinner right away.\The moon's deflated, huh?\Mother-Child Health Record Book\Hello?\Well, how's it going? response:	I'm fine, sure...
context: Was it fun?\What's that for?\Rin, I'm gonna make dinner right away.\The moon's deflated, huh?\Mother-Child Health Record Book\Hello?\Well, how's it going?\I'm fine, sure... response:	I'm not asking about you.
context: What's that for?\Rin, I'm gonna make dinner right away.\The moon's deflated, huh?\Mother-Child Health Record Book\Hello?\Well, how's it going?\I'm fine, sure...\I'm not asking about you. response:	Oh. She's good.
context: Rin, I'm gonna make dinner right away.\The moon's deflated, huh?\Mother-Child Health Record Book\Hello?\Well, how's it going?\I'm fine, sure...\I'm not asking about you.\Oh. She's good. response:	Wait a second, I thought you didn't want to be involved.
context: The moon's deflated, huh?\Mother-Child Health Record Book\Hello?\Well, how's it going?\I'm fine, sure...\I'm not asking about you.\Oh. She's good.\Wait a second, I thought you didn't want to be involved. response:	You're the one that's taking care of her,
context: Mother-Child Health Record Book\Hello?\Well, how's it going?\I'm fine, sure...\I'm not asking about you.\Oh. She's good.\Wait a second, I thought you didn't want to be involved.\You're the one that's taking care of her, response:	so I can't help but be involved.
context: Hello?\Well, how's it going?\I'm fine, sure...\I'm not asking about you.\Oh. She's good.\Wait a second, I thought you didn't want to be involved.\You're the one that's taking care of her,\so I can't help but be involved. response:	I'm gonna try to find a clue about Rin-chan's mom this weekend,
context: Well, how's it going?\I'm fine, sure...\I'm not asking about you.\Oh. She's good.\Wait a second, I thought you didn't want to be involved.\You're the one that's taking care of her,\so I can't help but be involved.\I'm gonna try to find a clue about Rin-chan's mom this weekend, response:	so I'll be out your way.
context: I'm fine, sure...\I'm not asking about you.\Oh. She's good.\Wait a second, I thought you didn't want to be involved.\You're the one that's taking care of her,\so I can't help but be involved.\I'm gonna try to find a clue about Rin-chan's mom this weekend,\so I'll be out your way. response:	I see... Then give me a call when you reach the station.
context: I'm not asking about you.\Oh. She's good.\Wait a second, I thought you didn't want to be involved.\You're the one that's taking care of her,\so I can't help but be involved.\I'm gonna try to find a clue about Rin-chan's mom this weekend,\so I'll be out your way.\I see... Then give me a call when you reach the station. response:	Make sure you dress that girl warmly enough.
context: Oh. She's good.\Wait a second, I thought you didn't want to be involved.\You're the one that's taking care of her,\so I can't help but be involved.\I'm gonna try to find a clue about Rin-chan's mom this weekend,\so I'll be out your way.\I see... Then give me a call when you reach the station.\Make sure you dress that girl warmly enough. response:	Yeah... I'll invite Haruko, too.
context: Wait a second, I thought you didn't want to be involved.\You're the one that's taking care of her,\so I can't help but be involved.\I'm gonna try to find a clue about Rin-chan's mom this weekend,\so I'll be out your way.\I see... Then give me a call when you reach the station.\Make sure you dress that girl warmly enough.\Yeah... I'll invite Haruko, too. response:	It seems she's friendly with her girl.
context: You're the one that's taking care of her,\so I can't help but be involved.\I'm gonna try to find a clue about Rin-chan's mom this weekend,\so I'll be out your way.\I see... Then give me a call when you reach the station.\Make sure you dress that girl warmly enough.\Yeah... I'll invite Haruko, too.\It seems she's friendly with her girl. response:	We passed another car!
context: so I can't help but be involved.\I'm gonna try to find a clue about Rin-chan's mom this weekend,\so I'll be out your way.\I see... Then give me a call when you reach the station.\Make sure you dress that girl warmly enough.\Yeah... I'll invite Haruko, too.\It seems she's friendly with her girl.\We passed another car! response:	Looks like you're having a good time...
context: I'm gonna try to find a clue about Rin-chan's mom this weekend,\so I'll be out your way.\I see... Then give me a call when you reach the station.\Make sure you dress that girl warmly enough.\Yeah... I'll invite Haruko, too.\It seems she's friendly with her girl.\We passed another car!\Looks like you're having a good time... response:	Yeah!
context: so I'll be out your way.\I see... Then give me a call when you reach the station.\Make sure you dress that girl warmly enough.\Yeah... I'll invite Haruko, too.\It seems she's friendly with her girl.\We passed another car!\Looks like you're having a good time...\Yeah! response:	We're here.
context: I see... Then give me a call when you reach the station.\Make sure you dress that girl warmly enough.\Yeah... I'll invite Haruko, too.\It seems she's friendly with her girl.\We passed another car!\Looks like you're having a good time...\Yeah!\We're here. response:	Rin-chan, thank you for coming!
context: Make sure you dress that girl warmly enough.\Yeah... I'll invite Haruko, too.\It seems she's friendly with her girl.\We passed another car!\Looks like you're having a good time...\Yeah!\We're here.\Rin-chan, thank you for coming! response:	Hey!
context: Yeah... I'll invite Haruko, too.\It seems she's friendly with her girl.\We passed another car!\Looks like you're having a good time...\Yeah!\We're here.\Rin-chan, thank you for coming!\Hey! response:	I'm sorry I don't have anything that would please a small child.
context: It seems she's friendly with her girl.\We passed another car!\Looks like you're having a good time...\Yeah!\We're here.\Rin-chan, thank you for coming!\Hey!\I'm sorry I don't have anything that would please a small child. response:	She likes old people stuff anyway. Right?
context: We passed another car!\Looks like you're having a good time...\Yeah!\We're here.\Rin-chan, thank you for coming!\Hey!\I'm sorry I don't have anything that would please a small child.\She likes old people stuff anyway. Right? response:	Are you done already?
context: Looks like you're having a good time...\Yeah!\We're here.\Rin-chan, thank you for coming!\Hey!\I'm sorry I don't have anything that would please a small child.\She likes old people stuff anyway. Right?\Are you done already? response:	Yeah.
context: Yeah!\We're here.\Rin-chan, thank you for coming!\Hey!\I'm sorry I don't have anything that would please a small child.\She likes old people stuff anyway. Right?\Are you done already?\Yeah. response:	Don't come crying to me if you're hungry later.
context: We're here.\Rin-chan, thank you for coming!\Hey!\I'm sorry I don't have anything that would please a small child.\She likes old people stuff anyway. Right?\Are you done already?\Yeah.\Don't come crying to me if you're hungry later. response:	I'm stuffed...
context: Rin-chan, thank you for coming!\Hey!\I'm sorry I don't have anything that would please a small child.\She likes old people stuff anyway. Right?\Are you done already?\Yeah.\Don't come crying to me if you're hungry later.\I'm stuffed... response:	I'm sorry I couldn't finish.
context: Hey!\I'm sorry I don't have anything that would please a small child.\She likes old people stuff anyway. Right?\Are you done already?\Yeah.\Don't come crying to me if you're hungry later.\I'm stuffed...\I'm sorry I couldn't finish. response:	I'm home!
context: I'm sorry I don't have anything that would please a small child.\She likes old people stuff anyway. Right?\Are you done already?\Yeah.\Don't come crying to me if you're hungry later.\I'm stuffed...\I'm sorry I couldn't finish.\I'm home! response:	Sorry I'm late!
context: She likes old people stuff anyway. Right?\Are you done already?\Yeah.\Don't come crying to me if you're hungry later.\I'm stuffed...\I'm sorry I couldn't finish.\I'm home!\Sorry I'm late! response:	That was awful!
context: Are you done already?\Yeah.\Don't come crying to me if you're hungry later.\I'm stuffed...\I'm sorry I couldn't finish.\I'm home!\Sorry I'm late!\That was awful! response:	What's with that annoying mother and child?!
