context: The other team chose to receive the ball first. response:	We'll be serving first.
context: They're sports glasses.\I made sure to find cool-looking ones.\With those on, blocking with your face isn't scary at all!\Uh, yes it is.\I don't care if it's Ushiwaka or Benkei... Go stop'em.\What's up with the first-years putting on braver faces than us?\The third-years can't just sit here cowering, either.\All right! response:	Matches are super fun, aren't they?
context: I made sure to find cool-looking ones.\With those on, blocking with your face isn't scary at all!\Uh, yes it is.\I don't care if it's Ushiwaka or Benkei... Go stop'em.\What's up with the first-years putting on braver faces than us?\The third-years can't just sit here cowering, either.\All right!\Matches are super fun, aren't they? response:	Fly Karasuno High School Boys' Volleyball Team
context: With those on, blocking with your face isn't scary at all!\Uh, yes it is.\I don't care if it's Ushiwaka or Benkei... Go stop'em.\What's up with the first-years putting on braver faces than us?\The third-years can't just sit here cowering, either.\All right!\Matches are super fun, aren't they?\Fly Karasuno High School Boys' Volleyball Team response:	Simplicity and Fortitude Johzenji Parents' Association
context: Uh, yes it is.\I don't care if it's Ushiwaka or Benkei... Go stop'em.\What's up with the first-years putting on braver faces than us?\The third-years can't just sit here cowering, either.\All right!\Matches are super fun, aren't they?\Fly Karasuno High School Boys' Volleyball Team\Simplicity and Fortitude Johzenji Parents' Association response:	Let's play!
context: I don't care if it's Ushiwaka or Benkei... Go stop'em.\What's up with the first-years putting on braver faces than us?\The third-years can't just sit here cowering, either.\All right!\Matches are super fun, aren't they?\Fly Karasuno High School Boys' Volleyball Team\Simplicity and Fortitude Johzenji Parents' Association\Let's play! response:	Haikyu!!
context: What's up with the first-years putting on braver faces than us?\The third-years can't just sit here cowering, either.\All right!\Matches are super fun, aren't they?\Fly Karasuno High School Boys' Volleyball Team\Simplicity and Fortitude Johzenji Parents' Association\Let's play!\Haikyu!! response:	Episode 15: Place to Play
context: The third-years can't just sit here cowering, either.\All right!\Matches are super fun, aren't they?\Fly Karasuno High School Boys' Volleyball Team\Simplicity and Fortitude Johzenji Parents' Association\Let's play!\Haikyu!!\Episode 15: Place to Play response:	Johzenji! Johzenji! Johzenji!
context: All right!\Matches are super fun, aren't they?\Fly Karasuno High School Boys' Volleyball Team\Simplicity and Fortitude Johzenji Parents' Association\Let's play!\Haikyu!!\Episode 15: Place to Play\Johzenji! Johzenji! Johzenji! response:	We're finally at the qualifiers.
context: Matches are super fun, aren't they?\Fly Karasuno High School Boys' Volleyball Team\Simplicity and Fortitude Johzenji Parents' Association\Let's play!\Haikyu!!\Episode 15: Place to Play\Johzenji! Johzenji! Johzenji!\We're finally at the qualifiers. response:	Our first opponent was a semifinalist at the Inter-High prelims.
context: Fly Karasuno High School Boys' Volleyball Team\Simplicity and Fortitude Johzenji Parents' Association\Let's play!\Haikyu!!\Episode 15: Place to Play\Johzenji! Johzenji! Johzenji!\We're finally at the qualifiers.\Our first opponent was a semifinalist at the Inter-High prelims. response:	We've got our work cut out for us.
context: Simplicity and Fortitude Johzenji Parents' Association\Let's play!\Haikyu!!\Episode 15: Place to Play\Johzenji! Johzenji! Johzenji!\We're finally at the qualifiers.\Our first opponent was a semifinalist at the Inter-High prelims.\We've got our work cut out for us. response:	You better go all out on that first one, Azumane!
context: Let's play!\Haikyu!!\Episode 15: Place to Play\Johzenji! Johzenji! Johzenji!\We're finally at the qualifiers.\Our first opponent was a semifinalist at the Inter-High prelims.\We've got our work cut out for us.\You better go all out on that first one, Azumane! response:	Karasuno, fight!
context: Haikyu!!\Episode 15: Place to Play\Johzenji! Johzenji! Johzenji!\We're finally at the qualifiers.\Our first opponent was a semifinalist at the Inter-High prelims.\We've got our work cut out for us.\You better go all out on that first one, Azumane!\Karasuno, fight! response:	Yeah!
context: Episode 15: Place to Play\Johzenji! Johzenji! Johzenji!\We're finally at the qualifiers.\Our first opponent was a semifinalist at the Inter-High prelims.\We've got our work cut out for us.\You better go all out on that first one, Azumane!\Karasuno, fight!\Yeah! response:	Yeah!
context: Johzenji! Johzenji! Johzenji!\We're finally at the qualifiers.\Our first opponent was a semifinalist at the Inter-High prelims.\We've got our work cut out for us.\You better go all out on that first one, Azumane!\Karasuno, fight!\Yeah!\Yeah! response:	Asahi-san, nice serve!
context: We're finally at the qualifiers.\Our first opponent was a semifinalist at the Inter-High prelims.\We've got our work cut out for us.\You better go all out on that first one, Azumane!\Karasuno, fight!\Yeah!\Yeah!\Asahi-san, nice serve! response:	Make sure you guys get that ball!
context: Our first opponent was a semifinalist at the Inter-High prelims.\We've got our work cut out for us.\You better go all out on that first one, Azumane!\Karasuno, fight!\Yeah!\Yeah!\Asahi-san, nice serve!\Make sure you guys get that ball! response:	Whoa, that was intense.
context: We've got our work cut out for us.\You better go all out on that first one, Azumane!\Karasuno, fight!\Yeah!\Yeah!\Asahi-san, nice serve!\Make sure you guys get that ball!\Whoa, that was intense. response:	Smiling and Having Fun Winning and Having Fun
context: You better go all out on that first one, Azumane!\Karasuno, fight!\Yeah!\Yeah!\Asahi-san, nice serve!\Make sure you guys get that ball!\Whoa, that was intense.\Smiling and Having Fun Winning and Having Fun response:	Nice cover!
context: Karasuno, fight!\Yeah!\Yeah!\Asahi-san, nice serve!\Make sure you guys get that ball!\Whoa, that was intense.\Smiling and Having Fun Winning and Having Fun\Nice cover! response:	Get the last, Terushima!
context: Yeah!\Yeah!\Asahi-san, nice serve!\Make sure you guys get that ball!\Whoa, that was intense.\Smiling and Having Fun Winning and Having Fun\Nice cover!\Get the last, Terushima! response:	Chance ball!
context: Yeah!\Asahi-san, nice serve!\Make sure you guys get that ball!\Whoa, that was intense.\Smiling and Having Fun Winning and Having Fun\Nice cover!\Get the last, Terushima!\Chance ball! response:	Yahoo!
context: Asahi-san, nice serve!\Make sure you guys get that ball!\Whoa, that was intense.\Smiling and Having Fun Winning and Having Fun\Nice cover!\Get the last, Terushima!\Chance ball!\Yahoo! response:	Nice hit!
context: Make sure you guys get that ball!\Whoa, that was intense.\Smiling and Having Fun Winning and Having Fun\Nice cover!\Get the last, Terushima!\Chance ball!\Yahoo!\Nice hit! response:	A hit like that from the end line?
context: Whoa, that was intense.\Smiling and Having Fun Winning and Having Fun\Nice cover!\Get the last, Terushima!\Chance ball!\Yahoo!\Nice hit!\A hit like that from the end line? response:	Not to mention, while he was turning around?
context: Smiling and Having Fun Winning and Having Fun\Nice cover!\Get the last, Terushima!\Chance ball!\Yahoo!\Nice hit!\A hit like that from the end line?\Not to mention, while he was turning around? response:	That would usually be returned with an underhand hit.
context: Nice cover!\Get the last, Terushima!\Chance ball!\Yahoo!\Nice hit!\A hit like that from the end line?\Not to mention, while he was turning around?\That would usually be returned with an underhand hit. response:	Karasuno Johzenji
context: Get the last, Terushima!\Chance ball!\Yahoo!\Nice hit!\A hit like that from the end line?\Not to mention, while he was turning around?\That would usually be returned with an underhand hit.\Karasuno Johzenji response:	Nice serve!
context: Chance ball!\Yahoo!\Nice hit!\A hit like that from the end line?\Not to mention, while he was turning around?\That would usually be returned with an underhand hit.\Karasuno Johzenji\Nice serve! response:	Got it!
context: Yahoo!\Nice hit!\A hit like that from the end line?\Not to mention, while he was turning around?\That would usually be returned with an underhand hit.\Karasuno Johzenji\Nice serve!\Got it! response:	Left!
context: Nice hit!\A hit like that from the end line?\Not to mention, while he was turning around?\That would usually be returned with an underhand hit.\Karasuno Johzenji\Nice serve!\Got it!\Left! response:	Simplicity and Fortitude Johzenji Parents' Association
context: A hit like that from the end line?\Not to mention, while he was turning around?\That would usually be returned with an underhand hit.\Karasuno Johzenji\Nice serve!\Got it!\Left!\Simplicity and Fortitude Johzenji Parents' Association response:	Heave ho! Heave ho!
context: Not to mention, while he was turning around?\That would usually be returned with an underhand hit.\Karasuno Johzenji\Nice serve!\Got it!\Left!\Simplicity and Fortitude Johzenji Parents' Association\Heave ho! Heave ho! response:	It feels like...
context: That would usually be returned with an underhand hit.\Karasuno Johzenji\Nice serve!\Got it!\Left!\Simplicity and Fortitude Johzenji Parents' Association\Heave ho! Heave ho!\It feels like... response:	Yeah... Their plays aren't exactly cookie-cutter,
context: Karasuno Johzenji\Nice serve!\Got it!\Left!\Simplicity and Fortitude Johzenji Parents' Association\Heave ho! Heave ho!\It feels like...\Yeah... Their plays aren't exactly cookie-cutter, response:	so we can't seem to read what they're gonna do.
context: Nice serve!\Got it!\Left!\Simplicity and Fortitude Johzenji Parents' Association\Heave ho! Heave ho!\It feels like...\Yeah... Their plays aren't exactly cookie-cutter,\so we can't seem to read what they're gonna do. response:	So, the question is whether they're doing that on purpose or not.
context: Got it!\Left!\Simplicity and Fortitude Johzenji Parents' Association\Heave ho! Heave ho!\It feels like...\Yeah... Their plays aren't exactly cookie-cutter,\so we can't seem to read what they're gonna do.\So, the question is whether they're doing that on purpose or not. response:	Unpredictability is normal for Johzenji, and that's their weapon.
context: Left!\Simplicity and Fortitude Johzenji Parents' Association\Heave ho! Heave ho!\It feels like...\Yeah... Their plays aren't exactly cookie-cutter,\so we can't seem to read what they're gonna do.\So, the question is whether they're doing that on purpose or not.\Unpredictability is normal for Johzenji, and that's their weapon. response:	One more!
context: Simplicity and Fortitude Johzenji Parents' Association\Heave ho! Heave ho!\It feels like...\Yeah... Their plays aren't exactly cookie-cutter,\so we can't seem to read what they're gonna do.\So, the question is whether they're doing that on purpose or not.\Unpredictability is normal for Johzenji, and that's their weapon.\One more! response:	Come on, now!
context: Heave ho! Heave ho!\It feels like...\Yeah... Their plays aren't exactly cookie-cutter,\so we can't seem to read what they're gonna do.\So, the question is whether they're doing that on purpose or not.\Unpredictability is normal for Johzenji, and that's their weapon.\One more!\Come on, now! response:	Sorry!
context: It feels like...\Yeah... Their plays aren't exactly cookie-cutter,\so we can't seem to read what they're gonna do.\So, the question is whether they're doing that on purpose or not.\Unpredictability is normal for Johzenji, and that's their weapon.\One more!\Come on, now!\Sorry! response:	Don't mind! Don't mind!
context: Yeah... Their plays aren't exactly cookie-cutter,\so we can't seem to read what they're gonna do.\So, the question is whether they're doing that on purpose or not.\Unpredictability is normal for Johzenji, and that's their weapon.\One more!\Come on, now!\Sorry!\Don't mind! Don't mind! response:	Pick up the ball, and hit it back!
context: so we can't seem to read what they're gonna do.\So, the question is whether they're doing that on purpose or not.\Unpredictability is normal for Johzenji, and that's their weapon.\One more!\Come on, now!\Sorry!\Don't mind! Don't mind!\Pick up the ball, and hit it back! response:	Jeez... They get out of hand so quickly.
context: So, the question is whether they're doing that on purpose or not.\Unpredictability is normal for Johzenji, and that's their weapon.\One more!\Come on, now!\Sorry!\Don't mind! Don't mind!\Pick up the ball, and hit it back!\Jeez... They get out of hand so quickly. response:	You're the only third-year left.
context: Unpredictability is normal for Johzenji, and that's their weapon.\One more!\Come on, now!\Sorry!\Don't mind! Don't mind!\Pick up the ball, and hit it back!\Jeez... They get out of hand so quickly.\You're the only third-year left. response:	Those guys must be a handful.
context: One more!\Come on, now!\Sorry!\Don't mind! Don't mind!\Pick up the ball, and hit it back!\Jeez... They get out of hand so quickly.\You're the only third-year left.\Those guys must be a handful. response:	Tsukishima, nice serve!
context: Come on, now!\Sorry!\Don't mind! Don't mind!\Pick up the ball, and hit it back!\Jeez... They get out of hand so quickly.\You're the only third-year left.\Those guys must be a handful.\Tsukishima, nice serve! response:	A quick!
context: Sorry!\Don't mind! Don't mind!\Pick up the ball, and hit it back!\Jeez... They get out of hand so quickly.\You're the only third-year left.\Those guys must be a handful.\Tsukishima, nice serve!\A quick! response:	This shouldn't be a surprise, but I guess they can attack normally, too.
context: Don't mind! Don't mind!\Pick up the ball, and hit it back!\Jeez... They get out of hand so quickly.\You're the only third-year left.\Those guys must be a handful.\Tsukishima, nice serve!\A quick!\This shouldn't be a surprise, but I guess they can attack normally, too. response:	Karasuno
context: Pick up the ball, and hit it back!\Jeez... They get out of hand so quickly.\You're the only third-year left.\Those guys must be a handful.\Tsukishima, nice serve!\A quick!\This shouldn't be a surprise, but I guess they can attack normally, too.\Karasuno response:	Lucky! It got over the net.
context: Jeez... They get out of hand so quickly.\You're the only third-year left.\Those guys must be a handful.\Tsukishima, nice serve!\A quick!\This shouldn't be a surprise, but I guess they can attack normally, too.\Karasuno\Lucky! It got over the net. response:	Damn it!
context: You're the only third-year left.\Those guys must be a handful.\Tsukishima, nice serve!\A quick!\This shouldn't be a surprise, but I guess they can attack normally, too.\Karasuno\Lucky! It got over the net.\Damn it! response:	Nice reaction!
context: Those guys must be a handful.\Tsukishima, nice serve!\A quick!\This shouldn't be a surprise, but I guess they can attack normally, too.\Karasuno\Lucky! It got over the net.\Damn it!\Nice reaction! response:	But I don't know if they'll be able to connect.
context: Tsukishima, nice serve!\A quick!\This shouldn't be a surprise, but I guess they can attack normally, too.\Karasuno\Lucky! It got over the net.\Damn it!\Nice reaction!\But I don't know if they'll be able to connect. response:	Nice, Hinata!
context: A quick!\This shouldn't be a surprise, but I guess they can attack normally, too.\Karasuno\Lucky! It got over the net.\Damn it!\Nice reaction!\But I don't know if they'll be able to connect.\Nice, Hinata! response:	Whoa, he jumped!
context: This shouldn't be a surprise, but I guess they can attack normally, too.\Karasuno\Lucky! It got over the net.\Damn it!\Nice reaction!\But I don't know if they'll be able to connect.\Nice, Hinata!\Whoa, he jumped! response:	L-Look out!
context: Karasuno\Lucky! It got over the net.\Damn it!\Nice reaction!\But I don't know if they'll be able to connect.\Nice, Hinata!\Whoa, he jumped!\L-Look out! response:	H-He's Spider-Man!
context: Lucky! It got over the net.\Damn it!\Nice reaction!\But I don't know if they'll be able to connect.\Nice, Hinata!\Whoa, he jumped!\L-Look out!\H-He's Spider-Man! response:	In the back!
context: Damn it!\Nice reaction!\But I don't know if they'll be able to connect.\Nice, Hinata!\Whoa, he jumped!\L-Look out!\H-He's Spider-Man!\In the back! response:	He managed to return it!
context: Nice reaction!\But I don't know if they'll be able to connect.\Nice, Hinata!\Whoa, he jumped!\L-Look out!\H-He's Spider-Man!\In the back!\He managed to return it! response:	We also have some guys on our team
context: But I don't know if they'll be able to connect.\Nice, Hinata!\Whoa, he jumped!\L-Look out!\H-He's Spider-Man!\In the back!\He managed to return it!\We also have some guys on our team response:	who are skilled and unpredictable.
context: Nice, Hinata!\Whoa, he jumped!\L-Look out!\H-He's Spider-Man!\In the back!\He managed to return it!\We also have some guys on our team\who are skilled and unpredictable. response:	Yeah!
context: Whoa, he jumped!\L-Look out!\H-He's Spider-Man!\In the back!\He managed to return it!\We also have some guys on our team\who are skilled and unpredictable.\Yeah! response:	Well, that was definitely surprising,
context: L-Look out!\H-He's Spider-Man!\In the back!\He managed to return it!\We also have some guys on our team\who are skilled and unpredictable.\Yeah!\Well, that was definitely surprising, response:	but Karasuno hasn't even done their ridiculous attack yet.
context: H-He's Spider-Man!\In the back!\He managed to return it!\We also have some guys on our team\who are skilled and unpredictable.\Yeah!\Well, that was definitely surprising,\but Karasuno hasn't even done their ridiculous attack yet. response:	Go! Killer serve!
context: In the back!\He managed to return it!\We also have some guys on our team\who are skilled and unpredictable.\Yeah!\Well, that was definitely surprising,\but Karasuno hasn't even done their ridiculous attack yet.\Go! Killer serve! response:	Regardless of how the receive looks,
context: He managed to return it!\We also have some guys on our team\who are skilled and unpredictable.\Yeah!\Well, that was definitely surprising,\but Karasuno hasn't even done their ridiculous attack yet.\Go! Killer serve!\Regardless of how the receive looks, response:	as long as it goes up, they can do whatever they need to.
context: We also have some guys on our team\who are skilled and unpredictable.\Yeah!\Well, that was definitely surprising,\but Karasuno hasn't even done their ridiculous attack yet.\Go! Killer serve!\Regardless of how the receive looks,\as long as it goes up, they can do whatever they need to. response:	That's what they all think, and that's what they're able to do.
context: who are skilled and unpredictable.\Yeah!\Well, that was definitely surprising,\but Karasuno hasn't even done their ridiculous attack yet.\Go! Killer serve!\Regardless of how the receive looks,\as long as it goes up, they can do whatever they need to.\That's what they all think, and that's what they're able to do. response:	Damn it!
context: Yeah!\Well, that was definitely surprising,\but Karasuno hasn't even done their ridiculous attack yet.\Go! Killer serve!\Regardless of how the receive looks,\as long as it goes up, they can do whatever they need to.\That's what they all think, and that's what they're able to do.\Damn it! response:	One more! Hit it direct, Numajiri!
context: Well, that was definitely surprising,\but Karasuno hasn't even done their ridiculous attack yet.\Go! Killer serve!\Regardless of how the receive looks,\as long as it goes up, they can do whatever they need to.\That's what they all think, and that's what they're able to do.\Damn it!\One more! Hit it direct, Numajiri! response:	All right!
context: but Karasuno hasn't even done their ridiculous attack yet.\Go! Killer serve!\Regardless of how the receive looks,\as long as it goes up, they can do whatever they need to.\That's what they all think, and that's what they're able to do.\Damn it!\One more! Hit it direct, Numajiri!\All right! response:	Karasuno hasn't gotten one actual attack in yet.
context: Go! Killer serve!\Regardless of how the receive looks,\as long as it goes up, they can do whatever they need to.\That's what they all think, and that's what they're able to do.\Damn it!\One more! Hit it direct, Numajiri!\All right!\Karasuno hasn't gotten one actual attack in yet. response:	Daichi-san, nice receive!
context: Regardless of how the receive looks,\as long as it goes up, they can do whatever they need to.\That's what they all think, and that's what they're able to do.\Damn it!\One more! Hit it direct, Numajiri!\All right!\Karasuno hasn't gotten one actual attack in yet.\Daichi-san, nice receive! response:	There it is!
context: as long as it goes up, they can do whatever they need to.\That's what they all think, and that's what they're able to do.\Damn it!\One more! Hit it direct, Numajiri!\All right!\Karasuno hasn't gotten one actual attack in yet.\Daichi-san, nice receive!\There it is! response:	10's super quick!
context: That's what they all think, and that's what they're able to do.\Damn it!\One more! Hit it direct, Numajiri!\All right!\Karasuno hasn't gotten one actual attack in yet.\Daichi-san, nice receive!\There it is!\10's super quick! response:	Hey, Kageyama! We can't just sit here losing.
context: Damn it!\One more! Hit it direct, Numajiri!\All right!\Karasuno hasn't gotten one actual attack in yet.\Daichi-san, nice receive!\There it is!\10's super quick!\Hey, Kageyama! We can't just sit here losing. response:	So that was the quick I heard about. So cool!
context: One more! Hit it direct, Numajiri!\All right!\Karasuno hasn't gotten one actual attack in yet.\Daichi-san, nice receive!\There it is!\10's super quick!\Hey, Kageyama! We can't just sit here losing.\So that was the quick I heard about. So cool! response:	Ow!
context: All right!\Karasuno hasn't gotten one actual attack in yet.\Daichi-san, nice receive!\There it is!\10's super quick!\Hey, Kageyama! We can't just sit here losing.\So that was the quick I heard about. So cool!\Ow! response:	Their moves are hard to read,
context: Karasuno hasn't gotten one actual attack in yet.\Daichi-san, nice receive!\There it is!\10's super quick!\Hey, Kageyama! We can't just sit here losing.\So that was the quick I heard about. So cool!\Ow!\Their moves are hard to read, response:	but it's not like the ball's gonna disappear.
context: Daichi-san, nice receive!\There it is!\10's super quick!\Hey, Kageyama! We can't just sit here losing.\So that was the quick I heard about. So cool!\Ow!\Their moves are hard to read,\but it's not like the ball's gonna disappear. response:	Let's just calm down and keep going.
context: There it is!\10's super quick!\Hey, Kageyama! We can't just sit here losing.\So that was the quick I heard about. So cool!\Ow!\Their moves are hard to read,\but it's not like the ball's gonna disappear.\Let's just calm down and keep going. response:	Yeah!
context: 10's super quick!\Hey, Kageyama! We can't just sit here losing.\So that was the quick I heard about. So cool!\Ow!\Their moves are hard to read,\but it's not like the ball's gonna disappear.\Let's just calm down and keep going.\Yeah! response:	Well done.
context: Hey, Kageyama! We can't just sit here losing.\So that was the quick I heard about. So cool!\Ow!\Their moves are hard to read,\but it's not like the ball's gonna disappear.\Let's just calm down and keep going.\Yeah!\Well done. response:	Karasuno Johzenji
context: So that was the quick I heard about. So cool!\Ow!\Their moves are hard to read,\but it's not like the ball's gonna disappear.\Let's just calm down and keep going.\Yeah!\Well done.\Karasuno Johzenji response:	10! 10!
context: Ow!\Their moves are hard to read,\but it's not like the ball's gonna disappear.\Let's just calm down and keep going.\Yeah!\Well done.\Karasuno Johzenji\10! 10! response:	All right!
context: Their moves are hard to read,\but it's not like the ball's gonna disappear.\Let's just calm down and keep going.\Yeah!\Well done.\Karasuno Johzenji\10! 10!\All right! response:	Johzenji's so unrefined about everything.
context: but it's not like the ball's gonna disappear.\Let's just calm down and keep going.\Yeah!\Well done.\Karasuno Johzenji\10! 10!\All right!\Johzenji's so unrefined about everything. response:	Their blockers just keep jumping, and they fall for feints a lot.
context: Let's just calm down and keep going.\Yeah!\Well done.\Karasuno Johzenji\10! 10!\All right!\Johzenji's so unrefined about everything.\Their blockers just keep jumping, and they fall for feints a lot. response:	And yet I wonder what makes them so persistent and hard to play against.
context: Yeah!\Well done.\Karasuno Johzenji\10! 10!\All right!\Johzenji's so unrefined about everything.\Their blockers just keep jumping, and they fall for feints a lot.\And yet I wonder what makes them so persistent and hard to play against. response:	I have a friend on the Johzenji basketball team.
context: Well done.\Karasuno Johzenji\10! 10!\All right!\Johzenji's so unrefined about everything.\Their blockers just keep jumping, and they fall for feints a lot.\And yet I wonder what makes them so persistent and hard to play against.\I have a friend on the Johzenji basketball team. response:	Really?
context: Karasuno Johzenji\10! 10!\All right!\Johzenji's so unrefined about everything.\Their blockers just keep jumping, and they fall for feints a lot.\And yet I wonder what makes them so persistent and hard to play against.\I have a friend on the Johzenji basketball team.\Really? response:	Apparently their volleyball team mostly practices
context: 10! 10!\All right!\Johzenji's so unrefined about everything.\Their blockers just keep jumping, and they fall for feints a lot.\And yet I wonder what makes them so persistent and hard to play against.\I have a friend on the Johzenji basketball team.\Really?\Apparently their volleyball team mostly practices response:	with two-on-two games.
context: All right!\Johzenji's so unrefined about everything.\Their blockers just keep jumping, and they fall for feints a lot.\And yet I wonder what makes them so persistent and hard to play against.\I have a friend on the Johzenji basketball team.\Really?\Apparently their volleyball team mostly practices\with two-on-two games. response:	Two-on-two games?
context: Johzenji's so unrefined about everything.\Their blockers just keep jumping, and they fall for feints a lot.\And yet I wonder what makes them so persistent and hard to play against.\I have a friend on the Johzenji basketball team.\Really?\Apparently their volleyball team mostly practices\with two-on-two games.\Two-on-two games? response:	That's rough!
context: Their blockers just keep jumping, and they fall for feints a lot.\And yet I wonder what makes them so persistent and hard to play against.\I have a friend on the Johzenji basketball team.\Really?\Apparently their volleyball team mostly practices\with two-on-two games.\Two-on-two games?\That's rough! response:	They're used to that,
context: And yet I wonder what makes them so persistent and hard to play against.\I have a friend on the Johzenji basketball team.\Really?\Apparently their volleyball team mostly practices\with two-on-two games.\Two-on-two games?\That's rough!\They're used to that, response:	so they don't really feel like anyone will get the ball for them,
context: I have a friend on the Johzenji basketball team.\Really?\Apparently their volleyball team mostly practices\with two-on-two games.\Two-on-two games?\That's rough!\They're used to that,\so they don't really feel like anyone will get the ball for them, response:	and all of them are constantly trying to attack.
context: Really?\Apparently their volleyball team mostly practices\with two-on-two games.\Two-on-two games?\That's rough!\They're used to that,\so they don't really feel like anyone will get the ball for them,\and all of them are constantly trying to attack. response:	Cover!
context: Apparently their volleyball team mostly practices\with two-on-two games.\Two-on-two games?\That's rough!\They're used to that,\so they don't really feel like anyone will get the ball for them,\and all of them are constantly trying to attack.\Cover! response:	Leave it to me!
context: with two-on-two games.\Two-on-two games?\That's rough!\They're used to that,\so they don't really feel like anyone will get the ball for them,\and all of them are constantly trying to attack.\Cover!\Leave it to me! response:	You idiots! Be willing to give up the ball a little!
context: Two-on-two games?\That's rough!\They're used to that,\so they don't really feel like anyone will get the ball for them,\and all of them are constantly trying to attack.\Cover!\Leave it to me!\You idiots! Be willing to give up the ball a little! response:	And that's probably why that happens...
context: That's rough!\They're used to that,\so they don't really feel like anyone will get the ball for them,\and all of them are constantly trying to attack.\Cover!\Leave it to me!\You idiots! Be willing to give up the ball a little!\And that's probably why that happens... response:	They're all annoying.
context: They're used to that,\so they don't really feel like anyone will get the ball for them,\and all of them are constantly trying to attack.\Cover!\Leave it to me!\You idiots! Be willing to give up the ball a little!\And that's probably why that happens...\They're all annoying. response:	People from other schools think you guys are annoying, too.
