context: Kingdom (Part 1) response:	COMFY
context: I don't know what it is, but my stomach hurts.\Are you all right? Maybe it was too greasy.\It's unusual for you to have a stomachache.\Want some medicine?\Yeah.\Hina, that's...\You said your stomach hurts?\There. Lie on your right side. response:	Warming your back like this may make you feel a little better.
context: Are you all right? Maybe it was too greasy.\It's unusual for you to have a stomachache.\Want some medicine?\Yeah.\Hina, that's...\You said your stomach hurts?\There. Lie on your right side.\Warming your back like this may make you feel a little better. response:	Yeah. Thank you.
context: It's unusual for you to have a stomachache.\Want some medicine?\Yeah.\Hina, that's...\You said your stomach hurts?\There. Lie on your right side.\Warming your back like this may make you feel a little better.\Yeah. Thank you. response:	Is she sick?
context: Want some medicine?\Yeah.\Hina, that's...\You said your stomach hurts?\There. Lie on your right side.\Warming your back like this may make you feel a little better.\Yeah. Thank you.\Is she sick? response:	HMM HMM
context: Yeah.\Hina, that's...\You said your stomach hurts?\There. Lie on your right side.\Warming your back like this may make you feel a little better.\Yeah. Thank you.\Is she sick?\HMM HMM response:	Are you okay, Hina?
context: Hina, that's...\You said your stomach hurts?\There. Lie on your right side.\Warming your back like this may make you feel a little better.\Yeah. Thank you.\Is she sick?\HMM HMM\Are you okay, Hina? response:	When I thought about her situation at school,
context: You said your stomach hurts?\There. Lie on your right side.\Warming your back like this may make you feel a little better.\Yeah. Thank you.\Is she sick?\HMM HMM\Are you okay, Hina?\When I thought about her situation at school, response:	I can imagine how this three-day, two-night trip would be painful.
context: There. Lie on your right side.\Warming your back like this may make you feel a little better.\Yeah. Thank you.\Is she sick?\HMM HMM\Are you okay, Hina?\When I thought about her situation at school,\I can imagine how this three-day, two-night trip would be painful. response:	It was plain as day.
context: Warming your back like this may make you feel a little better.\Yeah. Thank you.\Is she sick?\HMM HMM\Are you okay, Hina?\When I thought about her situation at school,\I can imagine how this three-day, two-night trip would be painful.\It was plain as day. response:	Are you okay? You know, you don't have to go to Kyoto.
context: Yeah. Thank you.\Is she sick?\HMM HMM\Are you okay, Hina?\When I thought about her situation at school,\I can imagine how this three-day, two-night trip would be painful.\It was plain as day.\Are you okay? You know, you don't have to go to Kyoto. response:	No, I'll go.
context: Is she sick?\HMM HMM\Are you okay, Hina?\When I thought about her situation at school,\I can imagine how this three-day, two-night trip would be painful.\It was plain as day.\Are you okay? You know, you don't have to go to Kyoto.\No, I'll go. response:	I have a feeling that I need to go.
context: HMM HMM\Are you okay, Hina?\When I thought about her situation at school,\I can imagine how this three-day, two-night trip would be painful.\It was plain as day.\Are you okay? You know, you don't have to go to Kyoto.\No, I'll go.\I have a feeling that I need to go. response:	It feels like if I don't,
context: Are you okay, Hina?\When I thought about her situation at school,\I can imagine how this three-day, two-night trip would be painful.\It was plain as day.\Are you okay? You know, you don't have to go to Kyoto.\No, I'll go.\I have a feeling that I need to go.\It feels like if I don't, response:	I'll regret it down the line, years from now, even after becoming an adult.
context: When I thought about her situation at school,\I can imagine how this three-day, two-night trip would be painful.\It was plain as day.\Are you okay? You know, you don't have to go to Kyoto.\No, I'll go.\I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult. response:	I think I wanted to have memories of not running away.
context: I can imagine how this three-day, two-night trip would be painful.\It was plain as day.\Are you okay? You know, you don't have to go to Kyoto.\No, I'll go.\I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\I think I wanted to have memories of not running away. response:	So, I can't explain it well,
context: It was plain as day.\Are you okay? You know, you don't have to go to Kyoto.\No, I'll go.\I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\I think I wanted to have memories of not running away.\So, I can't explain it well, response:	but you wanted to get rid of things like that, right?
context: Are you okay? You know, you don't have to go to Kyoto.\No, I'll go.\I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\I think I wanted to have memories of not running away.\So, I can't explain it well,\but you wanted to get rid of things like that, right? response:	That one time, Takahashi immediately said he understood.
context: No, I'll go.\I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\I think I wanted to have memories of not running away.\So, I can't explain it well,\but you wanted to get rid of things like that, right?\That one time, Takahashi immediately said he understood. response:	Hina...
context: I have a feeling that I need to go.\It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\I think I wanted to have memories of not running away.\So, I can't explain it well,\but you wanted to get rid of things like that, right?\That one time, Takahashi immediately said he understood.\Hina... response:	I'm going to win.
context: It feels like if I don't,\I'll regret it down the line, years from now, even after becoming an adult.\I think I wanted to have memories of not running away.\So, I can't explain it well,\but you wanted to get rid of things like that, right?\That one time, Takahashi immediately said he understood.\Hina...\I'm going to win. response:	I swear I'll win.
context: I'll regret it down the line, years from now, even after becoming an adult.\I think I wanted to have memories of not running away.\So, I can't explain it well,\but you wanted to get rid of things like that, right?\That one time, Takahashi immediately said he understood.\Hina...\I'm going to win.\I swear I'll win. response:	Nikaidou kept playing until he collapsed.
context: I think I wanted to have memories of not running away.\So, I can't explain it well,\but you wanted to get rid of things like that, right?\That one time, Takahashi immediately said he understood.\Hina...\I'm going to win.\I swear I'll win.\Nikaidou kept playing until he collapsed. response:	And the girl in front of me...
context: So, I can't explain it well,\but you wanted to get rid of things like that, right?\That one time, Takahashi immediately said he understood.\Hina...\I'm going to win.\I swear I'll win.\Nikaidou kept playing until he collapsed.\And the girl in front of me... response:	I swear I'll win before I come home.
context: but you wanted to get rid of things like that, right?\That one time, Takahashi immediately said he understood.\Hina...\I'm going to win.\I swear I'll win.\Nikaidou kept playing until he collapsed.\And the girl in front of me...\I swear I'll win before I come home. response:	When your stomach feels better, let's all go to a sweets shop.
context: That one time, Takahashi immediately said he understood.\Hina...\I'm going to win.\I swear I'll win.\Nikaidou kept playing until he collapsed.\And the girl in front of me...\I swear I'll win before I come home.\When your stomach feels better, let's all go to a sweets shop. response:	You can have whatever toppings you like.
context: Hina...\I'm going to win.\I swear I'll win.\Nikaidou kept playing until he collapsed.\And the girl in front of me...\I swear I'll win before I come home.\When your stomach feels better, let's all go to a sweets shop.\You can have whatever toppings you like. response:	Thank you, Kiriyama.
context: I'm going to win.\I swear I'll win.\Nikaidou kept playing until he collapsed.\And the girl in front of me...\I swear I'll win before I come home.\When your stomach feels better, let's all go to a sweets shop.\You can have whatever toppings you like.\Thank you, Kiriyama. response:	They're all fighting to win...
context: I swear I'll win.\Nikaidou kept playing until he collapsed.\And the girl in front of me...\I swear I'll win before I come home.\When your stomach feels better, let's all go to a sweets shop.\You can have whatever toppings you like.\Thank you, Kiriyama.\They're all fighting to win... response:	Huh? Where am I?
context: Nikaidou kept playing until he collapsed.\And the girl in front of me...\I swear I'll win before I come home.\When your stomach feels better, let's all go to a sweets shop.\You can have whatever toppings you like.\Thank you, Kiriyama.\They're all fighting to win...\Huh? Where am I? response:	Oh, that's right.
context: And the girl in front of me...\I swear I'll win before I come home.\When your stomach feels better, let's all go to a sweets shop.\You can have whatever toppings you like.\Thank you, Kiriyama.\They're all fighting to win...\Huh? Where am I?\Oh, that's right. response:	It's Osaka.
context: I swear I'll win before I come home.\When your stomach feels better, let's all go to a sweets shop.\You can have whatever toppings you like.\Thank you, Kiriyama.\They're all fighting to win...\Huh? Where am I?\Oh, that's right.\It's Osaka. response:	I came here to fight.
context: When your stomach feels better, let's all go to a sweets shop.\You can have whatever toppings you like.\Thank you, Kiriyama.\They're all fighting to win...\Huh? Where am I?\Oh, that's right.\It's Osaka.\I came here to fight. response:	The Newcomer Tournament is open to shogi players who are 26 and under,
context: You can have whatever toppings you like.\Thank you, Kiriyama.\They're all fighting to win...\Huh? Where am I?\Oh, that's right.\It's Osaka.\I came here to fight.\The Newcomer Tournament is open to shogi players who are 26 and under, response:	and 5th dan and under.
context: Thank you, Kiriyama.\They're all fighting to win...\Huh? Where am I?\Oh, that's right.\It's Osaka.\I came here to fight.\The Newcomer Tournament is open to shogi players who are 26 and under,\and 5th dan and under. response:	Each player is given five hours.
context: They're all fighting to win...\Huh? Where am I?\Oh, that's right.\It's Osaka.\I came here to fight.\The Newcomer Tournament is open to shogi players who are 26 and under,\and 5th dan and under.\Each player is given five hours. response:	The match will probably continue until night time.
context: Huh? Where am I?\Oh, that's right.\It's Osaka.\I came here to fight.\The Newcomer Tournament is open to shogi players who are 26 and under,\and 5th dan and under.\Each player is given five hours.\The match will probably continue until night time. response:	To be on the safe side, I'll buy breakfast, lunch,
context: Oh, that's right.\It's Osaka.\I came here to fight.\The Newcomer Tournament is open to shogi players who are 26 and under,\and 5th dan and under.\Each player is given five hours.\The match will probably continue until night time.\To be on the safe side, I'll buy breakfast, lunch, response:	and plenty of drinks.
context: It's Osaka.\I came here to fight.\The Newcomer Tournament is open to shogi players who are 26 and under,\and 5th dan and under.\Each player is given five hours.\The match will probably continue until night time.\To be on the safe side, I'll buy breakfast, lunch,\and plenty of drinks. response:	Kiriyama is coming today, right?
context: I came here to fight.\The Newcomer Tournament is open to shogi players who are 26 and under,\and 5th dan and under.\Each player is given five hours.\The match will probably continue until night time.\To be on the safe side, I'll buy breakfast, lunch,\and plenty of drinks.\Kiriyama is coming today, right? response:	Yeah. He's the guy who made our Hachi cry.
context: The Newcomer Tournament is open to shogi players who are 26 and under,\and 5th dan and under.\Each player is given five hours.\The match will probably continue until night time.\To be on the safe side, I'll buy breakfast, lunch,\and plenty of drinks.\Kiriyama is coming today, right?\Yeah. He's the guy who made our Hachi cry. response:	It's too bad what happened to that rich kid, but Yamazaki was going all out, too.
context: and 5th dan and under.\Each player is given five hours.\The match will probably continue until night time.\To be on the safe side, I'll buy breakfast, lunch,\and plenty of drinks.\Kiriyama is coming today, right?\Yeah. He's the guy who made our Hachi cry.\It's too bad what happened to that rich kid, but Yamazaki was going all out, too. response:	Yeah. After all, his unprecedented title of Eternal Newcomer King was on the line!
context: Each player is given five hours.\The match will probably continue until night time.\To be on the safe side, I'll buy breakfast, lunch,\and plenty of drinks.\Kiriyama is coming today, right?\Yeah. He's the guy who made our Hachi cry.\It's too bad what happened to that rich kid, but Yamazaki was going all out, too.\Yeah. After all, his unprecedented title of Eternal Newcomer King was on the line! response:	You can't blame him. Maintaining your health is part of the game.
context: The match will probably continue until night time.\To be on the safe side, I'll buy breakfast, lunch,\and plenty of drinks.\Kiriyama is coming today, right?\Yeah. He's the guy who made our Hachi cry.\It's too bad what happened to that rich kid, but Yamazaki was going all out, too.\Yeah. After all, his unprecedented title of Eternal Newcomer King was on the line!\You can't blame him. Maintaining your health is part of the game. response:	Doing everything you can to beat your opponent,
context: To be on the safe side, I'll buy breakfast, lunch,\and plenty of drinks.\Kiriyama is coming today, right?\Yeah. He's the guy who made our Hachi cry.\It's too bad what happened to that rich kid, but Yamazaki was going all out, too.\Yeah. After all, his unprecedented title of Eternal Newcomer King was on the line!\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent, response:	no matter what condition they're in, is just etiquette.
context: and plenty of drinks.\Kiriyama is coming today, right?\Yeah. He's the guy who made our Hachi cry.\It's too bad what happened to that rich kid, but Yamazaki was going all out, too.\Yeah. After all, his unprecedented title of Eternal Newcomer King was on the line!\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette. response:	Junkei just fought the way you're supposed to fight.
context: Kiriyama is coming today, right?\Yeah. He's the guy who made our Hachi cry.\It's too bad what happened to that rich kid, but Yamazaki was going all out, too.\Yeah. After all, his unprecedented title of Eternal Newcomer King was on the line!\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight. response:	I suddenly recall what he said.
context: Yeah. He's the guy who made our Hachi cry.\It's too bad what happened to that rich kid, but Yamazaki was going all out, too.\Yeah. After all, his unprecedented title of Eternal Newcomer King was on the line!\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\I suddenly recall what he said. response:	I'll have my shot at the title.
context: It's too bad what happened to that rich kid, but Yamazaki was going all out, too.\Yeah. After all, his unprecedented title of Eternal Newcomer King was on the line!\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\I suddenly recall what he said.\I'll have my shot at the title. response:	If I didn't think that, how could I go on?
context: Yeah. After all, his unprecedented title of Eternal Newcomer King was on the line!\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\I suddenly recall what he said.\I'll have my shot at the title.\If I didn't think that, how could I go on? response:	I wonder how strongly Nikaidou felt...
context: You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\I suddenly recall what he said.\I'll have my shot at the title.\If I didn't think that, how could I go on?\I wonder how strongly Nikaidou felt... response:	when he said those words.
context: Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\I suddenly recall what he said.\I'll have my shot at the title.\If I didn't think that, how could I go on?\I wonder how strongly Nikaidou felt...\when he said those words. response:	You're not mistaken, Rei Kiriyama.
context: no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\I suddenly recall what he said.\I'll have my shot at the title.\If I didn't think that, how could I go on?\I wonder how strongly Nikaidou felt...\when he said those words.\You're not mistaken, Rei Kiriyama. response:	Look to nature for the way of life.
context: Junkei just fought the way you're supposed to fight.\I suddenly recall what he said.\I'll have my shot at the title.\If I didn't think that, how could I go on?\I wonder how strongly Nikaidou felt...\when he said those words.\You're not mistaken, Rei Kiriyama.\Look to nature for the way of life. response:	This is the final match of the Newcomer Tournament.
context: I suddenly recall what he said.\I'll have my shot at the title.\If I didn't think that, how could I go on?\I wonder how strongly Nikaidou felt...\when he said those words.\You're not mistaken, Rei Kiriyama.\Look to nature for the way of life.\This is the final match of the Newcomer Tournament. response:	I'm Junkei Yamazaki.
context: I'll have my shot at the title.\If I didn't think that, how could I go on?\I wonder how strongly Nikaidou felt...\when he said those words.\You're not mistaken, Rei Kiriyama.\Look to nature for the way of life.\This is the final match of the Newcomer Tournament.\I'm Junkei Yamazaki. response:	SHOGI HALL
context: If I didn't think that, how could I go on?\I wonder how strongly Nikaidou felt...\when he said those words.\You're not mistaken, Rei Kiriyama.\Look to nature for the way of life.\This is the final match of the Newcomer Tournament.\I'm Junkei Yamazaki.\SHOGI HALL response:	It's quiet.
context: I wonder how strongly Nikaidou felt...\when he said those words.\You're not mistaken, Rei Kiriyama.\Look to nature for the way of life.\This is the final match of the Newcomer Tournament.\I'm Junkei Yamazaki.\SHOGI HALL\It's quiet. response:	Only the sound of our pieces disturbs the air.
context: when he said those words.\You're not mistaken, Rei Kiriyama.\Look to nature for the way of life.\This is the final match of the Newcomer Tournament.\I'm Junkei Yamazaki.\SHOGI HALL\It's quiet.\Only the sound of our pieces disturbs the air. response:	He's gunning for a Ranging Rook Castle.
context: You're not mistaken, Rei Kiriyama.\Look to nature for the way of life.\This is the final match of the Newcomer Tournament.\I'm Junkei Yamazaki.\SHOGI HALL\It's quiet.\Only the sound of our pieces disturbs the air.\He's gunning for a Ranging Rook Castle. response:	He'll lock himself in, and intend to make this a drawn-out war.
context: Look to nature for the way of life.\This is the final match of the Newcomer Tournament.\I'm Junkei Yamazaki.\SHOGI HALL\It's quiet.\Only the sound of our pieces disturbs the air.\He's gunning for a Ranging Rook Castle.\He'll lock himself in, and intend to make this a drawn-out war. response:	While playing...
context: This is the final match of the Newcomer Tournament.\I'm Junkei Yamazaki.\SHOGI HALL\It's quiet.\Only the sound of our pieces disturbs the air.\He's gunning for a Ranging Rook Castle.\He'll lock himself in, and intend to make this a drawn-out war.\While playing... response:	the question Why?...
context: I'm Junkei Yamazaki.\SHOGI HALL\It's quiet.\Only the sound of our pieces disturbs the air.\He's gunning for a Ranging Rook Castle.\He'll lock himself in, and intend to make this a drawn-out war.\While playing...\the question Why?... response:	keeps swirling around in my head.
context: SHOGI HALL\It's quiet.\Only the sound of our pieces disturbs the air.\He's gunning for a Ranging Rook Castle.\He'll lock himself in, and intend to make this a drawn-out war.\While playing...\the question Why?...\keeps swirling around in my head. response:	When I looked at the game records, I sensed it.
context: It's quiet.\Only the sound of our pieces disturbs the air.\He's gunning for a Ranging Rook Castle.\He'll lock himself in, and intend to make this a drawn-out war.\While playing...\the question Why?...\keeps swirling around in my head.\When I looked at the game records, I sensed it. response:	You had plenty of moves that were open.
context: Only the sound of our pieces disturbs the air.\He's gunning for a Ranging Rook Castle.\He'll lock himself in, and intend to make this a drawn-out war.\While playing...\the question Why?...\keeps swirling around in my head.\When I looked at the game records, I sensed it.\You had plenty of moves that were open. response:	So why did you force a draw by repeating moves?
context: He's gunning for a Ranging Rook Castle.\He'll lock himself in, and intend to make this a drawn-out war.\While playing...\the question Why?...\keeps swirling around in my head.\When I looked at the game records, I sensed it.\You had plenty of moves that were open.\So why did you force a draw by repeating moves? response:	Because I didn't have a winning move.
context: He'll lock himself in, and intend to make this a drawn-out war.\While playing...\the question Why?...\keeps swirling around in my head.\When I looked at the game records, I sensed it.\You had plenty of moves that were open.\So why did you force a draw by repeating moves?\Because I didn't have a winning move. response:	You can't blame him. Maintaining your health is part of the game.
context: While playing...\the question Why?...\keeps swirling around in my head.\When I looked at the game records, I sensed it.\You had plenty of moves that were open.\So why did you force a draw by repeating moves?\Because I didn't have a winning move.\You can't blame him. Maintaining your health is part of the game. response:	Doing everything you can to beat your opponent,
context: the question Why?...\keeps swirling around in my head.\When I looked at the game records, I sensed it.\You had plenty of moves that were open.\So why did you force a draw by repeating moves?\Because I didn't have a winning move.\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent, response:	no matter what condition they're in, is just etiquette.
context: keeps swirling around in my head.\When I looked at the game records, I sensed it.\You had plenty of moves that were open.\So why did you force a draw by repeating moves?\Because I didn't have a winning move.\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette. response:	Junkei just fought the way you're supposed to fight.
context: When I looked at the game records, I sensed it.\You had plenty of moves that were open.\So why did you force a draw by repeating moves?\Because I didn't have a winning move.\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight. response:	The guys in the store said he fought the way you're supposed to fight.
context: You had plenty of moves that were open.\So why did you force a draw by repeating moves?\Because I didn't have a winning move.\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\The guys in the store said he fought the way you're supposed to fight. response:	But if you're not conquering your weakness of failing to read your opponent,
context: So why did you force a draw by repeating moves?\Because I didn't have a winning move.\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\The guys in the store said he fought the way you're supposed to fight.\But if you're not conquering your weakness of failing to read your opponent, response:	and then you would put that burden on someone else saying it's justified,
context: Because I didn't have a winning move.\You can't blame him. Maintaining your health is part of the game.\Doing everything you can to beat your opponent,\no matter what condition they're in, is just etiquette.\Junkei just fought the way you're supposed to fight.\The guys in the store said he fought the way you're supposed to fight.\But if you're not conquering your weakness of failing to read your opponent,\and then you would put that burden on someone else saying it's justified, response:	then I have just one reply.
