context: The Third Plate response:	Eleven
context: We got one back at Central!\Yeah!\That was a good match.\What?\Director Nakiri?!\Seriously?!\Uncle Azami, it's been a while.\Scandinavia, 8 Years Ago response:	Miss.
context: Yeah!\That was a good match.\What?\Director Nakiri?!\Seriously?!\Uncle Azami, it's been a while.\Scandinavia, 8 Years Ago\Miss. response:	What are you always writing?
context: That was a good match.\What?\Director Nakiri?!\Seriously?!\Uncle Azami, it's been a while.\Scandinavia, 8 Years Ago\Miss.\What are you always writing? response:	Letters.
context: What?\Director Nakiri?!\Seriously?!\Uncle Azami, it's been a while.\Scandinavia, 8 Years Ago\Miss.\What are you always writing?\Letters. response:	I'm sending letters by airmail to Japan.
context: Director Nakiri?!\Seriously?!\Uncle Azami, it's been a while.\Scandinavia, 8 Years Ago\Miss.\What are you always writing?\Letters.\I'm sending letters by airmail to Japan. response:	Erina wants letters from me, you see.
context: Seriously?!\Uncle Azami, it's been a while.\Scandinavia, 8 Years Ago\Miss.\What are you always writing?\Letters.\I'm sending letters by airmail to Japan.\Erina wants letters from me, you see. response:	So I have to send a lot.
context: Uncle Azami, it's been a while.\Scandinavia, 8 Years Ago\Miss.\What are you always writing?\Letters.\I'm sending letters by airmail to Japan.\Erina wants letters from me, you see.\So I have to send a lot. response:	Even though it's such a bother.
context: Scandinavia, 8 Years Ago\Miss.\What are you always writing?\Letters.\I'm sending letters by airmail to Japan.\Erina wants letters from me, you see.\So I have to send a lot.\Even though it's such a bother. response:	Huh, I see.
context: Miss.\What are you always writing?\Letters.\I'm sending letters by airmail to Japan.\Erina wants letters from me, you see.\So I have to send a lot.\Even though it's such a bother.\Huh, I see. response:	She's really enjoying it.
context: What are you always writing?\Letters.\I'm sending letters by airmail to Japan.\Erina wants letters from me, you see.\So I have to send a lot.\Even though it's such a bother.\Huh, I see.\She's really enjoying it. response:	Bye, Erina.
context: Letters.\I'm sending letters by airmail to Japan.\Erina wants letters from me, you see.\So I have to send a lot.\Even though it's such a bother.\Huh, I see.\She's really enjoying it.\Bye, Erina. response:	Letters.
context: I'm sending letters by airmail to Japan.\Erina wants letters from me, you see.\So I have to send a lot.\Even though it's such a bother.\Huh, I see.\She's really enjoying it.\Bye, Erina.\Letters. response:	You'd better send me letters.
context: Erina wants letters from me, you see.\So I have to send a lot.\Even though it's such a bother.\Huh, I see.\She's really enjoying it.\Bye, Erina.\Letters.\You'd better send me letters. response:	What?
context: So I have to send a lot.\Even though it's such a bother.\Huh, I see.\She's really enjoying it.\Bye, Erina.\Letters.\You'd better send me letters.\What? response:	There are no letters from Erina today, either?
context: Even though it's such a bother.\Huh, I see.\She's really enjoying it.\Bye, Erina.\Letters.\You'd better send me letters.\What?\There are no letters from Erina today, either? response:	I see.
context: Huh, I see.\She's really enjoying it.\Bye, Erina.\Letters.\You'd better send me letters.\What?\There are no letters from Erina today, either?\I see. response:	It's fine, Mother.
context: She's really enjoying it.\Bye, Erina.\Letters.\You'd better send me letters.\What?\There are no letters from Erina today, either?\I see.\It's fine, Mother. response:	I'll just try to write another one.
context: Bye, Erina.\Letters.\You'd better send me letters.\What?\There are no letters from Erina today, either?\I see.\It's fine, Mother.\I'll just try to write another one. response:	Ugh, Erina.
context: Letters.\You'd better send me letters.\What?\There are no letters from Erina today, either?\I see.\It's fine, Mother.\I'll just try to write another one.\Ugh, Erina. response:	You're the one who said you wanted letters.
context: You'd better send me letters.\What?\There are no letters from Erina today, either?\I see.\It's fine, Mother.\I'll just try to write another one.\Ugh, Erina.\You're the one who said you wanted letters. response:	Hello, Alice.
context: What?\There are no letters from Erina today, either?\I see.\It's fine, Mother.\I'll just try to write another one.\Ugh, Erina.\You're the one who said you wanted letters.\Hello, Alice. response:	Thank you for taking care of Erina.
context: There are no letters from Erina today, either?\I see.\It's fine, Mother.\I'll just try to write another one.\Ugh, Erina.\You're the one who said you wanted letters.\Hello, Alice.\Thank you for taking care of Erina. response:	Uncle Azami...
context: I see.\It's fine, Mother.\I'll just try to write another one.\Ugh, Erina.\You're the one who said you wanted letters.\Hello, Alice.\Thank you for taking care of Erina.\Uncle Azami... response:	Food Wars
context: It's fine, Mother.\I'll just try to write another one.\Ugh, Erina.\You're the one who said you wanted letters.\Hello, Alice.\Thank you for taking care of Erina.\Uncle Azami...\Food Wars response:	The Third Plate
context: I'll just try to write another one.\Ugh, Erina.\You're the one who said you wanted letters.\Hello, Alice.\Thank you for taking care of Erina.\Uncle Azami...\Food Wars\The Third Plate response:	Der WeiBe Ritter der Tafel
context: Ugh, Erina.\You're the one who said you wanted letters.\Hello, Alice.\Thank you for taking care of Erina.\Uncle Azami...\Food Wars\The Third Plate\Der WeiBe Ritter der Tafel response:	Alice, the chief of Cutting Edge Cuisine RS?
context: You're the one who said you wanted letters.\Hello, Alice.\Thank you for taking care of Erina.\Uncle Azami...\Food Wars\The Third Plate\Der WeiBe Ritter der Tafel\Alice, the chief of Cutting Edge Cuisine RS? response:	Since when?
context: Hello, Alice.\Thank you for taking care of Erina.\Uncle Azami...\Food Wars\The Third Plate\Der WeiBe Ritter der Tafel\Alice, the chief of Cutting Edge Cuisine RS?\Since when? response:	See, it's in the official records of a Shokugeki in the past.
context: Thank you for taking care of Erina.\Uncle Azami...\Food Wars\The Third Plate\Der WeiBe Ritter der Tafel\Alice, the chief of Cutting Edge Cuisine RS?\Since when?\See, it's in the official records of a Shokugeki in the past. response:	That's why she was targeted by the survivor hunt.
context: Uncle Azami...\Food Wars\The Third Plate\Der WeiBe Ritter der Tafel\Alice, the chief of Cutting Edge Cuisine RS?\Since when?\See, it's in the official records of a Shokugeki in the past.\That's why she was targeted by the survivor hunt. response:	I wonder if Alice is going to be okay.
context: Food Wars\The Third Plate\Der WeiBe Ritter der Tafel\Alice, the chief of Cutting Edge Cuisine RS?\Since when?\See, it's in the official records of a Shokugeki in the past.\That's why she was targeted by the survivor hunt.\I wonder if Alice is going to be okay. response:	You're worried, aren't you?
context: The Third Plate\Der WeiBe Ritter der Tafel\Alice, the chief of Cutting Edge Cuisine RS?\Since when?\See, it's in the official records of a Shokugeki in the past.\That's why she was targeted by the survivor hunt.\I wonder if Alice is going to be okay.\You're worried, aren't you? response:	I-I'm not worried!
context: Der WeiBe Ritter der Tafel\Alice, the chief of Cutting Edge Cuisine RS?\Since when?\See, it's in the official records of a Shokugeki in the past.\That's why she was targeted by the survivor hunt.\I wonder if Alice is going to be okay.\You're worried, aren't you?\I-I'm not worried! response:	But Alice can be reckless sometimes, so...
context: Alice, the chief of Cutting Edge Cuisine RS?\Since when?\See, it's in the official records of a Shokugeki in the past.\That's why she was targeted by the survivor hunt.\I wonder if Alice is going to be okay.\You're worried, aren't you?\I-I'm not worried!\But Alice can be reckless sometimes, so... response:	Well, it's true that she's the one who took you away from your family home.
context: Since when?\See, it's in the official records of a Shokugeki in the past.\That's why she was targeted by the survivor hunt.\I wonder if Alice is going to be okay.\You're worried, aren't you?\I-I'm not worried!\But Alice can be reckless sometimes, so...\Well, it's true that she's the one who took you away from your family home. response:	Alice-kun seems to be very concerned about you, too.
context: See, it's in the official records of a Shokugeki in the past.\That's why she was targeted by the survivor hunt.\I wonder if Alice is going to be okay.\You're worried, aren't you?\I-I'm not worried!\But Alice can be reckless sometimes, so...\Well, it's true that she's the one who took you away from your family home.\Alice-kun seems to be very concerned about you, too. response:	What a beautiful friendship!
context: That's why she was targeted by the survivor hunt.\I wonder if Alice is going to be okay.\You're worried, aren't you?\I-I'm not worried!\But Alice can be reckless sometimes, so...\Well, it's true that she's the one who took you away from your family home.\Alice-kun seems to be very concerned about you, too.\What a beautiful friendship! response:	That's youth in a nutshell.
context: I wonder if Alice is going to be okay.\You're worried, aren't you?\I-I'm not worried!\But Alice can be reckless sometimes, so...\Well, it's true that she's the one who took you away from your family home.\Alice-kun seems to be very concerned about you, too.\What a beautiful friendship!\That's youth in a nutshell. response:	I wonder about that.
context: You're worried, aren't you?\I-I'm not worried!\But Alice can be reckless sometimes, so...\Well, it's true that she's the one who took you away from your family home.\Alice-kun seems to be very concerned about you, too.\What a beautiful friendship!\That's youth in a nutshell.\I wonder about that. response:	What?
context: I-I'm not worried!\But Alice can be reckless sometimes, so...\Well, it's true that she's the one who took you away from your family home.\Alice-kun seems to be very concerned about you, too.\What a beautiful friendship!\That's youth in a nutshell.\I wonder about that.\What? response:	I doubt she feels any friendship toward me.
context: But Alice can be reckless sometimes, so...\Well, it's true that she's the one who took you away from your family home.\Alice-kun seems to be very concerned about you, too.\What a beautiful friendship!\That's youth in a nutshell.\I wonder about that.\What?\I doubt she feels any friendship toward me. response:	I've done many horrible things to Alice.
context: Well, it's true that she's the one who took you away from your family home.\Alice-kun seems to be very concerned about you, too.\What a beautiful friendship!\That's youth in a nutshell.\I wonder about that.\What?\I doubt she feels any friendship toward me.\I've done many horrible things to Alice. response:	Alice, your Cutting Edge Cuisine RS
context: Alice-kun seems to be very concerned about you, too.\What a beautiful friendship!\That's youth in a nutshell.\I wonder about that.\What?\I doubt she feels any friendship toward me.\I've done many horrible things to Alice.\Alice, your Cutting Edge Cuisine RS response:	was the only one to win a Shokugeki in today's survivor hunt.
context: What a beautiful friendship!\That's youth in a nutshell.\I wonder about that.\What?\I doubt she feels any friendship toward me.\I've done many horrible things to Alice.\Alice, your Cutting Edge Cuisine RS\was the only one to win a Shokugeki in today's survivor hunt. response:	The other 32 organizations all suffered defeat and will be disbanded.
context: That's youth in a nutshell.\I wonder about that.\What?\I doubt she feels any friendship toward me.\I've done many horrible things to Alice.\Alice, your Cutting Edge Cuisine RS\was the only one to win a Shokugeki in today's survivor hunt.\The other 32 organizations all suffered defeat and will be disbanded. response:	Regardless of other outcomes,
context: I wonder about that.\What?\I doubt she feels any friendship toward me.\I've done many horrible things to Alice.\Alice, your Cutting Edge Cuisine RS\was the only one to win a Shokugeki in today's survivor hunt.\The other 32 organizations all suffered defeat and will be disbanded.\Regardless of other outcomes, response:	Ryo-kun won against Central.
context: What?\I doubt she feels any friendship toward me.\I've done many horrible things to Alice.\Alice, your Cutting Edge Cuisine RS\was the only one to win a Shokugeki in today's survivor hunt.\The other 32 organizations all suffered defeat and will be disbanded.\Regardless of other outcomes,\Ryo-kun won against Central. response:	Can you still insist that your way of thinking is absolute and correct, Uncle?
context: I doubt she feels any friendship toward me.\I've done many horrible things to Alice.\Alice, your Cutting Edge Cuisine RS\was the only one to win a Shokugeki in today's survivor hunt.\The other 32 organizations all suffered defeat and will be disbanded.\Regardless of other outcomes,\Ryo-kun won against Central.\Can you still insist that your way of thinking is absolute and correct, Uncle? response:	How disappointing, Alice.
context: I've done many horrible things to Alice.\Alice, your Cutting Edge Cuisine RS\was the only one to win a Shokugeki in today's survivor hunt.\The other 32 organizations all suffered defeat and will be disbanded.\Regardless of other outcomes,\Ryo-kun won against Central.\Can you still insist that your way of thinking is absolute and correct, Uncle?\How disappointing, Alice. response:	I thought you would support my utopia of true gourmet dining.
context: Alice, your Cutting Edge Cuisine RS\was the only one to win a Shokugeki in today's survivor hunt.\The other 32 organizations all suffered defeat and will be disbanded.\Regardless of other outcomes,\Ryo-kun won against Central.\Can you still insist that your way of thinking is absolute and correct, Uncle?\How disappointing, Alice.\I thought you would support my utopia of true gourmet dining. response:	The Nakiri family has a responsibility to advance the world of gourmet dining.
context: was the only one to win a Shokugeki in today's survivor hunt.\The other 32 organizations all suffered defeat and will be disbanded.\Regardless of other outcomes,\Ryo-kun won against Central.\Can you still insist that your way of thinking is absolute and correct, Uncle?\How disappointing, Alice.\I thought you would support my utopia of true gourmet dining.\The Nakiri family has a responsibility to advance the world of gourmet dining. response:	That's what this great revolution is for.
context: The other 32 organizations all suffered defeat and will be disbanded.\Regardless of other outcomes,\Ryo-kun won against Central.\Can you still insist that your way of thinking is absolute and correct, Uncle?\How disappointing, Alice.\I thought you would support my utopia of true gourmet dining.\The Nakiri family has a responsibility to advance the world of gourmet dining.\That's what this great revolution is for. response:	Father?!
context: Regardless of other outcomes,\Ryo-kun won against Central.\Can you still insist that your way of thinking is absolute and correct, Uncle?\How disappointing, Alice.\I thought you would support my utopia of true gourmet dining.\The Nakiri family has a responsibility to advance the world of gourmet dining.\That's what this great revolution is for.\Father?! response:	Alice...
context: Ryo-kun won against Central.\Can you still insist that your way of thinking is absolute and correct, Uncle?\How disappointing, Alice.\I thought you would support my utopia of true gourmet dining.\The Nakiri family has a responsibility to advance the world of gourmet dining.\That's what this great revolution is for.\Father?!\Alice... response:	I can't agree with your methods, Uncle.
context: Can you still insist that your way of thinking is absolute and correct, Uncle?\How disappointing, Alice.\I thought you would support my utopia of true gourmet dining.\The Nakiri family has a responsibility to advance the world of gourmet dining.\That's what this great revolution is for.\Father?!\Alice...\I can't agree with your methods, Uncle. response:	Nor do I wish to.
context: How disappointing, Alice.\I thought you would support my utopia of true gourmet dining.\The Nakiri family has a responsibility to advance the world of gourmet dining.\That's what this great revolution is for.\Father?!\Alice...\I can't agree with your methods, Uncle.\Nor do I wish to. response:	That's all.
context: I thought you would support my utopia of true gourmet dining.\The Nakiri family has a responsibility to advance the world of gourmet dining.\That's what this great revolution is for.\Father?!\Alice...\I can't agree with your methods, Uncle.\Nor do I wish to.\That's all. response:	What a stubborn child you are.
context: The Nakiri family has a responsibility to advance the world of gourmet dining.\That's what this great revolution is for.\Father?!\Alice...\I can't agree with your methods, Uncle.\Nor do I wish to.\That's all.\What a stubborn child you are. response:	You even took my beloved daughter out of the house without permission.
context: That's what this great revolution is for.\Father?!\Alice...\I can't agree with your methods, Uncle.\Nor do I wish to.\That's all.\What a stubborn child you are.\You even took my beloved daughter out of the house without permission. response:	Consider whether you have the right to speak to me that way.
context: Father?!\Alice...\I can't agree with your methods, Uncle.\Nor do I wish to.\That's all.\What a stubborn child you are.\You even took my beloved daughter out of the house without permission.\Consider whether you have the right to speak to me that way. response:	I don't care!
context: Alice...\I can't agree with your methods, Uncle.\Nor do I wish to.\That's all.\What a stubborn child you are.\You even took my beloved daughter out of the house without permission.\Consider whether you have the right to speak to me that way.\I don't care! response:	I am angry.
context: I can't agree with your methods, Uncle.\Nor do I wish to.\That's all.\What a stubborn child you are.\You even took my beloved daughter out of the house without permission.\Consider whether you have the right to speak to me that way.\I don't care!\I am angry. response:	I will never forget what you have done, Uncle.
context: Nor do I wish to.\That's all.\What a stubborn child you are.\You even took my beloved daughter out of the house without permission.\Consider whether you have the right to speak to me that way.\I don't care!\I am angry.\I will never forget what you have done, Uncle. response:	I don't like you, Uncle Azami!
context: That's all.\What a stubborn child you are.\You even took my beloved daughter out of the house without permission.\Consider whether you have the right to speak to me that way.\I don't care!\I am angry.\I will never forget what you have done, Uncle.\I don't like you, Uncle Azami! response:	I will not let you do what you want with Totsuki Academy! With Erina!
context: What a stubborn child you are.\You even took my beloved daughter out of the house without permission.\Consider whether you have the right to speak to me that way.\I don't care!\I am angry.\I will never forget what you have done, Uncle.\I don't like you, Uncle Azami!\I will not let you do what you want with Totsuki Academy! With Erina! response:	I see.
context: You even took my beloved daughter out of the house without permission.\Consider whether you have the right to speak to me that way.\I don't care!\I am angry.\I will never forget what you have done, Uncle.\I don't like you, Uncle Azami!\I will not let you do what you want with Totsuki Academy! With Erina!\I see. response:	Well, do your best.
context: Consider whether you have the right to speak to me that way.\I don't care!\I am angry.\I will never forget what you have done, Uncle.\I don't like you, Uncle Azami!\I will not let you do what you want with Totsuki Academy! With Erina!\I see.\Well, do your best. response:	For today, I'll just congratulate you on your one victory.
context: I don't care!\I am angry.\I will never forget what you have done, Uncle.\I don't like you, Uncle Azami!\I will not let you do what you want with Totsuki Academy! With Erina!\I see.\Well, do your best.\For today, I'll just congratulate you on your one victory. response:	Erina...
context: I am angry.\I will never forget what you have done, Uncle.\I don't like you, Uncle Azami!\I will not let you do what you want with Totsuki Academy! With Erina!\I see.\Well, do your best.\For today, I'll just congratulate you on your one victory.\Erina... response:	You were listening to us?
context: I will never forget what you have done, Uncle.\I don't like you, Uncle Azami!\I will not let you do what you want with Totsuki Academy! With Erina!\I see.\Well, do your best.\For today, I'll just congratulate you on your one victory.\Erina...\You were listening to us? response:	If only Uncle Azami had not interfered,
context: I don't like you, Uncle Azami!\I will not let you do what you want with Totsuki Academy! With Erina!\I see.\Well, do your best.\For today, I'll just congratulate you on your one victory.\Erina...\You were listening to us?\If only Uncle Azami had not interfered, response:	we would've been such, such, such better friends, Erina.
context: I will not let you do what you want with Totsuki Academy! With Erina!\I see.\Well, do your best.\For today, I'll just congratulate you on your one victory.\Erina...\You were listening to us?\If only Uncle Azami had not interfered,\we would've been such, such, such better friends, Erina. response:	How rude of him.
context: I see.\Well, do your best.\For today, I'll just congratulate you on your one victory.\Erina...\You were listening to us?\If only Uncle Azami had not interfered,\we would've been such, such, such better friends, Erina.\How rude of him. response:	Besides, you've been looking too gloomy lately!
context: Well, do your best.\For today, I'll just congratulate you on your one victory.\Erina...\You were listening to us?\If only Uncle Azami had not interfered,\we would've been such, such, such better friends, Erina.\How rude of him.\Besides, you've been looking too gloomy lately! response:	Why don't you stand up straight and proud?!
context: For today, I'll just congratulate you on your one victory.\Erina...\You were listening to us?\If only Uncle Azami had not interfered,\we would've been such, such, such better friends, Erina.\How rude of him.\Besides, you've been looking too gloomy lately!\Why don't you stand up straight and proud?! response:	You've been holed up in your room in Polar Star Dormitory, haven't you?!
context: Erina...\You were listening to us?\If only Uncle Azami had not interfered,\we would've been such, such, such better friends, Erina.\How rude of him.\Besides, you've been looking too gloomy lately!\Why don't you stand up straight and proud?!\You've been holed up in your room in Polar Star Dormitory, haven't you?! response:	H-How dare you!
context: You were listening to us?\If only Uncle Azami had not interfered,\we would've been such, such, such better friends, Erina.\How rude of him.\Besides, you've been looking too gloomy lately!\Why don't you stand up straight and proud?!\You've been holed up in your room in Polar Star Dormitory, haven't you?!\H-How dare you! response:	You're the one who made me run away from home!
context: If only Uncle Azami had not interfered,\we would've been such, such, such better friends, Erina.\How rude of him.\Besides, you've been looking too gloomy lately!\Why don't you stand up straight and proud?!\You've been holed up in your room in Polar Star Dormitory, haven't you?!\H-How dare you!\You're the one who made me run away from home! response:	That's because I couldn't stand to see you all terrified of Uncle Azami!
context: we would've been such, such, such better friends, Erina.\How rude of him.\Besides, you've been looking too gloomy lately!\Why don't you stand up straight and proud?!\You've been holed up in your room in Polar Star Dormitory, haven't you?!\H-How dare you!\You're the one who made me run away from home!\That's because I couldn't stand to see you all terrified of Uncle Azami! response:	You have to show him!
context: How rude of him.\Besides, you've been looking too gloomy lately!\Why don't you stand up straight and proud?!\You've been holed up in your room in Polar Star Dormitory, haven't you?!\H-How dare you!\You're the one who made me run away from home!\That's because I couldn't stand to see you all terrified of Uncle Azami!\You have to show him! response:	You have to show him that you're your own person!
context: Besides, you've been looking too gloomy lately!\Why don't you stand up straight and proud?!\You've been holed up in your room in Polar Star Dormitory, haven't you?!\H-How dare you!\You're the one who made me run away from home!\That's because I couldn't stand to see you all terrified of Uncle Azami!\You have to show him!\You have to show him that you're your own person! response:	That you won't just be someone's puppet!
context: Why don't you stand up straight and proud?!\You've been holed up in your room in Polar Star Dormitory, haven't you?!\H-How dare you!\You're the one who made me run away from home!\That's because I couldn't stand to see you all terrified of Uncle Azami!\You have to show him!\You have to show him that you're your own person!\That you won't just be someone's puppet! response:	You can't stay in your shell forever!
context: You've been holed up in your room in Polar Star Dormitory, haven't you?!\H-How dare you!\You're the one who made me run away from home!\That's because I couldn't stand to see you all terrified of Uncle Azami!\You have to show him!\You have to show him that you're your own person!\That you won't just be someone's puppet!\You can't stay in your shell forever! response:	Got it?
context: H-How dare you!\You're the one who made me run away from home!\That's because I couldn't stand to see you all terrified of Uncle Azami!\You have to show him!\You have to show him that you're your own person!\That you won't just be someone's puppet!\You can't stay in your shell forever!\Got it? response:	Alice...
context: You're the one who made me run away from home!\That's because I couldn't stand to see you all terrified of Uncle Azami!\You have to show him!\You have to show him that you're your own person!\That you won't just be someone's puppet!\You can't stay in your shell forever!\Got it?\Alice... response:	Besides, I intend to hand you a crushing defeat some day!
context: That's because I couldn't stand to see you all terrified of Uncle Azami!\You have to show him!\You have to show him that you're your own person!\That you won't just be someone's puppet!\You can't stay in your shell forever!\Got it?\Alice...\Besides, I intend to hand you a crushing defeat some day! response:	I can't have you be a shrinking violet
context: You have to show him!\You have to show him that you're your own person!\That you won't just be someone's puppet!\You can't stay in your shell forever!\Got it?\Alice...\Besides, I intend to hand you a crushing defeat some day!\I can't have you be a shrinking violet response:	when I need you to be my worthy foil.
context: You have to show him that you're your own person!\That you won't just be someone's puppet!\You can't stay in your shell forever!\Got it?\Alice...\Besides, I intend to hand you a crushing defeat some day!\I can't have you be a shrinking violet\when I need you to be my worthy foil. response:	What did you say?!
context: That you won't just be someone's puppet!\You can't stay in your shell forever!\Got it?\Alice...\Besides, I intend to hand you a crushing defeat some day!\I can't have you be a shrinking violet\when I need you to be my worthy foil.\What did you say?! response:	What?
context: You can't stay in your shell forever!\Got it?\Alice...\Besides, I intend to hand you a crushing defeat some day!\I can't have you be a shrinking violet\when I need you to be my worthy foil.\What did you say?!\What? response:	Everything you make tastes disgusting, anyway!
context: Got it?\Alice...\Besides, I intend to hand you a crushing defeat some day!\I can't have you be a shrinking violet\when I need you to be my worthy foil.\What did you say?!\What?\Everything you make tastes disgusting, anyway! response:	You said disgusting!
context: Alice...\Besides, I intend to hand you a crushing defeat some day!\I can't have you be a shrinking violet\when I need you to be my worthy foil.\What did you say?!\What?\Everything you make tastes disgusting, anyway!\You said disgusting! response:	I said disgusting because it is disgusting!
context: Besides, I intend to hand you a crushing defeat some day!\I can't have you be a shrinking violet\when I need you to be my worthy foil.\What did you say?!\What?\Everything you make tastes disgusting, anyway!\You said disgusting!\I said disgusting because it is disgusting! response:	They're actually really close, huh.
context: I can't have you be a shrinking violet\when I need you to be my worthy foil.\What did you say?!\What?\Everything you make tastes disgusting, anyway!\You said disgusting!\I said disgusting because it is disgusting!\They're actually really close, huh. response:	Don't say that to them.
context: when I need you to be my worthy foil.\What did you say?!\What?\Everything you make tastes disgusting, anyway!\You said disgusting!\I said disgusting because it is disgusting!\They're actually really close, huh.\Don't say that to them. response:	It'll only cause trouble.
context: What did you say?!\What?\Everything you make tastes disgusting, anyway!\You said disgusting!\I said disgusting because it is disgusting!\They're actually really close, huh.\Don't say that to them.\It'll only cause trouble. response:	Chanko RS
context: What?\Everything you make tastes disgusting, anyway!\You said disgusting!\I said disgusting because it is disgusting!\They're actually really close, huh.\Don't say that to them.\It'll only cause trouble.\Chanko RS response:	Organizations that suffered defeat will be immediately disbanded
context: Everything you make tastes disgusting, anyway!\You said disgusting!\I said disgusting because it is disgusting!\They're actually really close, huh.\Don't say that to them.\It'll only cause trouble.\Chanko RS\Organizations that suffered defeat will be immediately disbanded response:	and forbidden from any form of activity.
context: You said disgusting!\I said disgusting because it is disgusting!\They're actually really close, huh.\Don't say that to them.\It'll only cause trouble.\Chanko RS\Organizations that suffered defeat will be immediately disbanded\and forbidden from any form of activity. response:	Should there be any act of rebellion,
context: I said disgusting because it is disgusting!\They're actually really close, huh.\Don't say that to them.\It'll only cause trouble.\Chanko RS\Organizations that suffered defeat will be immediately disbanded\and forbidden from any form of activity.\Should there be any act of rebellion, response:	retribution will be swift.
context: They're actually really close, huh.\Don't say that to them.\It'll only cause trouble.\Chanko RS\Organizations that suffered defeat will be immediately disbanded\and forbidden from any form of activity.\Should there be any act of rebellion,\retribution will be swift. response:	Good day.
context: Don't say that to them.\It'll only cause trouble.\Chanko RS\Organizations that suffered defeat will be immediately disbanded\and forbidden from any form of activity.\Should there be any act of rebellion,\retribution will be swift.\Good day. response:	Kitchen No. 26
context: It'll only cause trouble.\Chanko RS\Organizations that suffered defeat will be immediately disbanded\and forbidden from any form of activity.\Should there be any act of rebellion,\retribution will be swift.\Good day.\Kitchen No. 26 response:	The class format has changed a lot since Central was founded, too.
context: Chanko RS\Organizations that suffered defeat will be immediately disbanded\and forbidden from any form of activity.\Should there be any act of rebellion,\retribution will be swift.\Good day.\Kitchen No. 26\The class format has changed a lot since Central was founded, too. response:	Yeah.
context: Organizations that suffered defeat will be immediately disbanded\and forbidden from any form of activity.\Should there be any act of rebellion,\retribution will be swift.\Good day.\Kitchen No. 26\The class format has changed a lot since Central was founded, too.\Yeah. response:	There are no more classes where you come up with your own dishes.
context: and forbidden from any form of activity.\Should there be any act of rebellion,\retribution will be swift.\Good day.\Kitchen No. 26\The class format has changed a lot since Central was founded, too.\Yeah.\There are no more classes where you come up with your own dishes. response:	They're all about following recipes to a T.
context: Should there be any act of rebellion,\retribution will be swift.\Good day.\Kitchen No. 26\The class format has changed a lot since Central was founded, too.\Yeah.\There are no more classes where you come up with your own dishes.\They're all about following recipes to a T. response:	They really don't plan on letting us cook what we want.
context: retribution will be swift.\Good day.\Kitchen No. 26\The class format has changed a lot since Central was founded, too.\Yeah.\There are no more classes where you come up with your own dishes.\They're all about following recipes to a T.\They really don't plan on letting us cook what we want. response:	Even Master Shinomiya gave me more leeway in the kitchen.
context: Good day.\Kitchen No. 26\The class format has changed a lot since Central was founded, too.\Yeah.\There are no more classes where you come up with your own dishes.\They're all about following recipes to a T.\They really don't plan on letting us cook what we want.\Even Master Shinomiya gave me more leeway in the kitchen. response:	What's wrong, Chef?
context: Kitchen No. 26\The class format has changed a lot since Central was founded, too.\Yeah.\There are no more classes where you come up with your own dishes.\They're all about following recipes to a T.\They really don't plan on letting us cook what we want.\Even Master Shinomiya gave me more leeway in the kitchen.\What's wrong, Chef? response:	I suddenly felt really irritated for some reason.
