context: That Sunday... I... response:	What made you want to come to the park all of a sudden, Emi?
context: The closer it gets to Kousei's turn, my stomach... It's so much easier to deal with my own matches!\It's not like you're the one who'll be playing, Tsubaki-chan,\so just sit back and relax!\I know, but is Kousei gonna be all right?\Just spotted an angelic older woman!\He could be quaking in his shoes after that amazing performance.\And that's so not happening.\Cause you know what, he's a man! response:	We will now resume judging.
context: It's not like you're the one who'll be playing, Tsubaki-chan,\so just sit back and relax!\I know, but is Kousei gonna be all right?\Just spotted an angelic older woman!\He could be quaking in his shoes after that amazing performance.\And that's so not happening.\Cause you know what, he's a man!\We will now resume judging. response:	Thump, thump. My heart's pounding even harder than before.
context: so just sit back and relax!\I know, but is Kousei gonna be all right?\Just spotted an angelic older woman!\He could be quaking in his shoes after that amazing performance.\And that's so not happening.\Cause you know what, he's a man!\We will now resume judging.\Thump, thump. My heart's pounding even harder than before. response:	Arima's choice of piece today is Chopin's Etude Op. 25 No. 5
context: I know, but is Kousei gonna be all right?\Just spotted an angelic older woman!\He could be quaking in his shoes after that amazing performance.\And that's so not happening.\Cause you know what, he's a man!\We will now resume judging.\Thump, thump. My heart's pounding even harder than before.\Arima's choice of piece today is Chopin's Etude Op. 25 No. 5 response:	Inconceivable!
context: Just spotted an angelic older woman!\He could be quaking in his shoes after that amazing performance.\And that's so not happening.\Cause you know what, he's a man!\We will now resume judging.\Thump, thump. My heart's pounding even harder than before.\Arima's choice of piece today is Chopin's Etude Op. 25 No. 5\Inconceivable! response:	Till now, Arima's always showcased his ability to play difficult pieces without a false note.
context: He could be quaking in his shoes after that amazing performance.\And that's so not happening.\Cause you know what, he's a man!\We will now resume judging.\Thump, thump. My heart's pounding even harder than before.\Arima's choice of piece today is Chopin's Etude Op. 25 No. 5\Inconceivable!\Till now, Arima's always showcased his ability to play difficult pieces without a false note. response:	That's why I challenged him with my Op. 25, No. 11...
context: And that's so not happening.\Cause you know what, he's a man!\We will now resume judging.\Thump, thump. My heart's pounding even harder than before.\Arima's choice of piece today is Chopin's Etude Op. 25 No. 5\Inconceivable!\Till now, Arima's always showcased his ability to play difficult pieces without a false note.\That's why I challenged him with my Op. 25, No. 11... response:	I'm sure Takeshi did, too...
context: Cause you know what, he's a man!\We will now resume judging.\Thump, thump. My heart's pounding even harder than before.\Arima's choice of piece today is Chopin's Etude Op. 25 No. 5\Inconceivable!\Till now, Arima's always showcased his ability to play difficult pieces without a false note.\That's why I challenged him with my Op. 25, No. 11...\I'm sure Takeshi did, too... response:	But the song Arima chose to play today can't be considered a difficult piece...
context: We will now resume judging.\Thump, thump. My heart's pounding even harder than before.\Arima's choice of piece today is Chopin's Etude Op. 25 No. 5\Inconceivable!\Till now, Arima's always showcased his ability to play difficult pieces without a false note.\That's why I challenged him with my Op. 25, No. 11...\I'm sure Takeshi did, too...\But the song Arima chose to play today can't be considered a difficult piece... response:	It's inconceivable.
context: Thump, thump. My heart's pounding even harder than before.\Arima's choice of piece today is Chopin's Etude Op. 25 No. 5\Inconceivable!\Till now, Arima's always showcased his ability to play difficult pieces without a false note.\That's why I challenged him with my Op. 25, No. 11...\I'm sure Takeshi did, too...\But the song Arima chose to play today can't be considered a difficult piece...\It's inconceivable. response:	How did you pick out Kousei's piece?
context: Arima's choice of piece today is Chopin's Etude Op. 25 No. 5\Inconceivable!\Till now, Arima's always showcased his ability to play difficult pieces without a false note.\That's why I challenged him with my Op. 25, No. 11...\I'm sure Takeshi did, too...\But the song Arima chose to play today can't be considered a difficult piece...\It's inconceivable.\How did you pick out Kousei's piece? response:	It landed on 25-5, so...
context: Inconceivable!\Till now, Arima's always showcased his ability to play difficult pieces without a false note.\That's why I challenged him with my Op. 25, No. 11...\I'm sure Takeshi did, too...\But the song Arima chose to play today can't be considered a difficult piece...\It's inconceivable.\How did you pick out Kousei's piece?\It landed on 25-5, so... response:	You used a pencil to decide?
context: Till now, Arima's always showcased his ability to play difficult pieces without a false note.\That's why I challenged him with my Op. 25, No. 11...\I'm sure Takeshi did, too...\But the song Arima chose to play today can't be considered a difficult piece...\It's inconceivable.\How did you pick out Kousei's piece?\It landed on 25-5, so...\You used a pencil to decide? response:	A pencil...
context: That's why I challenged him with my Op. 25, No. 11...\I'm sure Takeshi did, too...\But the song Arima chose to play today can't be considered a difficult piece...\It's inconceivable.\How did you pick out Kousei's piece?\It landed on 25-5, so...\You used a pencil to decide?\A pencil... response:	It didn't matter what piece he played.
context: I'm sure Takeshi did, too...\But the song Arima chose to play today can't be considered a difficult piece...\It's inconceivable.\How did you pick out Kousei's piece?\It landed on 25-5, so...\You used a pencil to decide?\A pencil...\It didn't matter what piece he played. response:	As long as he entered the competition.
context: But the song Arima chose to play today can't be considered a difficult piece...\It's inconceivable.\How did you pick out Kousei's piece?\It landed on 25-5, so...\You used a pencil to decide?\A pencil...\It didn't matter what piece he played.\As long as he entered the competition. response:	It really didn't matter at all.
context: It's inconceivable.\How did you pick out Kousei's piece?\It landed on 25-5, so...\You used a pencil to decide?\A pencil...\It didn't matter what piece he played.\As long as he entered the competition.\It really didn't matter at all. response:	Kousei Arima.
context: How did you pick out Kousei's piece?\It landed on 25-5, so...\You used a pencil to decide?\A pencil...\It didn't matter what piece he played.\As long as he entered the competition.\It really didn't matter at all.\Kousei Arima. response:	Please get ready.
context: It landed on 25-5, so...\You used a pencil to decide?\A pencil...\It didn't matter what piece he played.\As long as he entered the competition.\It really didn't matter at all.\Kousei Arima.\Please get ready. response:	All right.
context: You used a pencil to decide?\A pencil...\It didn't matter what piece he played.\As long as he entered the competition.\It really didn't matter at all.\Kousei Arima.\Please get ready.\All right. response:	Just by placing himself in this particular space, he's sure to feel stimulated.
context: A pencil...\It didn't matter what piece he played.\As long as he entered the competition.\It really didn't matter at all.\Kousei Arima.\Please get ready.\All right.\Just by placing himself in this particular space, he's sure to feel stimulated. response:	There's no way he won't feel provoked.
context: It didn't matter what piece he played.\As long as he entered the competition.\It really didn't matter at all.\Kousei Arima.\Please get ready.\All right.\Just by placing himself in this particular space, he's sure to feel stimulated.\There's no way he won't feel provoked. response:	The other pianists won't let him hang back. They won't allow him to stop.
context: As long as he entered the competition.\It really didn't matter at all.\Kousei Arima.\Please get ready.\All right.\Just by placing himself in this particular space, he's sure to feel stimulated.\There's no way he won't feel provoked.\The other pianists won't let him hang back. They won't allow him to stop. response:	After all, Arima-kun's a musician.
context: It really didn't matter at all.\Kousei Arima.\Please get ready.\All right.\Just by placing himself in this particular space, he's sure to feel stimulated.\There's no way he won't feel provoked.\The other pianists won't let him hang back. They won't allow him to stop.\After all, Arima-kun's a musician. response:	This is so strange. Is it because it's been two years?
context: Kousei Arima.\Please get ready.\All right.\Just by placing himself in this particular space, he's sure to feel stimulated.\There's no way he won't feel provoked.\The other pianists won't let him hang back. They won't allow him to stop.\After all, Arima-kun's a musician.\This is so strange. Is it because it's been two years? response:	My heart is pounding. It's so hot, and so violent.
context: Please get ready.\All right.\Just by placing himself in this particular space, he's sure to feel stimulated.\There's no way he won't feel provoked.\The other pianists won't let him hang back. They won't allow him to stop.\After all, Arima-kun's a musician.\This is so strange. Is it because it's been two years?\My heart is pounding. It's so hot, and so violent. response:	Is it because I watched those two perform?
context: All right.\Just by placing himself in this particular space, he's sure to feel stimulated.\There's no way he won't feel provoked.\The other pianists won't let him hang back. They won't allow him to stop.\After all, Arima-kun's a musician.\This is so strange. Is it because it's been two years?\My heart is pounding. It's so hot, and so violent.\Is it because I watched those two perform? response:	Without holding back, grasping with both hands, shaking my soul to its very core.
context: Just by placing himself in this particular space, he's sure to feel stimulated.\There's no way he won't feel provoked.\The other pianists won't let him hang back. They won't allow him to stop.\After all, Arima-kun's a musician.\This is so strange. Is it because it's been two years?\My heart is pounding. It's so hot, and so violent.\Is it because I watched those two perform?\Without holding back, grasping with both hands, shaking my soul to its very core. response:	Check it out - this is who I am.
context: There's no way he won't feel provoked.\The other pianists won't let him hang back. They won't allow him to stop.\After all, Arima-kun's a musician.\This is so strange. Is it because it's been two years?\My heart is pounding. It's so hot, and so violent.\Is it because I watched those two perform?\Without holding back, grasping with both hands, shaking my soul to its very core.\Check it out - this is who I am. response:	Watch me!
context: The other pianists won't let him hang back. They won't allow him to stop.\After all, Arima-kun's a musician.\This is so strange. Is it because it's been two years?\My heart is pounding. It's so hot, and so violent.\Is it because I watched those two perform?\Without holding back, grasping with both hands, shaking my soul to its very core.\Check it out - this is who I am.\Watch me! response:	I'm the same as you.
context: After all, Arima-kun's a musician.\This is so strange. Is it because it's been two years?\My heart is pounding. It's so hot, and so violent.\Is it because I watched those two perform?\Without holding back, grasping with both hands, shaking my soul to its very core.\Check it out - this is who I am.\Watch me!\I'm the same as you. response:	I'm sure the clock's hands will move.
context: This is so strange. Is it because it's been two years?\My heart is pounding. It's so hot, and so violent.\Is it because I watched those two perform?\Without holding back, grasping with both hands, shaking my soul to its very core.\Check it out - this is who I am.\Watch me!\I'm the same as you.\I'm sure the clock's hands will move. response:	Time will start flowing again.
context: My heart is pounding. It's so hot, and so violent.\Is it because I watched those two perform?\Without holding back, grasping with both hands, shaking my soul to its very core.\Check it out - this is who I am.\Watch me!\I'm the same as you.\I'm sure the clock's hands will move.\Time will start flowing again. response:	Kao-chan...
context: Is it because I watched those two perform?\Without holding back, grasping with both hands, shaking my soul to its very core.\Check it out - this is who I am.\Watch me!\I'm the same as you.\I'm sure the clock's hands will move.\Time will start flowing again.\Kao-chan... response:	I never knew. That music could be this colorful, and that it even had a scent.
context: Without holding back, grasping with both hands, shaking my soul to its very core.\Check it out - this is who I am.\Watch me!\I'm the same as you.\I'm sure the clock's hands will move.\Time will start flowing again.\Kao-chan...\I never knew. That music could be this colorful, and that it even had a scent. response:	Are you ready?
context: Check it out - this is who I am.\Watch me!\I'm the same as you.\I'm sure the clock's hands will move.\Time will start flowing again.\Kao-chan...\I never knew. That music could be this colorful, and that it even had a scent.\Are you ready? response:	I believe that he'll take a step forward.
context: Watch me!\I'm the same as you.\I'm sure the clock's hands will move.\Time will start flowing again.\Kao-chan...\I never knew. That music could be this colorful, and that it even had a scent.\Are you ready?\I believe that he'll take a step forward. response:	So music can make your blood boil this hard.
context: I'm the same as you.\I'm sure the clock's hands will move.\Time will start flowing again.\Kao-chan...\I never knew. That music could be this colorful, and that it even had a scent.\Are you ready?\I believe that he'll take a step forward.\So music can make your blood boil this hard. response:	Here he is!
context: I'm sure the clock's hands will move.\Time will start flowing again.\Kao-chan...\I never knew. That music could be this colorful, and that it even had a scent.\Are you ready?\I believe that he'll take a step forward.\So music can make your blood boil this hard.\Here he is! response:	It's Arima-kun.
context: Time will start flowing again.\Kao-chan...\I never knew. That music could be this colorful, and that it even had a scent.\Are you ready?\I believe that he'll take a step forward.\So music can make your blood boil this hard.\Here he is!\It's Arima-kun. response:	Arima...
context: Kao-chan...\I never knew. That music could be this colorful, and that it even had a scent.\Are you ready?\I believe that he'll take a step forward.\So music can make your blood boil this hard.\Here he is!\It's Arima-kun.\Arima... response:	Arima...
context: I never knew. That music could be this colorful, and that it even had a scent.\Are you ready?\I believe that he'll take a step forward.\So music can make your blood boil this hard.\Here he is!\It's Arima-kun.\Arima...\Arima... response:	Now even I'm nervous! I wanna go to the bathroom!
context: Are you ready?\I believe that he'll take a step forward.\So music can make your blood boil this hard.\Here he is!\It's Arima-kun.\Arima...\Arima...\Now even I'm nervous! I wanna go to the bathroom! response:	Hey...
context: I believe that he'll take a step forward.\So music can make your blood boil this hard.\Here he is!\It's Arima-kun.\Arima...\Arima...\Now even I'm nervous! I wanna go to the bathroom!\Hey... response:	Here he is at last, huh?
context: So music can make your blood boil this hard.\Here he is!\It's Arima-kun.\Arima...\Arima...\Now even I'm nervous! I wanna go to the bathroom!\Hey...\Here he is at last, huh? response:	Are you ready for your journey?
context: Here he is!\It's Arima-kun.\Arima...\Arima...\Now even I'm nervous! I wanna go to the bathroom!\Hey...\Here he is at last, huh?\Are you ready for your journey? response:	Come on, we're gonna play dodgeball! You can just dodge all the time, okay?
context: It's Arima-kun.\Arima...\Arima...\Now even I'm nervous! I wanna go to the bathroom!\Hey...\Here he is at last, huh?\Are you ready for your journey?\Come on, we're gonna play dodgeball! You can just dodge all the time, okay? response:	Tsubaki... I'm in the middle of a lesson with my mom.
context: Arima...\Arima...\Now even I'm nervous! I wanna go to the bathroom!\Hey...\Here he is at last, huh?\Are you ready for your journey?\Come on, we're gonna play dodgeball! You can just dodge all the time, okay?\Tsubaki... I'm in the middle of a lesson with my mom. response:	Whaaat? Not again?
context: Arima...\Now even I'm nervous! I wanna go to the bathroom!\Hey...\Here he is at last, huh?\Are you ready for your journey?\Come on, we're gonna play dodgeball! You can just dodge all the time, okay?\Tsubaki... I'm in the middle of a lesson with my mom.\Whaaat? Not again? response:	Huh?
context: Now even I'm nervous! I wanna go to the bathroom!\Hey...\Here he is at last, huh?\Are you ready for your journey?\Come on, we're gonna play dodgeball! You can just dodge all the time, okay?\Tsubaki... I'm in the middle of a lesson with my mom.\Whaaat? Not again?\Huh? response:	How'd you get that welt?
context: Hey...\Here he is at last, huh?\Are you ready for your journey?\Come on, we're gonna play dodgeball! You can just dodge all the time, okay?\Tsubaki... I'm in the middle of a lesson with my mom.\Whaaat? Not again?\Huh?\How'd you get that welt? response:	I was in a hurry, and I bumped my arm.
context: Here he is at last, huh?\Are you ready for your journey?\Come on, we're gonna play dodgeball! You can just dodge all the time, okay?\Tsubaki... I'm in the middle of a lesson with my mom.\Whaaat? Not again?\Huh?\How'd you get that welt?\I was in a hurry, and I bumped my arm. response:	You really are a klutz, aren't you?
context: Are you ready for your journey?\Come on, we're gonna play dodgeball! You can just dodge all the time, okay?\Tsubaki... I'm in the middle of a lesson with my mom.\Whaaat? Not again?\Huh?\How'd you get that welt?\I was in a hurry, and I bumped my arm.\You really are a klutz, aren't you? response:	Kousei, hurry back now!
context: Come on, we're gonna play dodgeball! You can just dodge all the time, okay?\Tsubaki... I'm in the middle of a lesson with my mom.\Whaaat? Not again?\Huh?\How'd you get that welt?\I was in a hurry, and I bumped my arm.\You really are a klutz, aren't you?\Kousei, hurry back now! response:	Whoa, that scared me!
