context: Ladies and gentlemen, good evening. response:	There are men who sniff around the mystery that surrounds myself and my friend.
context: You needn't worry about me.\But...\Why is this happening to me?!\Hasn't my record always been perfect?!\You should know that! Right?\I've always been above reproach, with no blemish on my record!\Albert!\This is all your fault! It's all because you brought that accursed Count to Paris! response:	What lies did you fill his head with?! Tell me!
context: But...\Why is this happening to me?!\Hasn't my record always been perfect?!\You should know that! Right?\I've always been above reproach, with no blemish on my record!\Albert!\This is all your fault! It's all because you brought that accursed Count to Paris!\What lies did you fill his head with?! Tell me! response:	Mark my words! Don't get cocky! You'll be next!
context: Why is this happening to me?!\Hasn't my record always been perfect?!\You should know that! Right?\I've always been above reproach, with no blemish on my record!\Albert!\This is all your fault! It's all because you brought that accursed Count to Paris!\What lies did you fill his head with?! Tell me!\Mark my words! Don't get cocky! You'll be next! response:	Disaster will come calling at your house, too!
context: Hasn't my record always been perfect?!\You should know that! Right?\I've always been above reproach, with no blemish on my record!\Albert!\This is all your fault! It's all because you brought that accursed Count to Paris!\What lies did you fill his head with?! Tell me!\Mark my words! Don't get cocky! You'll be next!\Disaster will come calling at your house, too! response:	Give it a rest!
context: You should know that! Right?\I've always been above reproach, with no blemish on my record!\Albert!\This is all your fault! It's all because you brought that accursed Count to Paris!\What lies did you fill his head with?! Tell me!\Mark my words! Don't get cocky! You'll be next!\Disaster will come calling at your house, too!\Give it a rest! response:	Hey, let go of me!
context: I've always been above reproach, with no blemish on my record!\Albert!\This is all your fault! It's all because you brought that accursed Count to Paris!\What lies did you fill his head with?! Tell me!\Mark my words! Don't get cocky! You'll be next!\Disaster will come calling at your house, too!\Give it a rest!\Hey, let go of me! response:	Do you have any idea who I am?! Let go! Get your hands off me!
context: Albert!\This is all your fault! It's all because you brought that accursed Count to Paris!\What lies did you fill his head with?! Tell me!\Mark my words! Don't get cocky! You'll be next!\Disaster will come calling at your house, too!\Give it a rest!\Hey, let go of me!\Do you have any idea who I am?! Let go! Get your hands off me! response:	Count!
context: This is all your fault! It's all because you brought that accursed Count to Paris!\What lies did you fill his head with?! Tell me!\Mark my words! Don't get cocky! You'll be next!\Disaster will come calling at your house, too!\Give it a rest!\Hey, let go of me!\Do you have any idea who I am?! Let go! Get your hands off me!\Count! response:	You should go home now.
context: What lies did you fill his head with?! Tell me!\Mark my words! Don't get cocky! You'll be next!\Disaster will come calling at your house, too!\Give it a rest!\Hey, let go of me!\Do you have any idea who I am?! Let go! Get your hands off me!\Count!\You should go home now. response:	Let us meet again some other time.
context: Mark my words! Don't get cocky! You'll be next!\Disaster will come calling at your house, too!\Give it a rest!\Hey, let go of me!\Do you have any idea who I am?! Let go! Get your hands off me!\Count!\You should go home now.\Let us meet again some other time. response:	Are you really okay?
context: Disaster will come calling at your house, too!\Give it a rest!\Hey, let go of me!\Do you have any idea who I am?! Let go! Get your hands off me!\Count!\You should go home now.\Let us meet again some other time.\Are you really okay? response:	This ain't good...
context: Give it a rest!\Hey, let go of me!\Do you have any idea who I am?! Let go! Get your hands off me!\Count!\You should go home now.\Let us meet again some other time.\Are you really okay?\This ain't good... response:	Hey, Ali! Do your thing.
context: Hey, let go of me!\Do you have any idea who I am?! Let go! Get your hands off me!\Count!\You should go home now.\Let us meet again some other time.\Are you really okay?\This ain't good...\Hey, Ali! Do your thing. response:	Your abilities are as impressive as ever...
context: Do you have any idea who I am?! Let go! Get your hands off me!\Count!\You should go home now.\Let us meet again some other time.\Are you really okay?\This ain't good...\Hey, Ali! Do your thing.\Your abilities are as impressive as ever... response:	Albert! This is all your fault!
context: Count!\You should go home now.\Let us meet again some other time.\Are you really okay?\This ain't good...\Hey, Ali! Do your thing.\Your abilities are as impressive as ever...\Albert! This is all your fault! response:	You'll be next! Disaster will come calling at your house, too!
context: You should go home now.\Let us meet again some other time.\Are you really okay?\This ain't good...\Hey, Ali! Do your thing.\Your abilities are as impressive as ever...\Albert! This is all your fault!\You'll be next! Disaster will come calling at your house, too! response:	Yoo-hoo!
context: Let us meet again some other time.\Are you really okay?\This ain't good...\Hey, Ali! Do your thing.\Your abilities are as impressive as ever...\Albert! This is all your fault!\You'll be next! Disaster will come calling at your house, too!\Yoo-hoo! response:	You've been in there for ages. Did something happen?
context: Are you really okay?\This ain't good...\Hey, Ali! Do your thing.\Your abilities are as impressive as ever...\Albert! This is all your fault!\You'll be next! Disaster will come calling at your house, too!\Yoo-hoo!\You've been in there for ages. Did something happen? response:	No, I'm fine. What is it?
context: This ain't good...\Hey, Ali! Do your thing.\Your abilities are as impressive as ever...\Albert! This is all your fault!\You'll be next! Disaster will come calling at your house, too!\Yoo-hoo!\You've been in there for ages. Did something happen?\No, I'm fine. What is it? response:	Maximilien is here to see you.
context: Hey, Ali! Do your thing.\Your abilities are as impressive as ever...\Albert! This is all your fault!\You'll be next! Disaster will come calling at your house, too!\Yoo-hoo!\You've been in there for ages. Did something happen?\No, I'm fine. What is it?\Maximilien is here to see you. response:	Maximilien!
context: Your abilities are as impressive as ever...\Albert! This is all your fault!\You'll be next! Disaster will come calling at your house, too!\Yoo-hoo!\You've been in there for ages. Did something happen?\No, I'm fine. What is it?\Maximilien is here to see you.\Maximilien! response:	Monsieur Albert.
context: Albert! This is all your fault!\You'll be next! Disaster will come calling at your house, too!\Yoo-hoo!\You've been in there for ages. Did something happen?\No, I'm fine. What is it?\Maximilien is here to see you.\Maximilien!\Monsieur Albert. response:	You're looking well!
context: You'll be next! Disaster will come calling at your house, too!\Yoo-hoo!\You've been in there for ages. Did something happen?\No, I'm fine. What is it?\Maximilien is here to see you.\Maximilien!\Monsieur Albert.\You're looking well! response:	It's good to see you again.
context: Yoo-hoo!\You've been in there for ages. Did something happen?\No, I'm fine. What is it?\Maximilien is here to see you.\Maximilien!\Monsieur Albert.\You're looking well!\It's good to see you again. response:	Why the sudden return to Paris?
context: You've been in there for ages. Did something happen?\No, I'm fine. What is it?\Maximilien is here to see you.\Maximilien!\Monsieur Albert.\You're looking well!\It's good to see you again.\Why the sudden return to Paris? response:	I've come here to fetch Monsieur Noirtier.
context: No, I'm fine. What is it?\Maximilien is here to see you.\Maximilien!\Monsieur Albert.\You're looking well!\It's good to see you again.\Why the sudden return to Paris?\I've come here to fetch Monsieur Noirtier. response:	I thought that he should be at Valentine's side.
context: Maximilien is here to see you.\Maximilien!\Monsieur Albert.\You're looking well!\It's good to see you again.\Why the sudden return to Paris?\I've come here to fetch Monsieur Noirtier.\I thought that he should be at Valentine's side. response:	I guess you're right.
context: Maximilien!\Monsieur Albert.\You're looking well!\It's good to see you again.\Why the sudden return to Paris?\I've come here to fetch Monsieur Noirtier.\I thought that he should be at Valentine's side.\I guess you're right. response:	I came here expecting to have another quarrel with Monsieur Villefort,
context: Monsieur Albert.\You're looking well!\It's good to see you again.\Why the sudden return to Paris?\I've come here to fetch Monsieur Noirtier.\I thought that he should be at Valentine's side.\I guess you're right.\I came here expecting to have another quarrel with Monsieur Villefort, response:	It came as quite a shock to hear what had become of him.
context: You're looking well!\It's good to see you again.\Why the sudden return to Paris?\I've come here to fetch Monsieur Noirtier.\I thought that he should be at Valentine's side.\I guess you're right.\I came here expecting to have another quarrel with Monsieur Villefort,\It came as quite a shock to hear what had become of him. response:	Yeah...
context: It's good to see you again.\Why the sudden return to Paris?\I've come here to fetch Monsieur Noirtier.\I thought that he should be at Valentine's side.\I guess you're right.\I came here expecting to have another quarrel with Monsieur Villefort,\It came as quite a shock to hear what had become of him.\Yeah... response:	I wanted to come pay you a visit and express my gratitude.
context: Why the sudden return to Paris?\I've come here to fetch Monsieur Noirtier.\I thought that he should be at Valentine's side.\I guess you're right.\I came here expecting to have another quarrel with Monsieur Villefort,\It came as quite a shock to hear what had become of him.\Yeah...\I wanted to come pay you a visit and express my gratitude. response:	Thank you for all you have done for us.
context: I've come here to fetch Monsieur Noirtier.\I thought that he should be at Valentine's side.\I guess you're right.\I came here expecting to have another quarrel with Monsieur Villefort,\It came as quite a shock to hear what had become of him.\Yeah...\I wanted to come pay you a visit and express my gratitude.\Thank you for all you have done for us. response:	Still as upright and formal as ever, huh?
context: I thought that he should be at Valentine's side.\I guess you're right.\I came here expecting to have another quarrel with Monsieur Villefort,\It came as quite a shock to hear what had become of him.\Yeah...\I wanted to come pay you a visit and express my gratitude.\Thank you for all you have done for us.\Still as upright and formal as ever, huh? response:	It was because you were there for me...
context: I guess you're right.\I came here expecting to have another quarrel with Monsieur Villefort,\It came as quite a shock to hear what had become of him.\Yeah...\I wanted to come pay you a visit and express my gratitude.\Thank you for all you have done for us.\Still as upright and formal as ever, huh?\It was because you were there for me... response:	If nothing else, please don't forget that one thing.
context: I came here expecting to have another quarrel with Monsieur Villefort,\It came as quite a shock to hear what had become of him.\Yeah...\I wanted to come pay you a visit and express my gratitude.\Thank you for all you have done for us.\Still as upright and formal as ever, huh?\It was because you were there for me...\If nothing else, please don't forget that one thing. response:	Maximilien...
context: It came as quite a shock to hear what had become of him.\Yeah...\I wanted to come pay you a visit and express my gratitude.\Thank you for all you have done for us.\Still as upright and formal as ever, huh?\It was because you were there for me...\If nothing else, please don't forget that one thing.\Maximilien... response:	I am glad that I met you.
context: Yeah...\I wanted to come pay you a visit and express my gratitude.\Thank you for all you have done for us.\Still as upright and formal as ever, huh?\It was because you were there for me...\If nothing else, please don't forget that one thing.\Maximilien...\I am glad that I met you. response:	Take good care of Valentine.
context: I wanted to come pay you a visit and express my gratitude.\Thank you for all you have done for us.\Still as upright and formal as ever, huh?\It was because you were there for me...\If nothing else, please don't forget that one thing.\Maximilien...\I am glad that I met you.\Take good care of Valentine. response:	I will.
context: Thank you for all you have done for us.\Still as upright and formal as ever, huh?\It was because you were there for me...\If nothing else, please don't forget that one thing.\Maximilien...\I am glad that I met you.\Take good care of Valentine.\I will. response:	See you around, Maximilien.
context: Still as upright and formal as ever, huh?\It was because you were there for me...\If nothing else, please don't forget that one thing.\Maximilien...\I am glad that I met you.\Take good care of Valentine.\I will.\See you around, Maximilien. response:	Thanks to you, my stocks have hit the trading limit for several days in a row.
context: It was because you were there for me...\If nothing else, please don't forget that one thing.\Maximilien...\I am glad that I met you.\Take good care of Valentine.\I will.\See you around, Maximilien.\Thanks to you, my stocks have hit the trading limit for several days in a row. response:	These various tidbits of information find their way to me, that's all.
context: If nothing else, please don't forget that one thing.\Maximilien...\I am glad that I met you.\Take good care of Valentine.\I will.\See you around, Maximilien.\Thanks to you, my stocks have hit the trading limit for several days in a row.\These various tidbits of information find their way to me, that's all. response:	I don't really ask for them.
context: Maximilien...\I am glad that I met you.\Take good care of Valentine.\I will.\See you around, Maximilien.\Thanks to you, my stocks have hit the trading limit for several days in a row.\These various tidbits of information find their way to me, that's all.\I don't really ask for them. response:	Oh, how I envy you...
context: I am glad that I met you.\Take good care of Valentine.\I will.\See you around, Maximilien.\Thanks to you, my stocks have hit the trading limit for several days in a row.\These various tidbits of information find their way to me, that's all.\I don't really ask for them.\Oh, how I envy you... response:	It's a waste of one's life to tie one's happiness to the fluctuations of numbers.
context: Take good care of Valentine.\I will.\See you around, Maximilien.\Thanks to you, my stocks have hit the trading limit for several days in a row.\These various tidbits of information find their way to me, that's all.\I don't really ask for them.\Oh, how I envy you...\It's a waste of one's life to tie one's happiness to the fluctuations of numbers. response:	More importantly, though...
context: I will.\See you around, Maximilien.\Thanks to you, my stocks have hit the trading limit for several days in a row.\These various tidbits of information find their way to me, that's all.\I don't really ask for them.\Oh, how I envy you...\It's a waste of one's life to tie one's happiness to the fluctuations of numbers.\More importantly, though... response:	Dramatic Arrest of Crown Prosecutor Villefort in Public Spectacle.
context: See you around, Maximilien.\Thanks to you, my stocks have hit the trading limit for several days in a row.\These various tidbits of information find their way to me, that's all.\I don't really ask for them.\Oh, how I envy you...\It's a waste of one's life to tie one's happiness to the fluctuations of numbers.\More importantly, though...\Dramatic Arrest of Crown Prosecutor Villefort in Public Spectacle. response:	This is most shocking, isn't it?
context: Thanks to you, my stocks have hit the trading limit for several days in a row.\These various tidbits of information find their way to me, that's all.\I don't really ask for them.\Oh, how I envy you...\It's a waste of one's life to tie one's happiness to the fluctuations of numbers.\More importantly, though...\Dramatic Arrest of Crown Prosecutor Villefort in Public Spectacle.\This is most shocking, isn't it? response:	Yes, it is...
context: These various tidbits of information find their way to me, that's all.\I don't really ask for them.\Oh, how I envy you...\It's a waste of one's life to tie one's happiness to the fluctuations of numbers.\More importantly, though...\Dramatic Arrest of Crown Prosecutor Villefort in Public Spectacle.\This is most shocking, isn't it?\Yes, it is... response:	One never can tell what will happen next in life.
context: I don't really ask for them.\Oh, how I envy you...\It's a waste of one's life to tie one's happiness to the fluctuations of numbers.\More importantly, though...\Dramatic Arrest of Crown Prosecutor Villefort in Public Spectacle.\This is most shocking, isn't it?\Yes, it is...\One never can tell what will happen next in life. response:	By the way, Baron, what's this I hear about you and the Crown Prosecutor being old friends?
context: Oh, how I envy you...\It's a waste of one's life to tie one's happiness to the fluctuations of numbers.\More importantly, though...\Dramatic Arrest of Crown Prosecutor Villefort in Public Spectacle.\This is most shocking, isn't it?\Yes, it is...\One never can tell what will happen next in life.\By the way, Baron, what's this I hear about you and the Crown Prosecutor being old friends? response:	Not at all, not at all! We're just acquaintances, we're not what you'd call friends.
context: It's a waste of one's life to tie one's happiness to the fluctuations of numbers.\More importantly, though...\Dramatic Arrest of Crown Prosecutor Villefort in Public Spectacle.\This is most shocking, isn't it?\Yes, it is...\One never can tell what will happen next in life.\By the way, Baron, what's this I hear about you and the Crown Prosecutor being old friends?\Not at all, not at all! We're just acquaintances, we're not what you'd call friends. response:	Oh, is that true? You, General Morcerf, and the Crown Prosecutor here are old friends,
context: More importantly, though...\Dramatic Arrest of Crown Prosecutor Villefort in Public Spectacle.\This is most shocking, isn't it?\Yes, it is...\One never can tell what will happen next in life.\By the way, Baron, what's this I hear about you and the Crown Prosecutor being old friends?\Not at all, not at all! We're just acquaintances, we're not what you'd call friends.\Oh, is that true? You, General Morcerf, and the Crown Prosecutor here are old friends, response:	I've heard stories along those lines, so I was curious.
context: Dramatic Arrest of Crown Prosecutor Villefort in Public Spectacle.\This is most shocking, isn't it?\Yes, it is...\One never can tell what will happen next in life.\By the way, Baron, what's this I hear about you and the Crown Prosecutor being old friends?\Not at all, not at all! We're just acquaintances, we're not what you'd call friends.\Oh, is that true? You, General Morcerf, and the Crown Prosecutor here are old friends,\I've heard stories along those lines, so I was curious. response:	T-That must be a rumor spread by jealous people, no doubt.
context: This is most shocking, isn't it?\Yes, it is...\One never can tell what will happen next in life.\By the way, Baron, what's this I hear about you and the Crown Prosecutor being old friends?\Not at all, not at all! We're just acquaintances, we're not what you'd call friends.\Oh, is that true? You, General Morcerf, and the Crown Prosecutor here are old friends,\I've heard stories along those lines, so I was curious.\T-That must be a rumor spread by jealous people, no doubt. response:	Well, if you say so.
context: Yes, it is...\One never can tell what will happen next in life.\By the way, Baron, what's this I hear about you and the Crown Prosecutor being old friends?\Not at all, not at all! We're just acquaintances, we're not what you'd call friends.\Oh, is that true? You, General Morcerf, and the Crown Prosecutor here are old friends,\I've heard stories along those lines, so I was curious.\T-That must be a rumor spread by jealous people, no doubt.\Well, if you say so. response:	Still, people can be brought low by the most unexpected things.
context: One never can tell what will happen next in life.\By the way, Baron, what's this I hear about you and the Crown Prosecutor being old friends?\Not at all, not at all! We're just acquaintances, we're not what you'd call friends.\Oh, is that true? You, General Morcerf, and the Crown Prosecutor here are old friends,\I've heard stories along those lines, so I was curious.\T-That must be a rumor spread by jealous people, no doubt.\Well, if you say so.\Still, people can be brought low by the most unexpected things. response:	I suggest that you exercise the utmost caution in the company you choose to keep, Baron.
context: By the way, Baron, what's this I hear about you and the Crown Prosecutor being old friends?\Not at all, not at all! We're just acquaintances, we're not what you'd call friends.\Oh, is that true? You, General Morcerf, and the Crown Prosecutor here are old friends,\I've heard stories along those lines, so I was curious.\T-That must be a rumor spread by jealous people, no doubt.\Well, if you say so.\Still, people can be brought low by the most unexpected things.\I suggest that you exercise the utmost caution in the company you choose to keep, Baron. response:	Baron?
context: Not at all, not at all! We're just acquaintances, we're not what you'd call friends.\Oh, is that true? You, General Morcerf, and the Crown Prosecutor here are old friends,\I've heard stories along those lines, so I was curious.\T-That must be a rumor spread by jealous people, no doubt.\Well, if you say so.\Still, people can be brought low by the most unexpected things.\I suggest that you exercise the utmost caution in the company you choose to keep, Baron.\Baron? response:	Yes?
context: Oh, is that true? You, General Morcerf, and the Crown Prosecutor here are old friends,\I've heard stories along those lines, so I was curious.\T-That must be a rumor spread by jealous people, no doubt.\Well, if you say so.\Still, people can be brought low by the most unexpected things.\I suggest that you exercise the utmost caution in the company you choose to keep, Baron.\Baron?\Yes? response:	I'm quite serious about your daughter.
context: I've heard stories along those lines, so I was curious.\T-That must be a rumor spread by jealous people, no doubt.\Well, if you say so.\Still, people can be brought low by the most unexpected things.\I suggest that you exercise the utmost caution in the company you choose to keep, Baron.\Baron?\Yes?\I'm quite serious about your daughter. response:	I'd like to receive your blessing as soon as possible.
context: T-That must be a rumor spread by jealous people, no doubt.\Well, if you say so.\Still, people can be brought low by the most unexpected things.\I suggest that you exercise the utmost caution in the company you choose to keep, Baron.\Baron?\Yes?\I'm quite serious about your daughter.\I'd like to receive your blessing as soon as possible. response:	What a mess...
context: Well, if you say so.\Still, people can be brought low by the most unexpected things.\I suggest that you exercise the utmost caution in the company you choose to keep, Baron.\Baron?\Yes?\I'm quite serious about your daughter.\I'd like to receive your blessing as soon as possible.\What a mess... response:	I'm sorry to keep you waiting. My name is Beauchamp.
context: Still, people can be brought low by the most unexpected things.\I suggest that you exercise the utmost caution in the company you choose to keep, Baron.\Baron?\Yes?\I'm quite serious about your daughter.\I'd like to receive your blessing as soon as possible.\What a mess...\I'm sorry to keep you waiting. My name is Beauchamp. response:	Y-You're a reporter?
context: I suggest that you exercise the utmost caution in the company you choose to keep, Baron.\Baron?\Yes?\I'm quite serious about your daughter.\I'd like to receive your blessing as soon as possible.\What a mess...\I'm sorry to keep you waiting. My name is Beauchamp.\Y-You're a reporter? response:	Yeah.
context: Baron?\Yes?\I'm quite serious about your daughter.\I'd like to receive your blessing as soon as possible.\What a mess...\I'm sorry to keep you waiting. My name is Beauchamp.\Y-You're a reporter?\Yeah. response:	Then this is your lucky day!
context: Yes?\I'm quite serious about your daughter.\I'd like to receive your blessing as soon as possible.\What a mess...\I'm sorry to keep you waiting. My name is Beauchamp.\Y-You're a reporter?\Yeah.\Then this is your lucky day! response:	You're gonna have a scoop that's gonna be splashed across the front page!
context: I'm quite serious about your daughter.\I'd like to receive your blessing as soon as possible.\What a mess...\I'm sorry to keep you waiting. My name is Beauchamp.\Y-You're a reporter?\Yeah.\Then this is your lucky day!\You're gonna have a scoop that's gonna be splashed across the front page! response:	What do you want in return?
context: I'd like to receive your blessing as soon as possible.\What a mess...\I'm sorry to keep you waiting. My name is Beauchamp.\Y-You're a reporter?\Yeah.\Then this is your lucky day!\You're gonna have a scoop that's gonna be splashed across the front page!\What do you want in return? response:	How much will your company pay for a big scoop?
context: What a mess...\I'm sorry to keep you waiting. My name is Beauchamp.\Y-You're a reporter?\Yeah.\Then this is your lucky day!\You're gonna have a scoop that's gonna be splashed across the front page!\What do you want in return?\How much will your company pay for a big scoop? response:	I'm really busy, so if you'll excuse me...
context: I'm sorry to keep you waiting. My name is Beauchamp.\Y-You're a reporter?\Yeah.\Then this is your lucky day!\You're gonna have a scoop that's gonna be splashed across the front page!\What do you want in return?\How much will your company pay for a big scoop?\I'm really busy, so if you'll excuse me... response:	W-Wait! I'm talkin' about a huge scandal involving General Morcerf!
context: Y-You're a reporter?\Yeah.\Then this is your lucky day!\You're gonna have a scoop that's gonna be splashed across the front page!\What do you want in return?\How much will your company pay for a big scoop?\I'm really busy, so if you'll excuse me...\W-Wait! I'm talkin' about a huge scandal involving General Morcerf! response:	This is gonna knock even YOUR socks off.
context: Yeah.\Then this is your lucky day!\You're gonna have a scoop that's gonna be splashed across the front page!\What do you want in return?\How much will your company pay for a big scoop?\I'm really busy, so if you'll excuse me...\W-Wait! I'm talkin' about a huge scandal involving General Morcerf!\This is gonna knock even YOUR socks off. response:	Hey, sorry to bother you.
context: Then this is your lucky day!\You're gonna have a scoop that's gonna be splashed across the front page!\What do you want in return?\How much will your company pay for a big scoop?\I'm really busy, so if you'll excuse me...\W-Wait! I'm talkin' about a huge scandal involving General Morcerf!\This is gonna knock even YOUR socks off.\Hey, sorry to bother you. response:	Why did you need to see me so suddenly?
context: You're gonna have a scoop that's gonna be splashed across the front page!\What do you want in return?\How much will your company pay for a big scoop?\I'm really busy, so if you'll excuse me...\W-Wait! I'm talkin' about a huge scandal involving General Morcerf!\This is gonna knock even YOUR socks off.\Hey, sorry to bother you.\Why did you need to see me so suddenly? response:	Well, we're doing a special feature on General Morcerf's presidential bid.
context: What do you want in return?\How much will your company pay for a big scoop?\I'm really busy, so if you'll excuse me...\W-Wait! I'm talkin' about a huge scandal involving General Morcerf!\This is gonna knock even YOUR socks off.\Hey, sorry to bother you.\Why did you need to see me so suddenly?\Well, we're doing a special feature on General Morcerf's presidential bid. response:	I figured I should use my personal connections, so I was hoping to ask you a few questions.
context: How much will your company pay for a big scoop?\I'm really busy, so if you'll excuse me...\W-Wait! I'm talkin' about a huge scandal involving General Morcerf!\This is gonna knock even YOUR socks off.\Hey, sorry to bother you.\Why did you need to see me so suddenly?\Well, we're doing a special feature on General Morcerf's presidential bid.\I figured I should use my personal connections, so I was hoping to ask you a few questions. response:	Sure, if it's something I can answer.
context: I'm really busy, so if you'll excuse me...\W-Wait! I'm talkin' about a huge scandal involving General Morcerf!\This is gonna knock even YOUR socks off.\Hey, sorry to bother you.\Why did you need to see me so suddenly?\Well, we're doing a special feature on General Morcerf's presidential bid.\I figured I should use my personal connections, so I was hoping to ask you a few questions.\Sure, if it's something I can answer. response:	Thanks.
context: W-Wait! I'm talkin' about a huge scandal involving General Morcerf!\This is gonna knock even YOUR socks off.\Hey, sorry to bother you.\Why did you need to see me so suddenly?\Well, we're doing a special feature on General Morcerf's presidential bid.\I figured I should use my personal connections, so I was hoping to ask you a few questions.\Sure, if it's something I can answer.\Thanks. response:	By the way, why do you think your father has managed to achieve such success?
context: This is gonna knock even YOUR socks off.\Hey, sorry to bother you.\Why did you need to see me so suddenly?\Well, we're doing a special feature on General Morcerf's presidential bid.\I figured I should use my personal connections, so I was hoping to ask you a few questions.\Sure, if it's something I can answer.\Thanks.\By the way, why do you think your father has managed to achieve such success? response:	I'd like to hear your frank opinion as one of the people closest to him.
context: Hey, sorry to bother you.\Why did you need to see me so suddenly?\Well, we're doing a special feature on General Morcerf's presidential bid.\I figured I should use my personal connections, so I was hoping to ask you a few questions.\Sure, if it's something I can answer.\Thanks.\By the way, why do you think your father has managed to achieve such success?\I'd like to hear your frank opinion as one of the people closest to him. response:	Well, let me think...
context: Why did you need to see me so suddenly?\Well, we're doing a special feature on General Morcerf's presidential bid.\I figured I should use my personal connections, so I was hoping to ask you a few questions.\Sure, if it's something I can answer.\Thanks.\By the way, why do you think your father has managed to achieve such success?\I'd like to hear your frank opinion as one of the people closest to him.\Well, let me think... response:	I guess it would be his sincerity.
context: Well, we're doing a special feature on General Morcerf's presidential bid.\I figured I should use my personal connections, so I was hoping to ask you a few questions.\Sure, if it's something I can answer.\Thanks.\By the way, why do you think your father has managed to achieve such success?\I'd like to hear your frank opinion as one of the people closest to him.\Well, let me think...\I guess it would be his sincerity. response:	My father loves and worries about the country in the same way that he loves my mother deeply.
context: I figured I should use my personal connections, so I was hoping to ask you a few questions.\Sure, if it's something I can answer.\Thanks.\By the way, why do you think your father has managed to achieve such success?\I'd like to hear your frank opinion as one of the people closest to him.\Well, let me think...\I guess it would be his sincerity.\My father loves and worries about the country in the same way that he loves my mother deeply. response:	Have you heard about how my father became a hero...
context: Sure, if it's something I can answer.\Thanks.\By the way, why do you think your father has managed to achieve such success?\I'd like to hear your frank opinion as one of the people closest to him.\Well, let me think...\I guess it would be his sincerity.\My father loves and worries about the country in the same way that he loves my mother deeply.\Have you heard about how my father became a hero... response:	After he returned to Paris, he used that as a springboard and shot up through the ranks,
