context: Time flies. response:	It's already late November.
context: So why are you so happy?\So fresh. Ever since spring.\Did you notice my bedhead?\Oh yeah.\You didn't notice?\Oh. I should have just pretended that's how I wanted it then.\Kazehaya.\Come here, you gotta see this. response:	See what?
context: So fresh. Ever since spring.\Did you notice my bedhead?\Oh yeah.\You didn't notice?\Oh. I should have just pretended that's how I wanted it then.\Kazehaya.\Come here, you gotta see this.\See what? response:	Later.
context: Did you notice my bedhead?\Oh yeah.\You didn't notice?\Oh. I should have just pretended that's how I wanted it then.\Kazehaya.\Come here, you gotta see this.\See what?\Later. response:	Bedhead?
context: Oh yeah.\You didn't notice?\Oh. I should have just pretended that's how I wanted it then.\Kazehaya.\Come here, you gotta see this.\See what?\Later.\Bedhead? response:	It was cute.
context: You didn't notice?\Oh. I should have just pretended that's how I wanted it then.\Kazehaya.\Come here, you gotta see this.\See what?\Later.\Bedhead?\It was cute. response:	What is it?
context: Oh. I should have just pretended that's how I wanted it then.\Kazehaya.\Come here, you gotta see this.\See what?\Later.\Bedhead?\It was cute.\What is it? response:	They're selling Ogura flavor.
context: Kazehaya.\Come here, you gotta see this.\See what?\Later.\Bedhead?\It was cute.\What is it?\They're selling Ogura flavor. response:	It's a juice box sampling.
context: Come here, you gotta see this.\See what?\Later.\Bedhead?\It was cute.\What is it?\They're selling Ogura flavor.\It's a juice box sampling. response:	I like it when he's with people.
context: See what?\Later.\Bedhead?\It was cute.\What is it?\They're selling Ogura flavor.\It's a juice box sampling.\I like it when he's with people. response:	Eww.
context: Later.\Bedhead?\It was cute.\What is it?\They're selling Ogura flavor.\It's a juice box sampling.\I like it when he's with people.\Eww. response:	He looks like he's having so much fun.
context: Bedhead?\It was cute.\What is it?\They're selling Ogura flavor.\It's a juice box sampling.\I like it when he's with people.\Eww.\He looks like he's having so much fun. response:	Oh yeah, I used to think,
context: It was cute.\What is it?\They're selling Ogura flavor.\It's a juice box sampling.\I like it when he's with people.\Eww.\He looks like he's having so much fun.\Oh yeah, I used to think, response:	Wow, everyone's gathering around him.”
context: What is it?\They're selling Ogura flavor.\It's a juice box sampling.\I like it when he's with people.\Eww.\He looks like he's having so much fun.\Oh yeah, I used to think,\Wow, everyone's gathering around him.” response:	I wish I could be like Kazehaya-kun.”
context: They're selling Ogura flavor.\It's a juice box sampling.\I like it when he's with people.\Eww.\He looks like he's having so much fun.\Oh yeah, I used to think,\Wow, everyone's gathering around him.”\I wish I could be like Kazehaya-kun.” response:	You're all red.
context: It's a juice box sampling.\I like it when he's with people.\Eww.\He looks like he's having so much fun.\Oh yeah, I used to think,\Wow, everyone's gathering around him.”\I wish I could be like Kazehaya-kun.”\You're all red. response:	Time flies.
context: I like it when he's with people.\Eww.\He looks like he's having so much fun.\Oh yeah, I used to think,\Wow, everyone's gathering around him.”\I wish I could be like Kazehaya-kun.”\You're all red.\Time flies. response:	I think my feelings are moving forward as well, step by step.
context: Eww.\He looks like he's having so much fun.\Oh yeah, I used to think,\Wow, everyone's gathering around him.”\I wish I could be like Kazehaya-kun.”\You're all red.\Time flies.\I think my feelings are moving forward as well, step by step. response:	Bah.
context: He looks like he's having so much fun.\Oh yeah, I used to think,\Wow, everyone's gathering around him.”\I wish I could be like Kazehaya-kun.”\You're all red.\Time flies.\I think my feelings are moving forward as well, step by step.\Bah. response:	Dammit, he's getting annoying.
context: Oh yeah, I used to think,\Wow, everyone's gathering around him.”\I wish I could be like Kazehaya-kun.”\You're all red.\Time flies.\I think my feelings are moving forward as well, step by step.\Bah.\Dammit, he's getting annoying. response:	Boyfriend?
context: Wow, everyone's gathering around him.”\I wish I could be like Kazehaya-kun.”\You're all red.\Time flies.\I think my feelings are moving forward as well, step by step.\Bah.\Dammit, he's getting annoying.\Boyfriend? response:	Yeah.
context: I wish I could be like Kazehaya-kun.”\You're all red.\Time flies.\I think my feelings are moving forward as well, step by step.\Bah.\Dammit, he's getting annoying.\Boyfriend?\Yeah. response:	That college student?
context: You're all red.\Time flies.\I think my feelings are moving forward as well, step by step.\Bah.\Dammit, he's getting annoying.\Boyfriend?\Yeah.\That college student? response:	Yeah.
context: Time flies.\I think my feelings are moving forward as well, step by step.\Bah.\Dammit, he's getting annoying.\Boyfriend?\Yeah.\That college student?\Yeah. response:	Day in, day out, all day, every day...
context: I think my feelings are moving forward as well, step by step.\Bah.\Dammit, he's getting annoying.\Boyfriend?\Yeah.\That college student?\Yeah.\Day in, day out, all day, every day... response:	What are you doing?”
context: Bah.\Dammit, he's getting annoying.\Boyfriend?\Yeah.\That college student?\Yeah.\Day in, day out, all day, every day...\What are you doing?” response:	Who are you with?”
context: Dammit, he's getting annoying.\Boyfriend?\Yeah.\That college student?\Yeah.\Day in, day out, all day, every day...\What are you doing?”\Who are you with?” response:	Let's meet up.”
context: Boyfriend?\Yeah.\That college student?\Yeah.\Day in, day out, all day, every day...\What are you doing?”\Who are you with?”\Let's meet up.” response:	Why don't you answer right away?”
context: Yeah.\That college student?\Yeah.\Day in, day out, all day, every day...\What are you doing?”\Who are you with?”\Let's meet up.”\Why don't you answer right away?” response:	Why can't you come out?”
context: That college student?\Yeah.\Day in, day out, all day, every day...\What are you doing?”\Who are you with?”\Let's meet up.”\Why don't you answer right away?”\Why can't you come out?” response:	Are you with a guy?”
context: Yeah.\Day in, day out, all day, every day...\What are you doing?”\Who are you with?”\Let's meet up.”\Why don't you answer right away?”\Why can't you come out?”\Are you with a guy?” response:	I wake up, come to school and attend class with my classmates, dammit!
context: Day in, day out, all day, every day...\What are you doing?”\Who are you with?”\Let's meet up.”\Why don't you answer right away?”\Why can't you come out?”\Are you with a guy?”\I wake up, come to school and attend class with my classmates, dammit! response:	And at night, I sleep.
context: What are you doing?”\Who are you with?”\Let's meet up.”\Why don't you answer right away?”\Why can't you come out?”\Are you with a guy?”\I wake up, come to school and attend class with my classmates, dammit!\And at night, I sleep. response:	You do.
context: Who are you with?”\Let's meet up.”\Why don't you answer right away?”\Why can't you come out?”\Are you with a guy?”\I wake up, come to school and attend class with my classmates, dammit!\And at night, I sleep.\You do. response:	Why are you going out with a guy like that?
context: Let's meet up.”\Why don't you answer right away?”\Why can't you come out?”\Are you with a guy?”\I wake up, come to school and attend class with my classmates, dammit!\And at night, I sleep.\You do.\Why are you going out with a guy like that? response:	He picked me up.
context: Why don't you answer right away?”\Why can't you come out?”\Are you with a guy?”\I wake up, come to school and attend class with my classmates, dammit!\And at night, I sleep.\You do.\Why are you going out with a guy like that?\He picked me up. response:	Why do I always get picked up by the kind of guy who acts like a big grown-up only at first?
context: Why can't you come out?”\Are you with a guy?”\I wake up, come to school and attend class with my classmates, dammit!\And at night, I sleep.\You do.\Why are you going out with a guy like that?\He picked me up.\Why do I always get picked up by the kind of guy who acts like a big grown-up only at first? response:	I used to think hanging out with girls was a pain in the ass.
context: Are you with a guy?”\I wake up, come to school and attend class with my classmates, dammit!\And at night, I sleep.\You do.\Why are you going out with a guy like that?\He picked me up.\Why do I always get picked up by the kind of guy who acts like a big grown-up only at first?\I used to think hanging out with girls was a pain in the ass. response:	Now I think guys are.
context: I wake up, come to school and attend class with my classmates, dammit!\And at night, I sleep.\You do.\Why are you going out with a guy like that?\He picked me up.\Why do I always get picked up by the kind of guy who acts like a big grown-up only at first?\I used to think hanging out with girls was a pain in the ass.\Now I think guys are. response:	Is that how it normally is?
context: And at night, I sleep.\You do.\Why are you going out with a guy like that?\He picked me up.\Why do I always get picked up by the kind of guy who acts like a big grown-up only at first?\I used to think hanging out with girls was a pain in the ass.\Now I think guys are.\Is that how it normally is? response:	No, I think there's a serious mess.
context: You do.\Why are you going out with a guy like that?\He picked me up.\Why do I always get picked up by the kind of guy who acts like a big grown-up only at first?\I used to think hanging out with girls was a pain in the ass.\Now I think guys are.\Is that how it normally is?\No, I think there's a serious mess. response:	He must be crazy about her.
context: Why are you going out with a guy like that?\He picked me up.\Why do I always get picked up by the kind of guy who acts like a big grown-up only at first?\I used to think hanging out with girls was a pain in the ass.\Now I think guys are.\Is that how it normally is?\No, I think there's a serious mess.\He must be crazy about her. response:	I guess everyone's relationship is different.
context: He picked me up.\Why do I always get picked up by the kind of guy who acts like a big grown-up only at first?\I used to think hanging out with girls was a pain in the ass.\Now I think guys are.\Is that how it normally is?\No, I think there's a serious mess.\He must be crazy about her.\I guess everyone's relationship is different. response:	Ryu.
context: Why do I always get picked up by the kind of guy who acts like a big grown-up only at first?\I used to think hanging out with girls was a pain in the ass.\Now I think guys are.\Is that how it normally is?\No, I think there's a serious mess.\He must be crazy about her.\I guess everyone's relationship is different.\Ryu. response:	I'm coming over tonight, be home.
context: I used to think hanging out with girls was a pain in the ass.\Now I think guys are.\Is that how it normally is?\No, I think there's a serious mess.\He must be crazy about her.\I guess everyone's relationship is different.\Ryu.\I'm coming over tonight, be home. response:	Let me play the rest of that game from last time.
context: Now I think guys are.\Is that how it normally is?\No, I think there's a serious mess.\He must be crazy about her.\I guess everyone's relationship is different.\Ryu.\I'm coming over tonight, be home.\Let me play the rest of that game from last time. response:	Sure, I guess.
context: Is that how it normally is?\No, I think there's a serious mess.\He must be crazy about her.\I guess everyone's relationship is different.\Ryu.\I'm coming over tonight, be home.\Let me play the rest of that game from last time.\Sure, I guess. response:	Or do you want to play against me?
context: No, I think there's a serious mess.\He must be crazy about her.\I guess everyone's relationship is different.\Ryu.\I'm coming over tonight, be home.\Let me play the rest of that game from last time.\Sure, I guess.\Or do you want to play against me? response:	Hell no.
context: He must be crazy about her.\I guess everyone's relationship is different.\Ryu.\I'm coming over tonight, be home.\Let me play the rest of that game from last time.\Sure, I guess.\Or do you want to play against me?\Hell no. response:	Chizu-chan and Sanada-kun sort of have the same air about them.
context: I guess everyone's relationship is different.\Ryu.\I'm coming over tonight, be home.\Let me play the rest of that game from last time.\Sure, I guess.\Or do you want to play against me?\Hell no.\Chizu-chan and Sanada-kun sort of have the same air about them. response:	I'm all about Chizuru.
context: Ryu.\I'm coming over tonight, be home.\Let me play the rest of that game from last time.\Sure, I guess.\Or do you want to play against me?\Hell no.\Chizu-chan and Sanada-kun sort of have the same air about them.\I'm all about Chizuru. response:	Perfect!
context: I'm coming over tonight, be home.\Let me play the rest of that game from last time.\Sure, I guess.\Or do you want to play against me?\Hell no.\Chizu-chan and Sanada-kun sort of have the same air about them.\I'm all about Chizuru.\Perfect! response:	There aren't too many couples this perfect.
context: Let me play the rest of that game from last time.\Sure, I guess.\Or do you want to play against me?\Hell no.\Chizu-chan and Sanada-kun sort of have the same air about them.\I'm all about Chizuru.\Perfect!\There aren't too many couples this perfect. response:	I wonder what Chizu-chan thinks.
context: Sure, I guess.\Or do you want to play against me?\Hell no.\Chizu-chan and Sanada-kun sort of have the same air about them.\I'm all about Chizuru.\Perfect!\There aren't too many couples this perfect.\I wonder what Chizu-chan thinks. response:	Does she like Sanada-kun?
context: Or do you want to play against me?\Hell no.\Chizu-chan and Sanada-kun sort of have the same air about them.\I'm all about Chizuru.\Perfect!\There aren't too many couples this perfect.\I wonder what Chizu-chan thinks.\Does she like Sanada-kun? response:	Hey old man, busy day?
context: Hell no.\Chizu-chan and Sanada-kun sort of have the same air about them.\I'm all about Chizuru.\Perfect!\There aren't too many couples this perfect.\I wonder what Chizu-chan thinks.\Does she like Sanada-kun?\Hey old man, busy day? response:	Yo, Chizu-chan.
context: Chizu-chan and Sanada-kun sort of have the same air about them.\I'm all about Chizuru.\Perfect!\There aren't too many couples this perfect.\I wonder what Chizu-chan thinks.\Does she like Sanada-kun?\Hey old man, busy day?\Yo, Chizu-chan. response:	It's so cold.
context: I'm all about Chizuru.\Perfect!\There aren't too many couples this perfect.\I wonder what Chizu-chan thinks.\Does she like Sanada-kun?\Hey old man, busy day?\Yo, Chizu-chan.\It's so cold. response:	Oh yeah, I'll help with the store during the winter.
context: Perfect!\There aren't too many couples this perfect.\I wonder what Chizu-chan thinks.\Does she like Sanada-kun?\Hey old man, busy day?\Yo, Chizu-chan.\It's so cold.\Oh yeah, I'll help with the store during the winter. response:	Awesome.
context: There aren't too many couples this perfect.\I wonder what Chizu-chan thinks.\Does she like Sanada-kun?\Hey old man, busy day?\Yo, Chizu-chan.\It's so cold.\Oh yeah, I'll help with the store during the winter.\Awesome. response:	You're our poster girl after all.
context: I wonder what Chizu-chan thinks.\Does she like Sanada-kun?\Hey old man, busy day?\Yo, Chizu-chan.\It's so cold.\Oh yeah, I'll help with the store during the winter.\Awesome.\You're our poster girl after all. response:	Yeah, I guess.
context: Does she like Sanada-kun?\Hey old man, busy day?\Yo, Chizu-chan.\It's so cold.\Oh yeah, I'll help with the store during the winter.\Awesome.\You're our poster girl after all.\Yeah, I guess. response:	I'm heading upstairs.
context: Hey old man, busy day?\Yo, Chizu-chan.\It's so cold.\Oh yeah, I'll help with the store during the winter.\Awesome.\You're our poster girl after all.\Yeah, I guess.\I'm heading upstairs. response:	But damn man,
context: Yo, Chizu-chan.\It's so cold.\Oh yeah, I'll help with the store during the winter.\Awesome.\You're our poster girl after all.\Yeah, I guess.\I'm heading upstairs.\But damn man, response:	I wish you were my daughter.
context: It's so cold.\Oh yeah, I'll help with the store during the winter.\Awesome.\You're our poster girl after all.\Yeah, I guess.\I'm heading upstairs.\But damn man,\I wish you were my daughter. response:	I would be if I could.
context: Oh yeah, I'll help with the store during the winter.\Awesome.\You're our poster girl after all.\Yeah, I guess.\I'm heading upstairs.\But damn man,\I wish you were my daughter.\I would be if I could. response:	You getting ready to sleep?
context: Awesome.\You're our poster girl after all.\Yeah, I guess.\I'm heading upstairs.\But damn man,\I wish you were my daughter.\I would be if I could.\You getting ready to sleep? response:	You're late.
context: You're our poster girl after all.\Yeah, I guess.\I'm heading upstairs.\But damn man,\I wish you were my daughter.\I would be if I could.\You getting ready to sleep?\You're late. response:	I said I'm coming.
context: Yeah, I guess.\I'm heading upstairs.\But damn man,\I wish you were my daughter.\I would be if I could.\You getting ready to sleep?\You're late.\I said I'm coming. response:	Shoot, I died!
context: I'm heading upstairs.\But damn man,\I wish you were my daughter.\I would be if I could.\You getting ready to sleep?\You're late.\I said I'm coming.\Shoot, I died! response:	Damn lion!
context: But damn man,\I wish you were my daughter.\I would be if I could.\You getting ready to sleep?\You're late.\I said I'm coming.\Shoot, I died!\Damn lion! response:	You mean chimera.
context: I wish you were my daughter.\I would be if I could.\You getting ready to sleep?\You're late.\I said I'm coming.\Shoot, I died!\Damn lion!\You mean chimera. response:	I just remembered you talking in your sleep.
context: I would be if I could.\You getting ready to sleep?\You're late.\I said I'm coming.\Shoot, I died!\Damn lion!\You mean chimera.\I just remembered you talking in your sleep. response:	I don't talk in my sleep.
context: You getting ready to sleep?\You're late.\I said I'm coming.\Shoot, I died!\Damn lion!\You mean chimera.\I just remembered you talking in your sleep.\I don't talk in my sleep. response:	That lion... that lion... chimera...
context: You're late.\I said I'm coming.\Shoot, I died!\Damn lion!\You mean chimera.\I just remembered you talking in your sleep.\I don't talk in my sleep.\That lion... that lion... chimera... response:	Oh yeah,
context: I said I'm coming.\Shoot, I died!\Damn lion!\You mean chimera.\I just remembered you talking in your sleep.\I don't talk in my sleep.\That lion... that lion... chimera...\Oh yeah, response:	Isn't there anything you want?
context: Shoot, I died!\Damn lion!\You mean chimera.\I just remembered you talking in your sleep.\I don't talk in my sleep.\That lion... that lion... chimera...\Oh yeah,\Isn't there anything you want? response:	Under 500 yen.
context: Damn lion!\You mean chimera.\I just remembered you talking in your sleep.\I don't talk in my sleep.\That lion... that lion... chimera...\Oh yeah,\Isn't there anything you want?\Under 500 yen. response:	New mitts.
context: You mean chimera.\I just remembered you talking in your sleep.\I don't talk in my sleep.\That lion... that lion... chimera...\Oh yeah,\Isn't there anything you want?\Under 500 yen.\New mitts. response:	Under 500 yen!
context: I just remembered you talking in your sleep.\I don't talk in my sleep.\That lion... that lion... chimera...\Oh yeah,\Isn't there anything you want?\Under 500 yen.\New mitts.\Under 500 yen! response:	Anything other than a shoulder massage coupon.
context: I don't talk in my sleep.\That lion... that lion... chimera...\Oh yeah,\Isn't there anything you want?\Under 500 yen.\New mitts.\Under 500 yen!\Anything other than a shoulder massage coupon. response:	Anything's fine. Thanks.
context: That lion... that lion... chimera...\Oh yeah,\Isn't there anything you want?\Under 500 yen.\New mitts.\Under 500 yen!\Anything other than a shoulder massage coupon.\Anything's fine. Thanks. response:	I never said I'm giving you anything.
context: Oh yeah,\Isn't there anything you want?\Under 500 yen.\New mitts.\Under 500 yen!\Anything other than a shoulder massage coupon.\Anything's fine. Thanks.\I never said I'm giving you anything. response:	Yeah, thanks.
context: Isn't there anything you want?\Under 500 yen.\New mitts.\Under 500 yen!\Anything other than a shoulder massage coupon.\Anything's fine. Thanks.\I never said I'm giving you anything.\Yeah, thanks. response:	I'm going home.
context: Under 500 yen.\New mitts.\Under 500 yen!\Anything other than a shoulder massage coupon.\Anything's fine. Thanks.\I never said I'm giving you anything.\Yeah, thanks.\I'm going home. response:	Yeah.
context: New mitts.\Under 500 yen!\Anything other than a shoulder massage coupon.\Anything's fine. Thanks.\I never said I'm giving you anything.\Yeah, thanks.\I'm going home.\Yeah. response:	Oh yeah, on New Year's...
context: Under 500 yen!\Anything other than a shoulder massage coupon.\Anything's fine. Thanks.\I never said I'm giving you anything.\Yeah, thanks.\I'm going home.\Yeah.\Oh yeah, on New Year's... response:	Never mind, forget it.
context: Anything other than a shoulder massage coupon.\Anything's fine. Thanks.\I never said I'm giving you anything.\Yeah, thanks.\I'm going home.\Yeah.\Oh yeah, on New Year's...\Never mind, forget it. response:	Good night.
context: Anything's fine. Thanks.\I never said I'm giving you anything.\Yeah, thanks.\I'm going home.\Yeah.\Oh yeah, on New Year's...\Never mind, forget it.\Good night. response:	What the...
context: I never said I'm giving you anything.\Yeah, thanks.\I'm going home.\Yeah.\Oh yeah, on New Year's...\Never mind, forget it.\Good night.\What the... response:	So that's what she wanted.
context: Yeah, thanks.\I'm going home.\Yeah.\Oh yeah, on New Year's...\Never mind, forget it.\Good night.\What the...\So that's what she wanted. response:	Hello?
context: I'm going home.\Yeah.\Oh yeah, on New Year's...\Never mind, forget it.\Good night.\What the...\So that's what she wanted.\Hello? response:	Yeah, Dad's taking a bath.
context: Yeah.\Oh yeah, on New Year's...\Never mind, forget it.\Good night.\What the...\So that's what she wanted.\Hello?\Yeah, Dad's taking a bath. response:	Next week?
context: Oh yeah, on New Year's...\Never mind, forget it.\Good night.\What the...\So that's what she wanted.\Hello?\Yeah, Dad's taking a bath.\Next week? response:	I'll have to tell her.
context: Never mind, forget it.\Good night.\What the...\So that's what she wanted.\Hello?\Yeah, Dad's taking a bath.\Next week?\I'll have to tell her. response:	Sawako, Yano-chin, come shopping with me.
context: Good night.\What the...\So that's what she wanted.\Hello?\Yeah, Dad's taking a bath.\Next week?\I'll have to tell her.\Sawako, Yano-chin, come shopping with me. response:	Shopping?
context: What the...\So that's what she wanted.\Hello?\Yeah, Dad's taking a bath.\Next week?\I'll have to tell her.\Sawako, Yano-chin, come shopping with me.\Shopping? response:	I can't.
context: So that's what she wanted.\Hello?\Yeah, Dad's taking a bath.\Next week?\I'll have to tell her.\Sawako, Yano-chin, come shopping with me.\Shopping?\I can't. response:	Why not?
context: Hello?\Yeah, Dad's taking a bath.\Next week?\I'll have to tell her.\Sawako, Yano-chin, come shopping with me.\Shopping?\I can't.\Why not? response:	I'm seeing my boyfriend.
context: Yeah, Dad's taking a bath.\Next week?\I'll have to tell her.\Sawako, Yano-chin, come shopping with me.\Shopping?\I can't.\Why not?\I'm seeing my boyfriend. response:	I want to see him as soon as possible.
context: Next week?\I'll have to tell her.\Sawako, Yano-chin, come shopping with me.\Shopping?\I can't.\Why not?\I'm seeing my boyfriend.\I want to see him as soon as possible. response:	See you.
context: I'll have to tell her.\Sawako, Yano-chin, come shopping with me.\Shopping?\I can't.\Why not?\I'm seeing my boyfriend.\I want to see him as soon as possible.\See you. response:	I have time.
context: Sawako, Yano-chin, come shopping with me.\Shopping?\I can't.\Why not?\I'm seeing my boyfriend.\I want to see him as soon as possible.\See you.\I have time. response:	Really? Yay.
context: Shopping?\I can't.\Why not?\I'm seeing my boyfriend.\I want to see him as soon as possible.\See you.\I have time.\Really? Yay. response:	What are you buying?
context: I can't.\Why not?\I'm seeing my boyfriend.\I want to see him as soon as possible.\See you.\I have time.\Really? Yay.\What are you buying? response:	Ryu's birthday present.
context: Why not?\I'm seeing my boyfriend.\I want to see him as soon as possible.\See you.\I have time.\Really? Yay.\What are you buying?\Ryu's birthday present. response:	It's coming up soon.
context: I'm seeing my boyfriend.\I want to see him as soon as possible.\See you.\I have time.\Really? Yay.\What are you buying?\Ryu's birthday present.\It's coming up soon. response:	That's good.
context: I want to see him as soon as possible.\See you.\I have time.\Really? Yay.\What are you buying?\Ryu's birthday present.\It's coming up soon.\That's good. response:	You know how I'm kinda loyal.
context: See you.\I have time.\Really? Yay.\What are you buying?\Ryu's birthday present.\It's coming up soon.\That's good.\You know how I'm kinda loyal. response:	Let me go!
context: I have time.\Really? Yay.\What are you buying?\Ryu's birthday present.\It's coming up soon.\That's good.\You know how I'm kinda loyal.\Let me go! response:	Calm down, Joe.
context: Really? Yay.\What are you buying?\Ryu's birthday present.\It's coming up soon.\That's good.\You know how I'm kinda loyal.\Let me go!\Calm down, Joe. response:	She's always giving me the look!
context: What are you buying?\Ryu's birthday present.\It's coming up soon.\That's good.\You know how I'm kinda loyal.\Let me go!\Calm down, Joe.\She's always giving me the look! response:	You mean you are.
context: Ryu's birthday present.\It's coming up soon.\That's good.\You know how I'm kinda loyal.\Let me go!\Calm down, Joe.\She's always giving me the look!\You mean you are. response:	You don't even know her name, do you?
context: It's coming up soon.\That's good.\You know how I'm kinda loyal.\Let me go!\Calm down, Joe.\She's always giving me the look!\You mean you are.\You don't even know her name, do you? response:	Do you believe in destiny?
context: That's good.\You know how I'm kinda loyal.\Let me go!\Calm down, Joe.\She's always giving me the look!\You mean you are.\You don't even know her name, do you?\Do you believe in destiny? response:	Do you hear our destiny stepping towards us?
context: You know how I'm kinda loyal.\Let me go!\Calm down, Joe.\She's always giving me the look!\You mean you are.\You don't even know her name, do you?\Do you believe in destiny?\Do you hear our destiny stepping towards us? response:	I love you too.
context: Let me go!\Calm down, Joe.\She's always giving me the look!\You mean you are.\You don't even know her name, do you?\Do you believe in destiny?\Do you hear our destiny stepping towards us?\I love you too. response:	Who are you?
context: Calm down, Joe.\She's always giving me the look!\You mean you are.\You don't even know her name, do you?\Do you believe in destiny?\Do you hear our destiny stepping towards us?\I love you too.\Who are you? response:	Stand!
context: She's always giving me the look!\You mean you are.\You don't even know her name, do you?\Do you believe in destiny?\Do you hear our destiny stepping towards us?\I love you too.\Who are you?\Stand! response:	Stand up!
context: You mean you are.\You don't even know her name, do you?\Do you believe in destiny?\Do you hear our destiny stepping towards us?\I love you too.\Who are you?\Stand!\Stand up! response:	Stand up, Joe!
context: You don't even know her name, do you?\Do you believe in destiny?\Do you hear our destiny stepping towards us?\I love you too.\Who are you?\Stand!\Stand up!\Stand up, Joe! response:	What did you give him last year?
