context: I can win! response:	Against Reiner, I can win!
context: Wake up, Commander Pyxis.\You'll get sick if you fall asleep here.\I can't believe you drank all this.\You're not young anymore.\And I'd rather not spend my days changing your diapers.\Being cared for by a pretty lady sounds all right to me.\So? What's the situation?\Patrols were sent out once the Titans response:	were gone from the 1st and 2nd defensive lines,
context: You'll get sick if you fall asleep here.\I can't believe you drank all this.\You're not young anymore.\And I'd rather not spend my days changing your diapers.\Being cared for by a pretty lady sounds all right to me.\So? What's the situation?\Patrols were sent out once the Titans\were gone from the 1st and 2nd defensive lines, response:	but any Titan sightings are few and far between.
context: I can't believe you drank all this.\You're not young anymore.\And I'd rather not spend my days changing your diapers.\Being cared for by a pretty lady sounds all right to me.\So? What's the situation?\Patrols were sent out once the Titans\were gone from the 1st and 2nd defensive lines,\but any Titan sightings are few and far between. response:	Hmm...
context: You're not young anymore.\And I'd rather not spend my days changing your diapers.\Being cared for by a pretty lady sounds all right to me.\So? What's the situation?\Patrols were sent out once the Titans\were gone from the 1st and 2nd defensive lines,\but any Titan sightings are few and far between.\Hmm... response:	If Hannes and the advance squad followed the wall without problem,
context: And I'd rather not spend my days changing your diapers.\Being cared for by a pretty lady sounds all right to me.\So? What's the situation?\Patrols were sent out once the Titans\were gone from the 1st and 2nd defensive lines,\but any Titan sightings are few and far between.\Hmm...\If Hannes and the advance squad followed the wall without problem, response:	they'll be returning any minute now.
context: Being cared for by a pretty lady sounds all right to me.\So? What's the situation?\Patrols were sent out once the Titans\were gone from the 1st and 2nd defensive lines,\but any Titan sightings are few and far between.\Hmm...\If Hannes and the advance squad followed the wall without problem,\they'll be returning any minute now. response:	Krolva District Trost District Hannes' Advance Squad
context: So? What's the situation?\Patrols were sent out once the Titans\were gone from the 1st and 2nd defensive lines,\but any Titan sightings are few and far between.\Hmm...\If Hannes and the advance squad followed the wall without problem,\they'll be returning any minute now.\Krolva District Trost District Hannes' Advance Squad response:	It would mean they met the unit from Krolva District and turned around halfway.
context: Patrols were sent out once the Titans\were gone from the 1st and 2nd defensive lines,\but any Titan sightings are few and far between.\Hmm...\If Hannes and the advance squad followed the wall without problem,\they'll be returning any minute now.\Krolva District Trost District Hannes' Advance Squad\It would mean they met the unit from Krolva District and turned around halfway. response:	And they couldn't have encountered many Titans, if any.
context: were gone from the 1st and 2nd defensive lines,\but any Titan sightings are few and far between.\Hmm...\If Hannes and the advance squad followed the wall without problem,\they'll be returning any minute now.\Krolva District Trost District Hannes' Advance Squad\It would mean they met the unit from Krolva District and turned around halfway.\And they couldn't have encountered many Titans, if any. response:	If there was a hole in the wall, it would never work out like that.
context: but any Titan sightings are few and far between.\Hmm...\If Hannes and the advance squad followed the wall without problem,\they'll be returning any minute now.\Krolva District Trost District Hannes' Advance Squad\It would mean they met the unit from Krolva District and turned around halfway.\And they couldn't have encountered many Titans, if any.\If there was a hole in the wall, it would never work out like that. response:	Commander Pyxis.
context: Hmm...\If Hannes and the advance squad followed the wall without problem,\they'll be returning any minute now.\Krolva District Trost District Hannes' Advance Squad\It would mean they met the unit from Krolva District and turned around halfway.\And they couldn't have encountered many Titans, if any.\If there was a hole in the wall, it would never work out like that.\Commander Pyxis. response:	Hmm?
context: If Hannes and the advance squad followed the wall without problem,\they'll be returning any minute now.\Krolva District Trost District Hannes' Advance Squad\It would mean they met the unit from Krolva District and turned around halfway.\And they couldn't have encountered many Titans, if any.\If there was a hole in the wall, it would never work out like that.\Commander Pyxis.\Hmm? response:	Oh. If it isn't Erwin.
context: they'll be returning any minute now.\Krolva District Trost District Hannes' Advance Squad\It would mean they met the unit from Krolva District and turned around halfway.\And they couldn't have encountered many Titans, if any.\If there was a hole in the wall, it would never work out like that.\Commander Pyxis.\Hmm?\Oh. If it isn't Erwin. response:	I hear you've captured one of those troublesome mice.
context: Krolva District Trost District Hannes' Advance Squad\It would mean they met the unit from Krolva District and turned around halfway.\And they couldn't have encountered many Titans, if any.\If there was a hole in the wall, it would never work out like that.\Commander Pyxis.\Hmm?\Oh. If it isn't Erwin.\I hear you've captured one of those troublesome mice. response:	Yes.
context: It would mean they met the unit from Krolva District and turned around halfway.\And they couldn't have encountered many Titans, if any.\If there was a hole in the wall, it would never work out like that.\Commander Pyxis.\Hmm?\Oh. If it isn't Erwin.\I hear you've captured one of those troublesome mice.\Yes. response:	Unfortunately, we were one step behind.
context: And they couldn't have encountered many Titans, if any.\If there was a hole in the wall, it would never work out like that.\Commander Pyxis.\Hmm?\Oh. If it isn't Erwin.\I hear you've captured one of those troublesome mice.\Yes.\Unfortunately, we were one step behind. response:	Hmm...
context: If there was a hole in the wall, it would never work out like that.\Commander Pyxis.\Hmm?\Oh. If it isn't Erwin.\I hear you've captured one of those troublesome mice.\Yes.\Unfortunately, we were one step behind.\Hmm... response:	But at least it will get those goons in the interior thinking.
context: Commander Pyxis.\Hmm?\Oh. If it isn't Erwin.\I hear you've captured one of those troublesome mice.\Yes.\Unfortunately, we were one step behind.\Hmm...\But at least it will get those goons in the interior thinking. response:	Maybe they'll reconsider how important their stale beliefs and motives are to them.
context: Hmm?\Oh. If it isn't Erwin.\I hear you've captured one of those troublesome mice.\Yes.\Unfortunately, we were one step behind.\Hmm...\But at least it will get those goons in the interior thinking.\Maybe they'll reconsider how important their stale beliefs and motives are to them. response:	Yes, it appears they have.
context: Oh. If it isn't Erwin.\I hear you've captured one of those troublesome mice.\Yes.\Unfortunately, we were one step behind.\Hmm...\But at least it will get those goons in the interior thinking.\Maybe they'll reconsider how important their stale beliefs and motives are to them.\Yes, it appears they have. response:	Look over there.
context: I hear you've captured one of those troublesome mice.\Yes.\Unfortunately, we were one step behind.\Hmm...\But at least it will get those goons in the interior thinking.\Maybe they'll reconsider how important their stale beliefs and motives are to them.\Yes, it appears they have.\Look over there. response:	The Military Police have finally been forced into an area with Titans.
context: Yes.\Unfortunately, we were one step behind.\Hmm...\But at least it will get those goons in the interior thinking.\Maybe they'll reconsider how important their stale beliefs and motives are to them.\Yes, it appears they have.\Look over there.\The Military Police have finally been forced into an area with Titans. response:	Can't believe we didn't see any Titans.
context: Unfortunately, we were one step behind.\Hmm...\But at least it will get those goons in the interior thinking.\Maybe they'll reconsider how important their stale beliefs and motives are to them.\Yes, it appears they have.\Look over there.\The Military Police have finally been forced into an area with Titans.\Can't believe we didn't see any Titans. response:	Was there really none at all?
context: Hmm...\But at least it will get those goons in the interior thinking.\Maybe they'll reconsider how important their stale beliefs and motives are to them.\Yes, it appears they have.\Look over there.\The Military Police have finally been forced into an area with Titans.\Can't believe we didn't see any Titans.\Was there really none at all? response:	Seems so. It's unusually quiet out there.
context: But at least it will get those goons in the interior thinking.\Maybe they'll reconsider how important their stale beliefs and motives are to them.\Yes, it appears they have.\Look over there.\The Military Police have finally been forced into an area with Titans.\Can't believe we didn't see any Titans.\Was there really none at all?\Seems so. It's unusually quiet out there. response:	I wonder if they're still alive...
context: Maybe they'll reconsider how important their stale beliefs and motives are to them.\Yes, it appears they have.\Look over there.\The Military Police have finally been forced into an area with Titans.\Can't believe we didn't see any Titans.\Was there really none at all?\Seems so. It's unusually quiet out there.\I wonder if they're still alive... response:	Can you believe it? I thought this was an emergency.
context: Yes, it appears they have.\Look over there.\The Military Police have finally been forced into an area with Titans.\Can't believe we didn't see any Titans.\Was there really none at all?\Seems so. It's unusually quiet out there.\I wonder if they're still alive...\Can you believe it? I thought this was an emergency. response:	Yeah. And everyone's just sitting around here.
context: Look over there.\The Military Police have finally been forced into an area with Titans.\Can't believe we didn't see any Titans.\Was there really none at all?\Seems so. It's unusually quiet out there.\I wonder if they're still alive...\Can you believe it? I thought this was an emergency.\Yeah. And everyone's just sitting around here. response:	Hey, Levi. Where you hiding the Titans at?
context: The Military Police have finally been forced into an area with Titans.\Can't believe we didn't see any Titans.\Was there really none at all?\Seems so. It's unusually quiet out there.\I wonder if they're still alive...\Can you believe it? I thought this was an emergency.\Yeah. And everyone's just sitting around here.\Hey, Levi. Where you hiding the Titans at? response:	Oh? You all seem so disappointed.
context: Can't believe we didn't see any Titans.\Was there really none at all?\Seems so. It's unusually quiet out there.\I wonder if they're still alive...\Can you believe it? I thought this was an emergency.\Yeah. And everyone's just sitting around here.\Hey, Levi. Where you hiding the Titans at?\Oh? You all seem so disappointed. response:	Sorry... A shame you couldn't fight Titans today.
context: Was there really none at all?\Seems so. It's unusually quiet out there.\I wonder if they're still alive...\Can you believe it? I thought this was an emergency.\Yeah. And everyone's just sitting around here.\Hey, Levi. Where you hiding the Titans at?\Oh? You all seem so disappointed.\Sorry... A shame you couldn't fight Titans today. response:	If you're looking for another chance,
context: Seems so. It's unusually quiet out there.\I wonder if they're still alive...\Can you believe it? I thought this was an emergency.\Yeah. And everyone's just sitting around here.\Hey, Levi. Where you hiding the Titans at?\Oh? You all seem so disappointed.\Sorry... A shame you couldn't fight Titans today.\If you're looking for another chance, response:	there's plenty of expeditions outside the walls.
context: I wonder if they're still alive...\Can you believe it? I thought this was an emergency.\Yeah. And everyone's just sitting around here.\Hey, Levi. Where you hiding the Titans at?\Oh? You all seem so disappointed.\Sorry... A shame you couldn't fight Titans today.\If you're looking for another chance,\there's plenty of expeditions outside the walls. response:	How about we join forces and face some Titans together?
context: Can you believe it? I thought this was an emergency.\Yeah. And everyone's just sitting around here.\Hey, Levi. Where you hiding the Titans at?\Oh? You all seem so disappointed.\Sorry... A shame you couldn't fight Titans today.\If you're looking for another chance,\there's plenty of expeditions outside the walls.\How about we join forces and face some Titans together? response:	Uh, well you know...
context: Yeah. And everyone's just sitting around here.\Hey, Levi. Where you hiding the Titans at?\Oh? You all seem so disappointed.\Sorry... A shame you couldn't fight Titans today.\If you're looking for another chance,\there's plenty of expeditions outside the walls.\How about we join forces and face some Titans together?\Uh, well you know... response:	We're busy with work on the interior...
context: Hey, Levi. Where you hiding the Titans at?\Oh? You all seem so disappointed.\Sorry... A shame you couldn't fight Titans today.\If you're looking for another chance,\there's plenty of expeditions outside the walls.\How about we join forces and face some Titans together?\Uh, well you know...\We're busy with work on the interior... response:	The advance squad's returned!
context: Oh? You all seem so disappointed.\Sorry... A shame you couldn't fight Titans today.\If you're looking for another chance,\there's plenty of expeditions outside the walls.\How about we join forces and face some Titans together?\Uh, well you know...\We're busy with work on the interior...\The advance squad's returned! response:	Inform Commander Pyxis!
context: Sorry... A shame you couldn't fight Titans today.\If you're looking for another chance,\there's plenty of expeditions outside the walls.\How about we join forces and face some Titans together?\Uh, well you know...\We're busy with work on the interior...\The advance squad's returned!\Inform Commander Pyxis! response:	I see...
context: If you're looking for another chance,\there's plenty of expeditions outside the walls.\How about we join forces and face some Titans together?\Uh, well you know...\We're busy with work on the interior...\The advance squad's returned!\Inform Commander Pyxis!\I see... response:	So there was nothing wrong with the wall?
context: there's plenty of expeditions outside the walls.\How about we join forces and face some Titans together?\Uh, well you know...\We're busy with work on the interior...\The advance squad's returned!\Inform Commander Pyxis!\I see...\So there was nothing wrong with the wall? response:	Yes, sir!
context: How about we join forces and face some Titans together?\Uh, well you know...\We're busy with work on the interior...\The advance squad's returned!\Inform Commander Pyxis!\I see...\So there was nothing wrong with the wall?\Yes, sir! response:	As I suspected...
context: Uh, well you know...\We're busy with work on the interior...\The advance squad's returned!\Inform Commander Pyxis!\I see...\So there was nothing wrong with the wall?\Yes, sir!\As I suspected... response:	H-However, there's a bit of a situation!
context: We're busy with work on the interior...\The advance squad's returned!\Inform Commander Pyxis!\I see...\So there was nothing wrong with the wall?\Yes, sir!\As I suspected...\H-However, there's a bit of a situation! response:	We were heading back to Trost to give our report
context: The advance squad's returned!\Inform Commander Pyxis!\I see...\So there was nothing wrong with the wall?\Yes, sir!\As I suspected...\H-However, there's a bit of a situation!\We were heading back to Trost to give our report response:	when we ran into the Scout unit led by Section Commander Hange.
context: Inform Commander Pyxis!\I see...\So there was nothing wrong with the wall?\Yes, sir!\As I suspected...\H-However, there's a bit of a situation!\We were heading back to Trost to give our report\when we ran into the Scout unit led by Section Commander Hange. response:	Along with them, there were recruits from the 104th without their equipment.
context: I see...\So there was nothing wrong with the wall?\Yes, sir!\As I suspected...\H-However, there's a bit of a situation!\We were heading back to Trost to give our report\when we ran into the Scout unit led by Section Commander Hange.\Along with them, there were recruits from the 104th without their equipment. response:	And it turns out, three of them...
context: So there was nothing wrong with the wall?\Yes, sir!\As I suspected...\H-However, there's a bit of a situation!\We were heading back to Trost to give our report\when we ran into the Scout unit led by Section Commander Hange.\Along with them, there were recruits from the 104th without their equipment.\And it turns out, three of them... response:	What are you talking about?
context: Yes, sir!\As I suspected...\H-However, there's a bit of a situation!\We were heading back to Trost to give our report\when we ran into the Scout unit led by Section Commander Hange.\Along with them, there were recruits from the 104th without their equipment.\And it turns out, three of them...\What are you talking about? response:	Are you saying there were more?!
context: As I suspected...\H-However, there's a bit of a situation!\We were heading back to Trost to give our report\when we ran into the Scout unit led by Section Commander Hange.\Along with them, there were recruits from the 104th without their equipment.\And it turns out, three of them...\What are you talking about?\Are you saying there were more?! response:	Th-Three more of them?!
context: H-However, there's a bit of a situation!\We were heading back to Trost to give our report\when we ran into the Scout unit led by Section Commander Hange.\Along with them, there were recruits from the 104th without their equipment.\And it turns out, three of them...\What are you talking about?\Are you saying there were more?!\Th-Three more of them?! response:	Who was it?!
context: We were heading back to Trost to give our report\when we ran into the Scout unit led by Section Commander Hange.\Along with them, there were recruits from the 104th without their equipment.\And it turns out, three of them...\What are you talking about?\Are you saying there were more?!\Th-Three more of them?!\Who was it?! response:	U-Uh, well...
context: when we ran into the Scout unit led by Section Commander Hange.\Along with them, there were recruits from the 104th without their equipment.\And it turns out, three of them...\What are you talking about?\Are you saying there were more?!\Th-Three more of them?!\Who was it?!\U-Uh, well... response:	Jean, relax.
context: Along with them, there were recruits from the 104th without their equipment.\And it turns out, three of them...\What are you talking about?\Are you saying there were more?!\Th-Three more of them?!\Who was it?!\U-Uh, well...\Jean, relax. response:	What happened when their forms were revealed?
context: And it turns out, three of them...\What are you talking about?\Are you saying there were more?!\Th-Three more of them?!\Who was it?!\U-Uh, well...\Jean, relax.\What happened when their forms were revealed? response:	The Scouts engaged the Colossal and Armored Titan in battle.
context: What are you talking about?\Are you saying there were more?!\Th-Three more of them?!\Who was it?!\U-Uh, well...\Jean, relax.\What happened when their forms were revealed?\The Scouts engaged the Colossal and Armored Titan in battle. response:	But by the time we joined up with them to fight...
context: Are you saying there were more?!\Th-Three more of them?!\Who was it?!\U-Uh, well...\Jean, relax.\What happened when their forms were revealed?\The Scouts engaged the Colossal and Armored Titan in battle.\But by the time we joined up with them to fight... response:	Unbelievable. What a disaster.
context: Th-Three more of them?!\Who was it?!\U-Uh, well...\Jean, relax.\What happened when their forms were revealed?\The Scouts engaged the Colossal and Armored Titan in battle.\But by the time we joined up with them to fight...\Unbelievable. What a disaster. response:	Luckily we were above so we got away unscathed.
context: Who was it?!\U-Uh, well...\Jean, relax.\What happened when their forms were revealed?\The Scouts engaged the Colossal and Armored Titan in battle.\But by the time we joined up with them to fight...\Unbelievable. What a disaster.\Luckily we were above so we got away unscathed. response:	Everyone underneath got blasted by steam and wind.
context: U-Uh, well...\Jean, relax.\What happened when their forms were revealed?\The Scouts engaged the Colossal and Armored Titan in battle.\But by the time we joined up with them to fight...\Unbelievable. What a disaster.\Luckily we were above so we got away unscathed.\Everyone underneath got blasted by steam and wind. response:	There's nothing they could do.
context: Jean, relax.\What happened when their forms were revealed?\The Scouts engaged the Colossal and Armored Titan in battle.\But by the time we joined up with them to fight...\Unbelievable. What a disaster.\Luckily we were above so we got away unscathed.\Everyone underneath got blasted by steam and wind.\There's nothing they could do. response:	How's Mikasa doing?
context: What happened when their forms were revealed?\The Scouts engaged the Colossal and Armored Titan in battle.\But by the time we joined up with them to fight...\Unbelievable. What a disaster.\Luckily we were above so we got away unscathed.\Everyone underneath got blasted by steam and wind.\There's nothing they could do.\How's Mikasa doing? response:	I don't see any bad wounds, so I'm guessing it's a concussion.
context: The Scouts engaged the Colossal and Armored Titan in battle.\But by the time we joined up with them to fight...\Unbelievable. What a disaster.\Luckily we were above so we got away unscathed.\Everyone underneath got blasted by steam and wind.\There's nothing they could do.\How's Mikasa doing?\I don't see any bad wounds, so I'm guessing it's a concussion. response:	I see...
context: But by the time we joined up with them to fight...\Unbelievable. What a disaster.\Luckily we were above so we got away unscathed.\Everyone underneath got blasted by steam and wind.\There's nothing they could do.\How's Mikasa doing?\I don't see any bad wounds, so I'm guessing it's a concussion.\I see... response:	Armin... You haven't eaten, have you?
context: Unbelievable. What a disaster.\Luckily we were above so we got away unscathed.\Everyone underneath got blasted by steam and wind.\There's nothing they could do.\How's Mikasa doing?\I don't see any bad wounds, so I'm guessing it's a concussion.\I see...\Armin... You haven't eaten, have you? response:	I'll get you something.
context: Luckily we were above so we got away unscathed.\Everyone underneath got blasted by steam and wind.\There's nothing they could do.\How's Mikasa doing?\I don't see any bad wounds, so I'm guessing it's a concussion.\I see...\Armin... You haven't eaten, have you?\I'll get you something. response:	You've gotta eat.
context: Everyone underneath got blasted by steam and wind.\There's nothing they could do.\How's Mikasa doing?\I don't see any bad wounds, so I'm guessing it's a concussion.\I see...\Armin... You haven't eaten, have you?\I'll get you something.\You've gotta eat. response:	Information Available for Public Disclosure Field Rations
context: There's nothing they could do.\How's Mikasa doing?\I don't see any bad wounds, so I'm guessing it's a concussion.\I see...\Armin... You haven't eaten, have you?\I'll get you something.\You've gotta eat.\Information Available for Public Disclosure Field Rations response:	An extremely nutritious ration utilized by the Scout Regiment. High calorie crackers and canned food are staple rations which can quickly provide soldiers with the necessary energy for their operations without the need for a fire. The flavor has been refined so that the taste isn't bad.
context: How's Mikasa doing?\I don't see any bad wounds, so I'm guessing it's a concussion.\I see...\Armin... You haven't eaten, have you?\I'll get you something.\You've gotta eat.\Information Available for Public Disclosure Field Rations\An extremely nutritious ration utilized by the Scout Regiment. High calorie crackers and canned food are staple rations which can quickly provide soldiers with the necessary energy for their operations without the need for a fire. The flavor has been refined so that the taste isn't bad. response:	Mikasa!
context: I don't see any bad wounds, so I'm guessing it's a concussion.\I see...\Armin... You haven't eaten, have you?\I'll get you something.\You've gotta eat.\Information Available for Public Disclosure Field Rations\An extremely nutritious ration utilized by the Scout Regiment. High calorie crackers and canned food are staple rations which can quickly provide soldiers with the necessary energy for their operations without the need for a fire. The flavor has been refined so that the taste isn't bad.\Mikasa! response:	Mikasa! It's Eren!
context: I see...\Armin... You haven't eaten, have you?\I'll get you something.\You've gotta eat.\Information Available for Public Disclosure Field Rations\An extremely nutritious ration utilized by the Scout Regiment. High calorie crackers and canned food are staple rations which can quickly provide soldiers with the necessary energy for their operations without the need for a fire. The flavor has been refined so that the taste isn't bad.\Mikasa!\Mikasa! It's Eren! response:	What happened to Eren?!
context: Armin... You haven't eaten, have you?\I'll get you something.\You've gotta eat.\Information Available for Public Disclosure Field Rations\An extremely nutritious ration utilized by the Scout Regiment. High calorie crackers and canned food are staple rations which can quickly provide soldiers with the necessary energy for their operations without the need for a fire. The flavor has been refined so that the taste isn't bad.\Mikasa!\Mikasa! It's Eren!\What happened to Eren?! response:	It's those three bullies again.
context: I'll get you something.\You've gotta eat.\Information Available for Public Disclosure Field Rations\An extremely nutritious ration utilized by the Scout Regiment. High calorie crackers and canned food are staple rations which can quickly provide soldiers with the necessary energy for their operations without the need for a fire. The flavor has been refined so that the taste isn't bad.\Mikasa!\Mikasa! It's Eren!\What happened to Eren?!\It's those three bullies again. response:	They took some bread I bought from me.
context: You've gotta eat.\Information Available for Public Disclosure Field Rations\An extremely nutritious ration utilized by the Scout Regiment. High calorie crackers and canned food are staple rations which can quickly provide soldiers with the necessary energy for their operations without the need for a fire. The flavor has been refined so that the taste isn't bad.\Mikasa!\Mikasa! It's Eren!\What happened to Eren?!\It's those three bullies again.\They took some bread I bought from me. response:	So he went on his own to get-
context: Information Available for Public Disclosure Field Rations\An extremely nutritious ration utilized by the Scout Regiment. High calorie crackers and canned food are staple rations which can quickly provide soldiers with the necessary energy for their operations without the need for a fire. The flavor has been refined so that the taste isn't bad.\Mikasa!\Mikasa! It's Eren!\What happened to Eren?!\It's those three bullies again.\They took some bread I bought from me.\So he went on his own to get- response:	I tried to stop him!
context: An extremely nutritious ration utilized by the Scout Regiment. High calorie crackers and canned food are staple rations which can quickly provide soldiers with the necessary energy for their operations without the need for a fire. The flavor has been refined so that the taste isn't bad.\Mikasa!\Mikasa! It's Eren!\What happened to Eren?!\It's those three bullies again.\They took some bread I bought from me.\So he went on his own to get-\I tried to stop him! response:	Wait!
context: Mikasa!\Mikasa! It's Eren!\What happened to Eren?!\It's those three bullies again.\They took some bread I bought from me.\So he went on his own to get-\I tried to stop him!\Wait! response:	Give it back!
context: Mikasa! It's Eren!\What happened to Eren?!\It's those three bullies again.\They took some bread I bought from me.\So he went on his own to get-\I tried to stop him!\Wait!\Give it back! response:	I thought I told you already. There's none left'cause I ate it.
context: What happened to Eren?!\It's those three bullies again.\They took some bread I bought from me.\So he went on his own to get-\I tried to stop him!\Wait!\Give it back!\I thought I told you already. There's none left'cause I ate it. response:	Got it?
context: It's those three bullies again.\They took some bread I bought from me.\So he went on his own to get-\I tried to stop him!\Wait!\Give it back!\I thought I told you already. There's none left'cause I ate it.\Got it? response:	That was three days' worth of food for his family!
context: They took some bread I bought from me.\So he went on his own to get-\I tried to stop him!\Wait!\Give it back!\I thought I told you already. There's none left'cause I ate it.\Got it?\That was three days' worth of food for his family! response:	You gotta be kidding me. Those table scraps?
context: So he went on his own to get-\I tried to stop him!\Wait!\Give it back!\I thought I told you already. There's none left'cause I ate it.\Got it?\That was three days' worth of food for his family!\You gotta be kidding me. Those table scraps? response:	Quit it, man. I feel bad now.
context: I tried to stop him!\Wait!\Give it back!\I thought I told you already. There's none left'cause I ate it.\Got it?\That was three days' worth of food for his family!\You gotta be kidding me. Those table scraps?\Quit it, man. I feel bad now. response:	If you're fine with vomit, I'll give it back.
context: Wait!\Give it back!\I thought I told you already. There's none left'cause I ate it.\Got it?\That was three days' worth of food for his family!\You gotta be kidding me. Those table scraps?\Quit it, man. I feel bad now.\If you're fine with vomit, I'll give it back. response:	Pay him back for what you took!
context: Give it back!\I thought I told you already. There's none left'cause I ate it.\Got it?\That was three days' worth of food for his family!\You gotta be kidding me. Those table scraps?\Quit it, man. I feel bad now.\If you're fine with vomit, I'll give it back.\Pay him back for what you took! response:	Hey! Knock it off!
context: I thought I told you already. There's none left'cause I ate it.\Got it?\That was three days' worth of food for his family!\You gotta be kidding me. Those table scraps?\Quit it, man. I feel bad now.\If you're fine with vomit, I'll give it back.\Pay him back for what you took!\Hey! Knock it off! response:	Hey!
context: Got it?\That was three days' worth of food for his family!\You gotta be kidding me. Those table scraps?\Quit it, man. I feel bad now.\If you're fine with vomit, I'll give it back.\Pay him back for what you took!\Hey! Knock it off!\Hey! response:	You drunk, good-for-nothing soldiers!
context: That was three days' worth of food for his family!\You gotta be kidding me. Those table scraps?\Quit it, man. I feel bad now.\If you're fine with vomit, I'll give it back.\Pay him back for what you took!\Hey! Knock it off!\Hey!\You drunk, good-for-nothing soldiers! response:	Come and break up this fight!
context: You gotta be kidding me. Those table scraps?\Quit it, man. I feel bad now.\If you're fine with vomit, I'll give it back.\Pay him back for what you took!\Hey! Knock it off!\Hey!\You drunk, good-for-nothing soldiers!\Come and break up this fight! response:	Put a sock in it.
context: Quit it, man. I feel bad now.\If you're fine with vomit, I'll give it back.\Pay him back for what you took!\Hey! Knock it off!\Hey!\You drunk, good-for-nothing soldiers!\Come and break up this fight!\Put a sock in it. response:	Can't you see the kids are just fooling around?
context: If you're fine with vomit, I'll give it back.\Pay him back for what you took!\Hey! Knock it off!\Hey!\You drunk, good-for-nothing soldiers!\Come and break up this fight!\Put a sock in it.\Can't you see the kids are just fooling around? response:	Like hell they're fooling around! Come and stop'em!
context: Pay him back for what you took!\Hey! Knock it off!\Hey!\You drunk, good-for-nothing soldiers!\Come and break up this fight!\Put a sock in it.\Can't you see the kids are just fooling around?\Like hell they're fooling around! Come and stop'em! response:	It'll be fine, I'm telling ya.
context: Hey! Knock it off!\Hey!\You drunk, good-for-nothing soldiers!\Come and break up this fight!\Put a sock in it.\Can't you see the kids are just fooling around?\Like hell they're fooling around! Come and stop'em!\It'll be fine, I'm telling ya. response:	Someone will be along who can help more than we can.
context: Hey!\You drunk, good-for-nothing soldiers!\Come and break up this fight!\Put a sock in it.\Can't you see the kids are just fooling around?\Like hell they're fooling around! Come and stop'em!\It'll be fine, I'm telling ya.\Someone will be along who can help more than we can. response:	Huh?!
context: You drunk, good-for-nothing soldiers!\Come and break up this fight!\Put a sock in it.\Can't you see the kids are just fooling around?\Like hell they're fooling around! Come and stop'em!\It'll be fine, I'm telling ya.\Someone will be along who can help more than we can.\Huh?! response:	Eren!
context: Come and break up this fight!\Put a sock in it.\Can't you see the kids are just fooling around?\Like hell they're fooling around! Come and stop'em!\It'll be fine, I'm telling ya.\Someone will be along who can help more than we can.\Huh?!\Eren! response:	Eat this!
context: Put a sock in it.\Can't you see the kids are just fooling around?\Like hell they're fooling around! Come and stop'em!\It'll be fine, I'm telling ya.\Someone will be along who can help more than we can.\Huh?!\Eren!\Eat this! response:	It's Mikasa!
