context: Huh? That's strange' this goes here' response:	and this here'
context: Hey Kero-chan'\Tomorrow will be so much fun!\That's\your suit for the bazaar isn't it,\' Eriol?' Yes.\What? What? What are you talking about?\I'm home, Eriol.\I'm home, Suppi! response:	Who are you calling Suppi?
context: Tomorrow will be so much fun!\That's\your suit for the bazaar isn't it,\' Eriol?' Yes.\What? What? What are you talking about?\I'm home, Eriol.\I'm home, Suppi!\Who are you calling Suppi? response:	But,
context: That's\your suit for the bazaar isn't it,\' Eriol?' Yes.\What? What? What are you talking about?\I'm home, Eriol.\I'm home, Suppi!\Who are you calling Suppi?\But, response:	Suppi is so cute!
context: your suit for the bazaar isn't it,\' Eriol?' Yes.\What? What? What are you talking about?\I'm home, Eriol.\I'm home, Suppi!\Who are you calling Suppi?\But,\Suppi is so cute! response:	There's a bazaar at school tomorrow.
context: ' Eriol?' Yes.\What? What? What are you talking about?\I'm home, Eriol.\I'm home, Suppi!\Who are you calling Suppi?\But,\Suppi is so cute!\There's a bazaar at school tomorrow. response:	My class will be providing tea and snacks.
context: What? What? What are you talking about?\I'm home, Eriol.\I'm home, Suppi!\Who are you calling Suppi?\But,\Suppi is so cute!\There's a bazaar at school tomorrow.\My class will be providing tea and snacks. response:	If you wish to come, you may have some
context: I'm home, Eriol.\I'm home, Suppi!\Who are you calling Suppi?\But,\Suppi is so cute!\There's a bazaar at school tomorrow.\My class will be providing tea and snacks.\If you wish to come, you may have some response:	Really??
context: I'm home, Suppi!\Who are you calling Suppi?\But,\Suppi is so cute!\There's a bazaar at school tomorrow.\My class will be providing tea and snacks.\If you wish to come, you may have some\Really?? response:	I'm going for sure!
context: Who are you calling Suppi?\But,\Suppi is so cute!\There's a bazaar at school tomorrow.\My class will be providing tea and snacks.\If you wish to come, you may have some\Really??\I'm going for sure! response:	Suppi, you come too!
context: But,\Suppi is so cute!\There's a bazaar at school tomorrow.\My class will be providing tea and snacks.\If you wish to come, you may have some\Really??\I'm going for sure!\Suppi, you come too! response:	' No.' Eh? Why?
context: Suppi is so cute!\There's a bazaar at school tomorrow.\My class will be providing tea and snacks.\If you wish to come, you may have some\Really??\I'm going for sure!\Suppi, you come too!\' No.' Eh? Why? response:	I don't like sweet things.
context: There's a bazaar at school tomorrow.\My class will be providing tea and snacks.\If you wish to come, you may have some\Really??\I'm going for sure!\Suppi, you come too!\' No.' Eh? Why?\I don't like sweet things. response:	Why are you laughing?
context: My class will be providing tea and snacks.\If you wish to come, you may have some\Really??\I'm going for sure!\Suppi, you come too!\' No.' Eh? Why?\I don't like sweet things.\Why are you laughing? response:	You're the one
context: If you wish to come, you may have some\Really??\I'm going for sure!\Suppi, you come too!\' No.' Eh? Why?\I don't like sweet things.\Why are you laughing?\You're the one response:	who told me to stay away from them.
context: Really??\I'm going for sure!\Suppi, you come too!\' No.' Eh? Why?\I don't like sweet things.\Why are you laughing?\You're the one\who told me to stay away from them. response:	I didn't say never,
context: I'm going for sure!\Suppi, you come too!\' No.' Eh? Why?\I don't like sweet things.\Why are you laughing?\You're the one\who told me to stay away from them.\I didn't say never, response:	just don't eat so much you'd become fat.
context: Suppi, you come too!\' No.' Eh? Why?\I don't like sweet things.\Why are you laughing?\You're the one\who told me to stay away from them.\I didn't say never,\just don't eat so much you'd become fat. response:	' Sorry for making you wait.' Thank you.
context: ' No.' Eh? Why?\I don't like sweet things.\Why are you laughing?\You're the one\who told me to stay away from them.\I didn't say never,\just don't eat so much you'd become fat.\' Sorry for making you wait.' Thank you. response:	Sakura-chan makes such a cute waitress!
context: I don't like sweet things.\Why are you laughing?\You're the one\who told me to stay away from them.\I didn't say never,\just don't eat so much you'd become fat.\' Sorry for making you wait.' Thank you.\Sakura-chan makes such a cute waitress! response:	Tomoyo-chan!? Hoe!
context: Why are you laughing?\You're the one\who told me to stay away from them.\I didn't say never,\just don't eat so much you'd become fat.\' Sorry for making you wait.' Thank you.\Sakura-chan makes such a cute waitress!\Tomoyo-chan!? Hoe! response:	By the way, what did you do with Kero-chan?
context: You're the one\who told me to stay away from them.\I didn't say never,\just don't eat so much you'd become fat.\' Sorry for making you wait.' Thank you.\Sakura-chan makes such a cute waitress!\Tomoyo-chan!? Hoe!\By the way, what did you do with Kero-chan? response:	He's hidden
context: who told me to stay away from them.\I didn't say never,\just don't eat so much you'd become fat.\' Sorry for making you wait.' Thank you.\Sakura-chan makes such a cute waitress!\Tomoyo-chan!? Hoe!\By the way, what did you do with Kero-chan?\He's hidden response:	in the woods out back.
context: I didn't say never,\just don't eat so much you'd become fat.\' Sorry for making you wait.' Thank you.\Sakura-chan makes such a cute waitress!\Tomoyo-chan!? Hoe!\By the way, what did you do with Kero-chan?\He's hidden\in the woods out back. response:	Kero-chan.
context: just don't eat so much you'd become fat.\' Sorry for making you wait.' Thank you.\Sakura-chan makes such a cute waitress!\Tomoyo-chan!? Hoe!\By the way, what did you do with Kero-chan?\He's hidden\in the woods out back.\Kero-chan. response:	Will he be alright there?
context: ' Sorry for making you wait.' Thank you.\Sakura-chan makes such a cute waitress!\Tomoyo-chan!? Hoe!\By the way, what did you do with Kero-chan?\He's hidden\in the woods out back.\Kero-chan.\Will he be alright there? response:	He just wants to have lots of snacks.
context: Sakura-chan makes such a cute waitress!\Tomoyo-chan!? Hoe!\By the way, what did you do with Kero-chan?\He's hidden\in the woods out back.\Kero-chan.\Will he be alright there?\He just wants to have lots of snacks. response:	Yummy!
context: Tomoyo-chan!? Hoe!\By the way, what did you do with Kero-chan?\He's hidden\in the woods out back.\Kero-chan.\Will he be alright there?\He just wants to have lots of snacks.\Yummy! response:	This is so great!
context: By the way, what did you do with Kero-chan?\He's hidden\in the woods out back.\Kero-chan.\Will he be alright there?\He just wants to have lots of snacks.\Yummy!\This is so great! response:	Lots of people have
context: He's hidden\in the woods out back.\Kero-chan.\Will he be alright there?\He just wants to have lots of snacks.\Yummy!\This is so great!\Lots of people have response:	come to the bazaar this year.
context: in the woods out back.\Kero-chan.\Will he be alright there?\He just wants to have lots of snacks.\Yummy!\This is so great!\Lots of people have\come to the bazaar this year. response:	Really.
context: Kero-chan.\Will he be alright there?\He just wants to have lots of snacks.\Yummy!\This is so great!\Lots of people have\come to the bazaar this year.\Really. response:	About bazaars,
context: Will he be alright there?\He just wants to have lots of snacks.\Yummy!\This is so great!\Lots of people have\come to the bazaar this year.\Really.\About bazaars, response:	the word bazaar originated with the Nigerians.
context: He just wants to have lots of snacks.\Yummy!\This is so great!\Lots of people have\come to the bazaar this year.\Really.\About bazaars,\the word bazaar originated with the Nigerians. response:	At festivals they
context: Yummy!\This is so great!\Lots of people have\come to the bazaar this year.\Really.\About bazaars,\the word bazaar originated with the Nigerians.\At festivals they response:	used to call Zabaa, zabaa'
context: This is so great!\Lots of people have\come to the bazaar this year.\Really.\About bazaars,\the word bazaar originated with the Nigerians.\At festivals they\used to call Zabaa, zabaa' response:	and so it was called Bazaa and
context: Lots of people have\come to the bazaar this year.\Really.\About bazaars,\the word bazaar originated with the Nigerians.\At festivals they\used to call Zabaa, zabaa'\and so it was called Bazaa and response:	Whatever. Take this to table 3 ok?
context: come to the bazaar this year.\Really.\About bazaars,\the word bazaar originated with the Nigerians.\At festivals they\used to call Zabaa, zabaa'\and so it was called Bazaa and\Whatever. Take this to table 3 ok? response:	In those times,
context: Really.\About bazaars,\the word bazaar originated with the Nigerians.\At festivals they\used to call Zabaa, zabaa'\and so it was called Bazaa and\Whatever. Take this to table 3 ok?\In those times, response:	the most famous booths were'
context: About bazaars,\the word bazaar originated with the Nigerians.\At festivals they\used to call Zabaa, zabaa'\and so it was called Bazaa and\Whatever. Take this to table 3 ok?\In those times,\the most famous booths were' response:	Well done, Chiharu-chan!
context: the word bazaar originated with the Nigerians.\At festivals they\used to call Zabaa, zabaa'\and so it was called Bazaa and\Whatever. Take this to table 3 ok?\In those times,\the most famous booths were'\Well done, Chiharu-chan! response:	Sure.
context: At festivals they\used to call Zabaa, zabaa'\and so it was called Bazaa and\Whatever. Take this to table 3 ok?\In those times,\the most famous booths were'\Well done, Chiharu-chan!\Sure. response:	Well, he's always the same.
context: used to call Zabaa, zabaa'\and so it was called Bazaa and\Whatever. Take this to table 3 ok?\In those times,\the most famous booths were'\Well done, Chiharu-chan!\Sure.\Well, he's always the same. response:	Sorry for making you wait.
context: and so it was called Bazaa and\Whatever. Take this to table 3 ok?\In those times,\the most famous booths were'\Well done, Chiharu-chan!\Sure.\Well, he's always the same.\Sorry for making you wait. response:	Thank you.
context: Whatever. Take this to table 3 ok?\In those times,\the most famous booths were'\Well done, Chiharu-chan!\Sure.\Well, he's always the same.\Sorry for making you wait.\Thank you. response:	You were in charge of decorating the class,
context: In those times,\the most famous booths were'\Well done, Chiharu-chan!\Sure.\Well, he's always the same.\Sorry for making you wait.\Thank you.\You were in charge of decorating the class, response:	weren't you?
context: the most famous booths were'\Well done, Chiharu-chan!\Sure.\Well, he's always the same.\Sorry for making you wait.\Thank you.\You were in charge of decorating the class,\weren't you? response:	Yes!
context: Well done, Chiharu-chan!\Sure.\Well, he's always the same.\Sorry for making you wait.\Thank you.\You were in charge of decorating the class,\weren't you?\Yes! response:	It looks very nice. Well done.
context: Sure.\Well, he's always the same.\Sorry for making you wait.\Thank you.\You were in charge of decorating the class,\weren't you?\Yes!\It looks very nice. Well done. response:	You two look very handsome.
context: Well, he's always the same.\Sorry for making you wait.\Thank you.\You were in charge of decorating the class,\weren't you?\Yes!\It looks very nice. Well done.\You two look very handsome. response:	Thank you very much!
context: Sorry for making you wait.\Thank you.\You were in charge of decorating the class,\weren't you?\Yes!\It looks very nice. Well done.\You two look very handsome.\Thank you very much! response:	You look very fine as well.
context: Thank you.\You were in charge of decorating the class,\weren't you?\Yes!\It looks very nice. Well done.\You two look very handsome.\Thank you very much!\You look very fine as well. response:	Eh? Um thank you.
context: You were in charge of decorating the class,\weren't you?\Yes!\It looks very nice. Well done.\You two look very handsome.\Thank you very much!\You look very fine as well.\Eh? Um thank you. response:	What is it?
context: weren't you?\Yes!\It looks very nice. Well done.\You two look very handsome.\Thank you very much!\You look very fine as well.\Eh? Um thank you.\What is it? response:	Nothing!
context: Yes!\It looks very nice. Well done.\You two look very handsome.\Thank you very much!\You look very fine as well.\Eh? Um thank you.\What is it?\Nothing! response:	Two more orders please.
context: It looks very nice. Well done.\You two look very handsome.\Thank you very much!\You look very fine as well.\Eh? Um thank you.\What is it?\Nothing!\Two more orders please. response:	Sorry for mak' ah!
context: You two look very handsome.\Thank you very much!\You look very fine as well.\Eh? Um thank you.\What is it?\Nothing!\Two more orders please.\Sorry for mak' ah! response:	' Good afternoon!' Yukito-san!
context: Thank you very much!\You look very fine as well.\Eh? Um thank you.\What is it?\Nothing!\Two more orders please.\Sorry for mak' ah!\' Good afternoon!' Yukito-san! response:	Thank you for inviting me.
context: You look very fine as well.\Eh? Um thank you.\What is it?\Nothing!\Two more orders please.\Sorry for mak' ah!\' Good afternoon!' Yukito-san!\Thank you for inviting me. response:	B' Brother!
context: Eh? Um thank you.\What is it?\Nothing!\Two more orders please.\Sorry for mak' ah!\' Good afternoon!' Yukito-san!\Thank you for inviting me.\B' Brother! response:	Well' ready to eat.
context: What is it?\Nothing!\Two more orders please.\Sorry for mak' ah!\' Good afternoon!' Yukito-san!\Thank you for inviting me.\B' Brother!\Well' ready to eat. response:	Looks cute.
context: Nothing!\Two more orders please.\Sorry for mak' ah!\' Good afternoon!' Yukito-san!\Thank you for inviting me.\B' Brother!\Well' ready to eat.\Looks cute. response:	The outfit.
context: Two more orders please.\Sorry for mak' ah!\' Good afternoon!' Yukito-san!\Thank you for inviting me.\B' Brother!\Well' ready to eat.\Looks cute.\The outfit. response:	Teasing again? It was Sakura I meant.
context: Sorry for mak' ah!\' Good afternoon!' Yukito-san!\Thank you for inviting me.\B' Brother!\Well' ready to eat.\Looks cute.\The outfit.\Teasing again? It was Sakura I meant. response:	Yuki, have you forgotten your glasses?
context: ' Good afternoon!' Yukito-san!\Thank you for inviting me.\B' Brother!\Well' ready to eat.\Looks cute.\The outfit.\Teasing again? It was Sakura I meant.\Yuki, have you forgotten your glasses? response:	No I haven't.
context: Thank you for inviting me.\B' Brother!\Well' ready to eat.\Looks cute.\The outfit.\Teasing again? It was Sakura I meant.\Yuki, have you forgotten your glasses?\No I haven't. response:	I'll get you some more ok?
context: B' Brother!\Well' ready to eat.\Looks cute.\The outfit.\Teasing again? It was Sakura I meant.\Yuki, have you forgotten your glasses?\No I haven't.\I'll get you some more ok? response:	What is it?
context: Well' ready to eat.\Looks cute.\The outfit.\Teasing again? It was Sakura I meant.\Yuki, have you forgotten your glasses?\No I haven't.\I'll get you some more ok?\What is it? response:	Nothing, just an odd aura.
context: Looks cute.\The outfit.\Teasing again? It was Sakura I meant.\Yuki, have you forgotten your glasses?\No I haven't.\I'll get you some more ok?\What is it?\Nothing, just an odd aura. response:	It seems that Sakura-san's older brother
context: The outfit.\Teasing again? It was Sakura I meant.\Yuki, have you forgotten your glasses?\No I haven't.\I'll get you some more ok?\What is it?\Nothing, just an odd aura.\It seems that Sakura-san's older brother response:	has noticed me.
context: Teasing again? It was Sakura I meant.\Yuki, have you forgotten your glasses?\No I haven't.\I'll get you some more ok?\What is it?\Nothing, just an odd aura.\It seems that Sakura-san's older brother\has noticed me. response:	I shall have to be careful.
context: Yuki, have you forgotten your glasses?\No I haven't.\I'll get you some more ok?\What is it?\Nothing, just an odd aura.\It seems that Sakura-san's older brother\has noticed me.\I shall have to be careful. response:	This is good!
context: No I haven't.\I'll get you some more ok?\What is it?\Nothing, just an odd aura.\It seems that Sakura-san's older brother\has noticed me.\I shall have to be careful.\This is good! response:	This is good!
context: I'll get you some more ok?\What is it?\Nothing, just an odd aura.\It seems that Sakura-san's older brother\has noticed me.\I shall have to be careful.\This is good!\This is good! response:	Candy! Candy! Ca'n'dy!
context: What is it?\Nothing, just an odd aura.\It seems that Sakura-san's older brother\has noticed me.\I shall have to be careful.\This is good!\This is good!\Candy! Candy! Ca'n'dy! response:	Oh no, someone's coming.
context: Nothing, just an odd aura.\It seems that Sakura-san's older brother\has noticed me.\I shall have to be careful.\This is good!\This is good!\Candy! Candy! Ca'n'dy!\Oh no, someone's coming. response:	Sweet chocolate
context: It seems that Sakura-san's older brother\has noticed me.\I shall have to be careful.\This is good!\This is good!\Candy! Candy! Ca'n'dy!\Oh no, someone's coming.\Sweet chocolate response:	and coo'kies! I must eat them quickly!
context: has noticed me.\I shall have to be careful.\This is good!\This is good!\Candy! Candy! Ca'n'dy!\Oh no, someone's coming.\Sweet chocolate\and coo'kies! I must eat them quickly! response:	Suppi are you sure you don't want any?
context: I shall have to be careful.\This is good!\This is good!\Candy! Candy! Ca'n'dy!\Oh no, someone's coming.\Sweet chocolate\and coo'kies! I must eat them quickly!\Suppi are you sure you don't want any? response:	' Quite sure.' Why?
context: This is good!\This is good!\Candy! Candy! Ca'n'dy!\Oh no, someone's coming.\Sweet chocolate\and coo'kies! I must eat them quickly!\Suppi are you sure you don't want any?\' Quite sure.' Why? response:	I'll eat them all
context: This is good!\Candy! Candy! Ca'n'dy!\Oh no, someone's coming.\Sweet chocolate\and coo'kies! I must eat them quickly!\Suppi are you sure you don't want any?\' Quite sure.' Why?\I'll eat them all response:	Do as you wish.
context: Candy! Candy! Ca'n'dy!\Oh no, someone's coming.\Sweet chocolate\and coo'kies! I must eat them quickly!\Suppi are you sure you don't want any?\' Quite sure.' Why?\I'll eat them all\Do as you wish. response:	Ok, I'm going then!
context: Oh no, someone's coming.\Sweet chocolate\and coo'kies! I must eat them quickly!\Suppi are you sure you don't want any?\' Quite sure.' Why?\I'll eat them all\Do as you wish.\Ok, I'm going then! response:	Wait there
context: Sweet chocolate\and coo'kies! I must eat them quickly!\Suppi are you sure you don't want any?\' Quite sure.' Why?\I'll eat them all\Do as you wish.\Ok, I'm going then!\Wait there response:	and we'll go home together!
context: and coo'kies! I must eat them quickly!\Suppi are you sure you don't want any?\' Quite sure.' Why?\I'll eat them all\Do as you wish.\Ok, I'm going then!\Wait there\and we'll go home together! response:	Chocolate and sweets'
context: Suppi are you sure you don't want any?\' Quite sure.' Why?\I'll eat them all\Do as you wish.\Ok, I'm going then!\Wait there\and we'll go home together!\Chocolate and sweets' response:	Are very good to eat.
context: ' Quite sure.' Why?\I'll eat them all\Do as you wish.\Ok, I'm going then!\Wait there\and we'll go home together!\Chocolate and sweets'\Are very good to eat. response:	Don't you know' it's so much fun to eat'
context: I'll eat them all\Do as you wish.\Ok, I'm going then!\Wait there\and we'll go home together!\Chocolate and sweets'\Are very good to eat.\Don't you know' it's so much fun to eat' response:	something that is sweet!
context: Do as you wish.\Ok, I'm going then!\Wait there\and we'll go home together!\Chocolate and sweets'\Are very good to eat.\Don't you know' it's so much fun to eat'\something that is sweet! response:	There's no one here.
context: Ok, I'm going then!\Wait there\and we'll go home together!\Chocolate and sweets'\Are very good to eat.\Don't you know' it's so much fun to eat'\something that is sweet!\There's no one here. response:	I'll finally get some peace and quiet.
context: Wait there\and we'll go home together!\Chocolate and sweets'\Are very good to eat.\Don't you know' it's so much fun to eat'\something that is sweet!\There's no one here.\I'll finally get some peace and quiet. response:	Ah! That was close!
context: and we'll go home together!\Chocolate and sweets'\Are very good to eat.\Don't you know' it's so much fun to eat'\something that is sweet!\There's no one here.\I'll finally get some peace and quiet.\Ah! That was close! response:	Time to eat some more!
context: Chocolate and sweets'\Are very good to eat.\Don't you know' it's so much fun to eat'\something that is sweet!\There's no one here.\I'll finally get some peace and quiet.\Ah! That was close!\Time to eat some more! response:	Kerberos'
context: Are very good to eat.\Don't you know' it's so much fun to eat'\something that is sweet!\There's no one here.\I'll finally get some peace and quiet.\Ah! That was close!\Time to eat some more!\Kerberos' response:	Who'?
context: Don't you know' it's so much fun to eat'\something that is sweet!\There's no one here.\I'll finally get some peace and quiet.\Ah! That was close!\Time to eat some more!\Kerberos'\Who'? response:	This isn't good'
context: something that is sweet!\There's no one here.\I'll finally get some peace and quiet.\Ah! That was close!\Time to eat some more!\Kerberos'\Who'?\This isn't good' response:	this is not the proper time for out meeting.
context: There's no one here.\I'll finally get some peace and quiet.\Ah! That was close!\Time to eat some more!\Kerberos'\Who'?\This isn't good'\this is not the proper time for out meeting. response:	I'll tell Eriol later.
context: I'll finally get some peace and quiet.\Ah! That was close!\Time to eat some more!\Kerberos'\Who'?\This isn't good'\this is not the proper time for out meeting.\I'll tell Eriol later. response:	You'
context: Ah! That was close!\Time to eat some more!\Kerberos'\Who'?\This isn't good'\this is not the proper time for out meeting.\I'll tell Eriol later.\You' response:	you'
context: Time to eat some more!\Kerberos'\Who'?\This isn't good'\this is not the proper time for out meeting.\I'll tell Eriol later.\You'\you' response:	have a big head.
context: Kerberos'\Who'?\This isn't good'\this is not the proper time for out meeting.\I'll tell Eriol later.\You'\you'\have a big head. response:	My head is no bigger than yours!
context: Who'?\This isn't good'\this is not the proper time for out meeting.\I'll tell Eriol later.\You'\you'\have a big head.\My head is no bigger than yours! response:	If I am careless,
context: This isn't good'\this is not the proper time for out meeting.\I'll tell Eriol later.\You'\you'\have a big head.\My head is no bigger than yours!\If I am careless, response:	he would have figured out.
context: this is not the proper time for out meeting.\I'll tell Eriol later.\You'\you'\have a big head.\My head is no bigger than yours!\If I am careless,\he would have figured out. response:	I can only tolerate!
context: I'll tell Eriol later.\You'\you'\have a big head.\My head is no bigger than yours!\If I am careless,\he would have figured out.\I can only tolerate! response:	Wow! A talking toy?
context: You'\you'\have a big head.\My head is no bigger than yours!\If I am careless,\he would have figured out.\I can only tolerate!\Wow! A talking toy? response:	I'm not.
context: you'\have a big head.\My head is no bigger than yours!\If I am careless,\he would have figured out.\I can only tolerate!\Wow! A talking toy?\I'm not. response:	Ah, I didn't know there were such strange animals in Japan.
context: have a big head.\My head is no bigger than yours!\If I am careless,\he would have figured out.\I can only tolerate!\Wow! A talking toy?\I'm not.\Ah, I didn't know there were such strange animals in Japan. response:	And you speak the human language too!
context: My head is no bigger than yours!\If I am careless,\he would have figured out.\I can only tolerate!\Wow! A talking toy?\I'm not.\Ah, I didn't know there were such strange animals in Japan.\And you speak the human language too! response:	Huh, wait a minute. Your form.
context: If I am careless,\he would have figured out.\I can only tolerate!\Wow! A talking toy?\I'm not.\Ah, I didn't know there were such strange animals in Japan.\And you speak the human language too!\Huh, wait a minute. Your form. response:	Those wings. That tail.
context: he would have figured out.\I can only tolerate!\Wow! A talking toy?\I'm not.\Ah, I didn't know there were such strange animals in Japan.\And you speak the human language too!\Huh, wait a minute. Your form.\Those wings. That tail. response:	That round face!
context: I can only tolerate!\Wow! A talking toy?\I'm not.\Ah, I didn't know there were such strange animals in Japan.\And you speak the human language too!\Huh, wait a minute. Your form.\Those wings. That tail.\That round face! response:	He figured it out.
context: Wow! A talking toy?\I'm not.\Ah, I didn't know there were such strange animals in Japan.\And you speak the human language too!\Huh, wait a minute. Your form.\Those wings. That tail.\That round face!\He figured it out. response:	A fairy?
context: I'm not.\Ah, I didn't know there were such strange animals in Japan.\And you speak the human language too!\Huh, wait a minute. Your form.\Those wings. That tail.\That round face!\He figured it out.\A fairy? response:	No matter it is me, or snoopy,
context: Ah, I didn't know there were such strange animals in Japan.\And you speak the human language too!\Huh, wait a minute. Your form.\Those wings. That tail.\That round face!\He figured it out.\A fairy?\No matter it is me, or snoopy, response:	under the body-borrow circumstances.
context: And you speak the human language too!\Huh, wait a minute. Your form.\Those wings. That tail.\That round face!\He figured it out.\A fairy?\No matter it is me, or snoopy,\under the body-borrow circumstances. response:	I know our magic is hidden in these forms
context: Huh, wait a minute. Your form.\Those wings. That tail.\That round face!\He figured it out.\A fairy?\No matter it is me, or snoopy,\under the body-borrow circumstances.\I know our magic is hidden in these forms response:	and he can't sense a thing.
context: Those wings. That tail.\That round face!\He figured it out.\A fairy?\No matter it is me, or snoopy,\under the body-borrow circumstances.\I know our magic is hidden in these forms\and he can't sense a thing. response:	But a FAIRY!?
context: That round face!\He figured it out.\A fairy?\No matter it is me, or snoopy,\under the body-borrow circumstances.\I know our magic is hidden in these forms\and he can't sense a thing.\But a FAIRY!? response:	How would you like to be called a fairy?
context: He figured it out.\A fairy?\No matter it is me, or snoopy,\under the body-borrow circumstances.\I know our magic is hidden in these forms\and he can't sense a thing.\But a FAIRY!?\How would you like to be called a fairy? response:	That must be it.
context: A fairy?\No matter it is me, or snoopy,\under the body-borrow circumstances.\I know our magic is hidden in these forms\and he can't sense a thing.\But a FAIRY!?\How would you like to be called a fairy?\That must be it. response:	Wow this is the first time I've met a fairy.
context: No matter it is me, or snoopy,\under the body-borrow circumstances.\I know our magic is hidden in these forms\and he can't sense a thing.\But a FAIRY!?\How would you like to be called a fairy?\That must be it.\Wow this is the first time I've met a fairy. response:	I'm Kerberos,
context: under the body-borrow circumstances.\I know our magic is hidden in these forms\and he can't sense a thing.\But a FAIRY!?\How would you like to be called a fairy?\That must be it.\Wow this is the first time I've met a fairy.\I'm Kerberos, response:	the magical beast created
context: I know our magic is hidden in these forms\and he can't sense a thing.\But a FAIRY!?\How would you like to be called a fairy?\That must be it.\Wow this is the first time I've met a fairy.\I'm Kerberos,\the magical beast created response:	by Clow Reed.
context: and he can't sense a thing.\But a FAIRY!?\How would you like to be called a fairy?\That must be it.\Wow this is the first time I've met a fairy.\I'm Kerberos,\the magical beast created\by Clow Reed. response:	But I don't really look like this.
context: But a FAIRY!?\How would you like to be called a fairy?\That must be it.\Wow this is the first time I've met a fairy.\I'm Kerberos,\the magical beast created\by Clow Reed.\But I don't really look like this. response:	My real form
