context: We've sealed off all the entrances around the airport. response:	However, there is still no sign of BK201.
context: That's right. Nobody is angry in an aquarium.\No...\That's not it! The mom I knew always used to smile!\Let go of me!\Let's go to the aquarium!\Maybe then, you'll...\Aquarium? What are you talking about?\Hey! response:	You guys...!
context: No...\That's not it! The mom I knew always used to smile!\Let go of me!\Let's go to the aquarium!\Maybe then, you'll...\Aquarium? What are you talking about?\Hey!\You guys...! response:	Tsukiakari no michishirube
context: That's not it! The mom I knew always used to smile!\Let go of me!\Let's go to the aquarium!\Maybe then, you'll...\Aquarium? What are you talking about?\Hey!\You guys...!\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Let go of me!\Let's go to the aquarium!\Maybe then, you'll...\Aquarium? What are you talking about?\Hey!\You guys...!\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: Let's go to the aquarium!\Maybe then, you'll...\Aquarium? What are you talking about?\Hey!\You guys...!\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Maybe then, you'll...\Aquarium? What are you talking about?\Hey!\You guys...!\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: Aquarium? What are you talking about?\Hey!\You guys...!\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Hey!\You guys...!\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: You guys...!\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Nee dareka oshiete
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete response:	Hey, someone, tell me
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me response:	Minna sou na no kana?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana? response:	Is everyone like that?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that? response:	Kyou ga shiawase nara
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara response:	That they'feel it's good enough
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough response:	Sore de ii to omoeru tte
context: No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte response:	if they're if happy today'
context: Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today' response:	Osanai koro ni wa
context: Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa response:	When I was young
context: Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young response:	Tashika ni atta yo
context: Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo response:	They certainly existed
context: Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed response:	Yume o oikaketeta
context: That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta response:	I pursued my dreams
context: Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams response:	Demo sore mo tooi kioku
context: if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku response:	But that's also a distant memory
context: Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory response:	Kotae no nai mainichi ga
context: When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga response:	The each unanswered day-
context: Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day- response:	Tada sugite iku jikan ga
context: They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga response:	The time that is simply passing by-
context: Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by- response:	Kore kara saki dou naru no darou?
context: I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou? response:	What will happen beyond now?
context: Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now? response:	Wakaranai...
context: But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai... response:	They don't know...
context: Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know... response:	Tsukiakari no michishirube
context: The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	I have to go.
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\I have to go. response:	To the aquarium?
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\I have to go.\To the aquarium? response:	Both Mom and Shion smiled at that place.
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\I have to go.\To the aquarium?\Both Mom and Shion smiled at that place. response:	I want to go back to those days.
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\I have to go.\To the aquarium?\Both Mom and Shion smiled at that place.\I want to go back to those days. response:	Keep it a secret.
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\I have to go.\To the aquarium?\Both Mom and Shion smiled at that place.\I want to go back to those days.\Keep it a secret. response:	Keep it a secret... between us.
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\I have to go.\To the aquarium?\Both Mom and Shion smiled at that place.\I want to go back to those days.\Keep it a secret.\Keep it a secret... between us. response:	Synchronization noise in the interior system detected.
context: No matter how broken today looks\I have to go.\To the aquarium?\Both Mom and Shion smiled at that place.\I want to go back to those days.\Keep it a secret.\Keep it a secret... between us.\Synchronization noise in the interior system detected. response:	The probability of surveillance has fallen drastically.
context: I have to go.\To the aquarium?\Both Mom and Shion smiled at that place.\I want to go back to those days.\Keep it a secret.\Keep it a secret... between us.\Synchronization noise in the interior system detected.\The probability of surveillance has fallen drastically. response:	What?
context: To the aquarium?\Both Mom and Shion smiled at that place.\I want to go back to those days.\Keep it a secret.\Keep it a secret... between us.\Synchronization noise in the interior system detected.\The probability of surveillance has fallen drastically.\What? response:	There are several tiny holes in the network.
context: Both Mom and Shion smiled at that place.\I want to go back to those days.\Keep it a secret.\Keep it a secret... between us.\Synchronization noise in the interior system detected.\The probability of surveillance has fallen drastically.\What?\There are several tiny holes in the network. response:	What's going on here?!
context: I want to go back to those days.\Keep it a secret.\Keep it a secret... between us.\Synchronization noise in the interior system detected.\The probability of surveillance has fallen drastically.\What?\There are several tiny holes in the network.\What's going on here?! response:	There's no way I'd find him by blindly looking around...
context: Keep it a secret.\Keep it a secret... between us.\Synchronization noise in the interior system detected.\The probability of surveillance has fallen drastically.\What?\There are several tiny holes in the network.\What's going on here?!\There's no way I'd find him by blindly looking around... response:	All right.
context: Keep it a secret... between us.\Synchronization noise in the interior system detected.\The probability of surveillance has fallen drastically.\What?\There are several tiny holes in the network.\What's going on here?!\There's no way I'd find him by blindly looking around...\All right. response:	Good morning.
context: Synchronization noise in the interior system detected.\The probability of surveillance has fallen drastically.\What?\There are several tiny holes in the network.\What's going on here?!\There's no way I'd find him by blindly looking around...\All right.\Good morning. response:	You'll catch a cold if you sleep there.
context: The probability of surveillance has fallen drastically.\What?\There are several tiny holes in the network.\What's going on here?!\There's no way I'd find him by blindly looking around...\All right.\Good morning.\You'll catch a cold if you sleep there. response:	Good morning.
context: What?\There are several tiny holes in the network.\What's going on here?!\There's no way I'd find him by blindly looking around...\All right.\Good morning.\You'll catch a cold if you sleep there.\Good morning. response:	I heard that you were accompanied by a male doll, but I didn't expect it to be him.
context: There are several tiny holes in the network.\What's going on here?!\There's no way I'd find him by blindly looking around...\All right.\Good morning.\You'll catch a cold if you sleep there.\Good morning.\I heard that you were accompanied by a male doll, but I didn't expect it to be him. response:	How have you been?
context: What's going on here?!\There's no way I'd find him by blindly looking around...\All right.\Good morning.\You'll catch a cold if you sleep there.\Good morning.\I heard that you were accompanied by a male doll, but I didn't expect it to be him.\How have you been? response:	Normal.
context: There's no way I'd find him by blindly looking around...\All right.\Good morning.\You'll catch a cold if you sleep there.\Good morning.\I heard that you were accompanied by a male doll, but I didn't expect it to be him.\How have you been?\Normal. response:	I see. That's the best.
context: All right.\Good morning.\You'll catch a cold if you sleep there.\Good morning.\I heard that you were accompanied by a male doll, but I didn't expect it to be him.\How have you been?\Normal.\I see. That's the best. response:	Isn't BK201 with you?
context: Good morning.\You'll catch a cold if you sleep there.\Good morning.\I heard that you were accompanied by a male doll, but I didn't expect it to be him.\How have you been?\Normal.\I see. That's the best.\Isn't BK201 with you? response:	He...
context: You'll catch a cold if you sleep there.\Good morning.\I heard that you were accompanied by a male doll, but I didn't expect it to be him.\How have you been?\Normal.\I see. That's the best.\Isn't BK201 with you?\He... response:	He becomes violent very easily, forces me to do some strange training,
context: Good morning.\I heard that you were accompanied by a male doll, but I didn't expect it to be him.\How have you been?\Normal.\I see. That's the best.\Isn't BK201 with you?\He...\He becomes violent very easily, forces me to do some strange training, response:	and is a good for nothing drunkard.
context: I heard that you were accompanied by a male doll, but I didn't expect it to be him.\How have you been?\Normal.\I see. That's the best.\Isn't BK201 with you?\He...\He becomes violent very easily, forces me to do some strange training,\and is a good for nothing drunkard. response:	But he stopped drinking.
context: How have you been?\Normal.\I see. That's the best.\Isn't BK201 with you?\He...\He becomes violent very easily, forces me to do some strange training,\and is a good for nothing drunkard.\But he stopped drinking. response:	You're a girl, aren't you?
context: Normal.\I see. That's the best.\Isn't BK201 with you?\He...\He becomes violent very easily, forces me to do some strange training,\and is a good for nothing drunkard.\But he stopped drinking.\You're a girl, aren't you? response:	So you thought I was Shion too.
context: I see. That's the best.\Isn't BK201 with you?\He...\He becomes violent very easily, forces me to do some strange training,\and is a good for nothing drunkard.\But he stopped drinking.\You're a girl, aren't you?\So you thought I was Shion too. response:	I'm not Shion.
context: Isn't BK201 with you?\He...\He becomes violent very easily, forces me to do some strange training,\and is a good for nothing drunkard.\But he stopped drinking.\You're a girl, aren't you?\So you thought I was Shion too.\I'm not Shion. response:	I might not even be Suou.
context: He...\He becomes violent very easily, forces me to do some strange training,\and is a good for nothing drunkard.\But he stopped drinking.\You're a girl, aren't you?\So you thought I was Shion too.\I'm not Shion.\I might not even be Suou. response:	What are you saying?
context: He becomes violent very easily, forces me to do some strange training,\and is a good for nothing drunkard.\But he stopped drinking.\You're a girl, aren't you?\So you thought I was Shion too.\I'm not Shion.\I might not even be Suou.\What are you saying? response:	No way...
context: and is a good for nothing drunkard.\But he stopped drinking.\You're a girl, aren't you?\So you thought I was Shion too.\I'm not Shion.\I might not even be Suou.\What are you saying?\No way... response:	Maybe you mixed it up?
context: But he stopped drinking.\You're a girl, aren't you?\So you thought I was Shion too.\I'm not Shion.\I might not even be Suou.\What are you saying?\No way...\Maybe you mixed it up? response:	The area around the aquarium has been off-limits for thirteen years now.
context: You're a girl, aren't you?\So you thought I was Shion too.\I'm not Shion.\I might not even be Suou.\What are you saying?\No way...\Maybe you mixed it up?\The area around the aquarium has been off-limits for thirteen years now. response:	Here you go.
context: So you thought I was Shion too.\I'm not Shion.\I might not even be Suou.\What are you saying?\No way...\Maybe you mixed it up?\The area around the aquarium has been off-limits for thirteen years now.\Here you go. response:	And you too.
context: I'm not Shion.\I might not even be Suou.\What are you saying?\No way...\Maybe you mixed it up?\The area around the aquarium has been off-limits for thirteen years now.\Here you go.\And you too. response:	Am I mixing it up?
context: I might not even be Suou.\What are you saying?\No way...\Maybe you mixed it up?\The area around the aquarium has been off-limits for thirteen years now.\Here you go.\And you too.\Am I mixing it up? response:	This is yours, right?
context: What are you saying?\No way...\Maybe you mixed it up?\The area around the aquarium has been off-limits for thirteen years now.\Here you go.\And you too.\Am I mixing it up?\This is yours, right? response:	Mom taught me how to fold this.
context: No way...\Maybe you mixed it up?\The area around the aquarium has been off-limits for thirteen years now.\Here you go.\And you too.\Am I mixing it up?\This is yours, right?\Mom taught me how to fold this. response:	There's no way I'm mistaken.
context: Maybe you mixed it up?\The area around the aquarium has been off-limits for thirteen years now.\Here you go.\And you too.\Am I mixing it up?\This is yours, right?\Mom taught me how to fold this.\There's no way I'm mistaken. response:	I remember everything as if it was yesterday.
context: The area around the aquarium has been off-limits for thirteen years now.\Here you go.\And you too.\Am I mixing it up?\This is yours, right?\Mom taught me how to fold this.\There's no way I'm mistaken.\I remember everything as if it was yesterday. response:	About my mom and the aquarium...
context: Here you go.\And you too.\Am I mixing it up?\This is yours, right?\Mom taught me how to fold this.\There's no way I'm mistaken.\I remember everything as if it was yesterday.\About my mom and the aquarium... response:	Maybe it's related to Mikhail Pavlichenko's life and death.
context: And you too.\Am I mixing it up?\This is yours, right?\Mom taught me how to fold this.\There's no way I'm mistaken.\I remember everything as if it was yesterday.\About my mom and the aquarium...\Maybe it's related to Mikhail Pavlichenko's life and death. response:	But my father's already...
context: Am I mixing it up?\This is yours, right?\Mom taught me how to fold this.\There's no way I'm mistaken.\I remember everything as if it was yesterday.\About my mom and the aquarium...\Maybe it's related to Mikhail Pavlichenko's life and death.\But my father's already... response:	Looks like I've got a lot of things to figure out.
context: This is yours, right?\Mom taught me how to fold this.\There's no way I'm mistaken.\I remember everything as if it was yesterday.\About my mom and the aquarium...\Maybe it's related to Mikhail Pavlichenko's life and death.\But my father's already...\Looks like I've got a lot of things to figure out. response:	My god... how did this happen?
context: Mom taught me how to fold this.\There's no way I'm mistaken.\I remember everything as if it was yesterday.\About my mom and the aquarium...\Maybe it's related to Mikhail Pavlichenko's life and death.\But my father's already...\Looks like I've got a lot of things to figure out.\My god... how did this happen? response:	So that's her mother...
context: There's no way I'm mistaken.\I remember everything as if it was yesterday.\About my mom and the aquarium...\Maybe it's related to Mikhail Pavlichenko's life and death.\But my father's already...\Looks like I've got a lot of things to figure out.\My god... how did this happen?\So that's her mother... response:	She's younger than I thought.
context: I remember everything as if it was yesterday.\About my mom and the aquarium...\Maybe it's related to Mikhail Pavlichenko's life and death.\But my father's already...\Looks like I've got a lot of things to figure out.\My god... how did this happen?\So that's her mother...\She's younger than I thought. response:	Her ankles are so slim. Very nice.
context: About my mom and the aquarium...\Maybe it's related to Mikhail Pavlichenko's life and death.\But my father's already...\Looks like I've got a lot of things to figure out.\My god... how did this happen?\So that's her mother...\She's younger than I thought.\Her ankles are so slim. Very nice. response:	Those ankles...
context: Maybe it's related to Mikhail Pavlichenko's life and death.\But my father's already...\Looks like I've got a lot of things to figure out.\My god... how did this happen?\So that's her mother...\She's younger than I thought.\Her ankles are so slim. Very nice.\Those ankles... response:	Miss, you have some pretty nice ankles.
context: But my father's already...\Looks like I've got a lot of things to figure out.\My god... how did this happen?\So that's her mother...\She's younger than I thought.\Her ankles are so slim. Very nice.\Those ankles...\Miss, you have some pretty nice ankles. response:	I appreciate your compliment, but I guess you didn't notice this.
context: Looks like I've got a lot of things to figure out.\My god... how did this happen?\So that's her mother...\She's younger than I thought.\Her ankles are so slim. Very nice.\Those ankles...\Miss, you have some pretty nice ankles.\I appreciate your compliment, but I guess you didn't notice this. response:	Yes, the contrast between your growing belly and slim ankles is mesmerizing.
context: My god... how did this happen?\So that's her mother...\She's younger than I thought.\Her ankles are so slim. Very nice.\Those ankles...\Miss, you have some pretty nice ankles.\I appreciate your compliment, but I guess you didn't notice this.\Yes, the contrast between your growing belly and slim ankles is mesmerizing. response:	Take my hand. It would be bad for the child if you were to fall.
context: So that's her mother...\She's younger than I thought.\Her ankles are so slim. Very nice.\Those ankles...\Miss, you have some pretty nice ankles.\I appreciate your compliment, but I guess you didn't notice this.\Yes, the contrast between your growing belly and slim ankles is mesmerizing.\Take my hand. It would be bad for the child if you were to fall. response:	Thank you.
context: She's younger than I thought.\Her ankles are so slim. Very nice.\Those ankles...\Miss, you have some pretty nice ankles.\I appreciate your compliment, but I guess you didn't notice this.\Yes, the contrast between your growing belly and slim ankles is mesmerizing.\Take my hand. It would be bad for the child if you were to fall.\Thank you. response:	Are you in Japan for business?
context: Her ankles are so slim. Very nice.\Those ankles...\Miss, you have some pretty nice ankles.\I appreciate your compliment, but I guess you didn't notice this.\Yes, the contrast between your growing belly and slim ankles is mesmerizing.\Take my hand. It would be bad for the child if you were to fall.\Thank you.\Are you in Japan for business? response:	I'm here for sightseeing.
context: Those ankles...\Miss, you have some pretty nice ankles.\I appreciate your compliment, but I guess you didn't notice this.\Yes, the contrast between your growing belly and slim ankles is mesmerizing.\Take my hand. It would be bad for the child if you were to fall.\Thank you.\Are you in Japan for business?\I'm here for sightseeing. response:	I used to study here.
context: Miss, you have some pretty nice ankles.\I appreciate your compliment, but I guess you didn't notice this.\Yes, the contrast between your growing belly and slim ankles is mesmerizing.\Take my hand. It would be bad for the child if you were to fall.\Thank you.\Are you in Japan for business?\I'm here for sightseeing.\I used to study here. response:	Oh...
context: I appreciate your compliment, but I guess you didn't notice this.\Yes, the contrast between your growing belly and slim ankles is mesmerizing.\Take my hand. It would be bad for the child if you were to fall.\Thank you.\Are you in Japan for business?\I'm here for sightseeing.\I used to study here.\Oh... response:	Then I'd suggest you quickly return to your country.
context: Yes, the contrast between your growing belly and slim ankles is mesmerizing.\Take my hand. It would be bad for the child if you were to fall.\Thank you.\Are you in Japan for business?\I'm here for sightseeing.\I used to study here.\Oh...\Then I'd suggest you quickly return to your country. response:	Pretty soon, you won't be able to see the sun here.
context: Take my hand. It would be bad for the child if you were to fall.\Thank you.\Are you in Japan for business?\I'm here for sightseeing.\I used to study here.\Oh...\Then I'd suggest you quickly return to your country.\Pretty soon, you won't be able to see the sun here. response:	And then... a few days later after I left Japan...
context: Thank you.\Are you in Japan for business?\I'm here for sightseeing.\I used to study here.\Oh...\Then I'd suggest you quickly return to your country.\Pretty soon, you won't be able to see the sun here.\And then... a few days later after I left Japan... response:	Yes! It's her!
context: Are you in Japan for business?\I'm here for sightseeing.\I used to study here.\Oh...\Then I'd suggest you quickly return to your country.\Pretty soon, you won't be able to see the sun here.\And then... a few days later after I left Japan...\Yes! It's her! response:	Yes?
