context: Where's Kagome and? response:	I wonder if Inuyasha's all right.
context: and Kikyo's soul sprang forth.\Kagome's soul has entered Kikyo's body.\Kagome! Wake up, Kagome!\That girl is just an empty shell now.\I'll pickle her later for my dinner.\Listen, Urasue...\You dared to use my sister Kikyo's bones...\Exactly! response:	I have used my powers to turn Kikyo's remains into flesh and blood.
context: Kagome's soul has entered Kikyo's body.\Kagome! Wake up, Kagome!\That girl is just an empty shell now.\I'll pickle her later for my dinner.\Listen, Urasue...\You dared to use my sister Kikyo's bones...\Exactly!\I have used my powers to turn Kikyo's remains into flesh and blood. response:	You could say I am her birth mother.
context: Kagome! Wake up, Kagome!\That girl is just an empty shell now.\I'll pickle her later for my dinner.\Listen, Urasue...\You dared to use my sister Kikyo's bones...\Exactly!\I have used my powers to turn Kikyo's remains into flesh and blood.\You could say I am her birth mother. response:	Kikyo will do anything I ask of her.
context: That girl is just an empty shell now.\I'll pickle her later for my dinner.\Listen, Urasue...\You dared to use my sister Kikyo's bones...\Exactly!\I have used my powers to turn Kikyo's remains into flesh and blood.\You could say I am her birth mother.\Kikyo will do anything I ask of her. response:	Now, use your powers to rid us of these bothersome... Ohh...
context: I'll pickle her later for my dinner.\Listen, Urasue...\You dared to use my sister Kikyo's bones...\Exactly!\I have used my powers to turn Kikyo's remains into flesh and blood.\You could say I am her birth mother.\Kikyo will do anything I ask of her.\Now, use your powers to rid us of these bothersome... Ohh... response:	Inuyasha...
context: Listen, Urasue...\You dared to use my sister Kikyo's bones...\Exactly!\I have used my powers to turn Kikyo's remains into flesh and blood.\You could say I am her birth mother.\Kikyo will do anything I ask of her.\Now, use your powers to rid us of these bothersome... Ohh...\Inuyasha... response:	Why are you alive? I know I sealed you up...
context: You dared to use my sister Kikyo's bones...\Exactly!\I have used my powers to turn Kikyo's remains into flesh and blood.\You could say I am her birth mother.\Kikyo will do anything I ask of her.\Now, use your powers to rid us of these bothersome... Ohh...\Inuyasha...\Why are you alive? I know I sealed you up... response:	Heh! Sorry about that!
context: Exactly!\I have used my powers to turn Kikyo's remains into flesh and blood.\You could say I am her birth mother.\Kikyo will do anything I ask of her.\Now, use your powers to rid us of these bothersome... Ohh...\Inuyasha...\Why are you alive? I know I sealed you up...\Heh! Sorry about that! response:	It took me about 50 years to get out, but I'm fine, as you can see.
context: I have used my powers to turn Kikyo's remains into flesh and blood.\You could say I am her birth mother.\Kikyo will do anything I ask of her.\Now, use your powers to rid us of these bothersome... Ohh...\Inuyasha...\Why are you alive? I know I sealed you up...\Heh! Sorry about that!\It took me about 50 years to get out, but I'm fine, as you can see. response:	You're hateful!
context: You could say I am her birth mother.\Kikyo will do anything I ask of her.\Now, use your powers to rid us of these bothersome... Ohh...\Inuyasha...\Why are you alive? I know I sealed you up...\Heh! Sorry about that!\It took me about 50 years to get out, but I'm fine, as you can see.\You're hateful! response:	I hate you!
context: Kikyo will do anything I ask of her.\Now, use your powers to rid us of these bothersome... Ohh...\Inuyasha...\Why are you alive? I know I sealed you up...\Heh! Sorry about that!\It took me about 50 years to get out, but I'm fine, as you can see.\You're hateful!\I hate you! response:	What's the matter, Kikyo?
context: Now, use your powers to rid us of these bothersome... Ohh...\Inuyasha...\Why are you alive? I know I sealed you up...\Heh! Sorry about that!\It took me about 50 years to get out, but I'm fine, as you can see.\You're hateful!\I hate you!\What's the matter, Kikyo? response:	Why did you turn against me, Inuyasha?!
context: Inuyasha...\Why are you alive? I know I sealed you up...\Heh! Sorry about that!\It took me about 50 years to get out, but I'm fine, as you can see.\You're hateful!\I hate you!\What's the matter, Kikyo?\Why did you turn against me, Inuyasha?! response:	Wh-What is that? That blood...
context: Why are you alive? I know I sealed you up...\Heh! Sorry about that!\It took me about 50 years to get out, but I'm fine, as you can see.\You're hateful!\I hate you!\What's the matter, Kikyo?\Why did you turn against me, Inuyasha?!\Wh-What is that? That blood... response:	Inuyasha?
context: Heh! Sorry about that!\It took me about 50 years to get out, but I'm fine, as you can see.\You're hateful!\I hate you!\What's the matter, Kikyo?\Why did you turn against me, Inuyasha?!\Wh-What is that? That blood...\Inuyasha? response:	Isn't that the fatal wound you inflicted on Kikyo?
context: It took me about 50 years to get out, but I'm fine, as you can see.\You're hateful!\I hate you!\What's the matter, Kikyo?\Why did you turn against me, Inuyasha?!\Wh-What is that? That blood...\Inuyasha?\Isn't that the fatal wound you inflicted on Kikyo? response:	What?!
context: You're hateful!\I hate you!\What's the matter, Kikyo?\Why did you turn against me, Inuyasha?!\Wh-What is that? That blood...\Inuyasha?\Isn't that the fatal wound you inflicted on Kikyo?\What?! response:	H-Hey!
context: I hate you!\What's the matter, Kikyo?\Why did you turn against me, Inuyasha?!\Wh-What is that? That blood...\Inuyasha?\Isn't that the fatal wound you inflicted on Kikyo?\What?!\H-Hey! response:	Are you saying I killed Kikyo?
context: What's the matter, Kikyo?\Why did you turn against me, Inuyasha?!\Wh-What is that? That blood...\Inuyasha?\Isn't that the fatal wound you inflicted on Kikyo?\What?!\H-Hey!\Are you saying I killed Kikyo? response:	That's right! That's how my sister died.
context: Why did you turn against me, Inuyasha?!\Wh-What is that? That blood...\Inuyasha?\Isn't that the fatal wound you inflicted on Kikyo?\What?!\H-Hey!\Are you saying I killed Kikyo?\That's right! That's how my sister died. response:	Not me!
context: Wh-What is that? That blood...\Inuyasha?\Isn't that the fatal wound you inflicted on Kikyo?\What?!\H-Hey!\Are you saying I killed Kikyo?\That's right! That's how my sister died.\Not me! response:	Kaede... I don't remember doing any such thing!
context: Inuyasha?\Isn't that the fatal wound you inflicted on Kikyo?\What?!\H-Hey!\Are you saying I killed Kikyo?\That's right! That's how my sister died.\Not me!\Kaede... I don't remember doing any such thing! response:	Truly?!
context: Isn't that the fatal wound you inflicted on Kikyo?\What?!\H-Hey!\Are you saying I killed Kikyo?\That's right! That's how my sister died.\Not me!\Kaede... I don't remember doing any such thing!\Truly?! response:	You say you did not inflict the wound that killed Kikyo?
context: What?!\H-Hey!\Are you saying I killed Kikyo?\That's right! That's how my sister died.\Not me!\Kaede... I don't remember doing any such thing!\Truly?!\You say you did not inflict the wound that killed Kikyo? response:	Wh-What... What is going on?
context: H-Hey!\Are you saying I killed Kikyo?\That's right! That's how my sister died.\Not me!\Kaede... I don't remember doing any such thing!\Truly?!\You say you did not inflict the wound that killed Kikyo?\Wh-What... What is going on? response:	I never thought...
context: Are you saying I killed Kikyo?\That's right! That's how my sister died.\Not me!\Kaede... I don't remember doing any such thing!\Truly?!\You say you did not inflict the wound that killed Kikyo?\Wh-What... What is going on?\I never thought... response:	I never expected to hear such excuses...
context: That's right! That's how my sister died.\Not me!\Kaede... I don't remember doing any such thing!\Truly?!\You say you did not inflict the wound that killed Kikyo?\Wh-What... What is going on?\I never thought...\I never expected to hear such excuses... response:	Stop it, Inuyasha.
context: Not me!\Kaede... I don't remember doing any such thing!\Truly?!\You say you did not inflict the wound that killed Kikyo?\Wh-What... What is going on?\I never thought...\I never expected to hear such excuses...\Stop it, Inuyasha. response:	It's unbecoming.
context: Kaede... I don't remember doing any such thing!\Truly?!\You say you did not inflict the wound that killed Kikyo?\Wh-What... What is going on?\I never thought...\I never expected to hear such excuses...\Stop it, Inuyasha.\It's unbecoming. response:	Stop it... Stop it!
context: Truly?!\You say you did not inflict the wound that killed Kikyo?\Wh-What... What is going on?\I never thought...\I never expected to hear such excuses...\Stop it, Inuyasha.\It's unbecoming.\Stop it... Stop it! response:	Inuyasa...
context: You say you did not inflict the wound that killed Kikyo?\Wh-What... What is going on?\I never thought...\I never expected to hear such excuses...\Stop it, Inuyasha.\It's unbecoming.\Stop it... Stop it!\Inuyasa... response:	Don't you remember saying it?
context: Wh-What... What is going on?\I never thought...\I never expected to hear such excuses...\Stop it, Inuyasha.\It's unbecoming.\Stop it... Stop it!\Inuyasa...\Don't you remember saying it? response:	That you'd become human.
context: I never thought...\I never expected to hear such excuses...\Stop it, Inuyasha.\It's unbecoming.\Stop it... Stop it!\Inuyasa...\Don't you remember saying it?\That you'd become human. response:	Human? Inuyasha...
context: I never expected to hear such excuses...\Stop it, Inuyasha.\It's unbecoming.\Stop it... Stop it!\Inuyasa...\Don't you remember saying it?\That you'd become human.\Human? Inuyasha... response:	You said you'd become human.
context: Stop it, Inuyasha.\It's unbecoming.\Stop it... Stop it!\Inuyasa...\Don't you remember saying it?\That you'd become human.\Human? Inuyasha...\You said you'd become human. response:	I believed you, and took the Sacred Jewel to you that day.
context: It's unbecoming.\Stop it... Stop it!\Inuyasa...\Don't you remember saying it?\That you'd become human.\Human? Inuyasha...\You said you'd become human.\I believed you, and took the Sacred Jewel to you that day. response:	Fool!
context: Stop it... Stop it!\Inuyasa...\Don't you remember saying it?\That you'd become human.\Human? Inuyasha...\You said you'd become human.\I believed you, and took the Sacred Jewel to you that day.\Fool! response:	I have absolutely no wish to become human.
context: Inuyasa...\Don't you remember saying it?\That you'd become human.\Human? Inuyasha...\You said you'd become human.\I believed you, and took the Sacred Jewel to you that day.\Fool!\I have absolutely no wish to become human. response:	The Sacred Jewel...
context: Don't you remember saying it?\That you'd become human.\Human? Inuyasha...\You said you'd become human.\I believed you, and took the Sacred Jewel to you that day.\Fool!\I have absolutely no wish to become human.\The Sacred Jewel... response:	I sure appreciate this.
context: That you'd become human.\Human? Inuyasha...\You said you'd become human.\I believed you, and took the Sacred Jewel to you that day.\Fool!\I have absolutely no wish to become human.\The Sacred Jewel...\I sure appreciate this. response:	This Jewel...
context: Human? Inuyasha...\You said you'd become human.\I believed you, and took the Sacred Jewel to you that day.\Fool!\I have absolutely no wish to become human.\The Sacred Jewel...\I sure appreciate this.\This Jewel... response:	It needs to absorb more bitterness and ill will.
context: You said you'd become human.\I believed you, and took the Sacred Jewel to you that day.\Fool!\I have absolutely no wish to become human.\The Sacred Jewel...\I sure appreciate this.\This Jewel...\It needs to absorb more bitterness and ill will. response:	Those villagers... I'll kill them all.
context: I believed you, and took the Sacred Jewel to you that day.\Fool!\I have absolutely no wish to become human.\The Sacred Jewel...\I sure appreciate this.\This Jewel...\It needs to absorb more bitterness and ill will.\Those villagers... I'll kill them all. response:	You... I hate you!
context: Fool!\I have absolutely no wish to become human.\The Sacred Jewel...\I sure appreciate this.\This Jewel...\It needs to absorb more bitterness and ill will.\Those villagers... I'll kill them all.\You... I hate you! response:	Inuyasha?
context: I have absolutely no wish to become human.\The Sacred Jewel...\I sure appreciate this.\This Jewel...\It needs to absorb more bitterness and ill will.\Those villagers... I'll kill them all.\You... I hate you!\Inuyasha? response:	Could he have done such a thing?
