context: When we lived at the monastery, response:	it was easy to tell whether Rin was home or not.
context: As if you'd know!\What the hell is this?\Kyodo... Nagatomo...\Maruta... Izumi...\Please stand back. They're still breathing.\We'll explain later.\What exactly happened here?\That's... response:	It appears to be Polish. It says, Satan's kin must die.
context: What the hell is this?\Kyodo... Nagatomo...\Maruta... Izumi...\Please stand back. They're still breathing.\We'll explain later.\What exactly happened here?\That's...\It appears to be Polish. It says, Satan's kin must die. response:	Satan's kin?
context: Kyodo... Nagatomo...\Maruta... Izumi...\Please stand back. They're still breathing.\We'll explain later.\What exactly happened here?\That's...\It appears to be Polish. It says, Satan's kin must die.\Satan's kin? response:	Does that mean me?
context: Maruta... Izumi...\Please stand back. They're still breathing.\We'll explain later.\What exactly happened here?\That's...\It appears to be Polish. It says, Satan's kin must die.\Satan's kin?\Does that mean me? response:	Who would do this?
context: Please stand back. They're still breathing.\We'll explain later.\What exactly happened here?\That's...\It appears to be Polish. It says, Satan's kin must die.\Satan's kin?\Does that mean me?\Who would do this? response:	When we arrived, one of the victims was still able to squeeze out a few words.
context: We'll explain later.\What exactly happened here?\That's...\It appears to be Polish. It says, Satan's kin must die.\Satan's kin?\Does that mean me?\Who would do this?\When we arrived, one of the victims was still able to squeeze out a few words. response:	He said the masked man.
context: What exactly happened here?\That's...\It appears to be Polish. It says, Satan's kin must die.\Satan's kin?\Does that mean me?\Who would do this?\When we arrived, one of the victims was still able to squeeze out a few words.\He said the masked man. response:	The masked man?
context: That's...\It appears to be Polish. It says, Satan's kin must die.\Satan's kin?\Does that mean me?\Who would do this?\When we arrived, one of the victims was still able to squeeze out a few words.\He said the masked man.\The masked man? response:	This web is of magical origin.
context: It appears to be Polish. It says, Satan's kin must die.\Satan's kin?\Does that mean me?\Who would do this?\When we arrived, one of the victims was still able to squeeze out a few words.\He said the masked man.\The masked man?\This web is of magical origin. response:	It covered their bodies completely and hardened into stone.
context: Satan's kin?\Does that mean me?\Who would do this?\When we arrived, one of the victims was still able to squeeze out a few words.\He said the masked man.\The masked man?\This web is of magical origin.\It covered their bodies completely and hardened into stone. response:	Will they be fine?
context: Does that mean me?\Who would do this?\When we arrived, one of the victims was still able to squeeze out a few words.\He said the masked man.\The masked man?\This web is of magical origin.\It covered their bodies completely and hardened into stone.\Will they be fine? response:	There is a thin protective layer around their bodies.
context: Who would do this?\When we arrived, one of the victims was still able to squeeze out a few words.\He said the masked man.\The masked man?\This web is of magical origin.\It covered their bodies completely and hardened into stone.\Will they be fine?\There is a thin protective layer around their bodies. response:	They must have chanted protective charms when they were attacked.
context: When we arrived, one of the victims was still able to squeeze out a few words.\He said the masked man.\The masked man?\This web is of magical origin.\It covered their bodies completely and hardened into stone.\Will they be fine?\There is a thin protective layer around their bodies.\They must have chanted protective charms when they were attacked. response:	But its efficiency is decreasing little by little.
context: He said the masked man.\The masked man?\This web is of magical origin.\It covered their bodies completely and hardened into stone.\Will they be fine?\There is a thin protective layer around their bodies.\They must have chanted protective charms when they were attacked.\But its efficiency is decreasing little by little. response:	They have about eight hours left.
context: The masked man?\This web is of magical origin.\It covered their bodies completely and hardened into stone.\Will they be fine?\There is a thin protective layer around their bodies.\They must have chanted protective charms when they were attacked.\But its efficiency is decreasing little by little.\They have about eight hours left. response:	Tomorrow at 2 AM.
context: This web is of magical origin.\It covered their bodies completely and hardened into stone.\Will they be fine?\There is a thin protective layer around their bodies.\They must have chanted protective charms when they were attacked.\But its efficiency is decreasing little by little.\They have about eight hours left.\Tomorrow at 2 AM. response:	We are looking for a compound that could dissolve it,
context: It covered their bodies completely and hardened into stone.\Will they be fine?\There is a thin protective layer around their bodies.\They must have chanted protective charms when they were attacked.\But its efficiency is decreasing little by little.\They have about eight hours left.\Tomorrow at 2 AM.\We are looking for a compound that could dissolve it, response:	but we've never seen anything similar, so we don't really know where to start.
context: Will they be fine?\There is a thin protective layer around their bodies.\They must have chanted protective charms when they were attacked.\But its efficiency is decreasing little by little.\They have about eight hours left.\Tomorrow at 2 AM.\We are looking for a compound that could dissolve it,\but we've never seen anything similar, so we don't really know where to start. response:	Rin!
context: There is a thin protective layer around their bodies.\They must have chanted protective charms when they were attacked.\But its efficiency is decreasing little by little.\They have about eight hours left.\Tomorrow at 2 AM.\We are looking for a compound that could dissolve it,\but we've never seen anything similar, so we don't really know where to start.\Rin! response:	Don't stop me, Yukio!
context: They must have chanted protective charms when they were attacked.\But its efficiency is decreasing little by little.\They have about eight hours left.\Tomorrow at 2 AM.\We are looking for a compound that could dissolve it,\but we've never seen anything similar, so we don't really know where to start.\Rin!\Don't stop me, Yukio! response:	You're the one they want!
context: But its efficiency is decreasing little by little.\They have about eight hours left.\Tomorrow at 2 AM.\We are looking for a compound that could dissolve it,\but we've never seen anything similar, so we don't really know where to start.\Rin!\Don't stop me, Yukio!\You're the one they want! response:	So they should come after me!
context: They have about eight hours left.\Tomorrow at 2 AM.\We are looking for a compound that could dissolve it,\but we've never seen anything similar, so we don't really know where to start.\Rin!\Don't stop me, Yukio!\You're the one they want!\So they should come after me! response:	And that's what they want!
context: Tomorrow at 2 AM.\We are looking for a compound that could dissolve it,\but we've never seen anything similar, so we don't really know where to start.\Rin!\Don't stop me, Yukio!\You're the one they want!\So they should come after me!\And that's what they want! response:	I swore to Father that I'd protect you!
context: We are looking for a compound that could dissolve it,\but we've never seen anything similar, so we don't really know where to start.\Rin!\Don't stop me, Yukio!\You're the one they want!\So they should come after me!\And that's what they want!\I swore to Father that I'd protect you! response:	Why can't you listen to me?!
context: but we've never seen anything similar, so we don't really know where to start.\Rin!\Don't stop me, Yukio!\You're the one they want!\So they should come after me!\And that's what they want!\I swore to Father that I'd protect you!\Why can't you listen to me?! response:	Oh shut up!
context: Rin!\Don't stop me, Yukio!\You're the one they want!\So they should come after me!\And that's what they want!\I swore to Father that I'd protect you!\Why can't you listen to me?!\Oh shut up! response:	I can look after myself, I don't need your protection!
context: Don't stop me, Yukio!\You're the one they want!\So they should come after me!\And that's what they want!\I swore to Father that I'd protect you!\Why can't you listen to me?!\Oh shut up!\I can look after myself, I don't need your protection! response:	We don't have time for all this bullshit!
context: You're the one they want!\So they should come after me!\And that's what they want!\I swore to Father that I'd protect you!\Why can't you listen to me?!\Oh shut up!\I can look after myself, I don't need your protection!\We don't have time for all this bullshit! response:	Rin!
context: So they should come after me!\And that's what they want!\I swore to Father that I'd protect you!\Why can't you listen to me?!\Oh shut up!\I can look after myself, I don't need your protection!\We don't have time for all this bullshit!\Rin! response:	Where are you? Where have you gone?
context: And that's what they want!\I swore to Father that I'd protect you!\Why can't you listen to me?!\Oh shut up!\I can look after myself, I don't need your protection!\We don't have time for all this bullshit!\Rin!\Where are you? Where have you gone? response:	Who the hell are you?!
context: I swore to Father that I'd protect you!\Why can't you listen to me?!\Oh shut up!\I can look after myself, I don't need your protection!\We don't have time for all this bullshit!\Rin!\Where are you? Where have you gone?\Who the hell are you?! response:	You were after me from the beginning, right?!
context: Why can't you listen to me?!\Oh shut up!\I can look after myself, I don't need your protection!\We don't have time for all this bullshit!\Rin!\Where are you? Where have you gone?\Who the hell are you?!\You were after me from the beginning, right?! response:	You should know how it feels...
context: Oh shut up!\I can look after myself, I don't need your protection!\We don't have time for all this bullshit!\Rin!\Where are you? Where have you gone?\Who the hell are you?!\You were after me from the beginning, right?!\You should know how it feels... response:	To lose the ones close to you.
context: I can look after myself, I don't need your protection!\We don't have time for all this bullshit!\Rin!\Where are you? Where have you gone?\Who the hell are you?!\You were after me from the beginning, right?!\You should know how it feels...\To lose the ones close to you. response:	Screw you!
context: We don't have time for all this bullshit!\Rin!\Where are you? Where have you gone?\Who the hell are you?!\You were after me from the beginning, right?!\You should know how it feels...\To lose the ones close to you.\Screw you! response:	What?
context: Rin!\Where are you? Where have you gone?\Who the hell are you?!\You were after me from the beginning, right?!\You should know how it feels...\To lose the ones close to you.\Screw you!\What? response:	I won't just kill you.
context: Where are you? Where have you gone?\Who the hell are you?!\You were after me from the beginning, right?!\You should know how it feels...\To lose the ones close to you.\Screw you!\What?\I won't just kill you. response:	You will enjoy the suffering I was put through.
context: Who the hell are you?!\You were after me from the beginning, right?!\You should know how it feels...\To lose the ones close to you.\Screw you!\What?\I won't just kill you.\You will enjoy the suffering I was put through. response:	Rin!
context: You were after me from the beginning, right?!\You should know how it feels...\To lose the ones close to you.\Screw you!\What?\I won't just kill you.\You will enjoy the suffering I was put through.\Rin! response:	The brother of Satan's son?
context: You should know how it feels...\To lose the ones close to you.\Screw you!\What?\I won't just kill you.\You will enjoy the suffering I was put through.\Rin!\The brother of Satan's son? response:	Yukio!
context: To lose the ones close to you.\Screw you!\What?\I won't just kill you.\You will enjoy the suffering I was put through.\Rin!\The brother of Satan's son?\Yukio! response:	Wait!
context: Screw you!\What?\I won't just kill you.\You will enjoy the suffering I was put through.\Rin!\The brother of Satan's son?\Yukio!\Wait! response:	Shura!
context: What?\I won't just kill you.\You will enjoy the suffering I was put through.\Rin!\The brother of Satan's son?\Yukio!\Wait!\Shura! response:	Gimme a break.
context: I won't just kill you.\You will enjoy the suffering I was put through.\Rin!\The brother of Satan's son?\Yukio!\Wait!\Shura!\Gimme a break. response:	I gotta go after you when you pull stunts like this!
context: You will enjoy the suffering I was put through.\Rin!\The brother of Satan's son?\Yukio!\Wait!\Shura!\Gimme a break.\I gotta go after you when you pull stunts like this! response:	Hey!
context: Rin!\The brother of Satan's son?\Yukio!\Wait!\Shura!\Gimme a break.\I gotta go after you when you pull stunts like this!\Hey! response:	Freeze!
context: The brother of Satan's son?\Yukio!\Wait!\Shura!\Gimme a break.\I gotta go after you when you pull stunts like this!\Hey!\Freeze! response:	Professor Neuhaus?
context: Yukio!\Wait!\Shura!\Gimme a break.\I gotta go after you when you pull stunts like this!\Hey!\Freeze!\Professor Neuhaus? response:	Demons... and those related to demons must die.
context: Wait!\Shura!\Gimme a break.\I gotta go after you when you pull stunts like this!\Hey!\Freeze!\Professor Neuhaus?\Demons... and those related to demons must die. response:	Especially the spawn of Satan!
context: Shura!\Gimme a break.\I gotta go after you when you pull stunts like this!\Hey!\Freeze!\Professor Neuhaus?\Demons... and those related to demons must die.\Especially the spawn of Satan! response:	Professor... are you still...
context: Gimme a break.\I gotta go after you when you pull stunts like this!\Hey!\Freeze!\Professor Neuhaus?\Demons... and those related to demons must die.\Especially the spawn of Satan!\Professor... are you still... response:	You attacked the monastery, right?
context: I gotta go after you when you pull stunts like this!\Hey!\Freeze!\Professor Neuhaus?\Demons... and those related to demons must die.\Especially the spawn of Satan!\Professor... are you still...\You attacked the monastery, right? response:	What are you talking about?
context: Hey!\Freeze!\Professor Neuhaus?\Demons... and those related to demons must die.\Especially the spawn of Satan!\Professor... are you still...\You attacked the monastery, right?\What are you talking about? response:	Don't play stupid with me. That thread on your shoulder.
context: Freeze!\Professor Neuhaus?\Demons... and those related to demons must die.\Especially the spawn of Satan!\Professor... are you still...\You attacked the monastery, right?\What are you talking about?\Don't play stupid with me. That thread on your shoulder. response:	That magical thread. The monastery was full of it!
context: Professor Neuhaus?\Demons... and those related to demons must die.\Especially the spawn of Satan!\Professor... are you still...\You attacked the monastery, right?\What are you talking about?\Don't play stupid with me. That thread on your shoulder.\That magical thread. The monastery was full of it! response:	Yukio Okumura, zero points.
context: Demons... and those related to demons must die.\Especially the spawn of Satan!\Professor... are you still...\You attacked the monastery, right?\What are you talking about?\Don't play stupid with me. That thread on your shoulder.\That magical thread. The monastery was full of it!\Yukio Okumura, zero points. response:	Your logic isn't even worth analyzing.
context: Especially the spawn of Satan!\Professor... are you still...\You attacked the monastery, right?\What are you talking about?\Don't play stupid with me. That thread on your shoulder.\That magical thread. The monastery was full of it!\Yukio Okumura, zero points.\Your logic isn't even worth analyzing. response:	This is just a common spiderweb that can be found anywhere. Even here.
context: Professor... are you still...\You attacked the monastery, right?\What are you talking about?\Don't play stupid with me. That thread on your shoulder.\That magical thread. The monastery was full of it!\Yukio Okumura, zero points.\Your logic isn't even worth analyzing.\This is just a common spiderweb that can be found anywhere. Even here. response:	Spare me your excuses.
context: You attacked the monastery, right?\What are you talking about?\Don't play stupid with me. That thread on your shoulder.\That magical thread. The monastery was full of it!\Yukio Okumura, zero points.\Your logic isn't even worth analyzing.\This is just a common spiderweb that can be found anywhere. Even here.\Spare me your excuses. response:	The message written on the wall was in your mother tongue.
context: What are you talking about?\Don't play stupid with me. That thread on your shoulder.\That magical thread. The monastery was full of it!\Yukio Okumura, zero points.\Your logic isn't even worth analyzing.\This is just a common spiderweb that can be found anywhere. Even here.\Spare me your excuses.\The message written on the wall was in your mother tongue. response:	Also, there are only a few who know that my brother and I have demon blood.
context: Don't play stupid with me. That thread on your shoulder.\That magical thread. The monastery was full of it!\Yukio Okumura, zero points.\Your logic isn't even worth analyzing.\This is just a common spiderweb that can be found anywhere. Even here.\Spare me your excuses.\The message written on the wall was in your mother tongue.\Also, there are only a few who know that my brother and I have demon blood. response:	No matter how you look, as long as your judgment is clouded you won't find the truth.
context: That magical thread. The monastery was full of it!\Yukio Okumura, zero points.\Your logic isn't even worth analyzing.\This is just a common spiderweb that can be found anywhere. Even here.\Spare me your excuses.\The message written on the wall was in your mother tongue.\Also, there are only a few who know that my brother and I have demon blood.\No matter how you look, as long as your judgment is clouded you won't find the truth. response:	You will come with me to the Academy. Let's hear your truth there.
context: Yukio Okumura, zero points.\Your logic isn't even worth analyzing.\This is just a common spiderweb that can be found anywhere. Even here.\Spare me your excuses.\The message written on the wall was in your mother tongue.\Also, there are only a few who know that my brother and I have demon blood.\No matter how you look, as long as your judgment is clouded you won't find the truth.\You will come with me to the Academy. Let's hear your truth there. response:	And what if I refuse?
context: Your logic isn't even worth analyzing.\This is just a common spiderweb that can be found anywhere. Even here.\Spare me your excuses.\The message written on the wall was in your mother tongue.\Also, there are only a few who know that my brother and I have demon blood.\No matter how you look, as long as your judgment is clouded you won't find the truth.\You will come with me to the Academy. Let's hear your truth there.\And what if I refuse? response:	He got away?
context: This is just a common spiderweb that can be found anywhere. Even here.\Spare me your excuses.\The message written on the wall was in your mother tongue.\Also, there are only a few who know that my brother and I have demon blood.\No matter how you look, as long as your judgment is clouded you won't find the truth.\You will come with me to the Academy. Let's hear your truth there.\And what if I refuse?\He got away? response:	Damn, I can't draw it!
context: Spare me your excuses.\The message written on the wall was in your mother tongue.\Also, there are only a few who know that my brother and I have demon blood.\No matter how you look, as long as your judgment is clouded you won't find the truth.\You will come with me to the Academy. Let's hear your truth there.\And what if I refuse?\He got away?\Damn, I can't draw it! response:	What the hell's going on?
context: The message written on the wall was in your mother tongue.\Also, there are only a few who know that my brother and I have demon blood.\No matter how you look, as long as your judgment is clouded you won't find the truth.\You will come with me to the Academy. Let's hear your truth there.\And what if I refuse?\He got away?\Damn, I can't draw it!\What the hell's going on? response:	Neuhaus?
context: Also, there are only a few who know that my brother and I have demon blood.\No matter how you look, as long as your judgment is clouded you won't find the truth.\You will come with me to the Academy. Let's hear your truth there.\And what if I refuse?\He got away?\Damn, I can't draw it!\What the hell's going on?\Neuhaus? response:	Yeah. And he holds a grudge against Rin.
context: No matter how you look, as long as your judgment is clouded you won't find the truth.\You will come with me to the Academy. Let's hear your truth there.\And what if I refuse?\He got away?\Damn, I can't draw it!\What the hell's going on?\Neuhaus?\Yeah. And he holds a grudge against Rin. response:	I don't think he was there by chance.
context: You will come with me to the Academy. Let's hear your truth there.\And what if I refuse?\He got away?\Damn, I can't draw it!\What the hell's going on?\Neuhaus?\Yeah. And he holds a grudge against Rin.\I don't think he was there by chance. response:	I heard he quit and returned to his homeland.
context: And what if I refuse?\He got away?\Damn, I can't draw it!\What the hell's going on?\Neuhaus?\Yeah. And he holds a grudge against Rin.\I don't think he was there by chance.\I heard he quit and returned to his homeland. response:	But who knows how much of what Mephisto says is true...
context: He got away?\Damn, I can't draw it!\What the hell's going on?\Neuhaus?\Yeah. And he holds a grudge against Rin.\I don't think he was there by chance.\I heard he quit and returned to his homeland.\But who knows how much of what Mephisto says is true... response:	Wait, on the other side of that portal opened earlier with a key...
context: Damn, I can't draw it!\What the hell's going on?\Neuhaus?\Yeah. And he holds a grudge against Rin.\I don't think he was there by chance.\I heard he quit and returned to his homeland.\But who knows how much of what Mephisto says is true...\Wait, on the other side of that portal opened earlier with a key... response:	You said there was a laboratory for the research of artificial life, right?
context: What the hell's going on?\Neuhaus?\Yeah. And he holds a grudge against Rin.\I don't think he was there by chance.\I heard he quit and returned to his homeland.\But who knows how much of what Mephisto says is true...\Wait, on the other side of that portal opened earlier with a key...\You said there was a laboratory for the research of artificial life, right? response:	Connected corpses of humans and animals are often used in
context: Neuhaus?\Yeah. And he holds a grudge against Rin.\I don't think he was there by chance.\I heard he quit and returned to his homeland.\But who knows how much of what Mephisto says is true...\Wait, on the other side of that portal opened earlier with a key...\You said there was a laboratory for the research of artificial life, right?\Connected corpses of humans and animals are often used in response:	artificial life research, or as Naberius.
context: Yeah. And he holds a grudge against Rin.\I don't think he was there by chance.\I heard he quit and returned to his homeland.\But who knows how much of what Mephisto says is true...\Wait, on the other side of that portal opened earlier with a key...\You said there was a laboratory for the research of artificial life, right?\Connected corpses of humans and animals are often used in\artificial life research, or as Naberius. response:	There's a connection to professor Neuhaus.
context: I don't think he was there by chance.\I heard he quit and returned to his homeland.\But who knows how much of what Mephisto says is true...\Wait, on the other side of that portal opened earlier with a key...\You said there was a laboratory for the research of artificial life, right?\Connected corpses of humans and animals are often used in\artificial life research, or as Naberius.\There's a connection to professor Neuhaus. response:	But artificial life research is strictly prohibited by the Vatican.
context: I heard he quit and returned to his homeland.\But who knows how much of what Mephisto says is true...\Wait, on the other side of that portal opened earlier with a key...\You said there was a laboratory for the research of artificial life, right?\Connected corpses of humans and animals are often used in\artificial life research, or as Naberius.\There's a connection to professor Neuhaus.\But artificial life research is strictly prohibited by the Vatican. response:	Where do you think you're going?
context: But who knows how much of what Mephisto says is true...\Wait, on the other side of that portal opened earlier with a key...\You said there was a laboratory for the research of artificial life, right?\Connected corpses of humans and animals are often used in\artificial life research, or as Naberius.\There's a connection to professor Neuhaus.\But artificial life research is strictly prohibited by the Vatican.\Where do you think you're going? response:	I've gotta stop him.
context: Wait, on the other side of that portal opened earlier with a key...\You said there was a laboratory for the research of artificial life, right?\Connected corpses of humans and animals are often used in\artificial life research, or as Naberius.\There's a connection to professor Neuhaus.\But artificial life research is strictly prohibited by the Vatican.\Where do you think you're going?\I've gotta stop him. response:	You can't use the Demon-Slaying Blade. How do you intend to fight?
context: You said there was a laboratory for the research of artificial life, right?\Connected corpses of humans and animals are often used in\artificial life research, or as Naberius.\There's a connection to professor Neuhaus.\But artificial life research is strictly prohibited by the Vatican.\Where do you think you're going?\I've gotta stop him.\You can't use the Demon-Slaying Blade. How do you intend to fight? response:	I will go after him. I will ask the other teachers for support too.
context: Connected corpses of humans and animals are often used in\artificial life research, or as Naberius.\There's a connection to professor Neuhaus.\But artificial life research is strictly prohibited by the Vatican.\Where do you think you're going?\I've gotta stop him.\You can't use the Demon-Slaying Blade. How do you intend to fight?\I will go after him. I will ask the other teachers for support too. response:	I don't want anyone to get hurt because of me anymore!
context: artificial life research, or as Naberius.\There's a connection to professor Neuhaus.\But artificial life research is strictly prohibited by the Vatican.\Where do you think you're going?\I've gotta stop him.\You can't use the Demon-Slaying Blade. How do you intend to fight?\I will go after him. I will ask the other teachers for support too.\I don't want anyone to get hurt because of me anymore! response:	You're not going anywhere today, that's for sure.
context: There's a connection to professor Neuhaus.\But artificial life research is strictly prohibited by the Vatican.\Where do you think you're going?\I've gotta stop him.\You can't use the Demon-Slaying Blade. How do you intend to fight?\I will go after him. I will ask the other teachers for support too.\I don't want anyone to get hurt because of me anymore!\You're not going anywhere today, that's for sure. response:	If you think you can always have it your way, you're wrong.
context: But artificial life research is strictly prohibited by the Vatican.\Where do you think you're going?\I've gotta stop him.\You can't use the Demon-Slaying Blade. How do you intend to fight?\I will go after him. I will ask the other teachers for support too.\I don't want anyone to get hurt because of me anymore!\You're not going anywhere today, that's for sure.\If you think you can always have it your way, you're wrong. response:	What are you doing, Yukio? Stop screwing around!
context: Where do you think you're going?\I've gotta stop him.\You can't use the Demon-Slaying Blade. How do you intend to fight?\I will go after him. I will ask the other teachers for support too.\I don't want anyone to get hurt because of me anymore!\You're not going anywhere today, that's for sure.\If you think you can always have it your way, you're wrong.\What are you doing, Yukio? Stop screwing around! response:	I'm serious, Rin.
context: I've gotta stop him.\You can't use the Demon-Slaying Blade. How do you intend to fight?\I will go after him. I will ask the other teachers for support too.\I don't want anyone to get hurt because of me anymore!\You're not going anywhere today, that's for sure.\If you think you can always have it your way, you're wrong.\What are you doing, Yukio? Stop screwing around!\I'm serious, Rin. response:	Or will you knock me down again? With that demonic power of yours?
context: You can't use the Demon-Slaying Blade. How do you intend to fight?\I will go after him. I will ask the other teachers for support too.\I don't want anyone to get hurt because of me anymore!\You're not going anywhere today, that's for sure.\If you think you can always have it your way, you're wrong.\What are you doing, Yukio? Stop screwing around!\I'm serious, Rin.\Or will you knock me down again? With that demonic power of yours? response:	Yukio... the hell...
context: I will go after him. I will ask the other teachers for support too.\I don't want anyone to get hurt because of me anymore!\You're not going anywhere today, that's for sure.\If you think you can always have it your way, you're wrong.\What are you doing, Yukio? Stop screwing around!\I'm serious, Rin.\Or will you knock me down again? With that demonic power of yours?\Yukio... the hell... response:	Hey, Yukio, what's with all the fuss?
context: I don't want anyone to get hurt because of me anymore!\You're not going anywhere today, that's for sure.\If you think you can always have it your way, you're wrong.\What are you doing, Yukio? Stop screwing around!\I'm serious, Rin.\Or will you knock me down again? With that demonic power of yours?\Yukio... the hell...\Hey, Yukio, what's with all the fuss? response:	Yukio!
context: You're not going anywhere today, that's for sure.\If you think you can always have it your way, you're wrong.\What are you doing, Yukio? Stop screwing around!\I'm serious, Rin.\Or will you knock me down again? With that demonic power of yours?\Yukio... the hell...\Hey, Yukio, what's with all the fuss?\Yukio! response:	It's an instant tranquilizer.
context: If you think you can always have it your way, you're wrong.\What are you doing, Yukio? Stop screwing around!\I'm serious, Rin.\Or will you knock me down again? With that demonic power of yours?\Yukio... the hell...\Hey, Yukio, what's with all the fuss?\Yukio!\It's an instant tranquilizer. response:	You're overdoing it...
context: What are you doing, Yukio? Stop screwing around!\I'm serious, Rin.\Or will you knock me down again? With that demonic power of yours?\Yukio... the hell...\Hey, Yukio, what's with all the fuss?\Yukio!\It's an instant tranquilizer.\You're overdoing it... response:	I have the duty to protect Rin.
context: I'm serious, Rin.\Or will you knock me down again? With that demonic power of yours?\Yukio... the hell...\Hey, Yukio, what's with all the fuss?\Yukio!\It's an instant tranquilizer.\You're overdoing it...\I have the duty to protect Rin. response:	I'll leave the rest to your.
context: Or will you knock me down again? With that demonic power of yours?\Yukio... the hell...\Hey, Yukio, what's with all the fuss?\Yukio!\It's an instant tranquilizer.\You're overdoing it...\I have the duty to protect Rin.\I'll leave the rest to your. response:	Yukio!
context: Yukio... the hell...\Hey, Yukio, what's with all the fuss?\Yukio!\It's an instant tranquilizer.\You're overdoing it...\I have the duty to protect Rin.\I'll leave the rest to your.\Yukio! response:	Yu... Yukio...
context: Hey, Yukio, what's with all the fuss?\Yukio!\It's an instant tranquilizer.\You're overdoing it...\I have the duty to protect Rin.\I'll leave the rest to your.\Yukio!\Yu... Yukio... response:	Professor Neuhaus is here?
context: Yukio!\It's an instant tranquilizer.\You're overdoing it...\I have the duty to protect Rin.\I'll leave the rest to your.\Yukio!\Yu... Yukio...\Professor Neuhaus is here? response:	The tracer's signal is coming from below.
context: It's an instant tranquilizer.\You're overdoing it...\I have the duty to protect Rin.\I'll leave the rest to your.\Yukio!\Yu... Yukio...\Professor Neuhaus is here?\The tracer's signal is coming from below. response:	Let's split up.
context: You're overdoing it...\I have the duty to protect Rin.\I'll leave the rest to your.\Yukio!\Yu... Yukio...\Professor Neuhaus is here?\The tracer's signal is coming from below.\Let's split up. response:	Use the charms I gave you earlier as your last resort.
context: I have the duty to protect Rin.\I'll leave the rest to your.\Yukio!\Yu... Yukio...\Professor Neuhaus is here?\The tracer's signal is coming from below.\Let's split up.\Use the charms I gave you earlier as your last resort. response:	If you're attacked with that web, secure your breathing using chants.
context: I'll leave the rest to your.\Yukio!\Yu... Yukio...\Professor Neuhaus is here?\The tracer's signal is coming from below.\Let's split up.\Use the charms I gave you earlier as your last resort.\If you're attacked with that web, secure your breathing using chants. response:	Can you hear it?
context: Yukio!\Yu... Yukio...\Professor Neuhaus is here?\The tracer's signal is coming from below.\Let's split up.\Use the charms I gave you earlier as your last resort.\If you're attacked with that web, secure your breathing using chants.\Can you hear it? response:	Don't move!
context: Yu... Yukio...\Professor Neuhaus is here?\The tracer's signal is coming from below.\Let's split up.\Use the charms I gave you earlier as your last resort.\If you're attacked with that web, secure your breathing using chants.\Can you hear it?\Don't move! response:	You're so persistent.
