context: Attention! response:	I shall now explain the plan to retake Trost.
context: It's me, Mikasa!\Your family!\Move, Ackerman!\What the?\He's just like any other stupid Titan!\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes. response:	We cannot just abandon him like this.
context: Your family!\Move, Ackerman!\What the?\He's just like any other stupid Titan!\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this. response:	Where am I?
context: Move, Ackerman!\What the?\He's just like any other stupid Titan!\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\Where am I? response:	I'm at home?
context: What the?\He's just like any other stupid Titan!\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\Where am I?\I'm at home? response:	Jean!
context: He's just like any other stupid Titan!\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\Where am I?\I'm at home?\Jean! response:	Why isn't he using his Maneuver Gear?
context: I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\Where am I?\I'm at home?\Jean!\Why isn't he using his Maneuver Gear? response:	No way... Is it broken?
context: We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\Where am I?\I'm at home?\Jean!\Why isn't he using his Maneuver Gear?\No way... Is it broken? response:	I'll come up with something!
context: He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\Where am I?\I'm at home?\Jean!\Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something! response:	Mikasa!
context: We cannot just abandon him like this.\Where am I?\I'm at home?\Jean!\Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something!\Mikasa! response:	What happened to the plan?
context: Where am I?\I'm at home?\Jean!\Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something!\Mikasa!\What happened to the plan? response:	It failed.
context: I'm at home?\Jean!\Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something!\Mikasa!\What happened to the plan?\It failed. response:	Everyone's fighting because we can't leave Eren.
context: Jean!\Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something!\Mikasa!\What happened to the plan?\It failed.\Everyone's fighting because we can't leave Eren. response:	But there are too many...
context: Why isn't he using his Maneuver Gear?\No way... Is it broken?\I'll come up with something!\Mikasa!\What happened to the plan?\It failed.\Everyone's fighting because we can't leave Eren.\But there are too many... response:	Before long, they'll wipe us out.
context: No way... Is it broken?\I'll come up with something!\Mikasa!\What happened to the plan?\It failed.\Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out. response:	The spot on the back of the neck,
context: I'll come up with something!\Mikasa!\What happened to the plan?\It failed.\Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck, response:	ten centimeters across and a meter high.
context: Mikasa!\What happened to the plan?\It failed.\Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high. response:	Eren... Answer me!
context: What happened to the plan?\It failed.\Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high.\Eren... Answer me! response:	You knew that hell was one step beyond the walls.
context: It failed.\Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high.\Eren... Answer me!\You knew that hell was one step beyond the walls. response:	So why did you want to go?
context: Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high.\Eren... Answer me!\You knew that hell was one step beyond the walls.\So why did you want to go? response:	Why?
context: But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high.\Eren... Answer me!\You knew that hell was one step beyond the walls.\So why did you want to go?\Why? response:	Because I was born into this world!
context: Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high.\Eren... Answer me!\You knew that hell was one step beyond the walls.\So why did you want to go?\Why?\Because I was born into this world! response:	Eren!
context: The spot on the back of the neck,\ten centimeters across and a meter high.\Eren... Answer me!\You knew that hell was one step beyond the walls.\So why did you want to go?\Why?\Because I was born into this world!\Eren! response:	Primal Desires The Battle for Trost (9)
context: ten centimeters across and a meter high.\Eren... Answer me!\You knew that hell was one step beyond the walls.\So why did you want to go?\Why?\Because I was born into this world!\Eren!\Primal Desires The Battle for Trost (9) response:	Damn it...
context: Eren... Answer me!\You knew that hell was one step beyond the walls.\So why did you want to go?\Why?\Because I was born into this world!\Eren!\Primal Desires The Battle for Trost (9)\Damn it... response:	Why am I the one slowing us down?
context: You knew that hell was one step beyond the walls.\So why did you want to go?\Why?\Because I was born into this world!\Eren!\Primal Desires The Battle for Trost (9)\Damn it...\Why am I the one slowing us down? response:	Can I really come up with something?
context: So why did you want to go?\Why?\Because I was born into this world!\Eren!\Primal Desires The Battle for Trost (9)\Damn it...\Why am I the one slowing us down?\Can I really come up with something? response:	Captain, we're finished!
context: Why?\Because I was born into this world!\Eren!\Primal Desires The Battle for Trost (9)\Damn it...\Why am I the one slowing us down?\Can I really come up with something?\Captain, we're finished! response:	We're the last ones left!
context: Because I was born into this world!\Eren!\Primal Desires The Battle for Trost (9)\Damn it...\Why am I the one slowing us down?\Can I really come up with something?\Captain, we're finished!\We're the last ones left! response:	Fall back to the boulder!
context: Eren!\Primal Desires The Battle for Trost (9)\Damn it...\Why am I the one slowing us down?\Can I really come up with something?\Captain, we're finished!\We're the last ones left!\Fall back to the boulder! response:	What's the situation?
context: Primal Desires The Battle for Trost (9)\Damn it...\Why am I the one slowing us down?\Can I really come up with something?\Captain, we're finished!\We're the last ones left!\Fall back to the boulder!\What's the situation? response:	Five Titans,
context: Damn it...\Why am I the one slowing us down?\Can I really come up with something?\Captain, we're finished!\We're the last ones left!\Fall back to the boulder!\What's the situation?\Five Titans, response:	coming from the gate.
context: Why am I the one slowing us down?\Can I really come up with something?\Captain, we're finished!\We're the last ones left!\Fall back to the boulder!\What's the situation?\Five Titans,\coming from the gate. response:	I can't wait till they're gone! No way!
context: Can I really come up with something?\Captain, we're finished!\We're the last ones left!\Fall back to the boulder!\What's the situation?\Five Titans,\coming from the gate.\I can't wait till they're gone! No way! response:	Jean!
context: Captain, we're finished!\We're the last ones left!\Fall back to the boulder!\What's the situation?\Five Titans,\coming from the gate.\I can't wait till they're gone! No way!\Jean! response:	His Maneuver Gear really is busted.
context: We're the last ones left!\Fall back to the boulder!\What's the situation?\Five Titans,\coming from the gate.\I can't wait till they're gone! No way!\Jean!\His Maneuver Gear really is busted. response:	What's wrong?
context: Fall back to the boulder!\What's the situation?\Five Titans,\coming from the gate.\I can't wait till they're gone! No way!\Jean!\His Maneuver Gear really is busted.\What's wrong? response:	Crap...
context: What's the situation?\Five Titans,\coming from the gate.\I can't wait till they're gone! No way!\Jean!\His Maneuver Gear really is busted.\What's wrong?\Crap... response:	What's wrong with it?
context: Five Titans,\coming from the gate.\I can't wait till they're gone! No way!\Jean!\His Maneuver Gear really is busted.\What's wrong?\Crap...\What's wrong with it? response:	Damn it...
context: coming from the gate.\I can't wait till they're gone! No way!\Jean!\His Maneuver Gear really is busted.\What's wrong?\Crap...\What's wrong with it?\Damn it... response:	Not now!
context: I can't wait till they're gone! No way!\Jean!\His Maneuver Gear really is busted.\What's wrong?\Crap...\What's wrong with it?\Damn it...\Not now! response:	Jean, calm down!
context: Jean!\His Maneuver Gear really is busted.\What's wrong?\Crap...\What's wrong with it?\Damn it...\Not now!\Jean, calm down! response:	Marco?
context: His Maneuver Gear really is busted.\What's wrong?\Crap...\What's wrong with it?\Damn it...\Not now!\Jean, calm down!\Marco? response:	What are you doing?
context: What's wrong?\Crap...\What's wrong with it?\Damn it...\Not now!\Jean, calm down!\Marco?\What are you doing? response:	Jeez.
context: Crap...\What's wrong with it?\Damn it...\Not now!\Jean, calm down!\Marco?\What are you doing?\Jeez. response:	Don't be such a pain in the ass!
context: What's wrong with it?\Damn it...\Not now!\Jean, calm down!\Marco?\What are you doing?\Jeez.\Don't be such a pain in the ass! response:	Damn, why is the trigger so hard to pull?
context: Damn it...\Not now!\Jean, calm down!\Marco?\What are you doing?\Jeez.\Don't be such a pain in the ass!\Damn, why is the trigger so hard to pull? response:	Jean!
context: Not now!\Jean, calm down!\Marco?\What are you doing?\Jeez.\Don't be such a pain in the ass!\Damn, why is the trigger so hard to pull?\Jean! response:	What are you doing?!
context: Jean, calm down!\Marco?\What are you doing?\Jeez.\Don't be such a pain in the ass!\Damn, why is the trigger so hard to pull?\Jean!\What are you doing?! response:	Look who's talking?
context: Marco?\What are you doing?\Jeez.\Don't be such a pain in the ass!\Damn, why is the trigger so hard to pull?\Jean!\What are you doing?!\Look who's talking? response:	Hurry and get out of here!
context: What are you doing?\Jeez.\Don't be such a pain in the ass!\Damn, why is the trigger so hard to pull?\Jean!\What are you doing?!\Look who's talking?\Hurry and get out of here! response:	You're insane!
context: Jeez.\Don't be such a pain in the ass!\Damn, why is the trigger so hard to pull?\Jean!\What are you doing?!\Look who's talking?\Hurry and get out of here!\You're insane! response:	You're the crazy one!
context: Don't be such a pain in the ass!\Damn, why is the trigger so hard to pull?\Jean!\What are you doing?!\Look who's talking?\Hurry and get out of here!\You're insane!\You're the crazy one! response:	Can't believe I survived that...
context: Damn, why is the trigger so hard to pull?\Jean!\What are you doing?!\Look who's talking?\Hurry and get out of here!\You're insane!\You're the crazy one!\Can't believe I survived that... response:	Look at that.
context: Jean!\What are you doing?!\Look who's talking?\Hurry and get out of here!\You're insane!\You're the crazy one!\Can't believe I survived that...\Look at that. response:	Eren...
context: What are you doing?!\Look who's talking?\Hurry and get out of here!\You're insane!\You're the crazy one!\Can't believe I survived that...\Look at that.\Eren... response:	Mikasa!
context: Look who's talking?\Hurry and get out of here!\You're insane!\You're the crazy one!\Can't believe I survived that...\Look at that.\Eren...\Mikasa! response:	Armin!
context: Hurry and get out of here!\You're insane!\You're the crazy one!\Can't believe I survived that...\Look at that.\Eren...\Mikasa!\Armin! response:	Eren won!
context: You're insane!\You're the crazy one!\Can't believe I survived that...\Look at that.\Eren...\Mikasa!\Armin!\Eren won! response:	Now he's trying to get the job done!
context: You're the crazy one!\Can't believe I survived that...\Look at that.\Eren...\Mikasa!\Armin!\Eren won!\Now he's trying to get the job done! response:	If we can cover him till he gets to the gate,
context: Can't believe I survived that...\Look at that.\Eren...\Mikasa!\Armin!\Eren won!\Now he's trying to get the job done!\If we can cover him till he gets to the gate, response:	we win!
context: Look at that.\Eren...\Mikasa!\Armin!\Eren won!\Now he's trying to get the job done!\If we can cover him till he gets to the gate,\we win! response:	Defend him at all costs!
context: Eren...\Mikasa!\Armin!\Eren won!\Now he's trying to get the job done!\If we can cover him till he gets to the gate,\we win!\Defend him at all costs! response:	Protect Eren until he reaches the gate, even if it costs you your life!
context: Mikasa!\Armin!\Eren won!\Now he's trying to get the job done!\If we can cover him till he gets to the gate,\we win!\Defend him at all costs!\Protect Eren until he reaches the gate, even if it costs you your life! response:	Don't let any of the Titans near him!
context: Armin!\Eren won!\Now he's trying to get the job done!\If we can cover him till he gets to the gate,\we win!\Defend him at all costs!\Protect Eren until he reaches the gate, even if it costs you your life!\Don't let any of the Titans near him! response:	Don't let them interfere!
context: Eren won!\Now he's trying to get the job done!\If we can cover him till he gets to the gate,\we win!\Defend him at all costs!\Protect Eren until he reaches the gate, even if it costs you your life!\Don't let any of the Titans near him!\Don't let them interfere! response:	Protect Eren!
context: Now he's trying to get the job done!\If we can cover him till he gets to the gate,\we win!\Defend him at all costs!\Protect Eren until he reaches the gate, even if it costs you your life!\Don't let any of the Titans near him!\Don't let them interfere!\Protect Eren! response:	You two, head toward Eren.
context: If we can cover him till he gets to the gate,\we win!\Defend him at all costs!\Protect Eren until he reaches the gate, even if it costs you your life!\Don't let any of the Titans near him!\Don't let them interfere!\Protect Eren!\You two, head toward Eren. response:	That's an order!
context: we win!\Defend him at all costs!\Protect Eren until he reaches the gate, even if it costs you your life!\Don't let any of the Titans near him!\Don't let them interfere!\Protect Eren!\You two, head toward Eren.\That's an order! response:	Got it?
context: Defend him at all costs!\Protect Eren until he reaches the gate, even if it costs you your life!\Don't let any of the Titans near him!\Don't let them interfere!\Protect Eren!\You two, head toward Eren.\That's an order!\Got it? response:	Roger!
context: Protect Eren until he reaches the gate, even if it costs you your life!\Don't let any of the Titans near him!\Don't let them interfere!\Protect Eren!\You two, head toward Eren.\That's an order!\Got it?\Roger! response:	Mitabi's squad...
context: Don't let any of the Titans near him!\Don't let them interfere!\Protect Eren!\You two, head toward Eren.\That's an order!\Got it?\Roger!\Mitabi's squad... response:	What are they doing?
context: Don't let them interfere!\Protect Eren!\You two, head toward Eren.\That's an order!\Got it?\Roger!\Mitabi's squad...\What are they doing? response:	The Titans won't follow us!
context: Protect Eren!\You two, head toward Eren.\That's an order!\Got it?\Roger!\Mitabi's squad...\What are they doing?\The Titans won't follow us! response:	We have to get closer to them until they attack us!
context: You two, head toward Eren.\That's an order!\Got it?\Roger!\Mitabi's squad...\What are they doing?\The Titans won't follow us!\We have to get closer to them until they attack us! response:	Look over here, bastards!
context: That's an order!\Got it?\Roger!\Mitabi's squad...\What are they doing?\The Titans won't follow us!\We have to get closer to them until they attack us!\Look over here, bastards! response:	If you don't, I'll jab my blade up your stinking ass!
context: Got it?\Roger!\Mitabi's squad...\What are they doing?\The Titans won't follow us!\We have to get closer to them until they attack us!\Look over here, bastards!\If you don't, I'll jab my blade up your stinking ass! response:	Here they come!
context: Roger!\Mitabi's squad...\What are they doing?\The Titans won't follow us!\We have to get closer to them until they attack us!\Look over here, bastards!\If you don't, I'll jab my blade up your stinking ass!\Here they come! response:	Two of them are coming!
context: Mitabi's squad...\What are they doing?\The Titans won't follow us!\We have to get closer to them until they attack us!\Look over here, bastards!\If you don't, I'll jab my blade up your stinking ass!\Here they come!\Two of them are coming! response:	Run!
context: What are they doing?\The Titans won't follow us!\We have to get closer to them until they attack us!\Look over here, bastards!\If you don't, I'll jab my blade up your stinking ass!\Here they come!\Two of them are coming!\Run! response:	Run to the building!
context: The Titans won't follow us!\We have to get closer to them until they attack us!\Look over here, bastards!\If you don't, I'll jab my blade up your stinking ass!\Here they come!\Two of them are coming!\Run!\Run to the building! response:	What the...
context: We have to get closer to them until they attack us!\Look over here, bastards!\If you don't, I'll jab my blade up your stinking ass!\Here they come!\Two of them are coming!\Run!\Run to the building!\What the... response:	Going on the ground is suicide.
context: Look over here, bastards!\If you don't, I'll jab my blade up your stinking ass!\Here they come!\Two of them are coming!\Run!\Run to the building!\What the...\Going on the ground is suicide. response:	Without horses or buildings, they can't fight!
context: If you don't, I'll jab my blade up your stinking ass!\Here they come!\Two of them are coming!\Run!\Run to the building!\What the...\Going on the ground is suicide.\Without horses or buildings, they can't fight! response:	No... Now, it's the only way left...
context: Here they come!\Two of them are coming!\Run!\Run to the building!\What the...\Going on the ground is suicide.\Without horses or buildings, they can't fight!\No... Now, it's the only way left... response:	Follow Mitabi's squad!
context: Two of them are coming!\Run!\Run to the building!\What the...\Going on the ground is suicide.\Without horses or buildings, they can't fight!\No... Now, it's the only way left...\Follow Mitabi's squad! response:	Armin, let's go, too.
context: Run!\Run to the building!\What the...\Going on the ground is suicide.\Without horses or buildings, they can't fight!\No... Now, it's the only way left...\Follow Mitabi's squad!\Armin, let's go, too. response:	This way! Over here!
context: Run to the building!\What the...\Going on the ground is suicide.\Without horses or buildings, they can't fight!\No... Now, it's the only way left...\Follow Mitabi's squad!\Armin, let's go, too.\This way! Over here! response:	My body feels like it's being crushed...
context: What the...\Going on the ground is suicide.\Without horses or buildings, they can't fight!\No... Now, it's the only way left...\Follow Mitabi's squad!\Armin, let's go, too.\This way! Over here!\My body feels like it's being crushed... response:	Mikasa? Armin?
context: Going on the ground is suicide.\Without horses or buildings, they can't fight!\No... Now, it's the only way left...\Follow Mitabi's squad!\Armin, let's go, too.\This way! Over here!\My body feels like it's being crushed...\Mikasa? Armin? response:	What are you doing?
context: Without horses or buildings, they can't fight!\No... Now, it's the only way left...\Follow Mitabi's squad!\Armin, let's go, too.\This way! Over here!\My body feels like it's being crushed...\Mikasa? Armin?\What are you doing? response:	If you stay down there, Titans will get you!
context: No... Now, it's the only way left...\Follow Mitabi's squad!\Armin, let's go, too.\This way! Over here!\My body feels like it's being crushed...\Mikasa? Armin?\What are you doing?\If you stay down there, Titans will get you! response:	Come on, you slowpokes!
context: Follow Mitabi's squad!\Armin, let's go, too.\This way! Over here!\My body feels like it's being crushed...\Mikasa? Armin?\What are you doing?\If you stay down there, Titans will get you!\Come on, you slowpokes! response:	Over here!
context: Armin, let's go, too.\This way! Over here!\My body feels like it's being crushed...\Mikasa? Armin?\What are you doing?\If you stay down there, Titans will get you!\Come on, you slowpokes!\Over here! response:	H-Hey!
context: This way! Over here!\My body feels like it's being crushed...\Mikasa? Armin?\What are you doing?\If you stay down there, Titans will get you!\Come on, you slowpokes!\Over here!\H-Hey! response:	Mitabi!
context: My body feels like it's being crushed...\Mikasa? Armin?\What are you doing?\If you stay down there, Titans will get you!\Come on, you slowpokes!\Over here!\H-Hey!\Mitabi! response:	So why did you want to go to the world beyond the walls?
context: Mikasa? Armin?\What are you doing?\If you stay down there, Titans will get you!\Come on, you slowpokes!\Over here!\H-Hey!\Mitabi!\So why did you want to go to the world beyond the walls? response:	From the time we are born,
context: What are you doing?\If you stay down there, Titans will get you!\Come on, you slowpokes!\Over here!\H-Hey!\Mitabi!\So why did you want to go to the world beyond the walls?\From the time we are born, response:	we are free...
context: If you stay down there, Titans will get you!\Come on, you slowpokes!\Over here!\H-Hey!\Mitabi!\So why did you want to go to the world beyond the walls?\From the time we are born,\we are free... response:	It doesn't matter how strong
context: Come on, you slowpokes!\Over here!\H-Hey!\Mitabi!\So why did you want to go to the world beyond the walls?\From the time we are born,\we are free...\It doesn't matter how strong response:	those who would deny us that freedom are...
context: Over here!\H-Hey!\Mitabi!\So why did you want to go to the world beyond the walls?\From the time we are born,\we are free...\It doesn't matter how strong\those who would deny us that freedom are... response:	Flaming water... Frozen earth... I don't care what it is!
context: H-Hey!\Mitabi!\So why did you want to go to the world beyond the walls?\From the time we are born,\we are free...\It doesn't matter how strong\those who would deny us that freedom are...\Flaming water... Frozen earth... I don't care what it is! response:	The one who sees them
context: Mitabi!\So why did you want to go to the world beyond the walls?\From the time we are born,\we are free...\It doesn't matter how strong\those who would deny us that freedom are...\Flaming water... Frozen earth... I don't care what it is!\The one who sees them response:	will be the freest person in the world!
context: So why did you want to go to the world beyond the walls?\From the time we are born,\we are free...\It doesn't matter how strong\those who would deny us that freedom are...\Flaming water... Frozen earth... I don't care what it is!\The one who sees them\will be the freest person in the world! response:	Fight...
context: From the time we are born,\we are free...\It doesn't matter how strong\those who would deny us that freedom are...\Flaming water... Frozen earth... I don't care what it is!\The one who sees them\will be the freest person in the world!\Fight... response:	I'd willingly give my life for that!
context: we are free...\It doesn't matter how strong\those who would deny us that freedom are...\Flaming water... Frozen earth... I don't care what it is!\The one who sees them\will be the freest person in the world!\Fight...\I'd willingly give my life for that! response:	It doesn't matter how terrifying the world is.
context: It doesn't matter how strong\those who would deny us that freedom are...\Flaming water... Frozen earth... I don't care what it is!\The one who sees them\will be the freest person in the world!\Fight...\I'd willingly give my life for that!\It doesn't matter how terrifying the world is. response:	It doesn't matter how cruel the world is!
context: those who would deny us that freedom are...\Flaming water... Frozen earth... I don't care what it is!\The one who sees them\will be the freest person in the world!\Fight...\I'd willingly give my life for that!\It doesn't matter how terrifying the world is.\It doesn't matter how cruel the world is! response:	Fight...
context: Flaming water... Frozen earth... I don't care what it is!\The one who sees them\will be the freest person in the world!\Fight...\I'd willingly give my life for that!\It doesn't matter how terrifying the world is.\It doesn't matter how cruel the world is!\Fight... response:	Fight!
context: The one who sees them\will be the freest person in the world!\Fight...\I'd willingly give my life for that!\It doesn't matter how terrifying the world is.\It doesn't matter how cruel the world is!\Fight...\Fight! response:	Fight!
context: will be the freest person in the world!\Fight...\I'd willingly give my life for that!\It doesn't matter how terrifying the world is.\It doesn't matter how cruel the world is!\Fight...\Fight!\Fight! response:	Fight!
context: Fight...\I'd willingly give my life for that!\It doesn't matter how terrifying the world is.\It doesn't matter how cruel the world is!\Fight...\Fight!\Fight!\Fight! response:	Another Titan?
context: I'd willingly give my life for that!\It doesn't matter how terrifying the world is.\It doesn't matter how cruel the world is!\Fight...\Fight!\Fight!\Fight!\Another Titan? response:	I'll handle it.
context: It doesn't matter how terrifying the world is.\It doesn't matter how cruel the world is!\Fight...\Fight!\Fight!\Fight!\Another Titan?\I'll handle it. response:	Out of the way!
context: It doesn't matter how cruel the world is!\Fight...\Fight!\Fight!\Fight!\Another Titan?\I'll handle it.\Out of the way! response:	Go, Eren!
context: Fight...\Fight!\Fight!\Fight!\Another Titan?\I'll handle it.\Out of the way!\Go, Eren! response:	Fight!
context: Fight!\Fight!\Fight!\Another Titan?\I'll handle it.\Out of the way!\Go, Eren!\Fight! response:	Everyone...
context: Fight!\Fight!\Another Titan?\I'll handle it.\Out of the way!\Go, Eren!\Fight!\Everyone... response:	You didn't die in vain...
context: Fight!\Another Titan?\I'll handle it.\Out of the way!\Go, Eren!\Fight!\Everyone...\You didn't die in vain... response:	Today, for the first time, humanity has defeated the Titans!
context: Another Titan?\I'll handle it.\Out of the way!\Go, Eren!\Fight!\Everyone...\You didn't die in vain...\Today, for the first time, humanity has defeated the Titans! response:	Yellow smoke round sighted.
context: I'll handle it.\Out of the way!\Go, Eren!\Fight!\Everyone...\You didn't die in vain...\Today, for the first time, humanity has defeated the Titans!\Yellow smoke round sighted. response:	The operation has succeeded!
context: Out of the way!\Go, Eren!\Fight!\Everyone...\You didn't die in vain...\Today, for the first time, humanity has defeated the Titans!\Yellow smoke round sighted.\The operation has succeeded! response:	Send more reinforcements!
context: Go, Eren!\Fight!\Everyone...\You didn't die in vain...\Today, for the first time, humanity has defeated the Titans!\Yellow smoke round sighted.\The operation has succeeded!\Send more reinforcements! response:	Evac the elite team!
context: Fight!\Everyone...\You didn't die in vain...\Today, for the first time, humanity has defeated the Titans!\Yellow smoke round sighted.\The operation has succeeded!\Send more reinforcements!\Evac the elite team! response:	History of the War Against the Titans (1) The oldest available records say the Titans appeared 107 years ago. They devoured most of humanity.
