context: This is for pushing me off my horse. response:	This is for leaving me unable to walk.
context: All that remained was to wait, and hear that\she'd been sent to hell and devoured by another monster.\But...\Much to my surprise, she did not die.\She might have continued to live on.\That's why, Momoka, I sent you.\It wasn't easy.\Did you think a mere maid would simply response:	be allowed to meet with a Norma
context: she'd been sent to hell and devoured by another monster.\But...\Much to my surprise, she did not die.\She might have continued to live on.\That's why, Momoka, I sent you.\It wasn't easy.\Did you think a mere maid would simply\be allowed to meet with a Norma response:	banished to the ends of the earth?
context: But...\Much to my surprise, she did not die.\She might have continued to live on.\That's why, Momoka, I sent you.\It wasn't easy.\Did you think a mere maid would simply\be allowed to meet with a Norma\banished to the ends of the earth? response:	To see you fighting for Sylvia,
context: Much to my surprise, she did not die.\She might have continued to live on.\That's why, Momoka, I sent you.\It wasn't easy.\Did you think a mere maid would simply\be allowed to meet with a Norma\banished to the ends of the earth?\To see you fighting for Sylvia, response:	not even knowing you were being manipulated...
context: She might have continued to live on.\That's why, Momoka, I sent you.\It wasn't easy.\Did you think a mere maid would simply\be allowed to meet with a Norma\banished to the ends of the earth?\To see you fighting for Sylvia,\not even knowing you were being manipulated... response:	That was hilarious indeed.
context: That's why, Momoka, I sent you.\It wasn't easy.\Did you think a mere maid would simply\be allowed to meet with a Norma\banished to the ends of the earth?\To see you fighting for Sylvia,\not even knowing you were being manipulated...\That was hilarious indeed. response:	No.
context: It wasn't easy.\Did you think a mere maid would simply\be allowed to meet with a Norma\banished to the ends of the earth?\To see you fighting for Sylvia,\not even knowing you were being manipulated...\That was hilarious indeed.\No. response:	No.
context: Did you think a mere maid would simply\be allowed to meet with a Norma\banished to the ends of the earth?\To see you fighting for Sylvia,\not even knowing you were being manipulated...\That was hilarious indeed.\No.\No. response:	The Empress died in her foolish attempt to protect a Norma,
context: be allowed to meet with a Norma\banished to the ends of the earth?\To see you fighting for Sylvia,\not even knowing you were being manipulated...\That was hilarious indeed.\No.\No.\The Empress died in her foolish attempt to protect a Norma, response:	and the witless Emperor was executed for deceiving the people.
context: banished to the ends of the earth?\To see you fighting for Sylvia,\not even knowing you were being manipulated...\That was hilarious indeed.\No.\No.\The Empress died in her foolish attempt to protect a Norma,\and the witless Emperor was executed for deceiving the people. response:	Executed?
context: To see you fighting for Sylvia,\not even knowing you were being manipulated...\That was hilarious indeed.\No.\No.\The Empress died in her foolish attempt to protect a Norma,\and the witless Emperor was executed for deceiving the people.\Executed? response:	Abominable Norma, Angelise, who carries the royal bloodline.
context: not even knowing you were being manipulated...\That was hilarious indeed.\No.\No.\The Empress died in her foolish attempt to protect a Norma,\and the witless Emperor was executed for deceiving the people.\Executed?\Abominable Norma, Angelise, who carries the royal bloodline. response:	With your judgment, the cleansing of the royal family will be complete.
context: That was hilarious indeed.\No.\No.\The Empress died in her foolish attempt to protect a Norma,\and the witless Emperor was executed for deceiving the people.\Executed?\Abominable Norma, Angelise, who carries the royal bloodline.\With your judgment, the cleansing of the royal family will be complete. response:	Tonight, this nation will be reborn.
context: No.\No.\The Empress died in her foolish attempt to protect a Norma,\and the witless Emperor was executed for deceiving the people.\Executed?\Abominable Norma, Angelise, who carries the royal bloodline.\With your judgment, the cleansing of the royal family will be complete.\Tonight, this nation will be reborn. response:	The New Empire of Misurugi.
context: No.\The Empress died in her foolish attempt to protect a Norma,\and the witless Emperor was executed for deceiving the people.\Executed?\Abominable Norma, Angelise, who carries the royal bloodline.\With your judgment, the cleansing of the royal family will be complete.\Tonight, this nation will be reborn.\The New Empire of Misurugi. response:	As Julio the First, Emperor of the Holy Empire,
context: The Empress died in her foolish attempt to protect a Norma,\and the witless Emperor was executed for deceiving the people.\Executed?\Abominable Norma, Angelise, who carries the royal bloodline.\With your judgment, the cleansing of the royal family will be complete.\Tonight, this nation will be reborn.\The New Empire of Misurugi.\As Julio the First, Emperor of the Holy Empire, response:	I demand that this Norma be executed.
context: and the witless Emperor was executed for deceiving the people.\Executed?\Abominable Norma, Angelise, who carries the royal bloodline.\With your judgment, the cleansing of the royal family will be complete.\Tonight, this nation will be reborn.\The New Empire of Misurugi.\As Julio the First, Emperor of the Holy Empire,\I demand that this Norma be executed. response:	Goodbye from the Gallows
context: Executed?\Abominable Norma, Angelise, who carries the royal bloodline.\With your judgment, the cleansing of the royal family will be complete.\Tonight, this nation will be reborn.\The New Empire of Misurugi.\As Julio the First, Emperor of the Holy Empire,\I demand that this Norma be executed.\Goodbye from the Gallows response:	Pathetic.
context: Abominable Norma, Angelise, who carries the royal bloodline.\With your judgment, the cleansing of the royal family will be complete.\Tonight, this nation will be reborn.\The New Empire of Misurugi.\As Julio the First, Emperor of the Holy Empire,\I demand that this Norma be executed.\Goodbye from the Gallows\Pathetic. response:	That's what you get for lying to us.
context: With your judgment, the cleansing of the royal family will be complete.\Tonight, this nation will be reborn.\The New Empire of Misurugi.\As Julio the First, Emperor of the Holy Empire,\I demand that this Norma be executed.\Goodbye from the Gallows\Pathetic.\That's what you get for lying to us. response:	Why?
context: Tonight, this nation will be reborn.\The New Empire of Misurugi.\As Julio the First, Emperor of the Holy Empire,\I demand that this Norma be executed.\Goodbye from the Gallows\Pathetic.\That's what you get for lying to us.\Why? response:	Why do I need to be executed?
context: The New Empire of Misurugi.\As Julio the First, Emperor of the Holy Empire,\I demand that this Norma be executed.\Goodbye from the Gallows\Pathetic.\That's what you get for lying to us.\Why?\Why do I need to be executed? response:	For what crime?
context: As Julio the First, Emperor of the Holy Empire,\I demand that this Norma be executed.\Goodbye from the Gallows\Pathetic.\That's what you get for lying to us.\Why?\Why do I need to be executed?\For what crime? response:	Shut up, Norma.
context: I demand that this Norma be executed.\Goodbye from the Gallows\Pathetic.\That's what you get for lying to us.\Why?\Why do I need to be executed?\For what crime?\Shut up, Norma. response:	Don't you remember what you did to me?
context: Goodbye from the Gallows\Pathetic.\That's what you get for lying to us.\Why?\Why do I need to be executed?\For what crime?\Shut up, Norma.\Don't you remember what you did to me? response:	I just kicked you around a little and tied you up.
context: Pathetic.\That's what you get for lying to us.\Why?\Why do I need to be executed?\For what crime?\Shut up, Norma.\Don't you remember what you did to me?\I just kicked you around a little and tied you up. response:	It's not a big deal.
context: That's what you get for lying to us.\Why?\Why do I need to be executed?\For what crime?\Shut up, Norma.\Don't you remember what you did to me?\I just kicked you around a little and tied you up.\It's not a big deal. response:	A little?
context: Why?\Why do I need to be executed?\For what crime?\Shut up, Norma.\Don't you remember what you did to me?\I just kicked you around a little and tied you up.\It's not a big deal.\A little? response:	That's awful.
context: Why do I need to be executed?\For what crime?\Shut up, Norma.\Don't you remember what you did to me?\I just kicked you around a little and tied you up.\It's not a big deal.\A little?\That's awful. response:	That's awful.
context: For what crime?\Shut up, Norma.\Don't you remember what you did to me?\I just kicked you around a little and tied you up.\It's not a big deal.\A little?\That's awful.\That's awful. response:	It doesn't warrant an execution.
context: Shut up, Norma.\Don't you remember what you did to me?\I just kicked you around a little and tied you up.\It's not a big deal.\A little?\That's awful.\That's awful.\It doesn't warrant an execution. response:	That's if you were a human.
context: Don't you remember what you did to me?\I just kicked you around a little and tied you up.\It's not a big deal.\A little?\That's awful.\That's awful.\It doesn't warrant an execution.\That's if you were a human. response:	You're a Norma. You're not human.
context: I just kicked you around a little and tied you up.\It's not a big deal.\A little?\That's awful.\That's awful.\It doesn't warrant an execution.\That's if you were a human.\You're a Norma. You're not human. response:	You made a lot of people uncomfortable and unhappy.
context: It's not a big deal.\A little?\That's awful.\That's awful.\It doesn't warrant an execution.\That's if you were a human.\You're a Norma. You're not human.\You made a lot of people uncomfortable and unhappy. response:	So you're being executed.
context: A little?\That's awful.\That's awful.\It doesn't warrant an execution.\That's if you were a human.\You're a Norma. You're not human.\You made a lot of people uncomfortable and unhappy.\So you're being executed. response:	You're telling me to die quietly over that?
context: That's awful.\That's awful.\It doesn't warrant an execution.\That's if you were a human.\You're a Norma. You're not human.\You made a lot of people uncomfortable and unhappy.\So you're being executed.\You're telling me to die quietly over that? response:	Like a farm animal?
context: That's awful.\It doesn't warrant an execution.\That's if you were a human.\You're a Norma. You're not human.\You made a lot of people uncomfortable and unhappy.\So you're being executed.\You're telling me to die quietly over that?\Like a farm animal? response:	It's the Normas' fault.
context: It doesn't warrant an execution.\That's if you were a human.\You're a Norma. You're not human.\You made a lot of people uncomfortable and unhappy.\So you're being executed.\You're telling me to die quietly over that?\Like a farm animal?\It's the Normas' fault. response:	That's why it's your fault.
context: That's if you were a human.\You're a Norma. You're not human.\You made a lot of people uncomfortable and unhappy.\So you're being executed.\You're telling me to die quietly over that?\Like a farm animal?\It's the Normas' fault.\That's why it's your fault. response:	Julio-sama says you get the death penalty,
context: You're a Norma. You're not human.\You made a lot of people uncomfortable and unhappy.\So you're being executed.\You're telling me to die quietly over that?\Like a farm animal?\It's the Normas' fault.\That's why it's your fault.\Julio-sama says you get the death penalty, response:	so what's your problem?
context: You made a lot of people uncomfortable and unhappy.\So you're being executed.\You're telling me to die quietly over that?\Like a farm animal?\It's the Normas' fault.\That's why it's your fault.\Julio-sama says you get the death penalty,\so what's your problem? response:	Yeah!
context: So you're being executed.\You're telling me to die quietly over that?\Like a farm animal?\It's the Normas' fault.\That's why it's your fault.\Julio-sama says you get the death penalty,\so what's your problem?\Yeah! response:	Kill the Norma!
context: You're telling me to die quietly over that?\Like a farm animal?\It's the Normas' fault.\That's why it's your fault.\Julio-sama says you get the death penalty,\so what's your problem?\Yeah!\Kill the Norma! response:	It's not her fault.
context: Like a farm animal?\It's the Normas' fault.\That's why it's your fault.\Julio-sama says you get the death penalty,\so what's your problem?\Yeah!\Kill the Norma!\It's not her fault. response:	Angelise-sama didn't do anything wrong.
context: It's the Normas' fault.\That's why it's your fault.\Julio-sama says you get the death penalty,\so what's your problem?\Yeah!\Kill the Norma!\It's not her fault.\Angelise-sama didn't do anything wrong. response:	I found happiness thanks to Angelise-sama.
context: That's why it's your fault.\Julio-sama says you get the death penalty,\so what's your problem?\Yeah!\Kill the Norma!\It's not her fault.\Angelise-sama didn't do anything wrong.\I found happiness thanks to Angelise-sama. response:	Hang her.
context: Julio-sama says you get the death penalty,\so what's your problem?\Yeah!\Kill the Norma!\It's not her fault.\Angelise-sama didn't do anything wrong.\I found happiness thanks to Angelise-sama.\Hang her. response:	Hang her.
context: so what's your problem?\Yeah!\Kill the Norma!\It's not her fault.\Angelise-sama didn't do anything wrong.\I found happiness thanks to Angelise-sama.\Hang her.\Hang her. response:	Hang her.
context: Yeah!\Kill the Norma!\It's not her fault.\Angelise-sama didn't do anything wrong.\I found happiness thanks to Angelise-sama.\Hang her.\Hang her.\Hang her. response:	Hang her.
context: Kill the Norma!\It's not her fault.\Angelise-sama didn't do anything wrong.\I found happiness thanks to Angelise-sama.\Hang her.\Hang her.\Hang her.\Hang her. response:	Hang her.
context: It's not her fault.\Angelise-sama didn't do anything wrong.\I found happiness thanks to Angelise-sama.\Hang her.\Hang her.\Hang her.\Hang her.\Hang her. response:	Hang her.
context: Angelise-sama didn't do anything wrong.\I found happiness thanks to Angelise-sama.\Hang her.\Hang her.\Hang her.\Hang her.\Hang her.\Hang her. response:	Why?
context: I found happiness thanks to Angelise-sama.\Hang her.\Hang her.\Hang her.\Hang her.\Hang her.\Hang her.\Why? response:	Why does Angelise-sama need to endure this?
context: Hang her.\Hang her.\Hang her.\Hang her.\Hang her.\Hang her.\Why?\Why does Angelise-sama need to endure this? response:	Momoka.
context: Hang her.\Hang her.\Hang her.\Hang her.\Hang her.\Why?\Why does Angelise-sama need to endure this?\Momoka. response:	You...
context: Hang her.\Hang her.\Hang her.\Hang her.\Why?\Why does Angelise-sama need to endure this?\Momoka.\You... response:	And those people...
context: Hang her.\Hang her.\Hang her.\Why?\Why does Angelise-sama need to endure this?\Momoka.\You...\And those people... response:	You were the only ones...
context: Hang her.\Hang her.\Why?\Why does Angelise-sama need to endure this?\Momoka.\You...\And those people...\You were the only ones... response:	Norma or not.
context: Hang her.\Why?\Why does Angelise-sama need to endure this?\Momoka.\You...\And those people...\You were the only ones...\Norma or not. response:	Compared to that...
context: Why?\Why does Angelise-sama need to endure this?\Momoka.\You...\And those people...\You were the only ones...\Norma or not.\Compared to that... response:	Hurry up and kill her.
context: Why does Angelise-sama need to endure this?\Momoka.\You...\And those people...\You were the only ones...\Norma or not.\Compared to that...\Hurry up and kill her. response:	I want to go home.
context: Momoka.\You...\And those people...\You were the only ones...\Norma or not.\Compared to that...\Hurry up and kill her.\I want to go home. response:	Get it on video for me, please.
context: You...\And those people...\You were the only ones...\Norma or not.\Compared to that...\Hurry up and kill her.\I want to go home.\Get it on video for me, please. response:	These are the just, peace-loving people of Misurugi Empire?
context: And those people...\You were the only ones...\Norma or not.\Compared to that...\Hurry up and kill her.\I want to go home.\Get it on video for me, please.\These are the just, peace-loving people of Misurugi Empire? response:	They're pigs. All of them.
context: You were the only ones...\Norma or not.\Compared to that...\Hurry up and kill her.\I want to go home.\Get it on video for me, please.\These are the just, peace-loving people of Misurugi Empire?\They're pigs. All of them. response:	They're all unreasonable, ugly, stupid pigs.
context: Norma or not.\Compared to that...\Hurry up and kill her.\I want to go home.\Get it on video for me, please.\These are the just, peace-loving people of Misurugi Empire?\They're pigs. All of them.\They're all unreasonable, ugly, stupid pigs. response:	Why do we Norma have to go through so much to keep them alive?
context: Compared to that...\Hurry up and kill her.\I want to go home.\Get it on video for me, please.\These are the just, peace-loving people of Misurugi Empire?\They're pigs. All of them.\They're all unreasonable, ugly, stupid pigs.\Why do we Norma have to go through so much to keep them alive? response:	Angelise,
context: Hurry up and kill her.\I want to go home.\Get it on video for me, please.\These are the just, peace-loving people of Misurugi Empire?\They're pigs. All of them.\They're all unreasonable, ugly, stupid pigs.\Why do we Norma have to go through so much to keep them alive?\Angelise, response:	this is for you.
context: I want to go home.\Get it on video for me, please.\These are the just, peace-loving people of Misurugi Empire?\They're pigs. All of them.\They're all unreasonable, ugly, stupid pigs.\Why do we Norma have to go through so much to keep them alive?\Angelise,\this is for you. response:	May the light protect you.
context: Get it on video for me, please.\These are the just, peace-loving people of Misurugi Empire?\They're pigs. All of them.\They're all unreasonable, ugly, stupid pigs.\Why do we Norma have to go through so much to keep them alive?\Angelise,\this is for you.\May the light protect you. response:	Hang her.
context: These are the just, peace-loving people of Misurugi Empire?\They're pigs. All of them.\They're all unreasonable, ugly, stupid pigs.\Why do we Norma have to go through so much to keep them alive?\Angelise,\this is for you.\May the light protect you.\Hang her. response:	Hang her.
context: They're pigs. All of them.\They're all unreasonable, ugly, stupid pigs.\Why do we Norma have to go through so much to keep them alive?\Angelise,\this is for you.\May the light protect you.\Hang her.\Hang her. response:	Hang her.
context: They're all unreasonable, ugly, stupid pigs.\Why do we Norma have to go through so much to keep them alive?\Angelise,\this is for you.\May the light protect you.\Hang her.\Hang her.\Hang her. response:	Hang her.
context: Why do we Norma have to go through so much to keep them alive?\Angelise,\this is for you.\May the light protect you.\Hang her.\Hang her.\Hang her.\Hang her. response:	The light of the beginning
context: Angelise,\this is for you.\May the light protect you.\Hang her.\Hang her.\Hang her.\Hang her.\The light of the beginning response:	Sparkle, sparkle
context: this is for you.\May the light protect you.\Hang her.\Hang her.\Hang her.\Hang her.\The light of the beginning\Sparkle, sparkle response:	Hey.
context: May the light protect you.\Hang her.\Hang her.\Hang her.\Hang her.\The light of the beginning\Sparkle, sparkle\Hey. response:	Wait.
context: Hang her.\Hang her.\Hang her.\Hang her.\The light of the beginning\Sparkle, sparkle\Hey.\Wait. response:	The light of the end
context: Hang her.\Hang her.\Hang her.\The light of the beginning\Sparkle, sparkle\Hey.\Wait.\The light of the end response:	It's...
context: Hang her.\Hang her.\The light of the beginning\Sparkle, sparkle\Hey.\Wait.\The light of the end\It's... response:	The Endless Song.
context: Hang her.\The light of the beginning\Sparkle, sparkle\Hey.\Wait.\The light of the end\It's...\The Endless Song. response:	That's Mother's song.
context: The light of the beginning\Sparkle, sparkle\Hey.\Wait.\The light of the end\It's...\The Endless Song.\That's Mother's song. response:	Don't ruin it, you Norma!
context: Sparkle, sparkle\Hey.\Wait.\The light of the end\It's...\The Endless Song.\That's Mother's song.\Don't ruin it, you Norma! response:	Guards, make her stop.
context: Hey.\Wait.\The light of the end\It's...\The Endless Song.\That's Mother's song.\Don't ruin it, you Norma!\Guards, make her stop. response:	Sir.
context: Wait.\The light of the end\It's...\The Endless Song.\That's Mother's song.\Don't ruin it, you Norma!\Guards, make her stop.\Sir. response:	Hey, you, that's enough.
context: The light of the end\It's...\The Endless Song.\That's Mother's song.\Don't ruin it, you Norma!\Guards, make her stop.\Sir.\Hey, you, that's enough. response:	The time flows from the hour glass
context: It's...\The Endless Song.\That's Mother's song.\Don't ruin it, you Norma!\Guards, make her stop.\Sir.\Hey, you, that's enough.\The time flows from the hour glass response:	This guiding light...
context: The Endless Song.\That's Mother's song.\Don't ruin it, you Norma!\Guards, make her stop.\Sir.\Hey, you, that's enough.\The time flows from the hour glass\This guiding light... response:	It's all that Mother left me.
context: That's Mother's song.\Don't ruin it, you Norma!\Guards, make her stop.\Sir.\Hey, you, that's enough.\The time flows from the hour glass\This guiding light...\It's all that Mother left me. response:	I won't die.
context: Don't ruin it, you Norma!\Guards, make her stop.\Sir.\Hey, you, that's enough.\The time flows from the hour glass\This guiding light...\It's all that Mother left me.\I won't die. response:	The many millions of lives...
context: Guards, make her stop.\Sir.\Hey, you, that's enough.\The time flows from the hour glass\This guiding light...\It's all that Mother left me.\I won't die.\The many millions of lives... response:	I won't give up.
context: Sir.\Hey, you, that's enough.\The time flows from the hour glass\This guiding light...\It's all that Mother left me.\I won't die.\The many millions of lives...\I won't give up. response:	Try to kill me if you can.
context: Hey, you, that's enough.\The time flows from the hour glass\This guiding light...\It's all that Mother left me.\I won't die.\The many millions of lives...\I won't give up.\Try to kill me if you can. response:	Hurry up.
context: The time flows from the hour glass\This guiding light...\It's all that Mother left me.\I won't die.\The many millions of lives...\I won't give up.\Try to kill me if you can.\Hurry up. response:	Sir.
context: This guiding light...\It's all that Mother left me.\I won't die.\The many millions of lives...\I won't give up.\Try to kill me if you can.\Hurry up.\Sir. response:	This is goodbye, Angelise.
context: It's all that Mother left me.\I won't die.\The many millions of lives...\I won't give up.\Try to kill me if you can.\Hurry up.\Sir.\This is goodbye, Angelise. response:	Angelise-sama!
context: I won't die.\The many millions of lives...\I won't give up.\Try to kill me if you can.\Hurry up.\Sir.\This is goodbye, Angelise.\Angelise-sama! response:	Wh-Why... you!
context: The many millions of lives...\I won't give up.\Try to kill me if you can.\Hurry up.\Sir.\This is goodbye, Angelise.\Angelise-sama!\Wh-Why... you! response:	Huh?
context: I won't give up.\Try to kill me if you can.\Hurry up.\Sir.\This is goodbye, Angelise.\Angelise-sama!\Wh-Why... you!\Huh? response:	Tusk.
context: Try to kill me if you can.\Hurry up.\Sir.\This is goodbye, Angelise.\Angelise-sama!\Wh-Why... you!\Huh?\Tusk. response:	Guards, what are you doing?
context: Hurry up.\Sir.\This is goodbye, Angelise.\Angelise-sama!\Wh-Why... you!\Huh?\Tusk.\Guards, what are you doing? response:	Hurry up and restrain them.
context: Sir.\This is goodbye, Angelise.\Angelise-sama!\Wh-Why... you!\Huh?\Tusk.\Guards, what are you doing?\Hurry up and restrain them. response:	That Norma-saver. What is he?
context: This is goodbye, Angelise.\Angelise-sama!\Wh-Why... you!\Huh?\Tusk.\Guards, what are you doing?\Hurry up and restrain them.\That Norma-saver. What is he? response:	A rebel element.
context: Angelise-sama!\Wh-Why... you!\Huh?\Tusk.\Guards, what are you doing?\Hurry up and restrain them.\That Norma-saver. What is he?\A rebel element. response:	A Norma-sympathizing terrorist.
context: Wh-Why... you!\Huh?\Tusk.\Guards, what are you doing?\Hurry up and restrain them.\That Norma-saver. What is he?\A rebel element.\A Norma-sympathizing terrorist. response:	Angelise-sama.
context: Huh?\Tusk.\Guards, what are you doing?\Hurry up and restrain them.\That Norma-saver. What is he?\A rebel element.\A Norma-sympathizing terrorist.\Angelise-sama. response:	Momoka.
context: Tusk.\Guards, what are you doing?\Hurry up and restrain them.\That Norma-saver. What is he?\A rebel element.\A Norma-sympathizing terrorist.\Angelise-sama.\Momoka. response:	Release.
context: Guards, what are you doing?\Hurry up and restrain them.\That Norma-saver. What is he?\A rebel element.\A Norma-sympathizing terrorist.\Angelise-sama.\Momoka.\Release. response:	Kill them if you must.
context: Hurry up and restrain them.\That Norma-saver. What is he?\A rebel element.\A Norma-sympathizing terrorist.\Angelise-sama.\Momoka.\Release.\Kill them if you must. response:	Don't let them escape.
context: That Norma-saver. What is he?\A rebel element.\A Norma-sympathizing terrorist.\Angelise-sama.\Momoka.\Release.\Kill them if you must.\Don't let them escape. response:	Momoka.
context: A rebel element.\A Norma-sympathizing terrorist.\Angelise-sama.\Momoka.\Release.\Kill them if you must.\Don't let them escape.\Momoka. response:	Yes, use these.
context: A Norma-sympathizing terrorist.\Angelise-sama.\Momoka.\Release.\Kill them if you must.\Don't let them escape.\Momoka.\Yes, use these. response:	It's just like a Para-mail.
context: Angelise-sama.\Momoka.\Release.\Kill them if you must.\Don't let them escape.\Momoka.\Yes, use these.\It's just like a Para-mail. response:	Get on, Momoka.
context: Momoka.\Release.\Kill them if you must.\Don't let them escape.\Momoka.\Yes, use these.\It's just like a Para-mail.\Get on, Momoka. response:	We're escaping.
context: Release.\Kill them if you must.\Don't let them escape.\Momoka.\Yes, use these.\It's just like a Para-mail.\Get on, Momoka.\We're escaping. response:	Okay.
context: Kill them if you must.\Don't let them escape.\Momoka.\Yes, use these.\It's just like a Para-mail.\Get on, Momoka.\We're escaping.\Okay. response:	Get them!
context: Don't let them escape.\Momoka.\Yes, use these.\It's just like a Para-mail.\Get on, Momoka.\We're escaping.\Okay.\Get them! response:	Angelise, why you...
context: Momoka.\Yes, use these.\It's just like a Para-mail.\Get on, Momoka.\We're escaping.\Okay.\Get them!\Angelise, why you... response:	Thank you, Onii-sama.
context: Yes, use these.\It's just like a Para-mail.\Get on, Momoka.\We're escaping.\Okay.\Get them!\Angelise, why you...\Thank you, Onii-sama. response:	You revealed my true identity.
context: It's just like a Para-mail.\Get on, Momoka.\We're escaping.\Okay.\Get them!\Angelise, why you...\Thank you, Onii-sama.\You revealed my true identity. response:	Thank you, Sylvia.
context: Get on, Momoka.\We're escaping.\Okay.\Get them!\Angelise, why you...\Thank you, Onii-sama.\You revealed my true identity.\Thank you, Sylvia. response:	You showed me the true, filthy nature of human beings.
context: We're escaping.\Okay.\Get them!\Angelise, why you...\Thank you, Onii-sama.\You revealed my true identity.\Thank you, Sylvia.\You showed me the true, filthy nature of human beings. response:	Goodbye, beasts from a rotten nation!
context: Okay.\Get them!\Angelise, why you...\Thank you, Onii-sama.\You revealed my true identity.\Thank you, Sylvia.\You showed me the true, filthy nature of human beings.\Goodbye, beasts from a rotten nation! response:	After her! After her!
