context: I must be aware... response:	of the ball,
context: Weren't you going to crush me and Hinata?\That's right. That's right.\Try it if you can.\Try it.\Why are you bragging the most, Tanaka?\That's right. You're scoring thanks to the first-years.\You have a big attitude.\Don't take off your shirt, baldie. response:	Who's trash-talking me over there?!
context: That's right. That's right.\Try it if you can.\Try it.\Why are you bragging the most, Tanaka?\That's right. You're scoring thanks to the first-years.\You have a big attitude.\Don't take off your shirt, baldie.\Who's trash-talking me over there?! response:	Frankly, if they can't stop Kagaeyama and Hinata's attacks,
context: Try it if you can.\Try it.\Why are you bragging the most, Tanaka?\That's right. You're scoring thanks to the first-years.\You have a big attitude.\Don't take off your shirt, baldie.\Who's trash-talking me over there?!\Frankly, if they can't stop Kagaeyama and Hinata's attacks, response:	Tsukishima's team is going down. They lack conviction.
context: Try it.\Why are you bragging the most, Tanaka?\That's right. You're scoring thanks to the first-years.\You have a big attitude.\Don't take off your shirt, baldie.\Who's trash-talking me over there?!\Frankly, if they can't stop Kagaeyama and Hinata's attacks,\Tsukishima's team is going down. They lack conviction. response:	Starting the second set.
context: Why are you bragging the most, Tanaka?\That's right. You're scoring thanks to the first-years.\You have a big attitude.\Don't take off your shirt, baldie.\Who's trash-talking me over there?!\Frankly, if they can't stop Kagaeyama and Hinata's attacks,\Tsukishima's team is going down. They lack conviction.\Starting the second set. response:	Let's go.
context: That's right. You're scoring thanks to the first-years.\You have a big attitude.\Don't take off your shirt, baldie.\Who's trash-talking me over there?!\Frankly, if they can't stop Kagaeyama and Hinata's attacks,\Tsukishima's team is going down. They lack conviction.\Starting the second set.\Let's go. response:	Right.
context: You have a big attitude.\Don't take off your shirt, baldie.\Who's trash-talking me over there?!\Frankly, if they can't stop Kagaeyama and Hinata's attacks,\Tsukishima's team is going down. They lack conviction.\Starting the second set.\Let's go.\Right. response:	Tsukishima-Yamaguchi Kageyama-Hinata
context: Don't take off your shirt, baldie.\Who's trash-talking me over there?!\Frankly, if they can't stop Kagaeyama and Hinata's attacks,\Tsukishima's team is going down. They lack conviction.\Starting the second set.\Let's go.\Right.\Tsukishima-Yamaguchi Kageyama-Hinata response:	All right.
context: Who's trash-talking me over there?!\Frankly, if they can't stop Kagaeyama and Hinata's attacks,\Tsukishima's team is going down. They lack conviction.\Starting the second set.\Let's go.\Right.\Tsukishima-Yamaguchi Kageyama-Hinata\All right. response:	Tsukishima-Yamaguchi Kageyama-Hinata
context: Frankly, if they can't stop Kagaeyama and Hinata's attacks,\Tsukishima's team is going down. They lack conviction.\Starting the second set.\Let's go.\Right.\Tsukishima-Yamaguchi Kageyama-Hinata\All right.\Tsukishima-Yamaguchi Kageyama-Hinata response:	Tsukishima-Yamaguchi Kageyama-Hinata
context: Tsukishima's team is going down. They lack conviction.\Starting the second set.\Let's go.\Right.\Tsukishima-Yamaguchi Kageyama-Hinata\All right.\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata response:	Tsukishima-Yamaguchi Kageyama-Hinata
context: Starting the second set.\Let's go.\Right.\Tsukishima-Yamaguchi Kageyama-Hinata\All right.\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata response:	Kageyama is amazing,
context: Let's go.\Right.\Tsukishima-Yamaguchi Kageyama-Hinata\All right.\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Kageyama is amazing, response:	but it be really taxing to keep making such accurate tosses.
context: Right.\Tsukishima-Yamaguchi Kageyama-Hinata\All right.\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Kageyama is amazing,\but it be really taxing to keep making such accurate tosses. response:	Hinata's looking tired from moving around so much.
context: Tsukishima-Yamaguchi Kageyama-Hinata\All right.\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Kageyama is amazing,\but it be really taxing to keep making such accurate tosses.\Hinata's looking tired from moving around so much. response:	Yeah, but...
context: All right.\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Kageyama is amazing,\but it be really taxing to keep making such accurate tosses.\Hinata's looking tired from moving around so much.\Yeah, but... response:	Yes.
context: Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Kageyama is amazing,\but it be really taxing to keep making such accurate tosses.\Hinata's looking tired from moving around so much.\Yeah, but...\Yes. response:	I think they're having fun.
context: Tsukishima-Yamaguchi Kageyama-Hinata\Tsukishima-Yamaguchi Kageyama-Hinata\Kageyama is amazing,\but it be really taxing to keep making such accurate tosses.\Hinata's looking tired from moving around so much.\Yeah, but...\Yes.\I think they're having fun. response:	Tsukishima-Yamaguchi Kageyama-Hinata
context: Tsukishima-Yamaguchi Kageyama-Hinata\Kageyama is amazing,\but it be really taxing to keep making such accurate tosses.\Hinata's looking tired from moving around so much.\Yeah, but...\Yes.\I think they're having fun.\Tsukishima-Yamaguchi Kageyama-Hinata response:	Good job.
context: Kageyama is amazing,\but it be really taxing to keep making such accurate tosses.\Hinata's looking tired from moving around so much.\Yeah, but...\Yes.\I think they're having fun.\Tsukishima-Yamaguchi Kageyama-Hinata\Good job. response:	Da... Daichi-san, Suga-san,
context: but it be really taxing to keep making such accurate tosses.\Hinata's looking tired from moving around so much.\Yeah, but...\Yes.\I think they're having fun.\Tsukishima-Yamaguchi Kageyama-Hinata\Good job.\Da... Daichi-san, Suga-san, response:	did you two know those two could attack like that,
context: Hinata's looking tired from moving around so much.\Yeah, but...\Yes.\I think they're having fun.\Tsukishima-Yamaguchi Kageyama-Hinata\Good job.\Da... Daichi-san, Suga-san,\did you two know those two could attack like that, response:	when you said what you said?
context: Yeah, but...\Yes.\I think they're having fun.\Tsukishima-Yamaguchi Kageyama-Hinata\Good job.\Da... Daichi-san, Suga-san,\did you two know those two could attack like that,\when you said what you said? response:	Huh?
context: Yes.\I think they're having fun.\Tsukishima-Yamaguchi Kageyama-Hinata\Good job.\Da... Daichi-san, Suga-san,\did you two know those two could attack like that,\when you said what you said?\Huh? response:	If we can utilize that combination...
context: I think they're having fun.\Tsukishima-Yamaguchi Kageyama-Hinata\Good job.\Da... Daichi-san, Suga-san,\did you two know those two could attack like that,\when you said what you said?\Huh?\If we can utilize that combination... response:	Karasuno will make explosive improvement.
context: Tsukishima-Yamaguchi Kageyama-Hinata\Good job.\Da... Daichi-san, Suga-san,\did you two know those two could attack like that,\when you said what you said?\Huh?\If we can utilize that combination...\Karasuno will make explosive improvement. response:	Can't we use it to our advantage, some how?
context: Good job.\Da... Daichi-san, Suga-san,\did you two know those two could attack like that,\when you said what you said?\Huh?\If we can utilize that combination...\Karasuno will make explosive improvement.\Can't we use it to our advantage, some how? response:	Of course not.
context: Da... Daichi-san, Suga-san,\did you two know those two could attack like that,\when you said what you said?\Huh?\If we can utilize that combination...\Karasuno will make explosive improvement.\Can't we use it to our advantage, some how?\Of course not. response:	I just meant he should give Hinata tosses he'd have no trouble spiking.
context: did you two know those two could attack like that,\when you said what you said?\Huh?\If we can utilize that combination...\Karasuno will make explosive improvement.\Can't we use it to our advantage, some how?\Of course not.\I just meant he should give Hinata tosses he'd have no trouble spiking. response:	I thought maybe Hinata could get used to Kageyama's somewhat reckless tosses...
context: when you said what you said?\Huh?\If we can utilize that combination...\Karasuno will make explosive improvement.\Can't we use it to our advantage, some how?\Of course not.\I just meant he should give Hinata tosses he'd have no trouble spiking.\I thought maybe Hinata could get used to Kageyama's somewhat reckless tosses... response:	But that isn't exactly what happened.
context: Huh?\If we can utilize that combination...\Karasuno will make explosive improvement.\Can't we use it to our advantage, some how?\Of course not.\I just meant he should give Hinata tosses he'd have no trouble spiking.\I thought maybe Hinata could get used to Kageyama's somewhat reckless tosses...\But that isn't exactly what happened. response:	I was hoping they would simply fight together,
context: If we can utilize that combination...\Karasuno will make explosive improvement.\Can't we use it to our advantage, some how?\Of course not.\I just meant he should give Hinata tosses he'd have no trouble spiking.\I thought maybe Hinata could get used to Kageyama's somewhat reckless tosses...\But that isn't exactly what happened.\I was hoping they would simply fight together, response:	but they actually made each other stronger.
context: Karasuno will make explosive improvement.\Can't we use it to our advantage, some how?\Of course not.\I just meant he should give Hinata tosses he'd have no trouble spiking.\I thought maybe Hinata could get used to Kageyama's somewhat reckless tosses...\But that isn't exactly what happened.\I was hoping they would simply fight together,\but they actually made each other stronger. response:	Hinata is raw, but he has natural speed and jumping ability.
context: Can't we use it to our advantage, some how?\Of course not.\I just meant he should give Hinata tosses he'd have no trouble spiking.\I thought maybe Hinata could get used to Kageyama's somewhat reckless tosses...\But that isn't exactly what happened.\I was hoping they would simply fight together,\but they actually made each other stronger.\Hinata is raw, but he has natural speed and jumping ability. response:	Then Kageyama perfectly utilizes Hinata's abilities with his finely-honed skill.
context: Of course not.\I just meant he should give Hinata tosses he'd have no trouble spiking.\I thought maybe Hinata could get used to Kageyama's somewhat reckless tosses...\But that isn't exactly what happened.\I was hoping they would simply fight together,\but they actually made each other stronger.\Hinata is raw, but he has natural speed and jumping ability.\Then Kageyama perfectly utilizes Hinata's abilities with his finely-honed skill. response:	The two of them bring out the best in each other.
context: I just meant he should give Hinata tosses he'd have no trouble spiking.\I thought maybe Hinata could get used to Kageyama's somewhat reckless tosses...\But that isn't exactly what happened.\I was hoping they would simply fight together,\but they actually made each other stronger.\Hinata is raw, but he has natural speed and jumping ability.\Then Kageyama perfectly utilizes Hinata's abilities with his finely-honed skill.\The two of them bring out the best in each other. response:	Why? We don't have to.
context: I thought maybe Hinata could get used to Kageyama's somewhat reckless tosses...\But that isn't exactly what happened.\I was hoping they would simply fight together,\but they actually made each other stronger.\Hinata is raw, but he has natural speed and jumping ability.\Then Kageyama perfectly utilizes Hinata's abilities with his finely-honed skill.\The two of them bring out the best in each other.\Why? We don't have to. response:	As a duo, they may exceed all expectations.
context: But that isn't exactly what happened.\I was hoping they would simply fight together,\but they actually made each other stronger.\Hinata is raw, but he has natural speed and jumping ability.\Then Kageyama perfectly utilizes Hinata's abilities with his finely-honed skill.\The two of them bring out the best in each other.\Why? We don't have to.\As a duo, they may exceed all expectations. response:	Yes, we do.
context: I was hoping they would simply fight together,\but they actually made each other stronger.\Hinata is raw, but he has natural speed and jumping ability.\Then Kageyama perfectly utilizes Hinata's abilities with his finely-honed skill.\The two of them bring out the best in each other.\Why? We don't have to.\As a duo, they may exceed all expectations.\Yes, we do. response:	All right. Let's go.
context: but they actually made each other stronger.\Hinata is raw, but he has natural speed and jumping ability.\Then Kageyama perfectly utilizes Hinata's abilities with his finely-honed skill.\The two of them bring out the best in each other.\Why? We don't have to.\As a duo, they may exceed all expectations.\Yes, we do.\All right. Let's go. response:	Tsukishima.
context: Hinata is raw, but he has natural speed and jumping ability.\Then Kageyama perfectly utilizes Hinata's abilities with his finely-honed skill.\The two of them bring out the best in each other.\Why? We don't have to.\As a duo, they may exceed all expectations.\Yes, we do.\All right. Let's go.\Tsukishima. response:	What?
context: Then Kageyama perfectly utilizes Hinata's abilities with his finely-honed skill.\The two of them bring out the best in each other.\Why? We don't have to.\As a duo, they may exceed all expectations.\Yes, we do.\All right. Let's go.\Tsukishima.\What? response:	We're supposed to shake hands before and after a match.
context: The two of them bring out the best in each other.\Why? We don't have to.\As a duo, they may exceed all expectations.\Yes, we do.\All right. Let's go.\Tsukishima.\What?\We're supposed to shake hands before and after a match. response:	Though we didn't do that at first today.
context: Why? We don't have to.\As a duo, they may exceed all expectations.\Yes, we do.\All right. Let's go.\Tsukishima.\What?\We're supposed to shake hands before and after a match.\Though we didn't do that at first today. response:	Besides, we're teammates now.
context: As a duo, they may exceed all expectations.\Yes, we do.\All right. Let's go.\Tsukishima.\What?\We're supposed to shake hands before and after a match.\Though we didn't do that at first today.\Besides, we're teammates now. response:	Though that doesn't make me happy.
context: Yes, we do.\All right. Let's go.\Tsukishima.\What?\We're supposed to shake hands before and after a match.\Though we didn't do that at first today.\Besides, we're teammates now.\Though that doesn't make me happy. response:	Hurry up.
context: All right. Let's go.\Tsukishima.\What?\We're supposed to shake hands before and after a match.\Though we didn't do that at first today.\Besides, we're teammates now.\Though that doesn't make me happy.\Hurry up. response:	Don't you know?
context: Tsukishima.\What?\We're supposed to shake hands before and after a match.\Though we didn't do that at first today.\Besides, we're teammates now.\Though that doesn't make me happy.\Hurry up.\Don't you know? response:	They'll kick you out the gym if you don't show team spirit.
context: What?\We're supposed to shake hands before and after a match.\Though we didn't do that at first today.\Besides, we're teammates now.\Though that doesn't make me happy.\Hurry up.\Don't you know?\They'll kick you out the gym if you don't show team spirit. response:	The reason why you two got kicked out
context: We're supposed to shake hands before and after a match.\Though we didn't do that at first today.\Besides, we're teammates now.\Though that doesn't make me happy.\Hurry up.\Don't you know?\They'll kick you out the gym if you don't show team spirit.\The reason why you two got kicked out response:	was because you ignored the captain,
context: Though we didn't do that at first today.\Besides, we're teammates now.\Though that doesn't make me happy.\Hurry up.\Don't you know?\They'll kick you out the gym if you don't show team spirit.\The reason why you two got kicked out\was because you ignored the captain, response:	started your own competition, and finally,
context: Besides, we're teammates now.\Though that doesn't make me happy.\Hurry up.\Don't you know?\They'll kick you out the gym if you don't show team spirit.\The reason why you two got kicked out\was because you ignored the captain,\started your own competition, and finally, response:	blew the dean's rug off his head.
context: Though that doesn't make me happy.\Hurry up.\Don't you know?\They'll kick you out the gym if you don't show team spirit.\The reason why you two got kicked out\was because you ignored the captain,\started your own competition, and finally,\blew the dean's rug off his head. response:	N-Never mind the minor details.
context: Hurry up.\Don't you know?\They'll kick you out the gym if you don't show team spirit.\The reason why you two got kicked out\was because you ignored the captain,\started your own competition, and finally,\blew the dean's rug off his head.\N-Never mind the minor details. response:	Shake hands.
context: Don't you know?\They'll kick you out the gym if you don't show team spirit.\The reason why you two got kicked out\was because you ignored the captain,\started your own competition, and finally,\blew the dean's rug off his head.\N-Never mind the minor details.\Shake hands. response:	Wh-What are you doing?
context: They'll kick you out the gym if you don't show team spirit.\The reason why you two got kicked out\was because you ignored the captain,\started your own competition, and finally,\blew the dean's rug off his head.\N-Never mind the minor details.\Shake hands.\Wh-What are you doing? response:	What are those first-years doing?
context: The reason why you two got kicked out\was because you ignored the captain,\started your own competition, and finally,\blew the dean's rug off his head.\N-Never mind the minor details.\Shake hands.\Wh-What are you doing?\What are those first-years doing? response:	Are you all right, Tsukki?
context: was because you ignored the captain,\started your own competition, and finally,\blew the dean's rug off his head.\N-Never mind the minor details.\Shake hands.\Wh-What are you doing?\What are those first-years doing?\Are you all right, Tsukki? response:	Tsukishima.
context: started your own competition, and finally,\blew the dean's rug off his head.\N-Never mind the minor details.\Shake hands.\Wh-What are you doing?\What are those first-years doing?\Are you all right, Tsukki?\Tsukishima. response:	How did you like the three-on-three?
context: blew the dean's rug off his head.\N-Never mind the minor details.\Shake hands.\Wh-What are you doing?\What are those first-years doing?\Are you all right, Tsukki?\Tsukishima.\How did you like the three-on-three? response:	It made no difference to me.
context: N-Never mind the minor details.\Shake hands.\Wh-What are you doing?\What are those first-years doing?\Are you all right, Tsukki?\Tsukishima.\How did you like the three-on-three?\It made no difference to me. response:	He's a king from an elite school, anyway.
context: Shake hands.\Wh-What are you doing?\What are those first-years doing?\Are you all right, Tsukki?\Tsukishima.\How did you like the three-on-three?\It made no difference to me.\He's a king from an elite school, anyway. response:	There's nothing strange about commoners losing to him.
context: Wh-What are you doing?\What are those first-years doing?\Are you all right, Tsukki?\Tsukishima.\How did you like the three-on-three?\It made no difference to me.\He's a king from an elite school, anyway.\There's nothing strange about commoners losing to him. response:	Hmm...
context: What are those first-years doing?\Are you all right, Tsukki?\Tsukishima.\How did you like the three-on-three?\It made no difference to me.\He's a king from an elite school, anyway.\There's nothing strange about commoners losing to him.\Hmm... response:	But then again,
context: Are you all right, Tsukki?\Tsukishima.\How did you like the three-on-three?\It made no difference to me.\He's a king from an elite school, anyway.\There's nothing strange about commoners losing to him.\Hmm...\But then again, response:	you played pretty seriously.
context: Tsukishima.\How did you like the three-on-three?\It made no difference to me.\He's a king from an elite school, anyway.\There's nothing strange about commoners losing to him.\Hmm...\But then again,\you played pretty seriously. response:	Here.
context: How did you like the three-on-three?\It made no difference to me.\He's a king from an elite school, anyway.\There's nothing strange about commoners losing to him.\Hmm...\But then again,\you played pretty seriously.\Here. response:	Captain.
context: It made no difference to me.\He's a king from an elite school, anyway.\There's nothing strange about commoners losing to him.\Hmm...\But then again,\you played pretty seriously.\Here.\Captain. response:	What?
context: He's a king from an elite school, anyway.\There's nothing strange about commoners losing to him.\Hmm...\But then again,\you played pretty seriously.\Here.\Captain.\What? response:	Club Application Volleyball First-Year, Class 3 Kageyama Tobio
context: There's nothing strange about commoners losing to him.\Hmm...\But then again,\you played pretty seriously.\Here.\Captain.\What?\Club Application Volleyball First-Year, Class 3 Kageyama Tobio response:	Club Application Volleyball First-Year, Class 1 Hinata Shoyo
context: Hmm...\But then again,\you played pretty seriously.\Here.\Captain.\What?\Club Application Volleyball First-Year, Class 3 Kageyama Tobio\Club Application Volleyball First-Year, Class 1 Hinata Shoyo response:	Shimizu.
context: But then again,\you played pretty seriously.\Here.\Captain.\What?\Club Application Volleyball First-Year, Class 3 Kageyama Tobio\Club Application Volleyball First-Year, Class 1 Hinata Shoyo\Shimizu. response:	The stuff is here, right?
context: you played pretty seriously.\Here.\Captain.\What?\Club Application Volleyball First-Year, Class 3 Kageyama Tobio\Club Application Volleyball First-Year, Class 1 Hinata Shoyo\Shimizu.\The stuff is here, right? response:	What?
context: Here.\Captain.\What?\Club Application Volleyball First-Year, Class 3 Kageyama Tobio\Club Application Volleyball First-Year, Class 1 Hinata Shoyo\Shimizu.\The stuff is here, right?\What? response:	Karasuno High School Volleyball Club
context: Captain.\What?\Club Application Volleyball First-Year, Class 3 Kageyama Tobio\Club Application Volleyball First-Year, Class 1 Hinata Shoyo\Shimizu.\The stuff is here, right?\What?\Karasuno High School Volleyball Club response:	I think they should fit, but let me know if you need anything.
context: What?\Club Application Volleyball First-Year, Class 3 Kageyama Tobio\Club Application Volleyball First-Year, Class 1 Hinata Shoyo\Shimizu.\The stuff is here, right?\What?\Karasuno High School Volleyball Club\I think they should fit, but let me know if you need anything. response:	Thanks.
context: Club Application Volleyball First-Year, Class 3 Kageyama Tobio\Club Application Volleyball First-Year, Class 1 Hinata Shoyo\Shimizu.\The stuff is here, right?\What?\Karasuno High School Volleyball Club\I think they should fit, but let me know if you need anything.\Thanks. response:	Come on. Put it on.
context: Club Application Volleyball First-Year, Class 1 Hinata Shoyo\Shimizu.\The stuff is here, right?\What?\Karasuno High School Volleyball Club\I think they should fit, but let me know if you need anything.\Thanks.\Come on. Put it on. response:	No, I'll do it later...
context: Shimizu.\The stuff is here, right?\What?\Karasuno High School Volleyball Club\I think they should fit, but let me know if you need anything.\Thanks.\Come on. Put it on.\No, I'll do it later... response:	Are you shy or something?
context: The stuff is here, right?\What?\Karasuno High School Volleyball Club\I think they should fit, but let me know if you need anything.\Thanks.\Come on. Put it on.\No, I'll do it later...\Are you shy or something? response:	Never mind. Wear it.
context: What?\Karasuno High School Volleyball Club\I think they should fit, but let me know if you need anything.\Thanks.\Come on. Put it on.\No, I'll do it later...\Are you shy or something?\Never mind. Wear it. response:	Wear it. Wear it. Wear it.
context: Karasuno High School Volleyball Club\I think they should fit, but let me know if you need anything.\Thanks.\Come on. Put it on.\No, I'll do it later...\Are you shy or something?\Never mind. Wear it.\Wear it. Wear it. Wear it. response:	Looks good on you.
context: I think they should fit, but let me know if you need anything.\Thanks.\Come on. Put it on.\No, I'll do it later...\Are you shy or something?\Never mind. Wear it.\Wear it. Wear it. Wear it.\Looks good on you. response:	Yeah, looks good. Looks good.
context: Thanks.\Come on. Put it on.\No, I'll do it later...\Are you shy or something?\Never mind. Wear it.\Wear it. Wear it. Wear it.\Looks good on you.\Yeah, looks good. Looks good. response:	We're the Karasuno Volleyball Club from here on...
context: Come on. Put it on.\No, I'll do it later...\Are you shy or something?\Never mind. Wear it.\Wear it. Wear it. Wear it.\Looks good on you.\Yeah, looks good. Looks good.\We're the Karasuno Volleyball Club from here on... response:	Ready, and...
context: No, I'll do it later...\Are you shy or something?\Never mind. Wear it.\Wear it. Wear it. Wear it.\Looks good on you.\Yeah, looks good. Looks good.\We're the Karasuno Volleyball Club from here on...\Ready, and... response:	Good to have you with us.
context: Are you shy or something?\Never mind. Wear it.\Wear it. Wear it. Wear it.\Looks good on you.\Yeah, looks good. Looks good.\We're the Karasuno Volleyball Club from here on...\Ready, and...\Good to have you with us. response:	Thanks!
context: Never mind. Wear it.\Wear it. Wear it. Wear it.\Looks good on you.\Yeah, looks good. Looks good.\We're the Karasuno Volleyball Club from here on...\Ready, and...\Good to have you with us.\Thanks! response:	Anyway, got that out of the way.
context: Wear it. Wear it. Wear it.\Looks good on you.\Yeah, looks good. Looks good.\We're the Karasuno Volleyball Club from here on...\Ready, and...\Good to have you with us.\Thanks!\Anyway, got that out of the way. response:	Suga, you and Tanaka helped them out, didn't you?
