context: Inuyasha at last broke through Naraku's barrier! response:	But before he could render the final blow,
context: But who would have thought that Sesshomaru would save Kohaku!\But with Naraku's disappearance...\we were actually grateful for the brief respite.\Especially Inuyasha.\Our journey's aim is to destroy Naraku\and gather all the shards of the Sacred Jewel.\We continue onward!\You'd better back down, or I'll get serious. response:	Short-tempered as always.
context: But with Naraku's disappearance...\we were actually grateful for the brief respite.\Especially Inuyasha.\Our journey's aim is to destroy Naraku\and gather all the shards of the Sacred Jewel.\We continue onward!\You'd better back down, or I'll get serious.\Short-tempered as always. response:	Huh?
context: we were actually grateful for the brief respite.\Especially Inuyasha.\Our journey's aim is to destroy Naraku\and gather all the shards of the Sacred Jewel.\We continue onward!\You'd better back down, or I'll get serious.\Short-tempered as always.\Huh? response:	Who are you?!
context: Especially Inuyasha.\Our journey's aim is to destroy Naraku\and gather all the shards of the Sacred Jewel.\We continue onward!\You'd better back down, or I'll get serious.\Short-tempered as always.\Huh?\Who are you?! response:	Sending your wolves at me?
context: Our journey's aim is to destroy Naraku\and gather all the shards of the Sacred Jewel.\We continue onward!\You'd better back down, or I'll get serious.\Short-tempered as always.\Huh?\Who are you?!\Sending your wolves at me? response:	You have a grudge or something against me?
context: and gather all the shards of the Sacred Jewel.\We continue onward!\You'd better back down, or I'll get serious.\Short-tempered as always.\Huh?\Who are you?!\Sending your wolves at me?\You have a grudge or something against me? response:	Isn't that Ayame, the granddaughter of the Wolf-Demon Tribe elder?
context: We continue onward!\You'd better back down, or I'll get serious.\Short-tempered as always.\Huh?\Who are you?!\Sending your wolves at me?\You have a grudge or something against me?\Isn't that Ayame, the granddaughter of the Wolf-Demon Tribe elder? response:	I heard she went north with the elder a long time ago.
context: You'd better back down, or I'll get serious.\Short-tempered as always.\Huh?\Who are you?!\Sending your wolves at me?\You have a grudge or something against me?\Isn't that Ayame, the granddaughter of the Wolf-Demon Tribe elder?\I heard she went north with the elder a long time ago. response:	She's back?
context: Short-tempered as always.\Huh?\Who are you?!\Sending your wolves at me?\You have a grudge or something against me?\Isn't that Ayame, the granddaughter of the Wolf-Demon Tribe elder?\I heard she went north with the elder a long time ago.\She's back? response:	Ayame?
context: Huh?\Who are you?!\Sending your wolves at me?\You have a grudge or something against me?\Isn't that Ayame, the granddaughter of the Wolf-Demon Tribe elder?\I heard she went north with the elder a long time ago.\She's back?\Ayame? response:	I came to give you Gramps' message.
context: Who are you?!\Sending your wolves at me?\You have a grudge or something against me?\Isn't that Ayame, the granddaughter of the Wolf-Demon Tribe elder?\I heard she went north with the elder a long time ago.\She's back?\Ayame?\I came to give you Gramps' message. response:	Message?
context: Sending your wolves at me?\You have a grudge or something against me?\Isn't that Ayame, the granddaughter of the Wolf-Demon Tribe elder?\I heard she went north with the elder a long time ago.\She's back?\Ayame?\I came to give you Gramps' message.\Message? response:	You're going to take me for your wife.
context: You have a grudge or something against me?\Isn't that Ayame, the granddaughter of the Wolf-Demon Tribe elder?\I heard she went north with the elder a long time ago.\She's back?\Ayame?\I came to give you Gramps' message.\Message?\You're going to take me for your wife. response:	You promised!
context: Isn't that Ayame, the granddaughter of the Wolf-Demon Tribe elder?\I heard she went north with the elder a long time ago.\She's back?\Ayame?\I came to give you Gramps' message.\Message?\You're going to take me for your wife.\You promised! response:	W-Wife?!
context: I heard she went north with the elder a long time ago.\She's back?\Ayame?\I came to give you Gramps' message.\Message?\You're going to take me for your wife.\You promised!\W-Wife?! response:	You have a Sacred Jewel shard in your possession.
context: She's back?\Ayame?\I came to give you Gramps' message.\Message?\You're going to take me for your wife.\You promised!\W-Wife?!\You have a Sacred Jewel shard in your possession. response:	With that, you'll be worthy of ruling the clan.
context: Ayame?\I came to give you Gramps' message.\Message?\You're going to take me for your wife.\You promised!\W-Wife?!\You have a Sacred Jewel shard in your possession.\With that, you'll be worthy of ruling the clan. response:	So come with me and let's get married.
context: I came to give you Gramps' message.\Message?\You're going to take me for your wife.\You promised!\W-Wife?!\You have a Sacred Jewel shard in your possession.\With that, you'll be worthy of ruling the clan.\So come with me and let's get married. response:	D-Don't joke!
context: Message?\You're going to take me for your wife.\You promised!\W-Wife?!\You have a Sacred Jewel shard in your possession.\With that, you'll be worthy of ruling the clan.\So come with me and let's get married.\D-Don't joke! response:	Why should I marry you?!
context: You're going to take me for your wife.\You promised!\W-Wife?!\You have a Sacred Jewel shard in your possession.\With that, you'll be worthy of ruling the clan.\So come with me and let's get married.\D-Don't joke!\Why should I marry you?! response:	Huh? You don't remember?
context: You promised!\W-Wife?!\You have a Sacred Jewel shard in your possession.\With that, you'll be worthy of ruling the clan.\So come with me and let's get married.\D-Don't joke!\Why should I marry you?!\Huh? You don't remember? response:	Remember what?
context: W-Wife?!\You have a Sacred Jewel shard in your possession.\With that, you'll be worthy of ruling the clan.\So come with me and let's get married.\D-Don't joke!\Why should I marry you?!\Huh? You don't remember?\Remember what? response:	You promised to marry me when I came down from the mountain.
context: You have a Sacred Jewel shard in your possession.\With that, you'll be worthy of ruling the clan.\So come with me and let's get married.\D-Don't joke!\Why should I marry you?!\Huh? You don't remember?\Remember what?\You promised to marry me when I came down from the mountain. response:	Koga, when'd you make such a promise?!
context: With that, you'll be worthy of ruling the clan.\So come with me and let's get married.\D-Don't joke!\Why should I marry you?!\Huh? You don't remember?\Remember what?\You promised to marry me when I came down from the mountain.\Koga, when'd you make such a promise?! response:	What about Kagome?!
context: So come with me and let's get married.\D-Don't joke!\Why should I marry you?!\Huh? You don't remember?\Remember what?\You promised to marry me when I came down from the mountain.\Koga, when'd you make such a promise?!\What about Kagome?! response:	W-What're you doing?!
context: D-Don't joke!\Why should I marry you?!\Huh? You don't remember?\Remember what?\You promised to marry me when I came down from the mountain.\Koga, when'd you make such a promise?!\What about Kagome?!\W-What're you doing?! response:	Gramps told me to bring you back, with force if necessary!
context: Why should I marry you?!\Huh? You don't remember?\Remember what?\You promised to marry me when I came down from the mountain.\Koga, when'd you make such a promise?!\What about Kagome?!\W-What're you doing?!\Gramps told me to bring you back, with force if necessary! response:	Fool! We're gonna fall!
context: Huh? You don't remember?\Remember what?\You promised to marry me when I came down from the mountain.\Koga, when'd you make such a promise?!\What about Kagome?!\W-What're you doing?!\Gramps told me to bring you back, with force if necessary!\Fool! We're gonna fall! response:	Hey, are you all right?!
context: Remember what?\You promised to marry me when I came down from the mountain.\Koga, when'd you make such a promise?!\What about Kagome?!\W-What're you doing?!\Gramps told me to bring you back, with force if necessary!\Fool! We're gonna fall!\Hey, are you all right?! response:	Let go of my hand!
context: You promised to marry me when I came down from the mountain.\Koga, when'd you make such a promise?!\What about Kagome?!\W-What're you doing?!\Gramps told me to bring you back, with force if necessary!\Fool! We're gonna fall!\Hey, are you all right?!\Let go of my hand! response:	Hey you!
context: Koga, when'd you make such a promise?!\What about Kagome?!\W-What're you doing?!\Gramps told me to bring you back, with force if necessary!\Fool! We're gonna fall!\Hey, are you all right?!\Let go of my hand!\Hey you! response:	Don't let him get away!
context: What about Kagome?!\W-What're you doing?!\Gramps told me to bring you back, with force if necessary!\Fool! We're gonna fall!\Hey, are you all right?!\Let go of my hand!\Hey you!\Don't let him get away! response:	l-I already have a fiancee named Kagome who's gonna marry me!
context: W-What're you doing?!\Gramps told me to bring you back, with force if necessary!\Fool! We're gonna fall!\Hey, are you all right?!\Let go of my hand!\Hey you!\Don't let him get away!\l-I already have a fiancee named Kagome who's gonna marry me! response:	I wouldn't have made any promises to marry you!
context: Gramps told me to bring you back, with force if necessary!\Fool! We're gonna fall!\Hey, are you all right?!\Let go of my hand!\Hey you!\Don't let him get away!\l-I already have a fiancee named Kagome who's gonna marry me!\I wouldn't have made any promises to marry you! response:	Fiancee?!
context: Fool! We're gonna fall!\Hey, are you all right?!\Let go of my hand!\Hey you!\Don't let him get away!\l-I already have a fiancee named Kagome who's gonna marry me!\I wouldn't have made any promises to marry you!\Fiancee?! response:	Kagome?
context: Hey, are you all right?!\Let go of my hand!\Hey you!\Don't let him get away!\l-I already have a fiancee named Kagome who's gonna marry me!\I wouldn't have made any promises to marry you!\Fiancee?!\Kagome? response:	Hey wait, Koga!
context: Let go of my hand!\Hey you!\Don't let him get away!\l-I already have a fiancee named Kagome who's gonna marry me!\I wouldn't have made any promises to marry you!\Fiancee?!\Kagome?\Hey wait, Koga! response:	Has he really forgotten?
context: Hey you!\Don't let him get away!\l-I already have a fiancee named Kagome who's gonna marry me!\I wouldn't have made any promises to marry you!\Fiancee?!\Kagome?\Hey wait, Koga!\Has he really forgotten? response:	He promised...
context: Don't let him get away!\l-I already have a fiancee named Kagome who's gonna marry me!\I wouldn't have made any promises to marry you!\Fiancee?!\Kagome?\Hey wait, Koga!\Has he really forgotten?\He promised... response:	On the night of the lunar rainbow.
context: l-I already have a fiancee named Kagome who's gonna marry me!\I wouldn't have made any promises to marry you!\Fiancee?!\Kagome?\Hey wait, Koga!\Has he really forgotten?\He promised...\On the night of the lunar rainbow. response:	And Naraku's whereabouts?
context: I wouldn't have made any promises to marry you!\Fiancee?!\Kagome?\Hey wait, Koga!\Has he really forgotten?\He promised...\On the night of the lunar rainbow.\And Naraku's whereabouts? response:	We checked everywhere.
context: Fiancee?!\Kagome?\Hey wait, Koga!\Has he really forgotten?\He promised...\On the night of the lunar rainbow.\And Naraku's whereabouts?\We checked everywhere. response:	But there were no rumors about a demon named Naraku.
context: Kagome?\Hey wait, Koga!\Has he really forgotten?\He promised...\On the night of the lunar rainbow.\And Naraku's whereabouts?\We checked everywhere.\But there were no rumors about a demon named Naraku. response:	I see...
context: Hey wait, Koga!\Has he really forgotten?\He promised...\On the night of the lunar rainbow.\And Naraku's whereabouts?\We checked everywhere.\But there were no rumors about a demon named Naraku.\I see... response:	It seems Inuyasha hasn't caught any scent of Naraku either.
context: Has he really forgotten?\He promised...\On the night of the lunar rainbow.\And Naraku's whereabouts?\We checked everywhere.\But there were no rumors about a demon named Naraku.\I see...\It seems Inuyasha hasn't caught any scent of Naraku either. response:	Well...
context: He promised...\On the night of the lunar rainbow.\And Naraku's whereabouts?\We checked everywhere.\But there were no rumors about a demon named Naraku.\I see...\It seems Inuyasha hasn't caught any scent of Naraku either.\Well... response:	I can't believe that a demonic aura that strong could disappear so easily.
context: On the night of the lunar rainbow.\And Naraku's whereabouts?\We checked everywhere.\But there were no rumors about a demon named Naraku.\I see...\It seems Inuyasha hasn't caught any scent of Naraku either.\Well...\I can't believe that a demonic aura that strong could disappear so easily. response:	Can't be helped if you can't smell anything.
context: And Naraku's whereabouts?\We checked everywhere.\But there were no rumors about a demon named Naraku.\I see...\It seems Inuyasha hasn't caught any scent of Naraku either.\Well...\I can't believe that a demonic aura that strong could disappear so easily.\Can't be helped if you can't smell anything. response:	Kagome, you don't sense the Sacred Jewel shards either?
context: We checked everywhere.\But there were no rumors about a demon named Naraku.\I see...\It seems Inuyasha hasn't caught any scent of Naraku either.\Well...\I can't believe that a demonic aura that strong could disappear so easily.\Can't be helped if you can't smell anything.\Kagome, you don't sense the Sacred Jewel shards either? response:	Not at all.
context: But there were no rumors about a demon named Naraku.\I see...\It seems Inuyasha hasn't caught any scent of Naraku either.\Well...\I can't believe that a demonic aura that strong could disappear so easily.\Can't be helped if you can't smell anything.\Kagome, you don't sense the Sacred Jewel shards either?\Not at all. response:	No sense getting overly worried.
context: I see...\It seems Inuyasha hasn't caught any scent of Naraku either.\Well...\I can't believe that a demonic aura that strong could disappear so easily.\Can't be helped if you can't smell anything.\Kagome, you don't sense the Sacred Jewel shards either?\Not at all.\No sense getting overly worried. response:	If we just keep collecting the Sacred Jewel shards as usual,
context: It seems Inuyasha hasn't caught any scent of Naraku either.\Well...\I can't believe that a demonic aura that strong could disappear so easily.\Can't be helped if you can't smell anything.\Kagome, you don't sense the Sacred Jewel shards either?\Not at all.\No sense getting overly worried.\If we just keep collecting the Sacred Jewel shards as usual, response:	I'm sure Naraku will come after them himself.
context: Well...\I can't believe that a demonic aura that strong could disappear so easily.\Can't be helped if you can't smell anything.\Kagome, you don't sense the Sacred Jewel shards either?\Not at all.\No sense getting overly worried.\If we just keep collecting the Sacred Jewel shards as usual,\I'm sure Naraku will come after them himself. response:	Forget it!
context: I can't believe that a demonic aura that strong could disappear so easily.\Can't be helped if you can't smell anything.\Kagome, you don't sense the Sacred Jewel shards either?\Not at all.\No sense getting overly worried.\If we just keep collecting the Sacred Jewel shards as usual,\I'm sure Naraku will come after them himself.\Forget it! response:	We can't just wait around!
context: Can't be helped if you can't smell anything.\Kagome, you don't sense the Sacred Jewel shards either?\Not at all.\No sense getting overly worried.\If we just keep collecting the Sacred Jewel shards as usual,\I'm sure Naraku will come after them himself.\Forget it!\We can't just wait around! response:	But there's no other way.
context: Kagome, you don't sense the Sacred Jewel shards either?\Not at all.\No sense getting overly worried.\If we just keep collecting the Sacred Jewel shards as usual,\I'm sure Naraku will come after them himself.\Forget it!\We can't just wait around!\But there's no other way. response:	But I wonder how many more shards there are...
context: Not at all.\No sense getting overly worried.\If we just keep collecting the Sacred Jewel shards as usual,\I'm sure Naraku will come after them himself.\Forget it!\We can't just wait around!\But there's no other way.\But I wonder how many more shards there are... response:	besides the ones that Naraku has in his possession.
context: No sense getting overly worried.\If we just keep collecting the Sacred Jewel shards as usual,\I'm sure Naraku will come after them himself.\Forget it!\We can't just wait around!\But there's no other way.\But I wonder how many more shards there are...\besides the ones that Naraku has in his possession. response:	Well...
context: If we just keep collecting the Sacred Jewel shards as usual,\I'm sure Naraku will come after them himself.\Forget it!\We can't just wait around!\But there's no other way.\But I wonder how many more shards there are...\besides the ones that Naraku has in his possession.\Well... response:	I have three shards here.
context: I'm sure Naraku will come after them himself.\Forget it!\We can't just wait around!\But there's no other way.\But I wonder how many more shards there are...\besides the ones that Naraku has in his possession.\Well...\I have three shards here. response:	Then there's the one imbedded in Kohaku's back.
context: Forget it!\We can't just wait around!\But there's no other way.\But I wonder how many more shards there are...\besides the ones that Naraku has in his possession.\Well...\I have three shards here.\Then there's the one imbedded in Kohaku's back. response:	And Koga has a couple, too.
context: We can't just wait around!\But there's no other way.\But I wonder how many more shards there are...\besides the ones that Naraku has in his possession.\Well...\I have three shards here.\Then there's the one imbedded in Kohaku's back.\And Koga has a couple, too. response:	It was quite a long time ago...
context: But there's no other way.\But I wonder how many more shards there are...\besides the ones that Naraku has in his possession.\Well...\I have three shards here.\Then there's the one imbedded in Kohaku's back.\And Koga has a couple, too.\It was quite a long time ago... response:	But he DID promise.
context: But I wonder how many more shards there are...\besides the ones that Naraku has in his possession.\Well...\I have three shards here.\Then there's the one imbedded in Kohaku's back.\And Koga has a couple, too.\It was quite a long time ago...\But he DID promise. response:	Don't overdo it.
context: besides the ones that Naraku has in his possession.\Well...\I have three shards here.\Then there's the one imbedded in Kohaku's back.\And Koga has a couple, too.\It was quite a long time ago...\But he DID promise.\Don't overdo it. response:	And when it gets to be too hard,
context: Well...\I have three shards here.\Then there's the one imbedded in Kohaku's back.\And Koga has a couple, too.\It was quite a long time ago...\But he DID promise.\Don't overdo it.\And when it gets to be too hard, response:	I'll make you my wife, Ayame.
context: I have three shards here.\Then there's the one imbedded in Kohaku's back.\And Koga has a couple, too.\It was quite a long time ago...\But he DID promise.\Don't overdo it.\And when it gets to be too hard,\I'll make you my wife, Ayame. response:	I was still a child...
context: Then there's the one imbedded in Kohaku's back.\And Koga has a couple, too.\It was quite a long time ago...\But he DID promise.\Don't overdo it.\And when it gets to be too hard,\I'll make you my wife, Ayame.\I was still a child... response:	So if Koga doesn't remember, I guess it can't be helped.
context: And Koga has a couple, too.\It was quite a long time ago...\But he DID promise.\Don't overdo it.\And when it gets to be too hard,\I'll make you my wife, Ayame.\I was still a child...\So if Koga doesn't remember, I guess it can't be helped. response:	Maybe I should return to the mountains.
context: It was quite a long time ago...\But he DID promise.\Don't overdo it.\And when it gets to be too hard,\I'll make you my wife, Ayame.\I was still a child...\So if Koga doesn't remember, I guess it can't be helped.\Maybe I should return to the mountains. response:	My territory is being overrun.
context: But he DID promise.\Don't overdo it.\And when it gets to be too hard,\I'll make you my wife, Ayame.\I was still a child...\So if Koga doesn't remember, I guess it can't be helped.\Maybe I should return to the mountains.\My territory is being overrun. response:	Without the Sacred Jewel, we cannot overcome this.
context: Don't overdo it.\And when it gets to be too hard,\I'll make you my wife, Ayame.\I was still a child...\So if Koga doesn't remember, I guess it can't be helped.\Maybe I should return to the mountains.\My territory is being overrun.\Without the Sacred Jewel, we cannot overcome this. response:	Find Koga and bring him here as soon as possible.
context: And when it gets to be too hard,\I'll make you my wife, Ayame.\I was still a child...\So if Koga doesn't remember, I guess it can't be helped.\Maybe I should return to the mountains.\My territory is being overrun.\Without the Sacred Jewel, we cannot overcome this.\Find Koga and bring him here as soon as possible. response:	I can't! I can't go home!
context: I'll make you my wife, Ayame.\I was still a child...\So if Koga doesn't remember, I guess it can't be helped.\Maybe I should return to the mountains.\My territory is being overrun.\Without the Sacred Jewel, we cannot overcome this.\Find Koga and bring him here as soon as possible.\I can't! I can't go home! response:	I have to try one more time!
context: I was still a child...\So if Koga doesn't remember, I guess it can't be helped.\Maybe I should return to the mountains.\My territory is being overrun.\Without the Sacred Jewel, we cannot overcome this.\Find Koga and bring him here as soon as possible.\I can't! I can't go home!\I have to try one more time! response:	Damn! What's going on?
context: So if Koga doesn't remember, I guess it can't be helped.\Maybe I should return to the mountains.\My territory is being overrun.\Without the Sacred Jewel, we cannot overcome this.\Find Koga and bring him here as soon as possible.\I can't! I can't go home!\I have to try one more time!\Damn! What's going on? response:	This castle reeks with Naraku's scent.
context: Maybe I should return to the mountains.\My territory is being overrun.\Without the Sacred Jewel, we cannot overcome this.\Find Koga and bring him here as soon as possible.\I can't! I can't go home!\I have to try one more time!\Damn! What's going on?\This castle reeks with Naraku's scent. response:	But there's no miasma or any sign of him at all.
context: My territory is being overrun.\Without the Sacred Jewel, we cannot overcome this.\Find Koga and bring him here as soon as possible.\I can't! I can't go home!\I have to try one more time!\Damn! What's going on?\This castle reeks with Naraku's scent.\But there's no miasma or any sign of him at all. response:	This mark...
context: Without the Sacred Jewel, we cannot overcome this.\Find Koga and bring him here as soon as possible.\I can't! I can't go home!\I have to try one more time!\Damn! What's going on?\This castle reeks with Naraku's scent.\But there's no miasma or any sign of him at all.\This mark... response:	Koga, the castle is totally empty.
context: Find Koga and bring him here as soon as possible.\I can't! I can't go home!\I have to try one more time!\Damn! What's going on?\This castle reeks with Naraku's scent.\But there's no miasma or any sign of him at all.\This mark...\Koga, the castle is totally empty. response:	Let's go.
context: I can't! I can't go home!\I have to try one more time!\Damn! What's going on?\This castle reeks with Naraku's scent.\But there's no miasma or any sign of him at all.\This mark...\Koga, the castle is totally empty.\Let's go. response:	Where?
context: I have to try one more time!\Damn! What's going on?\This castle reeks with Naraku's scent.\But there's no miasma or any sign of him at all.\This mark...\Koga, the castle is totally empty.\Let's go.\Where? response:	Where else?
context: Damn! What's going on?\This castle reeks with Naraku's scent.\But there's no miasma or any sign of him at all.\This mark...\Koga, the castle is totally empty.\Let's go.\Where?\Where else? response:	Find the mutt and question him.
context: This castle reeks with Naraku's scent.\But there's no miasma or any sign of him at all.\This mark...\Koga, the castle is totally empty.\Let's go.\Where?\Where else?\Find the mutt and question him. response:	That mutt's smell also lingers here.
context: But there's no miasma or any sign of him at all.\This mark...\Koga, the castle is totally empty.\Let's go.\Where?\Where else?\Find the mutt and question him.\That mutt's smell also lingers here. response:	Something happened between him and Naraku.
context: This mark...\Koga, the castle is totally empty.\Let's go.\Where?\Where else?\Find the mutt and question him.\That mutt's smell also lingers here.\Something happened between him and Naraku. response:	I get it!
context: Koga, the castle is totally empty.\Let's go.\Where?\Where else?\Find the mutt and question him.\That mutt's smell also lingers here.\Something happened between him and Naraku.\I get it! response:	Inuyasha might know something!
context: Let's go.\Where?\Where else?\Find the mutt and question him.\That mutt's smell also lingers here.\Something happened between him and Naraku.\I get it!\Inuyasha might know something! response:	Hey wait!
context: Where?\Where else?\Find the mutt and question him.\That mutt's smell also lingers here.\Something happened between him and Naraku.\I get it!\Inuyasha might know something!\Hey wait! response:	Don't leave us!
context: Where else?\Find the mutt and question him.\That mutt's smell also lingers here.\Something happened between him and Naraku.\I get it!\Inuyasha might know something!\Hey wait!\Don't leave us! response:	Naraku isn't here. But if he's nearby...
context: Find the mutt and question him.\That mutt's smell also lingers here.\Something happened between him and Naraku.\I get it!\Inuyasha might know something!\Hey wait!\Don't leave us!\Naraku isn't here. But if he's nearby... response:	He's sure to come after me
context: That mutt's smell also lingers here.\Something happened between him and Naraku.\I get it!\Inuyasha might know something!\Hey wait!\Don't leave us!\Naraku isn't here. But if he's nearby...\He's sure to come after me response:	for the Sacred Jewel shards in my legs.
context: Something happened between him and Naraku.\I get it!\Inuyasha might know something!\Hey wait!\Don't leave us!\Naraku isn't here. But if he's nearby...\He's sure to come after me\for the Sacred Jewel shards in my legs. response:	I know. Koga was here without a doubt.
context: I get it!\Inuyasha might know something!\Hey wait!\Don't leave us!\Naraku isn't here. But if he's nearby...\He's sure to come after me\for the Sacred Jewel shards in my legs.\I know. Koga was here without a doubt. response:	But...
context: Inuyasha might know something!\Hey wait!\Don't leave us!\Naraku isn't here. But if he's nearby...\He's sure to come after me\for the Sacred Jewel shards in my legs.\I know. Koga was here without a doubt.\But... response:	What is this place? It gives me the creeps.
context: Hey wait!\Don't leave us!\Naraku isn't here. But if he's nearby...\He's sure to come after me\for the Sacred Jewel shards in my legs.\I know. Koga was here without a doubt.\But...\What is this place? It gives me the creeps. response:	What is it?
context: Don't leave us!\Naraku isn't here. But if he's nearby...\He's sure to come after me\for the Sacred Jewel shards in my legs.\I know. Koga was here without a doubt.\But...\What is this place? It gives me the creeps.\What is it? response:	W-What is that?!
context: Naraku isn't here. But if he's nearby...\He's sure to come after me\for the Sacred Jewel shards in my legs.\I know. Koga was here without a doubt.\But...\What is this place? It gives me the creeps.\What is it?\W-What is that?! response:	What was that demon?!
context: He's sure to come after me\for the Sacred Jewel shards in my legs.\I know. Koga was here without a doubt.\But...\What is this place? It gives me the creeps.\What is it?\W-What is that?!\What was that demon?! response:	Ginta!
context: for the Sacred Jewel shards in my legs.\I know. Koga was here without a doubt.\But...\What is this place? It gives me the creeps.\What is it?\W-What is that?!\What was that demon?!\Ginta! response:	Hakkaku!
context: I know. Koga was here without a doubt.\But...\What is this place? It gives me the creeps.\What is it?\W-What is that?!\What was that demon?!\Ginta!\Hakkaku! response:	Oh no! It's Ayame!
context: But...\What is this place? It gives me the creeps.\What is it?\W-What is that?!\What was that demon?!\Ginta!\Hakkaku!\Oh no! It's Ayame! response:	Why's she here?!
context: What is this place? It gives me the creeps.\What is it?\W-What is that?!\What was that demon?!\Ginta!\Hakkaku!\Oh no! It's Ayame!\Why's she here?! response:	How should I know?!
context: What is it?\W-What is that?!\What was that demon?!\Ginta!\Hakkaku!\Oh no! It's Ayame!\Why's she here?!\How should I know?! response:	Hey you two! What were you doing in that creepy castle?!
context: W-What is that?!\What was that demon?!\Ginta!\Hakkaku!\Oh no! It's Ayame!\Why's she here?!\How should I know?!\Hey you two! What were you doing in that creepy castle?! response:	Where is Koga?
context: What was that demon?!\Ginta!\Hakkaku!\Oh no! It's Ayame!\Why's she here?!\How should I know?!\Hey you two! What were you doing in that creepy castle?!\Where is Koga? response:	What's that demon?!
context: Ginta!\Hakkaku!\Oh no! It's Ayame!\Why's she here?!\How should I know?!\Hey you two! What were you doing in that creepy castle?!\Where is Koga?\What's that demon?! response:	Demon?!
context: Hakkaku!\Oh no! It's Ayame!\Why's she here?!\How should I know?!\Hey you two! What were you doing in that creepy castle?!\Where is Koga?\What's that demon?!\Demon?! response:	Did it appear from Naraku's castle?!
context: Oh no! It's Ayame!\Why's she here?!\How should I know?!\Hey you two! What were you doing in that creepy castle?!\Where is Koga?\What's that demon?!\Demon?!\Did it appear from Naraku's castle?! response:	Naraku's...castle?
context: Why's she here?!\How should I know?!\Hey you two! What were you doing in that creepy castle?!\Where is Koga?\What's that demon?!\Demon?!\Did it appear from Naraku's castle?!\Naraku's...castle? response:	You don't know because you've been in the mountains with the elder.
context: How should I know?!\Hey you two! What were you doing in that creepy castle?!\Where is Koga?\What's that demon?!\Demon?!\Did it appear from Naraku's castle?!\Naraku's...castle?\You don't know because you've been in the mountains with the elder. response:	Just recently, our comrades in the north and east were killed.
context: Hey you two! What were you doing in that creepy castle?!\Where is Koga?\What's that demon?!\Demon?!\Did it appear from Naraku's castle?!\Naraku's...castle?\You don't know because you've been in the mountains with the elder.\Just recently, our comrades in the north and east were killed. response:	And the one behind it is a demon named Naraku!
context: Where is Koga?\What's that demon?!\Demon?!\Did it appear from Naraku's castle?!\Naraku's...castle?\You don't know because you've been in the mountains with the elder.\Just recently, our comrades in the north and east were killed.\And the one behind it is a demon named Naraku! response:	Koga has been looking for Naraku to get revenge.
context: What's that demon?!\Demon?!\Did it appear from Naraku's castle?!\Naraku's...castle?\You don't know because you've been in the mountains with the elder.\Just recently, our comrades in the north and east were killed.\And the one behind it is a demon named Naraku!\Koga has been looking for Naraku to get revenge. response:	I didn't...
