context: I was simply entranced by that outfit's beauty. response:	This will be your wedding dress.
context: I merely yearned for it.\At the time, I had no idea what wedding dress implied.\The name of that outfit was Junketsu purity.\I was still an ignorant little girl back then.\It's unthinkable that someone beat me to the punch.\EPISODE 3 JUNKETSU\The Hitler Cabinet was inaugurated on January 10th, 1933.\HONNOUJI ACADEMY response:	SECOND YEAR CLASS K
context: At the time, I had no idea what wedding dress implied.\The name of that outfit was Junketsu purity.\I was still an ignorant little girl back then.\It's unthinkable that someone beat me to the punch.\EPISODE 3 JUNKETSU\The Hitler Cabinet was inaugurated on January 10th, 1933.\HONNOUJI ACADEMY\SECOND YEAR CLASS K response:	Afterwards, it pursued a dictatorial system,
context: The name of that outfit was Junketsu purity.\I was still an ignorant little girl back then.\It's unthinkable that someone beat me to the punch.\EPISODE 3 JUNKETSU\The Hitler Cabinet was inaugurated on January 10th, 1933.\HONNOUJI ACADEMY\SECOND YEAR CLASS K\Afterwards, it pursued a dictatorial system, response:	and with the death of President Hindenburg in August of the following year,
context: I was still an ignorant little girl back then.\It's unthinkable that someone beat me to the punch.\EPISODE 3 JUNKETSU\The Hitler Cabinet was inaugurated on January 10th, 1933.\HONNOUJI ACADEMY\SECOND YEAR CLASS K\Afterwards, it pursued a dictatorial system,\and with the death of President Hindenburg in August of the following year, response:	Hitler became head of state, which completed the transition to that system.
context: It's unthinkable that someone beat me to the punch.\EPISODE 3 JUNKETSU\The Hitler Cabinet was inaugurated on January 10th, 1933.\HONNOUJI ACADEMY\SECOND YEAR CLASS K\Afterwards, it pursued a dictatorial system,\and with the death of President Hindenburg in August of the following year,\Hitler became head of state, which completed the transition to that system. response:	Wha? Where'd he disappear to?
context: EPISODE 3 JUNKETSU\The Hitler Cabinet was inaugurated on January 10th, 1933.\HONNOUJI ACADEMY\SECOND YEAR CLASS K\Afterwards, it pursued a dictatorial system,\and with the death of President Hindenburg in August of the following year,\Hitler became head of state, which completed the transition to that system.\Wha? Where'd he disappear to? response:	Ryuko!
context: The Hitler Cabinet was inaugurated on January 10th, 1933.\HONNOUJI ACADEMY\SECOND YEAR CLASS K\Afterwards, it pursued a dictatorial system,\and with the death of President Hindenburg in August of the following year,\Hitler became head of state, which completed the transition to that system.\Wha? Where'd he disappear to?\Ryuko! response:	Where are you wandering off to by yourself?
context: HONNOUJI ACADEMY\SECOND YEAR CLASS K\Afterwards, it pursued a dictatorial system,\and with the death of President Hindenburg in August of the following year,\Hitler became head of state, which completed the transition to that system.\Wha? Where'd he disappear to?\Ryuko!\Where are you wandering off to by yourself? response:	This is
context: SECOND YEAR CLASS K\Afterwards, it pursued a dictatorial system,\and with the death of President Hindenburg in August of the following year,\Hitler became head of state, which completed the transition to that system.\Wha? Where'd he disappear to?\Ryuko!\Where are you wandering off to by yourself?\This is response:	See me after school where we met before. Aikuro Mikisugi
context: Afterwards, it pursued a dictatorial system,\and with the death of President Hindenburg in August of the following year,\Hitler became head of state, which completed the transition to that system.\Wha? Where'd he disappear to?\Ryuko!\Where are you wandering off to by yourself?\This is\See me after school where we met before. Aikuro Mikisugi response:	That bastard!
context: and with the death of President Hindenburg in August of the following year,\Hitler became head of state, which completed the transition to that system.\Wha? Where'd he disappear to?\Ryuko!\Where are you wandering off to by yourself?\This is\See me after school where we met before. Aikuro Mikisugi\That bastard! response:	It's a big problem,
context: Hitler became head of state, which completed the transition to that system.\Wha? Where'd he disappear to?\Ryuko!\Where are you wandering off to by yourself?\This is\See me after school where we met before. Aikuro Mikisugi\That bastard!\It's a big problem, response:	you looking at me with such passion in your eyes at school.
context: Wha? Where'd he disappear to?\Ryuko!\Where are you wandering off to by yourself?\This is\See me after school where we met before. Aikuro Mikisugi\That bastard!\It's a big problem,\you looking at me with such passion in your eyes at school. response:	It'd be bad for both of us if
context: Ryuko!\Where are you wandering off to by yourself?\This is\See me after school where we met before. Aikuro Mikisugi\That bastard!\It's a big problem,\you looking at me with such passion in your eyes at school.\It'd be bad for both of us if response:	word spread that you and I were too close, right?
context: Where are you wandering off to by yourself?\This is\See me after school where we met before. Aikuro Mikisugi\That bastard!\It's a big problem,\you looking at me with such passion in your eyes at school.\It'd be bad for both of us if\word spread that you and I were too close, right? response:	Who and who?
context: This is\See me after school where we met before. Aikuro Mikisugi\That bastard!\It's a big problem,\you looking at me with such passion in your eyes at school.\It'd be bad for both of us if\word spread that you and I were too close, right?\Who and who? response:	There's some jokes that just aren't cool to say!
context: See me after school where we met before. Aikuro Mikisugi\That bastard!\It's a big problem,\you looking at me with such passion in your eyes at school.\It'd be bad for both of us if\word spread that you and I were too close, right?\Who and who?\There's some jokes that just aren't cool to say! response:	You're quite naIve when it comes to this subject.
context: That bastard!\It's a big problem,\you looking at me with such passion in your eyes at school.\It'd be bad for both of us if\word spread that you and I were too close, right?\Who and who?\There's some jokes that just aren't cool to say!\You're quite naIve when it comes to this subject. response:	All I want is for you to tell me who the
context: It's a big problem,\you looking at me with such passion in your eyes at school.\It'd be bad for both of us if\word spread that you and I were too close, right?\Who and who?\There's some jokes that just aren't cool to say!\You're quite naIve when it comes to this subject.\All I want is for you to tell me who the response:	hell you are and why the hell you know about Senketsu.
context: you looking at me with such passion in your eyes at school.\It'd be bad for both of us if\word spread that you and I were too close, right?\Who and who?\There's some jokes that just aren't cool to say!\You're quite naIve when it comes to this subject.\All I want is for you to tell me who the\hell you are and why the hell you know about Senketsu. response:	Our deal was that you'd tell me if I beat up that
context: It'd be bad for both of us if\word spread that you and I were too close, right?\Who and who?\There's some jokes that just aren't cool to say!\You're quite naIve when it comes to this subject.\All I want is for you to tell me who the\hell you are and why the hell you know about Senketsu.\Our deal was that you'd tell me if I beat up that response:	Hakodate chick from the Tennis Club, remember?
context: word spread that you and I were too close, right?\Who and who?\There's some jokes that just aren't cool to say!\You're quite naIve when it comes to this subject.\All I want is for you to tell me who the\hell you are and why the hell you know about Senketsu.\Our deal was that you'd tell me if I beat up that\Hakodate chick from the Tennis Club, remember? response:	A man's word is only good on the day it's made.
context: Who and who?\There's some jokes that just aren't cool to say!\You're quite naIve when it comes to this subject.\All I want is for you to tell me who the\hell you are and why the hell you know about Senketsu.\Our deal was that you'd tell me if I beat up that\Hakodate chick from the Tennis Club, remember?\A man's word is only good on the day it's made. response:	The next day, well...
context: There's some jokes that just aren't cool to say!\You're quite naIve when it comes to this subject.\All I want is for you to tell me who the\hell you are and why the hell you know about Senketsu.\Our deal was that you'd tell me if I beat up that\Hakodate chick from the Tennis Club, remember?\A man's word is only good on the day it's made.\The next day, well... response:	Life Fiber.
context: You're quite naIve when it comes to this subject.\All I want is for you to tell me who the\hell you are and why the hell you know about Senketsu.\Our deal was that you'd tell me if I beat up that\Hakodate chick from the Tennis Club, remember?\A man's word is only good on the day it's made.\The next day, well...\Life Fiber. response:	Huh?
context: All I want is for you to tell me who the\hell you are and why the hell you know about Senketsu.\Our deal was that you'd tell me if I beat up that\Hakodate chick from the Tennis Club, remember?\A man's word is only good on the day it's made.\The next day, well...\Life Fiber.\Huh? response:	LIFE FIBER
context: hell you are and why the hell you know about Senketsu.\Our deal was that you'd tell me if I beat up that\Hakodate chick from the Tennis Club, remember?\A man's word is only good on the day it's made.\The next day, well...\Life Fiber.\Huh?\LIFE FIBER response:	It refers to fighting fibers that have a life of their own.
context: Our deal was that you'd tell me if I beat up that\Hakodate chick from the Tennis Club, remember?\A man's word is only good on the day it's made.\The next day, well...\Life Fiber.\Huh?\LIFE FIBER\It refers to fighting fibers that have a life of their own. response:	The fabric of One-Star Goku Uniforms is
context: Hakodate chick from the Tennis Club, remember?\A man's word is only good on the day it's made.\The next day, well...\Life Fiber.\Huh?\LIFE FIBER\It refers to fighting fibers that have a life of their own.\The fabric of One-Star Goku Uniforms is response:	10 Life Fibers, Two-Star contain 20.
context: A man's word is only good on the day it's made.\The next day, well...\Life Fiber.\Huh?\LIFE FIBER\It refers to fighting fibers that have a life of their own.\The fabric of One-Star Goku Uniforms is\10 Life Fibers, Two-Star contain 20. response:	These special fibers enhance human strength and
context: The next day, well...\Life Fiber.\Huh?\LIFE FIBER\It refers to fighting fibers that have a life of their own.\The fabric of One-Star Goku Uniforms is\10 Life Fibers, Two-Star contain 20.\These special fibers enhance human strength and response:	draw out special abilities.
context: Life Fiber.\Huh?\LIFE FIBER\It refers to fighting fibers that have a life of their own.\The fabric of One-Star Goku Uniforms is\10 Life Fibers, Two-Star contain 20.\These special fibers enhance human strength and\draw out special abilities. response:	Now that you mention it...
context: Huh?\LIFE FIBER\It refers to fighting fibers that have a life of their own.\The fabric of One-Star Goku Uniforms is\10 Life Fibers, Two-Star contain 20.\These special fibers enhance human strength and\draw out special abilities.\Now that you mention it... response:	That was a Life Fiber?
context: LIFE FIBER\It refers to fighting fibers that have a life of their own.\The fabric of One-Star Goku Uniforms is\10 Life Fibers, Two-Star contain 20.\These special fibers enhance human strength and\draw out special abilities.\Now that you mention it...\That was a Life Fiber? response:	However, there exist in this world outfits woven
context: It refers to fighting fibers that have a life of their own.\The fabric of One-Star Goku Uniforms is\10 Life Fibers, Two-Star contain 20.\These special fibers enhance human strength and\draw out special abilities.\Now that you mention it...\That was a Life Fiber?\However, there exist in this world outfits woven response:	entirely of Life Fibers.
context: The fabric of One-Star Goku Uniforms is\10 Life Fibers, Two-Star contain 20.\These special fibers enhance human strength and\draw out special abilities.\Now that you mention it...\That was a Life Fiber?\However, there exist in this world outfits woven\entirely of Life Fibers. response:	These are the Kamui.
context: 10 Life Fibers, Two-Star contain 20.\These special fibers enhance human strength and\draw out special abilities.\Now that you mention it...\That was a Life Fiber?\However, there exist in this world outfits woven\entirely of Life Fibers.\These are the Kamui. response:	Senketsu is one?
context: These special fibers enhance human strength and\draw out special abilities.\Now that you mention it...\That was a Life Fiber?\However, there exist in this world outfits woven\entirely of Life Fibers.\These are the Kamui.\Senketsu is one? response:	The only people who know the secret of
context: draw out special abilities.\Now that you mention it...\That was a Life Fiber?\However, there exist in this world outfits woven\entirely of Life Fibers.\These are the Kamui.\Senketsu is one?\The only people who know the secret of response:	Life Fibers are the Kiryuin clan and your father, Isshin Matoi.
context: Now that you mention it...\That was a Life Fiber?\However, there exist in this world outfits woven\entirely of Life Fibers.\These are the Kamui.\Senketsu is one?\The only people who know the secret of\Life Fibers are the Kiryuin clan and your father, Isshin Matoi. response:	The Kiryuin clan must have attacked Dr. Matoi to try to
context: That was a Life Fiber?\However, there exist in this world outfits woven\entirely of Life Fibers.\These are the Kamui.\Senketsu is one?\The only people who know the secret of\Life Fibers are the Kiryuin clan and your father, Isshin Matoi.\The Kiryuin clan must have attacked Dr. Matoi to try to response:	steal the Kamui he possessed and keep the secret for themselves.
context: However, there exist in this world outfits woven\entirely of Life Fibers.\These are the Kamui.\Senketsu is one?\The only people who know the secret of\Life Fibers are the Kiryuin clan and your father, Isshin Matoi.\The Kiryuin clan must have attacked Dr. Matoi to try to\steal the Kamui he possessed and keep the secret for themselves. response:	How do you know all this?
context: entirely of Life Fibers.\These are the Kamui.\Senketsu is one?\The only people who know the secret of\Life Fibers are the Kiryuin clan and your father, Isshin Matoi.\The Kiryuin clan must have attacked Dr. Matoi to try to\steal the Kamui he possessed and keep the secret for themselves.\How do you know all this? response:	I hate the Kiryuins' despotism, too.
context: These are the Kamui.\Senketsu is one?\The only people who know the secret of\Life Fibers are the Kiryuin clan and your father, Isshin Matoi.\The Kiryuin clan must have attacked Dr. Matoi to try to\steal the Kamui he possessed and keep the secret for themselves.\How do you know all this?\I hate the Kiryuins' despotism, too. response:	I was working with Dr. Matoi to
context: Senketsu is one?\The only people who know the secret of\Life Fibers are the Kiryuin clan and your father, Isshin Matoi.\The Kiryuin clan must have attacked Dr. Matoi to try to\steal the Kamui he possessed and keep the secret for themselves.\How do you know all this?\I hate the Kiryuins' despotism, too.\I was working with Dr. Matoi to response:	try to thwart their plans for world domination.
context: The only people who know the secret of\Life Fibers are the Kiryuin clan and your father, Isshin Matoi.\The Kiryuin clan must have attacked Dr. Matoi to try to\steal the Kamui he possessed and keep the secret for themselves.\How do you know all this?\I hate the Kiryuins' despotism, too.\I was working with Dr. Matoi to\try to thwart their plans for world domination. response:	After he died, I received a letter.
context: Life Fibers are the Kiryuin clan and your father, Isshin Matoi.\The Kiryuin clan must have attacked Dr. Matoi to try to\steal the Kamui he possessed and keep the secret for themselves.\How do you know all this?\I hate the Kiryuins' despotism, too.\I was working with Dr. Matoi to\try to thwart their plans for world domination.\After he died, I received a letter. response:	He had sent it before he died.
context: The Kiryuin clan must have attacked Dr. Matoi to try to\steal the Kamui he possessed and keep the secret for themselves.\How do you know all this?\I hate the Kiryuins' despotism, too.\I was working with Dr. Matoi to\try to thwart their plans for world domination.\After he died, I received a letter.\He had sent it before he died. response:	When I die, give you-know-what to my daughter.
context: steal the Kamui he possessed and keep the secret for themselves.\How do you know all this?\I hate the Kiryuins' despotism, too.\I was working with Dr. Matoi to\try to thwart their plans for world domination.\After he died, I received a letter.\He had sent it before he died.\When I die, give you-know-what to my daughter. response:	It's just like dead leaves in the forest, huh?
context: How do you know all this?\I hate the Kiryuins' despotism, too.\I was working with Dr. Matoi to\try to thwart their plans for world domination.\After he died, I received a letter.\He had sent it before he died.\When I die, give you-know-what to my daughter.\It's just like dead leaves in the forest, huh? response:	Dead leaves in the forest...
context: I hate the Kiryuins' despotism, too.\I was working with Dr. Matoi to\try to thwart their plans for world domination.\After he died, I received a letter.\He had sent it before he died.\When I die, give you-know-what to my daughter.\It's just like dead leaves in the forest, huh?\Dead leaves in the forest... response:	So my meeting Senketsu was set up by you, then?
context: I was working with Dr. Matoi to\try to thwart their plans for world domination.\After he died, I received a letter.\He had sent it before he died.\When I die, give you-know-what to my daughter.\It's just like dead leaves in the forest, huh?\Dead leaves in the forest...\So my meeting Senketsu was set up by you, then? response:	Thanks to you coming home to the mansion,
context: try to thwart their plans for world domination.\After he died, I received a letter.\He had sent it before he died.\When I die, give you-know-what to my daughter.\It's just like dead leaves in the forest, huh?\Dead leaves in the forest...\So my meeting Senketsu was set up by you, then?\Thanks to you coming home to the mansion, response:	I was able to provide the perfect meeting spot.
context: After he died, I received a letter.\He had sent it before he died.\When I die, give you-know-what to my daughter.\It's just like dead leaves in the forest, huh?\Dead leaves in the forest...\So my meeting Senketsu was set up by you, then?\Thanks to you coming home to the mansion,\I was able to provide the perfect meeting spot. response:	So like I thought,
context: He had sent it before he died.\When I die, give you-know-what to my daughter.\It's just like dead leaves in the forest, huh?\Dead leaves in the forest...\So my meeting Senketsu was set up by you, then?\Thanks to you coming home to the mansion,\I was able to provide the perfect meeting spot.\So like I thought, response:	it was that Satsuki Kiryuin chick that killed my father?
context: When I die, give you-know-what to my daughter.\It's just like dead leaves in the forest, huh?\Dead leaves in the forest...\So my meeting Senketsu was set up by you, then?\Thanks to you coming home to the mansion,\I was able to provide the perfect meeting spot.\So like I thought,\it was that Satsuki Kiryuin chick that killed my father? response:	I can't say for sure.
context: It's just like dead leaves in the forest, huh?\Dead leaves in the forest...\So my meeting Senketsu was set up by you, then?\Thanks to you coming home to the mansion,\I was able to provide the perfect meeting spot.\So like I thought,\it was that Satsuki Kiryuin chick that killed my father?\I can't say for sure. response:	Fine, then. I'll beat it out of her.
context: Dead leaves in the forest...\So my meeting Senketsu was set up by you, then?\Thanks to you coming home to the mansion,\I was able to provide the perfect meeting spot.\So like I thought,\it was that Satsuki Kiryuin chick that killed my father?\I can't say for sure.\Fine, then. I'll beat it out of her. response:	With my own two hands.
context: So my meeting Senketsu was set up by you, then?\Thanks to you coming home to the mansion,\I was able to provide the perfect meeting spot.\So like I thought,\it was that Satsuki Kiryuin chick that killed my father?\I can't say for sure.\Fine, then. I'll beat it out of her.\With my own two hands. response:	I went undercover at the Honnouji Academy
context: Thanks to you coming home to the mansion,\I was able to provide the perfect meeting spot.\So like I thought,\it was that Satsuki Kiryuin chick that killed my father?\I can't say for sure.\Fine, then. I'll beat it out of her.\With my own two hands.\I went undercover at the Honnouji Academy response:	to try to uncover what the Kiryuins are up to.
context: I was able to provide the perfect meeting spot.\So like I thought,\it was that Satsuki Kiryuin chick that killed my father?\I can't say for sure.\Fine, then. I'll beat it out of her.\With my own two hands.\I went undercover at the Honnouji Academy\to try to uncover what the Kiryuins are up to. response:	At school, you and I are teacher and student.
context: So like I thought,\it was that Satsuki Kiryuin chick that killed my father?\I can't say for sure.\Fine, then. I'll beat it out of her.\With my own two hands.\I went undercover at the Honnouji Academy\to try to uncover what the Kiryuins are up to.\At school, you and I are teacher and student. response:	Don't make contact without taking precautions.
context: it was that Satsuki Kiryuin chick that killed my father?\I can't say for sure.\Fine, then. I'll beat it out of her.\With my own two hands.\I went undercover at the Honnouji Academy\to try to uncover what the Kiryuins are up to.\At school, you and I are teacher and student.\Don't make contact without taking precautions. response:	By that line, you mean the border between life and death?
context: I can't say for sure.\Fine, then. I'll beat it out of her.\With my own two hands.\I went undercover at the Honnouji Academy\to try to uncover what the Kiryuins are up to.\At school, you and I are teacher and student.\Don't make contact without taking precautions.\By that line, you mean the border between life and death? response:	You're a 17-year-old who doesn't know how to take a joke, I see.
context: Fine, then. I'll beat it out of her.\With my own two hands.\I went undercover at the Honnouji Academy\to try to uncover what the Kiryuins are up to.\At school, you and I are teacher and student.\Don't make contact without taking precautions.\By that line, you mean the border between life and death?\You're a 17-year-old who doesn't know how to take a joke, I see. response:	One more thing.
context: With my own two hands.\I went undercover at the Honnouji Academy\to try to uncover what the Kiryuins are up to.\At school, you and I are teacher and student.\Don't make contact without taking precautions.\By that line, you mean the border between life and death?\You're a 17-year-old who doesn't know how to take a joke, I see.\One more thing. response:	When Senketsu awakens,
context: I went undercover at the Honnouji Academy\to try to uncover what the Kiryuins are up to.\At school, you and I are teacher and student.\Don't make contact without taking precautions.\By that line, you mean the border between life and death?\You're a 17-year-old who doesn't know how to take a joke, I see.\One more thing.\When Senketsu awakens, response:	why does he turn into that sleazy, midriff-baring number?
context: to try to uncover what the Kiryuins are up to.\At school, you and I are teacher and student.\Don't make contact without taking precautions.\By that line, you mean the border between life and death?\You're a 17-year-old who doesn't know how to take a joke, I see.\One more thing.\When Senketsu awakens,\why does he turn into that sleazy, midriff-baring number? response:	Chalk that up to your father's tastes.
context: At school, you and I are teacher and student.\Don't make contact without taking precautions.\By that line, you mean the border between life and death?\You're a 17-year-old who doesn't know how to take a joke, I see.\One more thing.\When Senketsu awakens,\why does he turn into that sleazy, midriff-baring number?\Chalk that up to your father's tastes. response:	Y-You're kidding!
context: Don't make contact without taking precautions.\By that line, you mean the border between life and death?\You're a 17-year-old who doesn't know how to take a joke, I see.\One more thing.\When Senketsu awakens,\why does he turn into that sleazy, midriff-baring number?\Chalk that up to your father's tastes.\Y-You're kidding! response:	I'd hate to think that, anyway.
context: By that line, you mean the border between life and death?\You're a 17-year-old who doesn't know how to take a joke, I see.\One more thing.\When Senketsu awakens,\why does he turn into that sleazy, midriff-baring number?\Chalk that up to your father's tastes.\Y-You're kidding!\I'd hate to think that, anyway. response:	There's a lot that I don't understand about Kamui, either.
context: You're a 17-year-old who doesn't know how to take a joke, I see.\One more thing.\When Senketsu awakens,\why does he turn into that sleazy, midriff-baring number?\Chalk that up to your father's tastes.\Y-You're kidding!\I'd hate to think that, anyway.\There's a lot that I don't understand about Kamui, either. response:	You'll have to find those answers yourself.
context: One more thing.\When Senketsu awakens,\why does he turn into that sleazy, midriff-baring number?\Chalk that up to your father's tastes.\Y-You're kidding!\I'd hate to think that, anyway.\There's a lot that I don't understand about Kamui, either.\You'll have to find those answers yourself. response:	HONNOUJI ACADEMY SEWING CLUB LABORATORY
context: When Senketsu awakens,\why does he turn into that sleazy, midriff-baring number?\Chalk that up to your father's tastes.\Y-You're kidding!\I'd hate to think that, anyway.\There's a lot that I don't understand about Kamui, either.\You'll have to find those answers yourself.\HONNOUJI ACADEMY SEWING CLUB LABORATORY response:	FIVE-STAR GOKU UNIFORM TEST-FITTING
context: why does he turn into that sleazy, midriff-baring number?\Chalk that up to your father's tastes.\Y-You're kidding!\I'd hate to think that, anyway.\There's a lot that I don't understand about Kamui, either.\You'll have to find those answers yourself.\HONNOUJI ACADEMY SEWING CLUB LABORATORY\FIVE-STAR GOKU UNIFORM TEST-FITTING response:	This is a Five-Star Goku Uniform whose weave is 50 Life Fibers.
context: Chalk that up to your father's tastes.\Y-You're kidding!\I'd hate to think that, anyway.\There's a lot that I don't understand about Kamui, either.\You'll have to find those answers yourself.\HONNOUJI ACADEMY SEWING CLUB LABORATORY\FIVE-STAR GOKU UNIFORM TEST-FITTING\This is a Five-Star Goku Uniform whose weave is 50 Life Fibers. response:	Commence sewing!
context: Y-You're kidding!\I'd hate to think that, anyway.\There's a lot that I don't understand about Kamui, either.\You'll have to find those answers yourself.\HONNOUJI ACADEMY SEWING CLUB LABORATORY\FIVE-STAR GOKU UNIFORM TEST-FITTING\This is a Five-Star Goku Uniform whose weave is 50 Life Fibers.\Commence sewing! response:	1 button location confirmed!
context: I'd hate to think that, anyway.\There's a lot that I don't understand about Kamui, either.\You'll have to find those answers yourself.\HONNOUJI ACADEMY SEWING CLUB LABORATORY\FIVE-STAR GOKU UNIFORM TEST-FITTING\This is a Five-Star Goku Uniform whose weave is 50 Life Fibers.\Commence sewing!\1 button location confirmed! response:	Don't inhale the dust!
context: There's a lot that I don't understand about Kamui, either.\You'll have to find those answers yourself.\HONNOUJI ACADEMY SEWING CLUB LABORATORY\FIVE-STAR GOKU UNIFORM TEST-FITTING\This is a Five-Star Goku Uniform whose weave is 50 Life Fibers.\Commence sewing!\1 button location confirmed!\Don't inhale the dust! response:	Commencing sleeve length alterations. Modifying side vent shape.
context: You'll have to find those answers yourself.\HONNOUJI ACADEMY SEWING CLUB LABORATORY\FIVE-STAR GOKU UNIFORM TEST-FITTING\This is a Five-Star Goku Uniform whose weave is 50 Life Fibers.\Commence sewing!\1 button location confirmed!\Don't inhale the dust!\Commencing sleeve length alterations. Modifying side vent shape. response:	Chest adjustment complete.
context: HONNOUJI ACADEMY SEWING CLUB LABORATORY\FIVE-STAR GOKU UNIFORM TEST-FITTING\This is a Five-Star Goku Uniform whose weave is 50 Life Fibers.\Commence sewing!\1 button location confirmed!\Don't inhale the dust!\Commencing sleeve length alterations. Modifying side vent shape.\Chest adjustment complete. response:	Activation of Life Fiber confirmed.
context: FIVE-STAR GOKU UNIFORM TEST-FITTING\This is a Five-Star Goku Uniform whose weave is 50 Life Fibers.\Commence sewing!\1 button location confirmed!\Don't inhale the dust!\Commencing sleeve length alterations. Modifying side vent shape.\Chest adjustment complete.\Activation of Life Fiber confirmed. response:	Don't let go of those chains!
context: This is a Five-Star Goku Uniform whose weave is 50 Life Fibers.\Commence sewing!\1 button location confirmed!\Don't inhale the dust!\Commencing sleeve length alterations. Modifying side vent shape.\Chest adjustment complete.\Activation of Life Fiber confirmed.\Don't let go of those chains! response:	Crap! One-Star security!
context: Commence sewing!\1 button location confirmed!\Don't inhale the dust!\Commencing sleeve length alterations. Modifying side vent shape.\Chest adjustment complete.\Activation of Life Fiber confirmed.\Don't let go of those chains!\Crap! One-Star security! response:	Fire all tranquilizer rounds!
context: 1 button location confirmed!\Don't inhale the dust!\Commencing sleeve length alterations. Modifying side vent shape.\Chest adjustment complete.\Activation of Life Fiber confirmed.\Don't let go of those chains!\Crap! One-Star security!\Fire all tranquilizer rounds! response:	Analysis complete.
context: Don't inhale the dust!\Commencing sleeve length alterations. Modifying side vent shape.\Chest adjustment complete.\Activation of Life Fiber confirmed.\Don't let go of those chains!\Crap! One-Star security!\Fire all tranquilizer rounds!\Analysis complete. response:	Thanks for the save, Inumuta.
context: Commencing sleeve length alterations. Modifying side vent shape.\Chest adjustment complete.\Activation of Life Fiber confirmed.\Don't let go of those chains!\Crap! One-Star security!\Fire all tranquilizer rounds!\Analysis complete.\Thanks for the save, Inumuta. response:	It was your decision to stop at the test-fitting stage.
context: Chest adjustment complete.\Activation of Life Fiber confirmed.\Don't let go of those chains!\Crap! One-Star security!\Fire all tranquilizer rounds!\Analysis complete.\Thanks for the save, Inumuta.\It was your decision to stop at the test-fitting stage. response:	All I did was unravel those threads.
context: Activation of Life Fiber confirmed.\Don't let go of those chains!\Crap! One-Star security!\Fire all tranquilizer rounds!\Analysis complete.\Thanks for the save, Inumuta.\It was your decision to stop at the test-fitting stage.\All I did was unravel those threads. response:	Still, I'm not sure we could have beaten him if a
context: Don't let go of those chains!\Crap! One-Star security!\Fire all tranquilizer rounds!\Analysis complete.\Thanks for the save, Inumuta.\It was your decision to stop at the test-fitting stage.\All I did was unravel those threads.\Still, I'm not sure we could have beaten him if a response:	Three-Star like you hadn't been here.
context: Crap! One-Star security!\Fire all tranquilizer rounds!\Analysis complete.\Thanks for the save, Inumuta.\It was your decision to stop at the test-fitting stage.\All I did was unravel those threads.\Still, I'm not sure we could have beaten him if a\Three-Star like you hadn't been here. response:	Simply by increasing the Life Fiber count to 50,
context: Fire all tranquilizer rounds!\Analysis complete.\Thanks for the save, Inumuta.\It was your decision to stop at the test-fitting stage.\All I did was unravel those threads.\Still, I'm not sure we could have beaten him if a\Three-Star like you hadn't been here.\Simply by increasing the Life Fiber count to 50, response:	control is lost to this extent.
context: Analysis complete.\Thanks for the save, Inumuta.\It was your decision to stop at the test-fitting stage.\All I did was unravel those threads.\Still, I'm not sure we could have beaten him if a\Three-Star like you hadn't been here.\Simply by increasing the Life Fiber count to 50,\control is lost to this extent. response:	It's hard to believe that some are able to wear Kamui,
