context: In this world, dominated by machines, response:	some humans side with the machines.
context: I don't drink alcohol.\We, Eleven, are born to resist against machines.\We're monsters, in a sense.\I'm not a monster.\I'm not the same as you.\It is not the strongest of the pieces that survives,\nor the most intelligent, but rather the one most adaptable to change.\Evolution Theory... response:	No point quoting Darwin now.
context: We, Eleven, are born to resist against machines.\We're monsters, in a sense.\I'm not a monster.\I'm not the same as you.\It is not the strongest of the pieces that survives,\nor the most intelligent, but rather the one most adaptable to change.\Evolution Theory...\No point quoting Darwin now. response:	Machines acquired intelligence, and they're destroying human society.
context: We're monsters, in a sense.\I'm not a monster.\I'm not the same as you.\It is not the strongest of the pieces that survives,\nor the most intelligent, but rather the one most adaptable to change.\Evolution Theory...\No point quoting Darwin now.\Machines acquired intelligence, and they're destroying human society. response:	You're still so young.
context: I'm not a monster.\I'm not the same as you.\It is not the strongest of the pieces that survives,\nor the most intelligent, but rather the one most adaptable to change.\Evolution Theory...\No point quoting Darwin now.\Machines acquired intelligence, and they're destroying human society.\You're still so young. response:	Youth doesn't necessarily solve everything.
context: I'm not the same as you.\It is not the strongest of the pieces that survives,\nor the most intelligent, but rather the one most adaptable to change.\Evolution Theory...\No point quoting Darwin now.\Machines acquired intelligence, and they're destroying human society.\You're still so young.\Youth doesn't necessarily solve everything. response:	Life isn't about holding good cards; it's about playing those you hold well.
context: It is not the strongest of the pieces that survives,\nor the most intelligent, but rather the one most adaptable to change.\Evolution Theory...\No point quoting Darwin now.\Machines acquired intelligence, and they're destroying human society.\You're still so young.\Youth doesn't necessarily solve everything.\Life isn't about holding good cards; it's about playing those you hold well. response:	What's your card?
context: nor the most intelligent, but rather the one most adaptable to change.\Evolution Theory...\No point quoting Darwin now.\Machines acquired intelligence, and they're destroying human society.\You're still so young.\Youth doesn't necessarily solve everything.\Life isn't about holding good cards; it's about playing those you hold well.\What's your card? response:	I wonder too.
context: Evolution Theory...\No point quoting Darwin now.\Machines acquired intelligence, and they're destroying human society.\You're still so young.\Youth doesn't necessarily solve everything.\Life isn't about holding good cards; it's about playing those you hold well.\What's your card?\I wonder too. response:	I haven't made up my mind.
context: No point quoting Darwin now.\Machines acquired intelligence, and they're destroying human society.\You're still so young.\Youth doesn't necessarily solve everything.\Life isn't about holding good cards; it's about playing those you hold well.\What's your card?\I wonder too.\I haven't made up my mind. response:	Right. Just look after your card well.
context: Machines acquired intelligence, and they're destroying human society.\You're still so young.\Youth doesn't necessarily solve everything.\Life isn't about holding good cards; it's about playing those you hold well.\What's your card?\I wonder too.\I haven't made up my mind.\Right. Just look after your card well. response:	You might be better off
context: You're still so young.\Youth doesn't necessarily solve everything.\Life isn't about holding good cards; it's about playing those you hold well.\What's your card?\I wonder too.\I haven't made up my mind.\Right. Just look after your card well.\You might be better off response:	doing what you want by yourself.
context: Youth doesn't necessarily solve everything.\Life isn't about holding good cards; it's about playing those you hold well.\What's your card?\I wonder too.\I haven't made up my mind.\Right. Just look after your card well.\You might be better off\doing what you want by yourself. response:	Don't you want to listen to my singing?
context: Life isn't about holding good cards; it's about playing those you hold well.\What's your card?\I wonder too.\I haven't made up my mind.\Right. Just look after your card well.\You might be better off\doing what you want by yourself.\Don't you want to listen to my singing? response:	I'm leaving.
