context: All right! response:	Boys' Bathroom
context: What'd you mean?!\Hey, wait a sec!\What?\Y-You're lame, four-eyes!\Stupid! Stupid! Stupid!\H-Hey, wait a sec.\Lame.\At the time, Tsukki might have actually been talking about me, too. response:	But more importantly,
context: Hey, wait a sec!\What?\Y-You're lame, four-eyes!\Stupid! Stupid! Stupid!\H-Hey, wait a sec.\Lame.\At the time, Tsukki might have actually been talking about me, too.\But more importantly, response:	the fact that he was able to say that to the bullies who threatened me...
context: What?\Y-You're lame, four-eyes!\Stupid! Stupid! Stupid!\H-Hey, wait a sec.\Lame.\At the time, Tsukki might have actually been talking about me, too.\But more importantly,\the fact that he was able to say that to the bullies who threatened me... response:	That made him look really cool, and I was envious.
context: Y-You're lame, four-eyes!\Stupid! Stupid! Stupid!\H-Hey, wait a sec.\Lame.\At the time, Tsukki might have actually been talking about me, too.\But more importantly,\the fact that he was able to say that to the bullies who threatened me...\That made him look really cool, and I was envious. response:	I wanted to be like that.
context: Stupid! Stupid! Stupid!\H-Hey, wait a sec.\Lame.\At the time, Tsukki might have actually been talking about me, too.\But more importantly,\the fact that he was able to say that to the bullies who threatened me...\That made him look really cool, and I was envious.\I wanted to be like that. response:	What about you, Yamaguchi?
context: H-Hey, wait a sec.\Lame.\At the time, Tsukki might have actually been talking about me, too.\But more importantly,\the fact that he was able to say that to the bullies who threatened me...\That made him look really cool, and I was envious.\I wanted to be like that.\What about you, Yamaguchi? response:	What would you say to Tsukishima?
context: Lame.\At the time, Tsukki might have actually been talking about me, too.\But more importantly,\the fact that he was able to say that to the bullies who threatened me...\That made him look really cool, and I was envious.\I wanted to be like that.\What about you, Yamaguchi?\What would you say to Tsukishima? response:	Haikyu!!
context: At the time, Tsukki might have actually been talking about me, too.\But more importantly,\the fact that he was able to say that to the bullies who threatened me...\That made him look really cool, and I was envious.\I wanted to be like that.\What about you, Yamaguchi?\What would you say to Tsukishima?\Haikyu!! response:	Episode 08: Illusionary Hero
context: But more importantly,\the fact that he was able to say that to the bullies who threatened me...\That made him look really cool, and I was envious.\I wanted to be like that.\What about you, Yamaguchi?\What would you say to Tsukishima?\Haikyu!!\Episode 08: Illusionary Hero response:	I'm heading out.
context: the fact that he was able to say that to the bullies who threatened me...\That made him look really cool, and I was envious.\I wanted to be like that.\What about you, Yamaguchi?\What would you say to Tsukishima?\Haikyu!!\Episode 08: Illusionary Hero\I'm heading out. response:	Okay.
context: That made him look really cool, and I was envious.\I wanted to be like that.\What about you, Yamaguchi?\What would you say to Tsukishima?\Haikyu!!\Episode 08: Illusionary Hero\I'm heading out.\Okay. response:	Good work!
context: I wanted to be like that.\What about you, Yamaguchi?\What would you say to Tsukishima?\Haikyu!!\Episode 08: Illusionary Hero\I'm heading out.\Okay.\Good work! response:	Hey, Tsukishima!
context: What about you, Yamaguchi?\What would you say to Tsukishima?\Haikyu!!\Episode 08: Illusionary Hero\I'm heading out.\Okay.\Good work!\Hey, Tsukishima! response:	We're gonna practice the synchronized attack, so help us out for a sec.
context: What would you say to Tsukishima?\Haikyu!!\Episode 08: Illusionary Hero\I'm heading out.\Okay.\Good work!\Hey, Tsukishima!\We're gonna practice the synchronized attack, so help us out for a sec. response:	I can still go, too.
context: Haikyu!!\Episode 08: Illusionary Hero\I'm heading out.\Okay.\Good work!\Hey, Tsukishima!\We're gonna practice the synchronized attack, so help us out for a sec.\I can still go, too. response:	There'll be three wing spikers, but that's okay, isn't it?
context: Episode 08: Illusionary Hero\I'm heading out.\Okay.\Good work!\Hey, Tsukishima!\We're gonna practice the synchronized attack, so help us out for a sec.\I can still go, too.\There'll be three wing spikers, but that's okay, isn't it? response:	I wanna get the timing down.
context: I'm heading out.\Okay.\Good work!\Hey, Tsukishima!\We're gonna practice the synchronized attack, so help us out for a sec.\I can still go, too.\There'll be three wing spikers, but that's okay, isn't it?\I wanna get the timing down. response:	Wait... You aren't trying to become a regular, are you?
context: Okay.\Good work!\Hey, Tsukishima!\We're gonna practice the synchronized attack, so help us out for a sec.\I can still go, too.\There'll be three wing spikers, but that's okay, isn't it?\I wanna get the timing down.\Wait... You aren't trying to become a regular, are you? response:	Don't think I'm gonna be warming that bench forever.
context: Good work!\Hey, Tsukishima!\We're gonna practice the synchronized attack, so help us out for a sec.\I can still go, too.\There'll be three wing spikers, but that's okay, isn't it?\I wanna get the timing down.\Wait... You aren't trying to become a regular, are you?\Don't think I'm gonna be warming that bench forever. response:	Bring it on!
context: Hey, Tsukishima!\We're gonna practice the synchronized attack, so help us out for a sec.\I can still go, too.\There'll be three wing spikers, but that's okay, isn't it?\I wanna get the timing down.\Wait... You aren't trying to become a regular, are you?\Don't think I'm gonna be warming that bench forever.\Bring it on! response:	Daichi-san, let's hurry up and do this.
context: We're gonna practice the synchronized attack, so help us out for a sec.\I can still go, too.\There'll be three wing spikers, but that's okay, isn't it?\I wanna get the timing down.\Wait... You aren't trying to become a regular, are you?\Don't think I'm gonna be warming that bench forever.\Bring it on!\Daichi-san, let's hurry up and do this. response:	Let me rest for a bit.
context: I can still go, too.\There'll be three wing spikers, but that's okay, isn't it?\I wanna get the timing down.\Wait... You aren't trying to become a regular, are you?\Don't think I'm gonna be warming that bench forever.\Bring it on!\Daichi-san, let's hurry up and do this.\Let me rest for a bit. response:	Good job!
context: There'll be three wing spikers, but that's okay, isn't it?\I wanna get the timing down.\Wait... You aren't trying to become a regular, are you?\Don't think I'm gonna be warming that bench forever.\Bring it on!\Daichi-san, let's hurry up and do this.\Let me rest for a bit.\Good job! response:	Daichi-san!
context: I wanna get the timing down.\Wait... You aren't trying to become a regular, are you?\Don't think I'm gonna be warming that bench forever.\Bring it on!\Daichi-san, let's hurry up and do this.\Let me rest for a bit.\Good job!\Daichi-san! response:	I can't afford to take this so lightly.
context: Wait... You aren't trying to become a regular, are you?\Don't think I'm gonna be warming that bench forever.\Bring it on!\Daichi-san, let's hurry up and do this.\Let me rest for a bit.\Good job!\Daichi-san!\I can't afford to take this so lightly. response:	It's just a club.
context: Don't think I'm gonna be warming that bench forever.\Bring it on!\Daichi-san, let's hurry up and do this.\Let me rest for a bit.\Good job!\Daichi-san!\I can't afford to take this so lightly.\It's just a club. response:	Miyagi Prefecture Junior High All-Around Sports Tournament Volleyball
context: Bring it on!\Daichi-san, let's hurry up and do this.\Let me rest for a bit.\Good job!\Daichi-san!\I can't afford to take this so lightly.\It's just a club.\Miyagi Prefecture Junior High All-Around Sports Tournament Volleyball response:	Left! Left!
context: Daichi-san, let's hurry up and do this.\Let me rest for a bit.\Good job!\Daichi-san!\I can't afford to take this so lightly.\It's just a club.\Miyagi Prefecture Junior High All-Around Sports Tournament Volleyball\Left! Left! response:	4!
context: Let me rest for a bit.\Good job!\Daichi-san!\I can't afford to take this so lightly.\It's just a club.\Miyagi Prefecture Junior High All-Around Sports Tournament Volleyball\Left! Left!\4! response:	Oh, my! It's Tsukishima-kun again!
context: Good job!\Daichi-san!\I can't afford to take this so lightly.\It's just a club.\Miyagi Prefecture Junior High All-Around Sports Tournament Volleyball\Left! Left!\4!\Oh, my! It's Tsukishima-kun again! response:	Nothing less from the ace!
context: Daichi-san!\I can't afford to take this so lightly.\It's just a club.\Miyagi Prefecture Junior High All-Around Sports Tournament Volleyball\Left! Left!\4!\Oh, my! It's Tsukishima-kun again!\Nothing less from the ace! response:	Hey!
context: I can't afford to take this so lightly.\It's just a club.\Miyagi Prefecture Junior High All-Around Sports Tournament Volleyball\Left! Left!\4!\Oh, my! It's Tsukishima-kun again!\Nothing less from the ace!\Hey! response:	Tsukishima, nice kill!
context: It's just a club.\Miyagi Prefecture Junior High All-Around Sports Tournament Volleyball\Left! Left!\4!\Oh, my! It's Tsukishima-kun again!\Nothing less from the ace!\Hey!\Tsukishima, nice kill! response:	All right!
context: Miyagi Prefecture Junior High All-Around Sports Tournament Volleyball\Left! Left!\4!\Oh, my! It's Tsukishima-kun again!\Nothing less from the ace!\Hey!\Tsukishima, nice kill!\All right! response:	Amemaru Junior High School Volleyball Club
context: Left! Left!\4!\Oh, my! It's Tsukishima-kun again!\Nothing less from the ace!\Hey!\Tsukishima, nice kill!\All right!\Amemaru Junior High School Volleyball Club response:	Where you gonna go to high school, Ni-chan?
context: 4!\Oh, my! It's Tsukishima-kun again!\Nothing less from the ace!\Hey!\Tsukishima, nice kill!\All right!\Amemaru Junior High School Volleyball Club\Where you gonna go to high school, Ni-chan? response:	Karasuno.
context: Oh, my! It's Tsukishima-kun again!\Nothing less from the ace!\Hey!\Tsukishima, nice kill!\All right!\Amemaru Junior High School Volleyball Club\Where you gonna go to high school, Ni-chan?\Karasuno. response:	They're a powerhouse school that rivals Shiratorizawa right now.
context: Nothing less from the ace!\Hey!\Tsukishima, nice kill!\All right!\Amemaru Junior High School Volleyball Club\Where you gonna go to high school, Ni-chan?\Karasuno.\They're a powerhouse school that rivals Shiratorizawa right now. response:	I'm gonna go to nationals when I get to high school!
context: Hey!\Tsukishima, nice kill!\All right!\Amemaru Junior High School Volleyball Club\Where you gonna go to high school, Ni-chan?\Karasuno.\They're a powerhouse school that rivals Shiratorizawa right now.\I'm gonna go to nationals when I get to high school! response:	Karasuno High School Volleyball Club
context: Tsukishima, nice kill!\All right!\Amemaru Junior High School Volleyball Club\Where you gonna go to high school, Ni-chan?\Karasuno.\They're a powerhouse school that rivals Shiratorizawa right now.\I'm gonna go to nationals when I get to high school!\Karasuno High School Volleyball Club response:	I'm home.
context: All right!\Amemaru Junior High School Volleyball Club\Where you gonna go to high school, Ni-chan?\Karasuno.\They're a powerhouse school that rivals Shiratorizawa right now.\I'm gonna go to nationals when I get to high school!\Karasuno High School Volleyball Club\I'm home. response:	Were you stay late doing extra practice again?
context: Amemaru Junior High School Volleyball Club\Where you gonna go to high school, Ni-chan?\Karasuno.\They're a powerhouse school that rivals Shiratorizawa right now.\I'm gonna go to nationals when I get to high school!\Karasuno High School Volleyball Club\I'm home.\Were you stay late doing extra practice again? response:	Everyone's really skilled, so I can't afford to slack off.
context: Where you gonna go to high school, Ni-chan?\Karasuno.\They're a powerhouse school that rivals Shiratorizawa right now.\I'm gonna go to nationals when I get to high school!\Karasuno High School Volleyball Club\I'm home.\Were you stay late doing extra practice again?\Everyone's really skilled, so I can't afford to slack off. response:	Not to mention, Coach Ukai is really strict.
context: Karasuno.\They're a powerhouse school that rivals Shiratorizawa right now.\I'm gonna go to nationals when I get to high school!\Karasuno High School Volleyball Club\I'm home.\Were you stay late doing extra practice again?\Everyone's really skilled, so I can't afford to slack off.\Not to mention, Coach Ukai is really strict. response:	But...
context: They're a powerhouse school that rivals Shiratorizawa right now.\I'm gonna go to nationals when I get to high school!\Karasuno High School Volleyball Club\I'm home.\Were you stay late doing extra practice again?\Everyone's really skilled, so I can't afford to slack off.\Not to mention, Coach Ukai is really strict.\But... response:	I'm totally going to try to get a regular spot in my first year!
context: I'm gonna go to nationals when I get to high school!\Karasuno High School Volleyball Club\I'm home.\Were you stay late doing extra practice again?\Everyone's really skilled, so I can't afford to slack off.\Not to mention, Coach Ukai is really strict.\But...\I'm totally going to try to get a regular spot in my first year! response:	There're a lot of club members, right?
context: Karasuno High School Volleyball Club\I'm home.\Were you stay late doing extra practice again?\Everyone's really skilled, so I can't afford to slack off.\Not to mention, Coach Ukai is really strict.\But...\I'm totally going to try to get a regular spot in my first year!\There're a lot of club members, right? response:	That'd be awesome if could make regular.
context: I'm home.\Were you stay late doing extra practice again?\Everyone's really skilled, so I can't afford to slack off.\Not to mention, Coach Ukai is really strict.\But...\I'm totally going to try to get a regular spot in my first year!\There're a lot of club members, right?\That'd be awesome if could make regular. response:	Right?
context: Were you stay late doing extra practice again?\Everyone's really skilled, so I can't afford to slack off.\Not to mention, Coach Ukai is really strict.\But...\I'm totally going to try to get a regular spot in my first year!\There're a lot of club members, right?\That'd be awesome if could make regular.\Right? response:	Mom!
context: Everyone's really skilled, so I can't afford to slack off.\Not to mention, Coach Ukai is really strict.\But...\I'm totally going to try to get a regular spot in my first year!\There're a lot of club members, right?\That'd be awesome if could make regular.\Right?\Mom! response:	I need three lunches tomorrow, too!
context: Not to mention, Coach Ukai is really strict.\But...\I'm totally going to try to get a regular spot in my first year!\There're a lot of club members, right?\That'd be awesome if could make regular.\Right?\Mom!\I need three lunches tomorrow, too! response:	For morning practice, lunch time, and then right before club.
context: But...\I'm totally going to try to get a regular spot in my first year!\There're a lot of club members, right?\That'd be awesome if could make regular.\Right?\Mom!\I need three lunches tomorrow, too!\For morning practice, lunch time, and then right before club. response:	Got it. High in protein and low-fat, right?
context: I'm totally going to try to get a regular spot in my first year!\There're a lot of club members, right?\That'd be awesome if could make regular.\Right?\Mom!\I need three lunches tomorrow, too!\For morning practice, lunch time, and then right before club.\Got it. High in protein and low-fat, right? response:	Yep! Thanks!
context: There're a lot of club members, right?\That'd be awesome if could make regular.\Right?\Mom!\I need three lunches tomorrow, too!\For morning practice, lunch time, and then right before club.\Got it. High in protein and low-fat, right?\Yep! Thanks! response:	The lady at the butcher shop today said,
context: That'd be awesome if could make regular.\Right?\Mom!\I need three lunches tomorrow, too!\For morning practice, lunch time, and then right before club.\Got it. High in protein and low-fat, right?\Yep! Thanks!\The lady at the butcher shop today said, response:	It's amazing that your brother's on the Karasuno volleyball team.
context: Right?\Mom!\I need three lunches tomorrow, too!\For morning practice, lunch time, and then right before club.\Got it. High in protein and low-fat, right?\Yep! Thanks!\The lady at the butcher shop today said,\It's amazing that your brother's on the Karasuno volleyball team. response:	Ni-chan, you have a match tomorrow, right?
context: Mom!\I need three lunches tomorrow, too!\For morning practice, lunch time, and then right before club.\Got it. High in protein and low-fat, right?\Yep! Thanks!\The lady at the butcher shop today said,\It's amazing that your brother's on the Karasuno volleyball team.\Ni-chan, you have a match tomorrow, right? response:	Can I come watch?
context: I need three lunches tomorrow, too!\For morning practice, lunch time, and then right before club.\Got it. High in protein and low-fat, right?\Yep! Thanks!\The lady at the butcher shop today said,\It's amazing that your brother's on the Karasuno volleyball team.\Ni-chan, you have a match tomorrow, right?\Can I come watch? response:	Hmm...
context: For morning practice, lunch time, and then right before club.\Got it. High in protein and low-fat, right?\Yep! Thanks!\The lady at the butcher shop today said,\It's amazing that your brother's on the Karasuno volleyball team.\Ni-chan, you have a match tomorrow, right?\Can I come watch?\Hmm... response:	I'll get nervous if you watch, so nope!
context: Got it. High in protein and low-fat, right?\Yep! Thanks!\The lady at the butcher shop today said,\It's amazing that your brother's on the Karasuno volleyball team.\Ni-chan, you have a match tomorrow, right?\Can I come watch?\Hmm...\I'll get nervous if you watch, so nope! response:	Aw...
context: Yep! Thanks!\The lady at the butcher shop today said,\It's amazing that your brother's on the Karasuno volleyball team.\Ni-chan, you have a match tomorrow, right?\Can I come watch?\Hmm...\I'll get nervous if you watch, so nope!\Aw... response:	Hey, what's your position right now?
context: The lady at the butcher shop today said,\It's amazing that your brother's on the Karasuno volleyball team.\Ni-chan, you have a match tomorrow, right?\Can I come watch?\Hmm...\I'll get nervous if you watch, so nope!\Aw...\Hey, what's your position right now? response:	The same as junior high?
context: It's amazing that your brother's on the Karasuno volleyball team.\Ni-chan, you have a match tomorrow, right?\Can I come watch?\Hmm...\I'll get nervous if you watch, so nope!\Aw...\Hey, what's your position right now?\The same as junior high? response:	Yeah.
context: Ni-chan, you have a match tomorrow, right?\Can I come watch?\Hmm...\I'll get nervous if you watch, so nope!\Aw...\Hey, what's your position right now?\The same as junior high?\Yeah. response:	So you're the ace!
context: Can I come watch?\Hmm...\I'll get nervous if you watch, so nope!\Aw...\Hey, what's your position right now?\The same as junior high?\Yeah.\So you're the ace! response:	Yup!
context: Hmm...\I'll get nervous if you watch, so nope!\Aw...\Hey, what's your position right now?\The same as junior high?\Yeah.\So you're the ace!\Yup! response:	What about you, Kei?
context: I'll get nervous if you watch, so nope!\Aw...\Hey, what's your position right now?\The same as junior high?\Yeah.\So you're the ace!\Yup!\What about you, Kei? response:	You just joined a youth team, right?
context: Aw...\Hey, what's your position right now?\The same as junior high?\Yeah.\So you're the ace!\Yup!\What about you, Kei?\You just joined a youth team, right? response:	I hate receiving.
context: Hey, what's your position right now?\The same as junior high?\Yeah.\So you're the ace!\Yup!\What about you, Kei?\You just joined a youth team, right?\I hate receiving. response:	At first, it doesn't go the way you want it to at all, right?
context: The same as junior high?\Yeah.\So you're the ace!\Yup!\What about you, Kei?\You just joined a youth team, right?\I hate receiving.\At first, it doesn't go the way you want it to at all, right? response:	Here, get into position.
context: Yeah.\So you're the ace!\Yup!\What about you, Kei?\You just joined a youth team, right?\I hate receiving.\At first, it doesn't go the way you want it to at all, right?\Here, get into position. response:	Here we go.
context: So you're the ace!\Yup!\What about you, Kei?\You just joined a youth team, right?\I hate receiving.\At first, it doesn't go the way you want it to at all, right?\Here, get into position.\Here we go. response:	Kei, don't try to raise it with your arms.
context: Yup!\What about you, Kei?\You just joined a youth team, right?\I hate receiving.\At first, it doesn't go the way you want it to at all, right?\Here, get into position.\Here we go.\Kei, don't try to raise it with your arms. response:	See, you lower your hips
context: What about you, Kei?\You just joined a youth team, right?\I hate receiving.\At first, it doesn't go the way you want it to at all, right?\Here, get into position.\Here we go.\Kei, don't try to raise it with your arms.\See, you lower your hips response:	and then do it like you're sending it off with your whole body.
context: You just joined a youth team, right?\I hate receiving.\At first, it doesn't go the way you want it to at all, right?\Here, get into position.\Here we go.\Kei, don't try to raise it with your arms.\See, you lower your hips\and then do it like you're sending it off with your whole body. response:	Throw it to me a sec.
context: I hate receiving.\At first, it doesn't go the way you want it to at all, right?\Here, get into position.\Here we go.\Kei, don't try to raise it with your arms.\See, you lower your hips\and then do it like you're sending it off with your whole body.\Throw it to me a sec. response:	Wow!
context: At first, it doesn't go the way you want it to at all, right?\Here, get into position.\Here we go.\Kei, don't try to raise it with your arms.\See, you lower your hips\and then do it like you're sending it off with your whole body.\Throw it to me a sec.\Wow! response:	Receiving is where everything begins in volleyball.
context: Here, get into position.\Here we go.\Kei, don't try to raise it with your arms.\See, you lower your hips\and then do it like you're sending it off with your whole body.\Throw it to me a sec.\Wow!\Receiving is where everything begins in volleyball. response:	Connections mean everything in volleyball.
context: Here we go.\Kei, don't try to raise it with your arms.\See, you lower your hips\and then do it like you're sending it off with your whole body.\Throw it to me a sec.\Wow!\Receiving is where everything begins in volleyball.\Connections mean everything in volleyball. response:	Are you getting along with the other kids okay?
context: Kei, don't try to raise it with your arms.\See, you lower your hips\and then do it like you're sending it off with your whole body.\Throw it to me a sec.\Wow!\Receiving is where everything begins in volleyball.\Connections mean everything in volleyball.\Are you getting along with the other kids okay? response:	Yeah...
context: See, you lower your hips\and then do it like you're sending it off with your whole body.\Throw it to me a sec.\Wow!\Receiving is where everything begins in volleyball.\Connections mean everything in volleyball.\Are you getting along with the other kids okay?\Yeah... response:	Liar!
context: and then do it like you're sending it off with your whole body.\Throw it to me a sec.\Wow!\Receiving is where everything begins in volleyball.\Connections mean everything in volleyball.\Are you getting along with the other kids okay?\Yeah...\Liar! response:	It's written all over your face!
context: Throw it to me a sec.\Wow!\Receiving is where everything begins in volleyball.\Connections mean everything in volleyball.\Are you getting along with the other kids okay?\Yeah...\Liar!\It's written all over your face! response:	Karasuno General Sports Park Indoor Gymnasium
context: Wow!\Receiving is where everything begins in volleyball.\Connections mean everything in volleyball.\Are you getting along with the other kids okay?\Yeah...\Liar!\It's written all over your face!\Karasuno General Sports Park Indoor Gymnasium response:	Hi.
context: Receiving is where everything begins in volleyball.\Connections mean everything in volleyball.\Are you getting along with the other kids okay?\Yeah...\Liar!\It's written all over your face!\Karasuno General Sports Park Indoor Gymnasium\Hi. response:	Ah! Um...
context: Connections mean everything in volleyball.\Are you getting along with the other kids okay?\Yeah...\Liar!\It's written all over your face!\Karasuno General Sports Park Indoor Gymnasium\Hi.\Ah! Um... response:	Thank you for the other day.
context: Are you getting along with the other kids okay?\Yeah...\Liar!\It's written all over your face!\Karasuno General Sports Park Indoor Gymnasium\Hi.\Ah! Um...\Thank you for the other day. response:	Have we met?
context: Yeah...\Liar!\It's written all over your face!\Karasuno General Sports Park Indoor Gymnasium\Hi.\Ah! Um...\Thank you for the other day.\Have we met? response:	The... other day... a-at the park...
context: Liar!\It's written all over your face!\Karasuno General Sports Park Indoor Gymnasium\Hi.\Ah! Um...\Thank you for the other day.\Have we met?\The... other day... a-at the park... response:	Oh. So, what are you doing here?
context: It's written all over your face!\Karasuno General Sports Park Indoor Gymnasium\Hi.\Ah! Um...\Thank you for the other day.\Have we met?\The... other day... a-at the park...\Oh. So, what are you doing here? response:	The park...
context: Karasuno General Sports Park Indoor Gymnasium\Hi.\Ah! Um...\Thank you for the other day.\Have we met?\The... other day... a-at the park...\Oh. So, what are you doing here?\The park... response:	Oh, um...
context: Hi.\Ah! Um...\Thank you for the other day.\Have we met?\The... other day... a-at the park...\Oh. So, what are you doing here?\The park...\Oh, um... response:	I wanted to play some kind of sport...
context: Ah! Um...\Thank you for the other day.\Have we met?\The... other day... a-at the park...\Oh. So, what are you doing here?\The park...\Oh, um...\I wanted to play some kind of sport... response:	There are a lot of scary guys in baseball and soccer,
context: Thank you for the other day.\Have we met?\The... other day... a-at the park...\Oh. So, what are you doing here?\The park...\Oh, um...\I wanted to play some kind of sport...\There are a lot of scary guys in baseball and soccer, response:	but this seemed safe.
context: Have we met?\The... other day... a-at the park...\Oh. So, what are you doing here?\The park...\Oh, um...\I wanted to play some kind of sport...\There are a lot of scary guys in baseball and soccer,\but this seemed safe. response:	Ah!
context: The... other day... a-at the park...\Oh. So, what are you doing here?\The park...\Oh, um...\I wanted to play some kind of sport...\There are a lot of scary guys in baseball and soccer,\but this seemed safe.\Ah! response:	Those shoes are awesome!
context: Oh. So, what are you doing here?\The park...\Oh, um...\I wanted to play some kind of sport...\There are a lot of scary guys in baseball and soccer,\but this seemed safe.\Ah!\Those shoes are awesome! response:	I still only have the school-issued gym shoes.
context: The park...\Oh, um...\I wanted to play some kind of sport...\There are a lot of scary guys in baseball and soccer,\but this seemed safe.\Ah!\Those shoes are awesome!\I still only have the school-issued gym shoes. response:	Mine are hand-me-downs.
context: Oh, um...\I wanted to play some kind of sport...\There are a lot of scary guys in baseball and soccer,\but this seemed safe.\Ah!\Those shoes are awesome!\I still only have the school-issued gym shoes.\Mine are hand-me-downs. response:	These were my older brother's, and I'm using them until I get my own next week.
context: I wanted to play some kind of sport...\There are a lot of scary guys in baseball and soccer,\but this seemed safe.\Ah!\Those shoes are awesome!\I still only have the school-issued gym shoes.\Mine are hand-me-downs.\These were my older brother's, and I'm using them until I get my own next week. response:	Your brother plays volleyball, too?
context: There are a lot of scary guys in baseball and soccer,\but this seemed safe.\Ah!\Those shoes are awesome!\I still only have the school-issued gym shoes.\Mine are hand-me-downs.\These were my older brother's, and I'm using them until I get my own next week.\Your brother plays volleyball, too? response:	He plays at a really strong high school called Karasuno.
context: but this seemed safe.\Ah!\Those shoes are awesome!\I still only have the school-issued gym shoes.\Mine are hand-me-downs.\These were my older brother's, and I'm using them until I get my own next week.\Your brother plays volleyball, too?\He plays at a really strong high school called Karasuno. response:	He's like the ace.
context: Ah!\Those shoes are awesome!\I still only have the school-issued gym shoes.\Mine are hand-me-downs.\These were my older brother's, and I'm using them until I get my own next week.\Your brother plays volleyball, too?\He plays at a really strong high school called Karasuno.\He's like the ace. response:	H-He's the ace of a powerhouse school?!
context: Those shoes are awesome!\I still only have the school-issued gym shoes.\Mine are hand-me-downs.\These were my older brother's, and I'm using them until I get my own next week.\Your brother plays volleyball, too?\He plays at a really strong high school called Karasuno.\He's like the ace.\H-He's the ace of a powerhouse school?! response:	Th-That's awesome!
context: I still only have the school-issued gym shoes.\Mine are hand-me-downs.\These were my older brother's, and I'm using them until I get my own next week.\Your brother plays volleyball, too?\He plays at a really strong high school called Karasuno.\He's like the ace.\H-He's the ace of a powerhouse school?!\Th-That's awesome! response:	N-Nah... It's not that big of a deal.
context: Mine are hand-me-downs.\These were my older brother's, and I'm using them until I get my own next week.\Your brother plays volleyball, too?\He plays at a really strong high school called Karasuno.\He's like the ace.\H-He's the ace of a powerhouse school?!\Th-That's awesome!\N-Nah... It's not that big of a deal. response:	He's been one ever since junior high.
context: These were my older brother's, and I'm using them until I get my own next week.\Your brother plays volleyball, too?\He plays at a really strong high school called Karasuno.\He's like the ace.\H-He's the ace of a powerhouse school?!\Th-That's awesome!\N-Nah... It's not that big of a deal.\He's been one ever since junior high. response:	Wow!
