context: You mustn't disturb him. response:	He has passed on.
context: Which means...\And the fact that Yutaka Tamaru-san is nowhere to be seen...\We probably shouldn't tell Little Sister...\It'd be best if we didn't tell her.\This turn of events requires some deliberation.\This situation is, for all intents and purposes, a closed circle.\And at first glance, it would also appear to be homicide.\Furthermore... response:	Now then...
context: And the fact that Yutaka Tamaru-san is nowhere to be seen...\We probably shouldn't tell Little Sister...\It'd be best if we didn't tell her.\This turn of events requires some deliberation.\This situation is, for all intents and purposes, a closed circle.\And at first glance, it would also appear to be homicide.\Furthermore...\Now then... response:	Hey, Kyon-kun.
context: We probably shouldn't tell Little Sister...\It'd be best if we didn't tell her.\This turn of events requires some deliberation.\This situation is, for all intents and purposes, a closed circle.\And at first glance, it would also appear to be homicide.\Furthermore...\Now then...\Hey, Kyon-kun. response:	Remote Island Syndrome (Part Two)
context: It'd be best if we didn't tell her.\This turn of events requires some deliberation.\This situation is, for all intents and purposes, a closed circle.\And at first glance, it would also appear to be homicide.\Furthermore...\Now then...\Hey, Kyon-kun.\Remote Island Syndrome (Part Two) response:	Did something happen?
context: This turn of events requires some deliberation.\This situation is, for all intents and purposes, a closed circle.\And at first glance, it would also appear to be homicide.\Furthermore...\Now then...\Hey, Kyon-kun.\Remote Island Syndrome (Part Two)\Did something happen? response:	I told you.
context: This situation is, for all intents and purposes, a closed circle.\And at first glance, it would also appear to be homicide.\Furthermore...\Now then...\Hey, Kyon-kun.\Remote Island Syndrome (Part Two)\Did something happen?\I told you. response:	Keiichi-san is in bed after suddenly falling ill...
context: And at first glance, it would also appear to be homicide.\Furthermore...\Now then...\Hey, Kyon-kun.\Remote Island Syndrome (Part Two)\Did something happen?\I told you.\Keiichi-san is in bed after suddenly falling ill... response:	But what about Mikuru-chan?
context: Furthermore...\Now then...\Hey, Kyon-kun.\Remote Island Syndrome (Part Two)\Did something happen?\I told you.\Keiichi-san is in bed after suddenly falling ill...\But what about Mikuru-chan? response:	Kyon.
context: Now then...\Hey, Kyon-kun.\Remote Island Syndrome (Part Two)\Did something happen?\I told you.\Keiichi-san is in bed after suddenly falling ill...\But what about Mikuru-chan?\Kyon. response:	Come here.
context: Hey, Kyon-kun.\Remote Island Syndrome (Part Two)\Did something happen?\I told you.\Keiichi-san is in bed after suddenly falling ill...\But what about Mikuru-chan?\Kyon.\Come here. response:	Yuki.
context: Remote Island Syndrome (Part Two)\Did something happen?\I told you.\Keiichi-san is in bed after suddenly falling ill...\But what about Mikuru-chan?\Kyon.\Come here.\Yuki. response:	Keep the door locked.
context: Did something happen?\I told you.\Keiichi-san is in bed after suddenly falling ill...\But what about Mikuru-chan?\Kyon.\Come here.\Yuki.\Keep the door locked. response:	Don't open it for anyone.
context: I told you.\Keiichi-san is in bed after suddenly falling ill...\But what about Mikuru-chan?\Kyon.\Come here.\Yuki.\Keep the door locked.\Don't open it for anyone. response:	Understood.
context: Keiichi-san is in bed after suddenly falling ill...\But what about Mikuru-chan?\Kyon.\Come here.\Yuki.\Keep the door locked.\Don't open it for anyone.\Understood. response:	Is this a murder case?
context: But what about Mikuru-chan?\Kyon.\Come here.\Yuki.\Keep the door locked.\Don't open it for anyone.\Understood.\Is this a murder case? response:	Looks like it.
context: Kyon.\Come here.\Yuki.\Keep the door locked.\Don't open it for anyone.\Understood.\Is this a murder case?\Looks like it. response:	Unbelievable...
context: Come here.\Yuki.\Keep the door locked.\Don't open it for anyone.\Understood.\Is this a murder case?\Looks like it.\Unbelievable... response:	I never would have imagined something like this happening.
context: Yuki.\Keep the door locked.\Don't open it for anyone.\Understood.\Is this a murder case?\Looks like it.\Unbelievable...\I never would have imagined something like this happening. response:	Weren't you talking about how badly you wanted something to happen?
context: Keep the door locked.\Don't open it for anyone.\Understood.\Is this a murder case?\Looks like it.\Unbelievable...\I never would have imagined something like this happening.\Weren't you talking about how badly you wanted something to happen? response:	That's'cause...
context: Don't open it for anyone.\Understood.\Is this a murder case?\Looks like it.\Unbelievable...\I never would have imagined something like this happening.\Weren't you talking about how badly you wanted something to happen?\That's'cause... response:	A murder in a locked room on an island during a storm.
context: Understood.\Is this a murder case?\Looks like it.\Unbelievable...\I never would have imagined something like this happening.\Weren't you talking about how badly you wanted something to happen?\That's'cause...\A murder in a locked room on an island during a storm. response:	What is the probability of an incident like that occurring...
context: Is this a murder case?\Looks like it.\Unbelievable...\I never would have imagined something like this happening.\Weren't you talking about how badly you wanted something to happen?\That's'cause...\A murder in a locked room on an island during a storm.\What is the probability of an incident like that occurring... response:	Maybe this also happened because Haruhi wished for it?
context: Looks like it.\Unbelievable...\I never would have imagined something like this happening.\Weren't you talking about how badly you wanted something to happen?\That's'cause...\A murder in a locked room on an island during a storm.\What is the probability of an incident like that occurring...\Maybe this also happened because Haruhi wished for it? response:	This doesn't look good.
context: Unbelievable...\I never would have imagined something like this happening.\Weren't you talking about how badly you wanted something to happen?\That's'cause...\A murder in a locked room on an island during a storm.\What is the probability of an incident like that occurring...\Maybe this also happened because Haruhi wished for it?\This doesn't look good. response:	She looked like a mischievous boy...
context: I never would have imagined something like this happening.\Weren't you talking about how badly you wanted something to happen?\That's'cause...\A murder in a locked room on an island during a storm.\What is the probability of an incident like that occurring...\Maybe this also happened because Haruhi wished for it?\This doesn't look good.\She looked like a mischievous boy... response:	I really didn't want to consider this, but...
context: Weren't you talking about how badly you wanted something to happen?\That's'cause...\A murder in a locked room on an island during a storm.\What is the probability of an incident like that occurring...\Maybe this also happened because Haruhi wished for it?\This doesn't look good.\She looked like a mischievous boy...\I really didn't want to consider this, but... response:	After all, he's nowhere to be found.
context: That's'cause...\A murder in a locked room on an island during a storm.\What is the probability of an incident like that occurring...\Maybe this also happened because Haruhi wished for it?\This doesn't look good.\She looked like a mischievous boy...\I really didn't want to consider this, but...\After all, he's nowhere to be found. response:	That reminds me...
context: A murder in a locked room on an island during a storm.\What is the probability of an incident like that occurring...\Maybe this also happened because Haruhi wished for it?\This doesn't look good.\She looked like a mischievous boy...\I really didn't want to consider this, but...\After all, he's nowhere to be found.\That reminds me... response:	Mikuru-chan mentioned something yesterday.
context: What is the probability of an incident like that occurring...\Maybe this also happened because Haruhi wished for it?\This doesn't look good.\She looked like a mischievous boy...\I really didn't want to consider this, but...\After all, he's nowhere to be found.\That reminds me...\Mikuru-chan mentioned something yesterday. response:	The two of them were fighting?
context: Maybe this also happened because Haruhi wished for it?\This doesn't look good.\She looked like a mischievous boy...\I really didn't want to consider this, but...\After all, he's nowhere to be found.\That reminds me...\Mikuru-chan mentioned something yesterday.\The two of them were fighting? response:	She said it looked that way.
context: This doesn't look good.\She looked like a mischievous boy...\I really didn't want to consider this, but...\After all, he's nowhere to be found.\That reminds me...\Mikuru-chan mentioned something yesterday.\The two of them were fighting?\She said it looked that way. response:	And one more thing.
context: She looked like a mischievous boy...\I really didn't want to consider this, but...\After all, he's nowhere to be found.\That reminds me...\Mikuru-chan mentioned something yesterday.\The two of them were fighting?\She said it looked that way.\And one more thing. response:	It was last night.
context: I really didn't want to consider this, but...\After all, he's nowhere to be found.\That reminds me...\Mikuru-chan mentioned something yesterday.\The two of them were fighting?\She said it looked that way.\And one more thing.\It was last night. response:	I went to the bathroom in the middle of our game, right?
context: After all, he's nowhere to be found.\That reminds me...\Mikuru-chan mentioned something yesterday.\The two of them were fighting?\She said it looked that way.\And one more thing.\It was last night.\I went to the bathroom in the middle of our game, right? response:	And then, when I was at this same spot...
context: That reminds me...\Mikuru-chan mentioned something yesterday.\The two of them were fighting?\She said it looked that way.\And one more thing.\It was last night.\I went to the bathroom in the middle of our game, right?\And then, when I was at this same spot... response:	Make it quick.
context: Mikuru-chan mentioned something yesterday.\The two of them were fighting?\She said it looked that way.\And one more thing.\It was last night.\I went to the bathroom in the middle of our game, right?\And then, when I was at this same spot...\Make it quick. response:	Prepare a passport and traveler's checks.
context: The two of them were fighting?\She said it looked that way.\And one more thing.\It was last night.\I went to the bathroom in the middle of our game, right?\And then, when I was at this same spot...\Make it quick.\Prepare a passport and traveler's checks. response:	Looking back now...
context: She said it looked that way.\And one more thing.\It was last night.\I went to the bathroom in the middle of our game, right?\And then, when I was at this same spot...\Make it quick.\Prepare a passport and traveler's checks.\Looking back now... response:	But why the locked room?
context: And one more thing.\It was last night.\I went to the bathroom in the middle of our game, right?\And then, when I was at this same spot...\Make it quick.\Prepare a passport and traveler's checks.\Looking back now...\But why the locked room? response:	No attempt was made to make it look like a suicide.
context: It was last night.\I went to the bathroom in the middle of our game, right?\And then, when I was at this same spot...\Make it quick.\Prepare a passport and traveler's checks.\Looking back now...\But why the locked room?\No attempt was made to make it look like a suicide. response:	There's no reason to bother setting it up in a locked room.
context: I went to the bathroom in the middle of our game, right?\And then, when I was at this same spot...\Make it quick.\Prepare a passport and traveler's checks.\Looking back now...\But why the locked room?\No attempt was made to make it look like a suicide.\There's no reason to bother setting it up in a locked room. response:	I can't just stand around and wait.
context: And then, when I was at this same spot...\Make it quick.\Prepare a passport and traveler's checks.\Looking back now...\But why the locked room?\No attempt was made to make it look like a suicide.\There's no reason to bother setting it up in a locked room.\I can't just stand around and wait. response:	Let's go take another close look at Keiichi-san's room.
context: Make it quick.\Prepare a passport and traveler's checks.\Looking back now...\But why the locked room?\No attempt was made to make it look like a suicide.\There's no reason to bother setting it up in a locked room.\I can't just stand around and wait.\Let's go take another close look at Keiichi-san's room. response:	I contacted the police...
context: Prepare a passport and traveler's checks.\Looking back now...\But why the locked room?\No attempt was made to make it look like a suicide.\There's no reason to bother setting it up in a locked room.\I can't just stand around and wait.\Let's go take another close look at Keiichi-san's room.\I contacted the police... response:	When will the police be here?
context: Looking back now...\But why the locked room?\No attempt was made to make it look like a suicide.\There's no reason to bother setting it up in a locked room.\I can't just stand around and wait.\Let's go take another close look at Keiichi-san's room.\I contacted the police...\When will the police be here? response:	According to the forecast...
context: But why the locked room?\No attempt was made to make it look like a suicide.\There's no reason to bother setting it up in a locked room.\I can't just stand around and wait.\Let's go take another close look at Keiichi-san's room.\I contacted the police...\When will the police be here?\According to the forecast... response:	Was the door locked all night?
context: No attempt was made to make it look like a suicide.\There's no reason to bother setting it up in a locked room.\I can't just stand around and wait.\Let's go take another close look at Keiichi-san's room.\I contacted the police...\When will the police be here?\According to the forecast...\Was the door locked all night? response:	I do not know.
context: There's no reason to bother setting it up in a locked room.\I can't just stand around and wait.\Let's go take another close look at Keiichi-san's room.\I contacted the police...\When will the police be here?\According to the forecast...\Was the door locked all night?\I do not know. response:	I only tried knocking on the door.
context: I can't just stand around and wait.\Let's go take another close look at Keiichi-san's room.\I contacted the police...\When will the police be here?\According to the forecast...\Was the door locked all night?\I do not know.\I only tried knocking on the door. response:	That's it?
context: Let's go take another close look at Keiichi-san's room.\I contacted the police...\When will the police be here?\According to the forecast...\Was the door locked all night?\I do not know.\I only tried knocking on the door.\That's it? response:	Keiichi-san has documents pertaining to his work in his room...
context: I contacted the police...\When will the police be here?\According to the forecast...\Was the door locked all night?\I do not know.\I only tried knocking on the door.\That's it?\Keiichi-san has documents pertaining to his work in his room... response:	Did Keiichi-san and Yutaka-san not get along?
context: When will the police be here?\According to the forecast...\Was the door locked all night?\I do not know.\I only tried knocking on the door.\That's it?\Keiichi-san has documents pertaining to his work in his room...\Did Keiichi-san and Yutaka-san not get along? response:	I do not know that either.
context: According to the forecast...\Was the door locked all night?\I do not know.\I only tried knocking on the door.\That's it?\Keiichi-san has documents pertaining to his work in his room...\Did Keiichi-san and Yutaka-san not get along?\I do not know that either. response:	The reason being that...
context: Was the door locked all night?\I do not know.\I only tried knocking on the door.\That's it?\Keiichi-san has documents pertaining to his work in his room...\Did Keiichi-san and Yutaka-san not get along?\I do not know that either.\The reason being that... response:	One week?
context: I do not know.\I only tried knocking on the door.\That's it?\Keiichi-san has documents pertaining to his work in his room...\Did Keiichi-san and Yutaka-san not get along?\I do not know that either.\The reason being that...\One week? response:	We are part-timers.
context: I only tried knocking on the door.\That's it?\Keiichi-san has documents pertaining to his work in his room...\Did Keiichi-san and Yutaka-san not get along?\I do not know that either.\The reason being that...\One week?\We are part-timers. response:	Temporarily hired butler and maid.
context: That's it?\Keiichi-san has documents pertaining to his work in his room...\Did Keiichi-san and Yutaka-san not get along?\I do not know that either.\The reason being that...\One week?\We are part-timers.\Temporarily hired butler and maid. response:	Our contract was brief, a mere two weeks of this summer.
context: Keiichi-san has documents pertaining to his work in his room...\Did Keiichi-san and Yutaka-san not get along?\I do not know that either.\The reason being that...\One week?\We are part-timers.\Temporarily hired butler and maid.\Our contract was brief, a mere two weeks of this summer. response:	So it was just for this villa?
context: Did Keiichi-san and Yutaka-san not get along?\I do not know that either.\The reason being that...\One week?\We are part-timers.\Temporarily hired butler and maid.\Our contract was brief, a mere two weeks of this summer.\So it was just for this villa? response:	You weren't previously employed by Keiichi-san?
context: I do not know that either.\The reason being that...\One week?\We are part-timers.\Temporarily hired butler and maid.\Our contract was brief, a mere two weeks of this summer.\So it was just for this villa?\You weren't previously employed by Keiichi-san? response:	That would be correct.
context: The reason being that...\One week?\We are part-timers.\Temporarily hired butler and maid.\Our contract was brief, a mere two weeks of this summer.\So it was just for this villa?\You weren't previously employed by Keiichi-san?\That would be correct. response:	As far as the brothers are concerned...
context: One week?\We are part-timers.\Temporarily hired butler and maid.\Our contract was brief, a mere two weeks of this summer.\So it was just for this villa?\You weren't previously employed by Keiichi-san?\That would be correct.\As far as the brothers are concerned... response:	Something isn't right here.
context: We are part-timers.\Temporarily hired butler and maid.\Our contract was brief, a mere two weeks of this summer.\So it was just for this villa?\You weren't previously employed by Keiichi-san?\That would be correct.\As far as the brothers are concerned...\Something isn't right here. response:	What is this strange feeling...
context: Temporarily hired butler and maid.\Our contract was brief, a mere two weeks of this summer.\So it was just for this villa?\You weren't previously employed by Keiichi-san?\That would be correct.\As far as the brothers are concerned...\Something isn't right here.\What is this strange feeling... response:	Oh?
context: Our contract was brief, a mere two weeks of this summer.\So it was just for this villa?\You weren't previously employed by Keiichi-san?\That would be correct.\As far as the brothers are concerned...\Something isn't right here.\What is this strange feeling...\Oh? response:	Koizumi-kun!
context: So it was just for this villa?\You weren't previously employed by Keiichi-san?\That would be correct.\As far as the brothers are concerned...\Something isn't right here.\What is this strange feeling...\Oh?\Koizumi-kun! response:	What were you doing?
context: You weren't previously employed by Keiichi-san?\That would be correct.\As far as the brothers are concerned...\Something isn't right here.\What is this strange feeling...\Oh?\Koizumi-kun!\What were you doing? response:	I was patrolling the mansion.
context: That would be correct.\As far as the brothers are concerned...\Something isn't right here.\What is this strange feeling...\Oh?\Koizumi-kun!\What were you doing?\I was patrolling the mansion. response:	Yutaka-san is nowhere to be found.
context: As far as the brothers are concerned...\Something isn't right here.\What is this strange feeling...\Oh?\Koizumi-kun!\What were you doing?\I was patrolling the mansion.\Yutaka-san is nowhere to be found. response:	And you two?
context: Something isn't right here.\What is this strange feeling...\Oh?\Koizumi-kun!\What were you doing?\I was patrolling the mansion.\Yutaka-san is nowhere to be found.\And you two? response:	We're going out to check if the boat's there.
context: What is this strange feeling...\Oh?\Koizumi-kun!\What were you doing?\I was patrolling the mansion.\Yutaka-san is nowhere to be found.\And you two?\We're going out to check if the boat's there. response:	I don't believe that the boat is there.
context: Oh?\Koizumi-kun!\What were you doing?\I was patrolling the mansion.\Yutaka-san is nowhere to be found.\And you two?\We're going out to check if the boat's there.\I don't believe that the boat is there. response:	Why?
context: Koizumi-kun!\What were you doing?\I was patrolling the mansion.\Yutaka-san is nowhere to be found.\And you two?\We're going out to check if the boat's there.\I don't believe that the boat is there.\Why? response:	It was last night.
context: What were you doing?\I was patrolling the mansion.\Yutaka-san is nowhere to be found.\And you two?\We're going out to check if the boat's there.\I don't believe that the boat is there.\Why?\It was last night. response:	Yutaka-sama appeared to be in a hurry...
context: I was patrolling the mansion.\Yutaka-san is nowhere to be found.\And you two?\We're going out to check if the boat's there.\I don't believe that the boat is there.\Why?\It was last night.\Yutaka-sama appeared to be in a hurry... response:	So you're saying that Yutaka-san took the boat and left the island?
context: Yutaka-san is nowhere to be found.\And you two?\We're going out to check if the boat's there.\I don't believe that the boat is there.\Why?\It was last night.\Yutaka-sama appeared to be in a hurry...\So you're saying that Yutaka-san took the boat and left the island? response:	I cannot be absolutely certain.
context: And you two?\We're going out to check if the boat's there.\I don't believe that the boat is there.\Why?\It was last night.\Yutaka-sama appeared to be in a hurry...\So you're saying that Yutaka-san took the boat and left the island?\I cannot be absolutely certain. response:	But that was the last time I saw Yutaka-sama.
context: We're going out to check if the boat's there.\I don't believe that the boat is there.\Why?\It was last night.\Yutaka-sama appeared to be in a hurry...\So you're saying that Yutaka-san took the boat and left the island?\I cannot be absolutely certain.\But that was the last time I saw Yutaka-sama. response:	What time was it?
context: I don't believe that the boat is there.\Why?\It was last night.\Yutaka-sama appeared to be in a hurry...\So you're saying that Yutaka-san took the boat and left the island?\I cannot be absolutely certain.\But that was the last time I saw Yutaka-sama.\What time was it? response:	I believe it was around 1 a.m.
context: Why?\It was last night.\Yutaka-sama appeared to be in a hurry...\So you're saying that Yutaka-san took the boat and left the island?\I cannot be absolutely certain.\But that was the last time I saw Yutaka-sama.\What time was it?\I believe it was around 1 a.m. response:	One slip and I'll be falling to the bottom of the cliff.
context: It was last night.\Yutaka-sama appeared to be in a hurry...\So you're saying that Yutaka-san took the boat and left the island?\I cannot be absolutely certain.\But that was the last time I saw Yutaka-sama.\What time was it?\I believe it was around 1 a.m.\One slip and I'll be falling to the bottom of the cliff. response:	Oh, well.
context: Yutaka-sama appeared to be in a hurry...\So you're saying that Yutaka-san took the boat and left the island?\I cannot be absolutely certain.\But that was the last time I saw Yutaka-sama.\What time was it?\I believe it was around 1 a.m.\One slip and I'll be falling to the bottom of the cliff.\Oh, well. response:	If I'm with her when I fall...
context: So you're saying that Yutaka-san took the boat and left the island?\I cannot be absolutely certain.\But that was the last time I saw Yutaka-sama.\What time was it?\I believe it was around 1 a.m.\One slip and I'll be falling to the bottom of the cliff.\Oh, well.\If I'm with her when I fall... response:	Look, Kyon!
context: I cannot be absolutely certain.\But that was the last time I saw Yutaka-sama.\What time was it?\I believe it was around 1 a.m.\One slip and I'll be falling to the bottom of the cliff.\Oh, well.\If I'm with her when I fall...\Look, Kyon! response:	The cruiser's gone.
context: But that was the last time I saw Yutaka-sama.\What time was it?\I believe it was around 1 a.m.\One slip and I'll be falling to the bottom of the cliff.\Oh, well.\If I'm with her when I fall...\Look, Kyon!\The cruiser's gone. response:	Was it really Yutaka-san?
context: What time was it?\I believe it was around 1 a.m.\One slip and I'll be falling to the bottom of the cliff.\Oh, well.\If I'm with her when I fall...\Look, Kyon!\The cruiser's gone.\Was it really Yutaka-san? response:	Gray sky.
context: I believe it was around 1 a.m.\One slip and I'll be falling to the bottom of the cliff.\Oh, well.\If I'm with her when I fall...\Look, Kyon!\The cruiser's gone.\Was it really Yutaka-san?\Gray sky. response:	Black sea.
context: One slip and I'll be falling to the bottom of the cliff.\Oh, well.\If I'm with her when I fall...\Look, Kyon!\The cruiser's gone.\Was it really Yutaka-san?\Gray sky.\Black sea. response:	It reminds me of being in closed space.
context: Oh, well.\If I'm with her when I fall...\Look, Kyon!\The cruiser's gone.\Was it really Yutaka-san?\Gray sky.\Black sea.\It reminds me of being in closed space. response:	Guess I'm just not fond of...
context: If I'm with her when I fall...\Look, Kyon!\The cruiser's gone.\Was it really Yutaka-san?\Gray sky.\Black sea.\It reminds me of being in closed space.\Guess I'm just not fond of... response:	Kyon!
context: Look, Kyon!\The cruiser's gone.\Was it really Yutaka-san?\Gray sky.\Black sea.\It reminds me of being in closed space.\Guess I'm just not fond of...\Kyon! response:	Someone's there!
context: The cruiser's gone.\Was it really Yutaka-san?\Gray sky.\Black sea.\It reminds me of being in closed space.\Guess I'm just not fond of...\Kyon!\Someone's there! response:	Look! Over there!
context: Was it really Yutaka-san?\Gray sky.\Black sea.\It reminds me of being in closed space.\Guess I'm just not fond of...\Kyon!\Someone's there!\Look! Over there! response:	Beyond the rocks!
context: Gray sky.\Black sea.\It reminds me of being in closed space.\Guess I'm just not fond of...\Kyon!\Someone's there!\Look! Over there!\Beyond the rocks! response:	Did somebody else come outside?
context: Black sea.\It reminds me of being in closed space.\Guess I'm just not fond of...\Kyon!\Someone's there!\Look! Over there!\Beyond the rocks!\Did somebody else come outside? response:	Or could it be...
context: It reminds me of being in closed space.\Guess I'm just not fond of...\Kyon!\Someone's there!\Look! Over there!\Beyond the rocks!\Did somebody else come outside?\Or could it be... response:	Hey! Wait, Haruhi!
context: Guess I'm just not fond of...\Kyon!\Someone's there!\Look! Over there!\Beyond the rocks!\Did somebody else come outside?\Or could it be...\Hey! Wait, Haruhi! response:	Hey.
context: Kyon!\Someone's there!\Look! Over there!\Beyond the rocks!\Did somebody else come outside?\Or could it be...\Hey! Wait, Haruhi!\Hey. response:	Are you sure it went this way?
context: Someone's there!\Look! Over there!\Beyond the rocks!\Did somebody else come outside?\Or could it be...\Hey! Wait, Haruhi!\Hey.\Are you sure it went this way? response:	But there's no other path!
context: Look! Over there!\Beyond the rocks!\Did somebody else come outside?\Or could it be...\Hey! Wait, Haruhi!\Hey.\Are you sure it went this way?\But there's no other path! response:	Haruhi!
context: Beyond the rocks!\Did somebody else come outside?\Or could it be...\Hey! Wait, Haruhi!\Hey.\Are you sure it went this way?\But there's no other path!\Haruhi! response:	Kyon.
context: Did somebody else come outside?\Or could it be...\Hey! Wait, Haruhi!\Hey.\Are you sure it went this way?\But there's no other path!\Haruhi!\Kyon. response:	Kyon!
context: Or could it be...\Hey! Wait, Haruhi!\Hey.\Are you sure it went this way?\But there's no other path!\Haruhi!\Kyon.\Kyon! response:	Kyon!
context: Hey! Wait, Haruhi!\Hey.\Are you sure it went this way?\But there's no other path!\Haruhi!\Kyon.\Kyon!\Kyon! response:	Kyon, are you okay?
context: Hey.\Are you sure it went this way?\But there's no other path!\Haruhi!\Kyon.\Kyon!\Kyon!\Kyon, are you okay? response:	Are you alive?
context: Are you sure it went this way?\But there's no other path!\Haruhi!\Kyon.\Kyon!\Kyon!\Kyon, are you okay?\Are you alive? response:	Probably.
context: But there's no other path!\Haruhi!\Kyon.\Kyon!\Kyon!\Kyon, are you okay?\Are you alive?\Probably. response:	We're in a fine mess now.
context: Haruhi!\Kyon.\Kyon!\Kyon!\Kyon, are you okay?\Are you alive?\Probably.\We're in a fine mess now. response:	Doesn't look like we can go back the way we came.
context: Kyon.\Kyon!\Kyon!\Kyon, are you okay?\Are you alive?\Probably.\We're in a fine mess now.\Doesn't look like we can go back the way we came. response:	Hey.
context: Kyon!\Kyon!\Kyon, are you okay?\Are you alive?\Probably.\We're in a fine mess now.\Doesn't look like we can go back the way we came.\Hey. response:	Over there.
context: Kyon!\Kyon, are you okay?\Are you alive?\Probably.\We're in a fine mess now.\Doesn't look like we can go back the way we came.\Hey.\Over there. response:	Fortunately...
context: Kyon, are you okay?\Are you alive?\Probably.\We're in a fine mess now.\Doesn't look like we can go back the way we came.\Hey.\Over there.\Fortunately... response:	Was it heat from the Earth...
context: Are you alive?\Probably.\We're in a fine mess now.\Doesn't look like we can go back the way we came.\Hey.\Over there.\Fortunately...\Was it heat from the Earth... response:	I wonder what that shadow was.
context: Probably.\We're in a fine mess now.\Doesn't look like we can go back the way we came.\Hey.\Over there.\Fortunately...\Was it heat from the Earth...\I wonder what that shadow was. response:	Are you sure it was alive?
context: We're in a fine mess now.\Doesn't look like we can go back the way we came.\Hey.\Over there.\Fortunately...\Was it heat from the Earth...\I wonder what that shadow was.\Are you sure it was alive? response:	You weren't just seeing things?
context: Doesn't look like we can go back the way we came.\Hey.\Over there.\Fortunately...\Was it heat from the Earth...\I wonder what that shadow was.\Are you sure it was alive?\You weren't just seeing things? response:	That's impossible...
context: Hey.\Over there.\Fortunately...\Was it heat from the Earth...\I wonder what that shadow was.\Are you sure it was alive?\You weren't just seeing things?\That's impossible... response:	Say, Kyon.
context: Over there.\Fortunately...\Was it heat from the Earth...\I wonder what that shadow was.\Are you sure it was alive?\You weren't just seeing things?\That's impossible...\Say, Kyon. response:	Do you really think Yutaka-san killed Keiichi-san?
context: Fortunately...\Was it heat from the Earth...\I wonder what that shadow was.\Are you sure it was alive?\You weren't just seeing things?\That's impossible...\Say, Kyon.\Do you really think Yutaka-san killed Keiichi-san? response:	What do you mean?
context: Was it heat from the Earth...\I wonder what that shadow was.\Are you sure it was alive?\You weren't just seeing things?\That's impossible...\Say, Kyon.\Do you really think Yutaka-san killed Keiichi-san?\What do you mean? response:	I've been doing some thinking.
context: I wonder what that shadow was.\Are you sure it was alive?\You weren't just seeing things?\That's impossible...\Say, Kyon.\Do you really think Yutaka-san killed Keiichi-san?\What do you mean?\I've been doing some thinking. response:	Based on Mori-san's testimony...
context: Are you sure it was alive?\You weren't just seeing things?\That's impossible...\Say, Kyon.\Do you really think Yutaka-san killed Keiichi-san?\What do you mean?\I've been doing some thinking.\Based on Mori-san's testimony... response:	But you see.
context: You weren't just seeing things?\That's impossible...\Say, Kyon.\Do you really think Yutaka-san killed Keiichi-san?\What do you mean?\I've been doing some thinking.\Based on Mori-san's testimony...\But you see. response:	When I touched Keiichi-san earlier...
