context: Blooming Wildflower response:	Bakery Cowbell
context: Then promise me something.\Promise you'll make your big sister happy.\Summer's sun clouded over, the wind streamed by\The two overlapped\Shu!\Are you awake? I'm coming up!\Morning, Shu! Did you sleep well?\Here. response:	Breakfast. It's a sandwich, is that okay?
context: Promise you'll make your big sister happy.\Summer's sun clouded over, the wind streamed by\The two overlapped\Shu!\Are you awake? I'm coming up!\Morning, Shu! Did you sleep well?\Here.\Breakfast. It's a sandwich, is that okay? response:	You know, you surprised me yesterday
context: Summer's sun clouded over, the wind streamed by\The two overlapped\Shu!\Are you awake? I'm coming up!\Morning, Shu! Did you sleep well?\Here.\Breakfast. It's a sandwich, is that okay?\You know, you surprised me yesterday response:	when you messaged me out of nowhere asking for help.
context: The two overlapped\Shu!\Are you awake? I'm coming up!\Morning, Shu! Did you sleep well?\Here.\Breakfast. It's a sandwich, is that okay?\You know, you surprised me yesterday\when you messaged me out of nowhere asking for help. response:	You're not going to tell me anything?
context: Shu!\Are you awake? I'm coming up!\Morning, Shu! Did you sleep well?\Here.\Breakfast. It's a sandwich, is that okay?\You know, you surprised me yesterday\when you messaged me out of nowhere asking for help.\You're not going to tell me anything? response:	Why don't you want to go home?
context: Are you awake? I'm coming up!\Morning, Shu! Did you sleep well?\Here.\Breakfast. It's a sandwich, is that okay?\You know, you surprised me yesterday\when you messaged me out of nowhere asking for help.\You're not going to tell me anything?\Why don't you want to go home? response:	Well, you can tell me when you feel like it.
context: Morning, Shu! Did you sleep well?\Here.\Breakfast. It's a sandwich, is that okay?\You know, you surprised me yesterday\when you messaged me out of nowhere asking for help.\You're not going to tell me anything?\Why don't you want to go home?\Well, you can tell me when you feel like it. response:	You're not going to answer?
context: Here.\Breakfast. It's a sandwich, is that okay?\You know, you surprised me yesterday\when you messaged me out of nowhere asking for help.\You're not going to tell me anything?\Why don't you want to go home?\Well, you can tell me when you feel like it.\You're not going to answer? response:	I see.
context: Breakfast. It's a sandwich, is that okay?\You know, you surprised me yesterday\when you messaged me out of nowhere asking for help.\You're not going to tell me anything?\Why don't you want to go home?\Well, you can tell me when you feel like it.\You're not going to answer?\I see. response:	No, let him be for now.
context: You know, you surprised me yesterday\when you messaged me out of nowhere asking for help.\You're not going to tell me anything?\Why don't you want to go home?\Well, you can tell me when you feel like it.\You're not going to answer?\I see.\No, let him be for now. response:	That Shu...
context: when you messaged me out of nowhere asking for help.\You're not going to tell me anything?\Why don't you want to go home?\Well, you can tell me when you feel like it.\You're not going to answer?\I see.\No, let him be for now.\That Shu... response:	I apologize for the wait.
context: You're not going to tell me anything?\Why don't you want to go home?\Well, you can tell me when you feel like it.\You're not going to answer?\I see.\No, let him be for now.\That Shu...\I apologize for the wait. response:	It's been a while, hasn't it,
context: Why don't you want to go home?\Well, you can tell me when you feel like it.\You're not going to answer?\I see.\No, let him be for now.\That Shu...\I apologize for the wait.\It's been a while, hasn't it, response:	Mr. Tsutsugami?
context: Well, you can tell me when you feel like it.\You're not going to answer?\I see.\No, let him be for now.\That Shu...\I apologize for the wait.\It's been a while, hasn't it,\Mr. Tsutsugami? response:	Gai.
context: You're not going to answer?\I see.\No, let him be for now.\That Shu...\I apologize for the wait.\It's been a while, hasn't it,\Mr. Tsutsugami?\Gai. response:	That's what my comrades call me.
context: I see.\No, let him be for now.\That Shu...\I apologize for the wait.\It's been a while, hasn't it,\Mr. Tsutsugami?\Gai.\That's what my comrades call me. response:	This is a surprise. I certainly never thought you were his son.
context: No, let him be for now.\That Shu...\I apologize for the wait.\It's been a while, hasn't it,\Mr. Tsutsugami?\Gai.\That's what my comrades call me.\This is a surprise. I certainly never thought you were his son. response:	His?
context: That Shu...\I apologize for the wait.\It's been a while, hasn't it,\Mr. Tsutsugami?\Gai.\That's what my comrades call me.\This is a surprise. I certainly never thought you were his son.\His? response:	Which means I have to ask you...
context: I apologize for the wait.\It's been a while, hasn't it,\Mr. Tsutsugami?\Gai.\That's what my comrades call me.\This is a surprise. I certainly never thought you were his son.\His?\Which means I have to ask you... response:	Tsutsugami Gai, why do you fight? What is it for?
context: It's been a while, hasn't it,\Mr. Tsutsugami?\Gai.\That's what my comrades call me.\This is a surprise. I certainly never thought you were his son.\His?\Which means I have to ask you...\Tsutsugami Gai, why do you fight? What is it for? response:	It's for a woman.
context: Mr. Tsutsugami?\Gai.\That's what my comrades call me.\This is a surprise. I certainly never thought you were his son.\His?\Which means I have to ask you...\Tsutsugami Gai, why do you fight? What is it for?\It's for a woman. response:	There's one special woman out there that I want to hold in my arms.
context: Gai.\That's what my comrades call me.\This is a surprise. I certainly never thought you were his son.\His?\Which means I have to ask you...\Tsutsugami Gai, why do you fight? What is it for?\It's for a woman.\There's one special woman out there that I want to hold in my arms. response:	That's why I'm fighting.
context: That's what my comrades call me.\This is a surprise. I certainly never thought you were his son.\His?\Which means I have to ask you...\Tsutsugami Gai, why do you fight? What is it for?\It's for a woman.\There's one special woman out there that I want to hold in my arms.\That's why I'm fighting. response:	Saving Japan is a side project to getting your woman, eh?
context: This is a surprise. I certainly never thought you were his son.\His?\Which means I have to ask you...\Tsutsugami Gai, why do you fight? What is it for?\It's for a woman.\There's one special woman out there that I want to hold in my arms.\That's why I'm fighting.\Saving Japan is a side project to getting your woman, eh? response:	Now that's funny!
context: His?\Which means I have to ask you...\Tsutsugami Gai, why do you fight? What is it for?\It's for a woman.\There's one special woman out there that I want to hold in my arms.\That's why I'm fighting.\Saving Japan is a side project to getting your woman, eh?\Now that's funny! response:	The rock we discussed will be brought to Haneda the day after tomorrow.
context: Which means I have to ask you...\Tsutsugami Gai, why do you fight? What is it for?\It's for a woman.\There's one special woman out there that I want to hold in my arms.\That's why I'm fighting.\Saving Japan is a side project to getting your woman, eh?\Now that's funny!\The rock we discussed will be brought to Haneda the day after tomorrow. response:	It seems Yan is trying to transport it overseas.
context: Tsutsugami Gai, why do you fight? What is it for?\It's for a woman.\There's one special woman out there that I want to hold in my arms.\That's why I'm fighting.\Saving Japan is a side project to getting your woman, eh?\Now that's funny!\The rock we discussed will be brought to Haneda the day after tomorrow.\It seems Yan is trying to transport it overseas. response:	It's something that should remain in the grasp of the Japanese.
context: It's for a woman.\There's one special woman out there that I want to hold in my arms.\That's why I'm fighting.\Saving Japan is a side project to getting your woman, eh?\Now that's funny!\The rock we discussed will be brought to Haneda the day after tomorrow.\It seems Yan is trying to transport it overseas.\It's something that should remain in the grasp of the Japanese. response:	Don't you think so?
context: There's one special woman out there that I want to hold in my arms.\That's why I'm fighting.\Saving Japan is a side project to getting your woman, eh?\Now that's funny!\The rock we discussed will be brought to Haneda the day after tomorrow.\It seems Yan is trying to transport it overseas.\It's something that should remain in the grasp of the Japanese.\Don't you think so? response:	Yes. We'll use all our strength to stop them.
context: That's why I'm fighting.\Saving Japan is a side project to getting your woman, eh?\Now that's funny!\The rock we discussed will be brought to Haneda the day after tomorrow.\It seems Yan is trying to transport it overseas.\It's something that should remain in the grasp of the Japanese.\Don't you think so?\Yes. We'll use all our strength to stop them. response:	Who would have thought this rock, the object of every nation's desire,
context: Saving Japan is a side project to getting your woman, eh?\Now that's funny!\The rock we discussed will be brought to Haneda the day after tomorrow.\It seems Yan is trying to transport it overseas.\It's something that should remain in the grasp of the Japanese.\Don't you think so?\Yes. We'll use all our strength to stop them.\Who would have thought this rock, the object of every nation's desire, response:	would fall into my hands like this...
context: Now that's funny!\The rock we discussed will be brought to Haneda the day after tomorrow.\It seems Yan is trying to transport it overseas.\It's something that should remain in the grasp of the Japanese.\Don't you think so?\Yes. We'll use all our strength to stop them.\Who would have thought this rock, the object of every nation's desire,\would fall into my hands like this... response:	This will take you another step closer to the White House.
context: The rock we discussed will be brought to Haneda the day after tomorrow.\It seems Yan is trying to transport it overseas.\It's something that should remain in the grasp of the Japanese.\Don't you think so?\Yes. We'll use all our strength to stop them.\Who would have thought this rock, the object of every nation's desire,\would fall into my hands like this...\This will take you another step closer to the White House. response:	You're an ambitious woman, Emily.
context: It seems Yan is trying to transport it overseas.\It's something that should remain in the grasp of the Japanese.\Don't you think so?\Yes. We'll use all our strength to stop them.\Who would have thought this rock, the object of every nation's desire,\would fall into my hands like this...\This will take you another step closer to the White House.\You're an ambitious woman, Emily. response:	I suppose the unknown is Keido.
context: It's something that should remain in the grasp of the Japanese.\Don't you think so?\Yes. We'll use all our strength to stop them.\Who would have thought this rock, the object of every nation's desire,\would fall into my hands like this...\This will take you another step closer to the White House.\You're an ambitious woman, Emily.\I suppose the unknown is Keido. response:	He steals this, and then instead of running he waltzes right back here?
context: Don't you think so?\Yes. We'll use all our strength to stop them.\Who would have thought this rock, the object of every nation's desire,\would fall into my hands like this...\This will take you another step closer to the White House.\You're an ambitious woman, Emily.\I suppose the unknown is Keido.\He steals this, and then instead of running he waltzes right back here? response:	I'm so glad you feel like coming back to school, Shu!
context: Yes. We'll use all our strength to stop them.\Who would have thought this rock, the object of every nation's desire,\would fall into my hands like this...\This will take you another step closer to the White House.\You're an ambitious woman, Emily.\I suppose the unknown is Keido.\He steals this, and then instead of running he waltzes right back here?\I'm so glad you feel like coming back to school, Shu! response:	I mean, it's really not good for you to hole up in that place forever.
context: Who would have thought this rock, the object of every nation's desire,\would fall into my hands like this...\This will take you another step closer to the White House.\You're an ambitious woman, Emily.\I suppose the unknown is Keido.\He steals this, and then instead of running he waltzes right back here?\I'm so glad you feel like coming back to school, Shu!\I mean, it's really not good for you to hole up in that place forever. response:	Right?
context: would fall into my hands like this...\This will take you another step closer to the White House.\You're an ambitious woman, Emily.\I suppose the unknown is Keido.\He steals this, and then instead of running he waltzes right back here?\I'm so glad you feel like coming back to school, Shu!\I mean, it's really not good for you to hole up in that place forever.\Right? response:	Right.
context: This will take you another step closer to the White House.\You're an ambitious woman, Emily.\I suppose the unknown is Keido.\He steals this, and then instead of running he waltzes right back here?\I'm so glad you feel like coming back to school, Shu!\I mean, it's really not good for you to hole up in that place forever.\Right?\Right. response:	Inori's... out today, right?
context: You're an ambitious woman, Emily.\I suppose the unknown is Keido.\He steals this, and then instead of running he waltzes right back here?\I'm so glad you feel like coming back to school, Shu!\I mean, it's really not good for you to hole up in that place forever.\Right?\Right.\Inori's... out today, right? response:	Yo!
context: I suppose the unknown is Keido.\He steals this, and then instead of running he waltzes right back here?\I'm so glad you feel like coming back to school, Shu!\I mean, it's really not good for you to hole up in that place forever.\Right?\Right.\Inori's... out today, right?\Yo! response:	Shu, so you're here!
context: He steals this, and then instead of running he waltzes right back here?\I'm so glad you feel like coming back to school, Shu!\I mean, it's really not good for you to hole up in that place forever.\Right?\Right.\Inori's... out today, right?\Yo!\Shu, so you're here! response:	Where've you been, man?
context: I'm so glad you feel like coming back to school, Shu!\I mean, it's really not good for you to hole up in that place forever.\Right?\Right.\Inori's... out today, right?\Yo!\Shu, so you're here!\Where've you been, man? response:	Um...
context: I mean, it's really not good for you to hole up in that place forever.\Right?\Right.\Inori's... out today, right?\Yo!\Shu, so you're here!\Where've you been, man?\Um... response:	Sorry! Are you okay?!
context: Right?\Right.\Inori's... out today, right?\Yo!\Shu, so you're here!\Where've you been, man?\Um...\Sorry! Are you okay?! response:	Um, sure, sorry...
context: Right.\Inori's... out today, right?\Yo!\Shu, so you're here!\Where've you been, man?\Um...\Sorry! Are you okay?!\Um, sure, sorry... response:	Shu?!
context: Inori's... out today, right?\Yo!\Shu, so you're here!\Where've you been, man?\Um...\Sorry! Are you okay?!\Um, sure, sorry...\Shu?! response:	What's wrong? Are you okay?!
context: Yo!\Shu, so you're here!\Where've you been, man?\Um...\Sorry! Are you okay?!\Um, sure, sorry...\Shu?!\What's wrong? Are you okay?! response:	I'll go get you some water.
context: Shu, so you're here!\Where've you been, man?\Um...\Sorry! Are you okay?!\Um, sure, sorry...\Shu?!\What's wrong? Are you okay?!\I'll go get you some water. response:	Wait here.
context: Where've you been, man?\Um...\Sorry! Are you okay?!\Um, sure, sorry...\Shu?!\What's wrong? Are you okay?!\I'll go get you some water.\Wait here. response:	What's the matter with you?
context: Um...\Sorry! Are you okay?!\Um, sure, sorry...\Shu?!\What's wrong? Are you okay?!\I'll go get you some water.\Wait here.\What's the matter with you? response:	Ayase...
context: Sorry! Are you okay?!\Um, sure, sorry...\Shu?!\What's wrong? Are you okay?!\I'll go get you some water.\Wait here.\What's the matter with you?\Ayase... response:	I'm done. I want to quit.
context: Um, sure, sorry...\Shu?!\What's wrong? Are you okay?!\I'll go get you some water.\Wait here.\What's the matter with you?\Ayase...\I'm done. I want to quit. response:	Don't tell me you're ready to give up on everything
context: Shu?!\What's wrong? Are you okay?!\I'll go get you some water.\Wait here.\What's the matter with you?\Ayase...\I'm done. I want to quit.\Don't tell me you're ready to give up on everything response:	just because you couldn't save one kid with the cancer?
context: What's wrong? Are you okay?!\I'll go get you some water.\Wait here.\What's the matter with you?\Ayase...\I'm done. I want to quit.\Don't tell me you're ready to give up on everything\just because you couldn't save one kid with the cancer? response:	I thought I could do it.
context: I'll go get you some water.\Wait here.\What's the matter with you?\Ayase...\I'm done. I want to quit.\Don't tell me you're ready to give up on everything\just because you couldn't save one kid with the cancer?\I thought I could do it. response:	I've changed. So I thought I could be like Gai.
context: Wait here.\What's the matter with you?\Ayase...\I'm done. I want to quit.\Don't tell me you're ready to give up on everything\just because you couldn't save one kid with the cancer?\I thought I could do it.\I've changed. So I thought I could be like Gai. response:	But...
context: What's the matter with you?\Ayase...\I'm done. I want to quit.\Don't tell me you're ready to give up on everything\just because you couldn't save one kid with the cancer?\I thought I could do it.\I've changed. So I thought I could be like Gai.\But... response:	I'm just me.
context: Ayase...\I'm done. I want to quit.\Don't tell me you're ready to give up on everything\just because you couldn't save one kid with the cancer?\I thought I could do it.\I've changed. So I thought I could be like Gai.\But...\I'm just me. response:	I'm just Ouma Shu.
context: I'm done. I want to quit.\Don't tell me you're ready to give up on everything\just because you couldn't save one kid with the cancer?\I thought I could do it.\I've changed. So I thought I could be like Gai.\But...\I'm just me.\I'm just Ouma Shu. response:	I can't believe you're wallowing in self-pity!
context: Don't tell me you're ready to give up on everything\just because you couldn't save one kid with the cancer?\I thought I could do it.\I've changed. So I thought I could be like Gai.\But...\I'm just me.\I'm just Ouma Shu.\I can't believe you're wallowing in self-pity! response:	Wake up already, Shu!
context: just because you couldn't save one kid with the cancer?\I thought I could do it.\I've changed. So I thought I could be like Gai.\But...\I'm just me.\I'm just Ouma Shu.\I can't believe you're wallowing in self-pity!\Wake up already, Shu! response:	It's no use, Ayase.
context: I thought I could do it.\I've changed. So I thought I could be like Gai.\But...\I'm just me.\I'm just Ouma Shu.\I can't believe you're wallowing in self-pity!\Wake up already, Shu!\It's no use, Ayase. response:	Please, wait. Give me just a little more
context: I've changed. So I thought I could be like Gai.\But...\I'm just me.\I'm just Ouma Shu.\I can't believe you're wallowing in self-pity!\Wake up already, Shu!\It's no use, Ayase.\Please, wait. Give me just a little more response:	We know where the stolen rock that started it all is.
context: But...\I'm just me.\I'm just Ouma Shu.\I can't believe you're wallowing in self-pity!\Wake up already, Shu!\It's no use, Ayase.\Please, wait. Give me just a little more\We know where the stolen rock that started it all is. response:	We're running a recovery mission.
context: I'm just me.\I'm just Ouma Shu.\I can't believe you're wallowing in self-pity!\Wake up already, Shu!\It's no use, Ayase.\Please, wait. Give me just a little more\We know where the stolen rock that started it all is.\We're running a recovery mission. response:	Come on.
context: I'm just Ouma Shu.\I can't believe you're wallowing in self-pity!\Wake up already, Shu!\It's no use, Ayase.\Please, wait. Give me just a little more\We know where the stolen rock that started it all is.\We're running a recovery mission.\Come on. response:	It's got nothing to do with me!
context: I can't believe you're wallowing in self-pity!\Wake up already, Shu!\It's no use, Ayase.\Please, wait. Give me just a little more\We know where the stolen rock that started it all is.\We're running a recovery mission.\Come on.\It's got nothing to do with me! response:	Shu!
context: Wake up already, Shu!\It's no use, Ayase.\Please, wait. Give me just a little more\We know where the stolen rock that started it all is.\We're running a recovery mission.\Come on.\It's got nothing to do with me!\Shu! response:	I never wanted this stupid power in the first place!
context: It's no use, Ayase.\Please, wait. Give me just a little more\We know where the stolen rock that started it all is.\We're running a recovery mission.\Come on.\It's got nothing to do with me!\Shu!\I never wanted this stupid power in the first place! response:	I'm sick of it, do you hear me?
context: Please, wait. Give me just a little more\We know where the stolen rock that started it all is.\We're running a recovery mission.\Come on.\It's got nothing to do with me!\Shu!\I never wanted this stupid power in the first place!\I'm sick of it, do you hear me? response:	They say it's possible to isolate the Void Genome if its possessor dies.
context: We know where the stolen rock that started it all is.\We're running a recovery mission.\Come on.\It's got nothing to do with me!\Shu!\I never wanted this stupid power in the first place!\I'm sick of it, do you hear me?\They say it's possible to isolate the Void Genome if its possessor dies. response:	Want to test that?
context: We're running a recovery mission.\Come on.\It's got nothing to do with me!\Shu!\I never wanted this stupid power in the first place!\I'm sick of it, do you hear me?\They say it's possible to isolate the Void Genome if its possessor dies.\Want to test that? response:	You're a dead man now. Don't show your face in front of us again.
context: Come on.\It's got nothing to do with me!\Shu!\I never wanted this stupid power in the first place!\I'm sick of it, do you hear me?\They say it's possible to isolate the Void Genome if its possessor dies.\Want to test that?\You're a dead man now. Don't show your face in front of us again. response:	I'll have Inori pull out, too.
context: It's got nothing to do with me!\Shu!\I never wanted this stupid power in the first place!\I'm sick of it, do you hear me?\They say it's possible to isolate the Void Genome if its possessor dies.\Want to test that?\You're a dead man now. Don't show your face in front of us again.\I'll have Inori pull out, too. response:	Coward!
context: Shu!\I never wanted this stupid power in the first place!\I'm sick of it, do you hear me?\They say it's possible to isolate the Void Genome if its possessor dies.\Want to test that?\You're a dead man now. Don't show your face in front of us again.\I'll have Inori pull out, too.\Coward! response:	I was stupid to think for even a second that you were one of us!
context: I never wanted this stupid power in the first place!\I'm sick of it, do you hear me?\They say it's possible to isolate the Void Genome if its possessor dies.\Want to test that?\You're a dead man now. Don't show your face in front of us again.\I'll have Inori pull out, too.\Coward!\I was stupid to think for even a second that you were one of us! response:	You're still here, huh?
context: I'm sick of it, do you hear me?\They say it's possible to isolate the Void Genome if its possessor dies.\Want to test that?\You're a dead man now. Don't show your face in front of us again.\I'll have Inori pull out, too.\Coward!\I was stupid to think for even a second that you were one of us!\You're still here, huh? response:	U-Um, calls or texts or something... can we...
context: They say it's possible to isolate the Void Genome if its possessor dies.\Want to test that?\You're a dead man now. Don't show your face in front of us again.\I'll have Inori pull out, too.\Coward!\I was stupid to think for even a second that you were one of us!\You're still here, huh?\U-Um, calls or texts or something... can we... response:	Here.
context: Want to test that?\You're a dead man now. Don't show your face in front of us again.\I'll have Inori pull out, too.\Coward!\I was stupid to think for even a second that you were one of us!\You're still here, huh?\U-Um, calls or texts or something... can we...\Here. response:	This is a new song. I'd like you to listen to it, Shu.
context: You're a dead man now. Don't show your face in front of us again.\I'll have Inori pull out, too.\Coward!\I was stupid to think for even a second that you were one of us!\You're still here, huh?\U-Um, calls or texts or something... can we...\Here.\This is a new song. I'd like you to listen to it, Shu. response:	Shu.
context: I'll have Inori pull out, too.\Coward!\I was stupid to think for even a second that you were one of us!\You're still here, huh?\U-Um, calls or texts or something... can we...\Here.\This is a new song. I'd like you to listen to it, Shu.\Shu. response:	Shu.
context: Coward!\I was stupid to think for even a second that you were one of us!\You're still here, huh?\U-Um, calls or texts or something... can we...\Here.\This is a new song. I'd like you to listen to it, Shu.\Shu.\Shu. response:	Monster!
context: I was stupid to think for even a second that you were one of us!\You're still here, huh?\U-Um, calls or texts or something... can we...\Here.\This is a new song. I'd like you to listen to it, Shu.\Shu.\Shu.\Monster! response:	I'm sorry! I'm just sort of
context: You're still here, huh?\U-Um, calls or texts or something... can we...\Here.\This is a new song. I'd like you to listen to it, Shu.\Shu.\Shu.\Monster!\I'm sorry! I'm just sort of response:	It doesn't matter anymore.
context: U-Um, calls or texts or something... can we...\Here.\This is a new song. I'd like you to listen to it, Shu.\Shu.\Shu.\Monster!\I'm sorry! I'm just sort of\It doesn't matter anymore. response:	Goodbye, Shu.
context: Here.\This is a new song. I'd like you to listen to it, Shu.\Shu.\Shu.\Monster!\I'm sorry! I'm just sort of\It doesn't matter anymore.\Goodbye, Shu. response:	I think I must've wanted to be like Gai.
context: This is a new song. I'd like you to listen to it, Shu.\Shu.\Shu.\Monster!\I'm sorry! I'm just sort of\It doesn't matter anymore.\Goodbye, Shu.\I think I must've wanted to be like Gai. response:	But it was impossible.
context: Shu.\Shu.\Monster!\I'm sorry! I'm just sort of\It doesn't matter anymore.\Goodbye, Shu.\I think I must've wanted to be like Gai.\But it was impossible. response:	So it's better this way.
context: Shu.\Monster!\I'm sorry! I'm just sort of\It doesn't matter anymore.\Goodbye, Shu.\I think I must've wanted to be like Gai.\But it was impossible.\So it's better this way. response:	That's right. Everything's gone back to normal.
context: Monster!\I'm sorry! I'm just sort of\It doesn't matter anymore.\Goodbye, Shu.\I think I must've wanted to be like Gai.\But it was impossible.\So it's better this way.\That's right. Everything's gone back to normal. response:	It should be better this way, but...
context: I'm sorry! I'm just sort of\It doesn't matter anymore.\Goodbye, Shu.\I think I must've wanted to be like Gai.\But it was impossible.\So it's better this way.\That's right. Everything's gone back to normal.\It should be better this way, but... response:	It's too salty, Inori.
context: It doesn't matter anymore.\Goodbye, Shu.\I think I must've wanted to be like Gai.\But it was impossible.\So it's better this way.\That's right. Everything's gone back to normal.\It should be better this way, but...\It's too salty, Inori. response:	Major General Yan will be temporarily returning home on that craft with some top-secret materials.
context: Goodbye, Shu.\I think I must've wanted to be like Gai.\But it was impossible.\So it's better this way.\That's right. Everything's gone back to normal.\It should be better this way, but...\It's too salty, Inori.\Major General Yan will be temporarily returning home on that craft with some top-secret materials. response:	Our duty is to see him safely off!
context: I think I must've wanted to be like Gai.\But it was impossible.\So it's better this way.\That's right. Everything's gone back to normal.\It should be better this way, but...\It's too salty, Inori.\Major General Yan will be temporarily returning home on that craft with some top-secret materials.\Our duty is to see him safely off! response:	Let's do this thing! Right, men?
