context: Go out with you? response:	I don't really know.
context: Yeah, that's right.\How about handkerchiefs?\That's kinda boring.\Keychains?\Snacks for the boys.\Curly-kun.\Pick one.\Me? response:	What kind do boys like?
context: How about handkerchiefs?\That's kinda boring.\Keychains?\Snacks for the boys.\Curly-kun.\Pick one.\Me?\What kind do boys like? response:	Um...
context: That's kinda boring.\Keychains?\Snacks for the boys.\Curly-kun.\Pick one.\Me?\What kind do boys like?\Um... response:	I think the bigger one.
context: Keychains?\Snacks for the boys.\Curly-kun.\Pick one.\Me?\What kind do boys like?\Um...\I think the bigger one. response:	That's it!
context: Snacks for the boys.\Curly-kun.\Pick one.\Me?\What kind do boys like?\Um...\I think the bigger one.\That's it! response:	We're choosing gifts for our club.
context: Curly-kun.\Pick one.\Me?\What kind do boys like?\Um...\I think the bigger one.\That's it!\We're choosing gifts for our club. response:	Oh, really?
context: Pick one.\Me?\What kind do boys like?\Um...\I think the bigger one.\That's it!\We're choosing gifts for our club.\Oh, really? response:	Yeah. You know how guys eat a lot.
context: Me?\What kind do boys like?\Um...\I think the bigger one.\That's it!\We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot. response:	What do you like?
context: What kind do boys like?\Um...\I think the bigger one.\That's it!\We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot.\What do you like? response:	Me?
context: Um...\I think the bigger one.\That's it!\We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot.\What do you like?\Me? response:	Yeah. For reference.
context: I think the bigger one.\That's it!\We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot.\What do you like?\Me?\Yeah. For reference. response:	Anything.
context: That's it!\We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot.\What do you like?\Me?\Yeah. For reference.\Anything. response:	Really?
context: We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot.\What do you like?\Me?\Yeah. For reference.\Anything.\Really? response:	Guys like sweets, too.
context: Oh, really?\Yeah. You know how guys eat a lot.\What do you like?\Me?\Yeah. For reference.\Anything.\Really?\Guys like sweets, too. response:	Be done in ten minutes, please.
context: Yeah. You know how guys eat a lot.\What do you like?\Me?\Yeah. For reference.\Anything.\Really?\Guys like sweets, too.\Be done in ten minutes, please. response:	I wonder if they have open-air baths.
context: What do you like?\Me?\Yeah. For reference.\Anything.\Really?\Guys like sweets, too.\Be done in ten minutes, please.\I wonder if they have open-air baths. response:	The bath's tiny.
context: Me?\Yeah. For reference.\Anything.\Really?\Guys like sweets, too.\Be done in ten minutes, please.\I wonder if they have open-air baths.\The bath's tiny. response:	I'll just take a shower.
context: Yeah. For reference.\Anything.\Really?\Guys like sweets, too.\Be done in ten minutes, please.\I wonder if they have open-air baths.\The bath's tiny.\I'll just take a shower. response:	Oh my God, whose panties are these?
context: Anything.\Really?\Guys like sweets, too.\Be done in ten minutes, please.\I wonder if they have open-air baths.\The bath's tiny.\I'll just take a shower.\Oh my God, whose panties are these? response:	Is there a name on them?
context: Really?\Guys like sweets, too.\Be done in ten minutes, please.\I wonder if they have open-air baths.\The bath's tiny.\I'll just take a shower.\Oh my God, whose panties are these?\Is there a name on them? response:	Crap, I think I've gained weight.
context: Guys like sweets, too.\Be done in ten minutes, please.\I wonder if they have open-air baths.\The bath's tiny.\I'll just take a shower.\Oh my God, whose panties are these?\Is there a name on them?\Crap, I think I've gained weight. response:	Let's see.
context: Be done in ten minutes, please.\I wonder if they have open-air baths.\The bath's tiny.\I'll just take a shower.\Oh my God, whose panties are these?\Is there a name on them?\Crap, I think I've gained weight.\Let's see. response:	Don't look!
context: I wonder if they have open-air baths.\The bath's tiny.\I'll just take a shower.\Oh my God, whose panties are these?\Is there a name on them?\Crap, I think I've gained weight.\Let's see.\Don't look! response:	Mizuno-san
context: The bath's tiny.\I'll just take a shower.\Oh my God, whose panties are these?\Is there a name on them?\Crap, I think I've gained weight.\Let's see.\Don't look!\Mizuno-san response:	Why the shrine?
context: I'll just take a shower.\Oh my God, whose panties are these?\Is there a name on them?\Crap, I think I've gained weight.\Let's see.\Don't look!\Mizuno-san\Why the shrine? response:	Neighborhood association stuff
context: Oh my God, whose panties are these?\Is there a name on them?\Crap, I think I've gained weight.\Let's see.\Don't look!\Mizuno-san\Why the shrine?\Neighborhood association stuff response:	Pray for me lots! I want to beat my own record
context: Is there a name on them?\Crap, I think I've gained weight.\Let's see.\Don't look!\Mizuno-san\Why the shrine?\Neighborhood association stuff\Pray for me lots! I want to beat my own record response:	I've got you covered
context: Crap, I think I've gained weight.\Let's see.\Don't look!\Mizuno-san\Why the shrine?\Neighborhood association stuff\Pray for me lots! I want to beat my own record\I've got you covered response:	Thanks
context: Let's see.\Don't look!\Mizuno-san\Why the shrine?\Neighborhood association stuff\Pray for me lots! I want to beat my own record\I've got you covered\Thanks response:	Combo!
context: Don't look!\Mizuno-san\Why the shrine?\Neighborhood association stuff\Pray for me lots! I want to beat my own record\I've got you covered\Thanks\Combo! response:	Damn it, no way...
context: Mizuno-san\Why the shrine?\Neighborhood association stuff\Pray for me lots! I want to beat my own record\I've got you covered\Thanks\Combo!\Damn it, no way... response:	Combo, combo!
context: Why the shrine?\Neighborhood association stuff\Pray for me lots! I want to beat my own record\I've got you covered\Thanks\Combo!\Damn it, no way...\Combo, combo! response:	Four combo!
context: Neighborhood association stuff\Pray for me lots! I want to beat my own record\I've got you covered\Thanks\Combo!\Damn it, no way...\Combo, combo!\Four combo! response:	Seriously, stop, please! Sorry, wait!
context: Pray for me lots! I want to beat my own record\I've got you covered\Thanks\Combo!\Damn it, no way...\Combo, combo!\Four combo!\Seriously, stop, please! Sorry, wait! response:	Here comes a bunch of them.
context: I've got you covered\Thanks\Combo!\Damn it, no way...\Combo, combo!\Four combo!\Seriously, stop, please! Sorry, wait!\Here comes a bunch of them. response:	Crap, too many! What the heck?!
context: Thanks\Combo!\Damn it, no way...\Combo, combo!\Four combo!\Seriously, stop, please! Sorry, wait!\Here comes a bunch of them.\Crap, too many! What the heck?! response:	I'm winning.
context: Combo!\Damn it, no way...\Combo, combo!\Four combo!\Seriously, stop, please! Sorry, wait!\Here comes a bunch of them.\Crap, too many! What the heck?!\I'm winning. response:	I'm totally going to win.
context: Damn it, no way...\Combo, combo!\Four combo!\Seriously, stop, please! Sorry, wait!\Here comes a bunch of them.\Crap, too many! What the heck?!\I'm winning.\I'm totally going to win. response:	Shoot.
context: Combo, combo!\Four combo!\Seriously, stop, please! Sorry, wait!\Here comes a bunch of them.\Crap, too many! What the heck?!\I'm winning.\I'm totally going to win.\Shoot. response:	Oh, crap, here they come...
context: Four combo!\Seriously, stop, please! Sorry, wait!\Here comes a bunch of them.\Crap, too many! What the heck?!\I'm winning.\I'm totally going to win.\Shoot.\Oh, crap, here they come... response:	Damn it!
context: Seriously, stop, please! Sorry, wait!\Here comes a bunch of them.\Crap, too many! What the heck?!\I'm winning.\I'm totally going to win.\Shoot.\Oh, crap, here they come...\Damn it! response:	Is she gone?
context: Here comes a bunch of them.\Crap, too many! What the heck?!\I'm winning.\I'm totally going to win.\Shoot.\Oh, crap, here they come...\Damn it!\Is she gone? response:	She's gone.
context: Crap, too many! What the heck?!\I'm winning.\I'm totally going to win.\Shoot.\Oh, crap, here they come...\Damn it!\Is she gone?\She's gone. response:	Are we clear?
context: I'm winning.\I'm totally going to win.\Shoot.\Oh, crap, here they come...\Damn it!\Is she gone?\She's gone.\Are we clear? response:	Are you sure?
context: I'm totally going to win.\Shoot.\Oh, crap, here they come...\Damn it!\Is she gone?\She's gone.\Are we clear?\Are you sure? response:	Yeah.
context: Shoot.\Oh, crap, here they come...\Damn it!\Is she gone?\She's gone.\Are we clear?\Are you sure?\Yeah. response:	That's hilarious!
context: Oh, crap, here they come...\Damn it!\Is she gone?\She's gone.\Are we clear?\Are you sure?\Yeah.\That's hilarious! response:	It's not funny.
context: Damn it!\Is she gone?\She's gone.\Are we clear?\Are you sure?\Yeah.\That's hilarious!\It's not funny. response:	So, who's next?
context: Is she gone?\She's gone.\Are we clear?\Are you sure?\Yeah.\That's hilarious!\It's not funny.\So, who's next? response:	Akanecchi.
context: She's gone.\Are we clear?\Are you sure?\Yeah.\That's hilarious!\It's not funny.\So, who's next?\Akanecchi. response:	Me?
context: Are we clear?\Are you sure?\Yeah.\That's hilarious!\It's not funny.\So, who's next?\Akanecchi.\Me? response:	You have someone, don't you?
context: Are you sure?\Yeah.\That's hilarious!\It's not funny.\So, who's next?\Akanecchi.\Me?\You have someone, don't you? response:	If you're curious about someone, that counts, too.
context: Yeah.\That's hilarious!\It's not funny.\So, who's next?\Akanecchi.\Me?\You have someone, don't you?\If you're curious about someone, that counts, too. response:	There is someone I'm curious about.
context: That's hilarious!\It's not funny.\So, who's next?\Akanecchi.\Me?\You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about. response:	Who? Who? Who? Who? Who? Who?
context: It's not funny.\So, who's next?\Akanecchi.\Me?\You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who? response:	Hira?
context: So, who's next?\Akanecchi.\Me?\You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira? response:	Did he ask you out?
context: Akanecchi.\Me?\You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out? response:	Hira's cool.
context: Me?\You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out?\Hira's cool. response:	You should go out with him.
context: You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out?\Hira's cool.\You should go out with him. response:	Just like that?
context: If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out?\Hira's cool.\You should go out with him.\Just like that? response:	No, I...
context: There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out?\Hira's cool.\You should go out with him.\Just like that?\No, I... response:	That was close.
context: Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out?\Hira's cool.\You should go out with him.\Just like that?\No, I...\That was close. response:	The teacher was right there.
context: Hira?\Did he ask you out?\Hira's cool.\You should go out with him.\Just like that?\No, I...\That was close.\The teacher was right there. response:	That scared me.
context: Did he ask you out?\Hira's cool.\You should go out with him.\Just like that?\No, I...\That was close.\The teacher was right there.\That scared me. response:	Why are you guys here?
context: Hira's cool.\You should go out with him.\Just like that?\No, I...\That was close.\The teacher was right there.\That scared me.\Why are you guys here? response:	Why not?
context: You should go out with him.\Just like that?\No, I...\That was close.\The teacher was right there.\That scared me.\Why are you guys here?\Why not? response:	What's the problem?
context: Just like that?\No, I...\That was close.\The teacher was right there.\That scared me.\Why are you guys here?\Why not?\What's the problem? response:	We're going to be the ones to get yelled at.
context: No, I...\That was close.\The teacher was right there.\That scared me.\Why are you guys here?\Why not?\What's the problem?\We're going to be the ones to get yelled at. response:	Why so cold?
context: That was close.\The teacher was right there.\That scared me.\Why are you guys here?\Why not?\What's the problem?\We're going to be the ones to get yelled at.\Why so cold? response:	We don't want you here.
context: The teacher was right there.\That scared me.\Why are you guys here?\Why not?\What's the problem?\We're going to be the ones to get yelled at.\Why so cold?\We don't want you here. response:	Come on, we're already here.
context: That scared me.\Why are you guys here?\Why not?\What's the problem?\We're going to be the ones to get yelled at.\Why so cold?\We don't want you here.\Come on, we're already here. response:	Azumi-kun: What're you up to?
context: Why are you guys here?\Why not?\What's the problem?\We're going to be the ones to get yelled at.\Why so cold?\We don't want you here.\Come on, we're already here.\Azumi-kun: What're you up to? response:	Stop, idiot! Idiot!
context: Why not?\What's the problem?\We're going to be the ones to get yelled at.\Why so cold?\We don't want you here.\Come on, we're already here.\Azumi-kun: What're you up to?\Stop, idiot! Idiot! response:	Here we go!
context: What's the problem?\We're going to be the ones to get yelled at.\Why so cold?\We don't want you here.\Come on, we're already here.\Azumi-kun: What're you up to?\Stop, idiot! Idiot!\Here we go! response:	Combo!
context: We're going to be the ones to get yelled at.\Why so cold?\We don't want you here.\Come on, we're already here.\Azumi-kun: What're you up to?\Stop, idiot! Idiot!\Here we go!\Combo! response:	Four combo!
context: Why so cold?\We don't want you here.\Come on, we're already here.\Azumi-kun: What're you up to?\Stop, idiot! Idiot!\Here we go!\Combo!\Four combo! response:	Eight combo!
context: We don't want you here.\Come on, we're already here.\Azumi-kun: What're you up to?\Stop, idiot! Idiot!\Here we go!\Combo!\Four combo!\Eight combo! response:	What're you up to?
context: Come on, we're already here.\Azumi-kun: What're you up to?\Stop, idiot! Idiot!\Here we go!\Combo!\Four combo!\Eight combo!\What're you up to? response:	Talking about relationship stuff
context: Azumi-kun: What're you up to?\Stop, idiot! Idiot!\Here we go!\Combo!\Four combo!\Eight combo!\What're you up to?\Talking about relationship stuff response:	Sixteen combo! Here we go! Here we go!
context: Stop, idiot! Idiot!\Here we go!\Combo!\Four combo!\Eight combo!\What're you up to?\Talking about relationship stuff\Sixteen combo! Here we go! Here we go! response:	What? No way!
context: Here we go!\Combo!\Four combo!\Eight combo!\What're you up to?\Talking about relationship stuff\Sixteen combo! Here we go! Here we go!\What? No way! response:	Okay, here it comes!
context: Combo!\Four combo!\Eight combo!\What're you up to?\Talking about relationship stuff\Sixteen combo! Here we go! Here we go!\What? No way!\Okay, here it comes! response:	Combo! Combo!
context: Four combo!\Eight combo!\What're you up to?\Talking about relationship stuff\Sixteen combo! Here we go! Here we go!\What? No way!\Okay, here it comes!\Combo! Combo! response:	Huh? No way!
context: Eight combo!\What're you up to?\Talking about relationship stuff\Sixteen combo! Here we go! Here we go!\What? No way!\Okay, here it comes!\Combo! Combo!\Huh? No way! response:	What are you doing during free time?
context: What're you up to?\Talking about relationship stuff\Sixteen combo! Here we go! Here we go!\What? No way!\Okay, here it comes!\Combo! Combo!\Huh? No way!\What are you doing during free time? response:	I haven't decided yet
context: Talking about relationship stuff\Sixteen combo! Here we go! Here we go!\What? No way!\Okay, here it comes!\Combo! Combo!\Huh? No way!\What are you doing during free time?\I haven't decided yet response:	If you want, tomorrow...
context: Sixteen combo! Here we go! Here we go!\What? No way!\Okay, here it comes!\Combo! Combo!\Huh? No way!\What are you doing during free time?\I haven't decided yet\If you want, tomorrow... response:	Hey...
context: What? No way!\Okay, here it comes!\Combo! Combo!\Huh? No way!\What are you doing during free time?\I haven't decided yet\If you want, tomorrow...\Hey... response:	Let me see!
