context: hence the name fall leaves response:	Impassionate gods...
context: What's big is that her opponent still hasn't given up.\Hasn't given up?\She's playing to win!\Chihaya...\Why are you always so obvious?\It's too late. She's down 16 cards.\The Queen just has to play normally and she'll easily win.\With that trademark smile on her face. response:	the red that is the Tatsuta River
context: Hasn't given up?\She's playing to win!\Chihaya...\Why are you always so obvious?\It's too late. She's down 16 cards.\The Queen just has to play normally and she'll easily win.\With that trademark smile on her face.\the red that is the Tatsuta River response:	Chihaya Furu
context: She's playing to win!\Chihaya...\Why are you always so obvious?\It's too late. She's down 16 cards.\The Queen just has to play normally and she'll easily win.\With that trademark smile on her face.\the red that is the Tatsuta River\Chihaya Furu response:	Verse 15
context: Chihaya...\Why are you always so obvious?\It's too late. She's down 16 cards.\The Queen just has to play normally and she'll easily win.\With that trademark smile on her face.\the red that is the Tatsuta River\Chihaya Furu\Verse 15 response:	As Though Pearls Have Been Strung Across the Autumn Plain
context: Why are you always so obvious?\It's too late. She's down 16 cards.\The Queen just has to play normally and she'll easily win.\With that trademark smile on her face.\the red that is the Tatsuta River\Chihaya Furu\Verse 15\As Though Pearls Have Been Strung Across the Autumn Plain response:	the red that is the Tatsuta River
context: It's too late. She's down 16 cards.\The Queen just has to play normally and she'll easily win.\With that trademark smile on her face.\the red that is the Tatsuta River\Chihaya Furu\Verse 15\As Though Pearls Have Been Strung Across the Autumn Plain\the red that is the Tatsuta River response:	For you, I head out to the fields to pick spring greens
context: The Queen just has to play normally and she'll easily win.\With that trademark smile on her face.\the red that is the Tatsuta River\Chihaya Furu\Verse 15\As Though Pearls Have Been Strung Across the Autumn Plain\the red that is the Tatsuta River\For you, I head out to the fields to pick spring greens response:	The hazy early morning light comes not from the moon
context: With that trademark smile on her face.\the red that is the Tatsuta River\Chihaya Furu\Verse 15\As Though Pearls Have Been Strung Across the Autumn Plain\the red that is the Tatsuta River\For you, I head out to the fields to pick spring greens\The hazy early morning light comes not from the moon response:	Another multi-syllable card!
context: the red that is the Tatsuta River\Chihaya Furu\Verse 15\As Though Pearls Have Been Strung Across the Autumn Plain\the red that is the Tatsuta River\For you, I head out to the fields to pick spring greens\The hazy early morning light comes not from the moon\Another multi-syllable card! response:	Her smile's back...
context: Chihaya Furu\Verse 15\As Though Pearls Have Been Strung Across the Autumn Plain\the red that is the Tatsuta River\For you, I head out to the fields to pick spring greens\The hazy early morning light comes not from the moon\Another multi-syllable card!\Her smile's back... response:	Scary.
context: Verse 15\As Though Pearls Have Been Strung Across the Autumn Plain\the red that is the Tatsuta River\For you, I head out to the fields to pick spring greens\The hazy early morning light comes not from the moon\Another multi-syllable card!\Her smile's back...\Scary. response:	No luck...
context: As Though Pearls Have Been Strung Across the Autumn Plain\the red that is the Tatsuta River\For you, I head out to the fields to pick spring greens\The hazy early morning light comes not from the moon\Another multi-syllable card!\Her smile's back...\Scary.\No luck... response:	She finally got into a groove,
context: the red that is the Tatsuta River\For you, I head out to the fields to pick spring greens\The hazy early morning light comes not from the moon\Another multi-syllable card!\Her smile's back...\Scary.\No luck...\She finally got into a groove, response:	but, since then, it's been multi-syllable cards: her weakness.
context: For you, I head out to the fields to pick spring greens\The hazy early morning light comes not from the moon\Another multi-syllable card!\Her smile's back...\Scary.\No luck...\She finally got into a groove,\but, since then, it's been multi-syllable cards: her weakness. response:	but from the crystal white snow of Yoshino
context: The hazy early morning light comes not from the moon\Another multi-syllable card!\Her smile's back...\Scary.\No luck...\She finally got into a groove,\but, since then, it's been multi-syllable cards: her weakness.\but from the crystal white snow of Yoshino response:	Still, there are less than thirty cards left!
context: Another multi-syllable card!\Her smile's back...\Scary.\No luck...\She finally got into a groove,\but, since then, it's been multi-syllable cards: her weakness.\but from the crystal white snow of Yoshino\Still, there are less than thirty cards left! response:	Go!
context: Her smile's back...\Scary.\No luck...\She finally got into a groove,\but, since then, it's been multi-syllable cards: her weakness.\but from the crystal white snow of Yoshino\Still, there are less than thirty cards left!\Go! response:	Chihaya!
context: Scary.\No luck...\She finally got into a groove,\but, since then, it's been multi-syllable cards: her weakness.\but from the crystal white snow of Yoshino\Still, there are less than thirty cards left!\Go!\Chihaya! response:	Since the dew...
context: No luck...\She finally got into a groove,\but, since then, it's been multi-syllable cards: her weakness.\but from the crystal white snow of Yoshino\Still, there are less than thirty cards left!\Go!\Chihaya!\Since the dew... response:	Chihaya can't handle fifty cards,
context: She finally got into a groove,\but, since then, it's been multi-syllable cards: her weakness.\but from the crystal white snow of Yoshino\Still, there are less than thirty cards left!\Go!\Chihaya!\Since the dew...\Chihaya can't handle fifty cards, response:	but when only thirty are left,
context: but, since then, it's been multi-syllable cards: her weakness.\but from the crystal white snow of Yoshino\Still, there are less than thirty cards left!\Go!\Chihaya!\Since the dew...\Chihaya can't handle fifty cards,\but when only thirty are left, response:	it's easier for her to pinpoint the card she wants.
context: but from the crystal white snow of Yoshino\Still, there are less than thirty cards left!\Go!\Chihaya!\Since the dew...\Chihaya can't handle fifty cards,\but when only thirty are left,\it's easier for her to pinpoint the card she wants. response:	Since that reduces the number of syllables before a unique one,
context: Still, there are less than thirty cards left!\Go!\Chihaya!\Since the dew...\Chihaya can't handle fifty cards,\but when only thirty are left,\it's easier for her to pinpoint the card she wants.\Since that reduces the number of syllables before a unique one, response:	there are more one-syllable and two-syllable
context: Go!\Chihaya!\Since the dew...\Chihaya can't handle fifty cards,\but when only thirty are left,\it's easier for her to pinpoint the card she wants.\Since that reduces the number of syllables before a unique one,\there are more one-syllable and two-syllable response:	cards where Chihaya shines!
context: Chihaya!\Since the dew...\Chihaya can't handle fifty cards,\but when only thirty are left,\it's easier for her to pinpoint the card she wants.\Since that reduces the number of syllables before a unique one,\there are more one-syllable and two-syllable\cards where Chihaya shines! response:	My third card...
context: Since the dew...\Chihaya can't handle fifty cards,\but when only thirty are left,\it's easier for her to pinpoint the card she wants.\Since that reduces the number of syllables before a unique one,\there are more one-syllable and two-syllable\cards where Chihaya shines!\My third card... response:	Here is 20!
context: Chihaya can't handle fifty cards,\but when only thirty are left,\it's easier for her to pinpoint the card she wants.\Since that reduces the number of syllables before a unique one,\there are more one-syllable and two-syllable\cards where Chihaya shines!\My third card...\Here is 20! response:	77 Since the!
context: but when only thirty are left,\it's easier for her to pinpoint the card she wants.\Since that reduces the number of syllables before a unique one,\there are more one-syllable and two-syllable\cards where Chihaya shines!\My third card...\Here is 20!\77 Since the! response:	Oh!
context: it's easier for her to pinpoint the card she wants.\Since that reduces the number of syllables before a unique one,\there are more one-syllable and two-syllable\cards where Chihaya shines!\My third card...\Here is 20!\77 Since the!\Oh! response:	Okay...
context: Since that reduces the number of syllables before a unique one,\there are more one-syllable and two-syllable\cards where Chihaya shines!\My third card...\Here is 20!\77 Since the!\Oh!\Okay... response:	The Queen was taking every card,
context: there are more one-syllable and two-syllable\cards where Chihaya shines!\My third card...\Here is 20!\77 Since the!\Oh!\Okay...\The Queen was taking every card, response:	so I never had a chance to stand up and retrieve cards.
context: cards where Chihaya shines!\My third card...\Here is 20!\77 Since the!\Oh!\Okay...\The Queen was taking every card,\so I never had a chance to stand up and retrieve cards. response:	My body's starting to loosen up again...
context: My third card...\Here is 20!\77 Since the!\Oh!\Okay...\The Queen was taking every card,\so I never had a chance to stand up and retrieve cards.\My body's starting to loosen up again... response:	I want to become faster...
context: Here is 20!\77 Since the!\Oh!\Okay...\The Queen was taking every card,\so I never had a chance to stand up and retrieve cards.\My body's starting to loosen up again...\I want to become faster... response:	To become freer...
context: 77 Since the!\Oh!\Okay...\The Queen was taking every card,\so I never had a chance to stand up and retrieve cards.\My body's starting to loosen up again...\I want to become faster...\To become freer... response:	During a match...
context: Oh!\Okay...\The Queen was taking every card,\so I never had a chance to stand up and retrieve cards.\My body's starting to loosen up again...\I want to become faster...\To become freer...\During a match... response:	So when I'm playing an opponent
context: Okay...\The Queen was taking every card,\so I never had a chance to stand up and retrieve cards.\My body's starting to loosen up again...\I want to become faster...\To become freer...\During a match...\So when I'm playing an opponent response:	who's so strong that I'm scared stiff,
context: The Queen was taking every card,\so I never had a chance to stand up and retrieve cards.\My body's starting to loosen up again...\I want to become faster...\To become freer...\During a match...\So when I'm playing an opponent\who's so strong that I'm scared stiff, response:	I can move freely.
context: so I never had a chance to stand up and retrieve cards.\My body's starting to loosen up again...\I want to become faster...\To become freer...\During a match...\So when I'm playing an opponent\who's so strong that I'm scared stiff,\I can move freely. response:	Move freely!
context: My body's starting to loosen up again...\I want to become faster...\To become freer...\During a match...\So when I'm playing an opponent\who's so strong that I'm scared stiff,\I can move freely.\Move freely! response:	Free!
context: I want to become faster...\To become freer...\During a match...\So when I'm playing an opponent\who's so strong that I'm scared stiff,\I can move freely.\Move freely!\Free! response:	I still don't understand,
context: To become freer...\During a match...\So when I'm playing an opponent\who's so strong that I'm scared stiff,\I can move freely.\Move freely!\Free!\I still don't understand, response:	but is that what it means to be a strong player?
context: During a match...\So when I'm playing an opponent\who's so strong that I'm scared stiff,\I can move freely.\Move freely!\Free!\I still don't understand,\but is that what it means to be a strong player? response:	Thank you very much.
context: So when I'm playing an opponent\who's so strong that I'm scared stiff,\I can move freely.\Move freely!\Free!\I still don't understand,\but is that what it means to be a strong player?\Thank you very much. response:	Thank you very much.
context: who's so strong that I'm scared stiff,\I can move freely.\Move freely!\Free!\I still don't understand,\but is that what it means to be a strong player?\Thank you very much.\Thank you very much. response:	May I see you never forget your promise to always love me
context: I can move freely.\Move freely!\Free!\I still don't understand,\but is that what it means to be a strong player?\Thank you very much.\Thank you very much.\May I see you never forget your promise to always love me response:	I was only able to take five cards.
context: Move freely!\Free!\I still don't understand,\but is that what it means to be a strong player?\Thank you very much.\Thank you very much.\May I see you never forget your promise to always love me\I was only able to take five cards. response:	The Queen is still...
context: Free!\I still don't understand,\but is that what it means to be a strong player?\Thank you very much.\Thank you very much.\May I see you never forget your promise to always love me\I was only able to take five cards.\The Queen is still... response:	I can look up and see the snowy cap of Mt. Fuji
context: I still don't understand,\but is that what it means to be a strong player?\Thank you very much.\Thank you very much.\May I see you never forget your promise to always love me\I was only able to take five cards.\The Queen is still...\I can look up and see the snowy cap of Mt. Fuji response:	Since I could not hide my love,
context: but is that what it means to be a strong player?\Thank you very much.\Thank you very much.\May I see you never forget your promise to always love me\I was only able to take five cards.\The Queen is still...\I can look up and see the snowy cap of Mt. Fuji\Since I could not hide my love, response:	Oh, Wakamiya-san.
context: Thank you very much.\Thank you very much.\May I see you never forget your promise to always love me\I was only able to take five cards.\The Queen is still...\I can look up and see the snowy cap of Mt. Fuji\Since I could not hide my love,\Oh, Wakamiya-san. response:	You're already done?
context: Thank you very much.\May I see you never forget your promise to always love me\I was only able to take five cards.\The Queen is still...\I can look up and see the snowy cap of Mt. Fuji\Since I could not hide my love,\Oh, Wakamiya-san.\You're already done? response:	Wakamiya Shinobu
context: May I see you never forget your promise to always love me\I was only able to take five cards.\The Queen is still...\I can look up and see the snowy cap of Mt. Fuji\Since I could not hide my love,\Oh, Wakamiya-san.\You're already done?\Wakamiya Shinobu response:	Mizusawa High School Ayase Chihaya
context: I was only able to take five cards.\The Queen is still...\I can look up and see the snowy cap of Mt. Fuji\Since I could not hide my love,\Oh, Wakamiya-san.\You're already done?\Wakamiya Shinobu\Mizusawa High School Ayase Chihaya response:	Tokyo's Mizusawa High School...
context: The Queen is still...\I can look up and see the snowy cap of Mt. Fuji\Since I could not hide my love,\Oh, Wakamiya-san.\You're already done?\Wakamiya Shinobu\Mizusawa High School Ayase Chihaya\Tokyo's Mizusawa High School... response:	Ayase Chihaya.
context: I can look up and see the snowy cap of Mt. Fuji\Since I could not hide my love,\Oh, Wakamiya-san.\You're already done?\Wakamiya Shinobu\Mizusawa High School Ayase Chihaya\Tokyo's Mizusawa High School...\Ayase Chihaya. response:	Impressive. What was the final score?
context: Since I could not hide my love,\Oh, Wakamiya-san.\You're already done?\Wakamiya Shinobu\Mizusawa High School Ayase Chihaya\Tokyo's Mizusawa High School...\Ayase Chihaya.\Impressive. What was the final score? response:	Mizusawa High School, Ayase Chihaya...
context: Oh, Wakamiya-san.\You're already done?\Wakamiya Shinobu\Mizusawa High School Ayase Chihaya\Tokyo's Mizusawa High School...\Ayase Chihaya.\Impressive. What was the final score?\Mizusawa High School, Ayase Chihaya... response:	Ayase Chihaya...
context: You're already done?\Wakamiya Shinobu\Mizusawa High School Ayase Chihaya\Tokyo's Mizusawa High School...\Ayase Chihaya.\Impressive. What was the final score?\Mizusawa High School, Ayase Chihaya...\Ayase Chihaya... response:	Chihaya. Chihaya!
context: Wakamiya Shinobu\Mizusawa High School Ayase Chihaya\Tokyo's Mizusawa High School...\Ayase Chihaya.\Impressive. What was the final score?\Mizusawa High School, Ayase Chihaya...\Ayase Chihaya...\Chihaya. Chihaya! response:	Next time, I won't let you take a single card!
context: Mizusawa High School Ayase Chihaya\Tokyo's Mizusawa High School...\Ayase Chihaya.\Impressive. What was the final score?\Mizusawa High School, Ayase Chihaya...\Ayase Chihaya...\Chihaya. Chihaya!\Next time, I won't let you take a single card! response:	O-Oh, um...
context: Tokyo's Mizusawa High School...\Ayase Chihaya.\Impressive. What was the final score?\Mizusawa High School, Ayase Chihaya...\Ayase Chihaya...\Chihaya. Chihaya!\Next time, I won't let you take a single card!\O-Oh, um... response:	Your Snowmaru T-shirt is really cute.
context: Ayase Chihaya.\Impressive. What was the final score?\Mizusawa High School, Ayase Chihaya...\Ayase Chihaya...\Chihaya. Chihaya!\Next time, I won't let you take a single card!\O-Oh, um...\Your Snowmaru T-shirt is really cute. response:	That snowman actually has a name?
context: Impressive. What was the final score?\Mizusawa High School, Ayase Chihaya...\Ayase Chihaya...\Chihaya. Chihaya!\Next time, I won't let you take a single card!\O-Oh, um...\Your Snowmaru T-shirt is really cute.\That snowman actually has a name? response:	Other people can recognize it?
context: Mizusawa High School, Ayase Chihaya...\Ayase Chihaya...\Chihaya. Chihaya!\Next time, I won't let you take a single card!\O-Oh, um...\Your Snowmaru T-shirt is really cute.\That snowman actually has a name?\Other people can recognize it? response:	Chihaya...
context: Ayase Chihaya...\Chihaya. Chihaya!\Next time, I won't let you take a single card!\O-Oh, um...\Your Snowmaru T-shirt is really cute.\That snowman actually has a name?\Other people can recognize it?\Chihaya... response:	have been soaked red with tears of blood
context: Chihaya. Chihaya!\Next time, I won't let you take a single card!\O-Oh, um...\Your Snowmaru T-shirt is really cute.\That snowman actually has a name?\Other people can recognize it?\Chihaya...\have been soaked red with tears of blood response:	Oops...
context: Next time, I won't let you take a single card!\O-Oh, um...\Your Snowmaru T-shirt is really cute.\That snowman actually has a name?\Other people can recognize it?\Chihaya...\have been soaked red with tears of blood\Oops... response:	As the first frost has fallen,
context: O-Oh, um...\Your Snowmaru T-shirt is really cute.\That snowman actually has a name?\Other people can recognize it?\Chihaya...\have been soaked red with tears of blood\Oops...\As the first frost has fallen, response:	What's wrong with me?
context: Your Snowmaru T-shirt is really cute.\That snowman actually has a name?\Other people can recognize it?\Chihaya...\have been soaked red with tears of blood\Oops...\As the first frost has fallen,\What's wrong with me? response:	I'm more upset than she is.
context: That snowman actually has a name?\Other people can recognize it?\Chihaya...\have been soaked red with tears of blood\Oops...\As the first frost has fallen,\What's wrong with me?\I'm more upset than she is. response:	Chihaya lost by twenty cards.
context: Other people can recognize it?\Chihaya...\have been soaked red with tears of blood\Oops...\As the first frost has fallen,\What's wrong with me?\I'm more upset than she is.\Chihaya lost by twenty cards. response:	The Queen's that much better than her...
context: Chihaya...\have been soaked red with tears of blood\Oops...\As the first frost has fallen,\What's wrong with me?\I'm more upset than she is.\Chihaya lost by twenty cards.\The Queen's that much better than her... response:	Is Chihaya okay?
context: have been soaked red with tears of blood\Oops...\As the first frost has fallen,\What's wrong with me?\I'm more upset than she is.\Chihaya lost by twenty cards.\The Queen's that much better than her...\Is Chihaya okay? response:	Rain takes longer to dry in the autumn time
context: Oops...\As the first frost has fallen,\What's wrong with me?\I'm more upset than she is.\Chihaya lost by twenty cards.\The Queen's that much better than her...\Is Chihaya okay?\Rain takes longer to dry in the autumn time response:	Nah. Knowing her, she's probably already asleep.
context: As the first frost has fallen,\What's wrong with me?\I'm more upset than she is.\Chihaya lost by twenty cards.\The Queen's that much better than her...\Is Chihaya okay?\Rain takes longer to dry in the autumn time\Nah. Knowing her, she's probably already asleep. response:	Yikes, she really is asleep-
context: What's wrong with me?\I'm more upset than she is.\Chihaya lost by twenty cards.\The Queen's that much better than her...\Is Chihaya okay?\Rain takes longer to dry in the autumn time\Nah. Knowing her, she's probably already asleep.\Yikes, she really is asleep- response:	A straight line.
context: I'm more upset than she is.\Chihaya lost by twenty cards.\The Queen's that much better than her...\Is Chihaya okay?\Rain takes longer to dry in the autumn time\Nah. Knowing her, she's probably already asleep.\Yikes, she really is asleep-\A straight line. response:	Straight...
context: Chihaya lost by twenty cards.\The Queen's that much better than her...\Is Chihaya okay?\Rain takes longer to dry in the autumn time\Nah. Knowing her, she's probably already asleep.\Yikes, she really is asleep-\A straight line.\Straight... response:	Straight and swift as an arrow.
context: The Queen's that much better than her...\Is Chihaya okay?\Rain takes longer to dry in the autumn time\Nah. Knowing her, she's probably already asleep.\Yikes, she really is asleep-\A straight line.\Straight...\Straight and swift as an arrow. response:	My memorization has to be better for this to work.
context: Is Chihaya okay?\Rain takes longer to dry in the autumn time\Nah. Knowing her, she's probably already asleep.\Yikes, she really is asleep-\A straight line.\Straight...\Straight and swift as an arrow.\My memorization has to be better for this to work. response:	Memorize... Memorize...
context: Rain takes longer to dry in the autumn time\Nah. Knowing her, she's probably already asleep.\Yikes, she really is asleep-\A straight line.\Straight...\Straight and swift as an arrow.\My memorization has to be better for this to work.\Memorize... Memorize... response:	Straight! Swift!
context: Nah. Knowing her, she's probably already asleep.\Yikes, she really is asleep-\A straight line.\Straight...\Straight and swift as an arrow.\My memorization has to be better for this to work.\Memorize... Memorize...\Straight! Swift! response:	Straighter! Swifter!
context: Yikes, she really is asleep-\A straight line.\Straight...\Straight and swift as an arrow.\My memorization has to be better for this to work.\Memorize... Memorize...\Straight! Swift!\Straighter! Swifter! response:	Listen hard...
context: A straight line.\Straight...\Straight and swift as an arrow.\My memorization has to be better for this to work.\Memorize... Memorize...\Straight! Swift!\Straighter! Swifter!\Listen hard... response:	Harder... Harder...
context: Straight...\Straight and swift as an arrow.\My memorization has to be better for this to work.\Memorize... Memorize...\Straight! Swift!\Straighter! Swifter!\Listen hard...\Harder... Harder... response:	What do I have to do to beat her?
context: Straight and swift as an arrow.\My memorization has to be better for this to work.\Memorize... Memorize...\Straight! Swift!\Straighter! Swifter!\Listen hard...\Harder... Harder...\What do I have to do to beat her? response:	What will it take?
context: My memorization has to be better for this to work.\Memorize... Memorize...\Straight! Swift!\Straighter! Swifter!\Listen hard...\Harder... Harder...\What do I have to do to beat her?\What will it take? response:	Today is the day.
context: Memorize... Memorize...\Straight! Swift!\Straighter! Swifter!\Listen hard...\Harder... Harder...\What do I have to do to beat her?\What will it take?\Today is the day. response:	The day Chihaya's dream became real.
context: Straight! Swift!\Straighter! Swifter!\Listen hard...\Harder... Harder...\What do I have to do to beat her?\What will it take?\Today is the day.\The day Chihaya's dream became real. response:	Next time, we'll meet in a match. -Arata
context: Straighter! Swifter!\Listen hard...\Harder... Harder...\What do I have to do to beat her?\What will it take?\Today is the day.\The day Chihaya's dream became real.\Next time, we'll meet in a match. -Arata response:	Dream...
context: Listen hard...\Harder... Harder...\What do I have to do to beat her?\What will it take?\Today is the day.\The day Chihaya's dream became real.\Next time, we'll meet in a match. -Arata\Dream... response:	The Class B third round is about to begin.
context: Harder... Harder...\What do I have to do to beat her?\What will it take?\Today is the day.\The day Chihaya's dream became real.\Next time, we'll meet in a match. -Arata\Dream...\The Class B third round is about to begin. response:	Please sit down in your assigned seat,
context: What do I have to do to beat her?\What will it take?\Today is the day.\The day Chihaya's dream became real.\Next time, we'll meet in a match. -Arata\Dream...\The Class B third round is about to begin.\Please sit down in your assigned seat, response:	once you've checked who your opponent is.
context: What will it take?\Today is the day.\The day Chihaya's dream became real.\Next time, we'll meet in a match. -Arata\Dream...\The Class B third round is about to begin.\Please sit down in your assigned seat,\once you've checked who your opponent is. response:	I hear the beating of cloth, as a chilly autumn breeze
context: Today is the day.\The day Chihaya's dream became real.\Next time, we'll meet in a match. -Arata\Dream...\The Class B third round is about to begin.\Please sit down in your assigned seat,\once you've checked who your opponent is.\I hear the beating of cloth, as a chilly autumn breeze response:	It's over! Wakamiya-san wins!
context: The day Chihaya's dream became real.\Next time, we'll meet in a match. -Arata\Dream...\The Class B third round is about to begin.\Please sit down in your assigned seat,\once you've checked who your opponent is.\I hear the beating of cloth, as a chilly autumn breeze\It's over! Wakamiya-san wins! response:	descends from Mount Yoshino upon my long-forgotten home
context: Next time, we'll meet in a match. -Arata\Dream...\The Class B third round is about to begin.\Please sit down in your assigned seat,\once you've checked who your opponent is.\I hear the beating of cloth, as a chilly autumn breeze\It's over! Wakamiya-san wins!\descends from Mount Yoshino upon my long-forgotten home response:	Thank you very much.
context: Dream...\The Class B third round is about to begin.\Please sit down in your assigned seat,\once you've checked who your opponent is.\I hear the beating of cloth, as a chilly autumn breeze\It's over! Wakamiya-san wins!\descends from Mount Yoshino upon my long-forgotten home\Thank you very much. response:	High School National Ogura Hundred Poets Karuta Championship
context: The Class B third round is about to begin.\Please sit down in your assigned seat,\once you've checked who your opponent is.\I hear the beating of cloth, as a chilly autumn breeze\It's over! Wakamiya-san wins!\descends from Mount Yoshino upon my long-forgotten home\Thank you very much.\High School National Ogura Hundred Poets Karuta Championship response:	Thank you very much.
context: Please sit down in your assigned seat,\once you've checked who your opponent is.\I hear the beating of cloth, as a chilly autumn breeze\It's over! Wakamiya-san wins!\descends from Mount Yoshino upon my long-forgotten home\Thank you very much.\High School National Ogura Hundred Poets Karuta Championship\Thank you very much. response:	This is my last year,
context: once you've checked who your opponent is.\I hear the beating of cloth, as a chilly autumn breeze\It's over! Wakamiya-san wins!\descends from Mount Yoshino upon my long-forgotten home\Thank you very much.\High School National Ogura Hundred Poets Karuta Championship\Thank you very much.\This is my last year, response:	so I thought you might let me win this.
context: I hear the beating of cloth, as a chilly autumn breeze\It's over! Wakamiya-san wins!\descends from Mount Yoshino upon my long-forgotten home\Thank you very much.\High School National Ogura Hundred Poets Karuta Championship\Thank you very much.\This is my last year,\so I thought you might let me win this. response:	You're good, so I was scared I might lose.
context: It's over! Wakamiya-san wins!\descends from Mount Yoshino upon my long-forgotten home\Thank you very much.\High School National Ogura Hundred Poets Karuta Championship\Thank you very much.\This is my last year,\so I thought you might let me win this.\You're good, so I was scared I might lose. response:	You beat me by 12 cards...
context: descends from Mount Yoshino upon my long-forgotten home\Thank you very much.\High School National Ogura Hundred Poets Karuta Championship\Thank you very much.\This is my last year,\so I thought you might let me win this.\You're good, so I was scared I might lose.\You beat me by 12 cards... response:	Man, Wakamiya Shinobu is the champion again?
context: Thank you very much.\High School National Ogura Hundred Poets Karuta Championship\Thank you very much.\This is my last year,\so I thought you might let me win this.\You're good, so I was scared I might lose.\You beat me by 12 cards...\Man, Wakamiya Shinobu is the champion again? response:	She's the real deal.
context: High School National Ogura Hundred Poets Karuta Championship\Thank you very much.\This is my last year,\so I thought you might let me win this.\You're good, so I was scared I might lose.\You beat me by 12 cards...\Man, Wakamiya Shinobu is the champion again?\She's the real deal. response:	She never joined a karuta society, right?
context: Thank you very much.\This is my last year,\so I thought you might let me win this.\You're good, so I was scared I might lose.\You beat me by 12 cards...\Man, Wakamiya Shinobu is the champion again?\She's the real deal.\She never joined a karuta society, right? response:	Seriously?
context: This is my last year,\so I thought you might let me win this.\You're good, so I was scared I might lose.\You beat me by 12 cards...\Man, Wakamiya Shinobu is the champion again?\She's the real deal.\She never joined a karuta society, right?\Seriously? response:	Straight as a line...
