context: Minori has never asked for my help. response:	She's asked for advice or for teaching,
context: Contract\Contract.\Tell me the situation.\Rundel Haus was fatally wounded during the defense of Choushi.\We've cast two revival spells, but they failed.\However, he has a pulse, and he's still warm.\But he isn't waking up.\Where are you, and who is with you? response:	It's Tohya, Isuzu, Serara, and me.
context: Contract.\Tell me the situation.\Rundel Haus was fatally wounded during the defense of Choushi.\We've cast two revival spells, but they failed.\However, he has a pulse, and he's still warm.\But he isn't waking up.\Where are you, and who is with you?\It's Tohya, Isuzu, Serara, and me. response:	And Rundel Haus.
context: Tell me the situation.\Rundel Haus was fatally wounded during the defense of Choushi.\We've cast two revival spells, but they failed.\However, he has a pulse, and he's still warm.\But he isn't waking up.\Where are you, and who is with you?\It's Tohya, Isuzu, Serara, and me.\And Rundel Haus. response:	We're near the crossroads, at the center of Choushi!
context: Rundel Haus was fatally wounded during the defense of Choushi.\We've cast two revival spells, but they failed.\However, he has a pulse, and he's still warm.\But he isn't waking up.\Where are you, and who is with you?\It's Tohya, Isuzu, Serara, and me.\And Rundel Haus.\We're near the crossroads, at the center of Choushi! response:	Is it safe?
context: We've cast two revival spells, but they failed.\However, he has a pulse, and he's still warm.\But he isn't waking up.\Where are you, and who is with you?\It's Tohya, Isuzu, Serara, and me.\And Rundel Haus.\We're near the crossroads, at the center of Choushi!\Is it safe? response:	There are no enemies in the vicinity.
context: However, he has a pulse, and he's still warm.\But he isn't waking up.\Where are you, and who is with you?\It's Tohya, Isuzu, Serara, and me.\And Rundel Haus.\We're near the crossroads, at the center of Choushi!\Is it safe?\There are no enemies in the vicinity. response:	But near the coast, there's still fighting going on.
context: But he isn't waking up.\Where are you, and who is with you?\It's Tohya, Isuzu, Serara, and me.\And Rundel Haus.\We're near the crossroads, at the center of Choushi!\Is it safe?\There are no enemies in the vicinity.\But near the coast, there's still fighting going on. response:	We don't know when the goblins will attack...
context: Where are you, and who is with you?\It's Tohya, Isuzu, Serara, and me.\And Rundel Haus.\We're near the crossroads, at the center of Choushi!\Is it safe?\There are no enemies in the vicinity.\But near the coast, there's still fighting going on.\We don't know when the goblins will attack... response:	Shiroe, save Rudy!
context: It's Tohya, Isuzu, Serara, and me.\And Rundel Haus.\We're near the crossroads, at the center of Choushi!\Is it safe?\There are no enemies in the vicinity.\But near the coast, there's still fighting going on.\We don't know when the goblins will attack...\Shiroe, save Rudy! response:	I was the one who brought him here...
context: And Rundel Haus.\We're near the crossroads, at the center of Choushi!\Is it safe?\There are no enemies in the vicinity.\But near the coast, there's still fighting going on.\We don't know when the goblins will attack...\Shiroe, save Rudy!\I was the one who brought him here... response:	Please, Shiroe!
context: We're near the crossroads, at the center of Choushi!\Is it safe?\There are no enemies in the vicinity.\But near the coast, there's still fighting going on.\We don't know when the goblins will attack...\Shiroe, save Rudy!\I was the one who brought him here...\Please, Shiroe! response:	Tell Serara to cast a revival spell.
context: Is it safe?\There are no enemies in the vicinity.\But near the coast, there's still fighting going on.\We don't know when the goblins will attack...\Shiroe, save Rudy!\I was the one who brought him here...\Please, Shiroe!\Tell Serara to cast a revival spell. response:	Right.
context: There are no enemies in the vicinity.\But near the coast, there's still fighting going on.\We don't know when the goblins will attack...\Shiroe, save Rudy!\I was the one who brought him here...\Please, Shiroe!\Tell Serara to cast a revival spell.\Right. response:	Stand by for 150 seconds.
context: But near the coast, there's still fighting going on.\We don't know when the goblins will attack...\Shiroe, save Rudy!\I was the one who brought him here...\Please, Shiroe!\Tell Serara to cast a revival spell.\Right.\Stand by for 150 seconds. response:	Tohya is to watch for enemies.
context: We don't know when the goblins will attack...\Shiroe, save Rudy!\I was the one who brought him here...\Please, Shiroe!\Tell Serara to cast a revival spell.\Right.\Stand by for 150 seconds.\Tohya is to watch for enemies. response:	Isuzu should use an MP-restoration song.
context: Shiroe, save Rudy!\I was the one who brought him here...\Please, Shiroe!\Tell Serara to cast a revival spell.\Right.\Stand by for 150 seconds.\Tohya is to watch for enemies.\Isuzu should use an MP-restoration song. response:	After 150 seconds, you cast a revival spell.
context: I was the one who brought him here...\Please, Shiroe!\Tell Serara to cast a revival spell.\Right.\Stand by for 150 seconds.\Tohya is to watch for enemies.\Isuzu should use an MP-restoration song.\After 150 seconds, you cast a revival spell. response:	Okay.
context: Please, Shiroe!\Tell Serara to cast a revival spell.\Right.\Stand by for 150 seconds.\Tohya is to watch for enemies.\Isuzu should use an MP-restoration song.\After 150 seconds, you cast a revival spell.\Okay. response:	The mystical energy that animates humans and demi-humans is called the spirit.
context: Tell Serara to cast a revival spell.\Right.\Stand by for 150 seconds.\Tohya is to watch for enemies.\Isuzu should use an MP-restoration song.\After 150 seconds, you cast a revival spell.\Okay.\The mystical energy that animates humans and demi-humans is called the spirit. response:	Psyche
context: Right.\Stand by for 150 seconds.\Tohya is to watch for enemies.\Isuzu should use an MP-restoration song.\After 150 seconds, you cast a revival spell.\Okay.\The mystical energy that animates humans and demi-humans is called the spirit.\Psyche response:	Psyche is the energy that animates the mind.
context: Stand by for 150 seconds.\Tohya is to watch for enemies.\Isuzu should use an MP-restoration song.\After 150 seconds, you cast a revival spell.\Okay.\The mystical energy that animates humans and demi-humans is called the spirit.\Psyche\Psyche is the energy that animates the mind. response:	It affects things such as magic, as well.
context: Tohya is to watch for enemies.\Isuzu should use an MP-restoration song.\After 150 seconds, you cast a revival spell.\Okay.\The mystical energy that animates humans and demi-humans is called the spirit.\Psyche\Psyche is the energy that animates the mind.\It affects things such as magic, as well. response:	Psyche = Magic Points
context: Isuzu should use an MP-restoration song.\After 150 seconds, you cast a revival spell.\Okay.\The mystical energy that animates humans and demi-humans is called the spirit.\Psyche\Psyche is the energy that animates the mind.\It affects things such as magic, as well.\Psyche = Magic Points response:	It is also called MP, magic points.
context: After 150 seconds, you cast a revival spell.\Okay.\The mystical energy that animates humans and demi-humans is called the spirit.\Psyche\Psyche is the energy that animates the mind.\It affects things such as magic, as well.\Psyche = Magic Points\It is also called MP, magic points. response:	Anima
context: Okay.\The mystical energy that animates humans and demi-humans is called the spirit.\Psyche\Psyche is the energy that animates the mind.\It affects things such as magic, as well.\Psyche = Magic Points\It is also called MP, magic points.\Anima response:	Anima is the energy that animates the body.
context: The mystical energy that animates humans and demi-humans is called the spirit.\Psyche\Psyche is the energy that animates the mind.\It affects things such as magic, as well.\Psyche = Magic Points\It is also called MP, magic points.\Anima\Anima is the energy that animates the body. response:	Anima = Hit Points
context: Psyche\Psyche is the energy that animates the mind.\It affects things such as magic, as well.\Psyche = Magic Points\It is also called MP, magic points.\Anima\Anima is the energy that animates the body.\Anima = Hit Points response:	HP... Hit points.
context: Psyche is the energy that animates the mind.\It affects things such as magic, as well.\Psyche = Magic Points\It is also called MP, magic points.\Anima\Anima is the energy that animates the body.\Anima = Hit Points\HP... Hit points. response:	It is also the energy known as ki.
context: It affects things such as magic, as well.\Psyche = Magic Points\It is also called MP, magic points.\Anima\Anima is the energy that animates the body.\Anima = Hit Points\HP... Hit points.\It is also the energy known as ki. response:	When someone is defeated in battle, the psyche and anima are split,
context: Psyche = Magic Points\It is also called MP, magic points.\Anima\Anima is the energy that animates the body.\Anima = Hit Points\HP... Hit points.\It is also the energy known as ki.\When someone is defeated in battle, the psyche and anima are split, response:	and the flow of information from body to mind is severed.
context: It is also called MP, magic points.\Anima\Anima is the energy that animates the body.\Anima = Hit Points\HP... Hit points.\It is also the energy known as ki.\When someone is defeated in battle, the psyche and anima are split,\and the flow of information from body to mind is severed. response:	Then, the anima-dispersal begins.
context: Anima\Anima is the energy that animates the body.\Anima = Hit Points\HP... Hit points.\It is also the energy known as ki.\When someone is defeated in battle, the psyche and anima are split,\and the flow of information from body to mind is severed.\Then, the anima-dispersal begins. response:	Anima-dispersal is when the anima, the body, is dispersed and vanishes.
context: Anima is the energy that animates the body.\Anima = Hit Points\HP... Hit points.\It is also the energy known as ki.\When someone is defeated in battle, the psyche and anima are split,\and the flow of information from body to mind is severed.\Then, the anima-dispersal begins.\Anima-dispersal is when the anima, the body, is dispersed and vanishes. response:	Revival magic gathers the anima dispersed into the surrounding atmosphere,
context: Anima = Hit Points\HP... Hit points.\It is also the energy known as ki.\When someone is defeated in battle, the psyche and anima are split,\and the flow of information from body to mind is severed.\Then, the anima-dispersal begins.\Anima-dispersal is when the anima, the body, is dispersed and vanishes.\Revival magic gathers the anima dispersed into the surrounding atmosphere, response:	and reconstructs it.
context: HP... Hit points.\It is also the energy known as ki.\When someone is defeated in battle, the psyche and anima are split,\and the flow of information from body to mind is severed.\Then, the anima-dispersal begins.\Anima-dispersal is when the anima, the body, is dispersed and vanishes.\Revival magic gathers the anima dispersed into the surrounding atmosphere,\and reconstructs it. response:	Regan hypothesized that
context: It is also the energy known as ki.\When someone is defeated in battle, the psyche and anima are split,\and the flow of information from body to mind is severed.\Then, the anima-dispersal begins.\Anima-dispersal is when the anima, the body, is dispersed and vanishes.\Revival magic gathers the anima dispersed into the surrounding atmosphere,\and reconstructs it.\Regan hypothesized that response:	revival magic would work on People of the Land, if used immediately after death.
context: When someone is defeated in battle, the psyche and anima are split,\and the flow of information from body to mind is severed.\Then, the anima-dispersal begins.\Anima-dispersal is when the anima, the body, is dispersed and vanishes.\Revival magic gathers the anima dispersed into the surrounding atmosphere,\and reconstructs it.\Regan hypothesized that\revival magic would work on People of the Land, if used immediately after death. response:	If it's strengthening his pulse, his body was successfully restored.
context: and the flow of information from body to mind is severed.\Then, the anima-dispersal begins.\Anima-dispersal is when the anima, the body, is dispersed and vanishes.\Revival magic gathers the anima dispersed into the surrounding atmosphere,\and reconstructs it.\Regan hypothesized that\revival magic would work on People of the Land, if used immediately after death.\If it's strengthening his pulse, his body was successfully restored. response:	But if he hasn't woken up,
context: Then, the anima-dispersal begins.\Anima-dispersal is when the anima, the body, is dispersed and vanishes.\Revival magic gathers the anima dispersed into the surrounding atmosphere,\and reconstructs it.\Regan hypothesized that\revival magic would work on People of the Land, if used immediately after death.\If it's strengthening his pulse, his body was successfully restored.\But if he hasn't woken up, response:	his psyche, the energy that powers his mind, has begun to disperse, as well.
context: Anima-dispersal is when the anima, the body, is dispersed and vanishes.\Revival magic gathers the anima dispersed into the surrounding atmosphere,\and reconstructs it.\Regan hypothesized that\revival magic would work on People of the Land, if used immediately after death.\If it's strengthening his pulse, his body was successfully restored.\But if he hasn't woken up,\his psyche, the energy that powers his mind, has begun to disperse, as well. response:	When the body disperses, so does the mind.
context: Revival magic gathers the anima dispersed into the surrounding atmosphere,\and reconstructs it.\Regan hypothesized that\revival magic would work on People of the Land, if used immediately after death.\If it's strengthening his pulse, his body was successfully restored.\But if he hasn't woken up,\his psyche, the energy that powers his mind, has begun to disperse, as well.\When the body disperses, so does the mind. response:	And when the body is completely gone,
context: and reconstructs it.\Regan hypothesized that\revival magic would work on People of the Land, if used immediately after death.\If it's strengthening his pulse, his body was successfully restored.\But if he hasn't woken up,\his psyche, the energy that powers his mind, has begun to disperse, as well.\When the body disperses, so does the mind.\And when the body is completely gone, response:	the mind has nowhere to return, making revival impossible.
context: Regan hypothesized that\revival magic would work on People of the Land, if used immediately after death.\If it's strengthening his pulse, his body was successfully restored.\But if he hasn't woken up,\his psyche, the energy that powers his mind, has begun to disperse, as well.\When the body disperses, so does the mind.\And when the body is completely gone,\the mind has nowhere to return, making revival impossible. response:	At this point, People of the Land die.
context: revival magic would work on People of the Land, if used immediately after death.\If it's strengthening his pulse, his body was successfully restored.\But if he hasn't woken up,\his psyche, the energy that powers his mind, has begun to disperse, as well.\When the body disperses, so does the mind.\And when the body is completely gone,\the mind has nowhere to return, making revival impossible.\At this point, People of the Land die. response:	An adventurer's body is automatically restored at the Cathedral,
context: If it's strengthening his pulse, his body was successfully restored.\But if he hasn't woken up,\his psyche, the energy that powers his mind, has begun to disperse, as well.\When the body disperses, so does the mind.\And when the body is completely gone,\the mind has nowhere to return, making revival impossible.\At this point, People of the Land die.\An adventurer's body is automatically restored at the Cathedral, response:	and the psyche, or mind, is connected to it, so they revive.
context: But if he hasn't woken up,\his psyche, the energy that powers his mind, has begun to disperse, as well.\When the body disperses, so does the mind.\And when the body is completely gone,\the mind has nowhere to return, making revival impossible.\At this point, People of the Land die.\An adventurer's body is automatically restored at the Cathedral,\and the psyche, or mind, is connected to it, so they revive. response:	150 seconds have passed.
context: his psyche, the energy that powers his mind, has begun to disperse, as well.\When the body disperses, so does the mind.\And when the body is completely gone,\the mind has nowhere to return, making revival impossible.\At this point, People of the Land die.\An adventurer's body is automatically restored at the Cathedral,\and the psyche, or mind, is connected to it, so they revive.\150 seconds have passed. response:	I'm casting a revival spell.
context: When the body disperses, so does the mind.\And when the body is completely gone,\the mind has nowhere to return, making revival impossible.\At this point, People of the Land die.\An adventurer's body is automatically restored at the Cathedral,\and the psyche, or mind, is connected to it, so they revive.\150 seconds have passed.\I'm casting a revival spell. response:	In another 150 seconds, use Serara's again.
context: And when the body is completely gone,\the mind has nowhere to return, making revival impossible.\At this point, People of the Land die.\An adventurer's body is automatically restored at the Cathedral,\and the psyche, or mind, is connected to it, so they revive.\150 seconds have passed.\I'm casting a revival spell.\In another 150 seconds, use Serara's again. response:	I'm on my way now.
context: the mind has nowhere to return, making revival impossible.\At this point, People of the Land die.\An adventurer's body is automatically restored at the Cathedral,\and the psyche, or mind, is connected to it, so they revive.\150 seconds have passed.\I'm casting a revival spell.\In another 150 seconds, use Serara's again.\I'm on my way now. response:	Keep alternating for another eight minutes.
context: At this point, People of the Land die.\An adventurer's body is automatically restored at the Cathedral,\and the psyche, or mind, is connected to it, so they revive.\150 seconds have passed.\I'm casting a revival spell.\In another 150 seconds, use Serara's again.\I'm on my way now.\Keep alternating for another eight minutes. response:	Okay.
context: An adventurer's body is automatically restored at the Cathedral,\and the psyche, or mind, is connected to it, so they revive.\150 seconds have passed.\I'm casting a revival spell.\In another 150 seconds, use Serara's again.\I'm on my way now.\Keep alternating for another eight minutes.\Okay. response:	Right now, all we can do is to stop the body from being destroyed...
context: and the psyche, or mind, is connected to it, so they revive.\150 seconds have passed.\I'm casting a revival spell.\In another 150 seconds, use Serara's again.\I'm on my way now.\Keep alternating for another eight minutes.\Okay.\Right now, all we can do is to stop the body from being destroyed... response:	But then what?
context: 150 seconds have passed.\I'm casting a revival spell.\In another 150 seconds, use Serara's again.\I'm on my way now.\Keep alternating for another eight minutes.\Okay.\Right now, all we can do is to stop the body from being destroyed...\But then what? response:	Isn't it your job to think, Shiro?
context: I'm casting a revival spell.\In another 150 seconds, use Serara's again.\I'm on my way now.\Keep alternating for another eight minutes.\Okay.\Right now, all we can do is to stop the body from being destroyed...\But then what?\Isn't it your job to think, Shiro? response:	But...
context: In another 150 seconds, use Serara's again.\I'm on my way now.\Keep alternating for another eight minutes.\Okay.\Right now, all we can do is to stop the body from being destroyed...\But then what?\Isn't it your job to think, Shiro?\But... response:	That doesn't mean I can just take you to see the midnight sun in Iceland
context: I'm on my way now.\Keep alternating for another eight minutes.\Okay.\Right now, all we can do is to stop the body from being destroyed...\But then what?\Isn't it your job to think, Shiro?\But...\That doesn't mean I can just take you to see the midnight sun in Iceland response:	But I want to see it...
context: Keep alternating for another eight minutes.\Okay.\Right now, all we can do is to stop the body from being destroyed...\But then what?\Isn't it your job to think, Shiro?\But...\That doesn't mean I can just take you to see the midnight sun in Iceland\But I want to see it... response:	I'm a dreamer.
context: Okay.\Right now, all we can do is to stop the body from being destroyed...\But then what?\Isn't it your job to think, Shiro?\But...\That doesn't mean I can just take you to see the midnight sun in Iceland\But I want to see it...\I'm a dreamer. response:	And you make my dreams come true.
context: Right now, all we can do is to stop the body from being destroyed...\But then what?\Isn't it your job to think, Shiro?\But...\That doesn't mean I can just take you to see the midnight sun in Iceland\But I want to see it...\I'm a dreamer.\And you make my dreams come true. response:	Right?
context: But then what?\Isn't it your job to think, Shiro?\But...\That doesn't mean I can just take you to see the midnight sun in Iceland\But I want to see it...\I'm a dreamer.\And you make my dreams come true.\Right? response:	But still...
context: Isn't it your job to think, Shiro?\But...\That doesn't mean I can just take you to see the midnight sun in Iceland\But I want to see it...\I'm a dreamer.\And you make my dreams come true.\Right?\But still... response:	I specialize in the study of world-class magic.
context: But...\That doesn't mean I can just take you to see the midnight sun in Iceland\But I want to see it...\I'm a dreamer.\And you make my dreams come true.\Right?\But still...\I specialize in the study of world-class magic. response:	Magic that alters the rules of the world...
context: That doesn't mean I can just take you to see the midnight sun in Iceland\But I want to see it...\I'm a dreamer.\And you make my dreams come true.\Right?\But still...\I specialize in the study of world-class magic.\Magic that alters the rules of the world... response:	Akatsuki, take the reins!
context: But I want to see it...\I'm a dreamer.\And you make my dreams come true.\Right?\But still...\I specialize in the study of world-class magic.\Magic that alters the rules of the world...\Akatsuki, take the reins! response:	Milord...
context: I'm a dreamer.\And you make my dreams come true.\Right?\But still...\I specialize in the study of world-class magic.\Magic that alters the rules of the world...\Akatsuki, take the reins!\Milord... response:	I've brought the report.
context: And you make my dreams come true.\Right?\But still...\I specialize in the study of world-class magic.\Magic that alters the rules of the world...\Akatsuki, take the reins!\Milord...\I've brought the report. response:	Thank you.
context: Right?\But still...\I specialize in the study of world-class magic.\Magic that alters the rules of the world...\Akatsuki, take the reins!\Milord...\I've brought the report.\Thank you. response:	What am I...
context: But still...\I specialize in the study of world-class magic.\Magic that alters the rules of the world...\Akatsuki, take the reins!\Milord...\I've brought the report.\Thank you.\What am I... response:	How goes the battle?
context: I specialize in the study of world-class magic.\Magic that alters the rules of the world...\Akatsuki, take the reins!\Milord...\I've brought the report.\Thank you.\What am I...\How goes the battle? response:	You seem to have grown quite popular.
context: Magic that alters the rules of the world...\Akatsuki, take the reins!\Milord...\I've brought the report.\Thank you.\What am I...\How goes the battle?\You seem to have grown quite popular. response:	She looked at me!
context: Akatsuki, take the reins!\Milord...\I've brought the report.\Thank you.\What am I...\How goes the battle?\You seem to have grown quite popular.\She looked at me! response:	Northerner girls are total angels!
context: Milord...\I've brought the report.\Thank you.\What am I...\How goes the battle?\You seem to have grown quite popular.\She looked at me!\Northerner girls are total angels! response:	Gotta take a picture... Wait, I can't...
context: I've brought the report.\Thank you.\What am I...\How goes the battle?\You seem to have grown quite popular.\She looked at me!\Northerner girls are total angels!\Gotta take a picture... Wait, I can't... response:	So cute!
context: Thank you.\What am I...\How goes the battle?\You seem to have grown quite popular.\She looked at me!\Northerner girls are total angels!\Gotta take a picture... Wait, I can't...\So cute! response:	Dire wolves.
context: What am I...\How goes the battle?\You seem to have grown quite popular.\She looked at me!\Northerner girls are total angels!\Gotta take a picture... Wait, I can't...\So cute!\Dire wolves. response:	Probably the huge race.
context: How goes the battle?\You seem to have grown quite popular.\She looked at me!\Northerner girls are total angels!\Gotta take a picture... Wait, I can't...\So cute!\Dire wolves.\Probably the huge race. response:	The Goblin King?
context: You seem to have grown quite popular.\She looked at me!\Northerner girls are total angels!\Gotta take a picture... Wait, I can't...\So cute!\Dire wolves.\Probably the huge race.\The Goblin King? response:	He won't leave Seventh Fall.
context: She looked at me!\Northerner girls are total angels!\Gotta take a picture... Wait, I can't...\So cute!\Dire wolves.\Probably the huge race.\The Goblin King?\He won't leave Seventh Fall. response:	Most likely, it's the Goblin General's forces.
context: Northerner girls are total angels!\Gotta take a picture... Wait, I can't...\So cute!\Dire wolves.\Probably the huge race.\The Goblin King?\He won't leave Seventh Fall.\Most likely, it's the Goblin General's forces. response:	Oh...
context: Gotta take a picture... Wait, I can't...\So cute!\Dire wolves.\Probably the huge race.\The Goblin King?\He won't leave Seventh Fall.\Most likely, it's the Goblin General's forces.\Oh... response:	We can clean up their nest later.
context: So cute!\Dire wolves.\Probably the huge race.\The Goblin King?\He won't leave Seventh Fall.\Most likely, it's the Goblin General's forces.\Oh...\We can clean up their nest later. response:	For now, let's murder every single one of the bastards in Zantleaf.
context: Dire wolves.\Probably the huge race.\The Goblin King?\He won't leave Seventh Fall.\Most likely, it's the Goblin General's forces.\Oh...\We can clean up their nest later.\For now, let's murder every single one of the bastards in Zantleaf. response:	I don't know if I can really do it.
context: Probably the huge race.\The Goblin King?\He won't leave Seventh Fall.\Most likely, it's the Goblin General's forces.\Oh...\We can clean up their nest later.\For now, let's murder every single one of the bastards in Zantleaf.\I don't know if I can really do it. response:	And even if it does work...
context: The Goblin King?\He won't leave Seventh Fall.\Most likely, it's the Goblin General's forces.\Oh...\We can clean up their nest later.\For now, let's murder every single one of the bastards in Zantleaf.\I don't know if I can really do it.\And even if it does work... response:	That'll do.
context: He won't leave Seventh Fall.\Most likely, it's the Goblin General's forces.\Oh...\We can clean up their nest later.\For now, let's murder every single one of the bastards in Zantleaf.\I don't know if I can really do it.\And even if it does work...\That'll do. response:	Thanks, Akatsuki.
context: Most likely, it's the Goblin General's forces.\Oh...\We can clean up their nest later.\For now, let's murder every single one of the bastards in Zantleaf.\I don't know if I can really do it.\And even if it does work...\That'll do.\Thanks, Akatsuki. response:	What's wrong?
context: Oh...\We can clean up their nest later.\For now, let's murder every single one of the bastards in Zantleaf.\I don't know if I can really do it.\And even if it does work...\That'll do.\Thanks, Akatsuki.\What's wrong? response:	The Ocypete has reached Choushi.
context: We can clean up their nest later.\For now, let's murder every single one of the bastards in Zantleaf.\I don't know if I can really do it.\And even if it does work...\That'll do.\Thanks, Akatsuki.\What's wrong?\The Ocypete has reached Choushi. response:	But the sahuagin are making landing difficult.
context: For now, let's murder every single one of the bastards in Zantleaf.\I don't know if I can really do it.\And even if it does work...\That'll do.\Thanks, Akatsuki.\What's wrong?\The Ocypete has reached Choushi.\But the sahuagin are making landing difficult. response:	They've begun combat!
context: I don't know if I can really do it.\And even if it does work...\That'll do.\Thanks, Akatsuki.\What's wrong?\The Ocypete has reached Choushi.\But the sahuagin are making landing difficult.\They've begun combat! response:	Everyone! Reinforcements are here!
context: And even if it does work...\That'll do.\Thanks, Akatsuki.\What's wrong?\The Ocypete has reached Choushi.\But the sahuagin are making landing difficult.\They've begun combat!\Everyone! Reinforcements are here! response:	Just a bit more! Just hang on a bit more!
context: That'll do.\Thanks, Akatsuki.\What's wrong?\The Ocypete has reached Choushi.\But the sahuagin are making landing difficult.\They've begun combat!\Everyone! Reinforcements are here!\Just a bit more! Just hang on a bit more! response:	Akatsuki, watch our surroundings.
context: Thanks, Akatsuki.\What's wrong?\The Ocypete has reached Choushi.\But the sahuagin are making landing difficult.\They've begun combat!\Everyone! Reinforcements are here!\Just a bit more! Just hang on a bit more!\Akatsuki, watch our surroundings. response:	Roger.
context: What's wrong?\The Ocypete has reached Choushi.\But the sahuagin are making landing difficult.\They've begun combat!\Everyone! Reinforcements are here!\Just a bit more! Just hang on a bit more!\Akatsuki, watch our surroundings.\Roger. response:	Move everyone away from here.
context: The Ocypete has reached Choushi.\But the sahuagin are making landing difficult.\They've begun combat!\Everyone! Reinforcements are here!\Just a bit more! Just hang on a bit more!\Akatsuki, watch our surroundings.\Roger.\Move everyone away from here. response:	Don't let anyone near, players or monsters!
context: But the sahuagin are making landing difficult.\They've begun combat!\Everyone! Reinforcements are here!\Just a bit more! Just hang on a bit more!\Akatsuki, watch our surroundings.\Roger.\Move everyone away from here.\Don't let anyone near, players or monsters! response:	Leave it to me.
context: They've begun combat!\Everyone! Reinforcements are here!\Just a bit more! Just hang on a bit more!\Akatsuki, watch our surroundings.\Roger.\Move everyone away from here.\Don't let anyone near, players or monsters!\Leave it to me. response:	Shiroe...
context: Everyone! Reinforcements are here!\Just a bit more! Just hang on a bit more!\Akatsuki, watch our surroundings.\Roger.\Move everyone away from here.\Don't let anyone near, players or monsters!\Leave it to me.\Shiroe... response:	Shiroe!
context: Just a bit more! Just hang on a bit more!\Akatsuki, watch our surroundings.\Roger.\Move everyone away from here.\Don't let anyone near, players or monsters!\Leave it to me.\Shiroe...\Shiroe! response:	Is this him?
context: Akatsuki, watch our surroundings.\Roger.\Move everyone away from here.\Don't let anyone near, players or monsters!\Leave it to me.\Shiroe...\Shiroe!\Is this him? response:	Yes.
context: Roger.\Move everyone away from here.\Don't let anyone near, players or monsters!\Leave it to me.\Shiroe...\Shiroe!\Is this him?\Yes. response:	This is Rundel Haus.
