context: From one fierce battle after another, response:	we Alliance members had finally defeated all the members of Oracion Seis!
context: I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\That's him!\Jellal!\Wendy!\You're safe? I'm glad.\Yes.\Jellal... response:	Who are you?
context: How long will I be able to remain anchored at this harbor known as battle?\That's him!\Jellal!\Wendy!\You're safe? I'm glad.\Yes.\Jellal...\Who are you? response:	I knew it... He forgot...
context: That's him!\Jellal!\Wendy!\You're safe? I'm glad.\Yes.\Jellal...\Who are you?\I knew it... He forgot... response:	Jellal's memories are all jumbled up right now.
context: Jellal!\Wendy!\You're safe? I'm glad.\Yes.\Jellal...\Who are you?\I knew it... He forgot...\Jellal's memories are all jumbled up right now. response:	He doesn't seem to remember about you, or me.
context: Wendy!\You're safe? I'm glad.\Yes.\Jellal...\Who are you?\I knew it... He forgot...\Jellal's memories are all jumbled up right now.\He doesn't seem to remember about you, or me. response:	Memories?
context: You're safe? I'm glad.\Yes.\Jellal...\Who are you?\I knew it... He forgot...\Jellal's memories are all jumbled up right now.\He doesn't seem to remember about you, or me.\Memories? response:	I see... Then that's why...
context: Yes.\Jellal...\Who are you?\I knew it... He forgot...\Jellal's memories are all jumbled up right now.\He doesn't seem to remember about you, or me.\Memories?\I see... Then that's why... response:	From Pegasus to the Fairies!
context: Jellal...\Who are you?\I knew it... He forgot...\Jellal's memories are all jumbled up right now.\He doesn't seem to remember about you, or me.\Memories?\I see... Then that's why...\From Pegasus to the Fairies! response:	Wendy Marvel?
context: Who are you?\I knew it... He forgot...\Jellal's memories are all jumbled up right now.\He doesn't seem to remember about you, or me.\Memories?\I see... Then that's why...\From Pegasus to the Fairies!\Wendy Marvel? response:	Did we know each other?
context: I knew it... He forgot...\Jellal's memories are all jumbled up right now.\He doesn't seem to remember about you, or me.\Memories?\I see... Then that's why...\From Pegasus to the Fairies!\Wendy Marvel?\Did we know each other? response:	Please don't tell me you've also forgotten how to stop Nirvana...
context: Jellal's memories are all jumbled up right now.\He doesn't seem to remember about you, or me.\Memories?\I see... Then that's why...\From Pegasus to the Fairies!\Wendy Marvel?\Did we know each other?\Please don't tell me you've also forgotten how to stop Nirvana... response:	W-Well...
context: He doesn't seem to remember about you, or me.\Memories?\I see... Then that's why...\From Pegasus to the Fairies!\Wendy Marvel?\Did we know each other?\Please don't tell me you've also forgotten how to stop Nirvana...\W-Well... response:	A self-destruct magic circle will no longer work.
context: Memories?\I see... Then that's why...\From Pegasus to the Fairies!\Wendy Marvel?\Did we know each other?\Please don't tell me you've also forgotten how to stop Nirvana...\W-Well...\A self-destruct magic circle will no longer work. response:	I don't know of any other way...
context: I see... Then that's why...\From Pegasus to the Fairies!\Wendy Marvel?\Did we know each other?\Please don't tell me you've also forgotten how to stop Nirvana...\W-Well...\A self-destruct magic circle will no longer work.\I don't know of any other way... response:	I apologize.
context: From Pegasus to the Fairies!\Wendy Marvel?\Did we know each other?\Please don't tell me you've also forgotten how to stop Nirvana...\W-Well...\A self-destruct magic circle will no longer work.\I don't know of any other way...\I apologize. response:	But...
context: Wendy Marvel?\Did we know each other?\Please don't tell me you've also forgotten how to stop Nirvana...\W-Well...\A self-destruct magic circle will no longer work.\I don't know of any other way...\I apologize.\But... response:	Hold it right there!
context: Did we know each other?\Please don't tell me you've also forgotten how to stop Nirvana...\W-Well...\A self-destruct magic circle will no longer work.\I don't know of any other way...\I apologize.\But...\Hold it right there! response:	Then, what is going to happen to our guild?
context: Please don't tell me you've also forgotten how to stop Nirvana...\W-Well...\A self-destruct magic circle will no longer work.\I don't know of any other way...\I apologize.\But...\Hold it right there!\Then, what is going to happen to our guild? response:	It's right up ahead!
context: W-Well...\A self-destruct magic circle will no longer work.\I don't know of any other way...\I apologize.\But...\Hold it right there!\Then, what is going to happen to our guild?\It's right up ahead! response:	If we don't stop it soon, then...
context: A self-destruct magic circle will no longer work.\I don't know of any other way...\I apologize.\But...\Hold it right there!\Then, what is going to happen to our guild?\It's right up ahead!\If we don't stop it soon, then... response:	What's that?
context: I don't know of any other way...\I apologize.\But...\Hold it right there!\Then, what is going to happen to our guild?\It's right up ahead!\If we don't stop it soon, then...\What's that? response:	What are you so afraid of? This is our fate.
context: I apologize.\But...\Hold it right there!\Then, what is going to happen to our guild?\It's right up ahead!\If we don't stop it soon, then...\What's that?\What are you so afraid of? This is our fate. response:	Nabula! Punishment for our great sin...
context: But...\Hold it right there!\Then, what is going to happen to our guild?\It's right up ahead!\If we don't stop it soon, then...\What's that?\What are you so afraid of? This is our fate.\Nabula! Punishment for our great sin... response:	Everyone should just be destroyed!
context: Hold it right there!\Then, what is going to happen to our guild?\It's right up ahead!\If we don't stop it soon, then...\What's that?\What are you so afraid of? This is our fate.\Nabula! Punishment for our great sin...\Everyone should just be destroyed! response:	That's...
context: Then, what is going to happen to our guild?\It's right up ahead!\If we don't stop it soon, then...\What's that?\What are you so afraid of? This is our fate.\Nabula! Punishment for our great sin...\Everyone should just be destroyed!\That's... response:	Caitshelter!
context: It's right up ahead!\If we don't stop it soon, then...\What's that?\What are you so afraid of? This is our fate.\Nabula! Punishment for our great sin...\Everyone should just be destroyed!\That's...\Caitshelter! response:	Don't tell me... This light... This magic power...
context: If we don't stop it soon, then...\What's that?\What are you so afraid of? This is our fate.\Nabula! Punishment for our great sin...\Everyone should just be destroyed!\That's...\Caitshelter!\Don't tell me... This light... This magic power... response:	Nirvana is going to fire?!
context: What's that?\What are you so afraid of? This is our fate.\Nabula! Punishment for our great sin...\Everyone should just be destroyed!\That's...\Caitshelter!\Don't tell me... This light... This magic power...\Nirvana is going to fire?! response:	Oh, no!
context: What are you so afraid of? This is our fate.\Nabula! Punishment for our great sin...\Everyone should just be destroyed!\That's...\Caitshelter!\Don't tell me... This light... This magic power...\Nirvana is going to fire?!\Oh, no! response:	Stop it!
context: Nabula! Punishment for our great sin...\Everyone should just be destroyed!\That's...\Caitshelter!\Don't tell me... This light... This magic power...\Nirvana is going to fire?!\Oh, no!\Stop it! response:	What?!
context: Everyone should just be destroyed!\That's...\Caitshelter!\Don't tell me... This light... This magic power...\Nirvana is going to fire?!\Oh, no!\Stop it!\What?! response:	It missed!
context: That's...\Caitshelter!\Don't tell me... This light... This magic power...\Nirvana is going to fire?!\Oh, no!\Stop it!\What?!\It missed! response:	Something has...
context: Caitshelter!\Don't tell me... This light... This magic power...\Nirvana is going to fire?!\Oh, no!\Stop it!\What?!\It missed!\Something has... response:	Men! Men-men-men-men-men...
context: Don't tell me... This light... This magic power...\Nirvana is going to fire?!\Oh, no!\Stop it!\What?!\It missed!\Something has...\Men! Men-men-men-men-men... response:	Ow.
context: Nirvana is going to fire?!\Oh, no!\Stop it!\What?!\It missed!\Something has...\Men! Men-men-men-men-men...\Ow. response:	Nirvana's leg...
context: Oh, no!\Stop it!\What?!\It missed!\Something has...\Men! Men-men-men-men-men...\Ow.\Nirvana's leg... response:	Who could have done this?
context: Stop it!\What?!\It missed!\Something has...\Men! Men-men-men-men-men...\Ow.\Nirvana's leg...\Who could have done this? response:	That's...
context: What?!\It missed!\Something has...\Men! Men-men-men-men-men...\Ow.\Nirvana's leg...\Who could have done this?\That's... response:	The magical bomber, Christina!
context: It missed!\Something has...\Men! Men-men-men-men-men...\Ow.\Nirvana's leg...\Who could have done this?\That's...\The magical bomber, Christina! response:	It's on our side?
context: Something has...\Men! Men-men-men-men-men...\Ow.\Nirvana's leg...\Who could have done this?\That's...\The magical bomber, Christina!\It's on our side? response:	Can you hear me?
context: Men! Men-men-men-men-men...\Ow.\Nirvana's leg...\Who could have done this?\That's...\The magical bomber, Christina!\It's on our side?\Can you hear me? response:	Somebody... Somebody, respond!
context: Ow.\Nirvana's leg...\Who could have done this?\That's...\The magical bomber, Christina!\It's on our side?\Can you hear me?\Somebody... Somebody, respond! response:	If you are safe, please respond!
context: Nirvana's leg...\Who could have done this?\That's...\The magical bomber, Christina!\It's on our side?\Can you hear me?\Somebody... Somebody, respond!\If you are safe, please respond! response:	That voice... Is that you, Hibiki?
context: Who could have done this?\That's...\The magical bomber, Christina!\It's on our side?\Can you hear me?\Somebody... Somebody, respond!\If you are safe, please respond!\That voice... Is that you, Hibiki? response:	Erza-san!
context: That's...\The magical bomber, Christina!\It's on our side?\Can you hear me?\Somebody... Somebody, respond!\If you are safe, please respond!\That voice... Is that you, Hibiki?\Erza-san! response:	And you're safe too, I see, Wendy-chan.
context: The magical bomber, Christina!\It's on our side?\Can you hear me?\Somebody... Somebody, respond!\If you are safe, please respond!\That voice... Is that you, Hibiki?\Erza-san!\And you're safe too, I see, Wendy-chan. response:	By the way, I'm safe as well...
context: It's on our side?\Can you hear me?\Somebody... Somebody, respond!\If you are safe, please respond!\That voice... Is that you, Hibiki?\Erza-san!\And you're safe too, I see, Wendy-chan.\By the way, I'm safe as well... response:	Senpai! Thank goodness.
context: Can you hear me?\Somebody... Somebody, respond!\If you are safe, please respond!\That voice... Is that you, Hibiki?\Erza-san!\And you're safe too, I see, Wendy-chan.\By the way, I'm safe as well...\Senpai! Thank goodness. response:	What happened? I thought Christina was shot down...
context: Somebody... Somebody, respond!\If you are safe, please respond!\That voice... Is that you, Hibiki?\Erza-san!\And you're safe too, I see, Wendy-chan.\By the way, I'm safe as well...\Senpai! Thank goodness.\What happened? I thought Christina was shot down... response:	It was shot out of the sky like nothing by those guys near the entrance to the Woodsea.
context: If you are safe, please respond!\That voice... Is that you, Hibiki?\Erza-san!\And you're safe too, I see, Wendy-chan.\By the way, I'm safe as well...\Senpai! Thank goodness.\What happened? I thought Christina was shot down...\It was shot out of the sky like nothing by those guys near the entrance to the Woodsea. response:	So it could still fly?
context: That voice... Is that you, Hibiki?\Erza-san!\And you're safe too, I see, Wendy-chan.\By the way, I'm safe as well...\Senpai! Thank goodness.\What happened? I thought Christina was shot down...\It was shot out of the sky like nothing by those guys near the entrance to the Woodsea.\So it could still fly? response:	Yeah... We managed, somehow.
context: Erza-san!\And you're safe too, I see, Wendy-chan.\By the way, I'm safe as well...\Senpai! Thank goodness.\What happened? I thought Christina was shot down...\It was shot out of the sky like nothing by those guys near the entrance to the Woodsea.\So it could still fly?\Yeah... We managed, somehow. response:	We're just a temporary alliance, so teamwork is all the more important.
context: And you're safe too, I see, Wendy-chan.\By the way, I'm safe as well...\Senpai! Thank goodness.\What happened? I thought Christina was shot down...\It was shot out of the sky like nothing by those guys near the entrance to the Woodsea.\So it could still fly?\Yeah... We managed, somehow.\We're just a temporary alliance, so teamwork is all the more important. response:	Lyon is using his Creation magic to replace the wing that was destroyed from their attack.
context: By the way, I'm safe as well...\Senpai! Thank goodness.\What happened? I thought Christina was shot down...\It was shot out of the sky like nothing by those guys near the entrance to the Woodsea.\So it could still fly?\Yeah... We managed, somehow.\We're just a temporary alliance, so teamwork is all the more important.\Lyon is using his Creation magic to replace the wing that was destroyed from their attack. response:	This is pretty tough...
context: Senpai! Thank goodness.\What happened? I thought Christina was shot down...\It was shot out of the sky like nothing by those guys near the entrance to the Woodsea.\So it could still fly?\Yeah... We managed, somehow.\We're just a temporary alliance, so teamwork is all the more important.\Lyon is using his Creation magic to replace the wing that was destroyed from their attack.\This is pretty tough... response:	The hull, which was split into pieces,
context: What happened? I thought Christina was shot down...\It was shot out of the sky like nothing by those guys near the entrance to the Woodsea.\So it could still fly?\Yeah... We managed, somehow.\We're just a temporary alliance, so teamwork is all the more important.\Lyon is using his Creation magic to replace the wing that was destroyed from their attack.\This is pretty tough...\The hull, which was split into pieces, response:	is being held together by Sherry-san's Doll Attack and Ren's Air Magic.
context: It was shot out of the sky like nothing by those guys near the entrance to the Woodsea.\So it could still fly?\Yeah... We managed, somehow.\We're just a temporary alliance, so teamwork is all the more important.\Lyon is using his Creation magic to replace the wing that was destroyed from their attack.\This is pretty tough...\The hull, which was split into pieces,\is being held together by Sherry-san's Doll Attack and Ren's Air Magic. response:	I've never manipulated something so big!
context: So it could still fly?\Yeah... We managed, somehow.\We're just a temporary alliance, so teamwork is all the more important.\Lyon is using his Creation magic to replace the wing that was destroyed from their attack.\This is pretty tough...\The hull, which was split into pieces,\is being held together by Sherry-san's Doll Attack and Ren's Air Magic.\I've never manipulated something so big! response:	Y-You call this h-heavy?
context: Yeah... We managed, somehow.\We're just a temporary alliance, so teamwork is all the more important.\Lyon is using his Creation magic to replace the wing that was destroyed from their attack.\This is pretty tough...\The hull, which was split into pieces,\is being held together by Sherry-san's Doll Attack and Ren's Air Magic.\I've never manipulated something so big!\Y-You call this h-heavy? response:	The attack from before was Eve's Snow Magic.
context: We're just a temporary alliance, so teamwork is all the more important.\Lyon is using his Creation magic to replace the wing that was destroyed from their attack.\This is pretty tough...\The hull, which was split into pieces,\is being held together by Sherry-san's Doll Attack and Ren's Air Magic.\I've never manipulated something so big!\Y-You call this h-heavy?\The attack from before was Eve's Snow Magic. response:	You guys...
context: Lyon is using his Creation magic to replace the wing that was destroyed from their attack.\This is pretty tough...\The hull, which was split into pieces,\is being held together by Sherry-san's Doll Attack and Ren's Air Magic.\I've never manipulated something so big!\Y-You call this h-heavy?\The attack from before was Eve's Snow Magic.\You guys... response:	I fused together the magic bombs that Christina had on board,
context: This is pretty tough...\The hull, which was split into pieces,\is being held together by Sherry-san's Doll Attack and Ren's Air Magic.\I've never manipulated something so big!\Y-You call this h-heavy?\The attack from before was Eve's Snow Magic.\You guys...\I fused together the magic bombs that Christina had on board, response:	but all we could take out was one leg...
context: The hull, which was split into pieces,\is being held together by Sherry-san's Doll Attack and Ren's Air Magic.\I've never manipulated something so big!\Y-You call this h-heavy?\The attack from before was Eve's Snow Magic.\You guys...\I fused together the magic bombs that Christina had on board,\but all we could take out was one leg... response:	It's... just that sturdy...
context: is being held together by Sherry-san's Doll Attack and Ren's Air Magic.\I've never manipulated something so big!\Y-You call this h-heavy?\The attack from before was Eve's Snow Magic.\You guys...\I fused together the magic bombs that Christina had on board,\but all we could take out was one leg...\It's... just that sturdy... response:	And... now... my magic power is...
context: I've never manipulated something so big!\Y-You call this h-heavy?\The attack from before was Eve's Snow Magic.\You guys...\I fused together the magic bombs that Christina had on board,\but all we could take out was one leg...\It's... just that sturdy...\And... now... my magic power is... response:	Eve...
context: Y-You call this h-heavy?\The attack from before was Eve's Snow Magic.\You guys...\I fused together the magic bombs that Christina had on board,\but all we could take out was one leg...\It's... just that sturdy...\And... now... my magic power is...\Eve... response:	Eve, hang in there!
context: The attack from before was Eve's Snow Magic.\You guys...\I fused together the magic bombs that Christina had on board,\but all we could take out was one leg...\It's... just that sturdy...\And... now... my magic power is...\Eve...\Eve, hang in there! response:	I'm not doing so well over here, either!
context: You guys...\I fused together the magic bombs that Christina had on board,\but all we could take out was one leg...\It's... just that sturdy...\And... now... my magic power is...\Eve...\Eve, hang in there!\I'm not doing so well over here, either! response:	Not yet! A little more!
context: I fused together the magic bombs that Christina had on board,\but all we could take out was one leg...\It's... just that sturdy...\And... now... my magic power is...\Eve...\Eve, hang in there!\I'm not doing so well over here, either!\Not yet! A little more! response:	Everyone...
context: but all we could take out was one leg...\It's... just that sturdy...\And... now... my magic power is...\Eve...\Eve, hang in there!\I'm not doing so well over here, either!\Not yet! A little more!\Everyone... response:	Thank you...
context: It's... just that sturdy...\And... now... my magic power is...\Eve...\Eve, hang in there!\I'm not doing so well over here, either!\Not yet! A little more!\Everyone...\Thank you... response:	Thank you, everyone!
context: And... now... my magic power is...\Eve...\Eve, hang in there!\I'm not doing so well over here, either!\Not yet! A little more!\Everyone...\Thank you...\Thank you, everyone! response:	As you can hear, we're reaching the limit of our magic power.
context: Eve...\Eve, hang in there!\I'm not doing so well over here, either!\Not yet! A little more!\Everyone...\Thank you...\Thank you, everyone!\As you can hear, we're reaching the limit of our magic power. response:	We can't attack from the ship any longer.
context: Eve, hang in there!\I'm not doing so well over here, either!\Not yet! A little more!\Everyone...\Thank you...\Thank you, everyone!\As you can hear, we're reaching the limit of our magic power.\We can't attack from the ship any longer. response:	And I don't know how long we'll be able to stay in the air.
context: I'm not doing so well over here, either!\Not yet! A little more!\Everyone...\Thank you...\Thank you, everyone!\As you can hear, we're reaching the limit of our magic power.\We can't attack from the ship any longer.\And I don't know how long we'll be able to stay in the air. response:	Don't worry about us.
context: Not yet! A little more!\Everyone...\Thank you...\Thank you, everyone!\As you can hear, we're reaching the limit of our magic power.\We can't attack from the ship any longer.\And I don't know how long we'll be able to stay in the air.\Don't worry about us. response:	Just listen to this, before it's too late.
context: Everyone...\Thank you...\Thank you, everyone!\As you can hear, we're reaching the limit of our magic power.\We can't attack from the ship any longer.\And I don't know how long we'll be able to stay in the air.\Don't worry about us.\Just listen to this, before it's too late. response:	It took a long time, but I finally found it inside the Archive!
context: Thank you...\Thank you, everyone!\As you can hear, we're reaching the limit of our magic power.\We can't attack from the ship any longer.\And I don't know how long we'll be able to stay in the air.\Don't worry about us.\Just listen to this, before it's too late.\It took a long time, but I finally found it inside the Archive! response:	The way to stop Nirvana!
context: Thank you, everyone!\As you can hear, we're reaching the limit of our magic power.\We can't attack from the ship any longer.\And I don't know how long we'll be able to stay in the air.\Don't worry about us.\Just listen to this, before it's too late.\It took a long time, but I finally found it inside the Archive!\The way to stop Nirvana! response:	Really?
context: As you can hear, we're reaching the limit of our magic power.\We can't attack from the ship any longer.\And I don't know how long we'll be able to stay in the air.\Don't worry about us.\Just listen to this, before it's too late.\It took a long time, but I finally found it inside the Archive!\The way to stop Nirvana!\Really? response:	Nirvana has six leg-looking things, right?
context: We can't attack from the ship any longer.\And I don't know how long we'll be able to stay in the air.\Don't worry about us.\Just listen to this, before it's too late.\It took a long time, but I finally found it inside the Archive!\The way to stop Nirvana!\Really?\Nirvana has six leg-looking things, right? response:	They're actually more like pipes that suck up magic energy from the earth itself.
context: And I don't know how long we'll be able to stay in the air.\Don't worry about us.\Just listen to this, before it's too late.\It took a long time, but I finally found it inside the Archive!\The way to stop Nirvana!\Really?\Nirvana has six leg-looking things, right?\They're actually more like pipes that suck up magic energy from the earth itself. response:	The lacrima that regulate that absorption are located where the 6 legs join the main body.
context: Don't worry about us.\Just listen to this, before it's too late.\It took a long time, but I finally found it inside the Archive!\The way to stop Nirvana!\Really?\Nirvana has six leg-looking things, right?\They're actually more like pipes that suck up magic energy from the earth itself.\The lacrima that regulate that absorption are located where the 6 legs join the main body. response:	If you destroy those 6 lacrima in different locations at the same time,
context: Just listen to this, before it's too late.\It took a long time, but I finally found it inside the Archive!\The way to stop Nirvana!\Really?\Nirvana has six leg-looking things, right?\They're actually more like pipes that suck up magic energy from the earth itself.\The lacrima that regulate that absorption are located where the 6 legs join the main body.\If you destroy those 6 lacrima in different locations at the same time, response:	Nirvana will be completely deactivated.
context: It took a long time, but I finally found it inside the Archive!\The way to stop Nirvana!\Really?\Nirvana has six leg-looking things, right?\They're actually more like pipes that suck up magic energy from the earth itself.\The lacrima that regulate that absorption are located where the 6 legs join the main body.\If you destroy those 6 lacrima in different locations at the same time,\Nirvana will be completely deactivated. response:	One at a time won't work.
context: The way to stop Nirvana!\Really?\Nirvana has six leg-looking things, right?\They're actually more like pipes that suck up magic energy from the earth itself.\The lacrima that regulate that absorption are located where the 6 legs join the main body.\If you destroy those 6 lacrima in different locations at the same time,\Nirvana will be completely deactivated.\One at a time won't work. response:	The other lacrima will regenerate the one that was destroyed.
context: Really?\Nirvana has six leg-looking things, right?\They're actually more like pipes that suck up magic energy from the earth itself.\The lacrima that regulate that absorption are located where the 6 legs join the main body.\If you destroy those 6 lacrima in different locations at the same time,\Nirvana will be completely deactivated.\One at a time won't work.\The other lacrima will regenerate the one that was destroyed. response:	Destroy six lacrima in different places simultaneously?
context: Nirvana has six leg-looking things, right?\They're actually more like pipes that suck up magic energy from the earth itself.\The lacrima that regulate that absorption are located where the 6 legs join the main body.\If you destroy those 6 lacrima in different locations at the same time,\Nirvana will be completely deactivated.\One at a time won't work.\The other lacrima will regenerate the one that was destroyed.\Destroy six lacrima in different places simultaneously? response:	But how?
context: They're actually more like pipes that suck up magic energy from the earth itself.\The lacrima that regulate that absorption are located where the 6 legs join the main body.\If you destroy those 6 lacrima in different locations at the same time,\Nirvana will be completely deactivated.\One at a time won't work.\The other lacrima will regenerate the one that was destroyed.\Destroy six lacrima in different places simultaneously?\But how? response:	I'd like to coordinate the timing...
context: The lacrima that regulate that absorption are located where the 6 legs join the main body.\If you destroy those 6 lacrima in different locations at the same time,\Nirvana will be completely deactivated.\One at a time won't work.\The other lacrima will regenerate the one that was destroyed.\Destroy six lacrima in different places simultaneously?\But how?\I'd like to coordinate the timing... response:	But I don't think I can keep the telepathy up that long.
context: If you destroy those 6 lacrima in different locations at the same time,\Nirvana will be completely deactivated.\One at a time won't work.\The other lacrima will regenerate the one that was destroyed.\Destroy six lacrima in different places simultaneously?\But how?\I'd like to coordinate the timing...\But I don't think I can keep the telepathy up that long. response:	I've uploaded the timing to your brains.
context: Nirvana will be completely deactivated.\One at a time won't work.\The other lacrima will regenerate the one that was destroyed.\Destroy six lacrima in different places simultaneously?\But how?\I'd like to coordinate the timing...\But I don't think I can keep the telepathy up that long.\I've uploaded the timing to your brains. response:	20 minutes?
context: One at a time won't work.\The other lacrima will regenerate the one that was destroyed.\Destroy six lacrima in different places simultaneously?\But how?\I'd like to coordinate the timing...\But I don't think I can keep the telepathy up that long.\I've uploaded the timing to your brains.\20 minutes? response:	Nirvana is almost ready to fire again.
context: The other lacrima will regenerate the one that was destroyed.\Destroy six lacrima in different places simultaneously?\But how?\I'd like to coordinate the timing...\But I don't think I can keep the telepathy up that long.\I've uploaded the timing to your brains.\20 minutes?\Nirvana is almost ready to fire again. response:	Six lacrima...
context: Destroy six lacrima in different places simultaneously?\But how?\I'd like to coordinate the timing...\But I don't think I can keep the telepathy up that long.\I've uploaded the timing to your brains.\20 minutes?\Nirvana is almost ready to fire again.\Six lacrima... response:	I just know you all can do it!
context: But how?\I'd like to coordinate the timing...\But I don't think I can keep the telepathy up that long.\I've uploaded the timing to your brains.\20 minutes?\Nirvana is almost ready to fire again.\Six lacrima...\I just know you all can do it! response:	I believe in you!
context: I'd like to coordinate the timing...\But I don't think I can keep the telepathy up that long.\I've uploaded the timing to your brains.\20 minutes?\Nirvana is almost ready to fire again.\Six lacrima...\I just know you all can do it!\I believe in you! response:	Impossible!
context: But I don't think I can keep the telepathy up that long.\I've uploaded the timing to your brains.\20 minutes?\Nirvana is almost ready to fire again.\Six lacrima...\I just know you all can do it!\I believe in you!\Impossible! response:	Who is that?
context: I've uploaded the timing to your brains.\20 minutes?\Nirvana is almost ready to fire again.\Six lacrima...\I just know you all can do it!\I believe in you!\Impossible!\Who is that? response:	That voice...
context: 20 minutes?\Nirvana is almost ready to fire again.\Six lacrima...\I just know you all can do it!\I believe in you!\Impossible!\Who is that?\That voice... response:	It's the guy called Brain!
context: Nirvana is almost ready to fire again.\Six lacrima...\I just know you all can do it!\I believe in you!\Impossible!\Who is that?\That voice...\It's the guy called Brain! response:	He's jacked my telepathy?
context: Six lacrima...\I just know you all can do it!\I believe in you!\Impossible!\Who is that?\That voice...\It's the guy called Brain!\He's jacked my telepathy? response:	I am Zero!
context: I just know you all can do it!\I believe in you!\Impossible!\Who is that?\That voice...\It's the guy called Brain!\He's jacked my telepathy?\I am Zero! response:	Zero... The Master of Oracion Seis!
context: I believe in you!\Impossible!\Who is that?\That voice...\It's the guy called Brain!\He's jacked my telepathy?\I am Zero!\Zero... The Master of Oracion Seis! response:	Oracian Seis's master?
context: Impossible!\Who is that?\That voice...\It's the guy called Brain!\He's jacked my telepathy?\I am Zero!\Zero... The Master of Oracion Seis!\Oracian Seis's master? response:	First, let me praise you.
context: Who is that?\That voice...\It's the guy called Brain!\He's jacked my telepathy?\I am Zero!\Zero... The Master of Oracion Seis!\Oracian Seis's master?\First, let me praise you. response:	I never thought there would be someone who could use Archive like Brain.
context: That voice...\It's the guy called Brain!\He's jacked my telepathy?\I am Zero!\Zero... The Master of Oracion Seis!\Oracian Seis's master?\First, let me praise you.\I never thought there would be someone who could use Archive like Brain. response:	I see. So he knew about Nirvana because of his Archive.
context: It's the guy called Brain!\He's jacked my telepathy?\I am Zero!\Zero... The Master of Oracion Seis!\Oracian Seis's master?\First, let me praise you.\I never thought there would be someone who could use Archive like Brain.\I see. So he knew about Nirvana because of his Archive. response:	Listen well, wizards of the light!
context: He's jacked my telepathy?\I am Zero!\Zero... The Master of Oracion Seis!\Oracian Seis's master?\First, let me praise you.\I never thought there would be someone who could use Archive like Brain.\I see. So he knew about Nirvana because of his Archive.\Listen well, wizards of the light! response:	Starting now, I will destroy everything!
context: I am Zero!\Zero... The Master of Oracion Seis!\Oracian Seis's master?\First, let me praise you.\I never thought there would be someone who could use Archive like Brain.\I see. So he knew about Nirvana because of his Archive.\Listen well, wizards of the light!\Starting now, I will destroy everything! response:	As a start, I have destroyed three of your friends.
context: Zero... The Master of Oracion Seis!\Oracian Seis's master?\First, let me praise you.\I never thought there would be someone who could use Archive like Brain.\I see. So he knew about Nirvana because of his Archive.\Listen well, wizards of the light!\Starting now, I will destroy everything!\As a start, I have destroyed three of your friends. response:	A Dragon Slayer...
context: Oracian Seis's master?\First, let me praise you.\I never thought there would be someone who could use Archive like Brain.\I see. So he knew about Nirvana because of his Archive.\Listen well, wizards of the light!\Starting now, I will destroy everything!\As a start, I have destroyed three of your friends.\A Dragon Slayer... response:	An Ice Creation Wizard...
context: First, let me praise you.\I never thought there would be someone who could use Archive like Brain.\I see. So he knew about Nirvana because of his Archive.\Listen well, wizards of the light!\Starting now, I will destroy everything!\As a start, I have destroyed three of your friends.\A Dragon Slayer...\An Ice Creation Wizard... response:	A Celestial Spirit Wizard!
