context: What's the matter? response:	You can't stand?
context: You're not fit to be a martial artist.\I am expelling you from this dojo as of today.\Don't ever come back again.\Bang is acting strange?\The Hunt Begins\He suddenly said we were going to do a lesson, then beat the crap out of me.\I can't believe someone as kind as Master Bang would do this.\There has to be a reason. response:	I came here because I thought you guys might know something.
context: I am expelling you from this dojo as of today.\Don't ever come back again.\Bang is acting strange?\The Hunt Begins\He suddenly said we were going to do a lesson, then beat the crap out of me.\I can't believe someone as kind as Master Bang would do this.\There has to be a reason.\I came here because I thought you guys might know something. response:	I have no idea.
context: Don't ever come back again.\Bang is acting strange?\The Hunt Begins\He suddenly said we were going to do a lesson, then beat the crap out of me.\I can't believe someone as kind as Master Bang would do this.\There has to be a reason.\I came here because I thought you guys might know something.\I have no idea. response:	Bang? You mean the Class S Silverfang?
context: Bang is acting strange?\The Hunt Begins\He suddenly said we were going to do a lesson, then beat the crap out of me.\I can't believe someone as kind as Master Bang would do this.\There has to be a reason.\I came here because I thought you guys might know something.\I have no idea.\Bang? You mean the Class S Silverfang? response:	Once you're done talking, let's continue our game.
context: The Hunt Begins\He suddenly said we were going to do a lesson, then beat the crap out of me.\I can't believe someone as kind as Master Bang would do this.\There has to be a reason.\I came here because I thought you guys might know something.\I have no idea.\Bang? You mean the Class S Silverfang?\Once you're done talking, let's continue our game. response:	There seem to be more of you here now...
context: He suddenly said we were going to do a lesson, then beat the crap out of me.\I can't believe someone as kind as Master Bang would do this.\There has to be a reason.\I came here because I thought you guys might know something.\I have no idea.\Bang? You mean the Class S Silverfang?\Once you're done talking, let's continue our game.\There seem to be more of you here now... response:	I can at least guess what's going on.
context: I can't believe someone as kind as Master Bang would do this.\There has to be a reason.\I came here because I thought you guys might know something.\I have no idea.\Bang? You mean the Class S Silverfang?\Once you're done talking, let's continue our game.\There seem to be more of you here now...\I can at least guess what's going on. response:	I'm assuming that Garo is somehow involved.
context: There has to be a reason.\I came here because I thought you guys might know something.\I have no idea.\Bang? You mean the Class S Silverfang?\Once you're done talking, let's continue our game.\There seem to be more of you here now...\I can at least guess what's going on.\I'm assuming that Garo is somehow involved. response:	Garo?!
context: I came here because I thought you guys might know something.\I have no idea.\Bang? You mean the Class S Silverfang?\Once you're done talking, let's continue our game.\There seem to be more of you here now...\I can at least guess what's going on.\I'm assuming that Garo is somehow involved.\Garo?! response:	You mean the guy who was expelled from our dojo? Why him?
context: I have no idea.\Bang? You mean the Class S Silverfang?\Once you're done talking, let's continue our game.\There seem to be more of you here now...\I can at least guess what's going on.\I'm assuming that Garo is somehow involved.\Garo?!\You mean the guy who was expelled from our dojo? Why him? response:	What? You haven't heard?
context: Bang? You mean the Class S Silverfang?\Once you're done talking, let's continue our game.\There seem to be more of you here now...\I can at least guess what's going on.\I'm assuming that Garo is somehow involved.\Garo?!\You mean the guy who was expelled from our dojo? Why him?\What? You haven't heard? response:	Bang's former disciple, Garo,
context: Once you're done talking, let's continue our game.\There seem to be more of you here now...\I can at least guess what's going on.\I'm assuming that Garo is somehow involved.\Garo?!\You mean the guy who was expelled from our dojo? Why him?\What? You haven't heard?\Bang's former disciple, Garo, response:	has been classified as an evil monster and is wanted by the Hero Association.
context: There seem to be more of you here now...\I can at least guess what's going on.\I'm assuming that Garo is somehow involved.\Garo?!\You mean the guy who was expelled from our dojo? Why him?\What? You haven't heard?\Bang's former disciple, Garo,\has been classified as an evil monster and is wanted by the Hero Association. response:	Bang said he'd bring him down himself.
context: I can at least guess what's going on.\I'm assuming that Garo is somehow involved.\Garo?!\You mean the guy who was expelled from our dojo? Why him?\What? You haven't heard?\Bang's former disciple, Garo,\has been classified as an evil monster and is wanted by the Hero Association.\Bang said he'd bring him down himself. response:	Monster? Garo?
context: I'm assuming that Garo is somehow involved.\Garo?!\You mean the guy who was expelled from our dojo? Why him?\What? You haven't heard?\Bang's former disciple, Garo,\has been classified as an evil monster and is wanted by the Hero Association.\Bang said he'd bring him down himself.\Monster? Garo? response:	Apparently, there was an incident at the Hero Association HQ.
context: Garo?!\You mean the guy who was expelled from our dojo? Why him?\What? You haven't heard?\Bang's former disciple, Garo,\has been classified as an evil monster and is wanted by the Hero Association.\Bang said he'd bring him down himself.\Monster? Garo?\Apparently, there was an incident at the Hero Association HQ. response:	The Association's trying to hide it,
context: You mean the guy who was expelled from our dojo? Why him?\What? You haven't heard?\Bang's former disciple, Garo,\has been classified as an evil monster and is wanted by the Hero Association.\Bang said he'd bring him down himself.\Monster? Garo?\Apparently, there was an incident at the Hero Association HQ.\The Association's trying to hide it, response:	but if there's an intense battle, bystanders are sure to get hurt.
context: What? You haven't heard?\Bang's former disciple, Garo,\has been classified as an evil monster and is wanted by the Hero Association.\Bang said he'd bring him down himself.\Monster? Garo?\Apparently, there was an incident at the Hero Association HQ.\The Association's trying to hide it,\but if there's an intense battle, bystanders are sure to get hurt. response:	That's probably why Bang wanted to distance you from it all.
context: Bang's former disciple, Garo,\has been classified as an evil monster and is wanted by the Hero Association.\Bang said he'd bring him down himself.\Monster? Garo?\Apparently, there was an incident at the Hero Association HQ.\The Association's trying to hide it,\but if there's an intense battle, bystanders are sure to get hurt.\That's probably why Bang wanted to distance you from it all. response:	I see...
context: has been classified as an evil monster and is wanted by the Hero Association.\Bang said he'd bring him down himself.\Monster? Garo?\Apparently, there was an incident at the Hero Association HQ.\The Association's trying to hide it,\but if there's an intense battle, bystanders are sure to get hurt.\That's probably why Bang wanted to distance you from it all.\I see... response:	Master Bang, am I just holding you back?
context: Bang said he'd bring him down himself.\Monster? Garo?\Apparently, there was an incident at the Hero Association HQ.\The Association's trying to hide it,\but if there's an intense battle, bystanders are sure to get hurt.\That's probably why Bang wanted to distance you from it all.\I see...\Master Bang, am I just holding you back? response:	What do you think about Bang's actions, Master Saitama?
context: Monster? Garo?\Apparently, there was an incident at the Hero Association HQ.\The Association's trying to hide it,\but if there's an intense battle, bystanders are sure to get hurt.\That's probably why Bang wanted to distance you from it all.\I see...\Master Bang, am I just holding you back?\What do you think about Bang's actions, Master Saitama? response:	It's not like I'm that close with that old man.
context: Apparently, there was an incident at the Hero Association HQ.\The Association's trying to hide it,\but if there's an intense battle, bystanders are sure to get hurt.\That's probably why Bang wanted to distance you from it all.\I see...\Master Bang, am I just holding you back?\What do you think about Bang's actions, Master Saitama?\It's not like I'm that close with that old man. response:	Silverfang, huh? That's such a good hero name.
context: The Association's trying to hide it,\but if there's an intense battle, bystanders are sure to get hurt.\That's probably why Bang wanted to distance you from it all.\I see...\Master Bang, am I just holding you back?\What do you think about Bang's actions, Master Saitama?\It's not like I'm that close with that old man.\Silverfang, huh? That's such a good hero name. response:	Silverfang
context: but if there's an intense battle, bystanders are sure to get hurt.\That's probably why Bang wanted to distance you from it all.\I see...\Master Bang, am I just holding you back?\What do you think about Bang's actions, Master Saitama?\It's not like I'm that close with that old man.\Silverfang, huh? That's such a good hero name.\Silverfang response:	Bald Cape
context: That's probably why Bang wanted to distance you from it all.\I see...\Master Bang, am I just holding you back?\What do you think about Bang's actions, Master Saitama?\It's not like I'm that close with that old man.\Silverfang, huh? That's such a good hero name.\Silverfang\Bald Cape response:	What the hell is Bald Cape even supposed to mean?
context: I see...\Master Bang, am I just holding you back?\What do you think about Bang's actions, Master Saitama?\It's not like I'm that close with that old man.\Silverfang, huh? That's such a good hero name.\Silverfang\Bald Cape\What the hell is Bald Cape even supposed to mean? response:	There's one thing that's bothering me.
context: Master Bang, am I just holding you back?\What do you think about Bang's actions, Master Saitama?\It's not like I'm that close with that old man.\Silverfang, huh? That's such a good hero name.\Silverfang\Bald Cape\What the hell is Bald Cape even supposed to mean?\There's one thing that's bothering me. response:	Who are you?
context: What do you think about Bang's actions, Master Saitama?\It's not like I'm that close with that old man.\Silverfang, huh? That's such a good hero name.\Silverfang\Bald Cape\What the hell is Bald Cape even supposed to mean?\There's one thing that's bothering me.\Who are you? response:	Master, he's some small fry named Charanko. He's Bang's current number one student.
context: It's not like I'm that close with that old man.\Silverfang, huh? That's such a good hero name.\Silverfang\Bald Cape\What the hell is Bald Cape even supposed to mean?\There's one thing that's bothering me.\Who are you?\Master, he's some small fry named Charanko. He's Bang's current number one student. response:	We've met him before.
context: Silverfang, huh? That's such a good hero name.\Silverfang\Bald Cape\What the hell is Bald Cape even supposed to mean?\There's one thing that's bothering me.\Who are you?\Master, he's some small fry named Charanko. He's Bang's current number one student.\We've met him before. response:	Huh? Have we?
context: Silverfang\Bald Cape\What the hell is Bald Cape even supposed to mean?\There's one thing that's bothering me.\Who are you?\Master, he's some small fry named Charanko. He's Bang's current number one student.\We've met him before.\Huh? Have we? response:	I can't keep holding him back forever.
context: Bald Cape\What the hell is Bald Cape even supposed to mean?\There's one thing that's bothering me.\Who are you?\Master, he's some small fry named Charanko. He's Bang's current number one student.\We've met him before.\Huh? Have we?\I can't keep holding him back forever. response:	I need to take care of Garo for Master Bang.
context: What the hell is Bald Cape even supposed to mean?\There's one thing that's bothering me.\Who are you?\Master, he's some small fry named Charanko. He's Bang's current number one student.\We've met him before.\Huh? Have we?\I can't keep holding him back forever.\I need to take care of Garo for Master Bang. response:	But I guess there's no way I'll find him that easily.
context: There's one thing that's bothering me.\Who are you?\Master, he's some small fry named Charanko. He's Bang's current number one student.\We've met him before.\Huh? Have we?\I can't keep holding him back forever.\I need to take care of Garo for Master Bang.\But I guess there's no way I'll find him that easily. response:	Even if I happen to find Garo, I
context: Who are you?\Master, he's some small fry named Charanko. He's Bang's current number one student.\We've met him before.\Huh? Have we?\I can't keep holding him back forever.\I need to take care of Garo for Master Bang.\But I guess there's no way I'll find him that easily.\Even if I happen to find Garo, I response:	Hey, you.
context: Master, he's some small fry named Charanko. He's Bang's current number one student.\We've met him before.\Huh? Have we?\I can't keep holding him back forever.\I need to take care of Garo for Master Bang.\But I guess there's no way I'll find him that easily.\Even if I happen to find Garo, I\Hey, you. response:	You're a hero, aren't you?
context: We've met him before.\Huh? Have we?\I can't keep holding him back forever.\I need to take care of Garo for Master Bang.\But I guess there's no way I'll find him that easily.\Even if I happen to find Garo, I\Hey, you.\You're a hero, aren't you? response:	I am indeed. My name is Mumen Rider.
context: Huh? Have we?\I can't keep holding him back forever.\I need to take care of Garo for Master Bang.\But I guess there's no way I'll find him that easily.\Even if I happen to find Garo, I\Hey, you.\You're a hero, aren't you?\I am indeed. My name is Mumen Rider. response:	Class C Rank 1 Mumen Rider
context: I can't keep holding him back forever.\I need to take care of Garo for Master Bang.\But I guess there's no way I'll find him that easily.\Even if I happen to find Garo, I\Hey, you.\You're a hero, aren't you?\I am indeed. My name is Mumen Rider.\Class C Rank 1 Mumen Rider response:	I'm going to hunt you.
context: I need to take care of Garo for Master Bang.\But I guess there's no way I'll find him that easily.\Even if I happen to find Garo, I\Hey, you.\You're a hero, aren't you?\I am indeed. My name is Mumen Rider.\Class C Rank 1 Mumen Rider\I'm going to hunt you. response:	What do you mean by hunt? You don't seem like a fan of mine.
context: But I guess there's no way I'll find him that easily.\Even if I happen to find Garo, I\Hey, you.\You're a hero, aren't you?\I am indeed. My name is Mumen Rider.\Class C Rank 1 Mumen Rider\I'm going to hunt you.\What do you mean by hunt? You don't seem like a fan of mine. response:	Help me become a true monster.
context: Even if I happen to find Garo, I\Hey, you.\You're a hero, aren't you?\I am indeed. My name is Mumen Rider.\Class C Rank 1 Mumen Rider\I'm going to hunt you.\What do you mean by hunt? You don't seem like a fan of mine.\Help me become a true monster. response:	Found you!
context: Hey, you.\You're a hero, aren't you?\I am indeed. My name is Mumen Rider.\Class C Rank 1 Mumen Rider\I'm going to hunt you.\What do you mean by hunt? You don't seem like a fan of mine.\Help me become a true monster.\Found you! response:	You sure that's him?
context: You're a hero, aren't you?\I am indeed. My name is Mumen Rider.\Class C Rank 1 Mumen Rider\I'm going to hunt you.\What do you mean by hunt? You don't seem like a fan of mine.\Help me become a true monster.\Found you!\You sure that's him? response:	It sure is.
context: I am indeed. My name is Mumen Rider.\Class C Rank 1 Mumen Rider\I'm going to hunt you.\What do you mean by hunt? You don't seem like a fan of mine.\Help me become a true monster.\Found you!\You sure that's him?\It sure is. response:	Hey! I came to repay you for the other da
context: Class C Rank 1 Mumen Rider\I'm going to hunt you.\What do you mean by hunt? You don't seem like a fan of mine.\Help me become a true monster.\Found you!\You sure that's him?\It sure is.\Hey! I came to repay you for the other da response:	You came to get revenge, Tank-Top Vegetarian?
context: I'm going to hunt you.\What do you mean by hunt? You don't seem like a fan of mine.\Help me become a true monster.\Found you!\You sure that's him?\It sure is.\Hey! I came to repay you for the other da\You came to get revenge, Tank-Top Vegetarian? response:	Well, aren't you an adorable fool, coming here to throw away the life you
context: What do you mean by hunt? You don't seem like a fan of mine.\Help me become a true monster.\Found you!\You sure that's him?\It sure is.\Hey! I came to repay you for the other da\You came to get revenge, Tank-Top Vegetarian?\Well, aren't you an adorable fool, coming here to throw away the life you response:	were given a second chance at?
context: Help me become a true monster.\Found you!\You sure that's him?\It sure is.\Hey! I came to repay you for the other da\You came to get revenge, Tank-Top Vegetarian?\Well, aren't you an adorable fool, coming here to throw away the life you\were given a second chance at? response:	I'll kill the rest of your musclehead buddies, too.
context: Found you!\You sure that's him?\It sure is.\Hey! I came to repay you for the other da\You came to get revenge, Tank-Top Vegetarian?\Well, aren't you an adorable fool, coming here to throw away the life you\were given a second chance at?\I'll kill the rest of your musclehead buddies, too. response:	Die!
context: You sure that's him?\It sure is.\Hey! I came to repay you for the other da\You came to get revenge, Tank-Top Vegetarian?\Well, aren't you an adorable fool, coming here to throw away the life you\were given a second chance at?\I'll kill the rest of your musclehead buddies, too.\Die! response:	What?
context: It sure is.\Hey! I came to repay you for the other da\You came to get revenge, Tank-Top Vegetarian?\Well, aren't you an adorable fool, coming here to throw away the life you\were given a second chance at?\I'll kill the rest of your musclehead buddies, too.\Die!\What? response:	I heard you gave my bro a hard time.
context: Hey! I came to repay you for the other da\You came to get revenge, Tank-Top Vegetarian?\Well, aren't you an adorable fool, coming here to throw away the life you\were given a second chance at?\I'll kill the rest of your musclehead buddies, too.\Die!\What?\I heard you gave my bro a hard time. response:	Class S Rank 16 Tank-Top Master
context: You came to get revenge, Tank-Top Vegetarian?\Well, aren't you an adorable fool, coming here to throw away the life you\were given a second chance at?\I'll kill the rest of your musclehead buddies, too.\Die!\What?\I heard you gave my bro a hard time.\Class S Rank 16 Tank-Top Master response:	A Class S?!
context: Well, aren't you an adorable fool, coming here to throw away the life you\were given a second chance at?\I'll kill the rest of your musclehead buddies, too.\Die!\What?\I heard you gave my bro a hard time.\Class S Rank 16 Tank-Top Master\A Class S?! response:	I've caught a big one!
context: were given a second chance at?\I'll kill the rest of your musclehead buddies, too.\Die!\What?\I heard you gave my bro a hard time.\Class S Rank 16 Tank-Top Master\A Class S?!\I've caught a big one! response:	This is great! I'm getting all fired up!
context: I'll kill the rest of your musclehead buddies, too.\Die!\What?\I heard you gave my bro a hard time.\Class S Rank 16 Tank-Top Master\A Class S?!\I've caught a big one!\This is great! I'm getting all fired up! response:	Tank-Top Tackle!
context: Die!\What?\I heard you gave my bro a hard time.\Class S Rank 16 Tank-Top Master\A Class S?!\I've caught a big one!\This is great! I'm getting all fired up!\Tank-Top Tackle! response:	There it is! Master's Tank-Top Tackle!
context: What?\I heard you gave my bro a hard time.\Class S Rank 16 Tank-Top Master\A Class S?!\I've caught a big one!\This is great! I'm getting all fired up!\Tank-Top Tackle!\There it is! Master's Tank-Top Tackle! response:	He's taken down countless monsters with that move!
context: I heard you gave my bro a hard time.\Class S Rank 16 Tank-Top Master\A Class S?!\I've caught a big one!\This is great! I'm getting all fired up!\Tank-Top Tackle!\There it is! Master's Tank-Top Tackle!\He's taken down countless monsters with that move! response:	Way to go, Master! Now that bastard
context: Class S Rank 16 Tank-Top Master\A Class S?!\I've caught a big one!\This is great! I'm getting all fired up!\Tank-Top Tackle!\There it is! Master's Tank-Top Tackle!\He's taken down countless monsters with that move!\Way to go, Master! Now that bastard response:	Bro, he didn't go down!
context: A Class S?!\I've caught a big one!\This is great! I'm getting all fired up!\Tank-Top Tackle!\There it is! Master's Tank-Top Tackle!\He's taken down countless monsters with that move!\Way to go, Master! Now that bastard\Bro, he didn't go down! response:	All right, Little Bro. Prepare to run!
context: I've caught a big one!\This is great! I'm getting all fired up!\Tank-Top Tackle!\There it is! Master's Tank-Top Tackle!\He's taken down countless monsters with that move!\Way to go, Master! Now that bastard\Bro, he didn't go down!\All right, Little Bro. Prepare to run! response:	Is he really...
context: This is great! I'm getting all fired up!\Tank-Top Tackle!\There it is! Master's Tank-Top Tackle!\He's taken down countless monsters with that move!\Way to go, Master! Now that bastard\Bro, he didn't go down!\All right, Little Bro. Prepare to run!\Is he really... response:	human?
context: Tank-Top Tackle!\There it is! Master's Tank-Top Tackle!\He's taken down countless monsters with that move!\Way to go, Master! Now that bastard\Bro, he didn't go down!\All right, Little Bro. Prepare to run!\Is he really...\human? response:	Fist of Flowing Water, Crushed Rock
context: There it is! Master's Tank-Top Tackle!\He's taken down countless monsters with that move!\Way to go, Master! Now that bastard\Bro, he didn't go down!\All right, Little Bro. Prepare to run!\Is he really...\human?\Fist of Flowing Water, Crushed Rock response:	Is everything ready?
context: He's taken down countless monsters with that move!\Way to go, Master! Now that bastard\Bro, he didn't go down!\All right, Little Bro. Prepare to run!\Is he really...\human?\Fist of Flowing Water, Crushed Rock\Is everything ready? response:	I'm an old man with no family.
context: Way to go, Master! Now that bastard\Bro, he didn't go down!\All right, Little Bro. Prepare to run!\Is he really...\human?\Fist of Flowing Water, Crushed Rock\Is everything ready?\I'm an old man with no family. response:	Just like you.
context: Bro, he didn't go down!\All right, Little Bro. Prepare to run!\Is he really...\human?\Fist of Flowing Water, Crushed Rock\Is everything ready?\I'm an old man with no family.\Just like you. response:	Master of the Fist of Whirling Wind, Slashing Steel
context: All right, Little Bro. Prepare to run!\Is he really...\human?\Fist of Flowing Water, Crushed Rock\Is everything ready?\I'm an old man with no family.\Just like you.\Master of the Fist of Whirling Wind, Slashing Steel response:	You can't be serious.
context: Is he really...\human?\Fist of Flowing Water, Crushed Rock\Is everything ready?\I'm an old man with no family.\Just like you.\Master of the Fist of Whirling Wind, Slashing Steel\You can't be serious. response:	I've said goodbye to several hundred pupils.
context: human?\Fist of Flowing Water, Crushed Rock\Is everything ready?\I'm an old man with no family.\Just like you.\Master of the Fist of Whirling Wind, Slashing Steel\You can't be serious.\I've said goodbye to several hundred pupils. response:	You dropped everything to help out your precious little brother.
context: Fist of Flowing Water, Crushed Rock\Is everything ready?\I'm an old man with no family.\Just like you.\Master of the Fist of Whirling Wind, Slashing Steel\You can't be serious.\I've said goodbye to several hundred pupils.\You dropped everything to help out your precious little brother. response:	You're so cool, Big Brother.
context: Is everything ready?\I'm an old man with no family.\Just like you.\Master of the Fist of Whirling Wind, Slashing Steel\You can't be serious.\I've said goodbye to several hundred pupils.\You dropped everything to help out your precious little brother.\You're so cool, Big Brother. response:	If we left Garo alone, he'd eventually come for my dojo, as well.
context: I'm an old man with no family.\Just like you.\Master of the Fist of Whirling Wind, Slashing Steel\You can't be serious.\I've said goodbye to several hundred pupils.\You dropped everything to help out your precious little brother.\You're so cool, Big Brother.\If we left Garo alone, he'd eventually come for my dojo, as well. response:	All right, let's go!
context: Just like you.\Master of the Fist of Whirling Wind, Slashing Steel\You can't be serious.\I've said goodbye to several hundred pupils.\You dropped everything to help out your precious little brother.\You're so cool, Big Brother.\If we left Garo alone, he'd eventually come for my dojo, as well.\All right, let's go! response:	Be careful, Big Brother.
context: Master of the Fist of Whirling Wind, Slashing Steel\You can't be serious.\I've said goodbye to several hundred pupils.\You dropped everything to help out your precious little brother.\You're so cool, Big Brother.\If we left Garo alone, he'd eventually come for my dojo, as well.\All right, let's go!\Be careful, Big Brother. response:	I can't even imagine how powerful he is now,
context: You can't be serious.\I've said goodbye to several hundred pupils.\You dropped everything to help out your precious little brother.\You're so cool, Big Brother.\If we left Garo alone, he'd eventually come for my dojo, as well.\All right, let's go!\Be careful, Big Brother.\I can't even imagine how powerful he is now, response:	Considering you took the time to summon me...
context: I've said goodbye to several hundred pupils.\You dropped everything to help out your precious little brother.\You're so cool, Big Brother.\If we left Garo alone, he'd eventually come for my dojo, as well.\All right, let's go!\Be careful, Big Brother.\I can't even imagine how powerful he is now,\Considering you took the time to summon me... response:	There's another one! Tank-Top Punch!
context: You dropped everything to help out your precious little brother.\You're so cool, Big Brother.\If we left Garo alone, he'd eventually come for my dojo, as well.\All right, let's go!\Be careful, Big Brother.\I can't even imagine how powerful he is now,\Considering you took the time to summon me...\There's another one! Tank-Top Punch! response:	I freaked out for a second when he stood up after Master's tackle, but...
context: You're so cool, Big Brother.\If we left Garo alone, he'd eventually come for my dojo, as well.\All right, let's go!\Be careful, Big Brother.\I can't even imagine how powerful he is now,\Considering you took the time to summon me...\There's another one! Tank-Top Punch!\I freaked out for a second when he stood up after Master's tackle, but... response:	This will probably be over soon.
context: If we left Garo alone, he'd eventually come for my dojo, as well.\All right, let's go!\Be careful, Big Brother.\I can't even imagine how powerful he is now,\Considering you took the time to summon me...\There's another one! Tank-Top Punch!\I freaked out for a second when he stood up after Master's tackle, but...\This will probably be over soon. response:	He's human. There's no doubt about that.
context: All right, let's go!\Be careful, Big Brother.\I can't even imagine how powerful he is now,\Considering you took the time to summon me...\There's another one! Tank-Top Punch!\I freaked out for a second when he stood up after Master's tackle, but...\This will probably be over soon.\He's human. There's no doubt about that. response:	Still, I wonder why...
context: Be careful, Big Brother.\I can't even imagine how powerful he is now,\Considering you took the time to summon me...\There's another one! Tank-Top Punch!\I freaked out for a second when he stood up after Master's tackle, but...\This will probably be over soon.\He's human. There's no doubt about that.\Still, I wonder why... response:	I feel like I need to make him disappear here and now.
context: I can't even imagine how powerful he is now,\Considering you took the time to summon me...\There's another one! Tank-Top Punch!\I freaked out for a second when he stood up after Master's tackle, but...\This will probably be over soon.\He's human. There's no doubt about that.\Still, I wonder why...\I feel like I need to make him disappear here and now. response:	Sorry, but this is the end.
context: Considering you took the time to summon me...\There's another one! Tank-Top Punch!\I freaked out for a second when he stood up after Master's tackle, but...\This will probably be over soon.\He's human. There's no doubt about that.\Still, I wonder why...\I feel like I need to make him disappear here and now.\Sorry, but this is the end. response:	Hold it right there!
context: There's another one! Tank-Top Punch!\I freaked out for a second when he stood up after Master's tackle, but...\This will probably be over soon.\He's human. There's no doubt about that.\Still, I wonder why...\I feel like I need to make him disappear here and now.\Sorry, but this is the end.\Hold it right there! response:	Mumen Rider!
context: I freaked out for a second when he stood up after Master's tackle, but...\This will probably be over soon.\He's human. There's no doubt about that.\Still, I wonder why...\I feel like I need to make him disappear here and now.\Sorry, but this is the end.\Hold it right there!\Mumen Rider! response:	Aren't you ashamed of yourself?!
context: This will probably be over soon.\He's human. There's no doubt about that.\Still, I wonder why...\I feel like I need to make him disappear here and now.\Sorry, but this is the end.\Hold it right there!\Mumen Rider!\Aren't you ashamed of yourself?! response:	You're a Class S hero, and you're trying to finish off a human?!
context: He's human. There's no doubt about that.\Still, I wonder why...\I feel like I need to make him disappear here and now.\Sorry, but this is the end.\Hold it right there!\Mumen Rider!\Aren't you ashamed of yourself?!\You're a Class S hero, and you're trying to finish off a human?! response:	This fight is over!
context: Still, I wonder why...\I feel like I need to make him disappear here and now.\Sorry, but this is the end.\Hold it right there!\Mumen Rider!\Aren't you ashamed of yourself?!\You're a Class S hero, and you're trying to finish off a human?!\This fight is over! response:	It's his fault for picking a fight with a hero!
context: I feel like I need to make him disappear here and now.\Sorry, but this is the end.\Hold it right there!\Mumen Rider!\Aren't you ashamed of yourself?!\You're a Class S hero, and you're trying to finish off a human?!\This fight is over!\It's his fault for picking a fight with a hero! response:	Get out of the way!
context: Sorry, but this is the end.\Hold it right there!\Mumen Rider!\Aren't you ashamed of yourself?!\You're a Class S hero, and you're trying to finish off a human?!\This fight is over!\It's his fault for picking a fight with a hero!\Get out of the way! response:	We're gonna show this guy how terrifying we are!
context: Hold it right there!\Mumen Rider!\Aren't you ashamed of yourself?!\You're a Class S hero, and you're trying to finish off a human?!\This fight is over!\It's his fault for picking a fight with a hero!\Get out of the way!\We're gonna show this guy how terrifying we are! response:	All of you, stop.
context: Mumen Rider!\Aren't you ashamed of yourself?!\You're a Class S hero, and you're trying to finish off a human?!\This fight is over!\It's his fault for picking a fight with a hero!\Get out of the way!\We're gonna show this guy how terrifying we are!\All of you, stop. response:	He's right.
context: Aren't you ashamed of yourself?!\You're a Class S hero, and you're trying to finish off a human?!\This fight is over!\It's his fault for picking a fight with a hero!\Get out of the way!\We're gonna show this guy how terrifying we are!\All of you, stop.\He's right. response:	I didn't start wearing a tank-top just so I could fight with humans.
context: You're a Class S hero, and you're trying to finish off a human?!\This fight is over!\It's his fault for picking a fight with a hero!\Get out of the way!\We're gonna show this guy how terrifying we are!\All of you, stop.\He's right.\I didn't start wearing a tank-top just so I could fight with humans. response:	Hey, you.
