context: We can't be together anymore. response:	Wait, Shione!
context: Hokubi Festival Invitation\Noel.\Shione.\Huh, aren't you with Nonoka and the others?\Noel, there's something I want to ask you.\What is it, Shione?\What happens to the saucer\once you grant our wish? response:	Once I grant your wish, I get called over to another wish.
context: Noel.\Shione.\Huh, aren't you with Nonoka and the others?\Noel, there's something I want to ask you.\What is it, Shione?\What happens to the saucer\once you grant our wish?\Once I grant your wish, I get called over to another wish. response:	Just like when you all called me.
context: Shione.\Huh, aren't you with Nonoka and the others?\Noel, there's something I want to ask you.\What is it, Shione?\What happens to the saucer\once you grant our wish?\Once I grant your wish, I get called over to another wish.\Just like when you all called me. response:	Is that...
context: Huh, aren't you with Nonoka and the others?\Noel, there's something I want to ask you.\What is it, Shione?\What happens to the saucer\once you grant our wish?\Once I grant your wish, I get called over to another wish.\Just like when you all called me.\Is that... response:	Saucer-san, saucer-san, please,
context: Noel, there's something I want to ask you.\What is it, Shione?\What happens to the saucer\once you grant our wish?\Once I grant your wish, I get called over to another wish.\Just like when you all called me.\Is that...\Saucer-san, saucer-san, please, response:	grant my wish.
context: What is it, Shione?\What happens to the saucer\once you grant our wish?\Once I grant your wish, I get called over to another wish.\Just like when you all called me.\Is that...\Saucer-san, saucer-san, please,\grant my wish. response:	Your wish is going to be granted soon.
context: What happens to the saucer\once you grant our wish?\Once I grant your wish, I get called over to another wish.\Just like when you all called me.\Is that...\Saucer-san, saucer-san, please,\grant my wish.\Your wish is going to be granted soon. response:	Right?
context: once you grant our wish?\Once I grant your wish, I get called over to another wish.\Just like when you all called me.\Is that...\Saucer-san, saucer-san, please,\grant my wish.\Your wish is going to be granted soon.\Right? response:	Huh?
context: Once I grant your wish, I get called over to another wish.\Just like when you all called me.\Is that...\Saucer-san, saucer-san, please,\grant my wish.\Your wish is going to be granted soon.\Right?\Huh? response:	Huh, are you leaving already?
context: Just like when you all called me.\Is that...\Saucer-san, saucer-san, please,\grant my wish.\Your wish is going to be granted soon.\Right?\Huh?\Huh, are you leaving already? response:	I'm going to see the planetarium, too!
context: Is that...\Saucer-san, saucer-san, please,\grant my wish.\Your wish is going to be granted soon.\Right?\Huh?\Huh, are you leaving already?\I'm going to see the planetarium, too! response:	Nonoka!
context: Saucer-san, saucer-san, please,\grant my wish.\Your wish is going to be granted soon.\Right?\Huh?\Huh, are you leaving already?\I'm going to see the planetarium, too!\Nonoka! response:	Noel.
context: grant my wish.\Your wish is going to be granted soon.\Right?\Huh?\Huh, are you leaving already?\I'm going to see the planetarium, too!\Nonoka!\Noel. response:	Nonoka!
context: Your wish is going to be granted soon.\Right?\Huh?\Huh, are you leaving already?\I'm going to see the planetarium, too!\Nonoka!\Noel.\Nonoka! response:	Nonoka.
context: Right?\Huh?\Huh, are you leaving already?\I'm going to see the planetarium, too!\Nonoka!\Noel.\Nonoka!\Nonoka. response:	I want a ticket.
context: Huh?\Huh, are you leaving already?\I'm going to see the planetarium, too!\Nonoka!\Noel.\Nonoka!\Nonoka.\I want a ticket. response:	But is the saucer going to be okay?
context: Huh, are you leaving already?\I'm going to see the planetarium, too!\Nonoka!\Noel.\Nonoka!\Nonoka.\I want a ticket.\But is the saucer going to be okay? response:	It is now.
context: I'm going to see the planetarium, too!\Nonoka!\Noel.\Nonoka!\Nonoka.\I want a ticket.\But is the saucer going to be okay?\It is now. response:	So I'm going to see the planetarium, too.
context: Nonoka!\Noel.\Nonoka!\Nonoka.\I want a ticket.\But is the saucer going to be okay?\It is now.\So I'm going to see the planetarium, too. response:	Noel and Shione...
context: Noel.\Nonoka!\Nonoka.\I want a ticket.\But is the saucer going to be okay?\It is now.\So I'm going to see the planetarium, too.\Noel and Shione... response:	Everyone's going to smile now.
context: Nonoka!\Nonoka.\I want a ticket.\But is the saucer going to be okay?\It is now.\So I'm going to see the planetarium, too.\Noel and Shione...\Everyone's going to smile now. response:	Thanks, Noel.
context: Nonoka.\I want a ticket.\But is the saucer going to be okay?\It is now.\So I'm going to see the planetarium, too.\Noel and Shione...\Everyone's going to smile now.\Thanks, Noel. response:	I'm hoping to go to the Hokubi Festival on Sunday.
context: I want a ticket.\But is the saucer going to be okay?\It is now.\So I'm going to see the planetarium, too.\Noel and Shione...\Everyone's going to smile now.\Thanks, Noel.\I'm hoping to go to the Hokubi Festival on Sunday. response:	How are preparations going?
context: But is the saucer going to be okay?\It is now.\So I'm going to see the planetarium, too.\Noel and Shione...\Everyone's going to smile now.\Thanks, Noel.\I'm hoping to go to the Hokubi Festival on Sunday.\How are preparations going? response:	We're a little behind.
context: It is now.\So I'm going to see the planetarium, too.\Noel and Shione...\Everyone's going to smile now.\Thanks, Noel.\I'm hoping to go to the Hokubi Festival on Sunday.\How are preparations going?\We're a little behind. response:	We have three days to do something about it.
context: So I'm going to see the planetarium, too.\Noel and Shione...\Everyone's going to smile now.\Thanks, Noel.\I'm hoping to go to the Hokubi Festival on Sunday.\How are preparations going?\We're a little behind.\We have three days to do something about it. response:	Yeah?
context: Noel and Shione...\Everyone's going to smile now.\Thanks, Noel.\I'm hoping to go to the Hokubi Festival on Sunday.\How are preparations going?\We're a little behind.\We have three days to do something about it.\Yeah? response:	Hurry up and eat.
context: Everyone's going to smile now.\Thanks, Noel.\I'm hoping to go to the Hokubi Festival on Sunday.\How are preparations going?\We're a little behind.\We have three days to do something about it.\Yeah?\Hurry up and eat. response:	Fine, fine.
context: Thanks, Noel.\I'm hoping to go to the Hokubi Festival on Sunday.\How are preparations going?\We're a little behind.\We have three days to do something about it.\Yeah?\Hurry up and eat.\Fine, fine. response:	Time to eat.
context: I'm hoping to go to the Hokubi Festival on Sunday.\How are preparations going?\We're a little behind.\We have three days to do something about it.\Yeah?\Hurry up and eat.\Fine, fine.\Time to eat. response:	Time to eat.
context: How are preparations going?\We're a little behind.\We have three days to do something about it.\Yeah?\Hurry up and eat.\Fine, fine.\Time to eat.\Time to eat. response:	Morning, Nonoka.
context: We're a little behind.\We have three days to do something about it.\Yeah?\Hurry up and eat.\Fine, fine.\Time to eat.\Time to eat.\Morning, Nonoka. response:	Morning...
context: We have three days to do something about it.\Yeah?\Hurry up and eat.\Fine, fine.\Time to eat.\Time to eat.\Morning, Nonoka.\Morning... response:	Wait.
context: Yeah?\Hurry up and eat.\Fine, fine.\Time to eat.\Time to eat.\Morning, Nonoka.\Morning...\Wait. response:	Why are you all here?
context: Hurry up and eat.\Fine, fine.\Time to eat.\Time to eat.\Morning, Nonoka.\Morning...\Wait.\Why are you all here? response:	Koharu came crying to us.
context: Fine, fine.\Time to eat.\Time to eat.\Morning, Nonoka.\Morning...\Wait.\Why are you all here?\Koharu came crying to us. response:	She's was all, We won't make it in time.
context: Time to eat.\Time to eat.\Morning, Nonoka.\Morning...\Wait.\Why are you all here?\Koharu came crying to us.\She's was all, We won't make it in time. response:	You're here for the rice cakes, aren't you?
context: Time to eat.\Morning, Nonoka.\Morning...\Wait.\Why are you all here?\Koharu came crying to us.\She's was all, We won't make it in time.\You're here for the rice cakes, aren't you? response:	It's true that we need the help.
context: Morning, Nonoka.\Morning...\Wait.\Why are you all here?\Koharu came crying to us.\She's was all, We won't make it in time.\You're here for the rice cakes, aren't you?\It's true that we need the help. response:	You should have asked sooner.
context: Morning...\Wait.\Why are you all here?\Koharu came crying to us.\She's was all, We won't make it in time.\You're here for the rice cakes, aren't you?\It's true that we need the help.\You should have asked sooner. response:	We need more than four people to make it.
context: Wait.\Why are you all here?\Koharu came crying to us.\She's was all, We won't make it in time.\You're here for the rice cakes, aren't you?\It's true that we need the help.\You should have asked sooner.\We need more than four people to make it. response:	Looks like we can get it done on time now, huh?
context: Why are you all here?\Koharu came crying to us.\She's was all, We won't make it in time.\You're here for the rice cakes, aren't you?\It's true that we need the help.\You should have asked sooner.\We need more than four people to make it.\Looks like we can get it done on time now, huh? response:	Dude, get to work.
context: Koharu came crying to us.\She's was all, We won't make it in time.\You're here for the rice cakes, aren't you?\It's true that we need the help.\You should have asked sooner.\We need more than four people to make it.\Looks like we can get it done on time now, huh?\Dude, get to work. response:	How are you supposed to know what to do if I don't give orders?
context: She's was all, We won't make it in time.\You're here for the rice cakes, aren't you?\It's true that we need the help.\You should have asked sooner.\We need more than four people to make it.\Looks like we can get it done on time now, huh?\Dude, get to work.\How are you supposed to know what to do if I don't give orders? response:	Say what?
context: You're here for the rice cakes, aren't you?\It's true that we need the help.\You should have asked sooner.\We need more than four people to make it.\Looks like we can get it done on time now, huh?\Dude, get to work.\How are you supposed to know what to do if I don't give orders?\Say what? response:	We don't need your orders to do our work.
context: It's true that we need the help.\You should have asked sooner.\We need more than four people to make it.\Looks like we can get it done on time now, huh?\Dude, get to work.\How are you supposed to know what to do if I don't give orders?\Say what?\We don't need your orders to do our work. response:	Get busy!
context: You should have asked sooner.\We need more than four people to make it.\Looks like we can get it done on time now, huh?\Dude, get to work.\How are you supposed to know what to do if I don't give orders?\Say what?\We don't need your orders to do our work.\Get busy! response:	Who do you think you are?
context: We need more than four people to make it.\Looks like we can get it done on time now, huh?\Dude, get to work.\How are you supposed to know what to do if I don't give orders?\Say what?\We don't need your orders to do our work.\Get busy!\Who do you think you are? response:	Nonoka, I'm sure Shione is...
context: Looks like we can get it done on time now, huh?\Dude, get to work.\How are you supposed to know what to do if I don't give orders?\Say what?\We don't need your orders to do our work.\Get busy!\Who do you think you are?\Nonoka, I'm sure Shione is... response:	Don't worry, Koharu.
context: Dude, get to work.\How are you supposed to know what to do if I don't give orders?\Say what?\We don't need your orders to do our work.\Get busy!\Who do you think you are?\Nonoka, I'm sure Shione is...\Don't worry, Koharu. response:	Shione will come.
context: How are you supposed to know what to do if I don't give orders?\Say what?\We don't need your orders to do our work.\Get busy!\Who do you think you are?\Nonoka, I'm sure Shione is...\Don't worry, Koharu.\Shione will come. response:	She gave a Hokubi Festival ticket to Noel, just like everyone else.
context: Say what?\We don't need your orders to do our work.\Get busy!\Who do you think you are?\Nonoka, I'm sure Shione is...\Don't worry, Koharu.\Shione will come.\She gave a Hokubi Festival ticket to Noel, just like everyone else. response:	So I trust
context: We don't need your orders to do our work.\Get busy!\Who do you think you are?\Nonoka, I'm sure Shione is...\Don't worry, Koharu.\Shione will come.\She gave a Hokubi Festival ticket to Noel, just like everyone else.\So I trust response:	Shione, too.
context: Get busy!\Who do you think you are?\Nonoka, I'm sure Shione is...\Don't worry, Koharu.\Shione will come.\She gave a Hokubi Festival ticket to Noel, just like everyone else.\So I trust\Shione, too. response:	Let's make this a success!
context: Who do you think you are?\Nonoka, I'm sure Shione is...\Don't worry, Koharu.\Shione will come.\She gave a Hokubi Festival ticket to Noel, just like everyone else.\So I trust\Shione, too.\Let's make this a success! response:	Yeah!
context: Nonoka, I'm sure Shione is...\Don't worry, Koharu.\Shione will come.\She gave a Hokubi Festival ticket to Noel, just like everyone else.\So I trust\Shione, too.\Let's make this a success!\Yeah! response:	Ow!
context: Don't worry, Koharu.\Shione will come.\She gave a Hokubi Festival ticket to Noel, just like everyone else.\So I trust\Shione, too.\Let's make this a success!\Yeah!\Ow! response:	Yes.
context: Shione will come.\She gave a Hokubi Festival ticket to Noel, just like everyone else.\So I trust\Shione, too.\Let's make this a success!\Yeah!\Ow!\Yes. response:	No, it's not like that.
context: She gave a Hokubi Festival ticket to Noel, just like everyone else.\So I trust\Shione, too.\Let's make this a success!\Yeah!\Ow!\Yes.\No, it's not like that. response:	There's nothing you need to worry about, Dad.
context: So I trust\Shione, too.\Let's make this a success!\Yeah!\Ow!\Yes.\No, it's not like that.\There's nothing you need to worry about, Dad. response:	But I want to get there as soon as I can.
context: Shione, too.\Let's make this a success!\Yeah!\Ow!\Yes.\No, it's not like that.\There's nothing you need to worry about, Dad.\But I want to get there as soon as I can. response:	Friends
context: Let's make this a success!\Yeah!\Ow!\Yes.\No, it's not like that.\There's nothing you need to worry about, Dad.\But I want to get there as soon as I can.\Friends response:	Sorry.
context: Yeah!\Ow!\Yes.\No, it's not like that.\There's nothing you need to worry about, Dad.\But I want to get there as soon as I can.\Friends\Sorry. response:	I know I said I wanted to stay.
context: Ow!\Yes.\No, it's not like that.\There's nothing you need to worry about, Dad.\But I want to get there as soon as I can.\Friends\Sorry.\I know I said I wanted to stay. response:	Snow?
context: Yes.\No, it's not like that.\There's nothing you need to worry about, Dad.\But I want to get there as soon as I can.\Friends\Sorry.\I know I said I wanted to stay.\Snow? response:	Yeah, it snowed already.
context: No, it's not like that.\There's nothing you need to worry about, Dad.\But I want to get there as soon as I can.\Friends\Sorry.\I know I said I wanted to stay.\Snow?\Yeah, it snowed already. response:	It's finally tomorrow.
context: There's nothing you need to worry about, Dad.\But I want to get there as soon as I can.\Friends\Sorry.\I know I said I wanted to stay.\Snow?\Yeah, it snowed already.\It's finally tomorrow. response:	Time really flew by.
context: But I want to get there as soon as I can.\Friends\Sorry.\I know I said I wanted to stay.\Snow?\Yeah, it snowed already.\It's finally tomorrow.\Time really flew by. response:	Shione's coming, right?
context: Friends\Sorry.\I know I said I wanted to stay.\Snow?\Yeah, it snowed already.\It's finally tomorrow.\Time really flew by.\Shione's coming, right? response:	For sure.
context: Sorry.\I know I said I wanted to stay.\Snow?\Yeah, it snowed already.\It's finally tomorrow.\Time really flew by.\Shione's coming, right?\For sure. response:	Of course she will.
context: I know I said I wanted to stay.\Snow?\Yeah, it snowed already.\It's finally tomorrow.\Time really flew by.\Shione's coming, right?\For sure.\Of course she will. response:	Yeah, once we're all here, it'll be like the old days.
context: Snow?\Yeah, it snowed already.\It's finally tomorrow.\Time really flew by.\Shione's coming, right?\For sure.\Of course she will.\Yeah, once we're all here, it'll be like the old days. response:	We'll celebrate with Koharu's rice cakes!
context: Yeah, it snowed already.\It's finally tomorrow.\Time really flew by.\Shione's coming, right?\For sure.\Of course she will.\Yeah, once we're all here, it'll be like the old days.\We'll celebrate with Koharu's rice cakes! response:	Come on.
context: It's finally tomorrow.\Time really flew by.\Shione's coming, right?\For sure.\Of course she will.\Yeah, once we're all here, it'll be like the old days.\We'll celebrate with Koharu's rice cakes!\Come on. response:	Close the door. I can see everything.
context: Time really flew by.\Shione's coming, right?\For sure.\Of course she will.\Yeah, once we're all here, it'll be like the old days.\We'll celebrate with Koharu's rice cakes!\Come on.\Close the door. I can see everything. response:	Souta, come here, look.
context: Shione's coming, right?\For sure.\Of course she will.\Yeah, once we're all here, it'll be like the old days.\We'll celebrate with Koharu's rice cakes!\Come on.\Close the door. I can see everything.\Souta, come here, look. response:	What is it?
context: For sure.\Of course she will.\Yeah, once we're all here, it'll be like the old days.\We'll celebrate with Koharu's rice cakes!\Come on.\Close the door. I can see everything.\Souta, come here, look.\What is it? response:	Planetarium This Way Planetarium on Display
context: Of course she will.\Yeah, once we're all here, it'll be like the old days.\We'll celebrate with Koharu's rice cakes!\Come on.\Close the door. I can see everything.\Souta, come here, look.\What is it?\Planetarium This Way Planetarium on Display response:	What do you think?
context: Yeah, once we're all here, it'll be like the old days.\We'll celebrate with Koharu's rice cakes!\Come on.\Close the door. I can see everything.\Souta, come here, look.\What is it?\Planetarium This Way Planetarium on Display\What do you think? response:	What?
context: We'll celebrate with Koharu's rice cakes!\Come on.\Close the door. I can see everything.\Souta, come here, look.\What is it?\Planetarium This Way Planetarium on Display\What do you think?\What? response:	I was just thinking, your hobby's turning out to be useful.
context: Come on.\Close the door. I can see everything.\Souta, come here, look.\What is it?\Planetarium This Way Planetarium on Display\What do you think?\What?\I was just thinking, your hobby's turning out to be useful. response:	It's not my hobby.
context: Close the door. I can see everything.\Souta, come here, look.\What is it?\Planetarium This Way Planetarium on Display\What do you think?\What?\I was just thinking, your hobby's turning out to be useful.\It's not my hobby. response:	Closed for the day.
context: Souta, come here, look.\What is it?\Planetarium This Way Planetarium on Display\What do you think?\What?\I was just thinking, your hobby's turning out to be useful.\It's not my hobby.\Closed for the day. response:	Everyone's coming.
context: What is it?\Planetarium This Way Planetarium on Display\What do you think?\What?\I was just thinking, your hobby's turning out to be useful.\It's not my hobby.\Closed for the day.\Everyone's coming. response:	I'll need about this many.
context: Planetarium This Way Planetarium on Display\What do you think?\What?\I was just thinking, your hobby's turning out to be useful.\It's not my hobby.\Closed for the day.\Everyone's coming.\I'll need about this many. response:	Mysterious Supernatural Encyclopedia
context: What do you think?\What?\I was just thinking, your hobby's turning out to be useful.\It's not my hobby.\Closed for the day.\Everyone's coming.\I'll need about this many.\Mysterious Supernatural Encyclopedia response:	How to Call a Flying Saucer (UFO)
context: What?\I was just thinking, your hobby's turning out to be useful.\It's not my hobby.\Closed for the day.\Everyone's coming.\I'll need about this many.\Mysterious Supernatural Encyclopedia\How to Call a Flying Saucer (UFO) response:	You're going to believe me?
context: I was just thinking, your hobby's turning out to be useful.\It's not my hobby.\Closed for the day.\Everyone's coming.\I'll need about this many.\Mysterious Supernatural Encyclopedia\How to Call a Flying Saucer (UFO)\You're going to believe me? response:	No one takes me seriously.
context: It's not my hobby.\Closed for the day.\Everyone's coming.\I'll need about this many.\Mysterious Supernatural Encyclopedia\How to Call a Flying Saucer (UFO)\You're going to believe me?\No one takes me seriously. response:	You believe it, right?
context: Closed for the day.\Everyone's coming.\I'll need about this many.\Mysterious Supernatural Encyclopedia\How to Call a Flying Saucer (UFO)\You're going to believe me?\No one takes me seriously.\You believe it, right? response:	Yeah.
context: Everyone's coming.\I'll need about this many.\Mysterious Supernatural Encyclopedia\How to Call a Flying Saucer (UFO)\You're going to believe me?\No one takes me seriously.\You believe it, right?\Yeah. response:	Then I do, too.
context: I'll need about this many.\Mysterious Supernatural Encyclopedia\How to Call a Flying Saucer (UFO)\You're going to believe me?\No one takes me seriously.\You believe it, right?\Yeah.\Then I do, too. response:	Thanks, Nonoka.
context: Mysterious Supernatural Encyclopedia\How to Call a Flying Saucer (UFO)\You're going to believe me?\No one takes me seriously.\You believe it, right?\Yeah.\Then I do, too.\Thanks, Nonoka. response:	I bet we're not the only ones.
context: How to Call a Flying Saucer (UFO)\You're going to believe me?\No one takes me seriously.\You believe it, right?\Yeah.\Then I do, too.\Thanks, Nonoka.\I bet we're not the only ones. response:	What are you two talking about so secretly?
context: You're going to believe me?\No one takes me seriously.\You believe it, right?\Yeah.\Then I do, too.\Thanks, Nonoka.\I bet we're not the only ones.\What are you two talking about so secretly? response:	I want to ask you to do something.
context: No one takes me seriously.\You believe it, right?\Yeah.\Then I do, too.\Thanks, Nonoka.\I bet we're not the only ones.\What are you two talking about so secretly?\I want to ask you to do something. response:	Help me call a saucer.
context: You believe it, right?\Yeah.\Then I do, too.\Thanks, Nonoka.\I bet we're not the only ones.\What are you two talking about so secretly?\I want to ask you to do something.\Help me call a saucer. response:	A saucer?
context: Yeah.\Then I do, too.\Thanks, Nonoka.\I bet we're not the only ones.\What are you two talking about so secretly?\I want to ask you to do something.\Help me call a saucer.\A saucer? response:	Sounds fun.
context: Then I do, too.\Thanks, Nonoka.\I bet we're not the only ones.\What are you two talking about so secretly?\I want to ask you to do something.\Help me call a saucer.\A saucer?\Sounds fun. response:	A saucer, huh?
context: Thanks, Nonoka.\I bet we're not the only ones.\What are you two talking about so secretly?\I want to ask you to do something.\Help me call a saucer.\A saucer?\Sounds fun.\A saucer, huh? response:	That'd be awesome, if one actually came.
context: I bet we're not the only ones.\What are you two talking about so secretly?\I want to ask you to do something.\Help me call a saucer.\A saucer?\Sounds fun.\A saucer, huh?\That'd be awesome, if one actually came. response:	Everyone would be amazed.
context: What are you two talking about so secretly?\I want to ask you to do something.\Help me call a saucer.\A saucer?\Sounds fun.\A saucer, huh?\That'd be awesome, if one actually came.\Everyone would be amazed. response:	We might end up on TV.
context: I want to ask you to do something.\Help me call a saucer.\A saucer?\Sounds fun.\A saucer, huh?\That'd be awesome, if one actually came.\Everyone would be amazed.\We might end up on TV. response:	Sounds nice.
context: Help me call a saucer.\A saucer?\Sounds fun.\A saucer, huh?\That'd be awesome, if one actually came.\Everyone would be amazed.\We might end up on TV.\Sounds nice. response:	See.
context: A saucer?\Sounds fun.\A saucer, huh?\That'd be awesome, if one actually came.\Everyone would be amazed.\We might end up on TV.\Sounds nice.\See. response:	We'll be famous.
context: Sounds fun.\A saucer, huh?\That'd be awesome, if one actually came.\Everyone would be amazed.\We might end up on TV.\Sounds nice.\See.\We'll be famous. response:	For Koharu, Yuzuki and Souta to smile.
context: A saucer, huh?\That'd be awesome, if one actually came.\Everyone would be amazed.\We might end up on TV.\Sounds nice.\See.\We'll be famous.\For Koharu, Yuzuki and Souta to smile. response:	And Shione, too.
context: That'd be awesome, if one actually came.\Everyone would be amazed.\We might end up on TV.\Sounds nice.\See.\We'll be famous.\For Koharu, Yuzuki and Souta to smile.\And Shione, too. response:	That was their wish.
context: Everyone would be amazed.\We might end up on TV.\Sounds nice.\See.\We'll be famous.\For Koharu, Yuzuki and Souta to smile.\And Shione, too.\That was their wish. response:	That's it?
context: We might end up on TV.\Sounds nice.\See.\We'll be famous.\For Koharu, Yuzuki and Souta to smile.\And Shione, too.\That was their wish.\That's it? response:	That's too easy. No fun.
context: Sounds nice.\See.\We'll be famous.\For Koharu, Yuzuki and Souta to smile.\And Shione, too.\That was their wish.\That's it?\That's too easy. No fun. response:	There's one more thing we need to do.
context: See.\We'll be famous.\For Koharu, Yuzuki and Souta to smile.\And Shione, too.\That was their wish.\That's it?\That's too easy. No fun.\There's one more thing we need to do. response:	When we call the saucer,
context: We'll be famous.\For Koharu, Yuzuki and Souta to smile.\And Shione, too.\That was their wish.\That's it?\That's too easy. No fun.\There's one more thing we need to do.\When we call the saucer, response:	we have to think about something we want.
