context: Once upon a time, there was a knight. response:	The knight never faltered in his duty, no matter what it was.
context: Oh, my!\Might she...\Why don't we ask her?\Okay, then. Do you know Mytho-sama?\Yes...\You see, we're looking for a boy to dance ballet for us in our play.\I see...\We'd really love to ask Mytho-sama to do it, but... response:	Mytho?
context: Might she...\Why don't we ask her?\Okay, then. Do you know Mytho-sama?\Yes...\You see, we're looking for a boy to dance ballet for us in our play.\I see...\We'd really love to ask Mytho-sama to do it, but...\Mytho? response:	You'll give me your beautiful heart, won't you?
context: Why don't we ask her?\Okay, then. Do you know Mytho-sama?\Yes...\You see, we're looking for a boy to dance ballet for us in our play.\I see...\We'd really love to ask Mytho-sama to do it, but...\Mytho?\You'll give me your beautiful heart, won't you? response:	No, as he is now, Mytho is...
context: Okay, then. Do you know Mytho-sama?\Yes...\You see, we're looking for a boy to dance ballet for us in our play.\I see...\We'd really love to ask Mytho-sama to do it, but...\Mytho?\You'll give me your beautiful heart, won't you?\No, as he is now, Mytho is... response:	Um, would it be okay if Fakir did it?
context: Yes...\You see, we're looking for a boy to dance ballet for us in our play.\I see...\We'd really love to ask Mytho-sama to do it, but...\Mytho?\You'll give me your beautiful heart, won't you?\No, as he is now, Mytho is...\Um, would it be okay if Fakir did it? response:	What?!
context: You see, we're looking for a boy to dance ballet for us in our play.\I see...\We'd really love to ask Mytho-sama to do it, but...\Mytho?\You'll give me your beautiful heart, won't you?\No, as he is now, Mytho is...\Um, would it be okay if Fakir did it?\What?! response:	He's so scary.
context: I see...\We'd really love to ask Mytho-sama to do it, but...\Mytho?\You'll give me your beautiful heart, won't you?\No, as he is now, Mytho is...\Um, would it be okay if Fakir did it?\What?!\He's so scary. response:	He pushes people he doesn't like out the window, right?
context: We'd really love to ask Mytho-sama to do it, but...\Mytho?\You'll give me your beautiful heart, won't you?\No, as he is now, Mytho is...\Um, would it be okay if Fakir did it?\What?!\He's so scary.\He pushes people he doesn't like out the window, right? response:	That's not true! And he's just as good at ballet as Mytho.
context: Mytho?\You'll give me your beautiful heart, won't you?\No, as he is now, Mytho is...\Um, would it be okay if Fakir did it?\What?!\He's so scary.\He pushes people he doesn't like out the window, right?\That's not true! And he's just as good at ballet as Mytho. response:	That's true. With things as they are, Fakir-senpai would be okay too.
context: You'll give me your beautiful heart, won't you?\No, as he is now, Mytho is...\Um, would it be okay if Fakir did it?\What?!\He's so scary.\He pushes people he doesn't like out the window, right?\That's not true! And he's just as good at ballet as Mytho.\That's true. With things as they are, Fakir-senpai would be okay too. response:	Really?!
context: No, as he is now, Mytho is...\Um, would it be okay if Fakir did it?\What?!\He's so scary.\He pushes people he doesn't like out the window, right?\That's not true! And he's just as good at ballet as Mytho.\That's true. With things as they are, Fakir-senpai would be okay too.\Really?! response:	This is a copy of the script. Could you give it to Fakir-senpai for us?
context: Um, would it be okay if Fakir did it?\What?!\He's so scary.\He pushes people he doesn't like out the window, right?\That's not true! And he's just as good at ballet as Mytho.\That's true. With things as they are, Fakir-senpai would be okay too.\Really?!\This is a copy of the script. Could you give it to Fakir-senpai for us? response:	Yes! Thank you!
context: What?!\He's so scary.\He pushes people he doesn't like out the window, right?\That's not true! And he's just as good at ballet as Mytho.\That's true. With things as they are, Fakir-senpai would be okay too.\Really?!\This is a copy of the script. Could you give it to Fakir-senpai for us?\Yes! Thank you! response:	Hi.
context: He's so scary.\He pushes people he doesn't like out the window, right?\That's not true! And he's just as good at ballet as Mytho.\That's true. With things as they are, Fakir-senpai would be okay too.\Really?!\This is a copy of the script. Could you give it to Fakir-senpai for us?\Yes! Thank you!\Hi. response:	I'm glad you're back, Fakir.
context: He pushes people he doesn't like out the window, right?\That's not true! And he's just as good at ballet as Mytho.\That's true. With things as they are, Fakir-senpai would be okay too.\Really?!\This is a copy of the script. Could you give it to Fakir-senpai for us?\Yes! Thank you!\Hi.\I'm glad you're back, Fakir. response:	I've been waiting for you.
context: That's not true! And he's just as good at ballet as Mytho.\That's true. With things as they are, Fakir-senpai would be okay too.\Really?!\This is a copy of the script. Could you give it to Fakir-senpai for us?\Yes! Thank you!\Hi.\I'm glad you're back, Fakir.\I've been waiting for you. response:	Fakir!
context: That's true. With things as they are, Fakir-senpai would be okay too.\Really?!\This is a copy of the script. Could you give it to Fakir-senpai for us?\Yes! Thank you!\Hi.\I'm glad you're back, Fakir.\I've been waiting for you.\Fakir! response:	Mytho-sama!
context: Really?!\This is a copy of the script. Could you give it to Fakir-senpai for us?\Yes! Thank you!\Hi.\I'm glad you're back, Fakir.\I've been waiting for you.\Fakir!\Mytho-sama! response:	Why did you come back?
context: This is a copy of the script. Could you give it to Fakir-senpai for us?\Yes! Thank you!\Hi.\I'm glad you're back, Fakir.\I've been waiting for you.\Fakir!\Mytho-sama!\Why did you come back? response:	I protect Mytho. That's all.
context: Yes! Thank you!\Hi.\I'm glad you're back, Fakir.\I've been waiting for you.\Fakir!\Mytho-sama!\Why did you come back?\I protect Mytho. That's all. response:	Protect? How?
context: Hi.\I'm glad you're back, Fakir.\I've been waiting for you.\Fakir!\Mytho-sama!\Why did you come back?\I protect Mytho. That's all.\Protect? How? response:	What can you do?
context: I'm glad you're back, Fakir.\I've been waiting for you.\Fakir!\Mytho-sama!\Why did you come back?\I protect Mytho. That's all.\Protect? How?\What can you do? response:	A knight who couldn't even die.
context: I've been waiting for you.\Fakir!\Mytho-sama!\Why did you come back?\I protect Mytho. That's all.\Protect? How?\What can you do?\A knight who couldn't even die. response:	The knight's role in the story was to be torn in two and die,
context: Fakir!\Mytho-sama!\Why did you come back?\I protect Mytho. That's all.\Protect? How?\What can you do?\A knight who couldn't even die.\The knight's role in the story was to be torn in two and die, response:	but not only were you saved in that unseemly way,
context: Mytho-sama!\Why did you come back?\I protect Mytho. That's all.\Protect? How?\What can you do?\A knight who couldn't even die.\The knight's role in the story was to be torn in two and die,\but not only were you saved in that unseemly way, response:	you've got the nerve to STILL be alive.
context: Why did you come back?\I protect Mytho. That's all.\Protect? How?\What can you do?\A knight who couldn't even die.\The knight's role in the story was to be torn in two and die,\but not only were you saved in that unseemly way,\you've got the nerve to STILL be alive. response:	In the story, you're no longer needed.
context: I protect Mytho. That's all.\Protect? How?\What can you do?\A knight who couldn't even die.\The knight's role in the story was to be torn in two and die,\but not only were you saved in that unseemly way,\you've got the nerve to STILL be alive.\In the story, you're no longer needed. response:	Now, you'll just be forgotten.
context: Protect? How?\What can you do?\A knight who couldn't even die.\The knight's role in the story was to be torn in two and die,\but not only were you saved in that unseemly way,\you've got the nerve to STILL be alive.\In the story, you're no longer needed.\Now, you'll just be forgotten. response:	I wonder what kind of play it is.
context: What can you do?\A knight who couldn't even die.\The knight's role in the story was to be torn in two and die,\but not only were you saved in that unseemly way,\you've got the nerve to STILL be alive.\In the story, you're no longer needed.\Now, you'll just be forgotten.\I wonder what kind of play it is. response:	Oh, Fakir!
context: A knight who couldn't even die.\The knight's role in the story was to be torn in two and die,\but not only were you saved in that unseemly way,\you've got the nerve to STILL be alive.\In the story, you're no longer needed.\Now, you'll just be forgotten.\I wonder what kind of play it is.\Oh, Fakir! response:	Morning!
context: The knight's role in the story was to be torn in two and die,\but not only were you saved in that unseemly way,\you've got the nerve to STILL be alive.\In the story, you're no longer needed.\Now, you'll just be forgotten.\I wonder what kind of play it is.\Oh, Fakir!\Morning! response:	What's with you, this early in the morning?
context: but not only were you saved in that unseemly way,\you've got the nerve to STILL be alive.\In the story, you're no longer needed.\Now, you'll just be forgotten.\I wonder what kind of play it is.\Oh, Fakir!\Morning!\What's with you, this early in the morning? response:	Hey, do you like plays, Fakir?
context: you've got the nerve to STILL be alive.\In the story, you're no longer needed.\Now, you'll just be forgotten.\I wonder what kind of play it is.\Oh, Fakir!\Morning!\What's with you, this early in the morning?\Hey, do you like plays, Fakir? response:	Ballet is dancing, but there's stories to it and stuff, you know?
context: In the story, you're no longer needed.\Now, you'll just be forgotten.\I wonder what kind of play it is.\Oh, Fakir!\Morning!\What's with you, this early in the morning?\Hey, do you like plays, Fakir?\Ballet is dancing, but there's stories to it and stuff, you know? response:	So it's kind of like a play, I mean...
context: Now, you'll just be forgotten.\I wonder what kind of play it is.\Oh, Fakir!\Morning!\What's with you, this early in the morning?\Hey, do you like plays, Fakir?\Ballet is dancing, but there's stories to it and stuff, you know?\So it's kind of like a play, I mean... response:	What are you trying to say?
context: I wonder what kind of play it is.\Oh, Fakir!\Morning!\What's with you, this early in the morning?\Hey, do you like plays, Fakir?\Ballet is dancing, but there's stories to it and stuff, you know?\So it's kind of like a play, I mean...\What are you trying to say? response:	See, the people from the Drama Club say they want you to dance the ballet in their play.
context: Oh, Fakir!\Morning!\What's with you, this early in the morning?\Hey, do you like plays, Fakir?\Ballet is dancing, but there's stories to it and stuff, you know?\So it's kind of like a play, I mean...\What are you trying to say?\See, the people from the Drama Club say they want you to dance the ballet in their play. response:	So read this script!
context: Morning!\What's with you, this early in the morning?\Hey, do you like plays, Fakir?\Ballet is dancing, but there's stories to it and stuff, you know?\So it's kind of like a play, I mean...\What are you trying to say?\See, the people from the Drama Club say they want you to dance the ballet in their play.\So read this script! response:	I mean, if you join clubs and stuff it'll be easier for you to come to school, right?
context: What's with you, this early in the morning?\Hey, do you like plays, Fakir?\Ballet is dancing, but there's stories to it and stuff, you know?\So it's kind of like a play, I mean...\What are you trying to say?\See, the people from the Drama Club say they want you to dance the ballet in their play.\So read this script!\I mean, if you join clubs and stuff it'll be easier for you to come to school, right? response:	I want you to stick close to Mytho as much as you can, so...
context: Hey, do you like plays, Fakir?\Ballet is dancing, but there's stories to it and stuff, you know?\So it's kind of like a play, I mean...\What are you trying to say?\See, the people from the Drama Club say they want you to dance the ballet in their play.\So read this script!\I mean, if you join clubs and stuff it'll be easier for you to come to school, right?\I want you to stick close to Mytho as much as you can, so... response:	Fakir?
context: Ballet is dancing, but there's stories to it and stuff, you know?\So it's kind of like a play, I mean...\What are you trying to say?\See, the people from the Drama Club say they want you to dance the ballet in their play.\So read this script!\I mean, if you join clubs and stuff it'll be easier for you to come to school, right?\I want you to stick close to Mytho as much as you can, so...\Fakir? response:	I don't need you to tell me to do that.
context: So it's kind of like a play, I mean...\What are you trying to say?\See, the people from the Drama Club say they want you to dance the ballet in their play.\So read this script!\I mean, if you join clubs and stuff it'll be easier for you to come to school, right?\I want you to stick close to Mytho as much as you can, so...\Fakir?\I don't need you to tell me to do that. response:	Okay! I'll leave it to you, then!
context: What are you trying to say?\See, the people from the Drama Club say they want you to dance the ballet in their play.\So read this script!\I mean, if you join clubs and stuff it'll be easier for you to come to school, right?\I want you to stick close to Mytho as much as you can, so...\Fakir?\I don't need you to tell me to do that.\Okay! I'll leave it to you, then! response:	Hey, wait!
context: See, the people from the Drama Club say they want you to dance the ballet in their play.\So read this script!\I mean, if you join clubs and stuff it'll be easier for you to come to school, right?\I want you to stick close to Mytho as much as you can, so...\Fakir?\I don't need you to tell me to do that.\Okay! I'll leave it to you, then!\Hey, wait! response:	Fakir-san.
context: So read this script!\I mean, if you join clubs and stuff it'll be easier for you to come to school, right?\I want you to stick close to Mytho as much as you can, so...\Fakir?\I don't need you to tell me to do that.\Okay! I'll leave it to you, then!\Hey, wait!\Fakir-san. response:	Cat-sensei?
context: I mean, if you join clubs and stuff it'll be easier for you to come to school, right?\I want you to stick close to Mytho as much as you can, so...\Fakir?\I don't need you to tell me to do that.\Okay! I'll leave it to you, then!\Hey, wait!\Fakir-san.\Cat-sensei? response:	You needn't worry so much.
context: I want you to stick close to Mytho as much as you can, so...\Fakir?\I don't need you to tell me to do that.\Okay! I'll leave it to you, then!\Hey, wait!\Fakir-san.\Cat-sensei?\You needn't worry so much. response:	Bad blood between people has a way of eventually going away.
context: Fakir?\I don't need you to tell me to do that.\Okay! I'll leave it to you, then!\Hey, wait!\Fakir-san.\Cat-sensei?\You needn't worry so much.\Bad blood between people has a way of eventually going away. response:	Oh, are you doing a club activity? That's excellent.
context: I don't need you to tell me to do that.\Okay! I'll leave it to you, then!\Hey, wait!\Fakir-san.\Cat-sensei?\You needn't worry so much.\Bad blood between people has a way of eventually going away.\Oh, are you doing a club activity? That's excellent. response:	Boys and girls working towards one goal, sweating youthful sweat together...
context: Okay! I'll leave it to you, then!\Hey, wait!\Fakir-san.\Cat-sensei?\You needn't worry so much.\Bad blood between people has a way of eventually going away.\Oh, are you doing a club activity? That's excellent.\Boys and girls working towards one goal, sweating youthful sweat together... response:	As you're doing that, a new meeting!
context: Hey, wait!\Fakir-san.\Cat-sensei?\You needn't worry so much.\Bad blood between people has a way of eventually going away.\Oh, are you doing a club activity? That's excellent.\Boys and girls working towards one goal, sweating youthful sweat together...\As you're doing that, a new meeting! response:	And eventually, love blooms! And marriage...
context: Fakir-san.\Cat-sensei?\You needn't worry so much.\Bad blood between people has a way of eventually going away.\Oh, are you doing a club activity? That's excellent.\Boys and girls working towards one goal, sweating youthful sweat together...\As you're doing that, a new meeting!\And eventually, love blooms! And marriage... response:	Anyway, it is important to be involved in something in a positive manner.
context: Cat-sensei?\You needn't worry so much.\Bad blood between people has a way of eventually going away.\Oh, are you doing a club activity? That's excellent.\Boys and girls working towards one goal, sweating youthful sweat together...\As you're doing that, a new meeting!\And eventually, love blooms! And marriage...\Anyway, it is important to be involved in something in a positive manner. response:	Cat-sensei.
context: You needn't worry so much.\Bad blood between people has a way of eventually going away.\Oh, are you doing a club activity? That's excellent.\Boys and girls working towards one goal, sweating youthful sweat together...\As you're doing that, a new meeting!\And eventually, love blooms! And marriage...\Anyway, it is important to be involved in something in a positive manner.\Cat-sensei. response:	Yes?
context: Bad blood between people has a way of eventually going away.\Oh, are you doing a club activity? That's excellent.\Boys and girls working towards one goal, sweating youthful sweat together...\As you're doing that, a new meeting!\And eventually, love blooms! And marriage...\Anyway, it is important to be involved in something in a positive manner.\Cat-sensei.\Yes? response:	Do you think it's possible to turn a love made impure back to normal?
context: Oh, are you doing a club activity? That's excellent.\Boys and girls working towards one goal, sweating youthful sweat together...\As you're doing that, a new meeting!\And eventually, love blooms! And marriage...\Anyway, it is important to be involved in something in a positive manner.\Cat-sensei.\Yes?\Do you think it's possible to turn a love made impure back to normal? response:	That is a difficult issue.
context: Boys and girls working towards one goal, sweating youthful sweat together...\As you're doing that, a new meeting!\And eventually, love blooms! And marriage...\Anyway, it is important to be involved in something in a positive manner.\Cat-sensei.\Yes?\Do you think it's possible to turn a love made impure back to normal?\That is a difficult issue. response:	What is an impure love?
context: As you're doing that, a new meeting!\And eventually, love blooms! And marriage...\Anyway, it is important to be involved in something in a positive manner.\Cat-sensei.\Yes?\Do you think it's possible to turn a love made impure back to normal?\That is a difficult issue.\What is an impure love? response:	What?
context: And eventually, love blooms! And marriage...\Anyway, it is important to be involved in something in a positive manner.\Cat-sensei.\Yes?\Do you think it's possible to turn a love made impure back to normal?\That is a difficult issue.\What is an impure love?\What? response:	Who can say that Odile's love is impure?
context: Anyway, it is important to be involved in something in a positive manner.\Cat-sensei.\Yes?\Do you think it's possible to turn a love made impure back to normal?\That is a difficult issue.\What is an impure love?\What?\Who can say that Odile's love is impure? response:	What do you mean?
context: Cat-sensei.\Yes?\Do you think it's possible to turn a love made impure back to normal?\That is a difficult issue.\What is an impure love?\What?\Who can say that Odile's love is impure?\What do you mean? response:	This is...
context: Yes?\Do you think it's possible to turn a love made impure back to normal?\That is a difficult issue.\What is an impure love?\What?\Who can say that Odile's love is impure?\What do you mean?\This is... response:	I wonder if Fakir read the script.
context: Do you think it's possible to turn a love made impure back to normal?\That is a difficult issue.\What is an impure love?\What?\Who can say that Odile's love is impure?\What do you mean?\This is...\I wonder if Fakir read the script. response:	Oh, this must be it.
context: That is a difficult issue.\What is an impure love?\What?\Who can say that Odile's love is impure?\What do you mean?\This is...\I wonder if Fakir read the script.\Oh, this must be it. response:	Hello!
context: What is an impure love?\What?\Who can say that Odile's love is impure?\What do you mean?\This is...\I wonder if Fakir read the script.\Oh, this must be it.\Hello! response:	Is anybody here?
context: What?\Who can say that Odile's love is impure?\What do you mean?\This is...\I wonder if Fakir read the script.\Oh, this must be it.\Hello!\Is anybody here? response:	Is Fakir he... I guess he wouldn't be.
context: Who can say that Odile's love is impure?\What do you mean?\This is...\I wonder if Fakir read the script.\Oh, this must be it.\Hello!\Is anybody here?\Is Fakir he... I guess he wouldn't be. response:	Hey.
context: What do you mean?\This is...\I wonder if Fakir read the script.\Oh, this must be it.\Hello!\Is anybody here?\Is Fakir he... I guess he wouldn't be.\Hey. response:	Qua...
context: This is...\I wonder if Fakir read the script.\Oh, this must be it.\Hello!\Is anybody here?\Is Fakir he... I guess he wouldn't be.\Hey.\Qua... response:	Fakir! You came...
context: I wonder if Fakir read the script.\Oh, this must be it.\Hello!\Is anybody here?\Is Fakir he... I guess he wouldn't be.\Hey.\Qua...\Fakir! You came... response:	Where's the rest of this script?
context: Oh, this must be it.\Hello!\Is anybody here?\Is Fakir he... I guess he wouldn't be.\Hey.\Qua...\Fakir! You came...\Where's the rest of this script? response:	Huh? What do you mean the rest?
context: Hello!\Is anybody here?\Is Fakir he... I guess he wouldn't be.\Hey.\Qua...\Fakir! You came...\Where's the rest of this script?\Huh? What do you mean the rest? response:	It ends in the middle.
context: Is anybody here?\Is Fakir he... I guess he wouldn't be.\Hey.\Qua...\Fakir! You came...\Where's the rest of this script?\Huh? What do you mean the rest?\It ends in the middle. response:	It does?
