context: I love this place. response:	I can walk on my own two feet here!
context: Because this is going to be a massive operation.\Deceleration complete in 5 seconds...\Three, two, one.\Engines, all stop. We are now at a stop relative to pier 12.\Power down engines.\Once mooring is complete, begin inspections and resupplying.\Ensign Kaizuka, are you in?\It's open. response:	How are you feeling, Inaho?
context: Deceleration complete in 5 seconds...\Three, two, one.\Engines, all stop. We are now at a stop relative to pier 12.\Power down engines.\Once mooring is complete, begin inspections and resupplying.\Ensign Kaizuka, are you in?\It's open.\How are you feeling, Inaho? response:	Not bad, I guess. It still hurts a little, though.
context: Three, two, one.\Engines, all stop. We are now at a stop relative to pier 12.\Power down engines.\Once mooring is complete, begin inspections and resupplying.\Ensign Kaizuka, are you in?\It's open.\How are you feeling, Inaho?\Not bad, I guess. It still hurts a little, though. response:	Don't you have pills?
context: Engines, all stop. We are now at a stop relative to pier 12.\Power down engines.\Once mooring is complete, begin inspections and resupplying.\Ensign Kaizuka, are you in?\It's open.\How are you feeling, Inaho?\Not bad, I guess. It still hurts a little, though.\Don't you have pills? response:	I feel better when I take them,
context: Power down engines.\Once mooring is complete, begin inspections and resupplying.\Ensign Kaizuka, are you in?\It's open.\How are you feeling, Inaho?\Not bad, I guess. It still hurts a little, though.\Don't you have pills?\I feel better when I take them, response:	but it degrades the sensitivity of the neural link.
context: Once mooring is complete, begin inspections and resupplying.\Ensign Kaizuka, are you in?\It's open.\How are you feeling, Inaho?\Not bad, I guess. It still hurts a little, though.\Don't you have pills?\I feel better when I take them,\but it degrades the sensitivity of the neural link. response:	Oh, that makes sense...
context: Ensign Kaizuka, are you in?\It's open.\How are you feeling, Inaho?\Not bad, I guess. It still hurts a little, though.\Don't you have pills?\I feel better when I take them,\but it degrades the sensitivity of the neural link.\Oh, that makes sense... response:	It must be rough.
context: It's open.\How are you feeling, Inaho?\Not bad, I guess. It still hurts a little, though.\Don't you have pills?\I feel better when I take them,\but it degrades the sensitivity of the neural link.\Oh, that makes sense...\It must be rough. response:	It looks like an ordinary eye to me.
context: How are you feeling, Inaho?\Not bad, I guess. It still hurts a little, though.\Don't you have pills?\I feel better when I take them,\but it degrades the sensitivity of the neural link.\Oh, that makes sense...\It must be rough.\It looks like an ordinary eye to me. response:	How well does it work?
context: Not bad, I guess. It still hurts a little, though.\Don't you have pills?\I feel better when I take them,\but it degrades the sensitivity of the neural link.\Oh, that makes sense...\It must be rough.\It looks like an ordinary eye to me.\How well does it work? response:	I get by with it.
context: Don't you have pills?\I feel better when I take them,\but it degrades the sensitivity of the neural link.\Oh, that makes sense...\It must be rough.\It looks like an ordinary eye to me.\How well does it work?\I get by with it. response:	It's a developmental prototype, so the code needs to be improved,
context: I feel better when I take them,\but it degrades the sensitivity of the neural link.\Oh, that makes sense...\It must be rough.\It looks like an ordinary eye to me.\How well does it work?\I get by with it.\It's a developmental prototype, so the code needs to be improved, response:	but I can make out most things.
context: but it degrades the sensitivity of the neural link.\Oh, that makes sense...\It must be rough.\It looks like an ordinary eye to me.\How well does it work?\I get by with it.\It's a developmental prototype, so the code needs to be improved,\but I can make out most things. response:	Catch.
context: Oh, that makes sense...\It must be rough.\It looks like an ordinary eye to me.\How well does it work?\I get by with it.\It's a developmental prototype, so the code needs to be improved,\but I can make out most things.\Catch. response:	Thanks.
context: It must be rough.\It looks like an ordinary eye to me.\How well does it work?\I get by with it.\It's a developmental prototype, so the code needs to be improved,\but I can make out most things.\Catch.\Thanks. response:	Weight, 49.2kg. Have you gained a little weight?
context: It looks like an ordinary eye to me.\How well does it work?\I get by with it.\It's a developmental prototype, so the code needs to be improved,\but I can make out most things.\Catch.\Thanks.\Weight, 49.2kg. Have you gained a little weight? response:	H-How could you know that?
context: How well does it work?\I get by with it.\It's a developmental prototype, so the code needs to be improved,\but I can make out most things.\Catch.\Thanks.\Weight, 49.2kg. Have you gained a little weight?\H-How could you know that? response:	I used 3D measurements to calculate the change in momentum
context: I get by with it.\It's a developmental prototype, so the code needs to be improved,\but I can make out most things.\Catch.\Thanks.\Weight, 49.2kg. Have you gained a little weight?\H-How could you know that?\I used 3D measurements to calculate the change in momentum response:	when you caught that 200g pack and worked out your total mass.
context: It's a developmental prototype, so the code needs to be improved,\but I can make out most things.\Catch.\Thanks.\Weight, 49.2kg. Have you gained a little weight?\H-How could you know that?\I used 3D measurements to calculate the change in momentum\when you caught that 200g pack and worked out your total mass. response:	I subtracted the estimated weight of your uniform from that.
context: but I can make out most things.\Catch.\Thanks.\Weight, 49.2kg. Have you gained a little weight?\H-How could you know that?\I used 3D measurements to calculate the change in momentum\when you caught that 200g pack and worked out your total mass.\I subtracted the estimated weight of your uniform from that. response:	I'm not getting fat! I have more muscle mass from exercising, that's all.
context: Catch.\Thanks.\Weight, 49.2kg. Have you gained a little weight?\H-How could you know that?\I used 3D measurements to calculate the change in momentum\when you caught that 200g pack and worked out your total mass.\I subtracted the estimated weight of your uniform from that.\I'm not getting fat! I have more muscle mass from exercising, that's all. response:	That's a lie. I can see stress in the formant analysis of your voice.
context: Thanks.\Weight, 49.2kg. Have you gained a little weight?\H-How could you know that?\I used 3D measurements to calculate the change in momentum\when you caught that 200g pack and worked out your total mass.\I subtracted the estimated weight of your uniform from that.\I'm not getting fat! I have more muscle mass from exercising, that's all.\That's a lie. I can see stress in the formant analysis of your voice. response:	Are you sure it's not broken?
context: Weight, 49.2kg. Have you gained a little weight?\H-How could you know that?\I used 3D measurements to calculate the change in momentum\when you caught that 200g pack and worked out your total mass.\I subtracted the estimated weight of your uniform from that.\I'm not getting fat! I have more muscle mass from exercising, that's all.\That's a lie. I can see stress in the formant analysis of your voice.\Are you sure it's not broken? response:	It's working perfectly.
context: H-How could you know that?\I used 3D measurements to calculate the change in momentum\when you caught that 200g pack and worked out your total mass.\I subtracted the estimated weight of your uniform from that.\I'm not getting fat! I have more muscle mass from exercising, that's all.\That's a lie. I can see stress in the formant analysis of your voice.\Are you sure it's not broken?\It's working perfectly. response:	Now what?
context: I used 3D measurements to calculate the change in momentum\when you caught that 200g pack and worked out your total mass.\I subtracted the estimated weight of your uniform from that.\I'm not getting fat! I have more muscle mass from exercising, that's all.\That's a lie. I can see stress in the formant analysis of your voice.\Are you sure it's not broken?\It's working perfectly.\Now what? response:	I can see identical stress patterns in her voice.
context: when you caught that 200g pack and worked out your total mass.\I subtracted the estimated weight of your uniform from that.\I'm not getting fat! I have more muscle mass from exercising, that's all.\That's a lie. I can see stress in the formant analysis of your voice.\Are you sure it's not broken?\It's working perfectly.\Now what?\I can see identical stress patterns in her voice. response:	Especially here.
context: I subtracted the estimated weight of your uniform from that.\I'm not getting fat! I have more muscle mass from exercising, that's all.\That's a lie. I can see stress in the formant analysis of your voice.\Are you sure it's not broken?\It's working perfectly.\Now what?\I can see identical stress patterns in her voice.\Especially here. response:	I, Vers Empire Princess Royal Asseylum Vers Allusia...
context: I'm not getting fat! I have more muscle mass from exercising, that's all.\That's a lie. I can see stress in the formant analysis of your voice.\Are you sure it's not broken?\It's working perfectly.\Now what?\I can see identical stress patterns in her voice.\Especially here.\I, Vers Empire Princess Royal Asseylum Vers Allusia... response:	Hang on! If that is a lie, it means...
context: That's a lie. I can see stress in the formant analysis of your voice.\Are you sure it's not broken?\It's working perfectly.\Now what?\I can see identical stress patterns in her voice.\Especially here.\I, Vers Empire Princess Royal Asseylum Vers Allusia...\Hang on! If that is a lie, it means... response:	she isn't really the princess.
context: Are you sure it's not broken?\It's working perfectly.\Now what?\I can see identical stress patterns in her voice.\Especially here.\I, Vers Empire Princess Royal Asseylum Vers Allusia...\Hang on! If that is a lie, it means...\she isn't really the princess. response:	This part's waveform is definitely a lie. Have you been stress eating?
context: It's working perfectly.\Now what?\I can see identical stress patterns in her voice.\Especially here.\I, Vers Empire Princess Royal Asseylum Vers Allusia...\Hang on! If that is a lie, it means...\she isn't really the princess.\This part's waveform is definitely a lie. Have you been stress eating? response:	I haven't been stress eating!
context: Now what?\I can see identical stress patterns in her voice.\Especially here.\I, Vers Empire Princess Royal Asseylum Vers Allusia...\Hang on! If that is a lie, it means...\she isn't really the princess.\This part's waveform is definitely a lie. Have you been stress eating?\I haven't been stress eating! response:	Your stress went up again.
context: I can see identical stress patterns in her voice.\Especially here.\I, Vers Empire Princess Royal Asseylum Vers Allusia...\Hang on! If that is a lie, it means...\she isn't really the princess.\This part's waveform is definitely a lie. Have you been stress eating?\I haven't been stress eating!\Your stress went up again. response:	I'm not talking to you ever again!
context: Especially here.\I, Vers Empire Princess Royal Asseylum Vers Allusia...\Hang on! If that is a lie, it means...\she isn't really the princess.\This part's waveform is definitely a lie. Have you been stress eating?\I haven't been stress eating!\Your stress went up again.\I'm not talking to you ever again! response:	Something wrong?
context: I, Vers Empire Princess Royal Asseylum Vers Allusia...\Hang on! If that is a lie, it means...\she isn't really the princess.\This part's waveform is definitely a lie. Have you been stress eating?\I haven't been stress eating!\Your stress went up again.\I'm not talking to you ever again!\Something wrong? response:	Not really. I thought it would be easy to read Inko.
context: Hang on! If that is a lie, it means...\she isn't really the princess.\This part's waveform is definitely a lie. Have you been stress eating?\I haven't been stress eating!\Your stress went up again.\I'm not talking to you ever again!\Something wrong?\Not really. I thought it would be easy to read Inko. response:	That clinches it.
context: she isn't really the princess.\This part's waveform is definitely a lie. Have you been stress eating?\I haven't been stress eating!\Your stress went up again.\I'm not talking to you ever again!\Something wrong?\Not really. I thought it would be easy to read Inko.\That clinches it. response:	You really are an idiot, aren't you?
context: This part's waveform is definitely a lie. Have you been stress eating?\I haven't been stress eating!\Your stress went up again.\I'm not talking to you ever again!\Something wrong?\Not really. I thought it would be easy to read Inko.\That clinches it.\You really are an idiot, aren't you? response:	You're telling the truth.
context: I haven't been stress eating!\Your stress went up again.\I'm not talking to you ever again!\Something wrong?\Not really. I thought it would be easy to read Inko.\That clinches it.\You really are an idiot, aren't you?\You're telling the truth. response:	Milord Slaine.
context: Your stress went up again.\I'm not talking to you ever again!\Something wrong?\Not really. I thought it would be easy to read Inko.\That clinches it.\You really are an idiot, aren't you?\You're telling the truth.\Milord Slaine. response:	Eddelrittuo, shouldn't you be with Princess Lemrina?
context: I'm not talking to you ever again!\Something wrong?\Not really. I thought it would be easy to read Inko.\That clinches it.\You really are an idiot, aren't you?\You're telling the truth.\Milord Slaine.\Eddelrittuo, shouldn't you be with Princess Lemrina? response:	It's all right. I won't tell anyone.
context: Something wrong?\Not really. I thought it would be easy to read Inko.\That clinches it.\You really are an idiot, aren't you?\You're telling the truth.\Milord Slaine.\Eddelrittuo, shouldn't you be with Princess Lemrina?\It's all right. I won't tell anyone. response:	I'm sorry...
context: Not really. I thought it would be easy to read Inko.\That clinches it.\You really are an idiot, aren't you?\You're telling the truth.\Milord Slaine.\Eddelrittuo, shouldn't you be with Princess Lemrina?\It's all right. I won't tell anyone.\I'm sorry... response:	Oh, right. We spotted that ship you told us about.
context: That clinches it.\You really are an idiot, aren't you?\You're telling the truth.\Milord Slaine.\Eddelrittuo, shouldn't you be with Princess Lemrina?\It's all right. I won't tell anyone.\I'm sorry...\Oh, right. We spotted that ship you told us about. response:	The Deucalion?
context: You really are an idiot, aren't you?\You're telling the truth.\Milord Slaine.\Eddelrittuo, shouldn't you be with Princess Lemrina?\It's all right. I won't tell anyone.\I'm sorry...\Oh, right. We spotted that ship you told us about.\The Deucalion? response:	It looks like they were secretly repairing it.
context: You're telling the truth.\Milord Slaine.\Eddelrittuo, shouldn't you be with Princess Lemrina?\It's all right. I won't tell anyone.\I'm sorry...\Oh, right. We spotted that ship you told us about.\The Deucalion?\It looks like they were secretly repairing it. response:	Reports say it defeated Baron Yacoym and came up into space.
context: Milord Slaine.\Eddelrittuo, shouldn't you be with Princess Lemrina?\It's all right. I won't tell anyone.\I'm sorry...\Oh, right. We spotted that ship you told us about.\The Deucalion?\It looks like they were secretly repairing it.\Reports say it defeated Baron Yacoym and came up into space. response:	We might be forced to fight them.
context: Eddelrittuo, shouldn't you be with Princess Lemrina?\It's all right. I won't tell anyone.\I'm sorry...\Oh, right. We spotted that ship you told us about.\The Deucalion?\It looks like they were secretly repairing it.\Reports say it defeated Baron Yacoym and came up into space.\We might be forced to fight them. response:	Do you suppose that would make Princess Asseylum sad?
context: It's all right. I won't tell anyone.\I'm sorry...\Oh, right. We spotted that ship you told us about.\The Deucalion?\It looks like they were secretly repairing it.\Reports say it defeated Baron Yacoym and came up into space.\We might be forced to fight them.\Do you suppose that would make Princess Asseylum sad? response:	I wonder when she will wake up...
context: I'm sorry...\Oh, right. We spotted that ship you told us about.\The Deucalion?\It looks like they were secretly repairing it.\Reports say it defeated Baron Yacoym and came up into space.\We might be forced to fight them.\Do you suppose that would make Princess Asseylum sad?\I wonder when she will wake up... response:	What if she never...
context: Oh, right. We spotted that ship you told us about.\The Deucalion?\It looks like they were secretly repairing it.\Reports say it defeated Baron Yacoym and came up into space.\We might be forced to fight them.\Do you suppose that would make Princess Asseylum sad?\I wonder when she will wake up...\What if she never... response:	Don't worry.
context: The Deucalion?\It looks like they were secretly repairing it.\Reports say it defeated Baron Yacoym and came up into space.\We might be forced to fight them.\Do you suppose that would make Princess Asseylum sad?\I wonder when she will wake up...\What if she never...\Don't worry. response:	We will see her smile again.
context: It looks like they were secretly repairing it.\Reports say it defeated Baron Yacoym and came up into space.\We might be forced to fight them.\Do you suppose that would make Princess Asseylum sad?\I wonder when she will wake up...\What if she never...\Don't worry.\We will see her smile again. response:	I know it.
context: Reports say it defeated Baron Yacoym and came up into space.\We might be forced to fight them.\Do you suppose that would make Princess Asseylum sad?\I wonder when she will wake up...\What if she never...\Don't worry.\We will see her smile again.\I know it. response:	Milady...
context: We might be forced to fight them.\Do you suppose that would make Princess Asseylum sad?\I wonder when she will wake up...\What if she never...\Don't worry.\We will see her smile again.\I know it.\Milady... response:	I have asked Asseylum to do what you wanted.
context: Do you suppose that would make Princess Asseylum sad?\I wonder when she will wake up...\What if she never...\Don't worry.\We will see her smile again.\I know it.\Milady...\I have asked Asseylum to do what you wanted. response:	Everything has been arranged. You may rest assured.
context: I wonder when she will wake up...\What if she never...\Don't worry.\We will see her smile again.\I know it.\Milady...\I have asked Asseylum to do what you wanted.\Everything has been arranged. You may rest assured. response:	I once lied to him that she had been assassinated,
context: What if she never...\Don't worry.\We will see her smile again.\I know it.\Milady...\I have asked Asseylum to do what you wanted.\Everything has been arranged. You may rest assured.\I once lied to him that she had been assassinated, response:	and now I am lying to him that she is alive...
context: Don't worry.\We will see her smile again.\I know it.\Milady...\I have asked Asseylum to do what you wanted.\Everything has been arranged. You may rest assured.\I once lied to him that she had been assassinated,\and now I am lying to him that she is alive... response:	Slaine. What is your opinion of Vers as it is now?
context: We will see her smile again.\I know it.\Milady...\I have asked Asseylum to do what you wanted.\Everything has been arranged. You may rest assured.\I once lied to him that she had been assassinated,\and now I am lying to him that she is alive...\Slaine. What is your opinion of Vers as it is now? response:	It is not my place to offer an opinion on our sacred homeland.
context: I know it.\Milady...\I have asked Asseylum to do what you wanted.\Everything has been arranged. You may rest assured.\I once lied to him that she had been assassinated,\and now I am lying to him that she is alive...\Slaine. What is your opinion of Vers as it is now?\It is not my place to offer an opinion on our sacred homeland. response:	It is all right. You may speak freely.
context: Milady...\I have asked Asseylum to do what you wanted.\Everything has been arranged. You may rest assured.\I once lied to him that she had been assassinated,\and now I am lying to him that she is alive...\Slaine. What is your opinion of Vers as it is now?\It is not my place to offer an opinion on our sacred homeland.\It is all right. You may speak freely. response:	I believe it is possible for our society,
context: I have asked Asseylum to do what you wanted.\Everything has been arranged. You may rest assured.\I once lied to him that she had been assassinated,\and now I am lying to him that she is alive...\Slaine. What is your opinion of Vers as it is now?\It is not my place to offer an opinion on our sacred homeland.\It is all right. You may speak freely.\I believe it is possible for our society, response:	with its powerless, impoverished citizenry,
context: Everything has been arranged. You may rest assured.\I once lied to him that she had been assassinated,\and now I am lying to him that she is alive...\Slaine. What is your opinion of Vers as it is now?\It is not my place to offer an opinion on our sacred homeland.\It is all right. You may speak freely.\I believe it is possible for our society,\with its powerless, impoverished citizenry, response:	to become prosperous by conquering Earth, making it a domain, and taking its resources.
context: I once lied to him that she had been assassinated,\and now I am lying to him that she is alive...\Slaine. What is your opinion of Vers as it is now?\It is not my place to offer an opinion on our sacred homeland.\It is all right. You may speak freely.\I believe it is possible for our society,\with its powerless, impoverished citizenry,\to become prosperous by conquering Earth, making it a domain, and taking its resources. response:	However...
context: and now I am lying to him that she is alive...\Slaine. What is your opinion of Vers as it is now?\It is not my place to offer an opinion on our sacred homeland.\It is all right. You may speak freely.\I believe it is possible for our society,\with its powerless, impoverished citizenry,\to become prosperous by conquering Earth, making it a domain, and taking its resources.\However... response:	That wealth is likely to find its way to only the upper classes
context: Slaine. What is your opinion of Vers as it is now?\It is not my place to offer an opinion on our sacred homeland.\It is all right. You may speak freely.\I believe it is possible for our society,\with its powerless, impoverished citizenry,\to become prosperous by conquering Earth, making it a domain, and taking its resources.\However...\That wealth is likely to find its way to only the upper classes response:	and will not improve the lives of the citizens in the slightest.
context: It is not my place to offer an opinion on our sacred homeland.\It is all right. You may speak freely.\I believe it is possible for our society,\with its powerless, impoverished citizenry,\to become prosperous by conquering Earth, making it a domain, and taking its resources.\However...\That wealth is likely to find its way to only the upper classes\and will not improve the lives of the citizens in the slightest. response:	What is your suggestion, then?
context: It is all right. You may speak freely.\I believe it is possible for our society,\with its powerless, impoverished citizenry,\to become prosperous by conquering Earth, making it a domain, and taking its resources.\However...\That wealth is likely to find its way to only the upper classes\and will not improve the lives of the citizens in the slightest.\What is your suggestion, then? response:	Aldnoah...
context: I believe it is possible for our society,\with its powerless, impoverished citizenry,\to become prosperous by conquering Earth, making it a domain, and taking its resources.\However...\That wealth is likely to find its way to only the upper classes\and will not improve the lives of the citizens in the slightest.\What is your suggestion, then?\Aldnoah... response:	Those who possess Aldnoah control everything.
context: with its powerless, impoverished citizenry,\to become prosperous by conquering Earth, making it a domain, and taking its resources.\However...\That wealth is likely to find its way to only the upper classes\and will not improve the lives of the citizens in the slightest.\What is your suggestion, then?\Aldnoah...\Those who possess Aldnoah control everything. response:	That is the problem in a nutshell.
context: to become prosperous by conquering Earth, making it a domain, and taking its resources.\However...\That wealth is likely to find its way to only the upper classes\and will not improve the lives of the citizens in the slightest.\What is your suggestion, then?\Aldnoah...\Those who possess Aldnoah control everything.\That is the problem in a nutshell. response:	Well put.
context: However...\That wealth is likely to find its way to only the upper classes\and will not improve the lives of the citizens in the slightest.\What is your suggestion, then?\Aldnoah...\Those who possess Aldnoah control everything.\That is the problem in a nutshell.\Well put. response:	We owe much to His Imperial Majesty for unearthing Aldnoah.
context: That wealth is likely to find its way to only the upper classes\and will not improve the lives of the citizens in the slightest.\What is your suggestion, then?\Aldnoah...\Those who possess Aldnoah control everything.\That is the problem in a nutshell.\Well put.\We owe much to His Imperial Majesty for unearthing Aldnoah. response:	But it was a grave sin
context: and will not improve the lives of the citizens in the slightest.\What is your suggestion, then?\Aldnoah...\Those who possess Aldnoah control everything.\That is the problem in a nutshell.\Well put.\We owe much to His Imperial Majesty for unearthing Aldnoah.\But it was a grave sin response:	to hoard that power and create a society where the powerful control all.
context: What is your suggestion, then?\Aldnoah...\Those who possess Aldnoah control everything.\That is the problem in a nutshell.\Well put.\We owe much to His Imperial Majesty for unearthing Aldnoah.\But it was a grave sin\to hoard that power and create a society where the powerful control all. response:	When we have achieved victory and seized the Earth, that red world will change.
context: Aldnoah...\Those who possess Aldnoah control everything.\That is the problem in a nutshell.\Well put.\We owe much to His Imperial Majesty for unearthing Aldnoah.\But it was a grave sin\to hoard that power and create a society where the powerful control all.\When we have achieved victory and seized the Earth, that red world will change. response:	Lend me your strength, Slaine.
context: Those who possess Aldnoah control everything.\That is the problem in a nutshell.\Well put.\We owe much to His Imperial Majesty for unearthing Aldnoah.\But it was a grave sin\to hoard that power and create a society where the powerful control all.\When we have achieved victory and seized the Earth, that red world will change.\Lend me your strength, Slaine. response:	I will, Count Saazbaum.
context: That is the problem in a nutshell.\Well put.\We owe much to His Imperial Majesty for unearthing Aldnoah.\But it was a grave sin\to hoard that power and create a society where the powerful control all.\When we have achieved victory and seized the Earth, that red world will change.\Lend me your strength, Slaine.\I will, Count Saazbaum. response:	Is my beloved steed ready?
