context: ' Good morning'' Good morning. response:	Hey how did you know we have a test at 1 o'clock today?
context: Yes' I remember'\Yue and I did live here with Clow.\But you haven't remembered until now?\He used magic to erase our memories.\Then how did you just remember?\I wonder why?\Come to think of it, Eriol said yesterday'It's finally over'\If anything odd should happen, Tomoyo, you' response:	I have my camera ready!
context: Yue and I did live here with Clow.\But you haven't remembered until now?\He used magic to erase our memories.\Then how did you just remember?\I wonder why?\Come to think of it, Eriol said yesterday'It's finally over'\If anything odd should happen, Tomoyo, you'\I have my camera ready! response:	Tomoyo-chan'
context: But you haven't remembered until now?\He used magic to erase our memories.\Then how did you just remember?\I wonder why?\Come to think of it, Eriol said yesterday'It's finally over'\If anything odd should happen, Tomoyo, you'\I have my camera ready!\Tomoyo-chan' response:	Come on, lets go.
context: He used magic to erase our memories.\Then how did you just remember?\I wonder why?\Come to think of it, Eriol said yesterday'It's finally over'\If anything odd should happen, Tomoyo, you'\I have my camera ready!\Tomoyo-chan'\Come on, lets go. response:	Be careful.
context: Then how did you just remember?\I wonder why?\Come to think of it, Eriol said yesterday'It's finally over'\If anything odd should happen, Tomoyo, you'\I have my camera ready!\Tomoyo-chan'\Come on, lets go.\Be careful. response:	We've been waiting for you.
context: I wonder why?\Come to think of it, Eriol said yesterday'It's finally over'\If anything odd should happen, Tomoyo, you'\I have my camera ready!\Tomoyo-chan'\Come on, lets go.\Be careful.\We've been waiting for you. response:	Now, please, come this way, it's all ready for you!
context: Come to think of it, Eriol said yesterday'It's finally over'\If anything odd should happen, Tomoyo, you'\I have my camera ready!\Tomoyo-chan'\Come on, lets go.\Be careful.\We've been waiting for you.\Now, please, come this way, it's all ready for you! response:	O' ok'
context: If anything odd should happen, Tomoyo, you'\I have my camera ready!\Tomoyo-chan'\Come on, lets go.\Be careful.\We've been waiting for you.\Now, please, come this way, it's all ready for you!\O' ok' response:	Wait right just a minute! What's waiting for us!?
context: I have my camera ready!\Tomoyo-chan'\Come on, lets go.\Be careful.\We've been waiting for you.\Now, please, come this way, it's all ready for you!\O' ok'\Wait right just a minute! What's waiting for us!? response:	Can't you see it's a tea party?
context: Tomoyo-chan'\Come on, lets go.\Be careful.\We've been waiting for you.\Now, please, come this way, it's all ready for you!\O' ok'\Wait right just a minute! What's waiting for us!?\Can't you see it's a tea party? response:	Nobody told me about this!
context: Come on, lets go.\Be careful.\We've been waiting for you.\Now, please, come this way, it's all ready for you!\O' ok'\Wait right just a minute! What's waiting for us!?\Can't you see it's a tea party?\Nobody told me about this! response:	Have some sweets, then we can talk.
context: Be careful.\We've been waiting for you.\Now, please, come this way, it's all ready for you!\O' ok'\Wait right just a minute! What's waiting for us!?\Can't you see it's a tea party?\Nobody told me about this!\Have some sweets, then we can talk. response:	OKAY! Only Clow could be this nice!
context: We've been waiting for you.\Now, please, come this way, it's all ready for you!\O' ok'\Wait right just a minute! What's waiting for us!?\Can't you see it's a tea party?\Nobody told me about this!\Have some sweets, then we can talk.\OKAY! Only Clow could be this nice! response:	Please, take a seat.
context: Now, please, come this way, it's all ready for you!\O' ok'\Wait right just a minute! What's waiting for us!?\Can't you see it's a tea party?\Nobody told me about this!\Have some sweets, then we can talk.\OKAY! Only Clow could be this nice!\Please, take a seat. response:	Don't worry, it's over.
context: O' ok'\Wait right just a minute! What's waiting for us!?\Can't you see it's a tea party?\Nobody told me about this!\Have some sweets, then we can talk.\OKAY! Only Clow could be this nice!\Please, take a seat.\Don't worry, it's over. response:	Over?
context: Wait right just a minute! What's waiting for us!?\Can't you see it's a tea party?\Nobody told me about this!\Have some sweets, then we can talk.\OKAY! Only Clow could be this nice!\Please, take a seat.\Don't worry, it's over.\Over? response:	Here you go.
context: Can't you see it's a tea party?\Nobody told me about this!\Have some sweets, then we can talk.\OKAY! Only Clow could be this nice!\Please, take a seat.\Don't worry, it's over.\Over?\Here you go. response:	Thank you very much.
context: Nobody told me about this!\Have some sweets, then we can talk.\OKAY! Only Clow could be this nice!\Please, take a seat.\Don't worry, it's over.\Over?\Here you go.\Thank you very much. response:	Now what did you wish to talk about?
context: Have some sweets, then we can talk.\OKAY! Only Clow could be this nice!\Please, take a seat.\Don't worry, it's over.\Over?\Here you go.\Thank you very much.\Now what did you wish to talk about? response:	What did you mean when you said'It's over'?
context: OKAY! Only Clow could be this nice!\Please, take a seat.\Don't worry, it's over.\Over?\Here you go.\Thank you very much.\Now what did you wish to talk about?\What did you mean when you said'It's over'? response:	You said the same thing yesterday.
context: Please, take a seat.\Don't worry, it's over.\Over?\Here you go.\Thank you very much.\Now what did you wish to talk about?\What did you mean when you said'It's over'?\You said the same thing yesterday. response:	Yesterday, the last of the Clow cards were turned into your Sakura cards.
context: Don't worry, it's over.\Over?\Here you go.\Thank you very much.\Now what did you wish to talk about?\What did you mean when you said'It's over'?\You said the same thing yesterday.\Yesterday, the last of the Clow cards were turned into your Sakura cards. response:	My task is finished. That's what I meant.
context: Over?\Here you go.\Thank you very much.\Now what did you wish to talk about?\What did you mean when you said'It's over'?\You said the same thing yesterday.\Yesterday, the last of the Clow cards were turned into your Sakura cards.\My task is finished. That's what I meant. response:	Task?
context: Here you go.\Thank you very much.\Now what did you wish to talk about?\What did you mean when you said'It's over'?\You said the same thing yesterday.\Yesterday, the last of the Clow cards were turned into your Sakura cards.\My task is finished. That's what I meant.\Task? response:	The cards
context: Thank you very much.\Now what did you wish to talk about?\What did you mean when you said'It's over'?\You said the same thing yesterday.\Yesterday, the last of the Clow cards were turned into your Sakura cards.\My task is finished. That's what I meant.\Task?\The cards response:	live off of
context: Now what did you wish to talk about?\What did you mean when you said'It's over'?\You said the same thing yesterday.\Yesterday, the last of the Clow cards were turned into your Sakura cards.\My task is finished. That's what I meant.\Task?\The cards\live off of response:	the magic of their master.
context: What did you mean when you said'It's over'?\You said the same thing yesterday.\Yesterday, the last of the Clow cards were turned into your Sakura cards.\My task is finished. That's what I meant.\Task?\The cards\live off of\the magic of their master. response:	Without Clow Reed to support them,
context: You said the same thing yesterday.\Yesterday, the last of the Clow cards were turned into your Sakura cards.\My task is finished. That's what I meant.\Task?\The cards\live off of\the magic of their master.\Without Clow Reed to support them, response:	they would have become regular cards.
context: Yesterday, the last of the Clow cards were turned into your Sakura cards.\My task is finished. That's what I meant.\Task?\The cards\live off of\the magic of their master.\Without Clow Reed to support them,\they would have become regular cards. response:	You have saved them
context: My task is finished. That's what I meant.\Task?\The cards\live off of\the magic of their master.\Without Clow Reed to support them,\they would have become regular cards.\You have saved them response:	with your magic.
context: Task?\The cards\live off of\the magic of their master.\Without Clow Reed to support them,\they would have become regular cards.\You have saved them\with your magic. response:	And so'
context: The cards\live off of\the magic of their master.\Without Clow Reed to support them,\they would have become regular cards.\You have saved them\with your magic.\And so' response:	You created problems that would cause Sakura to use the cards.
context: live off of\the magic of their master.\Without Clow Reed to support them,\they would have become regular cards.\You have saved them\with your magic.\And so'\You created problems that would cause Sakura to use the cards. response:	It was my duty as the reincarnation of Clow Reed.
context: the magic of their master.\Without Clow Reed to support them,\they would have become regular cards.\You have saved them\with your magic.\And so'\You created problems that would cause Sakura to use the cards.\It was my duty as the reincarnation of Clow Reed. response:	I must apologize for what is to come.
context: Without Clow Reed to support them,\they would have become regular cards.\You have saved them\with your magic.\And so'\You created problems that would cause Sakura to use the cards.\It was my duty as the reincarnation of Clow Reed.\I must apologize for what is to come. response:	Clow-san'
context: they would have become regular cards.\You have saved them\with your magic.\And so'\You created problems that would cause Sakura to use the cards.\It was my duty as the reincarnation of Clow Reed.\I must apologize for what is to come.\Clow-san' response:	Wait a minute! Why didn't you just ask at the beginning!?
context: You have saved them\with your magic.\And so'\You created problems that would cause Sakura to use the cards.\It was my duty as the reincarnation of Clow Reed.\I must apologize for what is to come.\Clow-san'\Wait a minute! Why didn't you just ask at the beginning!? response:	If we had, you wouldn't have tried as hard.
context: with your magic.\And so'\You created problems that would cause Sakura to use the cards.\It was my duty as the reincarnation of Clow Reed.\I must apologize for what is to come.\Clow-san'\Wait a minute! Why didn't you just ask at the beginning!?\If we had, you wouldn't have tried as hard. response:	WHAT?!
context: And so'\You created problems that would cause Sakura to use the cards.\It was my duty as the reincarnation of Clow Reed.\I must apologize for what is to come.\Clow-san'\Wait a minute! Why didn't you just ask at the beginning!?\If we had, you wouldn't have tried as hard.\WHAT?! response:	Eriol decided that this was the best way.
context: You created problems that would cause Sakura to use the cards.\It was my duty as the reincarnation of Clow Reed.\I must apologize for what is to come.\Clow-san'\Wait a minute! Why didn't you just ask at the beginning!?\If we had, you wouldn't have tried as hard.\WHAT?!\Eriol decided that this was the best way. response:	We didn't know what the new card mistress was like
context: It was my duty as the reincarnation of Clow Reed.\I must apologize for what is to come.\Clow-san'\Wait a minute! Why didn't you just ask at the beginning!?\If we had, you wouldn't have tried as hard.\WHAT?!\Eriol decided that this was the best way.\We didn't know what the new card mistress was like response:	and this would work no matter what.
context: I must apologize for what is to come.\Clow-san'\Wait a minute! Why didn't you just ask at the beginning!?\If we had, you wouldn't have tried as hard.\WHAT?!\Eriol decided that this was the best way.\We didn't know what the new card mistress was like\and this would work no matter what. response:	Right, Sakura-chan?
context: Clow-san'\Wait a minute! Why didn't you just ask at the beginning!?\If we had, you wouldn't have tried as hard.\WHAT?!\Eriol decided that this was the best way.\We didn't know what the new card mistress was like\and this would work no matter what.\Right, Sakura-chan? response:	Y' yes.
context: Wait a minute! Why didn't you just ask at the beginning!?\If we had, you wouldn't have tried as hard.\WHAT?!\Eriol decided that this was the best way.\We didn't know what the new card mistress was like\and this would work no matter what.\Right, Sakura-chan?\Y' yes. response:	Do you get it now?
context: If we had, you wouldn't have tried as hard.\WHAT?!\Eriol decided that this was the best way.\We didn't know what the new card mistress was like\and this would work no matter what.\Right, Sakura-chan?\Y' yes.\Do you get it now? response:	I GOT IT!
context: WHAT?!\Eriol decided that this was the best way.\We didn't know what the new card mistress was like\and this would work no matter what.\Right, Sakura-chan?\Y' yes.\Do you get it now?\I GOT IT! response:	Thank you.
context: Eriol decided that this was the best way.\We didn't know what the new card mistress was like\and this would work no matter what.\Right, Sakura-chan?\Y' yes.\Do you get it now?\I GOT IT!\Thank you. response:	I understand it all now.
context: We didn't know what the new card mistress was like\and this would work no matter what.\Right, Sakura-chan?\Y' yes.\Do you get it now?\I GOT IT!\Thank you.\I understand it all now. response:	As the new mistress,
context: and this would work no matter what.\Right, Sakura-chan?\Y' yes.\Do you get it now?\I GOT IT!\Thank you.\I understand it all now.\As the new mistress, response:	I had to refresh the cards with my magic.
context: Right, Sakura-chan?\Y' yes.\Do you get it now?\I GOT IT!\Thank you.\I understand it all now.\As the new mistress,\I had to refresh the cards with my magic. response:	That's not quite all.
context: Y' yes.\Do you get it now?\I GOT IT!\Thank you.\I understand it all now.\As the new mistress,\I had to refresh the cards with my magic.\That's not quite all. response:	There were other things I couldn't predict.
context: Do you get it now?\I GOT IT!\Thank you.\I understand it all now.\As the new mistress,\I had to refresh the cards with my magic.\That's not quite all.\There were other things I couldn't predict. response:	What kind of things couldn't you predict?
context: I GOT IT!\Thank you.\I understand it all now.\As the new mistress,\I had to refresh the cards with my magic.\That's not quite all.\There were other things I couldn't predict.\What kind of things couldn't you predict? response:	Uh. What kind of'
context: Thank you.\I understand it all now.\As the new mistress,\I had to refresh the cards with my magic.\That's not quite all.\There were other things I couldn't predict.\What kind of things couldn't you predict?\Uh. What kind of' response:	Don't worry about it.
context: I understand it all now.\As the new mistress,\I had to refresh the cards with my magic.\That's not quite all.\There were other things I couldn't predict.\What kind of things couldn't you predict?\Uh. What kind of'\Don't worry about it. response:	I'll have to keep those a secret.
context: As the new mistress,\I had to refresh the cards with my magic.\That's not quite all.\There were other things I couldn't predict.\What kind of things couldn't you predict?\Uh. What kind of'\Don't worry about it.\I'll have to keep those a secret. response:	Actually, there's another guest you should meet.
context: I had to refresh the cards with my magic.\That's not quite all.\There were other things I couldn't predict.\What kind of things couldn't you predict?\Uh. What kind of'\Don't worry about it.\I'll have to keep those a secret.\Actually, there's another guest you should meet. response:	I wonder who it could be.
context: That's not quite all.\There were other things I couldn't predict.\What kind of things couldn't you predict?\Uh. What kind of'\Don't worry about it.\I'll have to keep those a secret.\Actually, there's another guest you should meet.\I wonder who it could be. response:	I don't know who.
context: There were other things I couldn't predict.\What kind of things couldn't you predict?\Uh. What kind of'\Don't worry about it.\I'll have to keep those a secret.\Actually, there's another guest you should meet.\I wonder who it could be.\I don't know who. response:	She has been waiting to see you.
context: What kind of things couldn't you predict?\Uh. What kind of'\Don't worry about it.\I'll have to keep those a secret.\Actually, there's another guest you should meet.\I wonder who it could be.\I don't know who.\She has been waiting to see you. response:	Please come in.
context: Uh. What kind of'\Don't worry about it.\I'll have to keep those a secret.\Actually, there's another guest you should meet.\I wonder who it could be.\I don't know who.\She has been waiting to see you.\Please come in. response:	Ah!
context: Don't worry about it.\I'll have to keep those a secret.\Actually, there's another guest you should meet.\I wonder who it could be.\I don't know who.\She has been waiting to see you.\Please come in.\Ah! response:	Mizuki-sensei!
context: I'll have to keep those a secret.\Actually, there's another guest you should meet.\I wonder who it could be.\I don't know who.\She has been waiting to see you.\Please come in.\Ah!\Mizuki-sensei! response:	The shrine lady?
context: Actually, there's another guest you should meet.\I wonder who it could be.\I don't know who.\She has been waiting to see you.\Please come in.\Ah!\Mizuki-sensei!\The shrine lady? response:	It's been a long time.
context: I wonder who it could be.\I don't know who.\She has been waiting to see you.\Please come in.\Ah!\Mizuki-sensei!\The shrine lady?\It's been a long time. response:	Why are you here?
context: I don't know who.\She has been waiting to see you.\Please come in.\Ah!\Mizuki-sensei!\The shrine lady?\It's been a long time.\Why are you here? response:	You knew? About Eriol?
context: She has been waiting to see you.\Please come in.\Ah!\Mizuki-sensei!\The shrine lady?\It's been a long time.\Why are you here?\You knew? About Eriol? response:	Yes.
context: Please come in.\Ah!\Mizuki-sensei!\The shrine lady?\It's been a long time.\Why are you here?\You knew? About Eriol?\Yes. response:	I met him while I was at the University in England.
context: Ah!\Mizuki-sensei!\The shrine lady?\It's been a long time.\Why are you here?\You knew? About Eriol?\Yes.\I met him while I was at the University in England. response:	I heard he was Clow Reed's reincarnation and thought I might help him.
context: Mizuki-sensei!\The shrine lady?\It's been a long time.\Why are you here?\You knew? About Eriol?\Yes.\I met him while I was at the University in England.\I heard he was Clow Reed's reincarnation and thought I might help him. response:	That's how you got the bell he made for the final judgment.
context: The shrine lady?\It's been a long time.\Why are you here?\You knew? About Eriol?\Yes.\I met him while I was at the University in England.\I heard he was Clow Reed's reincarnation and thought I might help him.\That's how you got the bell he made for the final judgment. response:	He asked me to deliver it for him.
context: It's been a long time.\Why are you here?\You knew? About Eriol?\Yes.\I met him while I was at the University in England.\I heard he was Clow Reed's reincarnation and thought I might help him.\That's how you got the bell he made for the final judgment.\He asked me to deliver it for him. response:	Thank you very much.
context: Why are you here?\You knew? About Eriol?\Yes.\I met him while I was at the University in England.\I heard he was Clow Reed's reincarnation and thought I might help him.\That's how you got the bell he made for the final judgment.\He asked me to deliver it for him.\Thank you very much. response:	Then' when I wrote to you about the strange things that were happening'
context: You knew? About Eriol?\Yes.\I met him while I was at the University in England.\I heard he was Clow Reed's reincarnation and thought I might help him.\That's how you got the bell he made for the final judgment.\He asked me to deliver it for him.\Thank you very much.\Then' when I wrote to you about the strange things that were happening' response:	I really wish I could have told you the truth'
context: Yes.\I met him while I was at the University in England.\I heard he was Clow Reed's reincarnation and thought I might help him.\That's how you got the bell he made for the final judgment.\He asked me to deliver it for him.\Thank you very much.\Then' when I wrote to you about the strange things that were happening'\I really wish I could have told you the truth' response:	I'm sorry.
context: I met him while I was at the University in England.\I heard he was Clow Reed's reincarnation and thought I might help him.\That's how you got the bell he made for the final judgment.\He asked me to deliver it for him.\Thank you very much.\Then' when I wrote to you about the strange things that were happening'\I really wish I could have told you the truth'\I'm sorry. response:	So, everything was Clow's plan.
context: I heard he was Clow Reed's reincarnation and thought I might help him.\That's how you got the bell he made for the final judgment.\He asked me to deliver it for him.\Thank you very much.\Then' when I wrote to you about the strange things that were happening'\I really wish I could have told you the truth'\I'm sorry.\So, everything was Clow's plan. response:	Not quite.
context: That's how you got the bell he made for the final judgment.\He asked me to deliver it for him.\Thank you very much.\Then' when I wrote to you about the strange things that were happening'\I really wish I could have told you the truth'\I'm sorry.\So, everything was Clow's plan.\Not quite. response:	I'll go fetch some more snacks.
context: He asked me to deliver it for him.\Thank you very much.\Then' when I wrote to you about the strange things that were happening'\I really wish I could have told you the truth'\I'm sorry.\So, everything was Clow's plan.\Not quite.\I'll go fetch some more snacks. response:	Now that we've changed all the cards,
context: Thank you very much.\Then' when I wrote to you about the strange things that were happening'\I really wish I could have told you the truth'\I'm sorry.\So, everything was Clow's plan.\Not quite.\I'll go fetch some more snacks.\Now that we've changed all the cards, response:	it's time to PARTY! LET'S EAT!
context: Then' when I wrote to you about the strange things that were happening'\I really wish I could have told you the truth'\I'm sorry.\So, everything was Clow's plan.\Not quite.\I'll go fetch some more snacks.\Now that we've changed all the cards,\it's time to PARTY! LET'S EAT! response:	Suppi eat too!
context: I really wish I could have told you the truth'\I'm sorry.\So, everything was Clow's plan.\Not quite.\I'll go fetch some more snacks.\Now that we've changed all the cards,\it's time to PARTY! LET'S EAT!\Suppi eat too! response:	AHH!
context: I'm sorry.\So, everything was Clow's plan.\Not quite.\I'll go fetch some more snacks.\Now that we've changed all the cards,\it's time to PARTY! LET'S EAT!\Suppi eat too!\AHH! response:	He's being weird again!
context: So, everything was Clow's plan.\Not quite.\I'll go fetch some more snacks.\Now that we've changed all the cards,\it's time to PARTY! LET'S EAT!\Suppi eat too!\AHH!\He's being weird again! response:	I'm not weird!
context: Not quite.\I'll go fetch some more snacks.\Now that we've changed all the cards,\it's time to PARTY! LET'S EAT!\Suppi eat too!\AHH!\He's being weird again!\I'm not weird! response:	Why don't you come in, Yue?
context: I'll go fetch some more snacks.\Now that we've changed all the cards,\it's time to PARTY! LET'S EAT!\Suppi eat too!\AHH!\He's being weird again!\I'm not weird!\Why don't you come in, Yue? response:	I still haven't heard your answer to yesterday's question.
context: Now that we've changed all the cards,\it's time to PARTY! LET'S EAT!\Suppi eat too!\AHH!\He's being weird again!\I'm not weird!\Why don't you come in, Yue?\I still haven't heard your answer to yesterday's question. response:	Why did we have to get a new master if you would be reborn?
context: it's time to PARTY! LET'S EAT!\Suppi eat too!\AHH!\He's being weird again!\I'm not weird!\Why don't you come in, Yue?\I still haven't heard your answer to yesterday's question.\Why did we have to get a new master if you would be reborn? response:	I'm surprised you haven't realized'
context: Suppi eat too!\AHH!\He's being weird again!\I'm not weird!\Why don't you come in, Yue?\I still haven't heard your answer to yesterday's question.\Why did we have to get a new master if you would be reborn?\I'm surprised you haven't realized' response:	Even though I have his memories,
context: AHH!\He's being weird again!\I'm not weird!\Why don't you come in, Yue?\I still haven't heard your answer to yesterday's question.\Why did we have to get a new master if you would be reborn?\I'm surprised you haven't realized'\Even though I have his memories, response:	I am not truly him.
context: He's being weird again!\I'm not weird!\Why don't you come in, Yue?\I still haven't heard your answer to yesterday's question.\Why did we have to get a new master if you would be reborn?\I'm surprised you haven't realized'\Even though I have his memories,\I am not truly him. response:	He will never fully return.
context: I'm not weird!\Why don't you come in, Yue?\I still haven't heard your answer to yesterday's question.\Why did we have to get a new master if you would be reborn?\I'm surprised you haven't realized'\Even though I have his memories,\I am not truly him.\He will never fully return. response:	That is why he left you two to Sakura-san.
context: Why don't you come in, Yue?\I still haven't heard your answer to yesterday's question.\Why did we have to get a new master if you would be reborn?\I'm surprised you haven't realized'\Even though I have his memories,\I am not truly him.\He will never fully return.\That is why he left you two to Sakura-san. response:	Even so' Even so'
context: I still haven't heard your answer to yesterday's question.\Why did we have to get a new master if you would be reborn?\I'm surprised you haven't realized'\Even though I have his memories,\I am not truly him.\He will never fully return.\That is why he left you two to Sakura-san.\Even so' Even so' response:	Why couldn't you have waited, Clow?
context: Why did we have to get a new master if you would be reborn?\I'm surprised you haven't realized'\Even though I have his memories,\I am not truly him.\He will never fully return.\That is why he left you two to Sakura-san.\Even so' Even so'\Why couldn't you have waited, Clow? response:	It's not that I don't like our new master'
context: I'm surprised you haven't realized'\Even though I have his memories,\I am not truly him.\He will never fully return.\That is why he left you two to Sakura-san.\Even so' Even so'\Why couldn't you have waited, Clow?\It's not that I don't like our new master' response:	You like her a lot.
context: Even though I have his memories,\I am not truly him.\He will never fully return.\That is why he left you two to Sakura-san.\Even so' Even so'\Why couldn't you have waited, Clow?\It's not that I don't like our new master'\You like her a lot. response:	But'
context: I am not truly him.\He will never fully return.\That is why he left you two to Sakura-san.\Even so' Even so'\Why couldn't you have waited, Clow?\It's not that I don't like our new master'\You like her a lot.\But' response:	Clow is no longer.
context: He will never fully return.\That is why he left you two to Sakura-san.\Even so' Even so'\Why couldn't you have waited, Clow?\It's not that I don't like our new master'\You like her a lot.\But'\Clow is no longer. response:	But, you still remember him.
context: That is why he left you two to Sakura-san.\Even so' Even so'\Why couldn't you have waited, Clow?\It's not that I don't like our new master'\You like her a lot.\But'\Clow is no longer.\But, you still remember him. response:	You can talk to me whenever you wish.
context: Even so' Even so'\Why couldn't you have waited, Clow?\It's not that I don't like our new master'\You like her a lot.\But'\Clow is no longer.\But, you still remember him.\You can talk to me whenever you wish. response:	About he who is so important to you.
