context: The scenery's pretty invigorating, isn't it? response:	Yunosagi's over there.
context: I was shocked when\Takako asked whether we wanted to be filmed or not, but-\I have no objections.\What?\I'll allow you free reign to do what you want this time.\What?\Anyway, due to a strongly-worded request from the director,\we're thinking about offering you roles in the film, response:	even if they're big ones.
context: Takako asked whether we wanted to be filmed or not, but-\I have no objections.\What?\I'll allow you free reign to do what you want this time.\What?\Anyway, due to a strongly-worded request from the director,\we're thinking about offering you roles in the film,\even if they're big ones. response:	We'd like to hold a small audition
context: I have no objections.\What?\I'll allow you free reign to do what you want this time.\What?\Anyway, due to a strongly-worded request from the director,\we're thinking about offering you roles in the film,\even if they're big ones.\We'd like to hold a small audition response:	when the director comes.
context: What?\I'll allow you free reign to do what you want this time.\What?\Anyway, due to a strongly-worded request from the director,\we're thinking about offering you roles in the film,\even if they're big ones.\We'd like to hold a small audition\when the director comes. response:	I'm so excited!
context: I'll allow you free reign to do what you want this time.\What?\Anyway, due to a strongly-worded request from the director,\we're thinking about offering you roles in the film,\even if they're big ones.\We'd like to hold a small audition\when the director comes.\I'm so excited! response:	I feel like it's going to be an amazing summer!
context: What?\Anyway, due to a strongly-worded request from the director,\we're thinking about offering you roles in the film,\even if they're big ones.\We'd like to hold a small audition\when the director comes.\I'm so excited!\I feel like it's going to be an amazing summer! response:	Yeah!
context: Anyway, due to a strongly-worded request from the director,\we're thinking about offering you roles in the film,\even if they're big ones.\We'd like to hold a small audition\when the director comes.\I'm so excited!\I feel like it's going to be an amazing summer!\Yeah! response:	I'd like to play a great female spy who's
context: we're thinking about offering you roles in the film,\even if they're big ones.\We'd like to hold a small audition\when the director comes.\I'm so excited!\I feel like it's going to be an amazing summer!\Yeah!\I'd like to play a great female spy who's response:	an ex-Olympic high diver!
context: even if they're big ones.\We'd like to hold a small audition\when the director comes.\I'm so excited!\I feel like it's going to be an amazing summer!\Yeah!\I'd like to play a great female spy who's\an ex-Olympic high diver! response:	Bang!
context: We'd like to hold a small audition\when the director comes.\I'm so excited!\I feel like it's going to be an amazing summer!\Yeah!\I'd like to play a great female spy who's\an ex-Olympic high diver!\Bang! response:	Hey, Minchi, what kind of role do you want?
context: when the director comes.\I'm so excited!\I feel like it's going to be an amazing summer!\Yeah!\I'd like to play a great female spy who's\an ex-Olympic high diver!\Bang!\Hey, Minchi, what kind of role do you want? response:	I want-
context: I'm so excited!\I feel like it's going to be an amazing summer!\Yeah!\I'd like to play a great female spy who's\an ex-Olympic high diver!\Bang!\Hey, Minchi, what kind of role do you want?\I want- response:	A chef.
context: I feel like it's going to be an amazing summer!\Yeah!\I'd like to play a great female spy who's\an ex-Olympic high diver!\Bang!\Hey, Minchi, what kind of role do you want?\I want-\A chef. response:	But we're acting in a movie!
context: Yeah!\I'd like to play a great female spy who's\an ex-Olympic high diver!\Bang!\Hey, Minchi, what kind of role do you want?\I want-\A chef.\But we're acting in a movie! response:	You can be whatever you want!
context: I'd like to play a great female spy who's\an ex-Olympic high diver!\Bang!\Hey, Minchi, what kind of role do you want?\I want-\A chef.\But we're acting in a movie!\You can be whatever you want! response:	A female police officer, a cabin attendant, a nurse-
context: an ex-Olympic high diver!\Bang!\Hey, Minchi, what kind of role do you want?\I want-\A chef.\But we're acting in a movie!\You can be whatever you want!\A female police officer, a cabin attendant, a nurse- response:	Are you a perverted old man?
context: Bang!\Hey, Minchi, what kind of role do you want?\I want-\A chef.\But we're acting in a movie!\You can be whatever you want!\A female police officer, a cabin attendant, a nurse-\Are you a perverted old man? response:	As expected from Minchi...
context: Hey, Minchi, what kind of role do you want?\I want-\A chef.\But we're acting in a movie!\You can be whatever you want!\A female police officer, a cabin attendant, a nurse-\Are you a perverted old man?\As expected from Minchi... response:	Yeah...
context: I want-\A chef.\But we're acting in a movie!\You can be whatever you want!\A female police officer, a cabin attendant, a nurse-\Are you a perverted old man?\As expected from Minchi...\Yeah... response:	I heard you've left the young master
context: A chef.\But we're acting in a movie!\You can be whatever you want!\A female police officer, a cabin attendant, a nurse-\Are you a perverted old man?\As expected from Minchi...\Yeah...\I heard you've left the young master response:	in charge of the investment for the movie.
context: But we're acting in a movie!\You can be whatever you want!\A female police officer, a cabin attendant, a nurse-\Are you a perverted old man?\As expected from Minchi...\Yeah...\I heard you've left the young master\in charge of the investment for the movie. response:	That's correct.
context: You can be whatever you want!\A female police officer, a cabin attendant, a nurse-\Are you a perverted old man?\As expected from Minchi...\Yeah...\I heard you've left the young master\in charge of the investment for the movie.\That's correct. response:	A movie... how wonderful.
context: A female police officer, a cabin attendant, a nurse-\Are you a perverted old man?\As expected from Minchi...\Yeah...\I heard you've left the young master\in charge of the investment for the movie.\That's correct.\A movie... how wonderful. response:	Mariko Kaga from Withered Flower was very cute.
context: Are you a perverted old man?\As expected from Minchi...\Yeah...\I heard you've left the young master\in charge of the investment for the movie.\That's correct.\A movie... how wonderful.\Mariko Kaga from Withered Flower was very cute. response:	Oh, so you still aren't withered, are you, Denroku?
context: As expected from Minchi...\Yeah...\I heard you've left the young master\in charge of the investment for the movie.\That's correct.\A movie... how wonderful.\Mariko Kaga from Withered Flower was very cute.\Oh, so you still aren't withered, are you, Denroku? response:	Not yet, I'm afraid.
context: Yeah...\I heard you've left the young master\in charge of the investment for the movie.\That's correct.\A movie... how wonderful.\Mariko Kaga from Withered Flower was very cute.\Oh, so you still aren't withered, are you, Denroku?\Not yet, I'm afraid. response:	I'm asking you because you're
context: I heard you've left the young master\in charge of the investment for the movie.\That's correct.\A movie... how wonderful.\Mariko Kaga from Withered Flower was very cute.\Oh, so you still aren't withered, are you, Denroku?\Not yet, I'm afraid.\I'm asking you because you're response:	dedicated enough to relocate to the
context: in charge of the investment for the movie.\That's correct.\A movie... how wonderful.\Mariko Kaga from Withered Flower was very cute.\Oh, so you still aren't withered, are you, Denroku?\Not yet, I'm afraid.\I'm asking you because you're\dedicated enough to relocate to the response:	countryside in order to write.
context: That's correct.\A movie... how wonderful.\Mariko Kaga from Withered Flower was very cute.\Oh, so you still aren't withered, are you, Denroku?\Not yet, I'm afraid.\I'm asking you because you're\dedicated enough to relocate to the\countryside in order to write. response:	You want me to write 40 pages
context: A movie... how wonderful.\Mariko Kaga from Withered Flower was very cute.\Oh, so you still aren't withered, are you, Denroku?\Not yet, I'm afraid.\I'm asking you because you're\dedicated enough to relocate to the\countryside in order to write.\You want me to write 40 pages response:	to take up 10 minutes of the film?
