context: Everyone, thank you for giving me courage. response:	Evil beings, in the name of the moon,
context: Stop wasting your time and quietly hand me the Silver Crystal.\Sailor Moon.\Die.\Mamoru...\Dumpling Head.\Mamoru...\Soon, the sun will be covered entirely by sunspots\and Queen Metalia will be revived. response:	That is enough, Endymion.
context: Sailor Moon.\Die.\Mamoru...\Dumpling Head.\Mamoru...\Soon, the sun will be covered entirely by sunspots\and Queen Metalia will be revived.\That is enough, Endymion. response:	Cut off the princess's head!
context: Die.\Mamoru...\Dumpling Head.\Mamoru...\Soon, the sun will be covered entirely by sunspots\and Queen Metalia will be revived.\That is enough, Endymion.\Cut off the princess's head! response:	It's no use!
context: Mamoru...\Dumpling Head.\Mamoru...\Soon, the sun will be covered entirely by sunspots\and Queen Metalia will be revived.\That is enough, Endymion.\Cut off the princess's head!\It's no use! response:	Soon, Queen Metalia will be revived.
context: Dumpling Head.\Mamoru...\Soon, the sun will be covered entirely by sunspots\and Queen Metalia will be revived.\That is enough, Endymion.\Cut off the princess's head!\It's no use!\Soon, Queen Metalia will be revived. response:	When she fills this world with her dark energy
context: Mamoru...\Soon, the sun will be covered entirely by sunspots\and Queen Metalia will be revived.\That is enough, Endymion.\Cut off the princess's head!\It's no use!\Soon, Queen Metalia will be revived.\When she fills this world with her dark energy response:	by using the Silver Crystal,
context: Soon, the sun will be covered entirely by sunspots\and Queen Metalia will be revived.\That is enough, Endymion.\Cut off the princess's head!\It's no use!\Soon, Queen Metalia will be revived.\When she fills this world with her dark energy\by using the Silver Crystal, response:	she is certain to utilize its power to the maximum.
context: and Queen Metalia will be revived.\That is enough, Endymion.\Cut off the princess's head!\It's no use!\Soon, Queen Metalia will be revived.\When she fills this world with her dark energy\by using the Silver Crystal,\she is certain to utilize its power to the maximum. response:	Everything you have been doing will have been meaningless!
context: That is enough, Endymion.\Cut off the princess's head!\It's no use!\Soon, Queen Metalia will be revived.\When she fills this world with her dark energy\by using the Silver Crystal,\she is certain to utilize its power to the maximum.\Everything you have been doing will have been meaningless! response:	Endymion has dark energy within him.
context: Cut off the princess's head!\It's no use!\Soon, Queen Metalia will be revived.\When she fills this world with her dark energy\by using the Silver Crystal,\she is certain to utilize its power to the maximum.\Everything you have been doing will have been meaningless!\Endymion has dark energy within him. response:	You will not be able to defeat him so easily.
context: It's no use!\Soon, Queen Metalia will be revived.\When she fills this world with her dark energy\by using the Silver Crystal,\she is certain to utilize its power to the maximum.\Everything you have been doing will have been meaningless!\Endymion has dark energy within him.\You will not be able to defeat him so easily. response:	Stop...
context: Soon, Queen Metalia will be revived.\When she fills this world with her dark energy\by using the Silver Crystal,\she is certain to utilize its power to the maximum.\Everything you have been doing will have been meaningless!\Endymion has dark energy within him.\You will not be able to defeat him so easily.\Stop... response:	Sailor Moon!
context: When she fills this world with her dark energy\by using the Silver Crystal,\she is certain to utilize its power to the maximum.\Everything you have been doing will have been meaningless!\Endymion has dark energy within him.\You will not be able to defeat him so easily.\Stop...\Sailor Moon! response:	Stop...
context: by using the Silver Crystal,\she is certain to utilize its power to the maximum.\Everything you have been doing will have been meaningless!\Endymion has dark energy within him.\You will not be able to defeat him so easily.\Stop...\Sailor Moon!\Stop... response:	Die!
context: she is certain to utilize its power to the maximum.\Everything you have been doing will have been meaningless!\Endymion has dark energy within him.\You will not be able to defeat him so easily.\Stop...\Sailor Moon!\Stop...\Die! response:	Please stop!
context: Everything you have been doing will have been meaningless!\Endymion has dark energy within him.\You will not be able to defeat him so easily.\Stop...\Sailor Moon!\Stop...\Die!\Please stop! response:	Please remember.
context: Endymion has dark energy within him.\You will not be able to defeat him so easily.\Stop...\Sailor Moon!\Stop...\Die!\Please stop!\Please remember. response:	I am Serenity.
context: You will not be able to defeat him so easily.\Stop...\Sailor Moon!\Stop...\Die!\Please stop!\Please remember.\I am Serenity. response:	In the distant past, we swore to love one another.
context: Stop...\Sailor Moon!\Stop...\Die!\Please stop!\Please remember.\I am Serenity.\In the distant past, we swore to love one another. response:	I am Serenity of the Moon Kingdom.
context: Sailor Moon!\Stop...\Die!\Please stop!\Please remember.\I am Serenity.\In the distant past, we swore to love one another.\I am Serenity of the Moon Kingdom. response:	Anyone who opposes the Dark Kingdom must die!
context: Stop...\Die!\Please stop!\Please remember.\I am Serenity.\In the distant past, we swore to love one another.\I am Serenity of the Moon Kingdom.\Anyone who opposes the Dark Kingdom must die! response:	You are just being corrupted by the bad energy.
context: Die!\Please stop!\Please remember.\I am Serenity.\In the distant past, we swore to love one another.\I am Serenity of the Moon Kingdom.\Anyone who opposes the Dark Kingdom must die!\You are just being corrupted by the bad energy. response:	Please regain your gentle heart...
context: Please stop!\Please remember.\I am Serenity.\In the distant past, we swore to love one another.\I am Serenity of the Moon Kingdom.\Anyone who opposes the Dark Kingdom must die!\You are just being corrupted by the bad energy.\Please regain your gentle heart... response:	I don't want to. I don't want to fight you!
context: Please remember.\I am Serenity.\In the distant past, we swore to love one another.\I am Serenity of the Moon Kingdom.\Anyone who opposes the Dark Kingdom must die!\You are just being corrupted by the bad energy.\Please regain your gentle heart...\I don't want to. I don't want to fight you! response:	So, please.
context: I am Serenity.\In the distant past, we swore to love one another.\I am Serenity of the Moon Kingdom.\Anyone who opposes the Dark Kingdom must die!\You are just being corrupted by the bad energy.\Please regain your gentle heart...\I don't want to. I don't want to fight you!\So, please. response:	What?!
context: In the distant past, we swore to love one another.\I am Serenity of the Moon Kingdom.\Anyone who opposes the Dark Kingdom must die!\You are just being corrupted by the bad energy.\Please regain your gentle heart...\I don't want to. I don't want to fight you!\So, please.\What?! response:	Who am I?
context: I am Serenity of the Moon Kingdom.\Anyone who opposes the Dark Kingdom must die!\You are just being corrupted by the bad energy.\Please regain your gentle heart...\I don't want to. I don't want to fight you!\So, please.\What?!\Who am I? response:	I can't remember anything! Am I all alone?!
context: Anyone who opposes the Dark Kingdom must die!\You are just being corrupted by the bad energy.\Please regain your gentle heart...\I don't want to. I don't want to fight you!\So, please.\What?!\Who am I?\I can't remember anything! Am I all alone?! response:	No, you're not.
context: You are just being corrupted by the bad energy.\Please regain your gentle heart...\I don't want to. I don't want to fight you!\So, please.\What?!\Who am I?\I can't remember anything! Am I all alone?!\No, you're not. response:	You have me.
context: Please regain your gentle heart...\I don't want to. I don't want to fight you!\So, please.\What?!\Who am I?\I can't remember anything! Am I all alone?!\No, you're not.\You have me. response:	What?
context: I don't want to. I don't want to fight you!\So, please.\What?!\Who am I?\I can't remember anything! Am I all alone?!\No, you're not.\You have me.\What? response:	Don't worry. You're not alone.
context: So, please.\What?!\Who am I?\I can't remember anything! Am I all alone?!\No, you're not.\You have me.\What?\Don't worry. You're not alone. response:	Mamoru!
context: What?!\Who am I?\I can't remember anything! Am I all alone?!\No, you're not.\You have me.\What?\Don't worry. You're not alone.\Mamoru! response:	Usagi...
context: Who am I?\I can't remember anything! Am I all alone?!\No, you're not.\You have me.\What?\Don't worry. You're not alone.\Mamoru!\Usagi... response:	Thank you.
context: I can't remember anything! Am I all alone?!\No, you're not.\You have me.\What?\Don't worry. You're not alone.\Mamoru!\Usagi...\Thank you. response:	Mamoru...
context: No, you're not.\You have me.\What?\Don't worry. You're not alone.\Mamoru!\Usagi...\Thank you.\Mamoru... response:	I'm so glad!
context: You have me.\What?\Don't worry. You're not alone.\Mamoru!\Usagi...\Thank you.\Mamoru...\I'm so glad! response:	I will not forgive you, Princess!
context: What?\Don't worry. You're not alone.\Mamoru!\Usagi...\Thank you.\Mamoru...\I'm so glad!\I will not forgive you, Princess! response:	Trying to steal Endymion from me again!
context: Don't worry. You're not alone.\Mamoru!\Usagi...\Thank you.\Mamoru...\I'm so glad!\I will not forgive you, Princess!\Trying to steal Endymion from me again! response:	I will not forgive you!
context: Mamoru!\Usagi...\Thank you.\Mamoru...\I'm so glad!\I will not forgive you, Princess!\Trying to steal Endymion from me again!\I will not forgive you! response:	Mamoru!
context: Usagi...\Thank you.\Mamoru...\I'm so glad!\I will not forgive you, Princess!\Trying to steal Endymion from me again!\I will not forgive you!\Mamoru! response:	Endymion, why do you protect that girl?!
context: Thank you.\Mamoru...\I'm so glad!\I will not forgive you, Princess!\Trying to steal Endymion from me again!\I will not forgive you!\Mamoru!\Endymion, why do you protect that girl?! response:	If you had married me,
context: Mamoru...\I'm so glad!\I will not forgive you, Princess!\Trying to steal Endymion from me again!\I will not forgive you!\Mamoru!\Endymion, why do you protect that girl?!\If you had married me, response:	you could have been the king of all the worlds!
context: I'm so glad!\I will not forgive you, Princess!\Trying to steal Endymion from me again!\I will not forgive you!\Mamoru!\Endymion, why do you protect that girl?!\If you had married me,\you could have been the king of all the worlds! response:	Impossible!
context: I will not forgive you, Princess!\Trying to steal Endymion from me again!\I will not forgive you!\Mamoru!\Endymion, why do you protect that girl?!\If you had married me,\you could have been the king of all the worlds!\Impossible! response:	Mamoru, hang on!
context: Trying to steal Endymion from me again!\I will not forgive you!\Mamoru!\Endymion, why do you protect that girl?!\If you had married me,\you could have been the king of all the worlds!\Impossible!\Mamoru, hang on! response:	How can something like this defeat me?
context: I will not forgive you!\Mamoru!\Endymion, why do you protect that girl?!\If you had married me,\you could have been the king of all the worlds!\Impossible!\Mamoru, hang on!\How can something like this defeat me? response:	Energy?!
context: Mamoru!\Endymion, why do you protect that girl?!\If you had married me,\you could have been the king of all the worlds!\Impossible!\Mamoru, hang on!\How can something like this defeat me?\Energy?! response:	Is Endymion's love for that girl destroying my body?!
context: Endymion, why do you protect that girl?!\If you had married me,\you could have been the king of all the worlds!\Impossible!\Mamoru, hang on!\How can something like this defeat me?\Energy?!\Is Endymion's love for that girl destroying my body?! response:	I won't accept it! I will never accept it...
context: If you had married me,\you could have been the king of all the worlds!\Impossible!\Mamoru, hang on!\How can something like this defeat me?\Energy?!\Is Endymion's love for that girl destroying my body?!\I won't accept it! I will never accept it... response:	Mamoru! Mamoru!
context: you could have been the king of all the worlds!\Impossible!\Mamoru, hang on!\How can something like this defeat me?\Energy?!\Is Endymion's love for that girl destroying my body?!\I won't accept it! I will never accept it...\Mamoru! Mamoru! response:	Hurry, leave this place!
context: Impossible!\Mamoru, hang on!\How can something like this defeat me?\Energy?!\Is Endymion's love for that girl destroying my body?!\I won't accept it! I will never accept it...\Mamoru! Mamoru!\Hurry, leave this place! response:	What?
context: Mamoru, hang on!\How can something like this defeat me?\Energy?!\Is Endymion's love for that girl destroying my body?!\I won't accept it! I will never accept it...\Mamoru! Mamoru!\Hurry, leave this place!\What? response:	And go back to being an ordinary girl,
context: How can something like this defeat me?\Energy?!\Is Endymion's love for that girl destroying my body?!\I won't accept it! I will never accept it...\Mamoru! Mamoru!\Hurry, leave this place!\What?\And go back to being an ordinary girl, response:	and find a cool boyfriend or something.
context: Energy?!\Is Endymion's love for that girl destroying my body?!\I won't accept it! I will never accept it...\Mamoru! Mamoru!\Hurry, leave this place!\What?\And go back to being an ordinary girl,\and find a cool boyfriend or something. response:	You're the coolest, Mamoru.
context: Is Endymion's love for that girl destroying my body?!\I won't accept it! I will never accept it...\Mamoru! Mamoru!\Hurry, leave this place!\What?\And go back to being an ordinary girl,\and find a cool boyfriend or something.\You're the coolest, Mamoru. response:	Mamoru...
context: I won't accept it! I will never accept it...\Mamoru! Mamoru!\Hurry, leave this place!\What?\And go back to being an ordinary girl,\and find a cool boyfriend or something.\You're the coolest, Mamoru.\Mamoru... response:	Mamoru!!
context: Mamoru! Mamoru!\Hurry, leave this place!\What?\And go back to being an ordinary girl,\and find a cool boyfriend or something.\You're the coolest, Mamoru.\Mamoru...\Mamoru!! response:	Queen Metalia, please lend me your power.
context: Hurry, leave this place!\What?\And go back to being an ordinary girl,\and find a cool boyfriend or something.\You're the coolest, Mamoru.\Mamoru...\Mamoru!!\Queen Metalia, please lend me your power. response:	Please give me the power to defeat that hateful girl!
context: What?\And go back to being an ordinary girl,\and find a cool boyfriend or something.\You're the coolest, Mamoru.\Mamoru...\Mamoru!!\Queen Metalia, please lend me your power.\Please give me the power to defeat that hateful girl! response:	Very well.
context: And go back to being an ordinary girl,\and find a cool boyfriend or something.\You're the coolest, Mamoru.\Mamoru...\Mamoru!!\Queen Metalia, please lend me your power.\Please give me the power to defeat that hateful girl!\Very well. response:	The time has come to bestow hatred and suffering
context: and find a cool boyfriend or something.\You're the coolest, Mamoru.\Mamoru...\Mamoru!!\Queen Metalia, please lend me your power.\Please give me the power to defeat that hateful girl!\Very well.\The time has come to bestow hatred and suffering response:	to all living creatures in this universe.
context: You're the coolest, Mamoru.\Mamoru...\Mamoru!!\Queen Metalia, please lend me your power.\Please give me the power to defeat that hateful girl!\Very well.\The time has come to bestow hatred and suffering\to all living creatures in this universe. response:	Queen Beryl, kill everything and everyone
context: Mamoru...\Mamoru!!\Queen Metalia, please lend me your power.\Please give me the power to defeat that hateful girl!\Very well.\The time has come to bestow hatred and suffering\to all living creatures in this universe.\Queen Beryl, kill everything and everyone response:	and turn the world pitch-black!
context: Mamoru!!\Queen Metalia, please lend me your power.\Please give me the power to defeat that hateful girl!\Very well.\The time has come to bestow hatred and suffering\to all living creatures in this universe.\Queen Beryl, kill everything and everyone\and turn the world pitch-black! response:	I'm sorry.
context: Queen Metalia, please lend me your power.\Please give me the power to defeat that hateful girl!\Very well.\The time has come to bestow hatred and suffering\to all living creatures in this universe.\Queen Beryl, kill everything and everyone\and turn the world pitch-black!\I'm sorry. response:	I can't kiss you.
context: Please give me the power to defeat that hateful girl!\Very well.\The time has come to bestow hatred and suffering\to all living creatures in this universe.\Queen Beryl, kill everything and everyone\and turn the world pitch-black!\I'm sorry.\I can't kiss you. response:	Rei, Ami, Mako, and Minako... They all died
context: Very well.\The time has come to bestow hatred and suffering\to all living creatures in this universe.\Queen Beryl, kill everything and everyone\and turn the world pitch-black!\I'm sorry.\I can't kiss you.\Rei, Ami, Mako, and Minako... They all died response:	before they could even kiss the boy they loved.
context: The time has come to bestow hatred and suffering\to all living creatures in this universe.\Queen Beryl, kill everything and everyone\and turn the world pitch-black!\I'm sorry.\I can't kiss you.\Rei, Ami, Mako, and Minako... They all died\before they could even kiss the boy they loved. response:	So, I can't find happiness just by myself.
context: to all living creatures in this universe.\Queen Beryl, kill everything and everyone\and turn the world pitch-black!\I'm sorry.\I can't kiss you.\Rei, Ami, Mako, and Minako... They all died\before they could even kiss the boy they loved.\So, I can't find happiness just by myself. response:	I'm sorry, Mamoru.
context: Queen Beryl, kill everything and everyone\and turn the world pitch-black!\I'm sorry.\I can't kiss you.\Rei, Ami, Mako, and Minako... They all died\before they could even kiss the boy they loved.\So, I can't find happiness just by myself.\I'm sorry, Mamoru. response:	I'm not going to run away.
context: and turn the world pitch-black!\I'm sorry.\I can't kiss you.\Rei, Ami, Mako, and Minako... They all died\before they could even kiss the boy they loved.\So, I can't find happiness just by myself.\I'm sorry, Mamoru.\I'm not going to run away. response:	There are still things I have to do.
context: I'm sorry.\I can't kiss you.\Rei, Ami, Mako, and Minako... They all died\before they could even kiss the boy they loved.\So, I can't find happiness just by myself.\I'm sorry, Mamoru.\I'm not going to run away.\There are still things I have to do. response:	Watch me. I'll do my best.
context: I can't kiss you.\Rei, Ami, Mako, and Minako... They all died\before they could even kiss the boy they loved.\So, I can't find happiness just by myself.\I'm sorry, Mamoru.\I'm not going to run away.\There are still things I have to do.\Watch me. I'll do my best. response:	I have finally obtained the energy of darkness.
context: Rei, Ami, Mako, and Minako... They all died\before they could even kiss the boy they loved.\So, I can't find happiness just by myself.\I'm sorry, Mamoru.\I'm not going to run away.\There are still things I have to do.\Watch me. I'll do my best.\I have finally obtained the energy of darkness. response:	I will rule this world!
context: before they could even kiss the boy they loved.\So, I can't find happiness just by myself.\I'm sorry, Mamoru.\I'm not going to run away.\There are still things I have to do.\Watch me. I'll do my best.\I have finally obtained the energy of darkness.\I will rule this world! response:	So, you have come, Princess.
context: So, I can't find happiness just by myself.\I'm sorry, Mamoru.\I'm not going to run away.\There are still things I have to do.\Watch me. I'll do my best.\I have finally obtained the energy of darkness.\I will rule this world!\So, you have come, Princess. response:	This time, you will die.
context: I'm sorry, Mamoru.\I'm not going to run away.\There are still things I have to do.\Watch me. I'll do my best.\I have finally obtained the energy of darkness.\I will rule this world!\So, you have come, Princess.\This time, you will die. response:	Princess!
context: I'm not going to run away.\There are still things I have to do.\Watch me. I'll do my best.\I have finally obtained the energy of darkness.\I will rule this world!\So, you have come, Princess.\This time, you will die.\Princess! response:	Die!
context: There are still things I have to do.\Watch me. I'll do my best.\I have finally obtained the energy of darkness.\I will rule this world!\So, you have come, Princess.\This time, you will die.\Princess!\Die! response:	Jubancho Shopping District
context: Watch me. I'll do my best.\I have finally obtained the energy of darkness.\I will rule this world!\So, you have come, Princess.\This time, you will die.\Princess!\Die!\Jubancho Shopping District response:	It's the end. The end of the world has come!
context: I have finally obtained the energy of darkness.\I will rule this world!\So, you have come, Princess.\This time, you will die.\Princess!\Die!\Jubancho Shopping District\It's the end. The end of the world has come! response:	Queen Metalia's dark energy has been released!
context: I will rule this world!\So, you have come, Princess.\This time, you will die.\Princess!\Die!\Jubancho Shopping District\It's the end. The end of the world has come!\Queen Metalia's dark energy has been released! response:	Wait, Luna!
context: So, you have come, Princess.\This time, you will die.\Princess!\Die!\Jubancho Shopping District\It's the end. The end of the world has come!\Queen Metalia's dark energy has been released!\Wait, Luna! response:	Out of my way! I'm going to D-Point!
context: This time, you will die.\Princess!\Die!\Jubancho Shopping District\It's the end. The end of the world has come!\Queen Metalia's dark energy has been released!\Wait, Luna!\Out of my way! I'm going to D-Point! response:	It's useless! There's nothing we can do now!
context: Princess!\Die!\Jubancho Shopping District\It's the end. The end of the world has come!\Queen Metalia's dark energy has been released!\Wait, Luna!\Out of my way! I'm going to D-Point!\It's useless! There's nothing we can do now! response:	I know all that!
context: Die!\Jubancho Shopping District\It's the end. The end of the world has come!\Queen Metalia's dark energy has been released!\Wait, Luna!\Out of my way! I'm going to D-Point!\It's useless! There's nothing we can do now!\I know all that! response:	But, at this rate, Usagi will...
context: Jubancho Shopping District\It's the end. The end of the world has come!\Queen Metalia's dark energy has been released!\Wait, Luna!\Out of my way! I'm going to D-Point!\It's useless! There's nothing we can do now!\I know all that!\But, at this rate, Usagi will... response:	She'll unleash the power of the Silver Crystal!
context: It's the end. The end of the world has come!\Queen Metalia's dark energy has been released!\Wait, Luna!\Out of my way! I'm going to D-Point!\It's useless! There's nothing we can do now!\I know all that!\But, at this rate, Usagi will...\She'll unleash the power of the Silver Crystal! response:	Then Usagi will die, just like Queen Serenity!
