context: Okay, on to the next scene. response:	Yuki, use your magic to take out Mikuru.
context: Okay, Mikuru, now scream! And fall over, like you're in pain.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikata kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything response:	I SAY I SAY MY HEAVEN I say, I say my heaven
context: DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikata kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven response:	SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush
context: Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikata kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush response:	SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what
context: OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikata kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what response:	Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible
context: Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikata kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible response:	Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!
context: Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikata kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go! response:	Daishouri tte doukan I agree, it's going to be a huge victory
context: Kudaranai yarikata kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory response:	Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens
context: subete wa atashi ga kimeru I'm going to decide everything\I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens response:	Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up
context: I SAY I SAY MY HEAVEN I say, I say my heaven\SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up response:	Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want
context: SUPER DRIVER tosshin makasete nantettate zenshin Super driver, leave everything to the rush\SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want response:	Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out
context: SUPER DRIVER tosshin makasete nantettate zenshin And just keep going forward, no matter what\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out response:	Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly
context: Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Surpass (Don't you stop me) The idea of impossible\Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly response:	Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?
context: Fukanou (DON'T YOU STOP ME) Tobikoete TAKE IT EASY, GO! Take it easy, go!\Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it? response:	We need a scene with pigeons.
context: Daishouri tte doukan I agree, it's going to be a huge victory\Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\We need a scene with pigeons. response:	There's a shrine nearby. We're heading there next.
context: Mochiron dounatta tte kaikan Of course, it'll feel pleasant, no matter what happens\Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\We need a scene with pigeons.\There's a shrine nearby. We're heading there next. response:	We're going to shoot a scene of Mikuru walking along
context: Hanseikai? (GET BACK TO WILD) Sore yori saa isoide yo A review meeting? (Get back to wild) Forget that, now hurry up\Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\We need a scene with pigeons.\There's a shrine nearby. We're heading there next.\We're going to shoot a scene of Mikuru walking along response:	as some pigeons go flying into the air.
context: Aremo koremo mitaiken itsudatte muriyari We haven't tried this or that, we always do things how we want\Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\We need a scene with pigeons.\There's a shrine nearby. We're heading there next.\We're going to shoot a scene of Mikuru walking along\as some pigeons go flying into the air. response:	The Sigh of Haruhi Suzumiya III
context: Marude marude mikeiken korekara shimashou Everything's a new experience, let's try them out\Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\We need a scene with pigeons.\There's a shrine nearby. We're heading there next.\We're going to shoot a scene of Mikuru walking along\as some pigeons go flying into the air.\The Sigh of Haruhi Suzumiya III response:	The Sigh of Haruhi Suzumiya III I'd love it if these pigeons were all completely white.
context: Aremo koremo mitaiken itsudatte totsuzen We haven't tried this or that, we always do things suddenly\Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\We need a scene with pigeons.\There's a shrine nearby. We're heading there next.\We're going to shoot a scene of Mikuru walking along\as some pigeons go flying into the air.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III I'd love it if these pigeons were all completely white. response:	The Sigh of Haruhi Suzumiya III Please don't feed the pigeons I'd love it if these pigeons were all completely white.
context: Marude marude mikeiken sore ga doushita no? Everything's a new experience, what about it?\We need a scene with pigeons.\There's a shrine nearby. We're heading there next.\We're going to shoot a scene of Mikuru walking along\as some pigeons go flying into the air.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III Please don't feed the pigeons I'd love it if these pigeons were all completely white. response:	The Sigh of Haruhi Suzumiya III
context: We need a scene with pigeons.\There's a shrine nearby. We're heading there next.\We're going to shoot a scene of Mikuru walking along\as some pigeons go flying into the air.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III Please don't feed the pigeons I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III response:	The Sigh of Haruhi Suzumiya III In this case, I'll let the color slide.
context: There's a shrine nearby. We're heading there next.\We're going to shoot a scene of Mikuru walking along\as some pigeons go flying into the air.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III Please don't feed the pigeons I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III In this case, I'll let the color slide. response:	In this case, I'll let the color slide.
context: We're going to shoot a scene of Mikuru walking along\as some pigeons go flying into the air.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III Please don't feed the pigeons I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III In this case, I'll let the color slide.\In this case, I'll let the color slide. response:	Can't you read Japanese?
context: as some pigeons go flying into the air.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III Please don't feed the pigeons I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III In this case, I'll let the color slide.\In this case, I'll let the color slide.\Can't you read Japanese? response:	What in the world am I supposed to be filming?
context: The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III Please don't feed the pigeons I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III In this case, I'll let the color slide.\In this case, I'll let the color slide.\Can't you read Japanese?\What in the world am I supposed to be filming? response:	This is it, Kyon! Be sure to shoot it!
context: The Sigh of Haruhi Suzumiya III I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III Please don't feed the pigeons I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III In this case, I'll let the color slide.\In this case, I'll let the color slide.\Can't you read Japanese?\What in the world am I supposed to be filming?\This is it, Kyon! Be sure to shoot it! response:	Why are you sitting down, Mikuru!?
context: The Sigh of Haruhi Suzumiya III Please don't feed the pigeons I'd love it if these pigeons were all completely white.\The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III In this case, I'll let the color slide.\In this case, I'll let the color slide.\Can't you read Japanese?\What in the world am I supposed to be filming?\This is it, Kyon! Be sure to shoot it!\Why are you sitting down, Mikuru!? response:	Hey, you!
context: The Sigh of Haruhi Suzumiya III\The Sigh of Haruhi Suzumiya III In this case, I'll let the color slide.\In this case, I'll let the color slide.\Can't you read Japanese?\What in the world am I supposed to be filming?\This is it, Kyon! Be sure to shoot it!\Why are you sitting down, Mikuru!?\Hey, you! response:	What!?
context: The Sigh of Haruhi Suzumiya III In this case, I'll let the color slide.\In this case, I'll let the color slide.\Can't you read Japanese?\What in the world am I supposed to be filming?\This is it, Kyon! Be sure to shoot it!\Why are you sitting down, Mikuru!?\Hey, you!\What!? response:	Retreat!
context: In this case, I'll let the color slide.\Can't you read Japanese?\What in the world am I supposed to be filming?\This is it, Kyon! Be sure to shoot it!\Why are you sitting down, Mikuru!?\Hey, you!\What!?\Retreat! response:	You don't eat much, do you, Mikuru?
context: Can't you read Japanese?\What in the world am I supposed to be filming?\This is it, Kyon! Be sure to shoot it!\Why are you sitting down, Mikuru!?\Hey, you!\What!?\Retreat!\You don't eat much, do you, Mikuru? response:	You'll never grow bigger if you don't eat more.
context: What in the world am I supposed to be filming?\This is it, Kyon! Be sure to shoot it!\Why are you sitting down, Mikuru!?\Hey, you!\What!?\Retreat!\You don't eat much, do you, Mikuru?\You'll never grow bigger if you don't eat more. response:	If you only focus on growing your breasts, you'll only appeal to a hardcore fan base.
context: This is it, Kyon! Be sure to shoot it!\Why are you sitting down, Mikuru!?\Hey, you!\What!?\Retreat!\You don't eat much, do you, Mikuru?\You'll never grow bigger if you don't eat more.\If you only focus on growing your breasts, you'll only appeal to a hardcore fan base. response:	Be sure to get taller, too.
context: Why are you sitting down, Mikuru!?\Hey, you!\What!?\Retreat!\You don't eat much, do you, Mikuru?\You'll never grow bigger if you don't eat more.\If you only focus on growing your breasts, you'll only appeal to a hardcore fan base.\Be sure to get taller, too. response:	I already know.
context: Hey, you!\What!?\Retreat!\You don't eat much, do you, Mikuru?\You'll never grow bigger if you don't eat more.\If you only focus on growing your breasts, you'll only appeal to a hardcore fan base.\Be sure to get taller, too.\I already know. response:	I don't know how many years from now it will be, but Miss Asahina will eventually
context: What!?\Retreat!\You don't eat much, do you, Mikuru?\You'll never grow bigger if you don't eat more.\If you only focus on growing your breasts, you'll only appeal to a hardcore fan base.\Be sure to get taller, too.\I already know.\I don't know how many years from now it will be, but Miss Asahina will eventually response:	have a face and a body good enough for her to enter the Miss Universe pageant.
context: Retreat!\You don't eat much, do you, Mikuru?\You'll never grow bigger if you don't eat more.\If you only focus on growing your breasts, you'll only appeal to a hardcore fan base.\Be sure to get taller, too.\I already know.\I don't know how many years from now it will be, but Miss Asahina will eventually\have a face and a body good enough for her to enter the Miss Universe pageant. response:	Though I don't think she knows that.
context: You don't eat much, do you, Mikuru?\You'll never grow bigger if you don't eat more.\If you only focus on growing your breasts, you'll only appeal to a hardcore fan base.\Be sure to get taller, too.\I already know.\I don't know how many years from now it will be, but Miss Asahina will eventually\have a face and a body good enough for her to enter the Miss Universe pageant.\Though I don't think she knows that. response:	Haruhi, what are you going to do if that priest complains to the school?
context: You'll never grow bigger if you don't eat more.\If you only focus on growing your breasts, you'll only appeal to a hardcore fan base.\Be sure to get taller, too.\I already know.\I don't know how many years from now it will be, but Miss Asahina will eventually\have a face and a body good enough for her to enter the Miss Universe pageant.\Though I don't think she knows that.\Haruhi, what are you going to do if that priest complains to the school? response:	Koizumi's school uniform is a dead giveaway.
context: If you only focus on growing your breasts, you'll only appeal to a hardcore fan base.\Be sure to get taller, too.\I already know.\I don't know how many years from now it will be, but Miss Asahina will eventually\have a face and a body good enough for her to enter the Miss Universe pageant.\Though I don't think she knows that.\Haruhi, what are you going to do if that priest complains to the school?\Koizumi's school uniform is a dead giveaway. response:	It'll probably be okay. We were pretty far away, and blazers are fairly common.
context: Be sure to get taller, too.\I already know.\I don't know how many years from now it will be, but Miss Asahina will eventually\have a face and a body good enough for her to enter the Miss Universe pageant.\Though I don't think she knows that.\Haruhi, what are you going to do if that priest complains to the school?\Koizumi's school uniform is a dead giveaway.\It'll probably be okay. We were pretty far away, and blazers are fairly common. response:	Even if he says something, we can just play stupid.
context: I already know.\I don't know how many years from now it will be, but Miss Asahina will eventually\have a face and a body good enough for her to enter the Miss Universe pageant.\Though I don't think she knows that.\Haruhi, what are you going to do if that priest complains to the school?\Koizumi's school uniform is a dead giveaway.\It'll probably be okay. We were pretty far away, and blazers are fairly common.\Even if he says something, we can just play stupid. response:	Once we show the movie, I'm pretty sure our cover will be blown in an instant.
context: I don't know how many years from now it will be, but Miss Asahina will eventually\have a face and a body good enough for her to enter the Miss Universe pageant.\Though I don't think she knows that.\Haruhi, what are you going to do if that priest complains to the school?\Koizumi's school uniform is a dead giveaway.\It'll probably be okay. We were pretty far away, and blazers are fairly common.\Even if he says something, we can just play stupid.\Once we show the movie, I'm pretty sure our cover will be blown in an instant. response:	I can't imagine there's more than one waitress who would come out
context: have a face and a body good enough for her to enter the Miss Universe pageant.\Though I don't think she knows that.\Haruhi, what are you going to do if that priest complains to the school?\Koizumi's school uniform is a dead giveaway.\It'll probably be okay. We were pretty far away, and blazers are fairly common.\Even if he says something, we can just play stupid.\Once we show the movie, I'm pretty sure our cover will be blown in an instant.\I can't imagine there's more than one waitress who would come out response:	to this shrine and walk amongst the pigeons.
context: Though I don't think she knows that.\Haruhi, what are you going to do if that priest complains to the school?\Koizumi's school uniform is a dead giveaway.\It'll probably be okay. We were pretty far away, and blazers are fairly common.\Even if he says something, we can just play stupid.\Once we show the movie, I'm pretty sure our cover will be blown in an instant.\I can't imagine there's more than one waitress who would come out\to this shrine and walk amongst the pigeons. response:	So where are we going next?
context: Haruhi, what are you going to do if that priest complains to the school?\Koizumi's school uniform is a dead giveaway.\It'll probably be okay. We were pretty far away, and blazers are fairly common.\Even if he says something, we can just play stupid.\Once we show the movie, I'm pretty sure our cover will be blown in an instant.\I can't imagine there's more than one waitress who would come out\to this shrine and walk amongst the pigeons.\So where are we going next? response:	Let's go back to the park again.
context: Koizumi's school uniform is a dead giveaway.\It'll probably be okay. We were pretty far away, and blazers are fairly common.\Even if he says something, we can just play stupid.\Once we show the movie, I'm pretty sure our cover will be blown in an instant.\I can't imagine there's more than one waitress who would come out\to this shrine and walk amongst the pigeons.\So where are we going next?\Let's go back to the park again. response:	Now that I think about it, what we got wasn't enough for a fight scene.
context: It'll probably be okay. We were pretty far away, and blazers are fairly common.\Even if he says something, we can just play stupid.\Once we show the movie, I'm pretty sure our cover will be blown in an instant.\I can't imagine there's more than one waitress who would come out\to this shrine and walk amongst the pigeons.\So where are we going next?\Let's go back to the park again.\Now that I think about it, what we got wasn't enough for a fight scene. response:	Mikuru, being chased through the forest by Yuki, running for her life.
context: Even if he says something, we can just play stupid.\Once we show the movie, I'm pretty sure our cover will be blown in an instant.\I can't imagine there's more than one waitress who would come out\to this shrine and walk amongst the pigeons.\So where are we going next?\Let's go back to the park again.\Now that I think about it, what we got wasn't enough for a fight scene.\Mikuru, being chased through the forest by Yuki, running for her life. response:	How about we have Mikuru fall off a cliff,
context: Once we show the movie, I'm pretty sure our cover will be blown in an instant.\I can't imagine there's more than one waitress who would come out\to this shrine and walk amongst the pigeons.\So where are we going next?\Let's go back to the park again.\Now that I think about it, what we got wasn't enough for a fight scene.\Mikuru, being chased through the forest by Yuki, running for her life.\How about we have Mikuru fall off a cliff, response:	and then she's saved by Koizumi, who just happened to be walking by?
