context: Huh? Wait, what? response:	Sorry, are you okay?!
context: We were supposed to head home together, but you didn't show.\So Hori-san...\Ugh, you must be dying of heat!\Promise me you'll take your jacket off when you walk home!\Here, I got some frozen treats.\Have one with Toru when he gets here.\I see, they're from Hori.\Juicy Melon response:	I see, they're from Hori.
context: So Hori-san...\Ugh, you must be dying of heat!\Promise me you'll take your jacket off when you walk home!\Here, I got some frozen treats.\Have one with Toru when he gets here.\I see, they're from Hori.\Juicy Melon\I see, they're from Hori. response:	Juicy Melon
context: Ugh, you must be dying of heat!\Promise me you'll take your jacket off when you walk home!\Here, I got some frozen treats.\Have one with Toru when he gets here.\I see, they're from Hori.\Juicy Melon\I see, they're from Hori.\Juicy Melon response:	How nice...
context: Promise me you'll take your jacket off when you walk home!\Here, I got some frozen treats.\Have one with Toru when he gets here.\I see, they're from Hori.\Juicy Melon\I see, they're from Hori.\Juicy Melon\How nice... response:	I can't have melon, dammit!
context: Here, I got some frozen treats.\Have one with Toru when he gets here.\I see, they're from Hori.\Juicy Melon\I see, they're from Hori.\Juicy Melon\How nice...\I can't have melon, dammit! response:	Huh?!
context: Have one with Toru when he gets here.\I see, they're from Hori.\Juicy Melon\I see, they're from Hori.\Juicy Melon\How nice...\I can't have melon, dammit!\Huh?! response:	Hold it!
context: I see, they're from Hori.\Juicy Melon\I see, they're from Hori.\Juicy Melon\How nice...\I can't have melon, dammit!\Huh?!\Hold it! response:	Juicy Melon
context: Juicy Melon\I see, they're from Hori.\Juicy Melon\How nice...\I can't have melon, dammit!\Huh?!\Hold it!\Juicy Melon response:	This is what you stopped me for?
context: I see, they're from Hori.\Juicy Melon\How nice...\I can't have melon, dammit!\Huh?!\Hold it!\Juicy Melon\This is what you stopped me for? response:	Well, I can't eat two...
context: Juicy Melon\How nice...\I can't have melon, dammit!\Huh?!\Hold it!\Juicy Melon\This is what you stopped me for?\Well, I can't eat two... response:	So I'm your garbage disposal?
context: How nice...\I can't have melon, dammit!\Huh?!\Hold it!\Juicy Melon\This is what you stopped me for?\Well, I can't eat two...\So I'm your garbage disposal? response:	Sorry.
context: I can't have melon, dammit!\Huh?!\Hold it!\Juicy Melon\This is what you stopped me for?\Well, I can't eat two...\So I'm your garbage disposal?\Sorry. response:	Oh, Miyamura-kun, your tongue's turned white.
context: Huh?!\Hold it!\Juicy Melon\This is what you stopped me for?\Well, I can't eat two...\So I'm your garbage disposal?\Sorry.\Oh, Miyamura-kun, your tongue's turned white. response:	Maybe'cause I'm eating this popsicle.
context: Hold it!\Juicy Melon\This is what you stopped me for?\Well, I can't eat two...\So I'm your garbage disposal?\Sorry.\Oh, Miyamura-kun, your tongue's turned white.\Maybe'cause I'm eating this popsicle. response:	Let me see yours.
context: Juicy Melon\This is what you stopped me for?\Well, I can't eat two...\So I'm your garbage disposal?\Sorry.\Oh, Miyamura-kun, your tongue's turned white.\Maybe'cause I'm eating this popsicle.\Let me see yours. response:	Whoa, it's green! Like, super green!
context: This is what you stopped me for?\Well, I can't eat two...\So I'm your garbage disposal?\Sorry.\Oh, Miyamura-kun, your tongue's turned white.\Maybe'cause I'm eating this popsicle.\Let me see yours.\Whoa, it's green! Like, super green! response:	Glad you two are enjoying this.
context: Well, I can't eat two...\So I'm your garbage disposal?\Sorry.\Oh, Miyamura-kun, your tongue's turned white.\Maybe'cause I'm eating this popsicle.\Let me see yours.\Whoa, it's green! Like, super green!\Glad you two are enjoying this. response:	I bet I'm the only one who didn't get anything.
context: So I'm your garbage disposal?\Sorry.\Oh, Miyamura-kun, your tongue's turned white.\Maybe'cause I'm eating this popsicle.\Let me see yours.\Whoa, it's green! Like, super green!\Glad you two are enjoying this.\I bet I'm the only one who didn't get anything. response:	Whoa, Ishikawa-kun, your tongue's kind of long.
context: Sorry.\Oh, Miyamura-kun, your tongue's turned white.\Maybe'cause I'm eating this popsicle.\Let me see yours.\Whoa, it's green! Like, super green!\Glad you two are enjoying this.\I bet I'm the only one who didn't get anything.\Whoa, Ishikawa-kun, your tongue's kind of long. response:	Really?
context: Oh, Miyamura-kun, your tongue's turned white.\Maybe'cause I'm eating this popsicle.\Let me see yours.\Whoa, it's green! Like, super green!\Glad you two are enjoying this.\I bet I'm the only one who didn't get anything.\Whoa, Ishikawa-kun, your tongue's kind of long.\Really? response:	It is long. Like a snake's.
context: Maybe'cause I'm eating this popsicle.\Let me see yours.\Whoa, it's green! Like, super green!\Glad you two are enjoying this.\I bet I'm the only one who didn't get anything.\Whoa, Ishikawa-kun, your tongue's kind of long.\Really?\It is long. Like a snake's. response:	I'll have to tell Remi and Sakura about it later.
context: Let me see yours.\Whoa, it's green! Like, super green!\Glad you two are enjoying this.\I bet I'm the only one who didn't get anything.\Whoa, Ishikawa-kun, your tongue's kind of long.\Really?\It is long. Like a snake's.\I'll have to tell Remi and Sakura about it later. response:	Could you not?!
context: Whoa, it's green! Like, super green!\Glad you two are enjoying this.\I bet I'm the only one who didn't get anything.\Whoa, Ishikawa-kun, your tongue's kind of long.\Really?\It is long. Like a snake's.\I'll have to tell Remi and Sakura about it later.\Could you not?! response:	Who's Sakura?
context: Glad you two are enjoying this.\I bet I'm the only one who didn't get anything.\Whoa, Ishikawa-kun, your tongue's kind of long.\Really?\It is long. Like a snake's.\I'll have to tell Remi and Sakura about it later.\Could you not?!\Who's Sakura? response:	Sakura Kono. She's on the student council with Remi and I.
context: I bet I'm the only one who didn't get anything.\Whoa, Ishikawa-kun, your tongue's kind of long.\Really?\It is long. Like a snake's.\I'll have to tell Remi and Sakura about it later.\Could you not?!\Who's Sakura?\Sakura Kono. She's on the student council with Remi and I. response:	Oh, the nerdy-looking girl!
context: Whoa, Ishikawa-kun, your tongue's kind of long.\Really?\It is long. Like a snake's.\I'll have to tell Remi and Sakura about it later.\Could you not?!\Who's Sakura?\Sakura Kono. She's on the student council with Remi and I.\Oh, the nerdy-looking girl! response:	Don't call her that.
context: Really?\It is long. Like a snake's.\I'll have to tell Remi and Sakura about it later.\Could you not?!\Who's Sakura?\Sakura Kono. She's on the student council with Remi and I.\Oh, the nerdy-looking girl!\Don't call her that. response:	Come to think of it, there are a lot of girls on the council.
context: It is long. Like a snake's.\I'll have to tell Remi and Sakura about it later.\Could you not?!\Who's Sakura?\Sakura Kono. She's on the student council with Remi and I.\Oh, the nerdy-looking girl!\Don't call her that.\Come to think of it, there are a lot of girls on the council. response:	Sengoku's harem.
context: I'll have to tell Remi and Sakura about it later.\Could you not?!\Who's Sakura?\Sakura Kono. She's on the student council with Remi and I.\Oh, the nerdy-looking girl!\Don't call her that.\Come to think of it, there are a lot of girls on the council.\Sengoku's harem. response:	Hey! It's strictly business!
context: Could you not?!\Who's Sakura?\Sakura Kono. She's on the student council with Remi and I.\Oh, the nerdy-looking girl!\Don't call her that.\Come to think of it, there are a lot of girls on the council.\Sengoku's harem.\Hey! It's strictly business! response:	You get to use the A/C in the council room as much as you want...
context: Who's Sakura?\Sakura Kono. She's on the student council with Remi and I.\Oh, the nerdy-looking girl!\Don't call her that.\Come to think of it, there are a lot of girls on the council.\Sengoku's harem.\Hey! It's strictly business!\You get to use the A/C in the council room as much as you want... response:	Like a spoiled king.
context: Sakura Kono. She's on the student council with Remi and I.\Oh, the nerdy-looking girl!\Don't call her that.\Come to think of it, there are a lot of girls on the council.\Sengoku's harem.\Hey! It's strictly business!\You get to use the A/C in the council room as much as you want...\Like a spoiled king. response:	You have that much power, Prez?!
context: Oh, the nerdy-looking girl!\Don't call her that.\Come to think of it, there are a lot of girls on the council.\Sengoku's harem.\Hey! It's strictly business!\You get to use the A/C in the council room as much as you want...\Like a spoiled king.\You have that much power, Prez?! response:	Don't make me out to be some villain.
context: Don't call her that.\Come to think of it, there are a lot of girls on the council.\Sengoku's harem.\Hey! It's strictly business!\You get to use the A/C in the council room as much as you want...\Like a spoiled king.\You have that much power, Prez?!\Don't make me out to be some villain. response:	Though, yes, the A/C is a special privilege.
context: Come to think of it, there are a lot of girls on the council.\Sengoku's harem.\Hey! It's strictly business!\You get to use the A/C in the council room as much as you want...\Like a spoiled king.\You have that much power, Prez?!\Don't make me out to be some villain.\Though, yes, the A/C is a special privilege. response:	You can swing by the student council to cool off any time.
context: Sengoku's harem.\Hey! It's strictly business!\You get to use the A/C in the council room as much as you want...\Like a spoiled king.\You have that much power, Prez?!\Don't make me out to be some villain.\Though, yes, the A/C is a special privilege.\You can swing by the student council to cool off any time. response:	Huh?
context: Hey! It's strictly business!\You get to use the A/C in the council room as much as you want...\Like a spoiled king.\You have that much power, Prez?!\Don't make me out to be some villain.\Though, yes, the A/C is a special privilege.\You can swing by the student council to cool off any time.\Huh? response:	You mean it?
context: You get to use the A/C in the council room as much as you want...\Like a spoiled king.\You have that much power, Prez?!\Don't make me out to be some villain.\Though, yes, the A/C is a special privilege.\You can swing by the student council to cool off any time.\Huh?\You mean it? response:	Student Council Room
context: Like a spoiled king.\You have that much power, Prez?!\Don't make me out to be some villain.\Though, yes, the A/C is a special privilege.\You can swing by the student council to cool off any time.\Huh?\You mean it?\Student Council Room response:	Student Council Room
context: You have that much power, Prez?!\Don't make me out to be some villain.\Though, yes, the A/C is a special privilege.\You can swing by the student council to cool off any time.\Huh?\You mean it?\Student Council Room\Student Council Room response:	Rock, paper, scissors!
context: Don't make me out to be some villain.\Though, yes, the A/C is a special privilege.\You can swing by the student council to cool off any time.\Huh?\You mean it?\Student Council Room\Student Council Room\Rock, paper, scissors! response:	Rock, paper, scissors!
context: Though, yes, the A/C is a special privilege.\You can swing by the student council to cool off any time.\Huh?\You mean it?\Student Council Room\Student Council Room\Rock, paper, scissors!\Rock, paper, scissors! response:	Ugh, I lost!
context: You can swing by the student council to cool off any time.\Huh?\You mean it?\Student Council Room\Student Council Room\Rock, paper, scissors!\Rock, paper, scissors!\Ugh, I lost! response:	Hori-san and Mimyamura-kun have to go!
context: Huh?\You mean it?\Student Council Room\Student Council Room\Rock, paper, scissors!\Rock, paper, scissors!\Ugh, I lost!\Hori-san and Mimyamura-kun have to go! response:	They swung by... and brought friends.
context: You mean it?\Student Council Room\Student Council Room\Rock, paper, scissors!\Rock, paper, scissors!\Ugh, I lost!\Hori-san and Mimyamura-kun have to go!\They swung by... and brought friends. response:	Oolong tea, orange juice, a cola... what else?
context: Student Council Room\Student Council Room\Rock, paper, scissors!\Rock, paper, scissors!\Ugh, I lost!\Hori-san and Mimyamura-kun have to go!\They swung by... and brought friends.\Oolong tea, orange juice, a cola... what else? response:	Strawberry milk.
context: Student Council Room\Rock, paper, scissors!\Rock, paper, scissors!\Ugh, I lost!\Hori-san and Mimyamura-kun have to go!\They swung by... and brought friends.\Oolong tea, orange juice, a cola... what else?\Strawberry milk. response:	Hey, are Hori-san and Miyamura- kun really not dating?
context: Rock, paper, scissors!\Rock, paper, scissors!\Ugh, I lost!\Hori-san and Mimyamura-kun have to go!\They swung by... and brought friends.\Oolong tea, orange juice, a cola... what else?\Strawberry milk.\Hey, are Hori-san and Miyamura- kun really not dating? response:	Uh...
context: Rock, paper, scissors!\Ugh, I lost!\Hori-san and Mimyamura-kun have to go!\They swung by... and brought friends.\Oolong tea, orange juice, a cola... what else?\Strawberry milk.\Hey, are Hori-san and Miyamura- kun really not dating?\Uh... response:	Who knows...
context: Ugh, I lost!\Hori-san and Mimyamura-kun have to go!\They swung by... and brought friends.\Oolong tea, orange juice, a cola... what else?\Strawberry milk.\Hey, are Hori-san and Miyamura- kun really not dating?\Uh...\Who knows... response:	I feel like Ishikawa-kun would be a way better match for Hori-san!
context: Hori-san and Mimyamura-kun have to go!\They swung by... and brought friends.\Oolong tea, orange juice, a cola... what else?\Strawberry milk.\Hey, are Hori-san and Miyamura- kun really not dating?\Uh...\Who knows...\I feel like Ishikawa-kun would be a way better match for Hori-san! response:	W-Wait, really?!
context: They swung by... and brought friends.\Oolong tea, orange juice, a cola... what else?\Strawberry milk.\Hey, are Hori-san and Miyamura- kun really not dating?\Uh...\Who knows...\I feel like Ishikawa-kun would be a way better match for Hori-san!\W-Wait, really?! response:	Cut it out. He just gave up on her.
context: Oolong tea, orange juice, a cola... what else?\Strawberry milk.\Hey, are Hori-san and Miyamura- kun really not dating?\Uh...\Who knows...\I feel like Ishikawa-kun would be a way better match for Hori-san!\W-Wait, really?!\Cut it out. He just gave up on her. response:	Ishikawa-kun has a crush on Hori-san?
context: Strawberry milk.\Hey, are Hori-san and Miyamura- kun really not dating?\Uh...\Who knows...\I feel like Ishikawa-kun would be a way better match for Hori-san!\W-Wait, really?!\Cut it out. He just gave up on her.\Ishikawa-kun has a crush on Hori-san? response:	Yeah, sounds like it.
context: Hey, are Hori-san and Miyamura- kun really not dating?\Uh...\Who knows...\I feel like Ishikawa-kun would be a way better match for Hori-san!\W-Wait, really?!\Cut it out. He just gave up on her.\Ishikawa-kun has a crush on Hori-san?\Yeah, sounds like it. response:	If you really want to be with Kyo-chan,
context: Uh...\Who knows...\I feel like Ishikawa-kun would be a way better match for Hori-san!\W-Wait, really?!\Cut it out. He just gave up on her.\Ishikawa-kun has a crush on Hori-san?\Yeah, sounds like it.\If you really want to be with Kyo-chan, response:	you'd better be one hell of a masochist.
context: Who knows...\I feel like Ishikawa-kun would be a way better match for Hori-san!\W-Wait, really?!\Cut it out. He just gave up on her.\Ishikawa-kun has a crush on Hori-san?\Yeah, sounds like it.\If you really want to be with Kyo-chan,\you'd better be one hell of a masochist. response:	Wait, what? Why? Where's this coming from?
context: I feel like Ishikawa-kun would be a way better match for Hori-san!\W-Wait, really?!\Cut it out. He just gave up on her.\Ishikawa-kun has a crush on Hori-san?\Yeah, sounds like it.\If you really want to be with Kyo-chan,\you'd better be one hell of a masochist.\Wait, what? Why? Where's this coming from? response:	Ishikawa-kun has a crush on Hori-san...
context: W-Wait, really?!\Cut it out. He just gave up on her.\Ishikawa-kun has a crush on Hori-san?\Yeah, sounds like it.\If you really want to be with Kyo-chan,\you'd better be one hell of a masochist.\Wait, what? Why? Where's this coming from?\Ishikawa-kun has a crush on Hori-san... response:	Oh, crap, the cola!
context: Cut it out. He just gave up on her.\Ishikawa-kun has a crush on Hori-san?\Yeah, sounds like it.\If you really want to be with Kyo-chan,\you'd better be one hell of a masochist.\Wait, what? Why? Where's this coming from?\Ishikawa-kun has a crush on Hori-san...\Oh, crap, the cola! response:	Who wanted that again?
context: Ishikawa-kun has a crush on Hori-san?\Yeah, sounds like it.\If you really want to be with Kyo-chan,\you'd better be one hell of a masochist.\Wait, what? Why? Where's this coming from?\Ishikawa-kun has a crush on Hori-san...\Oh, crap, the cola!\Who wanted that again? response:	They sure are taking their time getting drinks.
context: Yeah, sounds like it.\If you really want to be with Kyo-chan,\you'd better be one hell of a masochist.\Wait, what? Why? Where's this coming from?\Ishikawa-kun has a crush on Hori-san...\Oh, crap, the cola!\Who wanted that again?\They sure are taking their time getting drinks. response:	Wonder what they're up to?
context: If you really want to be with Kyo-chan,\you'd better be one hell of a masochist.\Wait, what? Why? Where's this coming from?\Ishikawa-kun has a crush on Hori-san...\Oh, crap, the cola!\Who wanted that again?\They sure are taking their time getting drinks.\Wonder what they're up to? response:	I don't mean, like, they're doing anything weird!
context: you'd better be one hell of a masochist.\Wait, what? Why? Where's this coming from?\Ishikawa-kun has a crush on Hori-san...\Oh, crap, the cola!\Who wanted that again?\They sure are taking their time getting drinks.\Wonder what they're up to?\I don't mean, like, they're doing anything weird! response:	Yeah. What could they get up to in the middle of the day at school?
context: Wait, what? Why? Where's this coming from?\Ishikawa-kun has a crush on Hori-san...\Oh, crap, the cola!\Who wanted that again?\They sure are taking their time getting drinks.\Wonder what they're up to?\I don't mean, like, they're doing anything weird!\Yeah. What could they get up to in the middle of the day at school? response:	So... what are they up to?
context: Ishikawa-kun has a crush on Hori-san...\Oh, crap, the cola!\Who wanted that again?\They sure are taking their time getting drinks.\Wonder what they're up to?\I don't mean, like, they're doing anything weird!\Yeah. What could they get up to in the middle of the day at school?\So... what are they up to? response:	Sheesh, get it together!
context: Oh, crap, the cola!\Who wanted that again?\They sure are taking their time getting drinks.\Wonder what they're up to?\I don't mean, like, they're doing anything weird!\Yeah. What could they get up to in the middle of the day at school?\So... what are they up to?\Sheesh, get it together! response:	Sorry...
context: Who wanted that again?\They sure are taking their time getting drinks.\Wonder what they're up to?\I don't mean, like, they're doing anything weird!\Yeah. What could they get up to in the middle of the day at school?\So... what are they up to?\Sheesh, get it together!\Sorry... response:	See, look what you did.
context: They sure are taking their time getting drinks.\Wonder what they're up to?\I don't mean, like, they're doing anything weird!\Yeah. What could they get up to in the middle of the day at school?\So... what are they up to?\Sheesh, get it together!\Sorry...\See, look what you did. response:	I shouldn't have put it that way...
context: Wonder what they're up to?\I don't mean, like, they're doing anything weird!\Yeah. What could they get up to in the middle of the day at school?\So... what are they up to?\Sheesh, get it together!\Sorry...\See, look what you did.\I shouldn't have put it that way... response:	Don't worry. I bet Miyamura just dropped the change or something.
context: I don't mean, like, they're doing anything weird!\Yeah. What could they get up to in the middle of the day at school?\So... what are they up to?\Sheesh, get it together!\Sorry...\See, look what you did.\I shouldn't have put it that way...\Don't worry. I bet Miyamura just dropped the change or something. response:	Psychic
context: Yeah. What could they get up to in the middle of the day at school?\So... what are they up to?\Sheesh, get it together!\Sorry...\See, look what you did.\I shouldn't have put it that way...\Don't worry. I bet Miyamura just dropped the change or something.\Psychic response:	Don't worry. I bet Miyamura just dropped the change or something.
context: So... what are they up to?\Sheesh, get it together!\Sorry...\See, look what you did.\I shouldn't have put it that way...\Don't worry. I bet Miyamura just dropped the change or something.\Psychic\Don't worry. I bet Miyamura just dropped the change or something. response:	Don't worry. I bet Miyamura just dropped the change or something.
context: Sheesh, get it together!\Sorry...\See, look what you did.\I shouldn't have put it that way...\Don't worry. I bet Miyamura just dropped the change or something.\Psychic\Don't worry. I bet Miyamura just dropped the change or something.\Don't worry. I bet Miyamura just dropped the change or something. response:	Yoshikawa's kindness deserves to be put in the class log for posterity.
context: Sorry...\See, look what you did.\I shouldn't have put it that way...\Don't worry. I bet Miyamura just dropped the change or something.\Psychic\Don't worry. I bet Miyamura just dropped the change or something.\Don't worry. I bet Miyamura just dropped the change or something.\Yoshikawa's kindness deserves to be put in the class log for posterity. response:	Good thing I'm class leader today.
context: See, look what you did.\I shouldn't have put it that way...\Don't worry. I bet Miyamura just dropped the change or something.\Psychic\Don't worry. I bet Miyamura just dropped the change or something.\Don't worry. I bet Miyamura just dropped the change or something.\Yoshikawa's kindness deserves to be put in the class log for posterity.\Good thing I'm class leader today. response:	Don't fill the classroom log with useless crap.
context: I shouldn't have put it that way...\Don't worry. I bet Miyamura just dropped the change or something.\Psychic\Don't worry. I bet Miyamura just dropped the change or something.\Don't worry. I bet Miyamura just dropped the change or something.\Yoshikawa's kindness deserves to be put in the class log for posterity.\Good thing I'm class leader today.\Don't fill the classroom log with useless crap. response:	Stop messing around with my hair!
context: Don't worry. I bet Miyamura just dropped the change or something.\Psychic\Don't worry. I bet Miyamura just dropped the change or something.\Don't worry. I bet Miyamura just dropped the change or something.\Yoshikawa's kindness deserves to be put in the class log for posterity.\Good thing I'm class leader today.\Don't fill the classroom log with useless crap.\Stop messing around with my hair! response:	Messing around...
context: Psychic\Don't worry. I bet Miyamura just dropped the change or something.\Don't worry. I bet Miyamura just dropped the change or something.\Yoshikawa's kindness deserves to be put in the class log for posterity.\Good thing I'm class leader today.\Don't fill the classroom log with useless crap.\Stop messing around with my hair!\Messing around... response:	Hey, sorry for the wait!
context: Don't worry. I bet Miyamura just dropped the change or something.\Don't worry. I bet Miyamura just dropped the change or something.\Yoshikawa's kindness deserves to be put in the class log for posterity.\Good thing I'm class leader today.\Don't fill the classroom log with useless crap.\Stop messing around with my hair!\Messing around...\Hey, sorry for the wait! response:	We would've been back sooner.
context: Don't worry. I bet Miyamura just dropped the change or something.\Yoshikawa's kindness deserves to be put in the class log for posterity.\Good thing I'm class leader today.\Don't fill the classroom log with useless crap.\Stop messing around with my hair!\Messing around...\Hey, sorry for the wait!\We would've been back sooner. response:	Hey, thanks! Got my cola?
context: Yoshikawa's kindness deserves to be put in the class log for posterity.\Good thing I'm class leader today.\Don't fill the classroom log with useless crap.\Stop messing around with my hair!\Messing around...\Hey, sorry for the wait!\We would've been back sooner.\Hey, thanks! Got my cola? response:	I'm really sorry.
context: Good thing I'm class leader today.\Don't fill the classroom log with useless crap.\Stop messing around with my hair!\Messing around...\Hey, sorry for the wait!\We would've been back sooner.\Hey, thanks! Got my cola?\I'm really sorry. response:	Huh? For what?
context: Don't fill the classroom log with useless crap.\Stop messing around with my hair!\Messing around...\Hey, sorry for the wait!\We would've been back sooner.\Hey, thanks! Got my cola?\I'm really sorry.\Huh? For what? response:	Hori screwed me.
context: Stop messing around with my hair!\Messing around...\Hey, sorry for the wait!\We would've been back sooner.\Hey, thanks! Got my cola?\I'm really sorry.\Huh? For what?\Hori screwed me. response:	I'm really sorry to do this to you, Ishikawa-kun.
context: Messing around...\Hey, sorry for the wait!\We would've been back sooner.\Hey, thanks! Got my cola?\I'm really sorry.\Huh? For what?\Hori screwed me.\I'm really sorry to do this to you, Ishikawa-kun. response:	-Stop! I don't want to hear it! Please, don't!
