context: The Kingdom of Fiore... response:	A neutral country of 17 million people.
context: The wizards belong to various guilds and perform jobs on commission.\There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice? response:	Oh, yeah! It's hoarse from yelling.
context: There are a large number of guilds within the country.\And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling. response:	Oh, yeah! Until your heart can hear it...
context: And in a certain city there lies a certain guild.\A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it... response:	Oh, yeah! Oh, yeah!
context: A guild from which various legends were once born... Or rather, will continue to be born long into the future...\Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah! response:	The moon and sun high-five.
context: Fairy Tail!\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five. response:	Are you sure you're not forgetting something?
context: Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something? response:	When you're not here to make me laugh,
context: I'll gather all the light, and shine down on your tomorrow!\Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh, response:	even what I'm looking for can't be found.
context: Oh, yeah! Can you hear this voice?\Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found. response:	Snowing, be honest with yourself and smile,
context: Oh, yeah! It's hoarse from yelling.\Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile, response:	because when two people lay close, time overlaps.
context: Oh, yeah! Until your heart can hear it...\Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps. response:	Fairy, where are you going?
context: Oh, yeah! Oh, yeah!\The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going? response:	I'll gather all the light, and shine down on your tomorrow!
context: The moon and sun high-five.\Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow! response:	Don't say goodbye!
context: Are you sure you're not forgetting something?\When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye! response:	Previously on Fairy Tail!
context: When you're not here to make me laugh,\even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Previously on Fairy Tail! response:	Only wizards who have been given permission by the master can take on S class quests.
context: even what I'm looking for can't be found.\Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Previously on Fairy Tail!\Only wizards who have been given permission by the master can take on S class quests. response:	So I guess they'd be impossible for Natsu or me...
context: Snowing, be honest with yourself and smile,\because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Previously on Fairy Tail!\Only wizards who have been given permission by the master can take on S class quests.\So I guess they'd be impossible for Natsu or me... response:	Hey, not in my room!
context: because when two people lay close, time overlaps.\Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Previously on Fairy Tail!\Only wizards who have been given permission by the master can take on S class quests.\So I guess they'd be impossible for Natsu or me...\Hey, not in my room! response:	Master, one of the requests on the second floor has disappeared!
context: Fairy, where are you going?\I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Previously on Fairy Tail!\Only wizards who have been given permission by the master can take on S class quests.\So I guess they'd be impossible for Natsu or me...\Hey, not in my room!\Master, one of the requests on the second floor has disappeared! response:	An S class quest?
context: I'll gather all the light, and shine down on your tomorrow!\Don't say goodbye!\Previously on Fairy Tail!\Only wizards who have been given permission by the master can take on S class quests.\So I guess they'd be impossible for Natsu or me...\Hey, not in my room!\Master, one of the requests on the second floor has disappeared!\An S class quest? response:	Let's do it, Lucy!
context: Don't say goodbye!\Previously on Fairy Tail!\Only wizards who have been given permission by the master can take on S class quests.\So I guess they'd be impossible for Natsu or me...\Hey, not in my room!\Master, one of the requests on the second floor has disappeared!\An S class quest?\Let's do it, Lucy! response:	Say what? A request is gone?
context: Previously on Fairy Tail!\Only wizards who have been given permission by the master can take on S class quests.\So I guess they'd be impossible for Natsu or me...\Hey, not in my room!\Master, one of the requests on the second floor has disappeared!\An S class quest?\Let's do it, Lucy!\Say what? A request is gone? response:	If it was put up on the second floor, then it's an S class, right?
context: Only wizards who have been given permission by the master can take on S class quests.\So I guess they'd be impossible for Natsu or me...\Hey, not in my room!\Master, one of the requests on the second floor has disappeared!\An S class quest?\Let's do it, Lucy!\Say what? A request is gone?\If it was put up on the second floor, then it's an S class, right? response:	Who would be stupid enough to take something like that?
context: So I guess they'd be impossible for Natsu or me...\Hey, not in my room!\Master, one of the requests on the second floor has disappeared!\An S class quest?\Let's do it, Lucy!\Say what? A request is gone?\If it was put up on the second floor, then it's an S class, right?\Who would be stupid enough to take something like that? response:	A cat.
context: Hey, not in my room!\Master, one of the requests on the second floor has disappeared!\An S class quest?\Let's do it, Lucy!\Say what? A request is gone?\If it was put up on the second floor, then it's an S class, right?\Who would be stupid enough to take something like that?\A cat. response:	I saw a cat with wings tear one off.
context: Master, one of the requests on the second floor has disappeared!\An S class quest?\Let's do it, Lucy!\Say what? A request is gone?\If it was put up on the second floor, then it's an S class, right?\Who would be stupid enough to take something like that?\A cat.\I saw a cat with wings tear one off. response:	Happy did?
context: An S class quest?\Let's do it, Lucy!\Say what? A request is gone?\If it was put up on the second floor, then it's an S class, right?\Who would be stupid enough to take something like that?\A cat.\I saw a cat with wings tear one off.\Happy did? response:	Which means it's Natsu and Lucy!
context: Let's do it, Lucy!\Say what? A request is gone?\If it was put up on the second floor, then it's an S class, right?\Who would be stupid enough to take something like that?\A cat.\I saw a cat with wings tear one off.\Happy did?\Which means it's Natsu and Lucy! response:	What the heck are they thinking?
context: Say what? A request is gone?\If it was put up on the second floor, then it's an S class, right?\Who would be stupid enough to take something like that?\A cat.\I saw a cat with wings tear one off.\Happy did?\Which means it's Natsu and Lucy!\What the heck are they thinking? response:	Going out on an S class quest without permission?
context: If it was put up on the second floor, then it's an S class, right?\Who would be stupid enough to take something like that?\A cat.\I saw a cat with wings tear one off.\Happy did?\Which means it's Natsu and Lucy!\What the heck are they thinking?\Going out on an S class quest without permission? response:	I always thought they were dumb, but not that dumb.
context: Who would be stupid enough to take something like that?\A cat.\I saw a cat with wings tear one off.\Happy did?\Which means it's Natsu and Lucy!\What the heck are they thinking?\Going out on an S class quest without permission?\I always thought they were dumb, but not that dumb. response:	This is quite a serious violation of the rules.
context: A cat.\I saw a cat with wings tear one off.\Happy did?\Which means it's Natsu and Lucy!\What the heck are they thinking?\Going out on an S class quest without permission?\I always thought they were dumb, but not that dumb.\This is quite a serious violation of the rules. response:	If they make it back they're expelled... Right, old man?
context: I saw a cat with wings tear one off.\Happy did?\Which means it's Natsu and Lucy!\What the heck are they thinking?\Going out on an S class quest without permission?\I always thought they were dumb, but not that dumb.\This is quite a serious violation of the rules.\If they make it back they're expelled... Right, old man? response:	But with their skills they won't be coming back from an S class, will they?
context: Happy did?\Which means it's Natsu and Lucy!\What the heck are they thinking?\Going out on an S class quest without permission?\I always thought they were dumb, but not that dumb.\This is quite a serious violation of the rules.\If they make it back they're expelled... Right, old man?\But with their skills they won't be coming back from an S class, will they? response:	Laxus, if you knew, why didn't you stop them?
context: Which means it's Natsu and Lucy!\What the heck are they thinking?\Going out on an S class quest without permission?\I always thought they were dumb, but not that dumb.\This is quite a serious violation of the rules.\If they make it back they're expelled... Right, old man?\But with their skills they won't be coming back from an S class, will they?\Laxus, if you knew, why didn't you stop them? response:	All I saw was a cat burglar run off with a scrap of paper.
context: What the heck are they thinking?\Going out on an S class quest without permission?\I always thought they were dumb, but not that dumb.\This is quite a serious violation of the rules.\If they make it back they're expelled... Right, old man?\But with their skills they won't be coming back from an S class, will they?\Laxus, if you knew, why didn't you stop them?\All I saw was a cat burglar run off with a scrap of paper. response:	I had no idea that was actually Happy.
context: Going out on an S class quest without permission?\I always thought they were dumb, but not that dumb.\This is quite a serious violation of the rules.\If they make it back they're expelled... Right, old man?\But with their skills they won't be coming back from an S class, will they?\Laxus, if you knew, why didn't you stop them?\All I saw was a cat burglar run off with a scrap of paper.\I had no idea that was actually Happy. response:	And I never would have thought Natsu would go on an S class.
context: I always thought they were dumb, but not that dumb.\This is quite a serious violation of the rules.\If they make it back they're expelled... Right, old man?\But with their skills they won't be coming back from an S class, will they?\Laxus, if you knew, why didn't you stop them?\All I saw was a cat burglar run off with a scrap of paper.\I had no idea that was actually Happy.\And I never would have thought Natsu would go on an S class. response:	Been a while since I've seen you look at me that way.
context: This is quite a serious violation of the rules.\If they make it back they're expelled... Right, old man?\But with their skills they won't be coming back from an S class, will they?\Laxus, if you knew, why didn't you stop them?\All I saw was a cat burglar run off with a scrap of paper.\I had no idea that was actually Happy.\And I never would have thought Natsu would go on an S class.\Been a while since I've seen you look at me that way. response:	This is not good.
context: If they make it back they're expelled... Right, old man?\But with their skills they won't be coming back from an S class, will they?\Laxus, if you knew, why didn't you stop them?\All I saw was a cat burglar run off with a scrap of paper.\I had no idea that was actually Happy.\And I never would have thought Natsu would go on an S class.\Been a while since I've seen you look at me that way.\This is not good. response:	Which request is missing?
context: But with their skills they won't be coming back from an S class, will they?\Laxus, if you knew, why didn't you stop them?\All I saw was a cat burglar run off with a scrap of paper.\I had no idea that was actually Happy.\And I never would have thought Natsu would go on an S class.\Been a while since I've seen you look at me that way.\This is not good.\Which request is missing? response:	The cursed island, Galuna.
context: Laxus, if you knew, why didn't you stop them?\All I saw was a cat burglar run off with a scrap of paper.\I had no idea that was actually Happy.\And I never would have thought Natsu would go on an S class.\Been a while since I've seen you look at me that way.\This is not good.\Which request is missing?\The cursed island, Galuna. response:	What?
context: All I saw was a cat burglar run off with a scrap of paper.\I had no idea that was actually Happy.\And I never would have thought Natsu would go on an S class.\Been a while since I've seen you look at me that way.\This is not good.\Which request is missing?\The cursed island, Galuna.\What? response:	Galuna Island?
context: I had no idea that was actually Happy.\And I never would have thought Natsu would go on an S class.\Been a while since I've seen you look at me that way.\This is not good.\Which request is missing?\The cursed island, Galuna.\What?\Galuna Island? response:	That's insane!
context: And I never would have thought Natsu would go on an S class.\Been a while since I've seen you look at me that way.\This is not good.\Which request is missing?\The cursed island, Galuna.\What?\Galuna Island?\That's insane! response:	Those guys are such idiots!
context: Been a while since I've seen you look at me that way.\This is not good.\Which request is missing?\The cursed island, Galuna.\What?\Galuna Island?\That's insane!\Those guys are such idiots! response:	Laxus! Go bring them back!
context: This is not good.\Which request is missing?\The cursed island, Galuna.\What?\Galuna Island?\That's insane!\Those guys are such idiots!\Laxus! Go bring them back! response:	You're kidding me.
context: Which request is missing?\The cursed island, Galuna.\What?\Galuna Island?\That's insane!\Those guys are such idiots!\Laxus! Go bring them back!\You're kidding me. response:	I've got work to do.
context: The cursed island, Galuna.\What?\Galuna Island?\That's insane!\Those guys are such idiots!\Laxus! Go bring them back!\You're kidding me.\I've got work to do. response:	Aren't the wizards in this guild supposed to be able to take care of themselves?
context: What?\Galuna Island?\That's insane!\Those guys are such idiots!\Laxus! Go bring them back!\You're kidding me.\I've got work to do.\Aren't the wizards in this guild supposed to be able to take care of themselves? response:	Right?
context: Galuna Island?\That's insane!\Those guys are such idiots!\Laxus! Go bring them back!\You're kidding me.\I've got work to do.\Aren't the wizards in this guild supposed to be able to take care of themselves?\Right? response:	Who other than you in here has the power to bring Natsu back by force?
context: That's insane!\Those guys are such idiots!\Laxus! Go bring them back!\You're kidding me.\I've got work to do.\Aren't the wizards in this guild supposed to be able to take care of themselves?\Right?\Who other than you in here has the power to bring Natsu back by force? response:	Gramps...
context: Those guys are such idiots!\Laxus! Go bring them back!\You're kidding me.\I've got work to do.\Aren't the wizards in this guild supposed to be able to take care of themselves?\Right?\Who other than you in here has the power to bring Natsu back by force?\Gramps... response:	I can't let that one ride.
context: Laxus! Go bring them back!\You're kidding me.\I've got work to do.\Aren't the wizards in this guild supposed to be able to take care of themselves?\Right?\Who other than you in here has the power to bring Natsu back by force?\Gramps...\I can't let that one ride. response:	The Cursed Island!
context: You're kidding me.\I've got work to do.\Aren't the wizards in this guild supposed to be able to take care of themselves?\Right?\Who other than you in here has the power to bring Natsu back by force?\Gramps...\I can't let that one ride.\The Cursed Island! response:	The port town of Hargeon.
context: I've got work to do.\Aren't the wizards in this guild supposed to be able to take care of themselves?\Right?\Who other than you in here has the power to bring Natsu back by force?\Gramps...\I can't let that one ride.\The Cursed Island!\The port town of Hargeon. response:	Ooh, how nostalgic!
context: Aren't the wizards in this guild supposed to be able to take care of themselves?\Right?\Who other than you in here has the power to bring Natsu back by force?\Gramps...\I can't let that one ride.\The Cursed Island!\The port town of Hargeon.\Ooh, how nostalgic! response:	This was the town where we all met, you know?
context: Right?\Who other than you in here has the power to bring Natsu back by force?\Gramps...\I can't let that one ride.\The Cursed Island!\The port town of Hargeon.\Ooh, how nostalgic!\This was the town where we all met, you know? response:	Nostalgic? It wasn't exactly that long ago.
context: Who other than you in here has the power to bring Natsu back by force?\Gramps...\I can't let that one ride.\The Cursed Island!\The port town of Hargeon.\Ooh, how nostalgic!\This was the town where we all met, you know?\Nostalgic? It wasn't exactly that long ago. response:	Lucy's like an old lady.
context: Gramps...\I can't let that one ride.\The Cursed Island!\The port town of Hargeon.\Ooh, how nostalgic!\This was the town where we all met, you know?\Nostalgic? It wasn't exactly that long ago.\Lucy's like an old lady. response:	Okay, first thing is to find a ship to take us to Galuna Island.
context: I can't let that one ride.\The Cursed Island!\The port town of Hargeon.\Ooh, how nostalgic!\This was the town where we all met, you know?\Nostalgic? It wasn't exactly that long ago.\Lucy's like an old lady.\Okay, first thing is to find a ship to take us to Galuna Island. response:	A ship?!
context: The Cursed Island!\The port town of Hargeon.\Ooh, how nostalgic!\This was the town where we all met, you know?\Nostalgic? It wasn't exactly that long ago.\Lucy's like an old lady.\Okay, first thing is to find a ship to take us to Galuna Island.\A ship?! response:	No way! Not a chance!
context: The port town of Hargeon.\Ooh, how nostalgic!\This was the town where we all met, you know?\Nostalgic? It wasn't exactly that long ago.\Lucy's like an old lady.\Okay, first thing is to find a ship to take us to Galuna Island.\A ship?!\No way! Not a chance! response:	We're swimming, got it?
context: Ooh, how nostalgic!\This was the town where we all met, you know?\Nostalgic? It wasn't exactly that long ago.\Lucy's like an old lady.\Okay, first thing is to find a ship to take us to Galuna Island.\A ship?!\No way! Not a chance!\We're swimming, got it? response:	That's even less a chance.
context: This was the town where we all met, you know?\Nostalgic? It wasn't exactly that long ago.\Lucy's like an old lady.\Okay, first thing is to find a ship to take us to Galuna Island.\A ship?!\No way! Not a chance!\We're swimming, got it?\That's even less a chance. response:	Galuna Island?
context: Nostalgic? It wasn't exactly that long ago.\Lucy's like an old lady.\Okay, first thing is to find a ship to take us to Galuna Island.\A ship?!\No way! Not a chance!\We're swimming, got it?\That's even less a chance.\Galuna Island? response:	You've got to be kidding me.
context: Lucy's like an old lady.\Okay, first thing is to find a ship to take us to Galuna Island.\A ship?!\No way! Not a chance!\We're swimming, got it?\That's even less a chance.\Galuna Island?\You've got to be kidding me. response:	I'm not going anywhere near it!
context: Okay, first thing is to find a ship to take us to Galuna Island.\A ship?!\No way! Not a chance!\We're swimming, got it?\That's even less a chance.\Galuna Island?\You've got to be kidding me.\I'm not going anywhere near it! response:	Give me break! I don't want to hear the name!
context: A ship?!\No way! Not a chance!\We're swimming, got it?\That's even less a chance.\Galuna Island?\You've got to be kidding me.\I'm not going anywhere near it!\Give me break! I don't want to hear the name! response:	We don't mention that island around this port.
context: No way! Not a chance!\We're swimming, got it?\That's even less a chance.\Galuna Island?\You've got to be kidding me.\I'm not going anywhere near it!\Give me break! I don't want to hear the name!\We don't mention that island around this port. response:	It's cursed, and it's a bad omen.
context: We're swimming, got it?\That's even less a chance.\Galuna Island?\You've got to be kidding me.\I'm not going anywhere near it!\Give me break! I don't want to hear the name!\We don't mention that island around this port.\It's cursed, and it's a bad omen. response:	I don't know why you want to go there, but there isn't any ship here that'll take you.
context: That's even less a chance.\Galuna Island?\You've got to be kidding me.\I'm not going anywhere near it!\Give me break! I don't want to hear the name!\We don't mention that island around this port.\It's cursed, and it's a bad omen.\I don't know why you want to go there, but there isn't any ship here that'll take you. response:	Even pirates avoid it.
context: Galuna Island?\You've got to be kidding me.\I'm not going anywhere near it!\Give me break! I don't want to hear the name!\We don't mention that island around this port.\It's cursed, and it's a bad omen.\I don't know why you want to go there, but there isn't any ship here that'll take you.\Even pirates avoid it. response:	But...
context: You've got to be kidding me.\I'm not going anywhere near it!\Give me break! I don't want to hear the name!\We don't mention that island around this port.\It's cursed, and it's a bad omen.\I don't know why you want to go there, but there isn't any ship here that'll take you.\Even pirates avoid it.\But... response:	Then it's decided. We're swimming!
context: I'm not going anywhere near it!\Give me break! I don't want to hear the name!\We don't mention that island around this port.\It's cursed, and it's a bad omen.\I don't know why you want to go there, but there isn't any ship here that'll take you.\Even pirates avoid it.\But...\Then it's decided. We're swimming! response:	Aye!
context: Give me break! I don't want to hear the name!\We don't mention that island around this port.\It's cursed, and it's a bad omen.\I don't know why you want to go there, but there isn't any ship here that'll take you.\Even pirates avoid it.\But...\Then it's decided. We're swimming!\Aye! response:	That's impossible, got it?
context: We don't mention that island around this port.\It's cursed, and it's a bad omen.\I don't know why you want to go there, but there isn't any ship here that'll take you.\Even pirates avoid it.\But...\Then it's decided. We're swimming!\Aye!\That's impossible, got it? response:	Found you.
context: It's cursed, and it's a bad omen.\I don't know why you want to go there, but there isn't any ship here that'll take you.\Even pirates avoid it.\But...\Then it's decided. We're swimming!\Aye!\That's impossible, got it?\Found you. response:	Gray?
context: I don't know why you want to go there, but there isn't any ship here that'll take you.\Even pirates avoid it.\But...\Then it's decided. We're swimming!\Aye!\That's impossible, got it?\Found you.\Gray? response:	What are you doing here?
context: Even pirates avoid it.\But...\Then it's decided. We're swimming!\Aye!\That's impossible, got it?\Found you.\Gray?\What are you doing here? response:	Orders from Gramps to bring you back.
context: But...\Then it's decided. We're swimming!\Aye!\That's impossible, got it?\Found you.\Gray?\What are you doing here?\Orders from Gramps to bring you back. response:	The jig's up already?
context: Then it's decided. We're swimming!\Aye!\That's impossible, got it?\Found you.\Gray?\What are you doing here?\Orders from Gramps to bring you back.\The jig's up already? response:	If you go back now, you might even get away without being expelled.
context: Aye!\That's impossible, got it?\Found you.\Gray?\What are you doing here?\Orders from Gramps to bring you back.\The jig's up already?\If you go back now, you might even get away without being expelled. response:	We're going back.
context: That's impossible, got it?\Found you.\Gray?\What are you doing here?\Orders from Gramps to bring you back.\The jig's up already?\If you go back now, you might even get away without being expelled.\We're going back. response:	Expelled?!
context: Found you.\Gray?\What are you doing here?\Orders from Gramps to bring you back.\The jig's up already?\If you go back now, you might even get away without being expelled.\We're going back.\Expelled?! response:	As if! I'm goin' on an S class quest!
context: Gray?\What are you doing here?\Orders from Gramps to bring you back.\The jig's up already?\If you go back now, you might even get away without being expelled.\We're going back.\Expelled?!\As if! I'm goin' on an S class quest! response:	You ain't got the skills to handle it!
context: What are you doing here?\Orders from Gramps to bring you back.\The jig's up already?\If you go back now, you might even get away without being expelled.\We're going back.\Expelled?!\As if! I'm goin' on an S class quest!\You ain't got the skills to handle it! response:	If Erza finds out about this, you'll...
context: Orders from Gramps to bring you back.\The jig's up already?\If you go back now, you might even get away without being expelled.\We're going back.\Expelled?!\As if! I'm goin' on an S class quest!\You ain't got the skills to handle it!\If Erza finds out about this, you'll... response:	Gray, save me!
context: The jig's up already?\If you go back now, you might even get away without being expelled.\We're going back.\Expelled?!\As if! I'm goin' on an S class quest!\You ain't got the skills to handle it!\If Erza finds out about this, you'll...\Gray, save me! response:	Those two forced me to come with them!
context: If you go back now, you might even get away without being expelled.\We're going back.\Expelled?!\As if! I'm goin' on an S class quest!\You ain't got the skills to handle it!\If Erza finds out about this, you'll...\Gray, save me!\Those two forced me to come with them! response:	You traitor!
context: We're going back.\Expelled?!\As if! I'm goin' on an S class quest!\You ain't got the skills to handle it!\If Erza finds out about this, you'll...\Gray, save me!\Those two forced me to come with them!\You traitor! response:	I'm gonna face Erza down!
context: Expelled?!\As if! I'm goin' on an S class quest!\You ain't got the skills to handle it!\If Erza finds out about this, you'll...\Gray, save me!\Those two forced me to come with them!\You traitor!\I'm gonna face Erza down! response:	I'm not gonna back down from this!
context: As if! I'm goin' on an S class quest!\You ain't got the skills to handle it!\If Erza finds out about this, you'll...\Gray, save me!\Those two forced me to come with them!\You traitor!\I'm gonna face Erza down!\I'm not gonna back down from this! response:	This is a direct order from the master!
context: You ain't got the skills to handle it!\If Erza finds out about this, you'll...\Gray, save me!\Those two forced me to come with them!\You traitor!\I'm gonna face Erza down!\I'm not gonna back down from this!\This is a direct order from the master! response:	I'm gonna bring you back by force if I have to!
context: If Erza finds out about this, you'll...\Gray, save me!\Those two forced me to come with them!\You traitor!\I'm gonna face Erza down!\I'm not gonna back down from this!\This is a direct order from the master!\I'm gonna bring you back by force if I have to! response:	Don't complain if you get hurt!
context: Gray, save me!\Those two forced me to come with them!\You traitor!\I'm gonna face Erza down!\I'm not gonna back down from this!\This is a direct order from the master!\I'm gonna bring you back by force if I have to!\Don't complain if you get hurt! response:	You're on!
context: Those two forced me to come with them!\You traitor!\I'm gonna face Erza down!\I'm not gonna back down from this!\This is a direct order from the master!\I'm gonna bring you back by force if I have to!\Don't complain if you get hurt!\You're on! response:	Magic?
context: You traitor!\I'm gonna face Erza down!\I'm not gonna back down from this!\This is a direct order from the master!\I'm gonna bring you back by force if I have to!\Don't complain if you get hurt!\You're on!\Magic? response:	Are you wizards?
context: I'm gonna face Erza down!\I'm not gonna back down from this!\This is a direct order from the master!\I'm gonna bring you back by force if I have to!\Don't complain if you get hurt!\You're on!\Magic?\Are you wizards? response:	Could you be here to lift the curse from the island?
context: I'm not gonna back down from this!\This is a direct order from the master!\I'm gonna bring you back by force if I have to!\Don't complain if you get hurt!\You're on!\Magic?\Are you wizards?\Could you be here to lift the curse from the island? response:	Yeah!
context: This is a direct order from the master!\I'm gonna bring you back by force if I have to!\Don't complain if you get hurt!\You're on!\Magic?\Are you wizards?\Could you be here to lift the curse from the island?\Yeah! response:	Well, we were...
context: I'm gonna bring you back by force if I have to!\Don't complain if you get hurt!\You're on!\Magic?\Are you wizards?\Could you be here to lift the curse from the island?\Yeah!\Well, we were... response:	I won't let you go!
context: Don't complain if you get hurt!\You're on!\Magic?\Are you wizards?\Could you be here to lift the curse from the island?\Yeah!\Well, we were...\I won't let you go! response:	Get on board!
context: You're on!\Magic?\Are you wizards?\Could you be here to lift the curse from the island?\Yeah!\Well, we were...\I won't let you go!\Get on board! response:	Seriously?
context: Magic?\Are you wizards?\Could you be here to lift the curse from the island?\Yeah!\Well, we were...\I won't let you go!\Get on board!\Seriously? response:	Hey!
