context: Possession of the Sacred Jewel bestows tremendous power... response:	upon demons and others with evil in their hearts.
context: All right... Now!\Hold it, Kagome!\Huh?!\Are you trying to escape?! What about the Sacred Jewel?!\Move!\I have a test tomorrow!\I'm in the 9th grade!\I've been missing all my cram classes for high school, too! response:	At this rate, I'll miss too many classes to graduate!
context: Hold it, Kagome!\Huh?!\Are you trying to escape?! What about the Sacred Jewel?!\Move!\I have a test tomorrow!\I'm in the 9th grade!\I've been missing all my cram classes for high school, too!\At this rate, I'll miss too many classes to graduate! response:	Hey, what're you doing?!
context: Huh?!\Are you trying to escape?! What about the Sacred Jewel?!\Move!\I have a test tomorrow!\I'm in the 9th grade!\I've been missing all my cram classes for high school, too!\At this rate, I'll miss too many classes to graduate!\Hey, what're you doing?! response:	Without this well, you can't return to that strange other world!
context: Are you trying to escape?! What about the Sacred Jewel?!\Move!\I have a test tomorrow!\I'm in the 9th grade!\I've been missing all my cram classes for high school, too!\At this rate, I'll miss too many classes to graduate!\Hey, what're you doing?!\Without this well, you can't return to that strange other world! response:	I'll destroy it!
context: Move!\I have a test tomorrow!\I'm in the 9th grade!\I've been missing all my cram classes for high school, too!\At this rate, I'll miss too many classes to graduate!\Hey, what're you doing?!\Without this well, you can't return to that strange other world!\I'll destroy it! response:	Sit!
context: I have a test tomorrow!\I'm in the 9th grade!\I've been missing all my cram classes for high school, too!\At this rate, I'll miss too many classes to graduate!\Hey, what're you doing?!\Without this well, you can't return to that strange other world!\I'll destroy it!\Sit! response:	Sit! Sit! Sit! Sit! Sit!
context: I'm in the 9th grade!\I've been missing all my cram classes for high school, too!\At this rate, I'll miss too many classes to graduate!\Hey, what're you doing?!\Without this well, you can't return to that strange other world!\I'll destroy it!\Sit!\Sit! Sit! Sit! Sit! Sit! response:	SIT!
context: I've been missing all my cram classes for high school, too!\At this rate, I'll miss too many classes to graduate!\Hey, what're you doing?!\Without this well, you can't return to that strange other world!\I'll destroy it!\Sit!\Sit! Sit! Sit! Sit! Sit!\SIT! response:	I'll be back in three days. So don't you dare follow me!
context: At this rate, I'll miss too many classes to graduate!\Hey, what're you doing?!\Without this well, you can't return to that strange other world!\I'll destroy it!\Sit!\Sit! Sit! Sit! Sit! Sit!\SIT!\I'll be back in three days. So don't you dare follow me! response:	Come home! Return to us!
context: Hey, what're you doing?!\Without this well, you can't return to that strange other world!\I'll destroy it!\Sit!\Sit! Sit! Sit! Sit! Sit!\SIT!\I'll be back in three days. So don't you dare follow me!\Come home! Return to us! response:	Gramps, will your chants really work?
context: Without this well, you can't return to that strange other world!\I'll destroy it!\Sit!\Sit! Sit! Sit! Sit! Sit!\SIT!\I'll be back in three days. So don't you dare follow me!\Come home! Return to us!\Gramps, will your chants really work? response:	It will!
context: I'll destroy it!\Sit!\Sit! Sit! Sit! Sit! Sit!\SIT!\I'll be back in three days. So don't you dare follow me!\Come home! Return to us!\Gramps, will your chants really work?\It will! response:	This chant is an ancient one that has been passed...
context: Sit!\Sit! Sit! Sit! Sit! Sit!\SIT!\I'll be back in three days. So don't you dare follow me!\Come home! Return to us!\Gramps, will your chants really work?\It will!\This chant is an ancient one that has been passed... response:	down through generations of Higurashi priests!
context: Sit! Sit! Sit! Sit! Sit!\SIT!\I'll be back in three days. So don't you dare follow me!\Come home! Return to us!\Gramps, will your chants really work?\It will!\This chant is an ancient one that has been passed...\down through generations of Higurashi priests! response:	But you've been at it for three days...
context: SIT!\I'll be back in three days. So don't you dare follow me!\Come home! Return to us!\Gramps, will your chants really work?\It will!\This chant is an ancient one that has been passed...\down through generations of Higurashi priests!\But you've been at it for three days... response:	and Sis still hasn't returned.
context: I'll be back in three days. So don't you dare follow me!\Come home! Return to us!\Gramps, will your chants really work?\It will!\This chant is an ancient one that has been passed...\down through generations of Higurashi priests!\But you've been at it for three days...\and Sis still hasn't returned. response:	Good! I'm back!
context: Come home! Return to us!\Gramps, will your chants really work?\It will!\This chant is an ancient one that has been passed...\down through generations of Higurashi priests!\But you've been at it for three days...\and Sis still hasn't returned.\Good! I'm back! response:	Oh, sacred rice wine! Bring her back!
context: Gramps, will your chants really work?\It will!\This chant is an ancient one that has been passed...\down through generations of Higurashi priests!\But you've been at it for three days...\and Sis still hasn't returned.\Good! I'm back!\Oh, sacred rice wine! Bring her back! response:	What's this?!
context: It will!\This chant is an ancient one that has been passed...\down through generations of Higurashi priests!\But you've been at it for three days...\and Sis still hasn't returned.\Good! I'm back!\Oh, sacred rice wine! Bring her back!\What's this?! response:	Smells like sake!
context: This chant is an ancient one that has been passed...\down through generations of Higurashi priests!\But you've been at it for three days...\and Sis still hasn't returned.\Good! I'm back!\Oh, sacred rice wine! Bring her back!\What's this?!\Smells like sake! response:	Kagome!
context: down through generations of Higurashi priests!\But you've been at it for three days...\and Sis still hasn't returned.\Good! I'm back!\Oh, sacred rice wine! Bring her back!\What's this?!\Smells like sake!\Kagome! response:	My prayers have worked!
context: But you've been at it for three days...\and Sis still hasn't returned.\Good! I'm back!\Oh, sacred rice wine! Bring her back!\What's this?!\Smells like sake!\Kagome!\My prayers have worked! response:	Gramps, I appreciate your concern for me, but...
context: and Sis still hasn't returned.\Good! I'm back!\Oh, sacred rice wine! Bring her back!\What's this?!\Smells like sake!\Kagome!\My prayers have worked!\Gramps, I appreciate your concern for me, but... response:	Sota, do you believe me now?
context: Good! I'm back!\Oh, sacred rice wine! Bring her back!\What's this?!\Smells like sake!\Kagome!\My prayers have worked!\Gramps, I appreciate your concern for me, but...\Sota, do you believe me now? response:	Oh, yeah! You are amazing, Gramps!
context: Oh, sacred rice wine! Bring her back!\What's this?!\Smells like sake!\Kagome!\My prayers have worked!\Gramps, I appreciate your concern for me, but...\Sota, do you believe me now?\Oh, yeah! You are amazing, Gramps! response:	Then you must train hard as the next in line!
context: What's this?!\Smells like sake!\Kagome!\My prayers have worked!\Gramps, I appreciate your concern for me, but...\Sota, do you believe me now?\Oh, yeah! You are amazing, Gramps!\Then you must train hard as the next in line! response:	I'm the next in line?!
context: Smells like sake!\Kagome!\My prayers have worked!\Gramps, I appreciate your concern for me, but...\Sota, do you believe me now?\Oh, yeah! You are amazing, Gramps!\Then you must train hard as the next in line!\I'm the next in line?! response:	Naturally!
context: Kagome!\My prayers have worked!\Gramps, I appreciate your concern for me, but...\Sota, do you believe me now?\Oh, yeah! You are amazing, Gramps!\Then you must train hard as the next in line!\I'm the next in line?!\Naturally! response:	No way! I'm going to become a soccer player!
context: My prayers have worked!\Gramps, I appreciate your concern for me, but...\Sota, do you believe me now?\Oh, yeah! You are amazing, Gramps!\Then you must train hard as the next in line!\I'm the next in line?!\Naturally!\No way! I'm going to become a soccer player! response:	Socker player? You're going to punch people?!
context: Gramps, I appreciate your concern for me, but...\Sota, do you believe me now?\Oh, yeah! You are amazing, Gramps!\Then you must train hard as the next in line!\I'm the next in line?!\Naturally!\No way! I'm going to become a soccer player!\Socker player? You're going to punch people?! response:	Never mind that!
context: Sota, do you believe me now?\Oh, yeah! You are amazing, Gramps!\Then you must train hard as the next in line!\I'm the next in line?!\Naturally!\No way! I'm going to become a soccer player!\Socker player? You're going to punch people?!\Never mind that! response:	I have lots of things to bring up... Help me!
context: Oh, yeah! You are amazing, Gramps!\Then you must train hard as the next in line!\I'm the next in line?!\Naturally!\No way! I'm going to become a soccer player!\Socker player? You're going to punch people?!\Never mind that!\I have lots of things to bring up... Help me! response:	- Mom wants me to become a doctor. - A doctor?
context: Then you must train hard as the next in line!\I'm the next in line?!\Naturally!\No way! I'm going to become a soccer player!\Socker player? You're going to punch people?!\Never mind that!\I have lots of things to bring up... Help me!\- Mom wants me to become a doctor. - A doctor? response:	A surgeon or a physician? I would recommend you to become...
context: I'm the next in line?!\Naturally!\No way! I'm going to become a soccer player!\Socker player? You're going to punch people?!\Never mind that!\I have lots of things to bring up... Help me!\- Mom wants me to become a doctor. - A doctor?\A surgeon or a physician? I would recommend you to become... response:	What's the matter, Buyo? You're sneezing!
context: Naturally!\No way! I'm going to become a soccer player!\Socker player? You're going to punch people?!\Never mind that!\I have lots of things to bring up... Help me!\- Mom wants me to become a doctor. - A doctor?\A surgeon or a physician? I would recommend you to become...\What's the matter, Buyo? You're sneezing! response:	Do I still reek of liquor?
context: No way! I'm going to become a soccer player!\Socker player? You're going to punch people?!\Never mind that!\I have lots of things to bring up... Help me!\- Mom wants me to become a doctor. - A doctor?\A surgeon or a physician? I would recommend you to become...\What's the matter, Buyo? You're sneezing!\Do I still reek of liquor? response:	Here's your new school uniform. I'll put it in your room.
context: Socker player? You're going to punch people?!\Never mind that!\I have lots of things to bring up... Help me!\- Mom wants me to become a doctor. - A doctor?\A surgeon or a physician? I would recommend you to become...\What's the matter, Buyo? You're sneezing!\Do I still reek of liquor?\Here's your new school uniform. I'll put it in your room. response:	Thanks, Mom.
context: Never mind that!\I have lots of things to bring up... Help me!\- Mom wants me to become a doctor. - A doctor?\A surgeon or a physician? I would recommend you to become...\What's the matter, Buyo? You're sneezing!\Do I still reek of liquor?\Here's your new school uniform. I'll put it in your room.\Thanks, Mom. response:	Sis, didn't you bring that dog fellow?
context: I have lots of things to bring up... Help me!\- Mom wants me to become a doctor. - A doctor?\A surgeon or a physician? I would recommend you to become...\What's the matter, Buyo? You're sneezing!\Do I still reek of liquor?\Here's your new school uniform. I'll put it in your room.\Thanks, Mom.\Sis, didn't you bring that dog fellow? response:	Of course not!
context: - Mom wants me to become a doctor. - A doctor?\A surgeon or a physician? I would recommend you to become...\What's the matter, Buyo? You're sneezing!\Do I still reek of liquor?\Here's your new school uniform. I'll put it in your room.\Thanks, Mom.\Sis, didn't you bring that dog fellow?\Of course not! response:	It was difficult enough trying to lose him!
context: A surgeon or a physician? I would recommend you to become...\What's the matter, Buyo? You're sneezing!\Do I still reek of liquor?\Here's your new school uniform. I'll put it in your room.\Thanks, Mom.\Sis, didn't you bring that dog fellow?\Of course not!\It was difficult enough trying to lose him! response:	Difficult enough...
context: What's the matter, Buyo? You're sneezing!\Do I still reek of liquor?\Here's your new school uniform. I'll put it in your room.\Thanks, Mom.\Sis, didn't you bring that dog fellow?\Of course not!\It was difficult enough trying to lose him!\Difficult enough... response:	Yup... Life has become quite difficult.
context: Do I still reek of liquor?\Here's your new school uniform. I'll put it in your room.\Thanks, Mom.\Sis, didn't you bring that dog fellow?\Of course not!\It was difficult enough trying to lose him!\Difficult enough...\Yup... Life has become quite difficult. response:	I've lived at this Higurashi Shrine...
context: Here's your new school uniform. I'll put it in your room.\Thanks, Mom.\Sis, didn't you bring that dog fellow?\Of course not!\It was difficult enough trying to lose him!\Difficult enough...\Yup... Life has become quite difficult.\I've lived at this Higurashi Shrine... response:	from the day I was born.
context: Thanks, Mom.\Sis, didn't you bring that dog fellow?\Of course not!\It was difficult enough trying to lose him!\Difficult enough...\Yup... Life has become quite difficult.\I've lived at this Higurashi Shrine...\from the day I was born. response:	Gramps, my mom, my younger brother, Sota...
context: Sis, didn't you bring that dog fellow?\Of course not!\It was difficult enough trying to lose him!\Difficult enough...\Yup... Life has become quite difficult.\I've lived at this Higurashi Shrine...\from the day I was born.\Gramps, my mom, my younger brother, Sota... response:	and me, an average ninth grader.
context: Of course not!\It was difficult enough trying to lose him!\Difficult enough...\Yup... Life has become quite difficult.\I've lived at this Higurashi Shrine...\from the day I was born.\Gramps, my mom, my younger brother, Sota...\and me, an average ninth grader. response:	We have a secret well on our premises.
context: It was difficult enough trying to lose him!\Difficult enough...\Yup... Life has become quite difficult.\I've lived at this Higurashi Shrine...\from the day I was born.\Gramps, my mom, my younger brother, Sota...\and me, an average ninth grader.\We have a secret well on our premises. response:	And demons are after the Sacred Jewel.
context: Difficult enough...\Yup... Life has become quite difficult.\I've lived at this Higurashi Shrine...\from the day I was born.\Gramps, my mom, my younger brother, Sota...\and me, an average ninth grader.\We have a secret well on our premises.\And demons are after the Sacred Jewel. response:	And suddenly, I've had this totally unaveragelife.
context: Yup... Life has become quite difficult.\I've lived at this Higurashi Shrine...\from the day I was born.\Gramps, my mom, my younger brother, Sota...\and me, an average ninth grader.\We have a secret well on our premises.\And demons are after the Sacred Jewel.\And suddenly, I've had this totally unaveragelife. response:	Even today, I wake up wondering if this is all a dream.
context: I've lived at this Higurashi Shrine...\from the day I was born.\Gramps, my mom, my younger brother, Sota...\and me, an average ninth grader.\We have a secret well on our premises.\And demons are after the Sacred Jewel.\And suddenly, I've had this totally unaveragelife.\Even today, I wake up wondering if this is all a dream. response:	This is reality...
context: from the day I was born.\Gramps, my mom, my younger brother, Sota...\and me, an average ninth grader.\We have a secret well on our premises.\And demons are after the Sacred Jewel.\And suddenly, I've had this totally unaveragelife.\Even today, I wake up wondering if this is all a dream.\This is reality... response:	All right!
context: Gramps, my mom, my younger brother, Sota...\and me, an average ninth grader.\We have a secret well on our premises.\And demons are after the Sacred Jewel.\And suddenly, I've had this totally unaveragelife.\Even today, I wake up wondering if this is all a dream.\This is reality...\All right! response:	'Morning!
context: and me, an average ninth grader.\We have a secret well on our premises.\And demons are after the Sacred Jewel.\And suddenly, I've had this totally unaveragelife.\Even today, I wake up wondering if this is all a dream.\This is reality...\All right!\'Morning! response:	Good morning!
context: We have a secret well on our premises.\And demons are after the Sacred Jewel.\And suddenly, I've had this totally unaveragelife.\Even today, I wake up wondering if this is all a dream.\This is reality...\All right!\'Morning!\Good morning! response:	Kagome!
context: And demons are after the Sacred Jewel.\And suddenly, I've had this totally unaveragelife.\Even today, I wake up wondering if this is all a dream.\This is reality...\All right!\'Morning!\Good morning!\Kagome! response:	Is it okay for you to be in school?
context: And suddenly, I've had this totally unaveragelife.\Even today, I wake up wondering if this is all a dream.\This is reality...\All right!\'Morning!\Good morning!\Kagome!\Is it okay for you to be in school? response:	Huh?
context: Even today, I wake up wondering if this is all a dream.\This is reality...\All right!\'Morning!\Good morning!\Kagome!\Is it okay for you to be in school?\Huh? response:	You've been absent a lot lately...
context: This is reality...\All right!\'Morning!\Good morning!\Kagome!\Is it okay for you to be in school?\Huh?\You've been absent a lot lately... response:	so we called your house.
context: All right!\'Morning!\Good morning!\Kagome!\Is it okay for you to be in school?\Huh?\You've been absent a lot lately...\so we called your house. response:	This time, it was a strained back.
context: 'Morning!\Good morning!\Kagome!\Is it okay for you to be in school?\Huh?\You've been absent a lot lately...\so we called your house.\This time, it was a strained back. response:	And before that, you had gone to the doctor for a diabetes test.
context: Good morning!\Kagome!\Is it okay for you to be in school?\Huh?\You've been absent a lot lately...\so we called your house.\This time, it was a strained back.\And before that, you had gone to the doctor for a diabetes test. response:	Are you okay?
context: Kagome!\Is it okay for you to be in school?\Huh?\You've been absent a lot lately...\so we called your house.\This time, it was a strained back.\And before that, you had gone to the doctor for a diabetes test.\Are you okay? response:	Gramps... If you have to lie, make it believable!
context: Is it okay for you to be in school?\Huh?\You've been absent a lot lately...\so we called your house.\This time, it was a strained back.\And before that, you had gone to the doctor for a diabetes test.\Are you okay?\Gramps... If you have to lie, make it believable! response:	Higurashi!
context: Huh?\You've been absent a lot lately...\so we called your house.\This time, it was a strained back.\And before that, you had gone to the doctor for a diabetes test.\Are you okay?\Gramps... If you have to lie, make it believable!\Higurashi! response:	Huh?
context: You've been absent a lot lately...\so we called your house.\This time, it was a strained back.\And before that, you had gone to the doctor for a diabetes test.\Are you okay?\Gramps... If you have to lie, make it believable!\Higurashi!\Huh? response:	Are you feeling better?
context: so we called your house.\This time, it was a strained back.\And before that, you had gone to the doctor for a diabetes test.\Are you okay?\Gramps... If you have to lie, make it believable!\Higurashi!\Huh?\Are you feeling better? response:	Huh?!
context: This time, it was a strained back.\And before that, you had gone to the doctor for a diabetes test.\Are you okay?\Gramps... If you have to lie, make it believable!\Higurashi!\Huh?\Are you feeling better?\Huh?! response:	It's Hojo from B-section!
context: And before that, you had gone to the doctor for a diabetes test.\Are you okay?\Gramps... If you have to lie, make it believable!\Higurashi!\Huh?\Are you feeling better?\Huh?!\It's Hojo from B-section! response:	You're going through an awful lot for someone so young.
context: Are you okay?\Gramps... If you have to lie, make it believable!\Higurashi!\Huh?\Are you feeling better?\Huh?!\It's Hojo from B-section!\You're going through an awful lot for someone so young. response:	You have gout?
context: Gramps... If you have to lie, make it believable!\Higurashi!\Huh?\Are you feeling better?\Huh?!\It's Hojo from B-section!\You're going through an awful lot for someone so young.\You have gout? response:	No...!
context: Higurashi!\Huh?\Are you feeling better?\Huh?!\It's Hojo from B-section!\You're going through an awful lot for someone so young.\You have gout?\No...! response:	I can't do much, but here.
context: Huh?\Are you feeling better?\Huh?!\It's Hojo from B-section!\You're going through an awful lot for someone so young.\You have gout?\No...!\I can't do much, but here. response:	What is it?
context: Are you feeling better?\Huh?!\It's Hojo from B-section!\You're going through an awful lot for someone so young.\You have gout?\No...!\I can't do much, but here.\What is it? response:	Therapeutic sandals!
context: Huh?!\It's Hojo from B-section!\You're going through an awful lot for someone so young.\You have gout?\No...!\I can't do much, but here.\What is it?\Therapeutic sandals! response:	Wear them, okay?
context: It's Hojo from B-section!\You're going through an awful lot for someone so young.\You have gout?\No...!\I can't do much, but here.\What is it?\Therapeutic sandals!\Wear them, okay? response:	Hey, Kagome!
context: You're going through an awful lot for someone so young.\You have gout?\No...!\I can't do much, but here.\What is it?\Therapeutic sandals!\Wear them, okay?\Hey, Kagome! response:	Have you been seeing Hojo?
context: You have gout?\No...!\I can't do much, but here.\What is it?\Therapeutic sandals!\Wear them, okay?\Hey, Kagome!\Have you been seeing Hojo? response:	As if I have the time!
context: No...!\I can't do much, but here.\What is it?\Therapeutic sandals!\Wear them, okay?\Hey, Kagome!\Have you been seeing Hojo?\As if I have the time! response:	But he seems to really like you.
context: I can't do much, but here.\What is it?\Therapeutic sandals!\Wear them, okay?\Hey, Kagome!\Have you been seeing Hojo?\As if I have the time!\But he seems to really like you. response:	What a shock!!
context: What is it?\Therapeutic sandals!\Wear them, okay?\Hey, Kagome!\Have you been seeing Hojo?\As if I have the time!\But he seems to really like you.\What a shock!! response:	Are you the least bit interested?
context: Therapeutic sandals!\Wear them, okay?\Hey, Kagome!\Have you been seeing Hojo?\As if I have the time!\But he seems to really like you.\What a shock!!\Are you the least bit interested? response:	Well!
context: Wear them, okay?\Hey, Kagome!\Have you been seeing Hojo?\As if I have the time!\But he seems to really like you.\What a shock!!\Are you the least bit interested?\Well! response:	Kagome, do you?
context: Hey, Kagome!\Have you been seeing Hojo?\As if I have the time!\But he seems to really like you.\What a shock!!\Are you the least bit interested?\Well!\Kagome, do you? response:	Do you have a boyfriend already?!
context: Have you been seeing Hojo?\As if I have the time!\But he seems to really like you.\What a shock!!\Are you the least bit interested?\Well!\Kagome, do you?\Do you have a boyfriend already?! response:	No way!
context: As if I have the time!\But he seems to really like you.\What a shock!!\Are you the least bit interested?\Well!\Kagome, do you?\Do you have a boyfriend already?!\No way! response:	Really? You really don't have one?
context: But he seems to really like you.\What a shock!!\Are you the least bit interested?\Well!\Kagome, do you?\Do you have a boyfriend already?!\No way!\Really? You really don't have one? response:	Then what kind of guys do you like?
context: What a shock!!\Are you the least bit interested?\Well!\Kagome, do you?\Do you have a boyfriend already?!\No way!\Really? You really don't have one?\Then what kind of guys do you like? response:	Well...
context: Are you the least bit interested?\Well!\Kagome, do you?\Do you have a boyfriend already?!\No way!\Really? You really don't have one?\Then what kind of guys do you like?\Well... response:	Someone who's not rough...
context: Well!\Kagome, do you?\Do you have a boyfriend already?!\No way!\Really? You really don't have one?\Then what kind of guys do you like?\Well...\Someone who's not rough... response:	who's not spoiled...
context: Kagome, do you?\Do you have a boyfriend already?!\No way!\Really? You really don't have one?\Then what kind of guys do you like?\Well...\Someone who's not rough...\who's not spoiled... response:	who's not short-tempered...
context: Do you have a boyfriend already?!\No way!\Really? You really don't have one?\Then what kind of guys do you like?\Well...\Someone who's not rough...\who's not spoiled...\who's not short-tempered... response:	who's kind...and understanding...
context: No way!\Really? You really don't have one?\Then what kind of guys do you like?\Well...\Someone who's not rough...\who's not spoiled...\who's not short-tempered...\who's kind...and understanding... response:	Yes...
context: Really? You really don't have one?\Then what kind of guys do you like?\Well...\Someone who's not rough...\who's not spoiled...\who's not short-tempered...\who's kind...and understanding...\Yes... response:	Perhaps I'd like someone who's the complete opposite of Inuyasha...
context: Then what kind of guys do you like?\Well...\Someone who's not rough...\who's not spoiled...\who's not short-tempered...\who's kind...and understanding...\Yes...\Perhaps I'd like someone who's the complete opposite of Inuyasha... response:	What's the matter with Kagome?
context: Well...\Someone who's not rough...\who's not spoiled...\who's not short-tempered...\who's kind...and understanding...\Yes...\Perhaps I'd like someone who's the complete opposite of Inuyasha...\What's the matter with Kagome? response:	I think she still has a fever.
context: Someone who's not rough...\who's not spoiled...\who's not short-tempered...\who's kind...and understanding...\Yes...\Perhaps I'd like someone who's the complete opposite of Inuyasha...\What's the matter with Kagome?\I think she still has a fever. response:	Inuyasha, stop lying around.
context: who's not spoiled...\who's not short-tempered...\who's kind...and understanding...\Yes...\Perhaps I'd like someone who's the complete opposite of Inuyasha...\What's the matter with Kagome?\I think she still has a fever.\Inuyasha, stop lying around. response:	Go out and get information on the Sacred Jewel.
context: who's not short-tempered...\who's kind...and understanding...\Yes...\Perhaps I'd like someone who's the complete opposite of Inuyasha...\What's the matter with Kagome?\I think she still has a fever.\Inuyasha, stop lying around.\Go out and get information on the Sacred Jewel. response:	Shut up!
context: who's kind...and understanding...\Yes...\Perhaps I'd like someone who's the complete opposite of Inuyasha...\What's the matter with Kagome?\I think she still has a fever.\Inuyasha, stop lying around.\Go out and get information on the Sacred Jewel.\Shut up! response:	All that sit from her has given me a sore back!
context: Yes...\Perhaps I'd like someone who's the complete opposite of Inuyasha...\What's the matter with Kagome?\I think she still has a fever.\Inuyasha, stop lying around.\Go out and get information on the Sacred Jewel.\Shut up!\All that sit from her has given me a sore back! response:	Damn that Kagome!
context: Perhaps I'd like someone who's the complete opposite of Inuyasha...\What's the matter with Kagome?\I think she still has a fever.\Inuyasha, stop lying around.\Go out and get information on the Sacred Jewel.\Shut up!\All that sit from her has given me a sore back!\Damn that Kagome! response:	Hurry back so I can teach you a lesson!
context: What's the matter with Kagome?\I think she still has a fever.\Inuyasha, stop lying around.\Go out and get information on the Sacred Jewel.\Shut up!\All that sit from her has given me a sore back!\Damn that Kagome!\Hurry back so I can teach you a lesson! response:	Oww!
context: I think she still has a fever.\Inuyasha, stop lying around.\Go out and get information on the Sacred Jewel.\Shut up!\All that sit from her has given me a sore back!\Damn that Kagome!\Hurry back so I can teach you a lesson!\Oww! response:	Huh?! A fire!
context: Inuyasha, stop lying around.\Go out and get information on the Sacred Jewel.\Shut up!\All that sit from her has given me a sore back!\Damn that Kagome!\Hurry back so I can teach you a lesson!\Oww!\Huh?! A fire! response:	What's happening?!
context: Go out and get information on the Sacred Jewel.\Shut up!\All that sit from her has given me a sore back!\Damn that Kagome!\Hurry back so I can teach you a lesson!\Oww!\Huh?! A fire!\What's happening?! response:	Why... You've burned the talismans that have...
context: Shut up!\All that sit from her has given me a sore back!\Damn that Kagome!\Hurry back so I can teach you a lesson!\Oww!\Huh?! A fire!\What's happening?!\Why... You've burned the talismans that have... response:	been in place for generations!
context: All that sit from her has given me a sore back!\Damn that Kagome!\Hurry back so I can teach you a lesson!\Oww!\Huh?! A fire!\What's happening?!\Why... You've burned the talismans that have...\been in place for generations! response:	Give me... a body...
context: Damn that Kagome!\Hurry back so I can teach you a lesson!\Oww!\Huh?! A fire!\What's happening?!\Why... You've burned the talismans that have...\been in place for generations!\Give me... a body... response:	That mask!
context: Hurry back so I can teach you a lesson!\Oww!\Huh?! A fire!\What's happening?!\Why... You've burned the talismans that have...\been in place for generations!\Give me... a body...\That mask! response:	My predecessor several generations back was...
context: Oww!\Huh?! A fire!\What's happening?!\Why... You've burned the talismans that have...\been in place for generations!\Give me... a body...\That mask!\My predecessor several generations back was... response:	asked to exorcise this mask by a Noh actor!
context: Huh?! A fire!\What's happening?!\Why... You've burned the talismans that have...\been in place for generations!\Give me... a body...\That mask!\My predecessor several generations back was...\asked to exorcise this mask by a Noh actor! response:	It was named the Flesh-Eating Mask!
context: What's happening?!\Why... You've burned the talismans that have...\been in place for generations!\Give me... a body...\That mask!\My predecessor several generations back was...\asked to exorcise this mask by a Noh actor!\It was named the Flesh-Eating Mask! response:	I did not know it had such enormous power!
context: Why... You've burned the talismans that have...\been in place for generations!\Give me... a body...\That mask!\My predecessor several generations back was...\asked to exorcise this mask by a Noh actor!\It was named the Flesh-Eating Mask!\I did not know it had such enormous power! response:	A body...
