context: Work Log response:	Is that so, Denroku?
context: and help Madam Manager!\Isn't that right, Takako?\Exactly so, Enishing.\Enishing?\Enishing means anything.\We have no secrets from each other!\We say anything to each other!\But, hey, I'm happy for you. response:	Congratulations!
context: Isn't that right, Takako?\Exactly so, Enishing.\Enishing?\Enishing means anything.\We have no secrets from each other!\We say anything to each other!\But, hey, I'm happy for you.\Congratulations! response:	And what are we congratulating now?
context: Exactly so, Enishing.\Enishing?\Enishing means anything.\We have no secrets from each other!\We say anything to each other!\But, hey, I'm happy for you.\Congratulations!\And what are we congratulating now? response:	Madam Manager!
context: Enishing?\Enishing means anything.\We have no secrets from each other!\We say anything to each other!\But, hey, I'm happy for you.\Congratulations!\And what are we congratulating now?\Madam Manager! response:	I was planning on telling you formally, but...
context: Enishing means anything.\We have no secrets from each other!\We say anything to each other!\But, hey, I'm happy for you.\Congratulations!\And what are we congratulating now?\Madam Manager!\I was planning on telling you formally, but... response:	Please, will you acknowledge our forthcoming marriage?
context: We have no secrets from each other!\We say anything to each other!\But, hey, I'm happy for you.\Congratulations!\And what are we congratulating now?\Madam Manager!\I was planning on telling you formally, but...\Please, will you acknowledge our forthcoming marriage? response:	Do whatever you please.
context: We say anything to each other!\But, hey, I'm happy for you.\Congratulations!\And what are we congratulating now?\Madam Manager!\I was planning on telling you formally, but...\Please, will you acknowledge our forthcoming marriage?\Do whatever you please. response:	Please wait!
context: But, hey, I'm happy for you.\Congratulations!\And what are we congratulating now?\Madam Manager!\I was planning on telling you formally, but...\Please, will you acknowledge our forthcoming marriage?\Do whatever you please.\Please wait! response:	Takako!
context: Congratulations!\And what are we congratulating now?\Madam Manager!\I was planning on telling you formally, but...\Please, will you acknowledge our forthcoming marriage?\Do whatever you please.\Please wait!\Takako! response:	Wait, Mother!
context: And what are we congratulating now?\Madam Manager!\I was planning on telling you formally, but...\Please, will you acknowledge our forthcoming marriage?\Do whatever you please.\Please wait!\Takako!\Wait, Mother! response:	You don't trust me, do you, Mother?
context: Madam Manager!\I was planning on telling you formally, but...\Please, will you acknowledge our forthcoming marriage?\Do whatever you please.\Please wait!\Takako!\Wait, Mother!\You don't trust me, do you, Mother? response:	But, mark my words, I will definitely regain your trust!
context: I was planning on telling you formally, but...\Please, will you acknowledge our forthcoming marriage?\Do whatever you please.\Please wait!\Takako!\Wait, Mother!\You don't trust me, do you, Mother?\But, mark my words, I will definitely regain your trust! response:	I'm prepared to work at this inn for the rest of my life!
context: Please, will you acknowledge our forthcoming marriage?\Do whatever you please.\Please wait!\Takako!\Wait, Mother!\You don't trust me, do you, Mother?\But, mark my words, I will definitely regain your trust!\I'm prepared to work at this inn for the rest of my life! response:	So, please, Mother...
context: Do whatever you please.\Please wait!\Takako!\Wait, Mother!\You don't trust me, do you, Mother?\But, mark my words, I will definitely regain your trust!\I'm prepared to work at this inn for the rest of my life!\So, please, Mother... response:	Could you stop calling me that?
context: Please wait!\Takako!\Wait, Mother!\You don't trust me, do you, Mother?\But, mark my words, I will definitely regain your trust!\I'm prepared to work at this inn for the rest of my life!\So, please, Mother...\Could you stop calling me that? response:	Within the grounds of Kissuiso,
context: Takako!\Wait, Mother!\You don't trust me, do you, Mother?\But, mark my words, I will definitely regain your trust!\I'm prepared to work at this inn for the rest of my life!\So, please, Mother...\Could you stop calling me that?\Within the grounds of Kissuiso, response:	I'm to be called Madam Manager,
context: Wait, Mother!\You don't trust me, do you, Mother?\But, mark my words, I will definitely regain your trust!\I'm prepared to work at this inn for the rest of my life!\So, please, Mother...\Could you stop calling me that?\Within the grounds of Kissuiso,\I'm to be called Madam Manager, response:	and not Enishi's mother.
context: You don't trust me, do you, Mother?\But, mark my words, I will definitely regain your trust!\I'm prepared to work at this inn for the rest of my life!\So, please, Mother...\Could you stop calling me that?\Within the grounds of Kissuiso,\I'm to be called Madam Manager,\and not Enishi's mother. response:	However, there is one requirement.
context: But, mark my words, I will definitely regain your trust!\I'm prepared to work at this inn for the rest of my life!\So, please, Mother...\Could you stop calling me that?\Within the grounds of Kissuiso,\I'm to be called Madam Manager,\and not Enishi's mother.\However, there is one requirement. response:	What?
context: I'm prepared to work at this inn for the rest of my life!\So, please, Mother...\Could you stop calling me that?\Within the grounds of Kissuiso,\I'm to be called Madam Manager,\and not Enishi's mother.\However, there is one requirement.\What? response:	If you're getting married, make sure you hold a wedding ceremony.
context: So, please, Mother...\Could you stop calling me that?\Within the grounds of Kissuiso,\I'm to be called Madam Manager,\and not Enishi's mother.\However, there is one requirement.\What?\If you're getting married, make sure you hold a wedding ceremony. response:	B-But...
context: Could you stop calling me that?\Within the grounds of Kissuiso,\I'm to be called Madam Manager,\and not Enishi's mother.\However, there is one requirement.\What?\If you're getting married, make sure you hold a wedding ceremony.\B-But... response:	Wedding ceremonies aren't there for self-satisfaction.
context: Within the grounds of Kissuiso,\I'm to be called Madam Manager,\and not Enishi's mother.\However, there is one requirement.\What?\If you're getting married, make sure you hold a wedding ceremony.\B-But...\Wedding ceremonies aren't there for self-satisfaction. response:	You have a reputation to uphold as
context: I'm to be called Madam Manager,\and not Enishi's mother.\However, there is one requirement.\What?\If you're getting married, make sure you hold a wedding ceremony.\B-But...\Wedding ceremonies aren't there for self-satisfaction.\You have a reputation to uphold as response:	the successor of Kissuiso.
context: and not Enishi's mother.\However, there is one requirement.\What?\If you're getting married, make sure you hold a wedding ceremony.\B-But...\Wedding ceremonies aren't there for self-satisfaction.\You have a reputation to uphold as\the successor of Kissuiso. response:	If you can't even understand that,
context: However, there is one requirement.\What?\If you're getting married, make sure you hold a wedding ceremony.\B-But...\Wedding ceremonies aren't there for self-satisfaction.\You have a reputation to uphold as\the successor of Kissuiso.\If you can't even understand that, response:	you've got a long way to go before you can take charge here.
context: What?\If you're getting married, make sure you hold a wedding ceremony.\B-But...\Wedding ceremonies aren't there for self-satisfaction.\You have a reputation to uphold as\the successor of Kissuiso.\If you can't even understand that,\you've got a long way to go before you can take charge here. response:	It's leftover fish soup.
context: If you're getting married, make sure you hold a wedding ceremony.\B-But...\Wedding ceremonies aren't there for self-satisfaction.\You have a reputation to uphold as\the successor of Kissuiso.\If you can't even understand that,\you've got a long way to go before you can take charge here.\It's leftover fish soup. response:	Would you care to join us, Miss Takako?
context: B-But...\Wedding ceremonies aren't there for self-satisfaction.\You have a reputation to uphold as\the successor of Kissuiso.\If you can't even understand that,\you've got a long way to go before you can take charge here.\It's leftover fish soup.\Would you care to join us, Miss Takako? response:	The scent of a reefy coast stings my troubled heart.
context: Wedding ceremonies aren't there for self-satisfaction.\You have a reputation to uphold as\the successor of Kissuiso.\If you can't even understand that,\you've got a long way to go before you can take charge here.\It's leftover fish soup.\Would you care to join us, Miss Takako?\The scent of a reefy coast stings my troubled heart. response:	Man... I wasn't expecting her to be so stubborn about it...
context: You have a reputation to uphold as\the successor of Kissuiso.\If you can't even understand that,\you've got a long way to go before you can take charge here.\It's leftover fish soup.\Would you care to join us, Miss Takako?\The scent of a reefy coast stings my troubled heart.\Man... I wasn't expecting her to be so stubborn about it... response:	Come on, she's just telling you to hold a proper ceremony.
context: the successor of Kissuiso.\If you can't even understand that,\you've got a long way to go before you can take charge here.\It's leftover fish soup.\Would you care to join us, Miss Takako?\The scent of a reefy coast stings my troubled heart.\Man... I wasn't expecting her to be so stubborn about it...\Come on, she's just telling you to hold a proper ceremony. response:	That's right! It's not like she's against it.
context: If you can't even understand that,\you've got a long way to go before you can take charge here.\It's leftover fish soup.\Would you care to join us, Miss Takako?\The scent of a reefy coast stings my troubled heart.\Man... I wasn't expecting her to be so stubborn about it...\Come on, she's just telling you to hold a proper ceremony.\That's right! It's not like she's against it. response:	Holding a wedding reception at an ordinary hotel would
context: you've got a long way to go before you can take charge here.\It's leftover fish soup.\Would you care to join us, Miss Takako?\The scent of a reefy coast stings my troubled heart.\Man... I wasn't expecting her to be so stubborn about it...\Come on, she's just telling you to hold a proper ceremony.\That's right! It's not like she's against it.\Holding a wedding reception at an ordinary hotel would response:	cost at least 1,600,000 yen.
context: It's leftover fish soup.\Would you care to join us, Miss Takako?\The scent of a reefy coast stings my troubled heart.\Man... I wasn't expecting her to be so stubborn about it...\Come on, she's just telling you to hold a proper ceremony.\That's right! It's not like she's against it.\Holding a wedding reception at an ordinary hotel would\cost at least 1,600,000 yen. response:	I-I didn't know it would cost that much to get married.
context: Would you care to join us, Miss Takako?\The scent of a reefy coast stings my troubled heart.\Man... I wasn't expecting her to be so stubborn about it...\Come on, she's just telling you to hold a proper ceremony.\That's right! It's not like she's against it.\Holding a wedding reception at an ordinary hotel would\cost at least 1,600,000 yen.\I-I didn't know it would cost that much to get married. response:	Why don't you use...
context: The scent of a reefy coast stings my troubled heart.\Man... I wasn't expecting her to be so stubborn about it...\Come on, she's just telling you to hold a proper ceremony.\That's right! It's not like she's against it.\Holding a wedding reception at an ordinary hotel would\cost at least 1,600,000 yen.\I-I didn't know it would cost that much to get married.\Why don't you use... response:	That's it!
context: Man... I wasn't expecting her to be so stubborn about it...\Come on, she's just telling you to hold a proper ceremony.\That's right! It's not like she's against it.\Holding a wedding reception at an ordinary hotel would\cost at least 1,600,000 yen.\I-I didn't know it would cost that much to get married.\Why don't you use...\That's it! response:	Why don't you use Kissuiso for your grand marriage ceremony?!
context: Come on, she's just telling you to hold a proper ceremony.\That's right! It's not like she's against it.\Holding a wedding reception at an ordinary hotel would\cost at least 1,600,000 yen.\I-I didn't know it would cost that much to get married.\Why don't you use...\That's it!\Why don't you use Kissuiso for your grand marriage ceremony?! response:	What?!
context: That's right! It's not like she's against it.\Holding a wedding reception at an ordinary hotel would\cost at least 1,600,000 yen.\I-I didn't know it would cost that much to get married.\Why don't you use...\That's it!\Why don't you use Kissuiso for your grand marriage ceremony?!\What?! response:	If we help out, most of the costs would be covered!
context: Holding a wedding reception at an ordinary hotel would\cost at least 1,600,000 yen.\I-I didn't know it would cost that much to get married.\Why don't you use...\That's it!\Why don't you use Kissuiso for your grand marriage ceremony?!\What?!\If we help out, most of the costs would be covered! response:	That's a wonderful idea!
context: cost at least 1,600,000 yen.\I-I didn't know it would cost that much to get married.\Why don't you use...\That's it!\Why don't you use Kissuiso for your grand marriage ceremony?!\What?!\If we help out, most of the costs would be covered!\That's a wonderful idea! response:	Takako!
context: I-I didn't know it would cost that much to get married.\Why don't you use...\That's it!\Why don't you use Kissuiso for your grand marriage ceremony?!\What?!\If we help out, most of the costs would be covered!\That's a wonderful idea!\Takako! response:	Huh?
context: Why don't you use...\That's it!\Why don't you use Kissuiso for your grand marriage ceremony?!\What?!\If we help out, most of the costs would be covered!\That's a wonderful idea!\Takako!\Huh? response:	We can't do that.
context: That's it!\Why don't you use Kissuiso for your grand marriage ceremony?!\What?!\If we help out, most of the costs would be covered!\That's a wonderful idea!\Takako!\Huh?\We can't do that. response:	We'd be interfering with the inn's normal operation.
context: Why don't you use Kissuiso for your grand marriage ceremony?!\What?!\If we help out, most of the costs would be covered!\That's a wonderful idea!\Takako!\Huh?\We can't do that.\We'd be interfering with the inn's normal operation. response:	Like you've never done that before.
context: What?!\If we help out, most of the costs would be covered!\That's a wonderful idea!\Takako!\Huh?\We can't do that.\We'd be interfering with the inn's normal operation.\Like you've never done that before. response:	Don't let that concern you.
context: If we help out, most of the costs would be covered!\That's a wonderful idea!\Takako!\Huh?\We can't do that.\We'd be interfering with the inn's normal operation.\Like you've never done that before.\Don't let that concern you. response:	Tohru, you're in charge of the food for the ceremony.
context: That's a wonderful idea!\Takako!\Huh?\We can't do that.\We'd be interfering with the inn's normal operation.\Like you've never done that before.\Don't let that concern you.\Tohru, you're in charge of the food for the ceremony. response:	M-Me?!
context: Takako!\Huh?\We can't do that.\We'd be interfering with the inn's normal operation.\Like you've never done that before.\Don't let that concern you.\Tohru, you're in charge of the food for the ceremony.\M-Me?! response:	That's right...
context: Huh?\We can't do that.\We'd be interfering with the inn's normal operation.\Like you've never done that before.\Don't let that concern you.\Tohru, you're in charge of the food for the ceremony.\M-Me?!\That's right... response:	If I were to take on extra waitress duties that day...
context: We can't do that.\We'd be interfering with the inn's normal operation.\Like you've never done that before.\Don't let that concern you.\Tohru, you're in charge of the food for the ceremony.\M-Me?!\That's right...\If I were to take on extra waitress duties that day... response:	Ohana and Nako can...
context: We'd be interfering with the inn's normal operation.\Like you've never done that before.\Don't let that concern you.\Tohru, you're in charge of the food for the ceremony.\M-Me?!\That's right...\If I were to take on extra waitress duties that day...\Ohana and Nako can... response:	Awesome!
context: Like you've never done that before.\Don't let that concern you.\Tohru, you're in charge of the food for the ceremony.\M-Me?!\That's right...\If I were to take on extra waitress duties that day...\Ohana and Nako can...\Awesome! response:	I'm in charge of the food for the reception?!
context: Don't let that concern you.\Tohru, you're in charge of the food for the ceremony.\M-Me?!\That's right...\If I were to take on extra waitress duties that day...\Ohana and Nako can...\Awesome!\I'm in charge of the food for the reception?! response:	Right, Minko, let's take a look at the market!
context: Tohru, you're in charge of the food for the ceremony.\M-Me?!\That's right...\If I were to take on extra waitress duties that day...\Ohana and Nako can...\Awesome!\I'm in charge of the food for the reception?!\Right, Minko, let's take a look at the market! response:	Okay!
context: M-Me?!\That's right...\If I were to take on extra waitress duties that day...\Ohana and Nako can...\Awesome!\I'm in charge of the food for the reception?!\Right, Minko, let's take a look at the market!\Okay! response:	Wow, it's finally begun!
context: That's right...\If I were to take on extra waitress duties that day...\Ohana and Nako can...\Awesome!\I'm in charge of the food for the reception?!\Right, Minko, let's take a look at the market!\Okay!\Wow, it's finally begun! response:	I love you guys!
context: If I were to take on extra waitress duties that day...\Ohana and Nako can...\Awesome!\I'm in charge of the food for the reception?!\Right, Minko, let's take a look at the market!\Okay!\Wow, it's finally begun!\I love you guys! response:	The days I just circled are supposed to be the luckiest.
context: Ohana and Nako can...\Awesome!\I'm in charge of the food for the reception?!\Right, Minko, let's take a look at the market!\Okay!\Wow, it's finally begun!\I love you guys!\The days I just circled are supposed to be the luckiest. response:	Wow, there's not even a month left.
context: Awesome!\I'm in charge of the food for the reception?!\Right, Minko, let's take a look at the market!\Okay!\Wow, it's finally begun!\I love you guys!\The days I just circled are supposed to be the luckiest.\Wow, there's not even a month left. response:	Yeah, the Bonbori Festival takes place in the fall, after all.
context: I'm in charge of the food for the reception?!\Right, Minko, let's take a look at the market!\Okay!\Wow, it's finally begun!\I love you guys!\The days I just circled are supposed to be the luckiest.\Wow, there's not even a month left.\Yeah, the Bonbori Festival takes place in the fall, after all. response:	As the successor, I can't hold my wedding
context: Right, Minko, let's take a look at the market!\Okay!\Wow, it's finally begun!\I love you guys!\The days I just circled are supposed to be the luckiest.\Wow, there's not even a month left.\Yeah, the Bonbori Festival takes place in the fall, after all.\As the successor, I can't hold my wedding response:	when the inn is at its busiest.
context: Okay!\Wow, it's finally begun!\I love you guys!\The days I just circled are supposed to be the luckiest.\Wow, there's not even a month left.\Yeah, the Bonbori Festival takes place in the fall, after all.\As the successor, I can't hold my wedding\when the inn is at its busiest. response:	Then couldn't you delay the wedding until after that?
context: Wow, it's finally begun!\I love you guys!\The days I just circled are supposed to be the luckiest.\Wow, there's not even a month left.\Yeah, the Bonbori Festival takes place in the fall, after all.\As the successor, I can't hold my wedding\when the inn is at its busiest.\Then couldn't you delay the wedding until after that? response:	No, I can't do that!
context: I love you guys!\The days I just circled are supposed to be the luckiest.\Wow, there's not even a month left.\Yeah, the Bonbori Festival takes place in the fall, after all.\As the successor, I can't hold my wedding\when the inn is at its busiest.\Then couldn't you delay the wedding until after that?\No, I can't do that! response:	What if Takako changes her mind?!
context: The days I just circled are supposed to be the luckiest.\Wow, there's not even a month left.\Yeah, the Bonbori Festival takes place in the fall, after all.\As the successor, I can't hold my wedding\when the inn is at its busiest.\Then couldn't you delay the wedding until after that?\No, I can't do that!\What if Takako changes her mind?! response:	Enishing, about the cost...
context: Wow, there's not even a month left.\Yeah, the Bonbori Festival takes place in the fall, after all.\As the successor, I can't hold my wedding\when the inn is at its busiest.\Then couldn't you delay the wedding until after that?\No, I can't do that!\What if Takako changes her mind?!\Enishing, about the cost... response:	Coming!
context: Yeah, the Bonbori Festival takes place in the fall, after all.\As the successor, I can't hold my wedding\when the inn is at its busiest.\Then couldn't you delay the wedding until after that?\No, I can't do that!\What if Takako changes her mind?!\Enishing, about the cost...\Coming! response:	How about some northern pink shrimp and righteye flounders?
context: As the successor, I can't hold my wedding\when the inn is at its busiest.\Then couldn't you delay the wedding until after that?\No, I can't do that!\What if Takako changes her mind?!\Enishing, about the cost...\Coming!\How about some northern pink shrimp and righteye flounders? response:	It's got to be food for a celebration.
context: when the inn is at its busiest.\Then couldn't you delay the wedding until after that?\No, I can't do that!\What if Takako changes her mind?!\Enishing, about the cost...\Coming!\How about some northern pink shrimp and righteye flounders?\It's got to be food for a celebration. response:	I've got to keep the costs down, but I need to make it
context: Then couldn't you delay the wedding until after that?\No, I can't do that!\What if Takako changes her mind?!\Enishing, about the cost...\Coming!\How about some northern pink shrimp and righteye flounders?\It's got to be food for a celebration.\I've got to keep the costs down, but I need to make it response:	look festive as well as taste good.
context: No, I can't do that!\What if Takako changes her mind?!\Enishing, about the cost...\Coming!\How about some northern pink shrimp and righteye flounders?\It's got to be food for a celebration.\I've got to keep the costs down, but I need to make it\look festive as well as taste good. response:	It's a wedding,
context: What if Takako changes her mind?!\Enishing, about the cost...\Coming!\How about some northern pink shrimp and righteye flounders?\It's got to be food for a celebration.\I've got to keep the costs down, but I need to make it\look festive as well as taste good.\It's a wedding, response:	so no one will blame me if the food is a little too extravagant.
context: Enishing, about the cost...\Coming!\How about some northern pink shrimp and righteye flounders?\It's got to be food for a celebration.\I've got to keep the costs down, but I need to make it\look festive as well as taste good.\It's a wedding,\so no one will blame me if the food is a little too extravagant. response:	Oh, the dish I had at the cultural festival was fun.
context: Coming!\How about some northern pink shrimp and righteye flounders?\It's got to be food for a celebration.\I've got to keep the costs down, but I need to make it\look festive as well as taste good.\It's a wedding,\so no one will blame me if the food is a little too extravagant.\Oh, the dish I had at the cultural festival was fun. response:	That omelet rice with LOVE written on it.
context: How about some northern pink shrimp and righteye flounders?\It's got to be food for a celebration.\I've got to keep the costs down, but I need to make it\look festive as well as taste good.\It's a wedding,\so no one will blame me if the food is a little too extravagant.\Oh, the dish I had at the cultural festival was fun.\That omelet rice with LOVE written on it. response:	Perhaps I could do something similar with the carp...
context: It's got to be food for a celebration.\I've got to keep the costs down, but I need to make it\look festive as well as taste good.\It's a wedding,\so no one will blame me if the food is a little too extravagant.\Oh, the dish I had at the cultural festival was fun.\That omelet rice with LOVE written on it.\Perhaps I could do something similar with the carp... response:	Line them up and write LOVE with miso and vinegar.
context: I've got to keep the costs down, but I need to make it\look festive as well as taste good.\It's a wedding,\so no one will blame me if the food is a little too extravagant.\Oh, the dish I had at the cultural festival was fun.\That omelet rice with LOVE written on it.\Perhaps I could do something similar with the carp...\Line them up and write LOVE with miso and vinegar. response:	I-I don't know about that...
context: look festive as well as taste good.\It's a wedding,\so no one will blame me if the food is a little too extravagant.\Oh, the dish I had at the cultural festival was fun.\That omelet rice with LOVE written on it.\Perhaps I could do something similar with the carp...\Line them up and write LOVE with miso and vinegar.\I-I don't know about that... response:	Mr. Nori, can I take a look at that?
context: It's a wedding,\so no one will blame me if the food is a little too extravagant.\Oh, the dish I had at the cultural festival was fun.\That omelet rice with LOVE written on it.\Perhaps I could do something similar with the carp...\Line them up and write LOVE with miso and vinegar.\I-I don't know about that...\Mr. Nori, can I take a look at that? response:	Sure!
context: so no one will blame me if the food is a little too extravagant.\Oh, the dish I had at the cultural festival was fun.\That omelet rice with LOVE written on it.\Perhaps I could do something similar with the carp...\Line them up and write LOVE with miso and vinegar.\I-I don't know about that...\Mr. Nori, can I take a look at that?\Sure! response:	Getting married is wonderful, isn't it?
context: Oh, the dish I had at the cultural festival was fun.\That omelet rice with LOVE written on it.\Perhaps I could do something similar with the carp...\Line them up and write LOVE with miso and vinegar.\I-I don't know about that...\Mr. Nori, can I take a look at that?\Sure!\Getting married is wonderful, isn't it? response:	I'm at an age where I'm supposed to start thinking about that kind of stuff.
context: That omelet rice with LOVE written on it.\Perhaps I could do something similar with the carp...\Line them up and write LOVE with miso and vinegar.\I-I don't know about that...\Mr. Nori, can I take a look at that?\Sure!\Getting married is wonderful, isn't it?\I'm at an age where I'm supposed to start thinking about that kind of stuff. response:	A-Already?!
context: Perhaps I could do something similar with the carp...\Line them up and write LOVE with miso and vinegar.\I-I don't know about that...\Mr. Nori, can I take a look at that?\Sure!\Getting married is wonderful, isn't it?\I'm at an age where I'm supposed to start thinking about that kind of stuff.\A-Already?! response:	Yeah. I like kids.
context: Line them up and write LOVE with miso and vinegar.\I-I don't know about that...\Mr. Nori, can I take a look at that?\Sure!\Getting married is wonderful, isn't it?\I'm at an age where I'm supposed to start thinking about that kind of stuff.\A-Already?!\Yeah. I like kids. response:	I'd like at least five or so.
context: I-I don't know about that...\Mr. Nori, can I take a look at that?\Sure!\Getting married is wonderful, isn't it?\I'm at an age where I'm supposed to start thinking about that kind of stuff.\A-Already?!\Yeah. I like kids.\I'd like at least five or so. response:	F-Five?!
context: Mr. Nori, can I take a look at that?\Sure!\Getting married is wonderful, isn't it?\I'm at an age where I'm supposed to start thinking about that kind of stuff.\A-Already?!\Yeah. I like kids.\I'd like at least five or so.\F-Five?! response:	I prefer families to be noisy.
context: Sure!\Getting married is wonderful, isn't it?\I'm at an age where I'm supposed to start thinking about that kind of stuff.\A-Already?!\Yeah. I like kids.\I'd like at least five or so.\F-Five?!\I prefer families to be noisy. response:	Something wrong?
context: Getting married is wonderful, isn't it?\I'm at an age where I'm supposed to start thinking about that kind of stuff.\A-Already?!\Yeah. I like kids.\I'd like at least five or so.\F-Five?!\I prefer families to be noisy.\Something wrong? response:	N-Nothing.
context: I'm at an age where I'm supposed to start thinking about that kind of stuff.\A-Already?!\Yeah. I like kids.\I'd like at least five or so.\F-Five?!\I prefer families to be noisy.\Something wrong?\N-Nothing. response:	Want to stop by?
context: A-Already?!\Yeah. I like kids.\I'd like at least five or so.\F-Five?!\I prefer families to be noisy.\Something wrong?\N-Nothing.\Want to stop by? response:	W-Wait, but...
context: Yeah. I like kids.\I'd like at least five or so.\F-Five?!\I prefer families to be noisy.\Something wrong?\N-Nothing.\Want to stop by?\W-Wait, but... response:	Tohru!
context: I'd like at least five or so.\F-Five?!\I prefer families to be noisy.\Something wrong?\N-Nothing.\Want to stop by?\W-Wait, but...\Tohru! response:	Come on, now! Take a deep breath!
context: F-Five?!\I prefer families to be noisy.\Something wrong?\N-Nothing.\Want to stop by?\W-Wait, but...\Tohru!\Come on, now! Take a deep breath! response:	You'll feel refreshed!
context: I prefer families to be noisy.\Something wrong?\N-Nothing.\Want to stop by?\W-Wait, but...\Tohru!\Come on, now! Take a deep breath!\You'll feel refreshed! response:	You've been acting a little odd recently, that's all.
context: Something wrong?\N-Nothing.\Want to stop by?\W-Wait, but...\Tohru!\Come on, now! Take a deep breath!\You'll feel refreshed!\You've been acting a little odd recently, that's all. response:	Listen, both Mr. Ren and I have been in
context: N-Nothing.\Want to stop by?\W-Wait, but...\Tohru!\Come on, now! Take a deep breath!\You'll feel refreshed!\You've been acting a little odd recently, that's all.\Listen, both Mr. Ren and I have been in response:	the same position as you, a commis-chef.
context: Want to stop by?\W-Wait, but...\Tohru!\Come on, now! Take a deep breath!\You'll feel refreshed!\You've been acting a little odd recently, that's all.\Listen, both Mr. Ren and I have been in\the same position as you, a commis-chef. response:	Huh?
context: W-Wait, but...\Tohru!\Come on, now! Take a deep breath!\You'll feel refreshed!\You've been acting a little odd recently, that's all.\Listen, both Mr. Ren and I have been in\the same position as you, a commis-chef.\Huh? response:	You may come to a standstill or get irritated
context: Tohru!\Come on, now! Take a deep breath!\You'll feel refreshed!\You've been acting a little odd recently, that's all.\Listen, both Mr. Ren and I have been in\the same position as you, a commis-chef.\Huh?\You may come to a standstill or get irritated response:	because things don't work out the way you want them to,
context: Come on, now! Take a deep breath!\You'll feel refreshed!\You've been acting a little odd recently, that's all.\Listen, both Mr. Ren and I have been in\the same position as you, a commis-chef.\Huh?\You may come to a standstill or get irritated\because things don't work out the way you want them to, response:	but what you gain from hard work will never betray you.
