context: Trapnest means a nest box with a trap. response:	Once you enter, you cannot get out on your own.
context: NANA BECAUSE HACHIKO'S NOT FEELING WELL, I WON'T BE DROPPING BY FOR A WHILE. BUT YOU BEGIN RECORDING TOMORROW, SO YOU WON'T BE ABLE TO LEAVE THE STUDIO ANYWAY, RIGHT? WELL, DO YOUR BEST.\Mr. Honjo.\Mr. Honjo.\Excuse me.\We've arrived at your place.\How do you open the garage door?\Oh, well, you insert the key there...\Key? response:	The card key. First you insert it... Oh, such a drag.
context: Mr. Honjo.\Mr. Honjo.\Excuse me.\We've arrived at your place.\How do you open the garage door?\Oh, well, you insert the key there...\Key?\The card key. First you insert it... Oh, such a drag. response:	Say, Kinoshita. How do you plan to get home at this hour?
context: Mr. Honjo.\Excuse me.\We've arrived at your place.\How do you open the garage door?\Oh, well, you insert the key there...\Key?\The card key. First you insert it... Oh, such a drag.\Say, Kinoshita. How do you plan to get home at this hour? response:	I'll take a taxi.
context: Excuse me.\We've arrived at your place.\How do you open the garage door?\Oh, well, you insert the key there...\Key?\The card key. First you insert it... Oh, such a drag.\Say, Kinoshita. How do you plan to get home at this hour?\I'll take a taxi. response:	Why not use this to go home?
context: We've arrived at your place.\How do you open the garage door?\Oh, well, you insert the key there...\Key?\The card key. First you insert it... Oh, such a drag.\Say, Kinoshita. How do you plan to get home at this hour?\I'll take a taxi.\Why not use this to go home? response:	What?! Are you sure?!
context: How do you open the garage door?\Oh, well, you insert the key there...\Key?\The card key. First you insert it... Oh, such a drag.\Say, Kinoshita. How do you plan to get home at this hour?\I'll take a taxi.\Why not use this to go home?\What?! Are you sure?! response:	You know, I would be happy
context: Oh, well, you insert the key there...\Key?\The card key. First you insert it... Oh, such a drag.\Say, Kinoshita. How do you plan to get home at this hour?\I'll take a taxi.\Why not use this to go home?\What?! Are you sure?!\You know, I would be happy response:	if you could come pick me up in that tomorrow.
context: Key?\The card key. First you insert it... Oh, such a drag.\Say, Kinoshita. How do you plan to get home at this hour?\I'll take a taxi.\Why not use this to go home?\What?! Are you sure?!\You know, I would be happy\if you could come pick me up in that tomorrow. response:	Not a problem at all!
context: The card key. First you insert it... Oh, such a drag.\Say, Kinoshita. How do you plan to get home at this hour?\I'll take a taxi.\Why not use this to go home?\What?! Are you sure?!\You know, I would be happy\if you could come pick me up in that tomorrow.\Not a problem at all! response:	If you'd like, I could use the company car
context: Say, Kinoshita. How do you plan to get home at this hour?\I'll take a taxi.\Why not use this to go home?\What?! Are you sure?!\You know, I would be happy\if you could come pick me up in that tomorrow.\Not a problem at all!\If you'd like, I could use the company car response:	to pick you up and drop you off every day!
context: I'll take a taxi.\Why not use this to go home?\What?! Are you sure?!\You know, I would be happy\if you could come pick me up in that tomorrow.\Not a problem at all!\If you'd like, I could use the company car\to pick you up and drop you off every day! response:	With the tough schedule you keep, it would be dangerous driving every day.
context: Why not use this to go home?\What?! Are you sure?!\You know, I would be happy\if you could come pick me up in that tomorrow.\Not a problem at all!\If you'd like, I could use the company car\to pick you up and drop you off every day!\With the tough schedule you keep, it would be dangerous driving every day. response:	Imagine if you got in an accident and this car is totaled.
context: What?! Are you sure?!\You know, I would be happy\if you could come pick me up in that tomorrow.\Not a problem at all!\If you'd like, I could use the company car\to pick you up and drop you off every day!\With the tough schedule you keep, it would be dangerous driving every day.\Imagine if you got in an accident and this car is totaled. response:	You're more worried about the car than about me.
context: You know, I would be happy\if you could come pick me up in that tomorrow.\Not a problem at all!\If you'd like, I could use the company car\to pick you up and drop you off every day!\With the tough schedule you keep, it would be dangerous driving every day.\Imagine if you got in an accident and this car is totaled.\You're more worried about the car than about me. response:	But you're driving a super rare 1965 Mustang Shelby!
context: if you could come pick me up in that tomorrow.\Not a problem at all!\If you'd like, I could use the company car\to pick you up and drop you off every day!\With the tough schedule you keep, it would be dangerous driving every day.\Imagine if you got in an accident and this car is totaled.\You're more worried about the car than about me.\But you're driving a super rare 1965 Mustang Shelby! response:	I didn't care what car I drive so long as it moves,
context: Not a problem at all!\If you'd like, I could use the company car\to pick you up and drop you off every day!\With the tough schedule you keep, it would be dangerous driving every day.\Imagine if you got in an accident and this car is totaled.\You're more worried about the car than about me.\But you're driving a super rare 1965 Mustang Shelby!\I didn't care what car I drive so long as it moves, response:	but Takumi went through the trouble of finding it for me.
context: If you'd like, I could use the company car\to pick you up and drop you off every day!\With the tough schedule you keep, it would be dangerous driving every day.\Imagine if you got in an accident and this car is totaled.\You're more worried about the car than about me.\But you're driving a super rare 1965 Mustang Shelby!\I didn't care what car I drive so long as it moves,\but Takumi went through the trouble of finding it for me. response:	Something about our image.
context: to pick you up and drop you off every day!\With the tough schedule you keep, it would be dangerous driving every day.\Imagine if you got in an accident and this car is totaled.\You're more worried about the car than about me.\But you're driving a super rare 1965 Mustang Shelby!\I didn't care what car I drive so long as it moves,\but Takumi went through the trouble of finding it for me.\Something about our image. response:	You know, Mr. Honjo, you've got all this money and ability,
context: With the tough schedule you keep, it would be dangerous driving every day.\Imagine if you got in an accident and this car is totaled.\You're more worried about the car than about me.\But you're driving a super rare 1965 Mustang Shelby!\I didn't care what car I drive so long as it moves,\but Takumi went through the trouble of finding it for me.\Something about our image.\You know, Mr. Honjo, you've got all this money and ability, response:	but you don't desire for much, do you?
context: Imagine if you got in an accident and this car is totaled.\You're more worried about the car than about me.\But you're driving a super rare 1965 Mustang Shelby!\I didn't care what car I drive so long as it moves,\but Takumi went through the trouble of finding it for me.\Something about our image.\You know, Mr. Honjo, you've got all this money and ability,\but you don't desire for much, do you? response:	Even your songs.
context: You're more worried about the car than about me.\But you're driving a super rare 1965 Mustang Shelby!\I didn't care what car I drive so long as it moves,\but Takumi went through the trouble of finding it for me.\Something about our image.\You know, Mr. Honjo, you've got all this money and ability,\but you don't desire for much, do you?\Even your songs. response:	You write them according to Takumi's instructions.
context: But you're driving a super rare 1965 Mustang Shelby!\I didn't care what car I drive so long as it moves,\but Takumi went through the trouble of finding it for me.\Something about our image.\You know, Mr. Honjo, you've got all this money and ability,\but you don't desire for much, do you?\Even your songs.\You write them according to Takumi's instructions. response:	I believe your true talents shine through when you play punk.
context: I didn't care what car I drive so long as it moves,\but Takumi went through the trouble of finding it for me.\Something about our image.\You know, Mr. Honjo, you've got all this money and ability,\but you don't desire for much, do you?\Even your songs.\You write them according to Takumi's instructions.\I believe your true talents shine through when you play punk. response:	As long as I get to play guitar, anything will do.
context: but Takumi went through the trouble of finding it for me.\Something about our image.\You know, Mr. Honjo, you've got all this money and ability,\but you don't desire for much, do you?\Even your songs.\You write them according to Takumi's instructions.\I believe your true talents shine through when you play punk.\As long as I get to play guitar, anything will do. response:	Well, I for one wanna hear Ren Honjo's soul shout!
context: Something about our image.\You know, Mr. Honjo, you've got all this money and ability,\but you don't desire for much, do you?\Even your songs.\You write them according to Takumi's instructions.\I believe your true talents shine through when you play punk.\As long as I get to play guitar, anything will do.\Well, I for one wanna hear Ren Honjo's soul shout! response:	You wanna hear my soul shout?
context: You know, Mr. Honjo, you've got all this money and ability,\but you don't desire for much, do you?\Even your songs.\You write them according to Takumi's instructions.\I believe your true talents shine through when you play punk.\As long as I get to play guitar, anything will do.\Well, I for one wanna hear Ren Honjo's soul shout!\You wanna hear my soul shout? response:	Ah, well... But doing as Takumi says
context: but you don't desire for much, do you?\Even your songs.\You write them according to Takumi's instructions.\I believe your true talents shine through when you play punk.\As long as I get to play guitar, anything will do.\Well, I for one wanna hear Ren Honjo's soul shout!\You wanna hear my soul shout?\Ah, well... But doing as Takumi says response:	is not something limited to you and the other band members.
context: Even your songs.\You write them according to Takumi's instructions.\I believe your true talents shine through when you play punk.\As long as I get to play guitar, anything will do.\Well, I for one wanna hear Ren Honjo's soul shout!\You wanna hear my soul shout?\Ah, well... But doing as Takumi says\is not something limited to you and the other band members. response:	Don't tell anyone I told you, but everyone's saying,
context: You write them according to Takumi's instructions.\I believe your true talents shine through when you play punk.\As long as I get to play guitar, anything will do.\Well, I for one wanna hear Ren Honjo's soul shout!\You wanna hear my soul shout?\Ah, well... But doing as Takumi says\is not something limited to you and the other band members.\Don't tell anyone I told you, but everyone's saying, response:	we're all soldiers serving under Takumi.
context: I believe your true talents shine through when you play punk.\As long as I get to play guitar, anything will do.\Well, I for one wanna hear Ren Honjo's soul shout!\You wanna hear my soul shout?\Ah, well... But doing as Takumi says\is not something limited to you and the other band members.\Don't tell anyone I told you, but everyone's saying,\we're all soldiers serving under Takumi. response:	Who's everyone?
context: As long as I get to play guitar, anything will do.\Well, I for one wanna hear Ren Honjo's soul shout!\You wanna hear my soul shout?\Ah, well... But doing as Takumi says\is not something limited to you and the other band members.\Don't tell anyone I told you, but everyone's saying,\we're all soldiers serving under Takumi.\Who's everyone? response:	Um... But Takumi does have the talents and decision-making skills
context: Well, I for one wanna hear Ren Honjo's soul shout!\You wanna hear my soul shout?\Ah, well... But doing as Takumi says\is not something limited to you and the other band members.\Don't tell anyone I told you, but everyone's saying,\we're all soldiers serving under Takumi.\Who's everyone?\Um... But Takumi does have the talents and decision-making skills response:	to back his actions.
context: You wanna hear my soul shout?\Ah, well... But doing as Takumi says\is not something limited to you and the other band members.\Don't tell anyone I told you, but everyone's saying,\we're all soldiers serving under Takumi.\Who's everyone?\Um... But Takumi does have the talents and decision-making skills\to back his actions. response:	He's able to come through on what he says.
context: Ah, well... But doing as Takumi says\is not something limited to you and the other band members.\Don't tell anyone I told you, but everyone's saying,\we're all soldiers serving under Takumi.\Who's everyone?\Um... But Takumi does have the talents and decision-making skills\to back his actions.\He's able to come through on what he says. response:	I respect him for that.
context: is not something limited to you and the other band members.\Don't tell anyone I told you, but everyone's saying,\we're all soldiers serving under Takumi.\Who's everyone?\Um... But Takumi does have the talents and decision-making skills\to back his actions.\He's able to come through on what he says.\I respect him for that. response:	Then tell this to everyone.
context: Don't tell anyone I told you, but everyone's saying,\we're all soldiers serving under Takumi.\Who's everyone?\Um... But Takumi does have the talents and decision-making skills\to back his actions.\He's able to come through on what he says.\I respect him for that.\Then tell this to everyone. response:	If anyone's not satisfied with how Takumi does things,
context: we're all soldiers serving under Takumi.\Who's everyone?\Um... But Takumi does have the talents and decision-making skills\to back his actions.\He's able to come through on what he says.\I respect him for that.\Then tell this to everyone.\If anyone's not satisfied with how Takumi does things, response:	they're free to quit.
context: Who's everyone?\Um... But Takumi does have the talents and decision-making skills\to back his actions.\He's able to come through on what he says.\I respect him for that.\Then tell this to everyone.\If anyone's not satisfied with how Takumi does things,\they're free to quit. response:	We don't need any soldiers who are unwilling to fight with us.
context: Um... But Takumi does have the talents and decision-making skills\to back his actions.\He's able to come through on what he says.\I respect him for that.\Then tell this to everyone.\If anyone's not satisfied with how Takumi does things,\they're free to quit.\We don't need any soldiers who are unwilling to fight with us. response:	THE PAPARAZZI ARE SO ANNOYING. I'LL BE HIDING IN THE USUAL ROOM AT THE USUAL HOTEL. COME IF YOU FEEL UP TO IT.
context: to back his actions.\He's able to come through on what he says.\I respect him for that.\Then tell this to everyone.\If anyone's not satisfied with how Takumi does things,\they're free to quit.\We don't need any soldiers who are unwilling to fight with us.\THE PAPARAZZI ARE SO ANNOYING. I'LL BE HIDING IN THE USUAL ROOM AT THE USUAL HOTEL. COME IF YOU FEEL UP TO IT. response:	I can't come up with the lyrics.
context: He's able to come through on what he says.\I respect him for that.\Then tell this to everyone.\If anyone's not satisfied with how Takumi does things,\they're free to quit.\We don't need any soldiers who are unwilling to fight with us.\THE PAPARAZZI ARE SO ANNOYING. I'LL BE HIDING IN THE USUAL ROOM AT THE USUAL HOTEL. COME IF YOU FEEL UP TO IT.\I can't come up with the lyrics. response:	The theme is a love ballad that'll make people cry.
context: I respect him for that.\Then tell this to everyone.\If anyone's not satisfied with how Takumi does things,\they're free to quit.\We don't need any soldiers who are unwilling to fight with us.\THE PAPARAZZI ARE SO ANNOYING. I'LL BE HIDING IN THE USUAL ROOM AT THE USUAL HOTEL. COME IF YOU FEEL UP TO IT.\I can't come up with the lyrics.\The theme is a love ballad that'll make people cry. response:	Don't come to me about it.
context: Then tell this to everyone.\If anyone's not satisfied with how Takumi does things,\they're free to quit.\We don't need any soldiers who are unwilling to fight with us.\THE PAPARAZZI ARE SO ANNOYING. I'LL BE HIDING IN THE USUAL ROOM AT THE USUAL HOTEL. COME IF YOU FEEL UP TO IT.\I can't come up with the lyrics.\The theme is a love ballad that'll make people cry.\Don't come to me about it. response:	Why do they always hafta be love songs,
context: If anyone's not satisfied with how Takumi does things,\they're free to quit.\We don't need any soldiers who are unwilling to fight with us.\THE PAPARAZZI ARE SO ANNOYING. I'LL BE HIDING IN THE USUAL ROOM AT THE USUAL HOTEL. COME IF YOU FEEL UP TO IT.\I can't come up with the lyrics.\The theme is a love ballad that'll make people cry.\Don't come to me about it.\Why do they always hafta be love songs, response:	just because they're more popular?
context: they're free to quit.\We don't need any soldiers who are unwilling to fight with us.\THE PAPARAZZI ARE SO ANNOYING. I'LL BE HIDING IN THE USUAL ROOM AT THE USUAL HOTEL. COME IF YOU FEEL UP TO IT.\I can't come up with the lyrics.\The theme is a love ballad that'll make people cry.\Don't come to me about it.\Why do they always hafta be love songs,\just because they're more popular? response:	Why do Japanese people like love stories so much?
context: We don't need any soldiers who are unwilling to fight with us.\THE PAPARAZZI ARE SO ANNOYING. I'LL BE HIDING IN THE USUAL ROOM AT THE USUAL HOTEL. COME IF YOU FEEL UP TO IT.\I can't come up with the lyrics.\The theme is a love ballad that'll make people cry.\Don't come to me about it.\Why do they always hafta be love songs,\just because they're more popular?\Why do Japanese people like love stories so much? response:	Can't I write a song about world peace?
context: THE PAPARAZZI ARE SO ANNOYING. I'LL BE HIDING IN THE USUAL ROOM AT THE USUAL HOTEL. COME IF YOU FEEL UP TO IT.\I can't come up with the lyrics.\The theme is a love ballad that'll make people cry.\Don't come to me about it.\Why do they always hafta be love songs,\just because they're more popular?\Why do Japanese people like love stories so much?\Can't I write a song about world peace? response:	Well, not that I could write a song about that.
context: I can't come up with the lyrics.\The theme is a love ballad that'll make people cry.\Don't come to me about it.\Why do they always hafta be love songs,\just because they're more popular?\Why do Japanese people like love stories so much?\Can't I write a song about world peace?\Well, not that I could write a song about that. response:	What'll I do? We begin recording tomorrow.
context: The theme is a love ballad that'll make people cry.\Don't come to me about it.\Why do they always hafta be love songs,\just because they're more popular?\Why do Japanese people like love stories so much?\Can't I write a song about world peace?\Well, not that I could write a song about that.\What'll I do? We begin recording tomorrow. response:	Technically, you begin today.
context: Don't come to me about it.\Why do they always hafta be love songs,\just because they're more popular?\Why do Japanese people like love stories so much?\Can't I write a song about world peace?\Well, not that I could write a song about that.\What'll I do? We begin recording tomorrow.\Technically, you begin today. response:	Shin, why are you being so cold today?
context: Why do they always hafta be love songs,\just because they're more popular?\Why do Japanese people like love stories so much?\Can't I write a song about world peace?\Well, not that I could write a song about that.\What'll I do? We begin recording tomorrow.\Technically, you begin today.\Shin, why are you being so cold today? response:	Am I? Maybe it's because I'm tired of being a good boy.
context: just because they're more popular?\Why do Japanese people like love stories so much?\Can't I write a song about world peace?\Well, not that I could write a song about that.\What'll I do? We begin recording tomorrow.\Technically, you begin today.\Shin, why are you being so cold today?\Am I? Maybe it's because I'm tired of being a good boy. response:	A good boy?
context: Why do Japanese people like love stories so much?\Can't I write a song about world peace?\Well, not that I could write a song about that.\What'll I do? We begin recording tomorrow.\Technically, you begin today.\Shin, why are you being so cold today?\Am I? Maybe it's because I'm tired of being a good boy.\A good boy? response:	When are you good?
context: Can't I write a song about world peace?\Well, not that I could write a song about that.\What'll I do? We begin recording tomorrow.\Technically, you begin today.\Shin, why are you being so cold today?\Am I? Maybe it's because I'm tired of being a good boy.\A good boy?\When are you good? response:	For this past month, I haven't skipped a day of practice.
context: Well, not that I could write a song about that.\What'll I do? We begin recording tomorrow.\Technically, you begin today.\Shin, why are you being so cold today?\Am I? Maybe it's because I'm tired of being a good boy.\A good boy?\When are you good?\For this past month, I haven't skipped a day of practice. response:	I've been respecting the studio's no smoking policy,
context: What'll I do? We begin recording tomorrow.\Technically, you begin today.\Shin, why are you being so cold today?\Am I? Maybe it's because I'm tired of being a good boy.\A good boy?\When are you good?\For this past month, I haven't skipped a day of practice.\I've been respecting the studio's no smoking policy, response:	and I'm playing music like the director wants me to.
context: Technically, you begin today.\Shin, why are you being so cold today?\Am I? Maybe it's because I'm tired of being a good boy.\A good boy?\When are you good?\For this past month, I haven't skipped a day of practice.\I've been respecting the studio's no smoking policy,\and I'm playing music like the director wants me to. response:	But this is getting real boring.
context: Shin, why are you being so cold today?\Am I? Maybe it's because I'm tired of being a good boy.\A good boy?\When are you good?\For this past month, I haven't skipped a day of practice.\I've been respecting the studio's no smoking policy,\and I'm playing music like the director wants me to.\But this is getting real boring. response:	What? You're not allowed to smoke in Gaia's rehearsal studios?
context: Am I? Maybe it's because I'm tired of being a good boy.\A good boy?\When are you good?\For this past month, I haven't skipped a day of practice.\I've been respecting the studio's no smoking policy,\and I'm playing music like the director wants me to.\But this is getting real boring.\What? You're not allowed to smoke in Gaia's rehearsal studios? response:	Usually, we're allowed to smoke even in the recording studios.
context: A good boy?\When are you good?\For this past month, I haven't skipped a day of practice.\I've been respecting the studio's no smoking policy,\and I'm playing music like the director wants me to.\But this is getting real boring.\What? You're not allowed to smoke in Gaia's rehearsal studios?\Usually, we're allowed to smoke even in the recording studios. response:	What musician would use such a place?
context: When are you good?\For this past month, I haven't skipped a day of practice.\I've been respecting the studio's no smoking policy,\and I'm playing music like the director wants me to.\But this is getting real boring.\What? You're not allowed to smoke in Gaia's rehearsal studios?\Usually, we're allowed to smoke even in the recording studios.\What musician would use such a place? response:	It's a teaching studio.
context: For this past month, I haven't skipped a day of practice.\I've been respecting the studio's no smoking policy,\and I'm playing music like the director wants me to.\But this is getting real boring.\What? You're not allowed to smoke in Gaia's rehearsal studios?\Usually, we're allowed to smoke even in the recording studios.\What musician would use such a place?\It's a teaching studio. response:	There's a professional training school next door,
context: I've been respecting the studio's no smoking policy,\and I'm playing music like the director wants me to.\But this is getting real boring.\What? You're not allowed to smoke in Gaia's rehearsal studios?\Usually, we're allowed to smoke even in the recording studios.\What musician would use such a place?\It's a teaching studio.\There's a professional training school next door, response:	and students from there use the studio.
context: and I'm playing music like the director wants me to.\But this is getting real boring.\What? You're not allowed to smoke in Gaia's rehearsal studios?\Usually, we're allowed to smoke even in the recording studios.\What musician would use such a place?\It's a teaching studio.\There's a professional training school next door,\and students from there use the studio. response:	Wow. There's a school there. Gaia's pretty impressive.
context: But this is getting real boring.\What? You're not allowed to smoke in Gaia's rehearsal studios?\Usually, we're allowed to smoke even in the recording studios.\What musician would use such a place?\It's a teaching studio.\There's a professional training school next door,\and students from there use the studio.\Wow. There's a school there. Gaia's pretty impressive. response:	Are the top students able to debut as pros?
context: What? You're not allowed to smoke in Gaia's rehearsal studios?\Usually, we're allowed to smoke even in the recording studios.\What musician would use such a place?\It's a teaching studio.\There's a professional training school next door,\and students from there use the studio.\Wow. There's a school there. Gaia's pretty impressive.\Are the top students able to debut as pros? response:	I wonder. Doesn't interest me.
context: Usually, we're allowed to smoke even in the recording studios.\What musician would use such a place?\It's a teaching studio.\There's a professional training school next door,\and students from there use the studio.\Wow. There's a school there. Gaia's pretty impressive.\Are the top students able to debut as pros?\I wonder. Doesn't interest me. response:	To be honest, I don't care about the debut.
context: What musician would use such a place?\It's a teaching studio.\There's a professional training school next door,\and students from there use the studio.\Wow. There's a school there. Gaia's pretty impressive.\Are the top students able to debut as pros?\I wonder. Doesn't interest me.\To be honest, I don't care about the debut. response:	If I could have fun playing in a band, that's good enough for me.
context: It's a teaching studio.\There's a professional training school next door,\and students from there use the studio.\Wow. There's a school there. Gaia's pretty impressive.\Are the top students able to debut as pros?\I wonder. Doesn't interest me.\To be honest, I don't care about the debut.\If I could have fun playing in a band, that's good enough for me. response:	You're right! Music is something that should be enjoyed!
context: There's a professional training school next door,\and students from there use the studio.\Wow. There's a school there. Gaia's pretty impressive.\Are the top students able to debut as pros?\I wonder. Doesn't interest me.\To be honest, I don't care about the debut.\If I could have fun playing in a band, that's good enough for me.\You're right! Music is something that should be enjoyed! response:	Let's go out and dance all night like crazy to release some of that tension! Okay?!
context: and students from there use the studio.\Wow. There's a school there. Gaia's pretty impressive.\Are the top students able to debut as pros?\I wonder. Doesn't interest me.\To be honest, I don't care about the debut.\If I could have fun playing in a band, that's good enough for me.\You're right! Music is something that should be enjoyed!\Let's go out and dance all night like crazy to release some of that tension! Okay?! response:	What are you saying? This is your job, Reira.
context: Wow. There's a school there. Gaia's pretty impressive.\Are the top students able to debut as pros?\I wonder. Doesn't interest me.\To be honest, I don't care about the debut.\If I could have fun playing in a band, that's good enough for me.\You're right! Music is something that should be enjoyed!\Let's go out and dance all night like crazy to release some of that tension! Okay?!\What are you saying? This is your job, Reira. response:	You're getting paid for this, so you've gotta take it seriously.
context: Are the top students able to debut as pros?\I wonder. Doesn't interest me.\To be honest, I don't care about the debut.\If I could have fun playing in a band, that's good enough for me.\You're right! Music is something that should be enjoyed!\Let's go out and dance all night like crazy to release some of that tension! Okay?!\What are you saying? This is your job, Reira.\You're getting paid for this, so you've gotta take it seriously. response:	Come on, concentrate.
context: I wonder. Doesn't interest me.\To be honest, I don't care about the debut.\If I could have fun playing in a band, that's good enough for me.\You're right! Music is something that should be enjoyed!\Let's go out and dance all night like crazy to release some of that tension! Okay?!\What are you saying? This is your job, Reira.\You're getting paid for this, so you've gotta take it seriously.\Come on, concentrate. response:	You can release all your frustrations
