context: He's sort of transferring, though he was sort of on academic break... response:	Anyway, this is Sakishima Hikari-kun,
context: By the way, does that make you Shiodome's uncle, Senpai?\Meaning Miuna's your niece?\Yeah, but just don't call me uncle.\Hikari was how he always was.\Hikari was acting just as usual self.\So I thought I would act like I was my usual self, too.\Sensei's voice is all hoarse now.\Totally hoarse. response:	It wasn't like that before?
context: Meaning Miuna's your niece?\Yeah, but just don't call me uncle.\Hikari was how he always was.\Hikari was acting just as usual self.\So I thought I would act like I was my usual self, too.\Sensei's voice is all hoarse now.\Totally hoarse.\It wasn't like that before? response:	I thought he may have spoken a little faster.
context: Yeah, but just don't call me uncle.\Hikari was how he always was.\Hikari was acting just as usual self.\So I thought I would act like I was my usual self, too.\Sensei's voice is all hoarse now.\Totally hoarse.\It wasn't like that before?\I thought he may have spoken a little faster. response:	So, what are you at now?
context: Hikari was how he always was.\Hikari was acting just as usual self.\So I thought I would act like I was my usual self, too.\Sensei's voice is all hoarse now.\Totally hoarse.\It wasn't like that before?\I thought he may have spoken a little faster.\So, what are you at now? response:	Huh? I'm fourt
context: Hikari was acting just as usual self.\So I thought I would act like I was my usual self, too.\Sensei's voice is all hoarse now.\Totally hoarse.\It wasn't like that before?\I thought he may have spoken a little faster.\So, what are you at now?\Huh? I'm fourt response:	Not your age. Your height.
context: So I thought I would act like I was my usual self, too.\Sensei's voice is all hoarse now.\Totally hoarse.\It wasn't like that before?\I thought he may have spoken a little faster.\So, what are you at now?\Huh? I'm fourt\Not your age. Your height. response:	158 cm.
context: Sensei's voice is all hoarse now.\Totally hoarse.\It wasn't like that before?\I thought he may have spoken a little faster.\So, what are you at now?\Huh? I'm fourt\Not your age. Your height.\158 cm. response:	Crap! You're going to be taller than me!
context: Totally hoarse.\It wasn't like that before?\I thought he may have spoken a little faster.\So, what are you at now?\Huh? I'm fourt\Not your age. Your height.\158 cm.\Crap! You're going to be taller than me! response:	What?
context: It wasn't like that before?\I thought he may have spoken a little faster.\So, what are you at now?\Huh? I'm fourt\Not your age. Your height.\158 cm.\Crap! You're going to be taller than me!\What? response:	That's not going to happen. It won't.
context: I thought he may have spoken a little faster.\So, what are you at now?\Huh? I'm fourt\Not your age. Your height.\158 cm.\Crap! You're going to be taller than me!\What?\That's not going to happen. It won't. response:	But I haven't grown in five years.
context: So, what are you at now?\Huh? I'm fourt\Not your age. Your height.\158 cm.\Crap! You're going to be taller than me!\What?\That's not going to happen. It won't.\But I haven't grown in five years. response:	What if I don't grow at all after this?
context: Huh? I'm fourt\Not your age. Your height.\158 cm.\Crap! You're going to be taller than me!\What?\That's not going to happen. It won't.\But I haven't grown in five years.\What if I don't grow at all after this? response:	Then you can have my milk, too.
context: Not your age. Your height.\158 cm.\Crap! You're going to be taller than me!\What?\That's not going to happen. It won't.\But I haven't grown in five years.\What if I don't grow at all after this?\Then you can have my milk, too. response:	Watch out.
context: 158 cm.\Crap! You're going to be taller than me!\What?\That's not going to happen. It won't.\But I haven't grown in five years.\What if I don't grow at all after this?\Then you can have my milk, too.\Watch out. response:	Talk about bad driving!
context: Crap! You're going to be taller than me!\What?\That's not going to happen. It won't.\But I haven't grown in five years.\What if I don't grow at all after this?\Then you can have my milk, too.\Watch out.\Talk about bad driving! response:	One sec.
context: What?\That's not going to happen. It won't.\But I haven't grown in five years.\What if I don't grow at all after this?\Then you can have my milk, too.\Watch out.\Talk about bad driving!\One sec. response:	Minegishi!
context: That's not going to happen. It won't.\But I haven't grown in five years.\What if I don't grow at all after this?\Then you can have my milk, too.\Watch out.\Talk about bad driving!\One sec.\Minegishi! response:	What?
context: But I haven't grown in five years.\What if I don't grow at all after this?\Then you can have my milk, too.\Watch out.\Talk about bad driving!\One sec.\Minegishi!\What? response:	I, uh, um...
context: What if I don't grow at all after this?\Then you can have my milk, too.\Watch out.\Talk about bad driving!\One sec.\Minegishi!\What?\I, uh, um... response:	You don't have to say any more.
context: Then you can have my milk, too.\Watch out.\Talk about bad driving!\One sec.\Minegishi!\What?\I, uh, um...\You don't have to say any more. response:	I already know.
context: Watch out.\Talk about bad driving!\One sec.\Minegishi!\What?\I, uh, um...\You don't have to say any more.\I already know. response:	B Um...
context: Talk about bad driving!\One sec.\Minegishi!\What?\I, uh, um...\You don't have to say any more.\I already know.\B Um... response:	I won't say anything.
context: One sec.\Minegishi!\What?\I, uh, um...\You don't have to say any more.\I already know.\B Um...\I won't say anything. response:	Tha I'm sorry...
context: Minegishi!\What?\I, uh, um...\You don't have to say any more.\I already know.\B Um...\I won't say anything.\Tha I'm sorry... response:	You know...
context: What?\I, uh, um...\You don't have to say any more.\I already know.\B Um...\I won't say anything.\Tha I'm sorry...\You know... response:	Is he in our class?
context: I, uh, um...\You don't have to say any more.\I already know.\B Um...\I won't say anything.\Tha I'm sorry...\You know...\Is he in our class? response:	What?
context: You don't have to say any more.\I already know.\B Um...\I won't say anything.\Tha I'm sorry...\You know...\Is he in our class?\What? response:	I won't tell your dad.
context: I already know.\B Um...\I won't say anything.\Tha I'm sorry...\You know...\Is he in our class?\What?\I won't tell your dad. response:	Wh-What?!
context: B Um...\I won't say anything.\Tha I'm sorry...\You know...\Is he in our class?\What?\I won't tell your dad.\Wh-What?! response:	Just tell me one thing.
context: I won't say anything.\Tha I'm sorry...\You know...\Is he in our class?\What?\I won't tell your dad.\Wh-What?!\Just tell me one thing. response:	Do you like him? Does he like you?
context: Tha I'm sorry...\You know...\Is he in our class?\What?\I won't tell your dad.\Wh-What?!\Just tell me one thing.\Do you like him? Does he like you? response:	Which is it?
context: You know...\Is he in our class?\What?\I won't tell your dad.\Wh-What?!\Just tell me one thing.\Do you like him? Does he like you?\Which is it? response:	What?!
context: Is he in our class?\What?\I won't tell your dad.\Wh-What?!\Just tell me one thing.\Do you like him? Does he like you?\Which is it?\What?! response:	Got it. Never mind.
context: What?\I won't tell your dad.\Wh-What?!\Just tell me one thing.\Do you like him? Does he like you?\Which is it?\What?!\Got it. Never mind. response:	I get it now.
context: I won't tell your dad.\Wh-What?!\Just tell me one thing.\Do you like him? Does he like you?\Which is it?\What?!\Got it. Never mind.\I get it now. response:	What do you mean?
context: Wh-What?!\Just tell me one thing.\Do you like him? Does he like you?\Which is it?\What?!\Got it. Never mind.\I get it now.\What do you mean? response:	I see, I see. So that's your type.
context: Just tell me one thing.\Do you like him? Does he like you?\Which is it?\What?!\Got it. Never mind.\I get it now.\What do you mean?\I see, I see. So that's your type. response:	That's not true!
context: Do you like him? Does he like you?\Which is it?\What?!\Got it. Never mind.\I get it now.\What do you mean?\I see, I see. So that's your type.\That's not true! response:	You're totally wrong!
context: Which is it?\What?!\Got it. Never mind.\I get it now.\What do you mean?\I see, I see. So that's your type.\That's not true!\You're totally wrong! response:	Yeah, sure. I got it.
context: What?!\Got it. Never mind.\I get it now.\What do you mean?\I see, I see. So that's your type.\That's not true!\You're totally wrong!\Yeah, sure. I got it. response:	You don't understand anything!
context: Got it. Never mind.\I get it now.\What do you mean?\I see, I see. So that's your type.\That's not true!\You're totally wrong!\Yeah, sure. I got it.\You don't understand anything! response:	I heard you started school today.
context: I get it now.\What do you mean?\I see, I see. So that's your type.\That's not true!\You're totally wrong!\Yeah, sure. I got it.\You don't understand anything!\I heard you started school today. response:	Yeah, I went.
context: What do you mean?\I see, I see. So that's your type.\That's not true!\You're totally wrong!\Yeah, sure. I got it.\You don't understand anything!\I heard you started school today.\Yeah, I went. response:	Totally acted like the senpai.
context: I see, I see. So that's your type.\That's not true!\You're totally wrong!\Yeah, sure. I got it.\You don't understand anything!\I heard you started school today.\Yeah, I went.\Totally acted like the senpai. response:	Tsumugu-kun brought his Hama Junior High uniform.
context: That's not true!\You're totally wrong!\Yeah, sure. I got it.\You don't understand anything!\I heard you started school today.\Yeah, I went.\Totally acted like the senpai.\Tsumugu-kun brought his Hama Junior High uniform. response:	Uniform?
context: You're totally wrong!\Yeah, sure. I got it.\You don't understand anything!\I heard you started school today.\Yeah, I went.\Totally acted like the senpai.\Tsumugu-kun brought his Hama Junior High uniform.\Uniform? response:	Well, you don't have a uniform.
context: Yeah, sure. I got it.\You don't understand anything!\I heard you started school today.\Yeah, I went.\Totally acted like the senpai.\Tsumugu-kun brought his Hama Junior High uniform.\Uniform?\Well, you don't have a uniform. response:	You can't just keep wearing a white button-up shirt forever.
context: You don't understand anything!\I heard you started school today.\Yeah, I went.\Totally acted like the senpai.\Tsumugu-kun brought his Hama Junior High uniform.\Uniform?\Well, you don't have a uniform.\You can't just keep wearing a white button-up shirt forever. response:	Huh?
context: I heard you started school today.\Yeah, I went.\Totally acted like the senpai.\Tsumugu-kun brought his Hama Junior High uniform.\Uniform?\Well, you don't have a uniform.\You can't just keep wearing a white button-up shirt forever.\Huh? response:	Now that I think about it, my Nami Junior High uniform
context: Yeah, I went.\Totally acted like the senpai.\Tsumugu-kun brought his Hama Junior High uniform.\Uniform?\Well, you don't have a uniform.\You can't just keep wearing a white button-up shirt forever.\Huh?\Now that I think about it, my Nami Junior High uniform response:	was taken off by the guys at the Fishery Cooperative before the Ofunehiki...
context: Totally acted like the senpai.\Tsumugu-kun brought his Hama Junior High uniform.\Uniform?\Well, you don't have a uniform.\You can't just keep wearing a white button-up shirt forever.\Huh?\Now that I think about it, my Nami Junior High uniform\was taken off by the guys at the Fishery Cooperative before the Ofunehiki... response:	What happened to it afterwards?
context: Tsumugu-kun brought his Hama Junior High uniform.\Uniform?\Well, you don't have a uniform.\You can't just keep wearing a white button-up shirt forever.\Huh?\Now that I think about it, my Nami Junior High uniform\was taken off by the guys at the Fishery Cooperative before the Ofunehiki...\What happened to it afterwards? response:	How would I know?
context: Uniform?\Well, you don't have a uniform.\You can't just keep wearing a white button-up shirt forever.\Huh?\Now that I think about it, my Nami Junior High uniform\was taken off by the guys at the Fishery Cooperative before the Ofunehiki...\What happened to it afterwards?\How would I know? response:	So you'll have this.
context: Well, you don't have a uniform.\You can't just keep wearing a white button-up shirt forever.\Huh?\Now that I think about it, my Nami Junior High uniform\was taken off by the guys at the Fishery Cooperative before the Ofunehiki...\What happened to it afterwards?\How would I know?\So you'll have this. response:	If it fits, go ahead and use it.
context: You can't just keep wearing a white button-up shirt forever.\Huh?\Now that I think about it, my Nami Junior High uniform\was taken off by the guys at the Fishery Cooperative before the Ofunehiki...\What happened to it afterwards?\How would I know?\So you'll have this.\If it fits, go ahead and use it. response:	It's from when I graduated,
context: Huh?\Now that I think about it, my Nami Junior High uniform\was taken off by the guys at the Fishery Cooperative before the Ofunehiki...\What happened to it afterwards?\How would I know?\So you'll have this.\If it fits, go ahead and use it.\It's from when I graduated, response:	so it might be a bit big, though.
context: Now that I think about it, my Nami Junior High uniform\was taken off by the guys at the Fishery Cooperative before the Ofunehiki...\What happened to it afterwards?\How would I know?\So you'll have this.\If it fits, go ahead and use it.\It's from when I graduated,\so it might be a bit big, though. response:	Thank you.
context: was taken off by the guys at the Fishery Cooperative before the Ofunehiki...\What happened to it afterwards?\How would I know?\So you'll have this.\If it fits, go ahead and use it.\It's from when I graduated,\so it might be a bit big, though.\Thank you. response:	Thanks.
context: What happened to it afterwards?\How would I know?\So you'll have this.\If it fits, go ahead and use it.\It's from when I graduated,\so it might be a bit big, though.\Thank you.\Thanks. response:	Yeah.
context: How would I know?\So you'll have this.\If it fits, go ahead and use it.\It's from when I graduated,\so it might be a bit big, though.\Thank you.\Thanks.\Yeah. response:	It's huge!
context: So you'll have this.\If it fits, go ahead and use it.\It's from when I graduated,\so it might be a bit big, though.\Thank you.\Thanks.\Yeah.\It's huge! response:	Huge!
context: If it fits, go ahead and use it.\It's from when I graduated,\so it might be a bit big, though.\Thank you.\Thanks.\Yeah.\It's huge!\Huge! response:	Tsumugu grew way too much!
context: It's from when I graduated,\so it might be a bit big, though.\Thank you.\Thanks.\Yeah.\It's huge!\Huge!\Tsumugu grew way too much! response:	Want me to fix the pants again?
context: so it might be a bit big, though.\Thank you.\Thanks.\Yeah.\It's huge!\Huge!\Tsumugu grew way too much!\Want me to fix the pants again? response:	Yeah.
context: Thank you.\Thanks.\Yeah.\It's huge!\Huge!\Tsumugu grew way too much!\Want me to fix the pants again?\Yeah. response:	Hey!
context: Thanks.\Yeah.\It's huge!\Huge!\Tsumugu grew way too much!\Want me to fix the pants again?\Yeah.\Hey! response:	Shut up!
context: Yeah.\It's huge!\Huge!\Tsumugu grew way too much!\Want me to fix the pants again?\Yeah.\Hey!\Shut up! response:	Let's go have a new uniform made for you after all.
context: It's huge!\Huge!\Tsumugu grew way too much!\Want me to fix the pants again?\Yeah.\Hey!\Shut up!\Let's go have a new uniform made for you after all. response:	What?
context: Huge!\Tsumugu grew way too much!\Want me to fix the pants again?\Yeah.\Hey!\Shut up!\Let's go have a new uniform made for you after all.\What? response:	You don't have to.
context: Tsumugu grew way too much!\Want me to fix the pants again?\Yeah.\Hey!\Shut up!\Let's go have a new uniform made for you after all.\What?\You don't have to. response:	You don't have to hold back.
context: Want me to fix the pants again?\Yeah.\Hey!\Shut up!\Let's go have a new uniform made for you after all.\What?\You don't have to.\You don't have to hold back. response:	It's fine. I'll just wear that.
context: Yeah.\Hey!\Shut up!\Let's go have a new uniform made for you after all.\What?\You don't have to.\You don't have to hold back.\It's fine. I'll just wear that. response:	We'll take the train,
context: Hey!\Shut up!\Let's go have a new uniform made for you after all.\What?\You don't have to.\You don't have to hold back.\It's fine. I'll just wear that.\We'll take the train, response:	go to the department store, and all eat omelet rice.
context: Shut up!\Let's go have a new uniform made for you after all.\What?\You don't have to.\You don't have to hold back.\It's fine. I'll just wear that.\We'll take the train,\go to the department store, and all eat omelet rice. response:	Omu!
context: Let's go have a new uniform made for you after all.\What?\You don't have to.\You don't have to hold back.\It's fine. I'll just wear that.\We'll take the train,\go to the department store, and all eat omelet rice.\Omu! response:	Receipt Sazanami Pharmacy
context: What?\You don't have to.\You don't have to hold back.\It's fine. I'll just wear that.\We'll take the train,\go to the department store, and all eat omelet rice.\Omu!\Receipt Sazanami Pharmacy response:	They say that bravado is a sign of being healthy, but he's...
context: You don't have to.\You don't have to hold back.\It's fine. I'll just wear that.\We'll take the train,\go to the department store, and all eat omelet rice.\Omu!\Receipt Sazanami Pharmacy\They say that bravado is a sign of being healthy, but he's... response:	Well, he is a guy.
context: You don't have to hold back.\It's fine. I'll just wear that.\We'll take the train,\go to the department store, and all eat omelet rice.\Omu!\Receipt Sazanami Pharmacy\They say that bravado is a sign of being healthy, but he's...\Well, he is a guy. response:	Let's let him keep up his faCade.
context: It's fine. I'll just wear that.\We'll take the train,\go to the department store, and all eat omelet rice.\Omu!\Receipt Sazanami Pharmacy\They say that bravado is a sign of being healthy, but he's...\Well, he is a guy.\Let's let him keep up his faCade. response:	Yeah...
context: We'll take the train,\go to the department store, and all eat omelet rice.\Omu!\Receipt Sazanami Pharmacy\They say that bravado is a sign of being healthy, but he's...\Well, he is a guy.\Let's let him keep up his faCade.\Yeah... response:	Thanks, Itaru-san.
context: go to the department store, and all eat omelet rice.\Omu!\Receipt Sazanami Pharmacy\They say that bravado is a sign of being healthy, but he's...\Well, he is a guy.\Let's let him keep up his faCade.\Yeah...\Thanks, Itaru-san. response:	Huh?
context: Omu!\Receipt Sazanami Pharmacy\They say that bravado is a sign of being healthy, but he's...\Well, he is a guy.\Let's let him keep up his faCade.\Yeah...\Thanks, Itaru-san.\Huh? response:	For letting Hikari stay at our place.
context: Receipt Sazanami Pharmacy\They say that bravado is a sign of being healthy, but he's...\Well, he is a guy.\Let's let him keep up his faCade.\Yeah...\Thanks, Itaru-san.\Huh?\For letting Hikari stay at our place. response:	Of course.
context: They say that bravado is a sign of being healthy, but he's...\Well, he is a guy.\Let's let him keep up his faCade.\Yeah...\Thanks, Itaru-san.\Huh?\For letting Hikari stay at our place.\Of course. response:	He's your little brother...
context: Well, he is a guy.\Let's let him keep up his faCade.\Yeah...\Thanks, Itaru-san.\Huh?\For letting Hikari stay at our place.\Of course.\He's your little brother... response:	And having such a younger brother makes me feel younger, too.
context: Let's let him keep up his faCade.\Yeah...\Thanks, Itaru-san.\Huh?\For letting Hikari stay at our place.\Of course.\He's your little brother...\And having such a younger brother makes me feel younger, too. response:	Itaru-san...
context: Yeah...\Thanks, Itaru-san.\Huh?\For letting Hikari stay at our place.\Of course.\He's your little brother...\And having such a younger brother makes me feel younger, too.\Itaru-san... response:	Tomorrow's my first day off in a while, so let's all enjoy it.
context: Thanks, Itaru-san.\Huh?\For letting Hikari stay at our place.\Of course.\He's your little brother...\And having such a younger brother makes me feel younger, too.\Itaru-san...\Tomorrow's my first day off in a while, so let's all enjoy it. response:	Thank you for always working so hard.
context: Huh?\For letting Hikari stay at our place.\Of course.\He's your little brother...\And having such a younger brother makes me feel younger, too.\Itaru-san...\Tomorrow's my first day off in a while, so let's all enjoy it.\Thank you for always working so hard. response:	Nah, it's all thanks to my responsible wife.
context: For letting Hikari stay at our place.\Of course.\He's your little brother...\And having such a younger brother makes me feel younger, too.\Itaru-san...\Tomorrow's my first day off in a while, so let's all enjoy it.\Thank you for always working so hard.\Nah, it's all thanks to my responsible wife. response:	What's the matter?
context: Of course.\He's your little brother...\And having such a younger brother makes me feel younger, too.\Itaru-san...\Tomorrow's my first day off in a while, so let's all enjoy it.\Thank you for always working so hard.\Nah, it's all thanks to my responsible wife.\What's the matter? response:	Omu...
context: He's your little brother...\And having such a younger brother makes me feel younger, too.\Itaru-san...\Tomorrow's my first day off in a while, so let's all enjoy it.\Thank you for always working so hard.\Nah, it's all thanks to my responsible wife.\What's the matter?\Omu... response:	Omu is tomorrow.
context: And having such a younger brother makes me feel younger, too.\Itaru-san...\Tomorrow's my first day off in a while, so let's all enjoy it.\Thank you for always working so hard.\Nah, it's all thanks to my responsible wife.\What's the matter?\Omu...\Omu is tomorrow. response:	Tomorrow?
context: Itaru-san...\Tomorrow's my first day off in a while, so let's all enjoy it.\Thank you for always working so hard.\Nah, it's all thanks to my responsible wife.\What's the matter?\Omu...\Omu is tomorrow.\Tomorrow? response:	When's that?
context: Tomorrow's my first day off in a while, so let's all enjoy it.\Thank you for always working so hard.\Nah, it's all thanks to my responsible wife.\What's the matter?\Omu...\Omu is tomorrow.\Tomorrow?\When's that? response:	When you go beddie-bye and wake up, it'll be tomorrow.
context: Thank you for always working so hard.\Nah, it's all thanks to my responsible wife.\What's the matter?\Omu...\Omu is tomorrow.\Tomorrow?\When's that?\When you go beddie-bye and wake up, it'll be tomorrow. response:	'Kay.
context: Nah, it's all thanks to my responsible wife.\What's the matter?\Omu...\Omu is tomorrow.\Tomorrow?\When's that?\When you go beddie-bye and wake up, it'll be tomorrow.\'Kay. response:	Today's special, so let's open up another.
context: What's the matter?\Omu...\Omu is tomorrow.\Tomorrow?\When's that?\When you go beddie-bye and wake up, it'll be tomorrow.\'Kay.\Today's special, so let's open up another. response:	Next time, okay?
context: Omu...\Omu is tomorrow.\Tomorrow?\When's that?\When you go beddie-bye and wake up, it'll be tomorrow.\'Kay.\Today's special, so let's open up another.\Next time, okay? response:	Next time.
