context: Huh? response:	Something's shining!
context: I knew he could do it!\Wonderful!\It was a cinch-ebi!\I-I have a bad feeling about this...\Labyrinth Rhapsody!\Gray-sama, this way...\Oh, the entrance, huh?\So this is it? response:	It's obviously suspicious...
context: Wonderful!\It was a cinch-ebi!\I-I have a bad feeling about this...\Labyrinth Rhapsody!\Gray-sama, this way...\Oh, the entrance, huh?\So this is it?\It's obviously suspicious... response:	For now, the only thing to do is go inside.
context: It was a cinch-ebi!\I-I have a bad feeling about this...\Labyrinth Rhapsody!\Gray-sama, this way...\Oh, the entrance, huh?\So this is it?\It's obviously suspicious...\For now, the only thing to do is go inside. response:	Forbidden! It is forbidden to enter!
context: I-I have a bad feeling about this...\Labyrinth Rhapsody!\Gray-sama, this way...\Oh, the entrance, huh?\So this is it?\It's obviously suspicious...\For now, the only thing to do is go inside.\Forbidden! It is forbidden to enter! response:	Looks like a gatekeeper...
context: Labyrinth Rhapsody!\Gray-sama, this way...\Oh, the entrance, huh?\So this is it?\It's obviously suspicious...\For now, the only thing to do is go inside.\Forbidden! It is forbidden to enter!\Looks like a gatekeeper... response:	Yeesh...
context: Gray-sama, this way...\Oh, the entrance, huh?\So this is it?\It's obviously suspicious...\For now, the only thing to do is go inside.\Forbidden! It is forbidden to enter!\Looks like a gatekeeper...\Yeesh... response:	Sorry...
context: Oh, the entrance, huh?\So this is it?\It's obviously suspicious...\For now, the only thing to do is go inside.\Forbidden! It is forbidden to enter!\Looks like a gatekeeper...\Yeesh...\Sorry... response:	But we don't have time to play!
context: So this is it?\It's obviously suspicious...\For now, the only thing to do is go inside.\Forbidden! It is forbidden to enter!\Looks like a gatekeeper...\Yeesh...\Sorry...\But we don't have time to play! response:	What the hell is this?!
context: It's obviously suspicious...\For now, the only thing to do is go inside.\Forbidden! It is forbidden to enter!\Looks like a gatekeeper...\Yeesh...\Sorry...\But we don't have time to play!\What the hell is this?! response:	Our magic had no effect on it!
context: For now, the only thing to do is go inside.\Forbidden! It is forbidden to enter!\Looks like a gatekeeper...\Yeesh...\Sorry...\But we don't have time to play!\What the hell is this?!\Our magic had no effect on it! response:	I am impervious under my gaze!
context: Forbidden! It is forbidden to enter!\Looks like a gatekeeper...\Yeesh...\Sorry...\But we don't have time to play!\What the hell is this?!\Our magic had no effect on it!\I am impervious under my gaze! response:	Magic has no effect...?
context: Looks like a gatekeeper...\Yeesh...\Sorry...\But we don't have time to play!\What the hell is this?!\Our magic had no effect on it!\I am impervious under my gaze!\Magic has no effect...? response:	Pain in the ass...
context: Yeesh...\Sorry...\But we don't have time to play!\What the hell is this?!\Our magic had no effect on it!\I am impervious under my gaze!\Magic has no effect...?\Pain in the ass... response:	Those eyes... Maybe...
context: Sorry...\But we don't have time to play!\What the hell is this?!\Our magic had no effect on it!\I am impervious under my gaze!\Magic has no effect...?\Pain in the ass...\Those eyes... Maybe... response:	So its eyes are its weakness! Nice job figuring that out!
context: But we don't have time to play!\What the hell is this?!\Our magic had no effect on it!\I am impervious under my gaze!\Magic has no effect...?\Pain in the ass...\Those eyes... Maybe...\So its eyes are its weakness! Nice job figuring that out! response:	It said impervious under my gaze, so Juvia thought maybe...
context: What the hell is this?!\Our magic had no effect on it!\I am impervious under my gaze!\Magic has no effect...?\Pain in the ass...\Those eyes... Maybe...\So its eyes are its weakness! Nice job figuring that out!\It said impervious under my gaze, so Juvia thought maybe... response:	It's opening!
context: Our magic had no effect on it!\I am impervious under my gaze!\Magic has no effect...?\Pain in the ass...\Those eyes... Maybe...\So its eyes are its weakness! Nice job figuring that out!\It said impervious under my gaze, so Juvia thought maybe...\It's opening! response:	That's my Juvia-chan!
context: I am impervious under my gaze!\Magic has no effect...?\Pain in the ass...\Those eyes... Maybe...\So its eyes are its weakness! Nice job figuring that out!\It said impervious under my gaze, so Juvia thought maybe...\It's opening!\That's my Juvia-chan! response:	Please don't use -chan with my name!
context: Magic has no effect...?\Pain in the ass...\Those eyes... Maybe...\So its eyes are its weakness! Nice job figuring that out!\It said impervious under my gaze, so Juvia thought maybe...\It's opening!\That's my Juvia-chan!\Please don't use -chan with my name! response:	Whatever, let's just go inside.
context: Pain in the ass...\Those eyes... Maybe...\So its eyes are its weakness! Nice job figuring that out!\It said impervious under my gaze, so Juvia thought maybe...\It's opening!\That's my Juvia-chan!\Please don't use -chan with my name!\Whatever, let's just go inside. response:	The remains of a church...
context: Those eyes... Maybe...\So its eyes are its weakness! Nice job figuring that out!\It said impervious under my gaze, so Juvia thought maybe...\It's opening!\That's my Juvia-chan!\Please don't use -chan with my name!\Whatever, let's just go inside.\The remains of a church... response:	That mark... Zentopia?
context: So its eyes are its weakness! Nice job figuring that out!\It said impervious under my gaze, so Juvia thought maybe...\It's opening!\That's my Juvia-chan!\Please don't use -chan with my name!\Whatever, let's just go inside.\The remains of a church...\That mark... Zentopia? response:	What are those rocks for?
context: It said impervious under my gaze, so Juvia thought maybe...\It's opening!\That's my Juvia-chan!\Please don't use -chan with my name!\Whatever, let's just go inside.\The remains of a church...\That mark... Zentopia?\What are those rocks for? response:	All of them have engravings on the surface...
context: It's opening!\That's my Juvia-chan!\Please don't use -chan with my name!\Whatever, let's just go inside.\The remains of a church...\That mark... Zentopia?\What are those rocks for?\All of them have engravings on the surface... response:	Why don't we split up for now and look for anything that might be a part?
context: That's my Juvia-chan!\Please don't use -chan with my name!\Whatever, let's just go inside.\The remains of a church...\That mark... Zentopia?\What are those rocks for?\All of them have engravings on the surface...\Why don't we split up for now and look for anything that might be a part? response:	I'll look around the perimeter.
context: Please don't use -chan with my name!\Whatever, let's just go inside.\The remains of a church...\That mark... Zentopia?\What are those rocks for?\All of them have engravings on the surface...\Why don't we split up for now and look for anything that might be a part?\I'll look around the perimeter. response:	I'll check out the inside.
context: Whatever, let's just go inside.\The remains of a church...\That mark... Zentopia?\What are those rocks for?\All of them have engravings on the surface...\Why don't we split up for now and look for anything that might be a part?\I'll look around the perimeter.\I'll check out the inside. response:	That mark...
context: The remains of a church...\That mark... Zentopia?\What are those rocks for?\All of them have engravings on the surface...\Why don't we split up for now and look for anything that might be a part?\I'll look around the perimeter.\I'll check out the inside.\That mark... response:	These rocks are really suspicious.
context: That mark... Zentopia?\What are those rocks for?\All of them have engravings on the surface...\Why don't we split up for now and look for anything that might be a part?\I'll look around the perimeter.\I'll check out the inside.\That mark...\These rocks are really suspicious. response:	Think I'll test them out...
context: What are those rocks for?\All of them have engravings on the surface...\Why don't we split up for now and look for anything that might be a part?\I'll look around the perimeter.\I'll check out the inside.\That mark...\These rocks are really suspicious.\Think I'll test them out... response:	What's this?
context: All of them have engravings on the surface...\Why don't we split up for now and look for anything that might be a part?\I'll look around the perimeter.\I'll check out the inside.\That mark...\These rocks are really suspicious.\Think I'll test them out...\What's this? response:	When the rocks are hit with magic, they move in the direction of their arrows.
context: Why don't we split up for now and look for anything that might be a part?\I'll look around the perimeter.\I'll check out the inside.\That mark...\These rocks are really suspicious.\Think I'll test them out...\What's this?\When the rocks are hit with magic, they move in the direction of their arrows. response:	But for what?
context: I'll look around the perimeter.\I'll check out the inside.\That mark...\These rocks are really suspicious.\Think I'll test them out...\What's this?\When the rocks are hit with magic, they move in the direction of their arrows.\But for what? response:	Do you know, Juvia-chan?
context: I'll check out the inside.\That mark...\These rocks are really suspicious.\Think I'll test them out...\What's this?\When the rocks are hit with magic, they move in the direction of their arrows.\But for what?\Do you know, Juvia-chan? response:	Juvia-chan thinks... Juvia told you to stop using chan with her name!
context: That mark...\These rocks are really suspicious.\Think I'll test them out...\What's this?\When the rocks are hit with magic, they move in the direction of their arrows.\But for what?\Do you know, Juvia-chan?\Juvia-chan thinks... Juvia told you to stop using chan with her name! response:	What?! Th-Then you don't mind if I address you casually?!
context: These rocks are really suspicious.\Think I'll test them out...\What's this?\When the rocks are hit with magic, they move in the direction of their arrows.\But for what?\Do you know, Juvia-chan?\Juvia-chan thinks... Juvia told you to stop using chan with her name!\What?! Th-Then you don't mind if I address you casually?! response:	J-Juvia!
context: Think I'll test them out...\What's this?\When the rocks are hit with magic, they move in the direction of their arrows.\But for what?\Do you know, Juvia-chan?\Juvia-chan thinks... Juvia told you to stop using chan with her name!\What?! Th-Then you don't mind if I address you casually?!\J-Juvia! response:	Morons... This isn't playtime!
context: What's this?\When the rocks are hit with magic, they move in the direction of their arrows.\But for what?\Do you know, Juvia-chan?\Juvia-chan thinks... Juvia told you to stop using chan with her name!\What?! Th-Then you don't mind if I address you casually?!\J-Juvia!\Morons... This isn't playtime! response:	Gray-sama is jealous! This is what Juvia's been waiting for!
context: When the rocks are hit with magic, they move in the direction of their arrows.\But for what?\Do you know, Juvia-chan?\Juvia-chan thinks... Juvia told you to stop using chan with her name!\What?! Th-Then you don't mind if I address you casually?!\J-Juvia!\Morons... This isn't playtime!\Gray-sama is jealous! This is what Juvia's been waiting for! response:	We didn't come here to goof off! Think about what we should do with these rocks!
context: But for what?\Do you know, Juvia-chan?\Juvia-chan thinks... Juvia told you to stop using chan with her name!\What?! Th-Then you don't mind if I address you casually?!\J-Juvia!\Morons... This isn't playtime!\Gray-sama is jealous! This is what Juvia's been waiting for!\We didn't come here to goof off! Think about what we should do with these rocks! response:	Right...
context: Do you know, Juvia-chan?\Juvia-chan thinks... Juvia told you to stop using chan with her name!\What?! Th-Then you don't mind if I address you casually?!\J-Juvia!\Morons... This isn't playtime!\Gray-sama is jealous! This is what Juvia's been waiting for!\We didn't come here to goof off! Think about what we should do with these rocks!\Right... response:	Don't scold Juvia-san!
context: Juvia-chan thinks... Juvia told you to stop using chan with her name!\What?! Th-Then you don't mind if I address you casually?!\J-Juvia!\Morons... This isn't playtime!\Gray-sama is jealous! This is what Juvia's been waiting for!\We didn't come here to goof off! Think about what we should do with these rocks!\Right...\Don't scold Juvia-san! response:	Um... The Zentopia crest over there... Isn't there something a little strange about it?
context: What?! Th-Then you don't mind if I address you casually?!\J-Juvia!\Morons... This isn't playtime!\Gray-sama is jealous! This is what Juvia's been waiting for!\We didn't come here to goof off! Think about what we should do with these rocks!\Right...\Don't scold Juvia-san!\Um... The Zentopia crest over there... Isn't there something a little strange about it? response:	Now that you mention it... It is a little off...
context: J-Juvia!\Morons... This isn't playtime!\Gray-sama is jealous! This is what Juvia's been waiting for!\We didn't come here to goof off! Think about what we should do with these rocks!\Right...\Don't scold Juvia-san!\Um... The Zentopia crest over there... Isn't there something a little strange about it?\Now that you mention it... It is a little off... response:	Far as I can recall, it should be more like this...
context: Morons... This isn't playtime!\Gray-sama is jealous! This is what Juvia's been waiting for!\We didn't come here to goof off! Think about what we should do with these rocks!\Right...\Don't scold Juvia-san!\Um... The Zentopia crest over there... Isn't there something a little strange about it?\Now that you mention it... It is a little off...\Far as I can recall, it should be more like this... response:	I see...
context: Gray-sama is jealous! This is what Juvia's been waiting for!\We didn't come here to goof off! Think about what we should do with these rocks!\Right...\Don't scold Juvia-san!\Um... The Zentopia crest over there... Isn't there something a little strange about it?\Now that you mention it... It is a little off...\Far as I can recall, it should be more like this...\I see... response:	Maybe...
context: We didn't come here to goof off! Think about what we should do with these rocks!\Right...\Don't scold Juvia-san!\Um... The Zentopia crest over there... Isn't there something a little strange about it?\Now that you mention it... It is a little off...\Far as I can recall, it should be more like this...\I see...\Maybe... response:	What are you gonna do?
context: Right...\Don't scold Juvia-san!\Um... The Zentopia crest over there... Isn't there something a little strange about it?\Now that you mention it... It is a little off...\Far as I can recall, it should be more like this...\I see...\Maybe...\What are you gonna do? response:	Move the rocks...
context: Don't scold Juvia-san!\Um... The Zentopia crest over there... Isn't there something a little strange about it?\Now that you mention it... It is a little off...\Far as I can recall, it should be more like this...\I see...\Maybe...\What are you gonna do?\Move the rocks... response:	You still don't get it?
context: Um... The Zentopia crest over there... Isn't there something a little strange about it?\Now that you mention it... It is a little off...\Far as I can recall, it should be more like this...\I see...\Maybe...\What are you gonna do?\Move the rocks...\You still don't get it? response:	So that's it!
context: Now that you mention it... It is a little off...\Far as I can recall, it should be more like this...\I see...\Maybe...\What are you gonna do?\Move the rocks...\You still don't get it?\So that's it! response:	You're slow on the uptake.
context: Far as I can recall, it should be more like this...\I see...\Maybe...\What are you gonna do?\Move the rocks...\You still don't get it?\So that's it!\You're slow on the uptake. response:	Right there?
context: I see...\Maybe...\What are you gonna do?\Move the rocks...\You still don't get it?\So that's it!\You're slow on the uptake.\Right there? response:	Now all we need to do is hit these four arrows with magic at the same time...
context: Maybe...\What are you gonna do?\Move the rocks...\You still don't get it?\So that's it!\You're slow on the uptake.\Right there?\Now all we need to do is hit these four arrows with magic at the same time... response:	Nothing's happening.
context: What are you gonna do?\Move the rocks...\You still don't get it?\So that's it!\You're slow on the uptake.\Right there?\Now all we need to do is hit these four arrows with magic at the same time...\Nothing's happening. response:	Wait...
context: Move the rocks...\You still don't get it?\So that's it!\You're slow on the uptake.\Right there?\Now all we need to do is hit these four arrows with magic at the same time...\Nothing's happening.\Wait... response:	Yes! You did it, Juvia!
context: You still don't get it?\So that's it!\You're slow on the uptake.\Right there?\Now all we need to do is hit these four arrows with magic at the same time...\Nothing's happening.\Wait...\Yes! You did it, Juvia! response:	Juvia is moved!
context: So that's it!\You're slow on the uptake.\Right there?\Now all we need to do is hit these four arrows with magic at the same time...\Nothing's happening.\Wait...\Yes! You did it, Juvia!\Juvia is moved! response:	The light from our magic?
context: You're slow on the uptake.\Right there?\Now all we need to do is hit these four arrows with magic at the same time...\Nothing's happening.\Wait...\Yes! You did it, Juvia!\Juvia is moved!\The light from our magic? response:	It's so bright!
context: Right there?\Now all we need to do is hit these four arrows with magic at the same time...\Nothing's happening.\Wait...\Yes! You did it, Juvia!\Juvia is moved!\The light from our magic?\It's so bright! response:	Is it gonna throw somethin' else at us?
context: Now all we need to do is hit these four arrows with magic at the same time...\Nothing's happening.\Wait...\Yes! You did it, Juvia!\Juvia is moved!\The light from our magic?\It's so bright!\Is it gonna throw somethin' else at us? response:	Hey... Is everyone okay?
context: Nothing's happening.\Wait...\Yes! You did it, Juvia!\Juvia is moved!\The light from our magic?\It's so bright!\Is it gonna throw somethin' else at us?\Hey... Is everyone okay? response:	Aye...
context: Wait...\Yes! You did it, Juvia!\Juvia is moved!\The light from our magic?\It's so bright!\Is it gonna throw somethin' else at us?\Hey... Is everyone okay?\Aye... response:	I'm alive, anyway...
context: Yes! You did it, Juvia!\Juvia is moved!\The light from our magic?\It's so bright!\Is it gonna throw somethin' else at us?\Hey... Is everyone okay?\Aye...\I'm alive, anyway... response:	I thought we were done for.
context: Juvia is moved!\The light from our magic?\It's so bright!\Is it gonna throw somethin' else at us?\Hey... Is everyone okay?\Aye...\I'm alive, anyway...\I thought we were done for. response:	Where's Michelle?!
context: The light from our magic?\It's so bright!\Is it gonna throw somethin' else at us?\Hey... Is everyone okay?\Aye...\I'm alive, anyway...\I thought we were done for.\Where's Michelle?! response:	We'll pull her out on three!
context: It's so bright!\Is it gonna throw somethin' else at us?\Hey... Is everyone okay?\Aye...\I'm alive, anyway...\I thought we were done for.\Where's Michelle?!\We'll pull her out on three! response:	Two... three!
context: Is it gonna throw somethin' else at us?\Hey... Is everyone okay?\Aye...\I'm alive, anyway...\I thought we were done for.\Where's Michelle?!\We'll pull her out on three!\Two... three! response:	Are you alright?!
context: Hey... Is everyone okay?\Aye...\I'm alive, anyway...\I thought we were done for.\Where's Michelle?!\We'll pull her out on three!\Two... three!\Are you alright?! response:	So the entrance was under the desert, huh?
context: Aye...\I'm alive, anyway...\I thought we were done for.\Where's Michelle?!\We'll pull her out on three!\Two... three!\Are you alright?!\So the entrance was under the desert, huh? response:	Scary!
context: I'm alive, anyway...\I thought we were done for.\Where's Michelle?!\We'll pull her out on three!\Two... three!\Are you alright?!\So the entrance was under the desert, huh?\Scary! response:	Same as before. Magic doesn't work on it.
context: I thought we were done for.\Where's Michelle?!\We'll pull her out on three!\Two... three!\Are you alright?!\So the entrance was under the desert, huh?\Scary!\Same as before. Magic doesn't work on it. response:	And this one doesn't seem to have a keyhole, huh?
context: Where's Michelle?!\We'll pull her out on three!\Two... three!\Are you alright?!\So the entrance was under the desert, huh?\Scary!\Same as before. Magic doesn't work on it.\And this one doesn't seem to have a keyhole, huh? response:	When it comes to solving a puzzle like this, leave it to me!
context: We'll pull her out on three!\Two... three!\Are you alright?!\So the entrance was under the desert, huh?\Scary!\Same as before. Magic doesn't work on it.\And this one doesn't seem to have a keyhole, huh?\When it comes to solving a puzzle like this, leave it to me! response:	It probably opens when you say the right magic words. I'll start with the cliche...
context: Two... three!\Are you alright?!\So the entrance was under the desert, huh?\Scary!\Same as before. Magic doesn't work on it.\And this one doesn't seem to have a keyhole, huh?\When it comes to solving a puzzle like this, leave it to me!\It probably opens when you say the right magic words. I'll start with the cliche... response:	Open sesame!
context: Are you alright?!\So the entrance was under the desert, huh?\Scary!\Same as before. Magic doesn't work on it.\And this one doesn't seem to have a keyhole, huh?\When it comes to solving a puzzle like this, leave it to me!\It probably opens when you say the right magic words. I'll start with the cliche...\Open sesame! response:	Why sesame?
context: So the entrance was under the desert, huh?\Scary!\Same as before. Magic doesn't work on it.\And this one doesn't seem to have a keyhole, huh?\When it comes to solving a puzzle like this, leave it to me!\It probably opens when you say the right magic words. I'll start with the cliche...\Open sesame!\Why sesame? response:	Alright then, open, sez me!
context: Scary!\Same as before. Magic doesn't work on it.\And this one doesn't seem to have a keyhole, huh?\When it comes to solving a puzzle like this, leave it to me!\It probably opens when you say the right magic words. I'll start with the cliche...\Open sesame!\Why sesame?\Alright then, open, sez me! response:	Hell if I know!
context: Same as before. Magic doesn't work on it.\And this one doesn't seem to have a keyhole, huh?\When it comes to solving a puzzle like this, leave it to me!\It probably opens when you say the right magic words. I'll start with the cliche...\Open sesame!\Why sesame?\Alright then, open, sez me!\Hell if I know! response:	No, huh?
context: And this one doesn't seem to have a keyhole, huh?\When it comes to solving a puzzle like this, leave it to me!\It probably opens when you say the right magic words. I'll start with the cliche...\Open sesame!\Why sesame?\Alright then, open, sez me!\Hell if I know!\No, huh? response:	Then let's try using word combinations that are similar...
context: When it comes to solving a puzzle like this, leave it to me!\It probably opens when you say the right magic words. I'll start with the cliche...\Open sesame!\Why sesame?\Alright then, open, sez me!\Hell if I know!\No, huh?\Then let's try using word combinations that are similar... response:	Sesame Street! Curry! Grilled fish! Caviar! Sesame sauce! Steak!
context: It probably opens when you say the right magic words. I'll start with the cliche...\Open sesame!\Why sesame?\Alright then, open, sez me!\Hell if I know!\No, huh?\Then let's try using word combinations that are similar...\Sesame Street! Curry! Grilled fish! Caviar! Sesame sauce! Steak! response:	Boiled fish! Truffles! Sesame seed bun! Hamburger! Raw fish! Foie gras!
context: Open sesame!\Why sesame?\Alright then, open, sez me!\Hell if I know!\No, huh?\Then let's try using word combinations that are similar...\Sesame Street! Curry! Grilled fish! Caviar! Sesame sauce! Steak!\Boiled fish! Truffles! Sesame seed bun! Hamburger! Raw fish! Foie gras! response:	You say something too, Romeo!
context: Why sesame?\Alright then, open, sez me!\Hell if I know!\No, huh?\Then let's try using word combinations that are similar...\Sesame Street! Curry! Grilled fish! Caviar! Sesame sauce! Steak!\Boiled fish! Truffles! Sesame seed bun! Hamburger! Raw fish! Foie gras!\You say something too, Romeo! response:	Door, please open!
context: Alright then, open, sez me!\Hell if I know!\No, huh?\Then let's try using word combinations that are similar...\Sesame Street! Curry! Grilled fish! Caviar! Sesame sauce! Steak!\Boiled fish! Truffles! Sesame seed bun! Hamburger! Raw fish! Foie gras!\You say something too, Romeo!\Door, please open! response:	So we just had to be polite?
context: Hell if I know!\No, huh?\Then let's try using word combinations that are similar...\Sesame Street! Curry! Grilled fish! Caviar! Sesame sauce! Steak!\Boiled fish! Truffles! Sesame seed bun! Hamburger! Raw fish! Foie gras!\You say something too, Romeo!\Door, please open!\So we just had to be polite? response:	Huh? That's the mark of Zentopia.
context: No, huh?\Then let's try using word combinations that are similar...\Sesame Street! Curry! Grilled fish! Caviar! Sesame sauce! Steak!\Boiled fish! Truffles! Sesame seed bun! Hamburger! Raw fish! Foie gras!\You say something too, Romeo!\Door, please open!\So we just had to be polite?\Huh? That's the mark of Zentopia. response:	I'll tell you,
context: Then let's try using word combinations that are similar...\Sesame Street! Curry! Grilled fish! Caviar! Sesame sauce! Steak!\Boiled fish! Truffles! Sesame seed bun! Hamburger! Raw fish! Foie gras!\You say something too, Romeo!\Door, please open!\So we just had to be polite?\Huh? That's the mark of Zentopia.\I'll tell you, response:	these ruins are called the Sacred Graveyard.
context: Sesame Street! Curry! Grilled fish! Caviar! Sesame sauce! Steak!\Boiled fish! Truffles! Sesame seed bun! Hamburger! Raw fish! Foie gras!\You say something too, Romeo!\Door, please open!\So we just had to be polite?\Huh? That's the mark of Zentopia.\I'll tell you,\these ruins are called the Sacred Graveyard. response:	It's written about in Zentopia history books and various other documents,
context: Boiled fish! Truffles! Sesame seed bun! Hamburger! Raw fish! Foie gras!\You say something too, Romeo!\Door, please open!\So we just had to be polite?\Huh? That's the mark of Zentopia.\I'll tell you,\these ruins are called the Sacred Graveyard.\It's written about in Zentopia history books and various other documents, response:	but its existence has never been proven.
