context: That was your last supplementary class. Great work. response:	Thank you very much.
context: Sakai Wakana, introduce herself.\You should've warned me!\Sakai-san, please stand.\Go on.\Do I have to?\Hurry up.\You can do it!\Jeez... What should I say? response:	Fight!
context: You should've warned me!\Sakai-san, please stand.\Go on.\Do I have to?\Hurry up.\You can do it!\Jeez... What should I say?\Fight! response:	Um...
context: Sakai-san, please stand.\Go on.\Do I have to?\Hurry up.\You can do it!\Jeez... What should I say?\Fight!\Um... response:	I've decided to actually take part in the choir club's activities.
context: Go on.\Do I have to?\Hurry up.\You can do it!\Jeez... What should I say?\Fight!\Um...\I've decided to actually take part in the choir club's activities. response:	My name is Sakai Wakana.
context: Do I have to?\Hurry up.\You can do it!\Jeez... What should I say?\Fight!\Um...\I've decided to actually take part in the choir club's activities.\My name is Sakai Wakana. response:	I know I haven't been participating,
context: Hurry up.\You can do it!\Jeez... What should I say?\Fight!\Um...\I've decided to actually take part in the choir club's activities.\My name is Sakai Wakana.\I know I haven't been participating, response:	and my attitude could've been better,
context: You can do it!\Jeez... What should I say?\Fight!\Um...\I've decided to actually take part in the choir club's activities.\My name is Sakai Wakana.\I know I haven't been participating,\and my attitude could've been better, response:	so I would like to apologize
context: Jeez... What should I say?\Fight!\Um...\I've decided to actually take part in the choir club's activities.\My name is Sakai Wakana.\I know I haven't been participating,\and my attitude could've been better,\so I would like to apologize response:	Let's cut off the formal intros right there.
context: Fight!\Um...\I've decided to actually take part in the choir club's activities.\My name is Sakai Wakana.\I know I haven't been participating,\and my attitude could've been better,\so I would like to apologize\Let's cut off the formal intros right there. response:	Stop it, Wakana!
context: Um...\I've decided to actually take part in the choir club's activities.\My name is Sakai Wakana.\I know I haven't been participating,\and my attitude could've been better,\so I would like to apologize\Let's cut off the formal intros right there.\Stop it, Wakana! response:	Okay, let's talk about the White Festival.
context: I've decided to actually take part in the choir club's activities.\My name is Sakai Wakana.\I know I haven't been participating,\and my attitude could've been better,\so I would like to apologize\Let's cut off the formal intros right there.\Stop it, Wakana!\Okay, let's talk about the White Festival. response:	Question!
context: My name is Sakai Wakana.\I know I haven't been participating,\and my attitude could've been better,\so I would like to apologize\Let's cut off the formal intros right there.\Stop it, Wakana!\Okay, let's talk about the White Festival.\Question! response:	Yes, Wien-kun.
context: I know I haven't been participating,\and my attitude could've been better,\so I would like to apologize\Let's cut off the formal intros right there.\Stop it, Wakana!\Okay, let's talk about the White Festival.\Question!\Yes, Wien-kun. response:	What is the White Festival?
context: and my attitude could've been better,\so I would like to apologize\Let's cut off the formal intros right there.\Stop it, Wakana!\Okay, let's talk about the White Festival.\Question!\Yes, Wien-kun.\What is the White Festival? response:	We have to start there?
context: so I would like to apologize\Let's cut off the formal intros right there.\Stop it, Wakana!\Okay, let's talk about the White Festival.\Question!\Yes, Wien-kun.\What is the White Festival?\We have to start there? response:	It's a white rhinoceros.
context: Let's cut off the formal intros right there.\Stop it, Wakana!\Okay, let's talk about the White Festival.\Question!\Yes, Wien-kun.\What is the White Festival?\We have to start there?\It's a white rhinoceros. response:	It's the culture fair.
context: Stop it, Wakana!\Okay, let's talk about the White Festival.\Question!\Yes, Wien-kun.\What is the White Festival?\We have to start there?\It's a white rhinoceros.\It's the culture fair. response:	Huh?
context: Okay, let's talk about the White Festival.\Question!\Yes, Wien-kun.\What is the White Festival?\We have to start there?\It's a white rhinoceros.\It's the culture fair.\Huh? response:	It's a white rhinoceros.
context: Question!\Yes, Wien-kun.\What is the White Festival?\We have to start there?\It's a white rhinoceros.\It's the culture fair.\Huh?\It's a white rhinoceros. response:	You mean, with the horn?
context: Yes, Wien-kun.\What is the White Festival?\We have to start there?\It's a white rhinoceros.\It's the culture fair.\Huh?\It's a white rhinoceros.\You mean, with the horn? response:	That's right.
context: What is the White Festival?\We have to start there?\It's a white rhinoceros.\It's the culture fair.\Huh?\It's a white rhinoceros.\You mean, with the horn?\That's right. response:	Didn't you know there's a white rhino under the gym?
context: We have to start there?\It's a white rhinoceros.\It's the culture fair.\Huh?\It's a white rhinoceros.\You mean, with the horn?\That's right.\Didn't you know there's a white rhino under the gym? response:	There is?!
context: It's a white rhinoceros.\It's the culture fair.\Huh?\It's a white rhinoceros.\You mean, with the horn?\That's right.\Didn't you know there's a white rhino under the gym?\There is?! response:	Did you know?
context: It's the culture fair.\Huh?\It's a white rhinoceros.\You mean, with the horn?\That's right.\Didn't you know there's a white rhino under the gym?\There is?!\Did you know? response:	Of course.
context: Huh?\It's a white rhinoceros.\You mean, with the horn?\That's right.\Didn't you know there's a white rhino under the gym?\There is?!\Did you know?\Of course. response:	They let it out once a year for a festival and parade, where it sings and dances!
context: It's a white rhinoceros.\You mean, with the horn?\That's right.\Didn't you know there's a white rhino under the gym?\There is?!\Did you know?\Of course.\They let it out once a year for a festival and parade, where it sings and dances! response:	Makes sense.
context: You mean, with the horn?\That's right.\Didn't you know there's a white rhino under the gym?\There is?!\Did you know?\Of course.\They let it out once a year for a festival and parade, where it sings and dances!\Makes sense. response:	It'd be pretty mean to keep it locked up.
context: That's right.\Didn't you know there's a white rhino under the gym?\There is?!\Did you know?\Of course.\They let it out once a year for a festival and parade, where it sings and dances!\Makes sense.\It'd be pretty mean to keep it locked up. response:	Today, we'll discuss what our club will do for the fair,
context: Didn't you know there's a white rhino under the gym?\There is?!\Did you know?\Of course.\They let it out once a year for a festival and parade, where it sings and dances!\Makes sense.\It'd be pretty mean to keep it locked up.\Today, we'll discuss what our club will do for the fair, response:	so give me all your ideas.
context: There is?!\Did you know?\Of course.\They let it out once a year for a festival and parade, where it sings and dances!\Makes sense.\It'd be pretty mean to keep it locked up.\Today, we'll discuss what our club will do for the fair,\so give me all your ideas. response:	Okay.
context: Did you know?\Of course.\They let it out once a year for a festival and parade, where it sings and dances!\Makes sense.\It'd be pretty mean to keep it locked up.\Today, we'll discuss what our club will do for the fair,\so give me all your ideas.\Okay. response:	Girls are scary.
context: Of course.\They let it out once a year for a festival and parade, where it sings and dances!\Makes sense.\It'd be pretty mean to keep it locked up.\Today, we'll discuss what our club will do for the fair,\so give me all your ideas.\Okay.\Girls are scary. response:	Hello.
context: They let it out once a year for a festival and parade, where it sings and dances!\Makes sense.\It'd be pretty mean to keep it locked up.\Today, we'll discuss what our club will do for the fair,\so give me all your ideas.\Okay.\Girls are scary.\Hello. response:	Thank you.
context: Makes sense.\It'd be pretty mean to keep it locked up.\Today, we'll discuss what our club will do for the fair,\so give me all your ideas.\Okay.\Girls are scary.\Hello.\Thank you. response:	Horsemanship Class
context: It'd be pretty mean to keep it locked up.\Today, we'll discuss what our club will do for the fair,\so give me all your ideas.\Okay.\Girls are scary.\Hello.\Thank you.\Horsemanship Class response:	Badminton Class
context: Today, we'll discuss what our club will do for the fair,\so give me all your ideas.\Okay.\Girls are scary.\Hello.\Thank you.\Horsemanship Class\Badminton Class response:	Cat Cafe
context: so give me all your ideas.\Okay.\Girls are scary.\Hello.\Thank you.\Horsemanship Class\Badminton Class\Cat Cafe response:	Hero Show
context: Okay.\Girls are scary.\Hello.\Thank you.\Horsemanship Class\Badminton Class\Cat Cafe\Hero Show response:	Competitive Eating
context: Girls are scary.\Hello.\Thank you.\Horsemanship Class\Badminton Class\Cat Cafe\Hero Show\Competitive Eating response:	No, no, and no!
context: Hello.\Thank you.\Horsemanship Class\Badminton Class\Cat Cafe\Hero Show\Competitive Eating\No, no, and no! response:	These don't have anything to do with singing!
context: Thank you.\Horsemanship Class\Badminton Class\Cat Cafe\Hero Show\Competitive Eating\No, no, and no!\These don't have anything to do with singing! response:	We could do singing lessons on horseback?
context: Horsemanship Class\Badminton Class\Cat Cafe\Hero Show\Competitive Eating\No, no, and no!\These don't have anything to do with singing!\We could do singing lessons on horseback? response:	Singing badminton?
context: Badminton Class\Cat Cafe\Hero Show\Competitive Eating\No, no, and no!\These don't have anything to do with singing!\We could do singing lessons on horseback?\Singing badminton? response:	An exciting super hero show?
context: Cat Cafe\Hero Show\Competitive Eating\No, no, and no!\These don't have anything to do with singing!\We could do singing lessons on horseback?\Singing badminton?\An exciting super hero show? response:	Singing cat cafe?
context: Hero Show\Competitive Eating\No, no, and no!\These don't have anything to do with singing!\We could do singing lessons on horseback?\Singing badminton?\An exciting super hero show?\Singing cat cafe? response:	Singing eating contest?
context: Competitive Eating\No, no, and no!\These don't have anything to do with singing!\We could do singing lessons on horseback?\Singing badminton?\An exciting super hero show?\Singing cat cafe?\Singing eating contest? response:	No!
context: No, no, and no!\These don't have anything to do with singing!\We could do singing lessons on horseback?\Singing badminton?\An exciting super hero show?\Singing cat cafe?\Singing eating contest?\No! response:	We'll sing on stage, in the gym.
context: These don't have anything to do with singing!\We could do singing lessons on horseback?\Singing badminton?\An exciting super hero show?\Singing cat cafe?\Singing eating contest?\No!\We'll sing on stage, in the gym. response:	It'll be packed with visitors!
context: We could do singing lessons on horseback?\Singing badminton?\An exciting super hero show?\Singing cat cafe?\Singing eating contest?\No!\We'll sing on stage, in the gym.\It'll be packed with visitors! response:	This is our first and final chance to shine!
context: Singing badminton?\An exciting super hero show?\Singing cat cafe?\Singing eating contest?\No!\We'll sing on stage, in the gym.\It'll be packed with visitors!\This is our first and final chance to shine! response:	Will the rhino be there?
context: An exciting super hero show?\Singing cat cafe?\Singing eating contest?\No!\We'll sing on stage, in the gym.\It'll be packed with visitors!\This is our first and final chance to shine!\Will the rhino be there? response:	Get over the rhino.
context: Singing cat cafe?\Singing eating contest?\No!\We'll sing on stage, in the gym.\It'll be packed with visitors!\This is our first and final chance to shine!\Will the rhino be there?\Get over the rhino. response:	We can't just do a normal choir piece?
context: Singing eating contest?\No!\We'll sing on stage, in the gym.\It'll be packed with visitors!\This is our first and final chance to shine!\Will the rhino be there?\Get over the rhino.\We can't just do a normal choir piece? response:	But then we'll be upstaged by the other choir.
context: No!\We'll sing on stage, in the gym.\It'll be packed with visitors!\This is our first and final chance to shine!\Will the rhino be there?\Get over the rhino.\We can't just do a normal choir piece?\But then we'll be upstaged by the other choir. response:	The bigger group will be more impressive.
context: We'll sing on stage, in the gym.\It'll be packed with visitors!\This is our first and final chance to shine!\Will the rhino be there?\Get over the rhino.\We can't just do a normal choir piece?\But then we'll be upstaged by the other choir.\The bigger group will be more impressive. response:	I don't want the vice principal to win...
context: It'll be packed with visitors!\This is our first and final chance to shine!\Will the rhino be there?\Get over the rhino.\We can't just do a normal choir piece?\But then we'll be upstaged by the other choir.\The bigger group will be more impressive.\I don't want the vice principal to win... response:	What about an opera?
context: This is our first and final chance to shine!\Will the rhino be there?\Get over the rhino.\We can't just do a normal choir piece?\But then we'll be upstaged by the other choir.\The bigger group will be more impressive.\I don't want the vice principal to win...\What about an opera? response:	I like!
context: Will the rhino be there?\Get over the rhino.\We can't just do a normal choir piece?\But then we'll be upstaged by the other choir.\The bigger group will be more impressive.\I don't want the vice principal to win...\What about an opera?\I like! response:	With five people?
context: Get over the rhino.\We can't just do a normal choir piece?\But then we'll be upstaged by the other choir.\The bigger group will be more impressive.\I don't want the vice principal to win...\What about an opera?\I like!\With five people? response:	Plus, we can barely manage traditional songs.
context: We can't just do a normal choir piece?\But then we'll be upstaged by the other choir.\The bigger group will be more impressive.\I don't want the vice principal to win...\What about an opera?\I like!\With five people?\Plus, we can barely manage traditional songs. response:	Opera is way out of our league.
context: But then we'll be upstaged by the other choir.\The bigger group will be more impressive.\I don't want the vice principal to win...\What about an opera?\I like!\With five people?\Plus, we can barely manage traditional songs.\Opera is way out of our league. response:	Yeah, I guess so.
context: The bigger group will be more impressive.\I don't want the vice principal to win...\What about an opera?\I like!\With five people?\Plus, we can barely manage traditional songs.\Opera is way out of our league.\Yeah, I guess so. response:	It's not a competition. What matters is that we sing our own song.
context: I don't want the vice principal to win...\What about an opera?\I like!\With five people?\Plus, we can barely manage traditional songs.\Opera is way out of our league.\Yeah, I guess so.\It's not a competition. What matters is that we sing our own song. response:	Wow.
context: What about an opera?\I like!\With five people?\Plus, we can barely manage traditional songs.\Opera is way out of our league.\Yeah, I guess so.\It's not a competition. What matters is that we sing our own song.\Wow. response:	Cool!
context: I like!\With five people?\Plus, we can barely manage traditional songs.\Opera is way out of our league.\Yeah, I guess so.\It's not a competition. What matters is that we sing our own song.\Wow.\Cool! response:	What the hell?
context: With five people?\Plus, we can barely manage traditional songs.\Opera is way out of our league.\Yeah, I guess so.\It's not a competition. What matters is that we sing our own song.\Wow.\Cool!\What the hell? response:	I'm right, aren't I?
context: Plus, we can barely manage traditional songs.\Opera is way out of our league.\Yeah, I guess so.\It's not a competition. What matters is that we sing our own song.\Wow.\Cool!\What the hell?\I'm right, aren't I? response:	Yeah, that is the bottom line.
context: Opera is way out of our league.\Yeah, I guess so.\It's not a competition. What matters is that we sing our own song.\Wow.\Cool!\What the hell?\I'm right, aren't I?\Yeah, that is the bottom line. response:	Yeah.
context: Yeah, I guess so.\It's not a competition. What matters is that we sing our own song.\Wow.\Cool!\What the hell?\I'm right, aren't I?\Yeah, that is the bottom line.\Yeah. response:	All right!
context: It's not a competition. What matters is that we sing our own song.\Wow.\Cool!\What the hell?\I'm right, aren't I?\Yeah, that is the bottom line.\Yeah.\All right! response:	Let's show the vice principal and her choir!
context: Wow.\Cool!\What the hell?\I'm right, aren't I?\Yeah, that is the bottom line.\Yeah.\All right!\Let's show the vice principal and her choir! response:	Move.
context: Cool!\What the hell?\I'm right, aren't I?\Yeah, that is the bottom line.\Yeah.\All right!\Let's show the vice principal and her choir!\Move. response:	Sure.
context: What the hell?\I'm right, aren't I?\Yeah, that is the bottom line.\Yeah.\All right!\Let's show the vice principal and her choir!\Move.\Sure. response:	Your friends?
context: I'm right, aren't I?\Yeah, that is the bottom line.\Yeah.\All right!\Let's show the vice principal and her choir!\Move.\Sure.\Your friends? response:	Yeah. Ueno-san's in the other choir club.
context: Yeah, that is the bottom line.\Yeah.\All right!\Let's show the vice principal and her choir!\Move.\Sure.\Your friends?\Yeah. Ueno-san's in the other choir club. response:	Isn't this one too easy?
context: Yeah.\All right!\Let's show the vice principal and her choir!\Move.\Sure.\Your friends?\Yeah. Ueno-san's in the other choir club.\Isn't this one too easy? response:	And Hirohata-san's the president.
context: All right!\Let's show the vice principal and her choir!\Move.\Sure.\Your friends?\Yeah. Ueno-san's in the other choir club.\Isn't this one too easy?\And Hirohata-san's the president. response:	Yes, but let's take it.
context: Let's show the vice principal and her choir!\Move.\Sure.\Your friends?\Yeah. Ueno-san's in the other choir club.\Isn't this one too easy?\And Hirohata-san's the president.\Yes, but let's take it. response:	I see you've found some friends to goof off with. Congrats.
context: Move.\Sure.\Your friends?\Yeah. Ueno-san's in the other choir club.\Isn't this one too easy?\And Hirohata-san's the president.\Yes, but let's take it.\I see you've found some friends to goof off with. Congrats. response:	Huh?
context: Sure.\Your friends?\Yeah. Ueno-san's in the other choir club.\Isn't this one too easy?\And Hirohata-san's the president.\Yes, but let's take it.\I see you've found some friends to goof off with. Congrats.\Huh? response:	You know, most people in our choir
context: Your friends?\Yeah. Ueno-san's in the other choir club.\Isn't this one too easy?\And Hirohata-san's the president.\Yes, but let's take it.\I see you've found some friends to goof off with. Congrats.\Huh?\You know, most people in our choir response:	are seriously thinking about their futures.
context: Yeah. Ueno-san's in the other choir club.\Isn't this one too easy?\And Hirohata-san's the president.\Yes, but let's take it.\I see you've found some friends to goof off with. Congrats.\Huh?\You know, most people in our choir\are seriously thinking about their futures. response:	I hope you don't mess things up for us.
context: Isn't this one too easy?\And Hirohata-san's the president.\Yes, but let's take it.\I see you've found some friends to goof off with. Congrats.\Huh?\You know, most people in our choir\are seriously thinking about their futures.\I hope you don't mess things up for us. response:	Ciao, strepitoso.
context: And Hirohata-san's the president.\Yes, but let's take it.\I see you've found some friends to goof off with. Congrats.\Huh?\You know, most people in our choir\are seriously thinking about their futures.\I hope you don't mess things up for us.\Ciao, strepitoso. response:	Ciao!
context: Yes, but let's take it.\I see you've found some friends to goof off with. Congrats.\Huh?\You know, most people in our choir\are seriously thinking about their futures.\I hope you don't mess things up for us.\Ciao, strepitoso.\Ciao! response:	Strepitoso?
context: I see you've found some friends to goof off with. Congrats.\Huh?\You know, most people in our choir\are seriously thinking about their futures.\I hope you don't mess things up for us.\Ciao, strepitoso.\Ciao!\Strepitoso? response:	It means noisy.
context: Huh?\You know, most people in our choir\are seriously thinking about their futures.\I hope you don't mess things up for us.\Ciao, strepitoso.\Ciao!\Strepitoso?\It means noisy. response:	Strepitoso is a musical term meaning noisy or boisterous.
context: You know, most people in our choir\are seriously thinking about their futures.\I hope you don't mess things up for us.\Ciao, strepitoso.\Ciao!\Strepitoso?\It means noisy.\Strepitoso is a musical term meaning noisy or boisterous. response:	Works for me!
context: are seriously thinking about their futures.\I hope you don't mess things up for us.\Ciao, strepitoso.\Ciao!\Strepitoso?\It means noisy.\Strepitoso is a musical term meaning noisy or boisterous.\Works for me! response:	I really don't want them to upstage us.
context: I hope you don't mess things up for us.\Ciao, strepitoso.\Ciao!\Strepitoso?\It means noisy.\Strepitoso is a musical term meaning noisy or boisterous.\Works for me!\I really don't want them to upstage us. response:	I'm off to the student council room.
context: Ciao, strepitoso.\Ciao!\Strepitoso?\It means noisy.\Strepitoso is a musical term meaning noisy or boisterous.\Works for me!\I really don't want them to upstage us.\I'm off to the student council room. response:	God speed to you, my people.
context: Ciao!\Strepitoso?\It means noisy.\Strepitoso is a musical term meaning noisy or boisterous.\Works for me!\I really don't want them to upstage us.\I'm off to the student council room.\God speed to you, my people. response:	I've got mounted archery practice,
context: Strepitoso?\It means noisy.\Strepitoso is a musical term meaning noisy or boisterous.\Works for me!\I really don't want them to upstage us.\I'm off to the student council room.\God speed to you, my people.\I've got mounted archery practice, response:	so I need to take off.
context: It means noisy.\Strepitoso is a musical term meaning noisy or boisterous.\Works for me!\I really don't want them to upstage us.\I'm off to the student council room.\God speed to you, my people.\I've got mounted archery practice,\so I need to take off. response:	My cram school classes start today.
context: Strepitoso is a musical term meaning noisy or boisterous.\Works for me!\I really don't want them to upstage us.\I'm off to the student council room.\God speed to you, my people.\I've got mounted archery practice,\so I need to take off.\My cram school classes start today. response:	Cram school?
context: Works for me!\I really don't want them to upstage us.\I'm off to the student council room.\God speed to you, my people.\I've got mounted archery practice,\so I need to take off.\My cram school classes start today.\Cram school? response:	I'm prepping for entrance exams.
context: I really don't want them to upstage us.\I'm off to the student council room.\God speed to you, my people.\I've got mounted archery practice,\so I need to take off.\My cram school classes start today.\Cram school?\I'm prepping for entrance exams. response:	I thought you had an athletic scholarship.
context: I'm off to the student council room.\God speed to you, my people.\I've got mounted archery practice,\so I need to take off.\My cram school classes start today.\Cram school?\I'm prepping for entrance exams.\I thought you had an athletic scholarship. response:	I do, but I can't count on that.
context: God speed to you, my people.\I've got mounted archery practice,\so I need to take off.\My cram school classes start today.\Cram school?\I'm prepping for entrance exams.\I thought you had an athletic scholarship.\I do, but I can't count on that. response:	If I fail my entrance exams, I can't play badminton.
context: I've got mounted archery practice,\so I need to take off.\My cram school classes start today.\Cram school?\I'm prepping for entrance exams.\I thought you had an athletic scholarship.\I do, but I can't count on that.\If I fail my entrance exams, I can't play badminton. response:	See ya around.
context: so I need to take off.\My cram school classes start today.\Cram school?\I'm prepping for entrance exams.\I thought you had an athletic scholarship.\I do, but I can't count on that.\If I fail my entrance exams, I can't play badminton.\See ya around. response:	Bye.
context: My cram school classes start today.\Cram school?\I'm prepping for entrance exams.\I thought you had an athletic scholarship.\I do, but I can't count on that.\If I fail my entrance exams, I can't play badminton.\See ya around.\Bye. response:	I guess everyone's thinking about the future.
context: Cram school?\I'm prepping for entrance exams.\I thought you had an athletic scholarship.\I do, but I can't count on that.\If I fail my entrance exams, I can't play badminton.\See ya around.\Bye.\I guess everyone's thinking about the future. response:	What will you do?
context: I'm prepping for entrance exams.\I thought you had an athletic scholarship.\I do, but I can't count on that.\If I fail my entrance exams, I can't play badminton.\See ya around.\Bye.\I guess everyone's thinking about the future.\What will you do? response:	I don't know yet.
context: I thought you had an athletic scholarship.\I do, but I can't count on that.\If I fail my entrance exams, I can't play badminton.\See ya around.\Bye.\I guess everyone's thinking about the future.\What will you do?\I don't know yet. response:	I guess we have that in common.
context: I do, but I can't count on that.\If I fail my entrance exams, I can't play badminton.\See ya around.\Bye.\I guess everyone's thinking about the future.\What will you do?\I don't know yet.\I guess we have that in common. response:	There's something I'm determined to create right now,
context: If I fail my entrance exams, I can't play badminton.\See ya around.\Bye.\I guess everyone's thinking about the future.\What will you do?\I don't know yet.\I guess we have that in common.\There's something I'm determined to create right now, response:	so I'm focusing on that first.
context: See ya around.\Bye.\I guess everyone's thinking about the future.\What will you do?\I don't know yet.\I guess we have that in common.\There's something I'm determined to create right now,\so I'm focusing on that first. response:	I need to hit the library.
context: Bye.\I guess everyone's thinking about the future.\What will you do?\I don't know yet.\I guess we have that in common.\There's something I'm determined to create right now,\so I'm focusing on that first.\I need to hit the library. response:	Later.
context: I guess everyone's thinking about the future.\What will you do?\I don't know yet.\I guess we have that in common.\There's something I'm determined to create right now,\so I'm focusing on that first.\I need to hit the library.\Later. response:	Uh, yeah.
context: What will you do?\I don't know yet.\I guess we have that in common.\There's something I'm determined to create right now,\so I'm focusing on that first.\I need to hit the library.\Later.\Uh, yeah. response:	Excuse me.
context: I don't know yet.\I guess we have that in common.\There's something I'm determined to create right now,\so I'm focusing on that first.\I need to hit the library.\Later.\Uh, yeah.\Excuse me. response:	Oh, Makoto.
context: I guess we have that in common.\There's something I'm determined to create right now,\so I'm focusing on that first.\I need to hit the library.\Later.\Uh, yeah.\Excuse me.\Oh, Makoto. response:	What have we here, a dirty book?
context: There's something I'm determined to create right now,\so I'm focusing on that first.\I need to hit the library.\Later.\Uh, yeah.\Excuse me.\Oh, Makoto.\What have we here, a dirty book? response:	I'd like to reserve the main stage for the culture fair.
context: so I'm focusing on that first.\I need to hit the library.\Later.\Uh, yeah.\Excuse me.\Oh, Makoto.\What have we here, a dirty book?\I'd like to reserve the main stage for the culture fair. response:	Mr. Assistant Secretary sure
context: I need to hit the library.\Later.\Uh, yeah.\Excuse me.\Oh, Makoto.\What have we here, a dirty book?\I'd like to reserve the main stage for the culture fair.\Mr. Assistant Secretary sure response:	has a lot of time on his hands.
context: Later.\Uh, yeah.\Excuse me.\Oh, Makoto.\What have we here, a dirty book?\I'd like to reserve the main stage for the culture fair.\Mr. Assistant Secretary sure\has a lot of time on his hands. response:	Here.
context: Uh, yeah.\Excuse me.\Oh, Makoto.\What have we here, a dirty book?\I'd like to reserve the main stage for the culture fair.\Mr. Assistant Secretary sure\has a lot of time on his hands.\Here. response:	Fill out your application, then get lost.
context: Excuse me.\Oh, Makoto.\What have we here, a dirty book?\I'd like to reserve the main stage for the culture fair.\Mr. Assistant Secretary sure\has a lot of time on his hands.\Here.\Fill out your application, then get lost. response:	Yes, sir!
context: Oh, Makoto.\What have we here, a dirty book?\I'd like to reserve the main stage for the culture fair.\Mr. Assistant Secretary sure\has a lot of time on his hands.\Here.\Fill out your application, then get lost.\Yes, sir! response:	Our performance will consist of singing and dancing.
context: What have we here, a dirty book?\I'd like to reserve the main stage for the culture fair.\Mr. Assistant Secretary sure\has a lot of time on his hands.\Here.\Fill out your application, then get lost.\Yes, sir!\Our performance will consist of singing and dancing. response:	Guess that's good enough for now.
context: I'd like to reserve the main stage for the culture fair.\Mr. Assistant Secretary sure\has a lot of time on his hands.\Here.\Fill out your application, then get lost.\Yes, sir!\Our performance will consist of singing and dancing.\Guess that's good enough for now. response:	Do you honestly think that'll pass?
context: Mr. Assistant Secretary sure\has a lot of time on his hands.\Here.\Fill out your application, then get lost.\Yes, sir!\Our performance will consist of singing and dancing.\Guess that's good enough for now.\Do you honestly think that'll pass? response:	Huh?
context: has a lot of time on his hands.\Here.\Fill out your application, then get lost.\Yes, sir!\Our performance will consist of singing and dancing.\Guess that's good enough for now.\Do you honestly think that'll pass?\Huh? response:	Why wouldn't it?
context: Here.\Fill out your application, then get lost.\Yes, sir!\Our performance will consist of singing and dancing.\Guess that's good enough for now.\Do you honestly think that'll pass?\Huh?\Why wouldn't it? response:	There's a selection process because of all the
context: Fill out your application, then get lost.\Yes, sir!\Our performance will consist of singing and dancing.\Guess that's good enough for now.\Do you honestly think that'll pass?\Huh?\Why wouldn't it?\There's a selection process because of all the response:	individual and group applications that come in every year.
context: Yes, sir!\Our performance will consist of singing and dancing.\Guess that's good enough for now.\Do you honestly think that'll pass?\Huh?\Why wouldn't it?\There's a selection process because of all the\individual and group applications that come in every year. response:	That doesn't apply to official clubs though, right?
