context: Say, Nana Komatsu. response:	We used to spend so much time together,
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\Long time no see. I wonder what customers we'll have today.\Wow! I've wanted to come here for so long! Junko's room!\Um, who are you?\Why is a guy with a bigger role here?!\Could it possibly be, you're here because... response:	- Naoki, is your role in jeopardy?! - Naoki, is your role in jeopardy?!
context: This sky is torn\By a single overflowing word\Long time no see. I wonder what customers we'll have today.\Wow! I've wanted to come here for so long! Junko's room!\Um, who are you?\Why is a guy with a bigger role here?!\Could it possibly be, you're here because...\- Naoki, is your role in jeopardy?! - Naoki, is your role in jeopardy?! response:	Papa-rakkyo!
context: By a single overflowing word\Long time no see. I wonder what customers we'll have today.\Wow! I've wanted to come here for so long! Junko's room!\Um, who are you?\Why is a guy with a bigger role here?!\Could it possibly be, you're here because...\- Naoki, is your role in jeopardy?! - Naoki, is your role in jeopardy?!\Papa-rakkyo! response:	Oh, don't worry about this.
context: Long time no see. I wonder what customers we'll have today.\Wow! I've wanted to come here for so long! Junko's room!\Um, who are you?\Why is a guy with a bigger role here?!\Could it possibly be, you're here because...\- Naoki, is your role in jeopardy?! - Naoki, is your role in jeopardy?!\Papa-rakkyo!\Oh, don't worry about this. response:	He's like a zashiki warashi or jizo statue of Junko's room.
context: Wow! I've wanted to come here for so long! Junko's room!\Um, who are you?\Why is a guy with a bigger role here?!\Could it possibly be, you're here because...\- Naoki, is your role in jeopardy?! - Naoki, is your role in jeopardy?!\Papa-rakkyo!\Oh, don't worry about this.\He's like a zashiki warashi or jizo statue of Junko's room. response:	Really?
context: Um, who are you?\Why is a guy with a bigger role here?!\Could it possibly be, you're here because...\- Naoki, is your role in jeopardy?! - Naoki, is your role in jeopardy?!\Papa-rakkyo!\Oh, don't worry about this.\He's like a zashiki warashi or jizo statue of Junko's room.\Really? response:	Who are you calling a jizo statue?!
context: Why is a guy with a bigger role here?!\Could it possibly be, you're here because...\- Naoki, is your role in jeopardy?! - Naoki, is your role in jeopardy?!\Papa-rakkyo!\Oh, don't worry about this.\He's like a zashiki warashi or jizo statue of Junko's room.\Really?\Who are you calling a jizo statue?! response:	You know, I'm being treated terribly lately.
context: Could it possibly be, you're here because...\- Naoki, is your role in jeopardy?! - Naoki, is your role in jeopardy?!\Papa-rakkyo!\Oh, don't worry about this.\He's like a zashiki warashi or jizo statue of Junko's room.\Really?\Who are you calling a jizo statue?!\You know, I'm being treated terribly lately. response:	In the last Junko's room, I was here...
context: - Naoki, is your role in jeopardy?! - Naoki, is your role in jeopardy?!\Papa-rakkyo!\Oh, don't worry about this.\He's like a zashiki warashi or jizo statue of Junko's room.\Really?\Who are you calling a jizo statue?!\You know, I'm being treated terribly lately.\In the last Junko's room, I was here... response:	- By the way, isn't Hachiko here today? - but didn't have a single line.
context: Papa-rakkyo!\Oh, don't worry about this.\He's like a zashiki warashi or jizo statue of Junko's room.\Really?\Who are you calling a jizo statue?!\You know, I'm being treated terribly lately.\In the last Junko's room, I was here...\- By the way, isn't Hachiko here today? - but didn't have a single line. response:	By Hachiko, do you mean Nana Komatsu?
context: Oh, don't worry about this.\He's like a zashiki warashi or jizo statue of Junko's room.\Really?\Who are you calling a jizo statue?!\You know, I'm being treated terribly lately.\In the last Junko's room, I was here...\- By the way, isn't Hachiko here today? - but didn't have a single line.\By Hachiko, do you mean Nana Komatsu? response:	Yeah. I hear she's quite something.
context: He's like a zashiki warashi or jizo statue of Junko's room.\Really?\Who are you calling a jizo statue?!\You know, I'm being treated terribly lately.\In the last Junko's room, I was here...\- By the way, isn't Hachiko here today? - but didn't have a single line.\By Hachiko, do you mean Nana Komatsu?\Yeah. I hear she's quite something. response:	She's not only a great strategist, but she's a great cook and great in bed.
context: Really?\Who are you calling a jizo statue?!\You know, I'm being treated terribly lately.\In the last Junko's room, I was here...\- By the way, isn't Hachiko here today? - but didn't have a single line.\By Hachiko, do you mean Nana Komatsu?\Yeah. I hear she's quite something.\She's not only a great strategist, but she's a great cook and great in bed. response:	In addition, she thinks of Takumi and Takumi only.
context: Who are you calling a jizo statue?!\You know, I'm being treated terribly lately.\In the last Junko's room, I was here...\- By the way, isn't Hachiko here today? - but didn't have a single line.\By Hachiko, do you mean Nana Komatsu?\Yeah. I hear she's quite something.\She's not only a great strategist, but she's a great cook and great in bed.\In addition, she thinks of Takumi and Takumi only. response:	- Um... - I wonder about that.
context: You know, I'm being treated terribly lately.\In the last Junko's room, I was here...\- By the way, isn't Hachiko here today? - but didn't have a single line.\By Hachiko, do you mean Nana Komatsu?\Yeah. I hear she's quite something.\She's not only a great strategist, but she's a great cook and great in bed.\In addition, she thinks of Takumi and Takumi only.\- Um... - I wonder about that. response:	Huh?
context: In the last Junko's room, I was here...\- By the way, isn't Hachiko here today? - but didn't have a single line.\By Hachiko, do you mean Nana Komatsu?\Yeah. I hear she's quite something.\She's not only a great strategist, but she's a great cook and great in bed.\In addition, she thinks of Takumi and Takumi only.\- Um... - I wonder about that.\Huh? response:	Why don't we watch the video?
context: - By the way, isn't Hachiko here today? - but didn't have a single line.\By Hachiko, do you mean Nana Komatsu?\Yeah. I hear she's quite something.\She's not only a great strategist, but she's a great cook and great in bed.\In addition, she thinks of Takumi and Takumi only.\- Um... - I wonder about that.\Huh?\Why don't we watch the video? response:	Hey, Hachi...
context: By Hachiko, do you mean Nana Komatsu?\Yeah. I hear she's quite something.\She's not only a great strategist, but she's a great cook and great in bed.\In addition, she thinks of Takumi and Takumi only.\- Um... - I wonder about that.\Huh?\Why don't we watch the video?\Hey, Hachi... response:	That Takumi is so annoying. Hachi is our pet.
context: Yeah. I hear she's quite something.\She's not only a great strategist, but she's a great cook and great in bed.\In addition, she thinks of Takumi and Takumi only.\- Um... - I wonder about that.\Huh?\Why don't we watch the video?\Hey, Hachi...\That Takumi is so annoying. Hachi is our pet. response:	Don't talk of her like she's a dog.
context: She's not only a great strategist, but she's a great cook and great in bed.\In addition, she thinks of Takumi and Takumi only.\- Um... - I wonder about that.\Huh?\Why don't we watch the video?\Hey, Hachi...\That Takumi is so annoying. Hachi is our pet.\Don't talk of her like she's a dog. response:	But doesn't it piss you off? Get her back, Nobu.
context: In addition, she thinks of Takumi and Takumi only.\- Um... - I wonder about that.\Huh?\Why don't we watch the video?\Hey, Hachi...\That Takumi is so annoying. Hachi is our pet.\Don't talk of her like she's a dog.\But doesn't it piss you off? Get her back, Nobu. response:	You like Hachi, don't you?
context: - Um... - I wonder about that.\Huh?\Why don't we watch the video?\Hey, Hachi...\That Takumi is so annoying. Hachi is our pet.\Don't talk of her like she's a dog.\But doesn't it piss you off? Get her back, Nobu.\You like Hachi, don't you? response:	It may have very well happened in the heat of the moment,
context: Huh?\Why don't we watch the video?\Hey, Hachi...\That Takumi is so annoying. Hachi is our pet.\Don't talk of her like she's a dog.\But doesn't it piss you off? Get her back, Nobu.\You like Hachi, don't you?\It may have very well happened in the heat of the moment, response:	but knowing Hachi, she may become more and more serious about him.
context: Why don't we watch the video?\Hey, Hachi...\That Takumi is so annoying. Hachi is our pet.\Don't talk of her like she's a dog.\But doesn't it piss you off? Get her back, Nobu.\You like Hachi, don't you?\It may have very well happened in the heat of the moment,\but knowing Hachi, she may become more and more serious about him. response:	But if Takumi continues treating this relationship in that manner,
context: Hey, Hachi...\That Takumi is so annoying. Hachi is our pet.\Don't talk of her like she's a dog.\But doesn't it piss you off? Get her back, Nobu.\You like Hachi, don't you?\It may have very well happened in the heat of the moment,\but knowing Hachi, she may become more and more serious about him.\But if Takumi continues treating this relationship in that manner, response:	Hachi is obviously gonna get hurt.
context: That Takumi is so annoying. Hachi is our pet.\Don't talk of her like she's a dog.\But doesn't it piss you off? Get her back, Nobu.\You like Hachi, don't you?\It may have very well happened in the heat of the moment,\but knowing Hachi, she may become more and more serious about him.\But if Takumi continues treating this relationship in that manner,\Hachi is obviously gonna get hurt. response:	Are you okay with that, Nobu? I don't like it one bit.
context: Don't talk of her like she's a dog.\But doesn't it piss you off? Get her back, Nobu.\You like Hachi, don't you?\It may have very well happened in the heat of the moment,\but knowing Hachi, she may become more and more serious about him.\But if Takumi continues treating this relationship in that manner,\Hachi is obviously gonna get hurt.\Are you okay with that, Nobu? I don't like it one bit. response:	If you want her, go for it.
context: But doesn't it piss you off? Get her back, Nobu.\You like Hachi, don't you?\It may have very well happened in the heat of the moment,\but knowing Hachi, she may become more and more serious about him.\But if Takumi continues treating this relationship in that manner,\Hachi is obviously gonna get hurt.\Are you okay with that, Nobu? I don't like it one bit.\If you want her, go for it. response:	I'm sorry about suddenly coming over last night
context: You like Hachi, don't you?\It may have very well happened in the heat of the moment,\but knowing Hachi, she may become more and more serious about him.\But if Takumi continues treating this relationship in that manner,\Hachi is obviously gonna get hurt.\Are you okay with that, Nobu? I don't like it one bit.\If you want her, go for it.\I'm sorry about suddenly coming over last night response:	and blurting out weird nonsense.
context: It may have very well happened in the heat of the moment,\but knowing Hachi, she may become more and more serious about him.\But if Takumi continues treating this relationship in that manner,\Hachi is obviously gonna get hurt.\Are you okay with that, Nobu? I don't like it one bit.\If you want her, go for it.\I'm sorry about suddenly coming over last night\and blurting out weird nonsense. response:	So, now that I've come to see you like this again,
context: but knowing Hachi, she may become more and more serious about him.\But if Takumi continues treating this relationship in that manner,\Hachi is obviously gonna get hurt.\Are you okay with that, Nobu? I don't like it one bit.\If you want her, go for it.\I'm sorry about suddenly coming over last night\and blurting out weird nonsense.\So, now that I've come to see you like this again, response:	this time I'm gonna be direct with you.
context: But if Takumi continues treating this relationship in that manner,\Hachi is obviously gonna get hurt.\Are you okay with that, Nobu? I don't like it one bit.\If you want her, go for it.\I'm sorry about suddenly coming over last night\and blurting out weird nonsense.\So, now that I've come to see you like this again,\this time I'm gonna be direct with you. response:	I love you.
context: Hachi is obviously gonna get hurt.\Are you okay with that, Nobu? I don't like it one bit.\If you want her, go for it.\I'm sorry about suddenly coming over last night\and blurting out weird nonsense.\So, now that I've come to see you like this again,\this time I'm gonna be direct with you.\I love you. response:	I know that I'm not being fair by saying this now.
context: Are you okay with that, Nobu? I don't like it one bit.\If you want her, go for it.\I'm sorry about suddenly coming over last night\and blurting out weird nonsense.\So, now that I've come to see you like this again,\this time I'm gonna be direct with you.\I love you.\I know that I'm not being fair by saying this now. response:	Since I know about you and Takumi.
context: If you want her, go for it.\I'm sorry about suddenly coming over last night\and blurting out weird nonsense.\So, now that I've come to see you like this again,\this time I'm gonna be direct with you.\I love you.\I know that I'm not being fair by saying this now.\Since I know about you and Takumi. response:	I'm sorry. You didn't come to the studio today
context: I'm sorry about suddenly coming over last night\and blurting out weird nonsense.\So, now that I've come to see you like this again,\this time I'm gonna be direct with you.\I love you.\I know that I'm not being fair by saying this now.\Since I know about you and Takumi.\I'm sorry. You didn't come to the studio today response:	even if you wanted to because of what I said, right?
context: and blurting out weird nonsense.\So, now that I've come to see you like this again,\this time I'm gonna be direct with you.\I love you.\I know that I'm not being fair by saying this now.\Since I know about you and Takumi.\I'm sorry. You didn't come to the studio today\even if you wanted to because of what I said, right? response:	I'm sorry, that's not it! I was working today!
context: So, now that I've come to see you like this again,\this time I'm gonna be direct with you.\I love you.\I know that I'm not being fair by saying this now.\Since I know about you and Takumi.\I'm sorry. You didn't come to the studio today\even if you wanted to because of what I said, right?\I'm sorry, that's not it! I was working today! response:	I don't mind, so please drop by like you've been doing.
context: this time I'm gonna be direct with you.\I love you.\I know that I'm not being fair by saying this now.\Since I know about you and Takumi.\I'm sorry. You didn't come to the studio today\even if you wanted to because of what I said, right?\I'm sorry, that's not it! I was working today!\I don't mind, so please drop by like you've been doing. response:	Everyone feels a bit lonely without your presence, Hachi.
context: I love you.\I know that I'm not being fair by saying this now.\Since I know about you and Takumi.\I'm sorry. You didn't come to the studio today\even if you wanted to because of what I said, right?\I'm sorry, that's not it! I was working today!\I don't mind, so please drop by like you've been doing.\Everyone feels a bit lonely without your presence, Hachi. response:	Actually, it's me who gets sad.
context: I know that I'm not being fair by saying this now.\Since I know about you and Takumi.\I'm sorry. You didn't come to the studio today\even if you wanted to because of what I said, right?\I'm sorry, that's not it! I was working today!\I don't mind, so please drop by like you've been doing.\Everyone feels a bit lonely without your presence, Hachi.\Actually, it's me who gets sad. response:	Thank you.
context: Since I know about you and Takumi.\I'm sorry. You didn't come to the studio today\even if you wanted to because of what I said, right?\I'm sorry, that's not it! I was working today!\I don't mind, so please drop by like you've been doing.\Everyone feels a bit lonely without your presence, Hachi.\Actually, it's me who gets sad.\Thank you. response:	Thank goodness.
context: I'm sorry. You didn't come to the studio today\even if you wanted to because of what I said, right?\I'm sorry, that's not it! I was working today!\I don't mind, so please drop by like you've been doing.\Everyone feels a bit lonely without your presence, Hachi.\Actually, it's me who gets sad.\Thank you.\Thank goodness. response:	That's good enough for me.
context: even if you wanted to because of what I said, right?\I'm sorry, that's not it! I was working today!\I don't mind, so please drop by like you've been doing.\Everyone feels a bit lonely without your presence, Hachi.\Actually, it's me who gets sad.\Thank you.\Thank goodness.\That's good enough for me. response:	Nobu! Thank you for walking me home.
context: I'm sorry, that's not it! I was working today!\I don't mind, so please drop by like you've been doing.\Everyone feels a bit lonely without your presence, Hachi.\Actually, it's me who gets sad.\Thank you.\Thank goodness.\That's good enough for me.\Nobu! Thank you for walking me home. response:	Huh?
context: I don't mind, so please drop by like you've been doing.\Everyone feels a bit lonely without your presence, Hachi.\Actually, it's me who gets sad.\Thank you.\Thank goodness.\That's good enough for me.\Nobu! Thank you for walking me home.\Huh? response:	I'll be fine on my own from here on. I'm almost home.
context: Everyone feels a bit lonely without your presence, Hachi.\Actually, it's me who gets sad.\Thank you.\Thank goodness.\That's good enough for me.\Nobu! Thank you for walking me home.\Huh?\I'll be fine on my own from here on. I'm almost home. response:	I'm sorry for having you take a longer route home
context: Actually, it's me who gets sad.\Thank you.\Thank goodness.\That's good enough for me.\Nobu! Thank you for walking me home.\Huh?\I'll be fine on my own from here on. I'm almost home.\I'm sorry for having you take a longer route home response:	in order to walk me home every day.
context: Thank you.\Thank goodness.\That's good enough for me.\Nobu! Thank you for walking me home.\Huh?\I'll be fine on my own from here on. I'm almost home.\I'm sorry for having you take a longer route home\in order to walk me home every day. response:	No, I don't mind it.
context: Thank goodness.\That's good enough for me.\Nobu! Thank you for walking me home.\Huh?\I'll be fine on my own from here on. I'm almost home.\I'm sorry for having you take a longer route home\in order to walk me home every day.\No, I don't mind it. response:	Nana!
context: That's good enough for me.\Nobu! Thank you for walking me home.\Huh?\I'll be fine on my own from here on. I'm almost home.\I'm sorry for having you take a longer route home\in order to walk me home every day.\No, I don't mind it.\Nana! response:	Well, well. It's you.
context: Nobu! Thank you for walking me home.\Huh?\I'll be fine on my own from here on. I'm almost home.\I'm sorry for having you take a longer route home\in order to walk me home every day.\No, I don't mind it.\Nana!\Well, well. It's you. response:	Well, thank you very much for that.
context: Huh?\I'll be fine on my own from here on. I'm almost home.\I'm sorry for having you take a longer route home\in order to walk me home every day.\No, I don't mind it.\Nana!\Well, well. It's you.\Well, thank you very much for that. response:	Okay, then. Thank you, Nobu.
context: I'll be fine on my own from here on. I'm almost home.\I'm sorry for having you take a longer route home\in order to walk me home every day.\No, I don't mind it.\Nana!\Well, well. It's you.\Well, thank you very much for that.\Okay, then. Thank you, Nobu. response:	Good night.
context: I'm sorry for having you take a longer route home\in order to walk me home every day.\No, I don't mind it.\Nana!\Well, well. It's you.\Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night. response:	I can't take it anymore.
context: in order to walk me home every day.\No, I don't mind it.\Nana!\Well, well. It's you.\Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night.\I can't take it anymore. response:	What's the matter?
context: No, I don't mind it.\Nana!\Well, well. It's you.\Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night.\I can't take it anymore.\What's the matter? response:	Nothing! It's none of your business!
context: Nana!\Well, well. It's you.\Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night.\I can't take it anymore.\What's the matter?\Nothing! It's none of your business! response:	Um, sorry. Please leave me alone.
context: Well, well. It's you.\Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night.\I can't take it anymore.\What's the matter?\Nothing! It's none of your business!\Um, sorry. Please leave me alone. response:	Shin.
context: Well, thank you very much for that.\Okay, then. Thank you, Nobu.\Good night.\I can't take it anymore.\What's the matter?\Nothing! It's none of your business!\Um, sorry. Please leave me alone.\Shin. response:	A man and a woman are simply opposing creatures
context: Okay, then. Thank you, Nobu.\Good night.\I can't take it anymore.\What's the matter?\Nothing! It's none of your business!\Um, sorry. Please leave me alone.\Shin.\A man and a woman are simply opposing creatures response:	driven toward each other by lust.
context: Good night.\I can't take it anymore.\What's the matter?\Nothing! It's none of your business!\Um, sorry. Please leave me alone.\Shin.\A man and a woman are simply opposing creatures\driven toward each other by lust. response:	Can they be connected by love?
context: I can't take it anymore.\What's the matter?\Nothing! It's none of your business!\Um, sorry. Please leave me alone.\Shin.\A man and a woman are simply opposing creatures\driven toward each other by lust.\Can they be connected by love? response:	Sorry, I don't know either.
context: What's the matter?\Nothing! It's none of your business!\Um, sorry. Please leave me alone.\Shin.\A man and a woman are simply opposing creatures\driven toward each other by lust.\Can they be connected by love?\Sorry, I don't know either. response:	- Yes. - Takumi,.,
context: Nothing! It's none of your business!\Um, sorry. Please leave me alone.\Shin.\A man and a woman are simply opposing creatures\driven toward each other by lust.\Can they be connected by love?\Sorry, I don't know either.\- Yes. - Takumi,., response:	I wanna see you.
context: Um, sorry. Please leave me alone.\Shin.\A man and a woman are simply opposing creatures\driven toward each other by lust.\Can they be connected by love?\Sorry, I don't know either.\- Yes. - Takumi,.,\I wanna see you. response:	Nana...
context: Shin.\A man and a woman are simply opposing creatures\driven toward each other by lust.\Can they be connected by love?\Sorry, I don't know either.\- Yes. - Takumi,.,\I wanna see you.\Nana... response:	- Thank you! - F-For what?
context: A man and a woman are simply opposing creatures\driven toward each other by lust.\Can they be connected by love?\Sorry, I don't know either.\- Yes. - Takumi,.,\I wanna see you.\Nana...\- Thank you! - F-For what? response:	I thought you would never talk to me again.
context: driven toward each other by lust.\Can they be connected by love?\Sorry, I don't know either.\- Yes. - Takumi,.,\I wanna see you.\Nana...\- Thank you! - F-For what?\I thought you would never talk to me again. response:	So I'm glad that you came tonight.
context: Can they be connected by love?\Sorry, I don't know either.\- Yes. - Takumi,.,\I wanna see you.\Nana...\- Thank you! - F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight. response:	What are you talking about?
context: Sorry, I don't know either.\- Yes. - Takumi,.,\I wanna see you.\Nana...\- Thank you! - F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about? response:	That's nonsense. Of course I'd talk to you.
context: - Yes. - Takumi,.,\I wanna see you.\Nana...\- Thank you! - F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'd talk to you. response:	I'm sorry.
context: I wanna see you.\Nana...\- Thank you! - F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'd talk to you.\I'm sorry. response:	Why are you apologizing? You've done nothing wrong.
context: Nana...\- Thank you! - F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'd talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong. response:	That's not true.
context: - Thank you! - F-For what?\I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'd talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true. response:	The truth is... I'm a really horrible woman!
context: I thought you would never talk to me again.\So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'd talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true.\The truth is... I'm a really horrible woman! response:	What's this about being a horrible woman?
context: So I'm glad that you came tonight.\What are you talking about?\That's nonsense. Of course I'd talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true.\The truth is... I'm a really horrible woman!\What's this about being a horrible woman? response:	A really horrible woman?
context: What are you talking about?\That's nonsense. Of course I'd talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true.\The truth is... I'm a really horrible woman!\What's this about being a horrible woman?\A really horrible woman? response:	But it's true. You're idealizing me for sure, Nobu!
context: That's nonsense. Of course I'd talk to you.\I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true.\The truth is... I'm a really horrible woman!\What's this about being a horrible woman?\A really horrible woman?\But it's true. You're idealizing me for sure, Nobu! response:	Otherwise there's no way you'd fall in love with me!
context: I'm sorry.\Why are you apologizing? You've done nothing wrong.\That's not true.\The truth is... I'm a really horrible woman!\What's this about being a horrible woman?\A really horrible woman?\But it's true. You're idealizing me for sure, Nobu!\Otherwise there's no way you'd fall in love with me! response:	If you knew the real me...
context: Why are you apologizing? You've done nothing wrong.\That's not true.\The truth is... I'm a really horrible woman!\What's this about being a horrible woman?\A really horrible woman?\But it's true. You're idealizing me for sure, Nobu!\Otherwise there's no way you'd fall in love with me!\If you knew the real me... response:	you'd be disappointed.
context: That's not true.\The truth is... I'm a really horrible woman!\What's this about being a horrible woman?\A really horrible woman?\But it's true. You're idealizing me for sure, Nobu!\Otherwise there's no way you'd fall in love with me!\If you knew the real me...\you'd be disappointed. response:	Then, disappoint me.
context: The truth is... I'm a really horrible woman!\What's this about being a horrible woman?\A really horrible woman?\But it's true. You're idealizing me for sure, Nobu!\Otherwise there's no way you'd fall in love with me!\If you knew the real me...\you'd be disappointed.\Then, disappoint me. response:	I want you to.
context: What's this about being a horrible woman?\A really horrible woman?\But it's true. You're idealizing me for sure, Nobu!\Otherwise there's no way you'd fall in love with me!\If you knew the real me...\you'd be disappointed.\Then, disappoint me.\I want you to. response:	Because I don't know what else I can do to stop loving you.
context: A really horrible woman?\But it's true. You're idealizing me for sure, Nobu!\Otherwise there's no way you'd fall in love with me!\If you knew the real me...\you'd be disappointed.\Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you. response:	I'm sorry. I'll break it off with Takumi.
context: But it's true. You're idealizing me for sure, Nobu!\Otherwise there's no way you'd fall in love with me!\If you knew the real me...\you'd be disappointed.\Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you.\I'm sorry. I'll break it off with Takumi. response:	I really didn't want anyone to know about what happened with Takumi.
context: Otherwise there's no way you'd fall in love with me!\If you knew the real me...\you'd be disappointed.\Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you.\I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi. response:	I thought, then I could act like nothing happened
context: If you knew the real me...\you'd be disappointed.\Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you.\I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi.\I thought, then I could act like nothing happened response:	and become your girlfriend.
context: you'd be disappointed.\Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you.\I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi.\I thought, then I could act like nothing happened\and become your girlfriend. response:	I had such cunning thoughts. Lots of them.
context: Then, disappoint me.\I want you to.\Because I don't know what else I can do to stop loving you.\I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi.\I thought, then I could act like nothing happened\and become your girlfriend.\I had such cunning thoughts. Lots of them. response:	Do you hate me now?
